-0.0049397+0.00086536i,-0.0024585-0.00051812i,-0.0027545-0.00019055i,-0.0027846+0.0013767i,-0.0019669+0.0027607i,-0.0013181+0.0019676i,-0.00026636+0.0017071i,0.00078783+0.0015043i,0.00091184+0.0011335i,0.00072161+0.00097276i,0.00074836+0.00075942i,0.00051017+0.00024672i,-5.0238e-05-0.00053312i,2.9962e-05-0.001106i,-9.2897e-05-0.0011658i,-0.00053021-0.00034354i,-0.00063773+0.00040751i,-0.0006277+1.1175e-06i,-0.00068116+0.0001384i,-0.00084151+0.00048083i,-0.00076148+3.944e-05i,-0.00074981+0.0003285i,-0.0011532+0.00031887i
0.0016466+0.0011875i,0.0012602+0.00089502i,0.0013071-0.00039167i,0.00025543-0.00053291i,-0.00087672+2.8949e-05i,-0.0005254+0.00029681i,-0.00011458+0.00082541i,-0.00011249+0.00055292i,0.00026629-0.00027112i,0.00026665-0.00038306i,-0.00012872+0.00011118i,-0.00019336+0.00039906i,0.00011456-0.00012467i,9.1925e-05-0.00040065i,-0.00041453-0.00022323i,-0.00087772-0.00036431i,-0.00060252-0.00025309i,-0.00046469-0.0005152i,-0.00083378-0.00082622i,-0.00068029-0.00035449i,5.4614e-05-0.00027868i,0.00012024-0.00036919i,3.3418e-05-7.4652e-05i
-0.00048794+8.5451e-05i,-0.00078484+0.00052455i,-0.00056619+0.0013603i,-0.00025041+0.00053762i,0.0010917-0.00042051i,0.0013691-0.0001174i,0.00099264+0.00029102i,0.00061398+9.9792e-05i,0.00021656-0.00054507i,0.00033715-0.0011623i,0.00020994-0.00066083i,0.00048149-0.00018746i,0.00027875-0.00044306i,-0.00048707-0.00023884i,-0.00018331+0.0003044i,-0.00065797+0.00018358i,-0.00084809-0.00022093i,-0.00032267-0.00049165i,-0.00056573-0.00082333i,-0.00050635-0.00044201i,-0.0005774-0.00063677i,-0.00081629-0.00049015i,-9.4363e-05+0.00019482i
0.0014144+0.00019621i,0.0011709+0.00043493i,-0.00015158+0.00041177i,-0.00018703+0.00011146i,0.0003175+5.7473e-05i,7.8589e-05+0.00012931i,0.00055057+0.00040172i,0.00056204+0.00015154i,0.00041305-0.00093774i,-0.00039242-0.0011058i,-0.00085396-7.6126e-05i,-0.00038731+0.00085871i,-0.00071676+0.0010642i,-0.00045619+0.00052713i,-0.00016431+0.00023157i,-0.00086229+5.7132e-05i,-0.00086257-0.00065493i,-0.00042424-0.0011826i,-0.00061733-0.00067122i,-0.00048038-0.00035053i,0.00017566-0.00053755i,0.00031215-0.00016812i,0.00045166+0.00057648i
0.0012699+0.00090729i,0.0015967+0.00029602i,0.0015171-0.00019021i,-0.00017198-0.00062071i,-0.0010318-0.00097584i,-0.00011783+0.00056462i,0.00060182+0.0011381i,0.00052908-5.9547e-06i,3.2638e-05-0.00051098i,-0.0010142-0.00045772i,-0.0017683-0.00086456i,-0.0011833-0.001128i,-0.00070683-0.00094791i,-0.0010302-0.00033698i,-0.0017151-0.000196i,-0.0015375-0.00034532i,-0.00075234-4.1938e-05i,-0.0005074-0.00011318i,-0.00043874+0.00018979i,-0.00073552+0.00031827i,-0.00065505-0.0003016i,-0.00035071-0.00061154i,-0.00046313+3.0256e-05i
-0.0019827+0.00012691i,-0.0027517+0.0005218i,-0.001733+0.00065016i,-0.0008317+0.00086665i,-0.00095862+0.001083i,-0.0010668+0.00086152i,-0.00076615+0.00047936i,6.8174e-05-9.7331e-05i,0.00040618-0.00075821i,-0.00015256-0.00050371i,0.000289-8.2149e-05i,0.001282-0.00058947i,0.00073841-0.00029054i,-0.00069079+0.0001227i,-0.0012416-0.00051074i,-0.00037942-0.00069374i,0.00031995-0.0012814i,-0.0001202-0.0013781i,-0.0010769-0.00051204i,-0.0009177-0.00029317i,-0.00022405+0.00011069i,-0.00027308+0.0011351i,-6.1673e-05+0.00043671i
-6.2777e-05-0.00096081i,0.00085355-0.00053447i,0.00050376-0.00061557i,-0.00064396-0.00042238i,-0.0013745+0.00017836i,-0.00097449+0.00012156i,0.00021447+0.00041065i,-0.00015148+0.00084596i,-0.00059615+0.00012863i,-0.0001068-0.00012535i,0.00038163+0.00030323i,0.00040727+0.00070745i,-3.1776e-05+0.00051775i,-0.00074526-0.00028882i,-0.00087299-0.00093847i,-0.00090561-0.00068756i,-0.0014028-0.00045315i,-0.0009656-0.00025857i,-0.00035987+4.5592e-06i,-0.00044622-9.3383e-05i,-0.00054342-0.00055589i,-0.00093221-0.0007888i,-0.00090152-0.00035086i
0.0015421-0.0017043i,0.00055621-0.0019761i,0.0004895-0.0022542i,-0.00030943-0.0012906i,-0.0015395-6.3765e-05i,-0.0012538+0.00060532i,-0.0003099+0.0012809i,-0.00012273+0.00063202i,-0.00014978+1.9114e-05i,6.7538e-05-0.00011794i,2.578e-05+0.00018952i,0.00013654+0.00066369i,0.00031145+0.00083777i,-0.00037898+0.00043205i,-0.00081616+0.00018864i,-0.00099091+8.557e-05i,-0.00043006+0.00016545i,0.00019572-0.00041416i,0.00012697-0.00061391i,0.00012675+0.00019169i,-3.918e-05+0.00060427i,-7.4223e-05+0.0001743i,0.00010427-0.00045213i
0.00052314-0.00073906i,0.00080204-0.00147i,0.00032461-0.00088457i,-0.00016633-0.00032425i,-0.0009385+0.00013404i,-0.00076965+0.00094076i,-9.112e-05+0.0013076i,0.00041598+0.0010344i,0.00053855-3.555e-05i,-0.00010302-0.00011729i,-0.00012192+0.00027524i,0.0003426+0.0002567i,0.00039666-0.00014112i,0.00051024-0.00033106i,-4.9411e-05+0.00023444i,-0.00069587+0.00020282i,-0.00019537-0.00071569i,0.00026794-0.00082127i,0.00031316-2.9589e-05i,6.3006e-05+0.00044173i,-5.6372e-05+0.00048593i,4.1799e-05+0.00073092i,0.00035595+0.00063728i
0.0011302+0.00041397i,0.0012294-0.00035487i,0.00046472-0.00015172i,-0.0002325-0.00036314i,0.00023089-0.00069551i,0.00034158+0.00053404i,0.00012627+0.0013185i,8.4036e-05+0.00010302i,0.00045953-0.0011475i,-2.3887e-05-0.0017404i,-0.00029432-0.001422i,0.00023721-0.00050848i,0.0002239-6.2094e-05i,8.1751e-06-0.00028989i,-0.00018351-0.0001584i,-0.00030866+0.00032185i,-0.00067045+7.3717e-05i,-0.0012289-3.1056e-05i,-0.00064513-0.00038768i,0.00031619-0.00066729i,0.00024044-0.00032512i,-0.00034911-0.00028637i,-0.00048752+0.00021213i
-0.00065545+1.5932e-06i,-0.00076874-0.00024834i,-0.00038067-0.00040377i,-0.00047296-0.00062193i,-0.00056879+0.00058375i,-2.2169e-05+0.0016948i,0.00030232+0.0011412i,0.00055794+0.00021021i,0.00033231-0.00027413i,-0.00084669-3.0312e-05i,-0.0012601+0.00016224i,-0.0003279-0.00019693i,4.6414e-05-0.00079205i,-0.00021595-0.0010879i,-0.00033026-0.00055205i,-0.00020564+0.00019803i,-0.00031899+6.2823e-05i,-0.00063757-0.00036168i,-0.00054002+0.00015119i,-0.00055372+0.00074159i,-0.0010814+0.00029811i,-0.00085872-0.0001436i,-0.00043003-0.00078576i
0.0024439+0.00057974i,0.0022274-0.00055644i,0.0006346-0.001926i,-8.4064e-06-0.0018865i,-0.00056244-0.0010476i,-0.0010454+0.0002829i,-0.0002094+0.00090044i,-0.00016907+0.00024541i,-0.000245-0.00078427i,0.00026465-0.00058859i,0.00016398+0.00043261i,-0.00034323+0.00093742i,-0.0010932+0.00068184i,-0.0018715+0.0001774i,-0.0012589-0.0001368i,-0.0001596-2.6347e-05i,0.00050783-0.0001723i,0.0003973-0.00038363i,-0.00039184-0.00049376i,-0.00055647-0.00043294i,-6.5657e-05-0.00043692i,0.00018186-0.00014581i,-0.00043586-0.00013265i
0.0018055+0.0008828i,0.00105+0.0012795i,0.0011791-0.00061296i,0.00073836-0.0024i,-0.00067644-0.002281i,-0.00081188-0.0012637i,5.9003e-07-0.00035576i,0.00073783-9.5346e-06i,0.00045568-0.00033516i,0.00021188-0.00034641i,2.1642e-05+0.00050748i,-0.00059199+0.00039998i,-0.0007965-0.00027674i,-0.00039682+0.00011411i,-0.00059571+0.00079479i,-0.00077093+0.0003393i,-0.000632-0.00065797i,-0.00029059-0.00066712i,1.6773e-05-1.9181e-06i,0.00032243+0.00021518i,0.00098261-8.7589e-06i,0.0012519-0.00014503i,0.00055899-0.00012354i
-0.0010209-0.00055606i,-0.00087196-1.6932e-05i,-0.0013413-7.4773e-05i,-0.0010538+0.00021542i,-2.6707e-05+0.00041201i,-0.00050575-5.3003e-05i,-0.00083899+0.000278i,3.6153e-05+0.00065947i,0.0010858+0.00029137i,0.00052867+6.5086e-05i,-0.00091142+0.0001603i,-0.0013028-0.00029802i,-0.00095085-0.00037915i,-0.00073713-2.8818e-05i,-0.00090201-0.00016234i,-0.00092624-0.00062004i,-8.7161e-05-0.0010996i,0.00080291-0.0011148i,0.00016418-0.00013479i,-0.0002953-0.0007741i,0.00051577-0.001712i,0.00053421-0.0013741i,0.00058269-0.00054673i
6.0391e-05+0.0003093i,0.00094379+0.0011828i,0.00060929+0.0018955i,-2.4588e-05+0.0016683i,-0.00073909+0.0017774i,-0.0012109+0.0018509i,-0.0016338+0.0012024i,-0.00096544+1.0828e-05i,2.1655e-05-0.00068951i,-0.00070105-0.00029873i,-0.0009616-9.5492e-06i,-0.00036703+0.00038892i,-9.9253e-05+0.00068546i,6.2987e-05+0.00067579i,-0.00074829-3.365e-05i,-0.0012326-0.00025147i,-0.00066388-7.6057e-05i,-0.00020085-0.00018395i,-0.00077745-3.3265e-05i,-0.00066455-0.00017986i,-0.00031961-0.00069972i,-0.00040849-0.00047933i,-0.00011612+0.00017518i
0.002516+0.00045476i,0.0015859+0.00039137i,0.00076667-0.0011405i,0.0010937-0.0022376i,0.0010965-0.0012945i,0.00061322-0.00017746i,1.4778e-06+0.00052044i,-0.00011223+0.00079086i,0.00046201+0.00093037i,0.00065312+0.00046158i,0.0001992-0.00021507i,-0.00022493+0.00018124i,-0.00084314+0.00046101i,-0.00056669+0.0014224i,0.00029826+0.0016174i,0.0001866+0.00043633i,0.00013896-0.00037907i,2.7612e-06-0.0011384i,-0.00073415-0.00041921i,-0.001144+0.00062963i,-0.0010985+0.00043915i,-0.0007118+0.00015321i,-0.00040621-3.3214e-07i
-0.00076946+0.00029429i,0.00032562-0.00085264i,0.00032061-2.1254e-06i,-0.00021859+0.00098214i,-0.00031799+0.00051392i,-6.8702e-07+0.00013496i,0.00023835+0.00028713i,0.00059051-8.1264e-05i,-7.4386e-05-0.00038105i,-0.00052475-0.00047046i,0.00025266-0.00013401i,0.00042354-0.00015406i,-1.9955e-07-0.00074821i,-0.00052316-0.00043349i,-0.00030069+0.00041831i,-0.0003401+0.00069842i,-0.00053696+2.3334e-05i,-0.00066343-0.00032104i,-0.00069128+9.0406e-05i,-0.00095495+0.00073731i,-0.00073188+0.0011815i,-0.00070782+0.00090286i,-0.0011077+0.0002494i
-0.00037703-0.00031027i,0.00041055-0.00098907i,0.0014414-0.0013117i,0.00097297-0.00061491i,0.00038234+0.00012047i,0.00025352+0.00062425i,0.0010302+0.0012i,0.001319+0.0012322i,5.3504e-06+0.0012227i,-0.00054267+0.00078278i,0.0001921-0.00044761i,2.3101e-05-0.00025206i,-0.00081319+0.00036933i,-0.00059233+0.00020024i,-0.00052978+0.00021056i,-0.001389+0.00027439i,-0.0016533-0.00059562i,-0.00089817-0.00099392i,-4.0813e-05-0.00035757i,0.00030919-0.00038286i,0.00016595-0.00071713i,-0.00051624-0.00056394i,-0.00069598+0.00027243i
0.00030341-0.0016994i,3.916e-05-0.00079779i,-0.0014527-0.00078169i,-0.0021394-0.00085069i,-0.0019881-0.00051364i,-0.001317+0.0005202i,-8.4757e-05+0.0012148i,0.00016678-0.00013159i,-0.00011563-0.00072756i,-0.0002353-0.00037897i,-6.7492e-05+5.8719e-05i,0.00028264+0.0005262i,0.0010105+0.00057507i,0.00066067-0.00019474i,-5.7151e-05-6.5335e-05i,-5.4981e-05+0.00031643i,-0.00014281+0.0005924i,-0.00038095+0.00057206i,-0.00036093-0.00022773i,0.00013274-0.00049084i,0.00015119-0.00025639i,-7.8913e-05-0.0006689i,-1.1539e-06-0.00019353i
