-0.004603+0.00099422i,-0.0032184+0.00058513i,-0.0039795+0.0020066i,-0.0023027+0.0028182i,0.00032493+0.0030176i,0.00031482+0.0020686i,-7.7074e-05+0.001886i,-7.5383e-05+0.0020608i,0.00011904+0.00074343i,0.00072365-1.2052e-07i,0.00071563+1.5399e-05i,0.00041882-0.00036269i,0.0004825-0.00086396i,0.00011893-0.0010374i,-0.00027674-0.00099168i,-1.5146e-05-0.00027769i,0.00045365+0.00033896i,0.00092331+7.7777e-05i,0.00082883-0.0001501i,0.00018882-0.00063736i,-9.2151e-05-0.00044069i,0.00022257+0.00020808i,0.00034259+0.0004083i
-0.0015232+0.00036715i,-0.0012261-0.00029255i,-0.0011684+0.00072151i,-0.00073671+0.0012549i,-0.00012117+0.00094293i,-0.0007978+0.00045783i,-0.00038771-7.071e-05i,0.00013547+0.00019175i,-0.0003395+0.00026844i,-9.5033e-05+0.00043645i,0.00056125+0.00031599i,0.00022102-0.00026599i,6.4701e-05-0.00011414i,-0.00025731-0.00040068i,-0.00037479-0.00032149i,-0.00049889-7.0492e-05i,6.6736e-05-0.00052867i,0.00047656-0.00012698i,0.00039199+0.00021132i,0.00087245-0.00041463i,0.0010781-0.00051831i,1.9742e-05-0.00022969i,-0.0012062-0.00059377i
0.0003123+0.00033115i,0.00059909+0.00071874i,0.00041432+0.00040409i,-0.0005138+0.00037963i,-0.00094014+0.00027135i,-0.00078069-0.00010276i,-0.0009626-0.00010666i,-0.0010631-0.00052146i,-0.00077737-0.000649i,-0.00043238-0.00027551i,-0.00043428-0.00026643i,-0.00069284-0.00038767i,-0.00051605-0.00020598i,-0.00039117-0.00019757i,-0.00063244-0.00035743i,-0.00065286-0.00023812i,-0.00037037+0.00054431i,0.00023921+0.0010328i,0.00065946+0.0005647i,0.00042995+0.00012294i,-1.4656e-05+0.0001436i,-0.00032041+6.9761e-06i,-0.00041316-0.00032111i
-0.00099435-0.00050281i,-0.0016118-0.00092961i,-0.002918-0.00064733i,-0.0017478-0.00018899i,0.00067687+0.00059707i,0.00046114+0.00078016i,0.00036405+0.00025301i,0.00053989+0.00015022i,7.4554e-05+2.6953e-05i,0.00026532-0.00032354i,0.00010987+7.8468e-05i,-0.00022144+0.0004874i,-0.00037402+3.2344e-05i,-0.00035569-0.0005358i,0.00043151-0.00041193i,0.0001112-2.9328e-05i,-0.00046345+0.0001697i,8.774e-06+0.00038021i,0.00045167+0.00050019i,-0.00041078+0.00077289i,-0.00083136+0.00044096i,-0.00030762-0.00040837i,5.682e-06-9.1332e-05i
0.00033088-0.00076848i,-0.00082894-0.0001789i,-0.0016519+7.6952e-05i,-0.001866+0.00081871i,-0.001835+0.0017779i,-0.0014444+0.0014211i,-0.00059715+0.00028599i,-3.6754e-06-3.3558e-05i,-5.6836e-05+0.00039087i,-4.8765e-05+0.00075183i,-0.00044051+0.0009269i,-0.00079112+0.00071455i,-0.0002604-0.00031073i,0.00035094+5.4255e-05i,8.7836e-05+0.00084158i,-0.00016513+0.00012726i,5.2152e-05+0.00013009i,-0.00014041-2.8286e-05i,-0.00015789-0.00053261i,-1.5597e-05-0.00092655i,3.1297e-05-0.00063929i,-0.00016828+0.00024984i,7.15e-06+6.0865e-05i
0.00087082+0.00085537i,0.0002486+1.7596e-05i,0.00083693-0.00032515i,0.0014321+0.00066356i,0.00097939+0.00041444i,-0.00017602-0.0007376i,-0.00045662-0.00078448i,-0.00035375-0.0006841i,0.00045107-0.001062i,0.00013669-0.00050643i,-0.0010621+0.00023079i,-0.0015455+0.00049027i,-0.0013182+0.00017916i,-0.0016612+1.8933e-05i,-0.0015185-0.00015446i,-0.00037655-0.00020685i,-5.7444e-05-3.3376e-05i,-4.2256e-05+0.00026956i,-0.00046798+0.00035909i,-0.00072988-0.00018747i,-0.00026951-0.0004701i,9.3421e-05-0.00089631i,0.00065432-0.00040097i
0.00086542-0.00018328i,0.00098863+0.0016003i,0.00039914+0.0010321i,0.00042763+0.00076118i,-0.00038821+0.00073577i,-0.0011129-0.00023406i,-0.00084012-0.00072452i,0.00012192-0.00046158i,0.00019273-0.00052696i,-0.00096597-4.2141e-05i,-0.00093241+0.00031623i,-0.00059652-5.0776e-05i,-0.00049243+5.5576e-05i,0.00034554+0.00017385i,0.00051451+0.00059869i,-0.00057057+0.00069284i,-0.00090978+0.00036591i,5.0687e-06+0.00031987i,2.7801e-05+0.00045366i,-0.00032616+0.00019533i,-0.00012665+0.00040853i,0.00014116+0.00055342i,0.00041857-7.166e-06i
-0.00083422-0.00011292i,-0.00012484-0.00039575i,0.0016637-0.00025058i,0.0020142+0.00026436i,0.00072084+0.00025123i,-7.6875e-05-0.00015229i,0.00022371+9.5638e-05i,2.8682e-05+0.00056679i,-0.00028451+0.00046536i,-0.00085601+0.0002255i,-0.0014734-0.00017744i,-0.00090289-0.00023936i,-0.00048574+0.00032781i,-0.00037016+1.7989e-05i,-0.00035475+6.5036e-06i,-0.00046332-7.1424e-05i,-0.00030885-0.00086831i,-0.00063818-0.00014034i,-0.00048742+0.00054064i,-1.9976e-05-1.0573e-05i,-0.00022875-0.00089882i,-0.00046114-0.00067601i,-1.2409e-05+0.00012748i
0.00059528+0.0026764i,0.00034735+0.0036399i,0.00043118+0.0028302i,0.00090642+0.0017862i,0.00070024+0.00067884i,0.00019274-0.00077021i,3.4101e-05-0.0012523i,8.1748e-05-0.00081178i,-0.0003572-0.00016116i,-0.0010114-0.00047821i,-0.00092719-0.00073744i,-0.00039807-7.7241e-05i,0.00016129+0.00014856i,0.00053161+0.00017428i,0.00051506+0.00018104i,0.00057804-0.00046892i,0.00077198-0.00014144i,0.00046636+0.000552i,0.00068059+0.00032494i,0.00086157+0.00015967i,-3.7548e-05-0.00065715i,-0.00092366-0.001194i,-0.0007514+0.00029761i
-0.0029473+0.0017235i,-0.0016915+0.0023725i,0.00035253+0.002099i,0.0020491+0.0012826i,0.0024087+0.0011992i,0.0012865+0.00025543i,0.00034493-0.00095651i,0.00065806-0.00070731i,0.00076292-0.00016325i,0.00072838+0.00011976i,-8.6463e-05+0.00057943i,-0.00080171+0.00075098i,-3.1821e-05+0.00050906i,8.0768e-05-5.4914e-05i,-0.00036845-0.00029632i,-0.00046797-3.0018e-05i,-0.00015561-0.00010955i,2.3521e-05-1.8882e-05i,-0.00042694+4.982e-05i,-0.00051228+0.00035529i,-0.0002354+0.00020781i,-0.00032697-0.00042603i,-0.00021646-0.00031739i
-0.00083894+0.0017941i,-0.0018442+0.0019278i,-0.0015262+0.0019749i,-0.00056799+0.0015751i,0.0004605+0.0010543i,0.00088003+0.00076762i,0.00052215+2.2934e-05i,-0.00022044-8.3319e-05i,-0.00013738+0.00026128i,0.00029156+0.00031571i,-0.00065795-4.7514e-05i,-0.0010293-0.00048988i,0.00010976-0.00026245i,0.00050263+0.00020412i,-0.00014525+0.00017367i,-0.00060356+0.00021589i,-0.0002529+0.00029519i,0.00028306+0.00039432i,0.00060007-2.0682e-05i,0.00024446-0.00060694i,-0.00059528-0.00082897i,-0.00055267-0.00035973i,-0.00011969+5.2787e-05i
0.0011781+0.00033094i,0.00062441+0.0017485i,0.00086882+0.00074525i,0.0005744+0.00010283i,0.00015956+0.00045027i,-0.00017781+0.00045617i,-0.00058014+0.00066607i,-0.00056748+0.00089383i,-0.0010608+0.00098892i,-0.0010502+0.00066449i,-0.0011677-0.00018762i,-0.0013952-0.0006861i,-0.00097808-0.00029593i,-0.00015657-0.00011415i,0.00041573+0.00018018i,0.00055668+0.00026101i,0.00035644-0.00012011i,6.7598e-05-0.00058023i,0.00027943-0.00057478i,0.00042557-4.0026e-05i,-0.00028444+0.0003759i,-0.00021845+0.00026627i,0.00026686-0.00025856i
-0.001598-0.00101i,-0.0016093-0.0021097i,-0.0014117-0.0011654i,-0.0010128+0.00044201i,-0.00025088+0.00040017i,0.00014934-0.00010035i,-8.3175e-05+0.00026315i,0.00052699+0.00014271i,0.00037411+3.6752e-05i,-8.124e-06-0.00030029i,-0.00069323-0.00019257i,-0.0016723+0.00054848i,-0.0010944+0.00084421i,-0.00013024+0.00068011i,-0.00032742+0.00023894i,-0.00064967-0.00010843i,-0.00029126+7.8193e-05i,0.00022096+0.0002183i,0.00022589-0.00029122i,0.00017115-0.00032405i,0.00017116+0.00042881i,7.3526e-05+0.0010397i,-0.00061472+0.00049517i
-0.00013968+0.0023283i,4.1122e-05+0.0028462i,0.00071568+0.0028512i,0.00089415+0.00193i,0.0011546+0.0015136i,0.00037589+0.00087342i,-0.00050262-0.00025704i,-0.0002015-0.00020472i,0.00024604+0.00072861i,0.00042615+0.00099387i,0.00028467+0.00024247i,0.00033838-0.00019252i,-0.00027713-0.00014752i,-0.00098656-0.00027745i,-0.0014734-0.00061094i,-0.001424-0.00024614i,-0.00069292+0.00081025i,-0.00048562+0.00091131i,-0.00056293-0.00020929i,-0.000282-0.00045123i,-0.0001799-0.00030581i,-8.9158e-05+4.5994e-05i,0.00041837-7.3383e-05i
0.0010137-0.0010118i,0.00030647-0.00073228i,0.00062317-0.0014923i,0.00097709-0.0010646i,0.00076504-0.00051182i,-0.00029306-0.00022879i,-0.001237+0.00015163i,-0.0007227-0.00029179i,1.2573e-05-0.00088514i,-0.00060782-0.0011784i,-0.00076112-0.00082858i,0.00037765-0.00055867i,0.00011054-0.00062948i,-0.00095737-0.00014396i,-0.00062862+0.00054328i,-0.00034245+0.00047509i,-5.0161e-05-7.8067e-05i,0.00031101-9.3248e-05i,0.00013548+0.0003573i,0.00028621+0.00063769i,0.00016095+6.9074e-05i,-3.6448e-06-0.00029586i,-0.00031968+0.0006737i
0.00038854+0.0012581i,0.0015202+0.00073173i,0.0011748-0.00045939i,0.00053905-0.00055601i,0.0010001+0.00091126i,2.9183e-05+0.0010183i,-8.4826e-05+0.0005416i,1.2083e-05+0.00026277i,-0.00043112-0.00011928i,-0.00018462-0.00029399i,-0.00058328-0.00072245i,-0.0010512-0.0007759i,-0.00089689-0.00041105i,-0.00096649-0.00051084i,-0.00097462-0.00065016i,-0.0011348-0.00018951i,-0.00025437+3.6238e-05i,0.00098866-8.5989e-05i,0.00024486-2.7207e-05i,-0.00083825-0.00034837i,-0.00061533-0.00091367i,-0.00028494-0.00057952i,-0.00035197-0.00016945i
-0.00077468+0.00030199i,-0.0011893+0.00084292i,-0.00061639+0.0015785i,0.00033137+0.0027219i,0.0011353+0.0022459i,0.00092247+0.00092532i,0.00021762+0.00018656i,0.00020854+0.00041362i,-0.00014726+0.00041815i,-0.0006727+0.00018596i,-0.00029266-0.00016409i,-9.3581e-06-0.00071331i,-4.6958e-05-0.00029482i,0.00010722+7.6686e-05i,7.392e-05+0.00015353i,-0.00035663+0.00028927i,-0.0002617+2.573e-05i,0.00015603-0.00026655i,0.0002213-0.00042811i,-0.00026092-0.00064147i,-0.00047363-0.00065255i,-0.00020255-0.00024125i,-0.00031759+0.00035417i
0.00014717-0.001311i,-0.00069119-0.0010812i,-0.0008439-0.00042229i,-0.00094445+0.00071324i,-0.0012417+0.00063983i,-0.00084571+0.00096144i,-0.0004944+0.00060758i,-0.00036386+1.1652e-05i,-0.0004513+0.00017361i,-0.00075169-7.4589e-06i,0.00033117-0.00094854i,0.00096661-0.00096079i,0.00037886+5.3098e-05i,-0.00064554+0.00055525i,-0.001109-3.9868e-05i,-0.0007561-0.00039045i,-0.00024315-0.00044165i,-0.00016512-0.00017769i,-0.00053767+0.000423i,-0.00089657+6.6084e-05i,-0.00070957-3.5356e-05i,-0.00024792+0.0002751i,7.0617e-05+0.00029318i
-5.7369e-06+0.00076562i,0.00041324+0.0015507i,0.00015662+0.0013646i,-0.00026434+0.0013059i,-9.9127e-05+0.00025435i,-3.9492e-05-0.00026292i,-0.00034212-2.765e-05i,-0.00046915-0.00040986i,-0.00083537-0.00030541i,-0.00098966+5.8754e-05i,-0.00081507-7.4611e-05i,-0.00068184+0.00016542i,-0.0005586-4.8185e-05i,7.6676e-05+0.0002431i,0.00041567+0.0011306i,0.00026652+0.0012025i,0.00036766+1.0581e-05i,1.9324e-05-0.00034087i,-0.00058506+0.00066898i,-0.00019988+0.00049358i,-9.0103e-05+0.00011829i,-8.9378e-05-0.00023827i,-0.00050481-0.00079252i
-0.00096881+0.0011872i,-0.00076659+0.00061414i,-2.7845e-06+0.00085044i,0.00019225+0.0010851i,-0.00039913+0.00037725i,-0.00041978+3.5247e-05i,-0.00011888-0.00016454i,0.00038489-9.2204e-05i,0.00013938-0.00021261i,-0.00034051-0.00042406i,-0.00058947-0.00032151i,-0.0001355-0.00017719i,-0.00013587+0.00058649i,0.00018518+0.00089566i,0.00010893+0.000532i,6.4426e-05+0.0008489i,-0.0001667+0.00091943i,4.0915e-05+0.00024359i,0.00098129-0.00055215i,0.001098-0.00095851i,0.0010194-0.00020817i,0.00054848+0.00095868i,-0.00029767+0.0013082i
-0.00090342-0.0019652i,0.00043697-0.0017674i,-0.00095991+0.0014557i,-0.0011075+0.0029266i,0.00097645+0.0011184i,0.0019458-0.00010074i,0.0012639-0.00031234i,0.00044727-0.00054153i,-0.00012351-0.00018481i,0.00012487+0.00019833i,0.00049933-0.00038116i,0.00041078-0.00036321i,0.00054616-0.00039192i,0.00054575-0.0011684i,0.00016751-0.00056801i,-0.00029503-4.3916e-06i,-0.00064049+1.2368e-05i,-0.00088681+0.0004026i,0.00016419+0.00039306i,0.00050175-7.0542e-05i,0.00063435-0.00039613i,0.00067459+3.2477e-05i,0.00018135-0.00013683i
-0.0011658+0.0015425i,-0.00048466+0.0017313i,9.8825e-05+0.0022659i,-0.00028353+0.0026475i,-0.00090329+0.0012717i,-0.0018607-0.00049829i,-0.0022891+0.00010663i,-0.0010421+0.00063123i,-0.00034919+5.9353e-05i,-0.00067155+0.00020051i,-0.0006941+0.00078508i,-0.00084338+0.0010146i,-0.00099713+0.00046611i,-0.0009957-0.00043641i,-0.00065561-0.00082972i,-0.00023074-0.00036254i,-9.7534e-05+0.00029874i,0.00032423+0.0009983i,0.00054924+0.0008931i,0.00044631-0.00013674i,0.00053774-0.00033826i,0.00072737-0.00029993i,0.00029263+9.1111e-05i
0.0001028+0.00021124i,0.000798+0.0010507i,0.00067844+0.0012761i,-1.8863e-05+0.0011253i,-4.0411e-06+0.0010975i,-0.0004014+0.00023915i,-0.00050657-0.0003109i,-0.00070474+5.3295e-05i,-0.0013243+0.00022457i,-0.00082877-3.9279e-05i,0.00056498-0.00066893i,0.00096157-0.00055741i,0.00062101+6.2806e-05i,0.00051291-0.00025097i,-0.00021252-0.00026079i,-0.00053277-6.1466e-05i,-0.00043239+0.0006031i,-0.00057814+0.00089528i,-0.00011131+0.00040382i,-0.00019774+9.1005e-05i,-0.00080398-0.00013352i,-0.00072083-1.0802e-05i,-0.00036487+0.00037325i
-0.0005583-0.0015847i,0.00020059-0.00085055i,-0.00018996-0.00085136i,-0.0012613-0.00020898i,-0.001005+0.00057341i,-0.00047031+0.00094906i,-0.00041027+0.00059095i,-0.00018746-0.00088094i,0.0002125-0.0010704i,0.00056565-0.00034789i,0.00060333+0.00013198i,0.00069143+0.00042374i,0.00041724+0.00018413i,-1.7146e-05+0.00020488i,-0.00044997+0.00047083i,-0.00039494+0.00063132i,-0.00019088+0.00047821i,-0.0004739-0.00010532i,-0.00047677-0.00037517i,0.00061345-0.00045367i,0.00089728-0.00054257i,0.00042176-0.00068783i,0.00064709-0.00054684i
-0.00049755+0.001352i,-0.00022832+0.0016543i,-0.00028859+0.0016379i,-0.00041445+0.00080656i,-0.00064015-0.00063054i,-0.0010652-0.0016594i,-0.00086506-0.0014094i,-0.00025928-0.00093356i,-0.00023773-0.00025969i,-5.1948e-05+0.00055199i,-4.448e-05+0.0011972i,0.00023444+0.00082742i,0.00043373-4.0287e-06i,0.0001731+0.00068265i,-0.00046274+0.00099023i,-0.0006931-0.00012958i,-0.00071188-0.00019582i,-0.00054925+0.00051116i,0.00028368+0.00027478i,0.0007822+0.00061226i,0.00038827+0.0012476i,-0.00026516+0.00085468i,-0.00063358+0.0005239i
0.00013174-0.0004299i,0.00025392+0.00025648i,0.00013159+0.0017226i,-0.00042826+0.0014468i,-5.7728e-05+0.00016784i,6.8775e-05-0.00063047i,-0.00068345-0.00051724i,0.00013535-0.00013984i,0.00052658-4.0221e-05i,-0.00026967-0.00047622i,-0.00026067-0.001058i,5.4159e-05-0.001097i,0.00042092-0.00085065i,0.0003139-0.00039393i,-0.0002408+0.00035067i,-0.00026687+0.000603i,-0.00013416+0.00030362i,0.00021357-6.9789e-05i,0.00045171-0.00092825i,0.00023463-0.0015268i,7.8222e-06-0.0011556i,2.4634e-05-0.00029006i,0.00024907+0.00011915i
-0.0022234+0.0010177i,-0.0021222+3.3974e-05i,-0.00058011-0.00019023i,-0.00051576+0.00068984i,-0.00068906+0.0008535i,-0.00056286+0.00046984i,-0.0007853+0.00024587i,-0.00019947+2.116e-05i,0.0010947-0.0005019i,0.0014717-0.00069159i,0.0013765-0.00052368i,0.00066636+0.00046899i,-5.3792e-05+0.001602i,0.00069993+0.0010544i,0.00095558-0.00011793i,0.00032631-0.0003252i,0.00027482+0.00032641i,0.00077703+0.00020255i,0.00094332-0.00030053i,0.001059+7.8183e-05i,0.0014153+0.00013262i,0.0007043+0.00045747i,7.041e-05+0.00091597i
0.0028604+0.0019384i,0.0029273+0.0016496i,0.0026829+0.00047966i,0.0013933-0.00058848i,-7.6111e-05-0.00044675i,-0.00063762+1.3213e-05i,-0.00051539-0.00027021i,-0.00060809+0.00031347i,-0.00058574+0.0012289i,-0.00054469-3.6406e-06i,-0.0007408-0.0002581i,-0.00086959+0.0010626i,-0.00027793+0.00086947i,0.00018366-1.2024e-06i,-0.00011526-0.00060305i,0.00014933-0.00043679i,0.00072236-0.00050155i,0.00028039-0.00070954i,-0.00015382-0.00051388i,-0.00017885-0.00012736i,0.00041565+5.6142e-05i,5.6405e-05+0.00010596i,-0.00036405-0.00015515i
0.0026452+0.00060815i,0.0021027-5.2331e-05i,0.0014727-0.00033404i,0.0005238+0.00016125i,-0.00076139+0.00046191i,-0.0020238+0.00011116i,-0.0013541-0.00058555i,-0.0010001-0.0010581i,-0.00060942-0.00093255i,-5.0807e-05-0.00034138i,-0.00040355+0.00030105i,-0.0011308+0.00096822i,-0.0013544+0.0010915i,-0.0011452+0.00065644i,-0.0012906+0.00011536i,-0.0011039-7.8579e-05i,-0.00026478-0.00058471i,5.3571e-05-0.00057189i,-0.00065043+0.00026343i,-0.00056413-2.8881e-05i,0.00026905-0.00020598i,0.00051603+0.00012802i,-8.8786e-05+6.5454e-05i
-0.00068491+0.0024072i,0.00047093+0.0019855i,0.0013002+0.0014558i,0.0015558+0.0015021i,0.001158+0.0010508i,0.00094522-8.6865e-05i,0.0004344-0.00085442i,0.00046114-0.00071842i,0.00052798-0.00048818i,-0.00022642+3.4277e-05i,-0.0011174+0.00053712i,-0.00082771+0.00026444i,-0.0001251+0.00017801i,0.00030605-0.00017014i,-0.00038729-0.0008559i,-0.00080137-0.00085104i,1.5547e-06-0.00078115i,0.00030801-0.00068899i,9.8061e-05+9.7527e-06i,0.00036828+0.00040109i,0.00073303+0.00023554i,0.00028556+0.00012216i,-0.00026434-0.000163i
0.0011397+0.00055007i,-3.2229e-05+0.00033688i,-0.00067864+0.00043139i,-0.001417+0.00019096i,-0.0014472-0.00016527i,-0.00099119+0.00056803i,-0.0005762+0.00088012i,7.2848e-05+1.015e-05i,3.1906e-05-2.0498e-05i,0.00031808+9.2827e-05i,0.00029774-8.3321e-05i,0.00015933-0.00046439i,0.000414-0.00071547i,0.0004684-0.00076607i,0.00024498-0.00060711i,0.00039012-0.00056469i,0.00045393-0.00043907i,3.8646e-05-0.00058025i,-0.00024153-0.00012512i,-6.568e-05+0.00022082i,0.00031312-0.00052486i,0.00028988-0.00062411i,-0.00016413-0.000619i
0.0018955+0.001777i,0.0012381+0.00071512i,0.0018713+0.00017443i,0.0012975+0.00030265i,-0.0004207+0.00037815i,-0.0007175+0.00019277i,-0.00076121+0.00036627i,-0.00052559+0.00037811i,0.00044155+0.00030333i,4.2963e-05+6.3847e-05i,-0.001012+7.2996e-06i,-0.0011297+0.00066279i,-0.00092507+0.00058528i,-0.00055927+1.7482e-05i,-1.9022e-05-0.00097259i,0.00036052-0.0011213i,0.00015898+0.0002422i,0.00031698+0.00072517i,0.00057243+0.00022704i,-0.00026323+0.00032786i,-0.0001244+0.00059672i,5.9389e-05+0.00053768i,0.00021094+0.00067803i
