-0.004603+0.00099422i,-0.0032184+0.00058513i,-0.0039795+0.0020066i,-0.0023027+0.0028182i,0.00032493+0.0030176i,0.00031482+0.0020686i,-7.7074e-05+0.001886i,-7.5383e-05+0.0020608i,0.00011904+0.00074343i,0.00072365-1.2052e-07i,0.00071563+1.5399e-05i,0.00041882-0.00036269i,0.0004825-0.00086396i,0.00011893-0.0010374i,-0.00027674-0.00099168i,-1.5146e-05-0.00027769i,0.00045365+0.00033896i,0.00092331+7.7777e-05i,0.00082883-0.0001501i,0.00018882-0.00063736i,-9.2151e-05-0.00044069i,0.00022257+0.00020808i,0.00034259+0.0004083i
-0.00048847-0.0020917i,-0.00080732-0.0019348i,-0.0023984-0.00012237i,-0.0029165+0.001902i,-0.0026591+0.0034314i,-0.0019743+0.003062i,-0.00078688-0.00016911i,0.00034825-0.0013306i,0.00053719-0.0011329i,0.00010045-0.00053869i,-4.8767e-05+0.00048866i,-0.00045883-8.5176e-05i,-0.00052624-0.0006205i,-0.00051613-1.2138e-05i,-0.00014248+0.00068988i,8.6489e-05+0.00071107i,-0.00033662+0.00061314i,-0.00040267-9.586e-05i,-0.00033815+0.00017165i,-0.00036757+0.00042615i,-0.00033363-0.00078629i,-0.00020246-0.0012861i,0.00051169-0.00056137i
0.0011028-0.00032985i,-0.00052414+0.00058478i,-0.0005601+0.0003081i,0.0006427+0.00046509i,0.0012828+0.0011341i,0.0009813+0.0014279i,0.00053722+0.00089976i,0.0004365+0.00047497i,-6.2328e-05+0.00048984i,-0.00032314+0.00066717i,0.00011999+0.0011694i,0.0007216+0.001008i,0.00055863+0.00042188i,6.5134e-05+0.00047776i,-0.00043373+0.00030806i,-6.0175e-05-0.00031242i,0.00060787+2.5655e-05i,4.4445e-05-0.00015732i,-0.00014676-0.00033849i,-0.00021244+0.00012827i,-0.00062698+0.00011631i,1.2292e-05+0.00063651i,0.00019024+0.00050189i
-0.0026862-0.00065063i,-0.0029633-0.00040602i,-0.0037719+0.00045214i,-0.0032558+0.001425i,-0.0024679+0.0015668i,-0.001339+0.0004991i,-0.000538-0.00030759i,-0.0003337-0.00058625i,0.00020042-0.00086426i,0.00034715+0.00019845i,-0.00013076+0.0011544i,-0.00027791+0.00041979i,9.9599e-05-0.000668i,0.00025688+0.0001523i,-0.00012659+0.00076762i,9.6988e-05+0.00029103i,-0.00013825+1.4783e-05i,-0.001027+0.00022779i,-0.00058687+0.00053047i,0.00021801+0.00072706i,0.00071278+0.00055812i,0.0010958-8.9594e-06i,0.00096762-0.00043566i
-0.0024159-0.00053357i,-0.0013188-0.0002301i,-0.0017447+0.001204i,-0.0010473+0.0021417i,0.00075674+0.0012363i,0.00095097+0.00042718i,-0.00023969+0.00042033i,-0.00063989+3.1264e-05i,0.00024821-3.4449e-05i,0.00091981+0.00059364i,0.00052066+0.00043802i,0.00099637+0.00012419i,0.00083204+0.00026764i,0.00032914+5.3675e-05i,0.00048214+0.00053195i,0.00055945+0.00073014i,0.00047524-0.00026842i,8.589e-05-0.00020809i,-0.00036766+0.00050803i,-0.00044104+0.00026459i,-0.00042543+6.5993e-05i,5.2208e-05-0.00016674i,0.00053722-0.00018143i
0.00058528-0.0012445i,7.6275e-05-0.00030128i,-0.0010471-1.4518e-05i,-0.0018332+0.00083132i,-0.0015431+0.0018303i,-0.0010657+0.00066333i,-0.0011746-0.00026234i,-0.0008578-0.00016225i,-0.0008006+0.00033223i,-0.00053622+0.00059393i,-0.00055473+0.0013675i,-0.00074043+0.001347i,-0.00029936+0.00025882i,3.9135e-05+0.00059812i,0.00013652+0.0009632i,0.00034702+0.00026016i,0.0001472-1.7697e-05i,-0.00015346+0.00020854i,0.00072377+9.3272e-05i,0.0015327-0.00029337i,0.0014323-0.00068394i,0.00079061-0.0013599i,-2.214e-05-0.00091523i
-0.0016899-2.707e-05i,-0.0017583-0.00048011i,-0.0011415-0.00065962i,0.00047789+0.00040517i,0.0016887+0.0011571i,0.0021133+0.00046066i,0.0009826-0.00050496i,-0.000242-0.00059951i,-0.00076728-0.00029089i,-0.00087661-0.00043614i,-0.00059769-0.000842i,-0.00097961-0.00014203i,-0.0011-1.2885e-05i,-7.5029e-05-0.00023712i,0.00013812+0.00026964i,-0.0001611+0.00040468i,-0.00026773+0.00046117i,7.2462e-05+8.9999e-05i,0.00021481-0.00027519i,0.00013634+0.00032036i,-7.2382e-05+0.00063491i,-0.00021835+8.9082e-05i,-0.00044433+6.6583e-05i
0.00048484-0.00074538i,-0.0011209+5.74e-05i,-0.0026551+0.0014485i,-0.0026211+0.0017474i,-0.0013383+0.0012732i,-8.079e-05+0.00093i,0.00039076-5.8597e-05i,3.4397e-05-0.00038376i,-0.00072868-0.00072205i,-0.00070019-0.00045528i,-0.00071683-7.6643e-05i,-0.001147-0.00013167i,-0.0012426+0.0002198i,-0.00060259-1.1991e-05i,-0.00018467+1.2466e-05i,-0.00091253+0.00045934i,-0.00042512-7.686e-05i,0.00066351+0.00035779i,0.00097636+0.00097724i,0.00056257+0.00088508i,-4.1834e-05+0.00057441i,-8.5638e-05+0.00070556i,-0.00021206+0.00055238i
-0.0016286-0.0012256i,-0.0011588-0.001493i,-0.0010098-0.00091741i,-0.00085345-0.00012505i,-0.00050621+0.00041803i,-0.00023666+0.00069608i,-0.00076228+0.00034139i,-0.00089399+0.00046385i,-0.00046864+0.00090127i,0.00022253+0.001128i,0.00020259+0.00062041i,-0.00045785+0.00052039i,-0.00028867+0.00098881i,0.00048309+0.0005319i,0.00073568+0.000336i,0.0011156+0.00044393i,0.0012222+7.0554e-05i,0.00093427-0.00067879i,0.00095703-0.00072198i,0.00026071-0.00048335i,-0.00032208-0.00018278i,-0.00057643-9.7568e-05i,-0.00068511-0.00027807i
-0.00048359-0.00095954i,-0.001454-0.00068648i,-0.0012977-0.00023728i,-0.0015784+0.00051475i,-0.0014196+0.00090384i,-0.00047751+0.00086645i,-0.00037641+0.00029119i,-0.00018263+6.9855e-05i,0.0004323+0.00037173i,0.00017392+0.00051884i,1.6208e-05+0.0006704i,0.0004056+0.00018893i,0.0010699+0.00031712i,0.0009774+0.00067712i,0.00054623+0.00040768i,0.00054441+0.00034879i,0.00043142+8.7523e-05i,0.00038633-0.00010068i,-0.00013741-0.00038656i,-3.3941e-05-0.00058404i,0.00050987-0.00033287i,0.00037788+2.4265e-05i,8.4839e-06+0.00010239i
0.00059445+0.0014343i,0.00077202+0.0011023i,0.00026457+0.00030661i,8.9315e-05+0.00036858i,9.3295e-05+6.8453e-07i,-0.00061111-0.00045658i,-0.00090018+0.00047519i,-0.00057635+0.00064244i,-0.00011171+0.00063935i,9.7968e-05+0.00085453i,-7.1629e-05+0.00052515i,-0.000562-0.00011687i,-0.00064239-0.00038296i,-0.0008094-0.00020306i,-0.00013098+0.00022448i,0.00069616+0.00018692i,0.00057815+0.00022277i,0.00038285+0.00031329i,0.00059424-9.9442e-05i,0.00077603-1.7485e-05i,0.00088308-0.00010208i,0.0006086+2.8055e-05i,-0.00014999-0.00047593i
