-0.00021779-0.0005998i,-9.8788e-05-0.0012811i,-0.0012628-0.00097194i,-0.0015051-0.00011614i,-0.0013324+0.00075164i,-0.00040506+0.0014372i,0.00012384+0.001111i,-0.00044936-0.00019918i,-0.00037727-0.0016732i,0.00010432-0.0012782i,0.00050098-0.0011644i,0.00086271-0.0018765i,0.00027115-0.0012778i,-0.00043592-6.17e-05i,-0.00056846+0.0008606i,-0.00070176+0.0008273i,-0.00031507+0.00096799i,0.00032853+0.00071749i,0.00086504-0.0001221i,0.000455-0.00052309i,-1.13e-06-0.00035515i,0.0003975-0.00010792i,0.0011051+0.00046848i
-0.0012709+0.0012569i,-0.00056375+0.00075222i,-0.00044515-0.00059233i,-0.00083314-0.00016964i,-0.0017701+0.00089923i,-0.0021011+0.00017155i,-0.00072839-0.00087343i,6.185e-05-0.00077714i,0.0005204-0.00049786i,0.0010796-0.0010258i,0.00088702-0.0014993i,0.0012567-0.0013995i,0.00088741-0.00088891i,-0.00067473-0.00089469i,-0.00081573+0.00030463i,-0.00019565+0.00077545i,-0.00055587-0.00040667i,-0.0010772-0.00077509i,-0.00076269-0.00016942i,-9.9416e-05-0.0001133i,-0.00015426-0.00041698i,-0.00057025-0.00043783i,6.1305e-05+1.5763e-05i
-0.0020642-0.0010008i,-0.00098063-0.00047362i,-0.00099231-0.00032512i,-0.0017929+0.00019536i,-0.0015422-2.2736e-05i,-0.00036672+0.00026185i,0.00015886+0.00073235i,0.001186-0.00070169i,0.0018222-0.0016846i,0.0010658-0.00062036i,0.00028405+5.6043e-05i,1.2573e-05-0.00026332i,-0.00026877-0.00051883i,-0.00087398-0.0002355i,-0.0011902+2.8537e-06i,-0.00025625+0.00015331i,0.00021128-0.00017203i,-0.00011103-0.00016071i,0.00013424-0.00052102i,0.00044989-0.0003969i,5.0645e-05+8.9302e-05i,-4.5736e-05-0.00024132i,0.00058555-0.0004908i
0.0020238-0.0010029i,0.0012521-0.0011397i,0.00042729-0.0025573i,-0.00066284-0.0030013i,-0.00065845-0.001874i,0.00034163-0.0010232i,0.0013043-0.0012131i,0.0021172-0.0020844i,0.0021736-0.0020616i,0.00032033-0.00097915i,-0.0013402-0.00057849i,-0.0010792-0.00055682i,-6.9004e-05+7.7714e-05i,0.00048693+0.00016097i,0.00011267-0.00075111i,-0.00053238-0.0012158i,-0.00048495-0.00068855i,-0.00074133-0.0005122i,-0.00096302-0.0010002i,-0.00045718-0.00039049i,-8.8329e-05+0.00083125i,-1.5868e-05+0.00051398i,-0.0001924+0.0001757i
0.0017928-0.00016467i,0.0023094-0.00040489i,0.0017141-0.00076315i,0.00073932-0.00053905i,0.00018451+0.00010787i,-0.00033331+0.00074344i,7.6783e-05+0.00010122i,0.0019254-0.0011265i,0.0027902-0.0013528i,0.00066317-0.0003871i,-0.0011351+0.0009672i,-0.00048885+0.0010791i,0.00015927+0.00076684i,0.00051286+0.0014382i,0.0003273+0.0017135i,-0.00095129+0.0003933i,-0.00026258-0.0003186i,0.00056796+0.00083566i,-4.788e-05+0.0010017i,-0.00027648-0.00077228i,-6.2624e-05-0.0016395i,0.00044847-0.0010043i,0.0012804-0.00031458i
-0.0012018+0.001682i,-0.001313+0.00059782i,-0.0015108+0.00060337i,-6.9121e-05+0.00098683i,0.00016981+0.00038377i,0.00019854+7.8875e-05i,0.0010098+0.0001345i,0.0013481-0.00036793i,0.0011991-0.00066302i,0.00071663+0.00045398i,0.00067917+0.001999i,0.0010502+0.0018898i,0.0005216+0.00075434i,-0.00048912+0.0011957i,-0.00026993+0.00086722i,0.00010595-0.00025649i,-0.00038611-0.00042395i,-5.4895e-05-0.00082803i,0.00066301-0.00043691i,0.00046425+0.0004785i,-0.00032638-0.00017004i,-0.00059503-0.00055776i,-0.0010017+0.00043174i
0.00034845-0.0012666i,0.0011895-0.00070974i,0.0013537-0.0011871i,0.0013107-0.00080252i,0.001445-7.1738e-05i,0.0013031+0.00031113i,0.0010631-0.00021327i,0.0014629-0.0015594i,0.0015584-0.0012461i,0.0015513-0.00016785i,0.0018617-9.8512e-06i,0.0018104-8.7434e-06i,0.00078312-0.00047258i,0.00031222-0.00082776i,0.00043277-0.00035443i,9.4639e-05+0.00014435i,-0.00036149-0.00020266i,-0.00080927-0.00050687i,-0.00018316-0.0002386i,0.00075644+0.00034971i,0.00056671+0.00052519i,-0.00014917+0.0003991i,-0.00047373+0.00033773i
0.00028321+0.0013396i,5.9575e-05+0.00053519i,-0.00014512+0.00033949i,0.00099496+0.00017893i,0.0014401+0.00020942i,0.00013537-0.00039636i,-0.00024944-0.00090283i,0.00058709-0.0009059i,0.00063462-0.001218i,0.00042483-0.0015571i,0.00070141-0.0018225i,0.0011517-0.0021244i,0.00064242-0.001382i,-0.001148-0.00054877i,-0.0014396-0.00057971i,-0.0013782-9.0479e-05i,-0.0014492+0.0010177i,-0.00072035+0.0013549i,-0.0006536+0.00030487i,-0.00061692-8.6815e-05i,-0.00038292-0.00022793i,-7.0899e-05-0.00027644i,-0.00059221+0.00032282i
0.00039814+0.0010639i,-0.0006909+0.00074423i,-0.0011328+0.00059189i,-0.0015284+0.00032271i,-0.0011458+0.00099874i,-0.00038174+0.00063481i,0.00013644-0.00080643i,0.00090873-0.0016695i,0.0012864-0.0018331i,0.00027778-0.0015722i,-0.0010396-0.00078407i,-0.001228-0.00039752i,-0.00074171-0.00054889i,-0.00048687+0.00050266i,-0.00084451+0.001183i,-0.0011037+0.00063743i,-0.0007966-6.4999e-05i,-0.00043243-4.3862e-05i,-0.00012773-0.00017922i,0.00043932-0.00049566i,9.0575e-05-0.00066178i,-0.00043674-0.00055598i,-0.00024732+9.5126e-05i
0.00013932+0.00093884i,0.0010794+0.00042353i,0.002149+0.00017518i,0.0023629-0.0010221i,0.00064662-0.0019084i,-0.0017291-0.0014914i,-0.0011945-0.00032237i,0.0003027+0.00033771i,0.00011399-0.00035732i,-0.00035297-0.00068583i,-0.00039268-2.7386e-05i,-0.00033232+0.00060671i,1.8542e-05+0.0011006i,-8.3551e-05+0.0013215i,-0.00026935+0.0011127i,-8.2547e-05+0.00061588i,-0.00021626-0.00029991i,-0.00054034-0.00033257i,-0.0010043+0.00069693i,-0.00097802+0.00061615i,-0.00062189+0.00030041i,-0.0004524+0.00036844i,-0.00024357+0.00027477i
0.0011174+0.0014491i,0.00060254+0.00084665i,0.00021652+3.7982e-05i,-8.7687e-05-0.00012949i,-0.00068618-0.00020133i,-0.00031502-0.00039004i,0.00080312-0.0013061i,0.0018668-0.0026326i,0.0015572-0.0019687i,0.00019157+0.00011205i,-0.00017115+0.0019653i,0.00047289+0.0018328i,0.0013031+0.00061637i,0.0012992+0.00041142i,0.0011741+0.00037699i,0.0014489-0.00012069i,3.4281e-05+0.00081081i,-0.00076964+0.0016518i,-0.00030636+0.00063973i,-0.00019078-0.00020077i,0.00011601-0.00032925i,2.731e-05-8.4495e-05i,-0.00021705+0.00065666i
-0.0012569-0.0038126i,-0.0011163-0.0042183i,-0.0020429-0.0029281i,-0.0017127-0.00097506i,-0.0013722-0.00016903i,-0.00023022-0.00026026i,0.0011068-0.00093411i,0.0018058-0.0019034i,0.0017376-0.0011391i,0.00089212+0.00051094i,0.00050544+0.00075963i,0.00070872+0.00063003i,0.0002592+0.00020462i,-0.000189-0.00060311i,-0.00059247-0.00060831i,-0.0010574-4.7049e-05i,-0.00063451+0.00043526i,-0.00035629+0.00070779i,-0.00057011+0.00022616i,4.2033e-06-0.00030394i,-5.2913e-05-2.5025e-05i,-0.00073854+0.000449i,1.4546e-05+0.00092026i
0.0014613-0.0010407i,0.0020879-0.0010455i,0.0015612+0.00084529i,0.0011907+0.0013734i,0.001226+0.00073182i,0.0010567+0.00074835i,0.00089435+0.00017674i,0.0016375-0.0013724i,0.002076-0.0026079i,0.001188-0.0021703i,0.00069139-0.00079421i,0.00062333-0.0010983i,-0.00074322-0.0015656i,-0.0012074-0.0011926i,-0.00063955-0.00058578i,-0.00062122-0.00022521i,-0.0013409+0.00037386i,-0.0010518+0.00078714i,-0.0001097-0.00049361i,-0.00011696-0.0012118i,-0.00023001-0.00064057i,-0.00031197-0.0005089i,-0.00014634-0.00058841i
-0.0003484-0.00041077i,-0.00076068+0.0010604i,-0.0012582+0.0019159i,-0.00062944+0.0015112i,0.00030561-0.00031144i,0.00017681-0.0013252i,0.00029512-0.0014766i,0.001335-0.0017109i,0.001767-0.0015546i,0.00077176-0.0010062i,-0.00038642-0.00027429i,-0.00040499-0.00073841i,-0.0005493-0.00054808i,-0.00072146+4.695e-05i,-0.00034883+0.00033111i,0.00020658+0.00071133i,0.00013835+0.00088656i,-0.00015948+0.00070811i,-0.00015054+0.00015415i,-0.00015324-0.0002124i,-0.00054875-0.00043405i,-0.00067267-0.00072507i,-0.00022571-0.00092089i
0.00079358-0.00021492i,0.00022366-0.0016082i,0.0006676-0.002154i,0.00019528-0.0023825i,-0.00036061-0.0021705i,-0.0005749-0.0014757i,-0.00049655-0.00052318i,0.001076-0.00044558i,0.0014809-0.00035008i,-0.00043464+6.7814e-05i,-0.0016112-0.00025125i,-0.0013142-0.0002939i,-0.00080187-0.00096889i,-0.00052781-0.0012112i,2.2571e-05-0.00066008i,0.0010833-4.4721e-05i,0.00086541-0.00022067i,-2.2483e-05-0.00050655i,-2.1117e-05-0.00050364i,0.00046291-0.00062539i,0.00065958-0.00054023i,-2.7374e-05-0.00069144i,-0.00024191-0.00044965i
0.0011664+0.0023091i,0.0015412+0.002403i,0.0016866+0.00171i,0.0018067+0.0012163i,0.0012473+0.00098736i,8.1339e-05-0.00039261i,-0.00013166-0.0008826i,0.0013988-0.0013054i,0.0022235-0.0016449i,0.0014047-0.00041781i,0.00056805+0.00074941i,0.00012516+0.0012344i,-9.5011e-05+0.00046553i,-0.00032971-0.00035245i,-0.0007292-0.00042654i,-0.0011982-0.00050484i,-0.0013788+0.00037309i,-0.0006524+0.0004653i,-0.00063822-0.00084995i,-0.0019118-0.0013749i,-0.002021-0.00099298i,-0.0015001-0.00066308i,-0.00033859-0.00097031i
-0.00091167+0.00033197i,-0.0011322+6.0326e-05i,-0.001649-0.00025352i,-0.0014432-0.00053644i,-0.0011941-0.00025869i,-0.00042285+0.00079822i,0.00074169+0.0011802i,0.0017323-0.00017495i,0.0015494-0.0014974i,0.00076652-0.00060747i,1.6078e-05+0.0013821i,0.00012337+0.0019364i,0.0010143+0.001231i,0.0008287+0.00011298i,-0.00037042-0.00018966i,-0.00070283-4.0173e-05i,-4.0575e-05+0.00038122i,0.00054032+0.00081725i,0.0002828+0.0006571i,-5.3422e-05+0.00036023i,-0.00077978-0.00033277i,-0.00048724-5.0263e-06i,0.00033568+0.00045153i
-0.00075781+0.0020158i,0.00098975+0.00065876i,0.0012705-4.2387e-05i,0.0011313-0.00030027i,0.00108-0.00013503i,0.00036437+7.958e-05i,0.0004391-0.00038733i,0.0012136-0.00076297i,0.0010883-0.00087614i,0.0009059-0.00086597i,0.0014947-0.0013769i,0.0018312-0.0015753i,0.00097984-0.00032446i,-0.00066934+0.00082481i,-0.001286+0.0015683i,-0.00092391+0.0013141i,-0.00047883+0.00024936i,-0.00029844-0.00058518i,9.3874e-05-0.0002562i,0.0013144+1.359e-05i,0.0011395-2.3649e-06i,7.9819e-05-4.8831e-05i,-0.00049457+6.0217e-05i
-0.0018099+0.0011194i,-0.0015042+0.0013696i,-0.0010631+0.0012495i,-0.0015943+0.0007793i,-0.0014718+0.00067593i,-0.00037175+4.7029e-05i,7.0072e-05-0.0011836i,0.00040593-0.0014344i,0.00061936-0.0012372i,0.0002985-0.0011432i,0.00018952-0.00092157i,0.00036873-0.00084252i,-0.00023004-3.9718e-05i,-0.0011898+0.00079944i,-0.0013367+0.0010744i,-0.0010111+0.00043526i,2.9991e-05+2.5921e-05i,0.00032091+0.00071923i,-0.00025503-0.00029656i,-0.00036462-0.00084604i,-0.00014379-0.00017149i,0.00056299-8.238e-05i,0.00029013+0.00011603i
-0.00091325-0.0024785i,-0.0015754-0.0036023i,-0.0012489-0.0028987i,-0.00046994-0.0017207i,0.0005867-0.0013896i,0.0001688-0.001853i,0.00017736-0.0016815i,0.001358-0.0012481i,0.0016561-0.0015314i,0.00050532-0.0011993i,-0.00076472-0.00017375i,-0.0011011+0.00072224i,-0.00089553+0.0010767i,-0.00074084+0.0014833i,-0.00021334+0.00095947i,0.00010133+0.00018593i,1.9138e-05+1.0517e-05i,8.5268e-05+0.00051444i,0.00021956+0.0011061i,0.0002571-8.0914e-05i,1.6772e-05-0.0011051i,0.00072322-0.00063574i,0.00036546+0.00017403i
0.0019785+0.00017157i,0.0019868-6.4494e-05i,0.0018278+0.00058209i,0.0012624+0.00076625i,0.00090611+0.0003791i,0.00062696+0.00047758i,0.0016432+5.1751e-05i,0.002246-0.00098945i,0.0016897-0.0018228i,0.0003632-0.0011971i,-0.00048412+0.00037597i,-0.00023107+0.00095934i,-0.00011834+0.0007782i,4.2534e-05-7.3297e-05i,0.00029714-0.00037858i,-0.00024851-0.00061648i,-0.00027143-0.001091i,0.000114-0.00076951i,-0.0002524-0.00065603i,-0.00080349-0.00076117i,-0.0012309-0.00044766i,-0.001515-0.00054415i,-0.0010881-0.00023627i
0.00096022-0.00049797i,-0.00018334-3.6866e-05i,-0.0011125-0.0010378i,-0.0012657-0.0014367i,-0.0010438-2.4979e-07i,-0.00096146+0.000216i,-0.0001916-6.1775e-05i,0.0011851-0.00083059i,0.0010475-0.0017614i,5.0233e-05-0.0014343i,-0.0003575+5.6128e-05i,-0.00040822+0.0011792i,-0.00026928+0.00048289i,-0.00041821-0.0005598i,-0.00019259-0.0011198i,0.00033023-0.0010579i,0.00045888-0.00073879i,0.00026404-0.00024194i,-0.00045555+0.00029397i,-0.00022275+0.00024955i,0.00018038+0.00023818i,4.1441e-05+0.000123i,-0.00015602-0.00029605i
0.0012957-0.00269i,0.0020289-0.0030366i,0.0022946-0.0019436i,0.0011981-0.00043944i,-0.0001834+4.4327e-05i,0.00035216+0.00054457i,0.0011593+0.00045617i,0.0010591-0.0004229i,0.0006753-0.0013133i,-0.00024612-0.001375i,-0.00020813-0.00076485i,0.00015786-0.00063816i,0.0006514+0.00013795i,0.00045099+0.00094336i,-0.00041225+0.0012375i,-0.00055647+0.0005496i,-0.00095217+0.00030281i,-0.00060013+0.00054038i,0.00046288+0.00044495i,0.00079997+0.0013265i,0.00018352+0.0012912i,-0.00073023+0.00013157i,-0.00030498+8.7782e-06i
-0.00046491-6.5073e-05i,-0.0004275+0.00065377i,-0.0011758+0.00075149i,-0.00101+0.00075066i,-3.5708e-05+0.0011256i,0.00063796+0.00042748i,0.00087232-0.00028915i,0.0015235-6.0335e-05i,0.0024741+0.00065892i,0.002064+0.00065727i,0.001285+0.00046777i,0.0010543+0.00024842i,0.00032602-0.0003039i,-0.0001183+6.4825e-07i,5.6783e-05+0.00042807i,0.00063347+0.00057253i,0.00083418+0.0012902i,0.00015629+0.0012522i,0.00030779+0.00036657i,0.00078707-0.00059816i,0.00058726-0.0012789i,2.2904e-05-0.00049388i,7.6908e-05+0.00018907i
-0.00041676-0.0011762i,-0.00040413-0.0020882i,0.0010971-0.0020332i,0.00048222-0.0012837i,-0.00067967-0.00079385i,-0.00054986-0.00025088i,-0.00014882-0.0005338i,0.0015668-0.0010301i,0.003318-0.0010412i,0.0033826-0.00016938i,0.0020378+0.00018728i,0.00057687-0.00069186i,-2.8703e-05-0.00052911i,-0.00055226+0.00022222i,-0.0010011+0.00071028i,0.00021812+0.00035661i,0.0010518+8.9645e-05i,9.047e-05-0.00032539i,0.00016681-0.00064806i,0.0002957-0.00042371i,-0.00021325-0.00031315i,-7.7934e-05-5.8552e-05i,-0.00020332+0.00082643i
0.0027812-0.00018388i,0.0029153+0.00024597i,0.0033113+0.00015513i,0.0023327-0.00013144i,0.00058917+0.00045734i,-0.00047088+0.0017856i,-0.00036731+0.00076958i,0.00076016-0.0017482i,0.0015535-0.0032832i,0.00058923-0.0038897i,-0.00060038-0.0027536i,-0.00087717-0.00060238i,-0.00052+0.00011152i,7.8063e-05-0.00067565i,0.0005481-0.00071584i,0.00061705-1.636e-05i,0.00074494+0.00019736i,0.00052189-0.00029827i,-0.00027842-0.00065154i,-0.00046645-0.00057524i,-7.581e-05-0.0010323i,0.00034692-0.0010937i,0.00057056-0.00030203i
0.00064935+0.00061077i,-0.00028762+4.0991e-05i,-0.0020573-0.00058134i,-0.0024651-0.00092891i,-0.001867-0.00050068i,-0.0014881-0.00012335i,-0.00030135+0.00034208i,0.00020739-0.00099872i,-0.00073037-0.0024047i,-0.0019016-0.0018594i,-0.0013411+0.00025417i,-0.00075834+0.0015197i,-0.001326+0.00066739i,-0.0014629+3.5991e-05i,-0.0015026+0.00036525i,-0.0018967+0.00012001i,-0.0019759-0.00029912i,-0.00070665-0.00025983i,-0.00011314+0.0001148i,-0.00053415+0.00033062i,-0.0002943+0.00031288i,-0.0003688-0.00024291i,-0.00012904-0.0006077i
5.9382e-05-0.00085245i,0.00059534-0.0024331i,0.00059934-0.0025305i,-0.00016303-0.0020218i,-0.00013405-0.0019044i,-0.0005069-0.0019466i,-0.0004453-0.0014315i,0.00043227-0.00056593i,0.00016354+0.00032333i,-0.0012574+0.0011623i,-0.0012682+0.0020912i,-0.00041195+0.0017232i,-0.00014317+2.0553e-05i,-0.00078993-0.00081773i,-0.001123-0.00037362i,-0.00064321+0.00039618i,-0.00082722+0.00030601i,-0.00059385-0.00034617i,0.00017233+1.4629e-05i,0.00031471+0.00054149i,-0.00018849+0.00020038i,-0.00060607+0.0010019i,-0.00065405+0.0010898i
0.0011946+0.0020638i,0.0010189+0.0024112i,0.0016506+0.0015217i,0.0029981+0.00033739i,0.0027887-0.00026668i,0.0013471+0.00029575i,0.0012338+0.00020162i,0.002768-0.0006657i,0.0031375-0.0001317i,0.0021669+0.00021015i,0.0018673-0.00011886i,0.0019552-0.00088892i,0.0014036-0.00061393i,0.0013046+0.00077998i,0.0003422+0.0011162i,-0.00034776+0.00076803i,0.00070411+0.00046324i,0.0011369+0.00019614i,0.00066959-0.00026214i,4.9008e-05-0.00070497i,0.00021005-0.00081028i,-7.5829e-05-0.00047788i,-0.00067307-0.00054814i
-0.001552+0.00085837i,-0.0014169-0.00064438i,-0.0011283-0.00083596i,-0.00080071+0.000592i,-0.00075467+0.0016549i,-0.00062841+4.3193e-05i,0.0001153-0.0015809i,0.0017536-0.0016079i,0.0031539-0.0010795i,0.0028921-0.00053493i,0.0018253+7.1364e-05i,0.0013989+2.0813e-05i,0.0012701-0.00070412i,0.0011229-0.0010785i,0.00077572-0.00044037i,0.00010461-0.00019426i,8.889e-05-0.00060272i,-5.5934e-05-0.00041808i,-0.00052713-0.00014837i,-0.00099072-4.7696e-05i,-0.00086436-0.00040399i,-0.00028294-0.00014544i,3.7682e-05+0.00086897i
0.00062372-0.00097232i,0.00062316-0.00045684i,0.00086594-0.00058505i,0.0010676-0.0012533i,0.00094733-0.0014266i,0.00091757-0.00087436i,0.0014303-0.00093457i,0.0020242-0.002224i,0.0018645-0.0039669i,0.00093349-0.0044104i,-0.00024865-0.0034326i,-0.00045535-0.0022216i,-0.0004708-0.0016267i,-0.00040156-0.00086399i,-0.00068508-0.00017646i,-0.00018382-0.00011986i,0.00040761-0.00051999i,1.4261e-05-0.00040437i,-0.00029466+0.00034144i,-0.00083891+0.00058045i,-0.0010031+0.00059274i,-0.00035406+0.00045232i,0.00021965+0.00046367i
-0.0013232+0.0033808i,-0.0012618+0.0013182i,6.926e-05+0.0010766i,0.0012588+0.0020002i,0.0011505+0.00081758i,0.00079341-0.00082938i,0.00089823-0.0010659i,0.00095606-0.0013395i,0.00058243-0.0015228i,7.6525e-05-0.0011876i,-0.00078676-0.00035659i,-0.00090682+0.00016345i,-0.00065563+0.00059821i,-0.001412+0.00068403i,-0.0017983+0.00080149i,-0.0014731+0.00077794i,-0.00050698+0.00065999i,0.00035387+0.00013659i,0.00045023-0.00048849i,0.00042466-0.00046452i,5.1106e-05+0.00012104i,0.00020729+6.6554e-05i,0.00096206-0.00088275i
0.0019866-0.00025157i,0.0010205-0.00038668i,0.0010243-0.0015367i,0.00027668-0.0015748i,-0.00078188-0.00033591i,-0.0015396+0.00075352i,-0.00070154+0.0013038i,0.00076925+0.0013138i,0.0010739+0.00072513i,-2.867e-05+0.00086606i,-0.00095013+0.0022907i,-0.0012388+0.0025604i,-0.0010048+0.00089835i,-0.0010684+0.00056377i,-0.0016237+0.0013608i,-0.0015453+0.0010029i,-0.00073543+0.00075371i,-0.00014865+0.00059758i,7.9372e-05+0.00075839i,-0.00029462+0.00057541i,-0.00024823+0.00087201i,0.00014679+0.0012716i,-6.0776e-05+0.0002148i
-0.0015409-0.0016682i,0.00034803-0.00065715i,0.00028376-0.00029891i,-0.00013209+0.00075022i,0.00061373+0.0015542i,0.0013927+0.0013127i,0.0020148+6.0676e-05i,0.0018892-0.00092434i,0.0014106-0.0005765i,0.0014557+0.00080055i,0.0012399+0.0015612i,0.0006508+0.00013931i,-0.00013404-0.0012117i,-0.00043326-0.0010786i,-8.4786e-06-0.00092188i,0.00079118-0.0004926i,0.00067127-9.9502e-05i,-0.00036595+0.00010361i,-0.00087726+0.00016397i,-0.00067461-0.0010288i,0.00023622-0.0016401i,-0.00011557-0.0015213i,-0.0010045-0.00092992i
-0.0030637+0.00015953i,-0.0033639-0.00080102i,-0.0017907+0.00040861i,-1.7851e-06+0.0017979i,0.0012286+0.00093902i,0.0018937-0.00069559i,0.0017247-0.001099i,0.0022331-0.0013028i,0.0027356-0.0011919i,0.0030726-0.0010379i,0.0023276-0.00019144i,0.0011802-0.00021794i,0.00073258-0.0012445i,0.00066496-0.00095238i,0.00082819-9.9061e-05i,0.00033104-0.00043374i,-0.00035512-0.00078482i,-6.1291e-05-0.00070221i,0.00033266-0.00091128i,-4.4255e-05-0.00087364i,0.00033406-0.00068917i,0.00047759-0.00035563i,-9.6275e-05-0.00013222i
0.001224-0.00014516i,0.0014273-0.0012526i,0.0015177-0.0016212i,0.00088428-0.001273i,0.00037475-0.0015962i,0.00037768-0.0017101i,0.0012985-0.0016603i,0.0022053-0.0018584i,0.0017198-0.002628i,0.00067539-0.0028306i,-0.00060366-0.001329i,-0.00027463-0.00092008i,0.00058345-0.0015789i,-0.000441-0.0012434i,-0.0011485-0.0010755i,-0.0009632-0.0008753i,0.00021454-0.00065631i,0.0010517-3.4088e-05i,0.00068132+0.0001048i,0.00016589-0.00017567i,-0.00021268+0.00023848i,-0.00049408+0.00024957i,-1.145e-05-0.00057713i
-0.00058602+0.00044696i,8.0043e-05+0.00070245i,0.00073902+0.0014187i,6.8077e-05+0.0020367i,-0.00066753+0.0010133i,4.466e-05-8.8309e-05i,0.0014034-0.00087933i,0.001631-0.0014227i,-8.4602e-05-0.0020455i,-0.00055736-0.001865i,0.00039694-0.0011042i,0.00058269-0.0013295i,-0.00016995-0.0015316i,-0.00026803-0.0013391i,-0.00027041-0.00063683i,-0.00090867+0.00037581i,-0.00087517+0.0011368i,-0.0001996+0.00029821i,0.0014456-0.00093338i,0.0025063-0.00045352i,0.0018819-5.1987e-05i,0.001652-0.00021603i,0.0013763-0.00044025i
-0.0013224-0.002425i,-0.00081468-0.0016458i,-0.0020833-0.0012279i,-0.0030568-0.0007461i,-0.0018556-0.00074692i,0.00016843-0.0010484i,0.0014879-0.0014615i,0.0018595-0.0015046i,0.0018651-0.0010633i,0.0013495+0.00025988i,0.00092268+0.0016233i,0.00086888+0.0017086i,-3.0309e-05+0.0013027i,-0.00078102+0.00088451i,-0.00027682+0.00074281i,9.2059e-05+0.00069876i,0.00015833+0.00095539i,-0.00014966+0.00067665i,-0.00019319-0.00044571i,0.00053376-0.00088189i,0.00063337-0.001231i,0.00057622-0.0014535i,0.00058663-0.00099121i
0.0032386-0.00032545i,0.0017296-0.00086992i,0.0021412-0.0026762i,0.0016047-0.0033914i,0.0010436-0.001877i,0.00023997-0.00021159i,0.00057044+0.00093154i,0.0014473+0.0007268i,0.0013861-0.00012481i,-0.00013939-0.00066244i,-0.001533-0.00063649i,-0.0011573+0.00046193i,-0.00082893+0.0014835i,-0.00044398+0.0011568i,-0.00038296+0.00015127i,-0.00048526-0.00067389i,-0.00013171-0.00043123i,-0.00056059-0.00023267i,-0.00085443-0.00013705i,-0.00085593+4.5467e-05i,-0.0014591-0.00025347i,-0.0014255-0.00020983i,-0.00095514+0.0008779i
0.0012476+0.00072768i,0.00042271+0.0013927i,-7.1325e-05+0.0019679i,-0.00036401+0.0015659i,-0.00013691+0.00061438i,-0.00060428+6.3689e-05i,-0.00040421+0.00043059i,0.001048+0.00043514i,0.0016823+0.00027716i,9.0091e-05+0.00067075i,-0.0007775+0.00097899i,0.00020453+0.00081927i,0.00141+0.00055373i,0.0012661+0.00092787i,0.00059759+0.00050514i,-0.00013133-0.00012219i,-0.00049886-0.00030131i,-0.00023165-0.00054449i,-4.4008e-05+8.7377e-05i,-0.0005166+0.00068859i,-0.00098659+0.00052385i,-0.00071524+0.00014655i,-0.0012413-6.6038e-05i
-0.0026522-0.00060494i,-0.0011387-0.00066124i,-0.0016256-0.00040795i,-0.001789+0.00016221i,-0.00060167+4.5481e-06i,0.00069836-0.00092894i,0.0015025-0.0016138i,0.0024142-0.0021286i,0.0027848-0.0015621i,0.0014653+0.00081416i,0.00016259+0.0019172i,0.00032093+0.0014278i,0.00011428+0.00053857i,-0.00025437-0.00039738i,-5.2662e-06-0.00026822i,-1.066e-05-0.00026983i,-0.00054142-0.00013412i,-0.00012739+0.00013941i,0.00065205-0.00014652i,0.00028508-0.00076727i,-8.4052e-05-0.00053653i,-0.00030797+0.00092167i,-0.00041589+0.0010169i
-0.00085903+0.0025115i,0.00047895+0.0019704i,0.0018802+0.0014322i,0.0025212+0.001351i,0.0024464+0.00027545i,0.0017514-0.00087249i,0.00088225-0.0016674i,0.00063246-0.0018332i,0.0025489-0.0020241i,0.0035386-0.0022478i,0.0028138-0.0021741i,0.0022472-0.0026922i,-5.6643e-05-0.0026966i,-0.0016891-0.0022576i,-0.00052562-0.0017592i,0.00045489-0.00069819i,3.287e-05+0.0005999i,0.00011242+0.00045904i,0.0003852-0.0004066i,0.00088046-0.00053994i,0.00090475-0.00028618i,0.00079034-0.00022567i,0.0012444-0.00054397i
-0.0029303-0.00038814i,-0.0031929-0.0014172i,-0.0020303-0.0011157i,-0.0010343+0.0003392i,-0.00036846+0.00063063i,-0.00018063+0.000379i,0.0001349+7.2743e-05i,0.0011222-0.0012375i,0.0015583-0.0029633i,0.00018781-0.0039122i,-0.00059864-0.0031667i,-0.00038286-0.0013876i,-0.00078388-0.00016667i,-0.0010265-0.00037973i,-0.00083137-0.00035991i,0.0002382+0.00025634i,0.00094973+0.00043693i,0.0002694+2.1521e-05i,-0.0007099-0.00085401i,-0.00049069-0.0012309i,0.00023251-0.00095229i,-1.405e-05-0.0011841i,-0.0006448-0.0016698i
0.0016236-0.002059i,0.0011108-0.0029153i,0.0005636-0.0029935i,0.00039773-0.0016233i,-0.00015582-0.00050783i,-0.0004443-2.6218e-05i,-5.3341e-05-6.8501e-05i,0.00018928+3.5319e-06i,-0.0014164-0.00046141i,-0.004186-0.00064428i,-0.0049726+0.00052331i,-0.0030135+0.0007324i,-0.001074+0.00021272i,-0.0011074+0.00064306i,-0.0016499+0.00061561i,-0.0012793+0.00060544i,-0.00021428-0.00029388i,0.00017836-0.0010945i,6.1869e-05-0.00093491i,-4.7809e-05-7.3639e-05i,-0.00085982+0.0010708i,-0.0013533+0.00066562i,-0.00078738+0.0002202i
