-0.00021779-0.0005998i,-9.8788e-05-0.0012811i,-0.0012628-0.00097194i,-0.0015051-0.00011614i,-0.0013324+0.00075164i,-0.00040506+0.0014372i,0.00012384+0.001111i,-0.00044936-0.00019918i,-0.00037727-0.0016732i,0.00010432-0.0012782i,0.00050098-0.0011644i,0.00086271-0.0018765i,0.00027115-0.0012778i,-0.00043592-6.17e-05i,-0.00056846+0.0008606i,-0.00070176+0.0008273i,-0.00031507+0.00096799i,0.00032853+0.00071749i,0.00086504-0.0001221i,0.000455-0.00052309i,-1.13e-06-0.00035515i,0.0003975-0.00010792i,0.0011051+0.00046848i
0.00069405-0.00068623i,4.7665e-05+0.0010225i,-0.00042973+0.0014968i,-0.0010044+0.00048395i,-0.0010145-0.00033615i,-0.00039272-0.00058889i,0.0010522+0.0002305i,0.0013618-6.7826e-05i,0.00047552-0.00098799i,-0.00013385-0.00081262i,3.5446e-05-0.00015177i,0.00053901+0.0002954i,0.00018324+0.00068524i,-0.00052875+0.00071467i,-0.00055216+0.00012261i,-0.00034658-0.00018833i,-3.7942e-05+0.00074794i,-8.2653e-05+0.001537i,-4.0453e-05+0.0010628i,-0.00030283+0.00018919i,-0.00030277-0.00011387i,0.00079557+0.00022555i,0.0010468-0.00021137i
-0.00086119+0.0010967i,-0.0013378+0.00051959i,-0.00032699-0.0004014i,0.00021435-6.9476e-05i,-0.00068731-0.00046345i,-0.00094463-0.001281i,-0.00019134-0.00095948i,0.00048289-0.00042403i,-0.00038883-0.0005086i,-0.0002826-0.0007496i,0.000941+0.00018684i,0.00086382+0.00092906i,-9.1917e-05+0.00065775i,-0.00030889+0.000552i,0.00023878+0.00052989i,-0.00026293+0.00048184i,-0.00070267-1.5222e-05i,-0.00016413-0.0001112i,9.8321e-05-1.0418e-05i,-6.9773e-05+3.6825e-05i,-0.0006535+0.00047825i,-0.00074135+0.00039531i,-5.2233e-05-0.00014579i
0.0002547-3.8312e-05i,-0.00049659-0.00080748i,-0.00028001-0.00072014i,0.0010746-0.00096093i,0.00096915-0.00048579i,0.00016014-0.00064012i,0.00038954-0.0013925i,0.00027636-0.0013046i,-8.0322e-05-0.0011155i,-0.00026145-0.0006269i,-0.00038412-0.00039148i,-0.00036939-0.0007564i,-3.8928e-05-0.0010373i,-0.00066591-0.0009963i,-0.00096207-0.00020607i,-0.000346+0.00030913i,-0.00015532-2.4058e-05i,4.4835e-05-0.00037544i,-0.00043126-0.00013927i,-0.00066946-0.00031551i,-0.00042309-0.00027072i,-0.00091866+0.00072409i,-0.00074947+0.00036485i
-0.00037792+0.0013551i,-8.4202e-05+0.0014291i,0.00031151+0.0015789i,0.0013274+0.0014353i,0.0014456+0.00047852i,0.00038836-0.0011034i,-0.0007151-0.0013111i,-0.0013262-0.0010697i,-0.0011282-0.00022062i,-0.00040529+0.00057323i,-0.00021223+0.0004235i,-0.00026182+0.00019823i,-0.00024882+0.00089853i,-7.4733e-05+0.0013495i,7.4879e-05+0.0008474i,-0.00038715-6.2887e-05i,-0.00073372-0.00057722i,-0.0004266-0.00051412i,0.00016954-0.00055658i,0.00039101-0.0005781i,0.00020781-0.00019954i,-0.00032265+0.00059929i,-7.5467e-05+0.0010582i
0.00053416+0.0016394i,-0.00044013+0.00066444i,-0.00044743-0.00064696i,-0.0004774-0.00088988i,-0.00070605-0.00053772i,-0.0007141-0.00064526i,-0.00050323-0.0012683i,-0.00072472-0.0019114i,-0.00088009-0.001587i,-0.00027147-0.0015729i,0.00044966-0.0018081i,0.00030956-0.00062575i,-0.00053946+0.00076374i,-0.00052507+0.0011745i,0.00010495+0.0007829i,0.00029269-0.00016729i,8.7821e-05-0.00020999i,-2.9738e-05-0.00010671i,-2.539e-05+8.3739e-05i,-0.00043663+8.5483e-05i,-0.00038837+0.00024198i,-0.00012836+0.00011299i,-0.00022271+7.715e-05i
-0.00053092-0.00011013i,0.0006508-0.00039742i,0.0010245-0.00050637i,0.00054429+0.00027306i,0.00035081+0.00012851i,0.0002911-0.00042181i,8.0535e-05-0.00076396i,-0.00014095-0.0014393i,-0.00029934-0.0016276i,-0.00040544-0.001075i,0.00025837+0.00031192i,0.00014199+0.0006342i,-0.00032537-0.00037838i,-0.00051203-0.0010861i,-0.00040185-0.0013667i,-0.00012238-0.00098576i,4.2404e-05-0.00037014i,-8.7146e-05-1.489e-05i,-0.00038951-0.0002847i,-0.00086699-0.00052816i,-0.00095387-0.00043801i,-0.00046667-0.00019802i,0.00062405+0.00010226i
-0.0011479+0.00060368i,-0.00057858+0.00040851i,3.7225e-05+0.00209i,-2.0637e-05+0.0027911i,0.00027396+0.0009399i,0.0012228-0.00041108i,0.001119-0.00057517i,0.00066727-0.00035978i,0.00089449-0.00044569i,0.00041059-0.00033966i,-0.00047668+0.00050925i,-0.00053687+0.0011561i,-0.00055977+0.00056205i,-0.00050997+0.00025813i,0.00027612+0.00054251i,0.0003382+0.00042829i,-0.00050608-0.00056248i,-5.6184e-05-0.0011375i,0.00055696-0.00056094i,0.00028259-4.2668e-05i,2.041e-05+5.1576e-05i,-0.00028192-0.00016103i,-0.00075988+6.0056e-05i
0.0011292-0.00023554i,0.00043259-0.00020221i,-5.4826e-05-0.0010665i,-0.00072859-0.001397i,-0.0011078-0.00083235i,-0.00058714+0.00058714i,0.00034391+0.00098507i,0.0009059-0.00015714i,0.00095882-0.0010067i,0.0007128-0.00029249i,0.00031627+0.0001741i,-0.00021459-8.7756e-05i,-0.00021607-0.00059321i,-0.00018831-0.00054817i,0.00096555-0.00015767i,0.00065916-0.00020337i,-0.00084087-0.00070145i,-0.0010242-0.0003715i,-0.00076558+1.3237e-05i,-0.00038249+0.0002588i,-0.00029577+0.00026364i,-0.00088247+0.00023876i,-0.00066866+0.00069365i
-3.4441e-05-0.0013026i,-0.00049408-0.00091929i,-0.00071491-0.00038649i,-0.0011822+0.00031779i,-0.001296+0.00088421i,-0.00067778+0.001203i,-0.00027779+0.00085661i,0.00015122+3.8369e-05i,-0.000413+1.4904e-05i,-0.00094406+0.00061164i,5.1213e-05+9.3565e-05i,-0.0001003-0.00085557i,0.00029211-0.0011238i,0.0012931-0.00070258i,0.0011561-1.5244e-06i,0.00087713+0.00045723i,0.00041551-0.0002114i,0.00035098-0.0006473i,0.00040219-0.00028675i,-0.00055985+0.00029603i,-0.00083774+1.2377e-05i,-0.00039901-0.00029448i,-8.5055e-05+0.0002048i
0.00011126+0.00051754i,0.00057283+0.00024063i,0.0011062+0.001003i,0.00037996+0.00054151i,-0.00027089-0.00076151i,-0.00047702-0.0019826i,0.00010085-0.0017338i,0.00053749-0.0014128i,0.00064021-0.0010697i,0.00049152-0.00011946i,2.4041e-05-0.00049954i,-0.00023742-0.00069174i,-0.00035978+4.9555e-05i,-0.00025517+0.00065192i,-0.00040195+0.00041079i,-0.0004354+0.00047481i,-1.8219e-05+0.00083701i,-0.00018744+0.0009974i,-0.0010654+0.00098859i,-0.0013466+0.00065632i,-0.00082683+0.0011209i,-0.00047286+0.00039799i,0.00019509-0.0010943i
