0.00096209+0.0002335i,0.00027988-0.00038908i,-0.00061999-0.00075412i,-0.0015556-0.00040215i,-0.0019163+0.00075095i,-0.0017845+0.0023276i,-0.0015961+0.0035578i,-0.00083683+0.0030022i,7.3986e-05+0.0018619i,0.00035998+7.8653e-05i,0.00025629-0.00074471i,0.00023017-0.0002032i,0.00013566+0.00019894i,-0.00047267-1.888e-06i,-0.00072228-0.00036113i,2.4746e-05-0.0001104i,-0.00011482+1.7206e-05i,-8.4106e-05-0.00067958i,0.00073416-0.00070266i,-0.00013244-0.0003709i,-0.00037511-6.6288e-05i,0.00012625-0.00053172i,0.00081839-0.00073625i
-9.5338e-05-0.0002689i,0.00013813-0.00040294i,3.092e-05-0.0014905i,-0.0010727-0.00088059i,-0.0010599+0.00041957i,0.00037228+0.00045794i,0.00039299+0.0011013i,-1.2649e-05+0.0018029i,0.00057938+0.0017907i,0.00048669+0.0013007i,-0.00036522+0.00040805i,-0.00013885-0.00047818i,3.7812e-05-0.0006554i,0.00045533-0.00072051i,0.0012392-0.00046818i,0.0010587+0.00024422i,0.00046441+0.00029132i,-0.00012099+0.00052561i,-0.00017111+0.00091272i,0.00015561+0.00065158i,0.00068685+1.9037e-06i,0.00079037-0.00044353i,0.00057906+3.2791e-05i
-0.0016003-0.00045112i,-0.0013883-0.001241i,-0.0006782-0.00050771i,-0.00010791-0.00068437i,0.0011498-0.0010323i,0.0015063-0.0011188i,0.0001963-0.00017189i,-0.00092974+0.0014193i,-0.0011781+0.0026361i,-0.00036872+0.0023472i,0.00052258+0.00093395i,0.00075107+0.0003215i,0.00060879+9.1097e-05i,-0.00026454+9.4442e-06i,-0.0012102+0.00027485i,-0.0015398-0.00012569i,-0.00066966-0.0010314i,0.0002482-0.00066486i,7.9667e-05+6.3459e-05i,7.6208e-05+3.8518e-05i,0.00043737+7.4419e-05i,0.00049217+0.00029614i,0.00039277+0.00040623i
0.00035671+0.0011562i,-0.0002148+0.00067334i,-0.00058441-0.00014897i,0.0002108-0.00023176i,0.0010276+9.3747e-05i,0.00067175+0.0007407i,-0.00075692+0.00094938i,-0.0011631+0.0011588i,-0.00028928+0.0021148i,0.00030916+0.001728i,0.00050101+0.0005403i,0.00099695+1.9744e-05i,0.00053414-8.8331e-05i,-2.8835e-05-0.00028604i,-0.00023937-0.00022175i,-0.00041339-0.00030717i,-0.00030013-0.00053363i,-0.00063844-0.00019721i,-0.00031007+4.445e-05i,0.00014249-0.00022208i,-2.3067e-05+4.5654e-05i,-8.9611e-05-0.00042418i,-0.00032022-0.0010502i
-0.0018341+0.0002385i,-0.0021594+0.00082324i,-0.0014442+0.00031037i,-0.00097556-0.00047291i,-0.00064958+0.00040859i,0.00047743+0.001045i,0.00033316+0.0013695i,0.00042052+0.0022525i,0.00087545+0.0027041i,0.0010658+0.0014606i,0.0012609+0.00012193i,0.0008125+0.00027552i,0.00014319+0.0003963i,0.00012983-0.00015404i,0.00084012-0.00022786i,0.00012017+0.00010205i,-0.00063045+0.00014716i,-0.00058977-0.00028843i,3.1788e-05-0.00067521i,0.0010152-0.00036042i,0.00055724+0.00032169i,-9.2601e-06+0.00044176i,0.00035744+0.00067936i
0.0032538-0.00035646i,0.0025982-0.0014526i,0.0012482-0.0018427i,0.00023615-0.00081353i,-0.00076126-0.00061789i,-0.0013508-0.00050026i,-0.0014258+0.0012709i,-0.00064112+0.0020245i,-0.00070071+0.0017493i,-0.0006299+0.0011591i,-0.00041379+0.00030946i,-0.000621+0.00022952i,-0.00019392+0.00076965i,3.257e-05+0.00079536i,4.3708e-05+0.00073185i,0.00010043+0.0012i,0.00033342+0.0012123i,-4.0413e-05+0.00067818i,-0.00053745+0.00064673i,0.00017006+0.00065446i,-0.00011409+0.0008657i,-0.00028246+0.00048055i,0.00026142+0.00011697i
-0.00093589+0.00039339i,-0.0016544+0.00097741i,-0.0023282+0.0012693i,-0.0017989+0.00057943i,-0.001279+0.00059866i,-0.0016351+0.00052059i,-0.0011256+0.00011366i,0.00038846+0.00032956i,0.0010486+0.00066783i,0.00048062+0.0009067i,-8.3318e-05+0.00075846i,-0.00060427+4.9732e-05i,-0.00035161-0.00021885i,0.00044516+2.1793e-05i,0.001218-1.683e-05i,0.0018686-3.4126e-05i,0.0012866+0.00030835i,0.00049995+0.00068524i,0.00015202+0.0010056i,-0.0003418+0.00031362i,-0.00055915-0.0010443i,-0.00020691-0.0014696i,0.00047278-0.00066009i
0.00036717-0.0011482i,0.000247-0.0017604i,-0.0011355-0.0015984i,-0.0021346-0.00070351i,-0.00089707+0.0004401i,0.00053372+0.0017605i,0.00045051+0.0022771i,-0.00021908+0.0018995i,-0.00036698+0.0015617i,-0.00039987+0.00098354i,-0.00035925+0.0010738i,-0.00041291+0.00099509i,0.00010392-0.00042561i,0.00015842-0.0010769i,1.3597e-05-0.00048004i,0.00046356-0.0003646i,0.00057876-0.00055392i,0.00020345-0.00033743i,5.7454e-05-0.00024564i,-8.6358e-05-1.9823e-05i,-0.0001261+0.00075021i,0.00018481+0.00072774i,0.00079765+0.00045227i
0.00053177+0.00083929i,0.0003746+0.00048673i,-0.00026974-0.0011974i,-0.0019821-0.0019929i,-0.0021934-0.00119i,-0.0013913+0.00028856i,-0.00095556+0.0013563i,-0.00068201+0.0020879i,-0.00079943+0.0020786i,-0.0012817+0.00073735i,-0.0010047-1.5907e-05i,-2.8748e-05+4.7958e-05i,0.0003039-0.00013699i,0.00026201+0.00018535i,0.0010881+0.00029749i,0.0012158-0.00039165i,0.00043577-0.0011018i,0.00069414-0.00084795i,0.0010787-0.00052797i,0.0004714-0.00056357i,0.00018684-0.00043358i,0.00080518-0.00037412i,0.00085145-0.00013539i
0.00067219-0.0012556i,-0.0009059-0.00020919i,-0.00091182+0.001011i,-0.00062027+0.00081098i,-0.00063206-5.8785e-05i,-0.00064694+0.00024189i,-4.0489e-05+0.0016018i,0.00082446+0.0018648i,0.001154+0.0014087i,0.0011201+0.00043848i,0.00044202-0.00067803i,-0.00035714-0.00069061i,-0.000583-0.00027859i,-0.00030053-0.00047269i,0.00053938-0.00048965i,0.0011761-0.00047837i,0.0011223-0.00061819i,0.00074492+8.0758e-05i,0.00080783+0.00054398i,0.0011585+6.7824e-05i,0.0012036-0.00056607i,0.00081597-0.00039928i,0.00032212-9.263e-06i
0.00079343+0.001226i,9.1793e-05+0.00060911i,-0.00096699-0.00075374i,-0.00073066-0.001374i,0.00015781-0.0010158i,0.000204+0.00029192i,0.00030981+0.00078897i,0.00085363+0.0010236i,0.00090806+0.00090057i,0.00087312-0.00062603i,0.00090384-0.0010857i,0.00068063+1.3298e-05i,0.0011433+0.00069521i,0.001401+0.00028614i,0.0015846+0.00013485i,0.00085003+5.8046e-05i,0.00031793-4.5682e-05i,0.00041363+0.00011021i,-0.00027564+0.0004015i,-0.00083849-9.5513e-06i,-9.9851e-05-9.5133e-05i,0.00046559+2.0233e-05i,0.00036826+0.00017174i
-0.0003631-0.0012201i,-0.00012528-0.00070894i,-0.00010777-0.00049672i,-0.00094318-7.9736e-05i,-0.0012387-0.00019283i,-0.00020785-0.00022642i,8.611e-05+0.00079746i,0.00014242+0.00063917i,0.00058673+0.00012331i,0.00040395+7.2614e-05i,0.00041215-0.00023147i,0.0002355+0.00043524i,-0.00041295+0.00084859i,-4.7669e-05+0.00082473i,0.00101+0.0005068i,0.001659+0.00020108i,0.00090032+0.00067119i,0.00024822+0.00086501i,0.00042177+1.4853e-05i,0.00013782-0.00097185i,0.00046862-0.0012138i,0.0010695-0.00084822i,0.00086293-0.0002574i
