-0.0017783+0.00035435i,-0.0010494-0.00035017i,-0.0012146+0.001096i,-0.0011902+0.0022717i,-0.00066324+0.0030371i,-6.6421e-05+0.0026866i,-0.0011405+0.0011208i,-0.00093986+0.00080251i,0.00098923+0.00081702i,0.0020423+8.5968e-05i,0.0017557-0.00086626i,0.00063778-0.0007871i,-5.5384e-05-0.00070716i,-0.00035108-0.00079523i,-0.00035189-0.00088524i,0.0006668-0.00077521i,0.0016833+7.4412e-05i,0.001386+0.00049452i,0.00028752+0.00043303i,-0.00027258+0.00024669i,0.00017309+0.00025506i,0.00016245+0.00040545i,-0.00057203+0.00035815i
0.00016293+0.0006217i,0.0012029-0.00041407i,0.0010333-0.0014187i,0.00026044-0.0013482i,-0.00036165-4.3784e-05i,-0.0005415+0.0013254i,-0.00044206+0.0012559i,-0.00056318+0.00060796i,-1.6354e-05+0.00043596i,6.9738e-05-0.00065648i,-0.00015422-0.0016953i,-0.00018355-0.0011276i,0.00014065-0.00024542i,0.0012939+0.00017493i,0.001107+0.00050798i,0.00070306+0.00076536i,0.00082894+0.00065893i,0.00035645+0.0010239i,-0.00029195+0.0012603i,0.00013761+0.00094337i,0.00026195+0.0012013i,-0.00037643+0.0014137i,-0.00021554+0.00062936i
-0.00070121-0.00045876i,-0.00014092-0.00030032i,-0.00092995+9.7133e-05i,-0.0017057+0.00071896i,-0.0013736+0.0012477i,-0.00032035+0.0019795i,0.0010262+0.0018088i,0.0015411+0.00074001i,0.0013436+0.00037179i,0.00095214+6.5986e-05i,0.00066707-0.00077093i,0.00017331-0.0013085i,-0.00032456-0.0010412i,-0.00028546-0.00056046i,0.00047958+0.00024768i,0.0007125+0.0010615i,-0.00019974+0.0014071i,-0.00042482+0.0013755i,-0.00030441+0.00068713i,-0.00065583-0.00022216i,-0.00067746-0.00028268i,-0.00066407-0.00015812i,0.00032783+0.00011684i
-0.00050805-0.00058086i,0.00054335-0.00064449i,-3.9028e-05-0.0008476i,-0.0010279-0.0004541i,-0.0016092+0.0012012i,-0.00062671+0.001902i,0.00028918+0.0012864i,0.00073657+0.00060969i,0.0013309-5.7088e-05i,0.00092179-0.00059172i,-8.2636e-05-0.0010309i,-0.00035368-0.0018454i,0.00021286-0.0016221i,0.00015723-0.00053211i,-0.00019959-0.00025067i,0.00041897-2.4983e-05i,0.00067418+0.00097041i,0.00033271+0.00070496i,7.9465e-06+0.00015218i,-0.00013738+0.00027619i,0.00013675-0.00039985i,-9.3841e-05-0.00034977i,0.00010183+0.00046441i
-0.00022133+9.9928e-05i,0.00058932+0.00022781i,0.00093981-0.00074434i,0.00079476-0.0015897i,0.00034875-0.001092i,-0.00029843+0.00066101i,-0.00012351+0.0013051i,0.0001039+0.0012107i,0.00059216+0.00010296i,0.00086144-0.0010118i,0.00017357-0.0012346i,-8.1119e-05-0.00055235i,-0.00010708+9.9067e-06i,-9.6581e-05-4.6664e-05i,0.00023774+3.3361e-05i,0.00064277-0.00022396i,-0.00022723+0.00014654i,-0.00078193+0.0003513i,-0.00047109-5.9962e-05i,-0.00061163-0.00035929i,-5.7007e-05-0.0004133i,0.0004765+6.9499e-05i,-4.251e-05+0.00026431i
0.0012736+0.00039655i,0.0014553+0.00068267i,0.0020503+0.00067333i,0.0014672+0.00073121i,-2.6701e-05+0.00090632i,-0.00014016+0.00069046i,0.00029218+0.00025572i,0.0010558-0.00014705i,0.0014242+0.00025611i,0.00078177-6.832e-06i,-0.00030316-0.0010223i,-0.00032746-0.0010272i,-0.00045747-0.0010317i,-0.00087867-0.00080072i,-0.00085092-0.00035219i,7.0271e-05-0.00057205i,0.00041036-0.00026684i,-1.5878e-05+0.00031833i,-0.0003812+0.00074788i,-0.00099974+0.00096217i,-0.00041039+0.00050799i,0.00031714+1.122e-05i,9.7835e-05+0.00062959i
0.00034106+0.0010011i,0.0013842+0.00017094i,0.0018337-0.00083008i,0.00039912-0.0012242i,-0.00036423+5.104e-05i,-0.00016911+0.0014707i,-5.8e-05+0.0013365i,0.00070911+0.0013659i,0.00089688+0.00078025i,0.00073585-0.00053731i,0.00026588-0.00076691i,-0.00083569-0.00045551i,-0.0010836-1.1696e-05i,-0.0004572-0.00017274i,0.00032815-4.5199e-05i,0.00012638+0.00030094i,0.00027027-0.00030234i,0.00057517-0.00030185i,0.00021817+0.00029504i,0.00055236+0.0011219i,0.00074399+0.0014051i,-4.0412e-05+0.0014944i,-0.00054196+0.0011773i
-3.8299e-05-4.6985e-05i,0.00045515-0.0008156i,0.0011693-0.00073404i,0.00010836+6.3168e-05i,-0.0009082-3.493e-05i,-0.0010337+0.00085506i,-0.00089023+0.0019172i,-0.00023644+0.0014748i,0.00079297+0.00015252i,0.00084476-0.0009208i,0.00029427-0.0010451i,0.00032925-0.00036827i,0.00011041-9.304e-05i,-0.00034463-6.3645e-05i,0.00033826+0.0012861i,3.8472e-05+0.0015444i,-0.00042179+0.00055774i,0.00024795-0.00030349i,0.00070528-0.00072603i,0.00047361+7.9994e-05i,5.0504e-05+0.00092717i,6.0875e-05+0.00062427i,0.00017202-1.778e-05i
0.00020078+0.00013034i,0.00049735-0.0010774i,0.001315-0.0016229i,-0.00053614+0.00040535i,-0.0025015+0.0020605i,-0.0010833+0.0012021i,0.00035273+0.00025347i,0.00053809+0.00064637i,0.0013498+0.00033822i,0.0013806-0.00039249i,0.0010538-0.00035827i,0.00116-0.00064137i,0.00042985-0.00097269i,-0.00070349-0.00030329i,-0.00081253+0.00043375i,-0.00052629+0.00053728i,-0.00050685+0.00038814i,-0.00053998-0.0002492i,-0.00039966-0.0010275i,-0.00047794-0.00080205i,-0.00091238+0.00033912i,-0.00034+0.00061446i,0.00054781-0.00010614i
-5.0534e-05+0.00044818i,0.00079268-0.0001668i,0.00027503-6.1207e-05i,-0.00068175+0.00021679i,-0.00064971+0.00080111i,-0.00030131+0.0015163i,5.3511e-05+0.00058806i,0.00033784-0.00061292i,0.00038816-0.00090187i,0.00093838-0.0015705i,0.0011152-0.00085734i,0.00063433-0.00011346i,0.00026658-0.0003331i,0.00035381-0.00061132i,0.0011657-0.00092149i,0.00068125-0.00087599i,-0.00025801-0.0011255i,-0.00053825-0.0010666i,-0.00073076-0.00032235i,-0.00050749+0.00032005i,1.5966e-07+0.00040923i,-0.00038878+0.00012821i,-0.00058214-0.00065895i
-0.0016538-0.00068922i,-0.001352-0.00066742i,-0.00090531-0.00050414i,-0.00070583-0.0003167i,-0.00072254+2.5584e-06i,0.00024432+0.0012632i,0.00013136+0.0016394i,-0.00013529+0.0011775i,0.00060846+0.00055712i,0.0011759+0.00040697i,0.00080424-0.00028172i,0.00048318-0.0007859i,0.00054128-0.00010286i,0.00022812+0.00013669i,4.2123e-05-0.00043292i,0.00019491-0.0003458i,0.00048587+0.00079616i,0.00055007+0.0014342i,-0.00054311+0.00041476i,-0.0012626-0.00050767i,-0.00080594-0.00081381i,-0.00014856-0.00099191i,0.00042148-0.00019981i
