-0.001065+0.00032186i,-0.00062748-0.00095417i,-0.0013565-0.0010484i,-0.0017881-0.0009495i,-0.0020359+0.00043529i,-0.0026944+0.0015933i,-0.0020053+0.0016041i,-0.00023914+0.0013215i,0.00144+0.0001911i,0.0019608-0.00063337i,0.001666-0.00070103i,0.0013909-0.00064687i,0.00032567-0.0010024i,-0.00052095-0.0011736i,-0.00090896-0.00057599i,-0.0012413-0.00040964i,-0.0013045-0.00016022i,-0.0006391+0.00028845i,0.00050296+0.00011919i,0.00054857-0.00087139i,0.000421-0.0010902i,0.00031749-0.00058003i,-0.00022002-0.00015251i
0.001329-0.0010926i,0.000522-0.00059524i,-0.00028436+0.00014333i,-0.0002323+0.00024274i,-0.00013312+0.00044486i,-9.2224e-05+0.0012084i,-0.00033604+0.0028212i,2.8003e-05+0.0025319i,0.00086664+0.00038918i,0.00078499-0.0013344i,8.6693e-05-0.0020044i,-0.00020964-0.001995i,-0.00024473-0.001313i,-0.00038662+0.00014387i,-0.00011174+0.00087572i,-0.00023246+0.00059657i,-0.00010177+0.0003825i,0.00031315+0.00017895i,0.00082284+0.00034234i,0.0010104-6.2126e-05i,0.00061917-0.00073219i,-3.5475e-05-0.0006447i,-0.00020194-0.00015746i
-0.00050917-0.0003119i,-0.0011258-0.00010601i,-0.0022811+1.9577e-05i,-0.0021485+0.00094824i,-0.00078802+0.0017963i,0.00031699+0.0021188i,0.0011389+0.0021254i,0.0018185+0.0013442i,0.0022021+0.00059376i,0.0015067-9.316e-05i,0.00048296-0.00015428i,0.00020523+5.0745e-06i,-0.00021583-0.00014054i,-0.00028925-0.00028327i,9.0975e-05+0.00029572i,-5.5821e-05+0.00072917i,0.0001503+0.00012929i,-0.000283-0.00033541i,-0.00049748+5.3742e-05i,2.0511e-05+0.0003627i,0.0002899-0.00023481i,7.7608e-05-0.00027143i,0.00044874-0.00012117i
-6.5874e-05-0.0017203i,-0.00016294-0.0011072i,-0.0010634-0.00016091i,-0.001817+0.00098454i,-0.0014702+0.001873i,-0.00041813+0.0019379i,0.0011869+0.0016459i,0.0018628+0.00070882i,0.00079376-0.00067804i,-0.00031405-0.00023283i,-0.0012034+0.00023687i,-0.00098778+4.9505e-05i,-0.0002141+0.00015429i,0.0006355-0.00010176i,0.0016392+1.7023e-05i,0.0016584-0.00035731i,0.0011808-0.0003247i,0.00022328+0.00031233i,-0.00041998+0.00057762i,-0.00022149+0.0006697i,6.4319e-05+0.00039924i,0.00039565-0.00011426i,0.00070906-0.00049925i
0.00028481+0.00065575i,0.00011416+0.00053318i,0.00077896+0.00057563i,0.0014906-7.0691e-05i,0.0018392+0.00012426i,0.0006398+0.00036218i,0.00052405-0.00068801i,0.0016406-0.0014516i,0.0023129-0.0008141i,0.0017208+4.5108e-05i,0.00081443+7.5677e-05i,0.00051671+0.00018062i,0.00066097+0.00080341i,0.00046818+0.0006906i,4.79e-05+0.00044726i,0.00031536+0.00035762i,0.00022899+0.00010602i,-0.00017722-5.6982e-06i,-4.6459e-05+5.0238e-05i,-0.00012728+0.00019059i,-0.00010788+0.00064076i,-0.00021319+0.00023591i,0.00019135-0.00067119i
0.0010507-0.00051126i,-2.7172e-05-0.00084096i,-0.00018894-0.00095732i,-0.00054297-0.00052522i,-0.0016435-0.000848i,-0.0016982-0.00040055i,-0.00060597+0.00037345i,0.00095663+0.00076837i,0.0010987-0.00012195i,0.00071055-0.0010194i,0.0011545+5.0197e-05i,0.0016316+0.00053447i,0.0015028-0.00096966i,0.0012685-0.0015054i,0.00085627-0.00078751i,0.00012237-0.00051249i,0.00043192-0.00075569i,0.00030621-0.00062486i,-0.00044952-5.7656e-05i,-0.00095857-0.00028237i,-0.00078907-0.00060403i,-0.00026-0.0002697i,5.0134e-05-0.00048525i
-0.0011558-9.5371e-05i,-0.001314-0.00095969i,-0.0012204-0.00049165i,-0.00092936+0.00028423i,-0.00077571+0.0015692i,-6.1584e-05+0.002453i,2.8543e-09+0.0011776i,1.2625e-05-0.00021805i,0.00046694+0.00016907i,0.00038221+0.00027329i,0.00054225-0.00013535i,0.00076174-0.00066743i,2.6041e-05-0.0012373i,-0.00030361-0.0011743i,8.7165e-05+0.00021523i,-0.00057199+0.00055777i,-0.00061173-7.9971e-05i,0.00028586-0.00014741i,0.00095121-0.0003486i,2.2634e-05-0.00041346i,-0.00046775-0.0009048i,-9.4565e-05-0.00025023i,-0.00088354+0.00039675i
-0.0017864-0.0017831i,-0.0016087-0.0020071i,-0.0024138-0.001063i,-0.0015922+0.00087881i,-0.00062016+0.0026488i,0.0001409+0.0025619i,0.00068883+0.0013332i,0.00084552+0.00040441i,0.00072272-0.00067957i,0.00046218-0.0011479i,-0.00011411-0.00087172i,-0.00043471-0.0011151i,-0.00038035-0.00077728i,-0.00048254-0.00031114i,-0.00070024-1.1131e-05i,-0.00092372+0.00021663i,-0.0012931-0.00048829i,-0.00091214-0.00052766i,-0.00053936-0.00033761i,-0.0002836-0.00045736i,-4.984e-05-0.00023618i,-0.0005448-0.00075449i,-0.00047552-0.00095734i
0.00076553-0.0010844i,-3.9856e-05-0.00037746i,-0.0001838+0.00020137i,-0.00059744+0.0009247i,-0.00099417+0.0014805i,-0.00013387+0.0021879i,0.00097843+0.0023158i,0.0019234+0.0014387i,0.0015224-0.00025523i,-0.00012809-0.0014022i,-0.00053931-0.00062167i,5.8853e-06+0.0004664i,0.00049282+0.00085329i,0.0007505+0.00076603i,0.00062658+0.00047492i,0.00032305+0.00026038i,0.00059783+0.00053445i,0.00063318+0.00052472i,-0.00019968+0.0006235i,-0.00018463+0.0011014i,-0.00044481+0.0013616i,-0.00046712+0.0007585i,-0.00026311+0.00016566i
0.0013436-0.00083819i,0.00064461-0.00068529i,-0.00045038-0.0010421i,-0.0006819-0.0010552i,-0.00026537+5.3943e-05i,-0.00051473+0.0018343i,0.00047235+0.001601i,0.0020234+0.00015794i,0.002071-0.0011283i,0.0004802-0.000803i,-0.00064823+0.00052605i,-0.00044017+0.00042967i,-0.00028327+1.3572e-05i,-0.00012831+5.4479e-05i,0.00021619+0.000287i,0.00065606+0.00061746i,0.00082271-1.3924e-05i,0.00032153+3.7857e-05i,-0.00012283+0.00037921i,0.00018811-0.00026951i,0.00020783+0.00013528i,-0.00020983+0.000194i,-0.00035628-0.00072617i
0.00018649+0.00059384i,7.4718e-05-0.00014597i,0.00031545-3.9661e-05i,0.00014789+0.00059435i,0.00015874+0.00091096i,0.00039178+0.0006478i,0.001673+0.00025087i,0.0032451-0.00024856i,0.0027592-0.00088946i,0.0013405-0.00080755i,0.00091679+0.0009306i,0.00073444+0.0016955i,0.00036215+0.00049363i,0.00026575+7.9952e-06i,0.00061847+8.2505e-06i,0.00058979-0.0004409i,0.00034983-0.00077897i,0.00036368-0.0006483i,0.0008648-0.00051824i,0.00059591+0.00022817i,-0.0003623+0.00065827i,-0.0002066+0.00047319i,0.00055418+0.0007822i
