0.00056937+0.00019808i,0.00092087-0.0011242i,0.0010762-0.0028588i,0.00081499-0.0026155i,-0.00060026-0.0011851i,-0.0017072-2.903e-05i,-0.0017154+0.0011274i,-0.0013101+0.0012215i,-0.00042806-4.3948e-05i,0.00032224-0.00097882i,-0.00027117-0.0013728i,-0.0014299-0.0012749i,-0.0018792-0.0010827i,-0.0015149-0.00065244i,-0.00094075+0.0004181i,-0.00036214+0.0007692i,-0.00031778+6.7751e-05i,-0.00060471-0.00062717i,-0.00069702-0.00067931i,-0.0001063-0.00048643i,0.00053843+0.00025895i,-0.00036503+0.00054538i,-0.00072248+0.00017412i
-0.00014359+0.00016146i,0.00062745+0.00080968i,0.0011624+0.00041565i,0.00016324-0.0004769i,1.5352e-06-0.0010592i,0.0008616-0.00052063i,0.001199-0.00053344i,0.00067129-0.0010791i,-0.00030527-0.00083776i,-0.00058476-0.0006272i,-8.6104e-05-0.00087852i,0.00056275+0.00032038i,0.00054482+0.0012241i,0.00042442+0.00013516i,-0.00011228-0.00035711i,-0.0010004-0.00036321i,-0.00091253-0.00073246i,-0.00037826-0.0003558i,-0.00011409-0.00025189i,0.00015326-0.00068594i,0.0005118-0.00072541i,0.00074927-0.0005859i,0.00072142+5.2801e-05i
-0.0006773+0.0013045i,-0.00017216+0.0011044i,0.001009+0.00091661i,0.00059045+0.00077525i,0.0004637+0.00044534i,0.00084711-0.00030973i,0.00088321-0.00057356i,0.00074082-0.00054699i,0.00017565+2.3715e-05i,0.00015517-1.9397e-05i,0.00056121-0.00053729i,0.00014794-0.00033033i,-0.00016747+0.00033758i,-0.00054979+0.00094832i,-0.00027318+0.0009255i,7.3131e-05+0.00042889i,-0.00018204+0.0001651i,0.00029181-0.00027061i,0.00039091-0.00051427i,-0.0002625-0.00081767i,-0.00067324-0.0012292i,-0.00056693-0.00096698i,0.00012173-0.00024632i
-0.0018274-0.0012106i,-0.00072905-0.002409i,-0.0016494-0.0028042i,-0.0026347-0.0018222i,-0.0007581-0.0010215i,0.00080742+0.00025002i,0.00019502+0.00022536i,-0.0010148-0.0008731i,-0.0009507-0.00032303i,-0.00062253+0.00049408i,-0.0011571+0.00076704i,-0.0015164+0.00048405i,-0.0011907-0.00069256i,-0.00013801-0.0010374i,0.00023158+0.00020282i,6.3459e-05+0.00071852i,6.9737e-05+0.00089508i,2.3894e-05+0.0001019i,-3.1489e-05-0.0010894i,-0.00021186-0.00047178i,-0.00026487+0.00075526i,-4.9093e-05+0.00091848i,-0.00028364+0.00067844i
-0.0010429-0.0011358i,-0.0018634-0.0014299i,-0.0029151-0.0013515i,-0.0031304-0.0009303i,-0.0016275+0.00037084i,0.00063788+0.0010709i,0.00063805+0.00038643i,-0.00030165-0.00013941i,-0.00093914-7.9219e-05i,-0.00080418-0.00010105i,-0.00061412-0.00072521i,-0.0012491-6.472e-05i,-0.0012833+0.001046i,-0.00097539+0.0010856i,-0.00085851+0.00094267i,0.00019582+0.00057888i,0.00066827+0.00076661i,0.00030628+0.00062913i,0.00056287-0.00023234i,0.00019511-0.00055765i,-0.00052609-0.00093844i,-0.00024209-0.0010656i,2.2605e-05-0.00031445i
-0.0010277+0.00028296i,-0.0013941-0.00048251i,-0.0020159-0.000405i,-0.002028+0.0002121i,-0.00056842+0.0008944i,0.0012494+0.0018782i,0.0016924+0.0021654i,0.001068+0.00070899i,0.00015527-0.00041691i,0.00039266-0.00062286i,0.00020006-0.00027015i,-0.0009663+8.2023e-05i,-0.00059634+0.00067513i,-0.0003446+0.0011744i,-0.0007227+0.0013314i,-0.00047542+0.0011213i,0.00036557+0.00044907i,0.0012033-9.4959e-05i,0.0014275-0.00080431i,0.00050566-0.0010784i,-0.00021487-0.00065731i,0.00037653-0.00077081i,0.00047382-0.0008121i
0.00052199+0.00060518i,-0.00023378-0.00056637i,-0.00060757-0.0013722i,-7.5316e-05-0.0013859i,-0.00032442-0.00066498i,-0.00041667+0.00046413i,-0.00067321+0.00037603i,-0.001066-0.00075268i,-0.00057229-0.0011037i,-0.00058487-0.00081072i,-0.00092202-0.00059339i,-0.0014328-9.1281e-05i,-0.00096051-8.1475e-05i,-0.00033625+0.00066414i,-0.0008076+0.00094741i,-0.0014425-0.00011946i,-0.0010682-0.00048562i,-0.00079881-8.9624e-05i,-0.00084009-9.4987e-05i,-7.5574e-05-0.00017253i,-0.00021861+4.3928e-05i,-0.00078123+0.00016026i,-0.00065715-0.00051611i
0.00021918+0.00010861i,-0.00017116+0.0009152i,-0.001455+0.0012835i,-0.00097831+0.0011233i,0.00040823+0.0013197i,0.001495+0.0020433i,0.0017676+0.001567i,0.001015+0.00089651i,0.00034401+0.0010575i,-0.0004668+0.00086527i,-0.0010466-0.0003054i,-0.00075009-0.00053888i,-0.00071883-1.3633e-05i,-0.0010821-0.00024713i,-0.00072822-0.00025644i,-0.00038304+5.216e-05i,-0.00019664+8.3093e-05i,0.00021037-0.000306i,0.00023806-0.00080542i,0.00025903-0.00093721i,0.00052435-0.00050571i,0.00050607+0.00062684i,-0.00047665+0.00077057i
0.00014229+0.0022038i,0.00038072+0.002856i,0.00049749+0.0022894i,0.0012777+0.00089412i,0.0018726+0.00087636i,0.0013111+0.00047214i,0.00055064-0.00045552i,0.0002869-0.00060517i,-0.00010518-0.00094369i,0.00055054-0.00094179i,0.00083367-0.00065115i,-0.00015589-0.00076668i,-0.00087797-0.00036948i,-0.00035899+0.00011866i,0.00044375+0.00026031i,0.00021986+0.00079644i,0.00029232+0.00071212i,0.00012848-0.00046809i,-0.00018189-0.00051301i,0.0002262+0.00055281i,0.00024935+0.00089819i,6.8319e-05+0.00054536i,-0.00018379+0.00058327i
0.00072296-0.00048241i,0.00095929-0.00026336i,4.2791e-05-0.00099862i,-0.0013128-0.001298i,-0.00096015-0.00035247i,0.00063369+0.00011182i,0.00065929-0.00044893i,0.00036499-0.00070285i,0.00051982-0.00037337i,-6.0687e-05-0.0011091i,-0.00051876-0.0010214i,-0.00076575-7.9646e-05i,-0.0009275+0.00026297i,-0.00051519+2.75e-05i,-0.00044423-0.00031273i,0.00013145-0.00015187i,0.00013516+0.00024335i,-0.00060357+8.0193e-05i,-0.00029347-0.00069181i,0.0002012-0.00079387i,-0.00031458-0.00065887i,-0.00087191-0.0006462i,-0.0005489-0.00054129i
-0.00064324+0.00092155i,-0.0010877+0.00048509i,-0.00037623+0.00031747i,0.00017968-0.00011064i,0.00024734+0.00026504i,0.00019397+0.0011504i,0.00077889+0.00066523i,0.00098055-0.0003659i,0.0003666-0.00078859i,0.00019939-0.00034567i,0.00081318-4.7858e-05i,0.00070056-0.0005835i,0.00048324-0.00074694i,0.0005881-0.00021477i,-0.00061985+0.00065653i,-0.0013782+0.00092096i,-0.0008582+0.00059i,-0.0002502+0.00056603i,-9.0311e-05+7.6297e-05i,-0.00052375-0.00053735i,-0.00090638-0.00011339i,-0.00076097-0.00066825i,-0.00091731-0.00069886i
