-0.00091829+0.00031107i,-0.00095442+0.00038967i,-0.0013495-8.7924e-05i,-0.001387-0.00076887i,-0.00059614-0.00083232i,-0.00037813+0.00015113i,-0.00056699+0.0009606i,0.00013612+0.0016133i,0.00011146+0.00053126i,0.00076729-0.0010629i,0.001572-0.0013231i,0.00078082-0.0011277i,9.3244e-06+7.9052e-05i,-0.00043557+0.00082318i,-0.00046042-8.1181e-05i,5.6223e-05-0.0010824i,0.0002311-0.0011124i,0.00050488-0.00065902i,0.00039444+0.00020014i,2.8802e-05+0.00056144i,-0.00026024+0.00095547i,-0.00093551+0.00085589i,-0.00063563-0.00033559i
0.0017426+0.0012911i,0.0014166+0.0017438i,0.0020781+0.00087747i,0.0024051-0.00059788i,0.0019697-0.0015849i,0.0019833-0.002047i,0.00243-0.0020775i,0.0013073-0.001244i,-0.00021899-7.7647e-05i,-0.00063059-0.00016455i,-0.00065639-0.00031844i,-0.00075115-0.0003525i,-0.00013279-0.00079501i,-8.6304e-05-0.00090248i,-1.6903e-05-6.484e-06i,0.00014942+0.00022535i,0.00018594-7.0786e-05i,0.00069024-0.00013913i,0.00026358-0.00070987i,-0.00043752-0.00082706i,-0.0003093+0.00040253i,0.0003999+0.00053858i,0.00050434+0.00012833i
-0.0025084-0.0020833i,-0.0020719-0.00162i,-0.0029613-0.00058606i,-0.0022209+0.00078365i,0.00015423+0.0016047i,0.0010277+0.0011202i,0.00033412+0.00026644i,-0.00051608-7.7332e-05i,-0.00086708-0.00032908i,-0.00050677+0.00057546i,-0.0002088+0.00084887i,-0.0001108+0.00050968i,-9.1768e-05+0.00057167i,-0.00045062+0.00040489i,-0.00068523+0.00063295i,-0.00045777-2.3027e-05i,0.00011256-0.00081562i,0.000661-0.0005301i,-0.00025805+0.00015565i,-0.0017155+0.00051696i,-0.0015616+0.00042796i,-0.00099207+0.00044975i,-0.00050199+9.6429e-05i
0.0021695-3.8805e-05i,0.0016566-0.00052374i,0.00090937-0.00077154i,0.00086556-0.0010953i,0.0020987-0.0017452i,0.002072-0.0020559i,0.00074519-0.0020827i,-0.00028139-0.0015324i,-0.0009176-0.0013499i,-0.00048043-0.0016396i,-0.00025096-0.001197i,-0.00038557-0.00040377i,-0.0003261-0.000539i,-0.00049566-0.0006821i,-0.00099671-0.00028626i,-0.00059261-0.00034729i,1.7579e-05-0.00045858i,0.0002328-0.00043536i,5.4491e-05-0.00047317i,-0.00022878-0.00048213i,-4.0194e-05-0.00079676i,-0.00025155-0.00082799i,-0.00021461-0.00027224i
0.00069113-0.0014069i,0.00060589-0.001878i,0.0017764-0.0017208i,0.0025507-0.0016024i,0.0022745-0.00046526i,0.0021689+0.00011192i,0.0016979-0.0010038i,0.0010942-0.0009551i,0.00056489-0.00038918i,-0.00043618-0.00036487i,-0.0011315-0.00017396i,-0.0008841-0.00031695i,-0.00065686-0.00016133i,-0.00082931+0.00016719i,-0.00080123-0.00021951i,-6.6186e-05-0.00047726i,0.00056787-0.00051384i,0.0001787-9.6994e-05i,-0.0003621+0.0003542i,-0.00070732+0.0010467i,-0.00021214+0.0010046i,0.0005712+0.00062234i,3.406e-05+0.00015649i
-0.00084297-4.0349e-05i,-0.00047923+0.00046643i,-0.00030442+0.00156i,0.00097041+0.0014206i,0.0024227+0.00011877i,0.0015818-0.00072918i,0.00026774-0.00037299i,-2.143e-05-0.00013734i,0.0007663-0.00041591i,0.00072619-8.6631e-05i,-0.00020958+0.00038528i,-0.00021003+0.00044639i,8.6977e-06+0.00018637i,5.5538e-06+0.00041617i,0.00051297+0.00031488i,0.00096151-0.00028279i,0.00059999-0.00055975i,-9.8385e-05-3.8557e-05i,-0.00033491+0.00048372i,0.00025229-0.00067456i,0.00041368-0.00092464i,0.00051021-0.00080013i,0.001194-0.00085176i
0.00076561+0.00041388i,0.0010099+0.00049267i,0.0015566-0.0002256i,0.001439-0.00054976i,0.0014603-0.0010079i,0.0014432-0.0016422i,0.0012202-0.001368i,0.00073479-0.00071117i,0.00049269-0.00044253i,0.00035304-0.00055505i,0.00013478-0.00082308i,4.2927e-05+6.4466e-06i,-0.00054397+0.00075547i,-0.00019177+2.0016e-05i,0.00097442-0.00010523i,0.00092324-0.00016903i,0.00015343+3.0746e-05i,0.00013124+0.00048686i,0.0001652-6.9864e-05i,0.00020965-0.00086941i,-0.00036054-0.00058303i,-0.0011124-0.0001648i,-0.00076451-0.00035042i
0.0018394+0.00054229i,0.0017476+0.0014889i,0.0014767+0.0015807i,0.0019203+0.00093877i,0.002009+0.00072547i,0.0013722-0.0002998i,0.00072397-0.00053695i,-0.0001686-0.00041358i,-0.00068682-0.00069161i,-0.00080854+7.7036e-05i,-0.0011867-5.4663e-05i,-0.00078595-0.0010409i,0.00020565-0.00097975i,-3.3214e-05-0.0002282i,-0.00056245+0.0001172i,-0.00098008-0.00024368i,-0.00067279-0.00040344i,-2.0568e-05-0.00037396i,0.00045678-0.00019562i,-5.9235e-05+0.00013719i,-0.00079662-0.0003918i,-0.00059041-0.00078698i,0.00011798-0.00038309i
0.00011815-0.00039614i,0.00078737-0.00012774i,0.00028374+0.00013507i,0.0008272+0.00069556i,0.0024023+0.00077786i,0.0030596-0.00067628i,0.001755-0.0019157i,0.00046618-0.0013019i,0.00053975-0.00018111i,0.00029985+0.0002259i,-0.00021157+0.0001447i,-0.0005485-0.00030873i,-0.00040877-0.00037377i,-0.00030303+3.2545e-05i,0.00025107-0.00013501i,0.00099666-0.0001721i,0.0013021-0.00025632i,0.0015126-0.00025373i,0.00069164+0.00014836i,-3.2329e-05-1.5482e-05i,-0.00013894-0.00032825i,-0.00026103-0.00058665i,0.00017138+0.00011577i
-0.0018085+0.0015468i,-0.0012546+0.0015548i,-0.00074797+0.0025678i,0.00052022+0.00282i,0.0020096+0.0014067i,0.0029341-0.00032853i,0.0024937-0.0010352i,0.00050268-0.0013686i,-0.00033479-0.001077i,3.9922e-05-0.00052197i,-0.00022659-0.00059555i,-0.00045995-0.00055387i,-0.00081833-0.00017026i,-0.00039988-0.00026296i,0.00059368-0.0001917i,0.00010928-0.00024464i,-0.00038157-0.0010891i,0.00025463-0.0010681i,0.00053037+0.00014302i,0.00022683-3.3383e-05i,2.3716e-05-0.000171i,-0.00013567+0.0003803i,0.00034434+0.00010422i
0.00032303-0.0017853i,0.0017746-0.0018445i,0.0011304-0.0024451i,0.00042415-0.0023453i,0.00068588-0.0023403i,0.00088801-0.0013334i,0.00034643-0.00019754i,-0.00062605-0.00053604i,-0.00041973-0.00087559i,-0.00063577-0.00065423i,-0.00048255-9.9027e-05i,0.00023793+0.00054491i,0.00031708+0.00028776i,0.00039735+4.8711e-06i,-0.00021404+0.00013522i,-0.00067395+0.00023939i,-5.9529e-05-0.00027799i,0.00060283-0.00066634i,0.00021698-0.00035751i,-0.00011351-0.00057767i,0.00046649-0.00077173i,0.00012247-0.00014251i,0.00040191+0.00033763i
