0.0025211+0.0022129i,0.0024439-0.00035549i,0.0015791-0.0031407i,0.00037281-0.0034304i,-0.0013847-0.0013935i,-0.0026906+0.00093069i,-0.0017722+0.001933i,0.00051833+0.0017806i,0.0020747+0.00067027i,0.0016802-5.2552e-05i,0.0007177-0.00026362i,0.00025703-0.00094549i,-0.00074091-0.0010499i,-0.0015236-0.00024476i,-0.0015349+0.0003794i,-0.0010994+0.00040776i,-0.00054376+0.00011861i,0.00021018-0.00049098i,0.00078497+5.8456e-05i,0.00083385+0.00079471i,0.00031059-6.1846e-05i,-0.0001541-0.00095848i,4.0837e-05-0.00056908i
0.00032356+0.0024252i,0.0010211+0.0021057i,0.0029235+0.0013183i,0.002876+0.0001798i,0.0018106-0.00048531i,0.00083641-0.00057114i,0.00016567+1.9016e-05i,-0.00016394+0.00014644i,-8.9576e-05+0.00056092i,0.00036509+0.00066075i,0.00050243+0.00045915i,0.000256+8.1565e-05i,5.6174e-05-0.00046726i,-0.0013627-0.00082017i,-0.0021716-0.001093i,-0.0013392-0.00099008i,-0.00027607-0.00029593i,-0.00032651-0.00018334i,-0.0010456-0.00053566i,-0.00084591-5.9667e-05i,0.00010008+3.983e-06i,0.00023135-9.5536e-05i,0.00022397+0.00031687i
0.00088288+0.00049206i,0.00019743+0.00058835i,-1.5754e-05+0.00064714i,6.0802e-05+0.0011828i,5.5258e-05+0.00064129i,-0.00018521+0.00017513i,-0.00058386+0.00070542i,-0.0004569+0.00072892i,7.6847e-05-9.9963e-05i,3.0661e-05-5.1248e-05i,-0.00032631+0.00023363i,-0.00051781-0.00083927i,-0.00088691-0.00098768i,-0.0011036+0.00022609i,-0.00074492+0.0004036i,-0.00058617-0.00039412i,-0.00018266-3.0625e-05i,0.00052618+0.00053012i,0.00073889-0.00023799i,0.00052941-0.00039411i,0.00039185-4.5481e-05i,7.7267e-05+0.00039108i,-0.00022865+0.00072325i
0.00030351-0.00040094i,-0.0011884-0.00083337i,-0.0021387-0.00082653i,-0.0016722-0.0003089i,-0.0010284+0.00028094i,-0.00085572+0.0013926i,-0.0010279+0.0010087i,-0.00064817+0.00012453i,-0.00015341-0.00052633i,0.00023421-0.00046027i,0.00043465+0.00039211i,0.00022114+0.0010238i,-0.00032674+0.00082859i,-0.00021564+0.00061263i,4.2204e-05+8.3157e-05i,-0.00023155-0.00010528i,-0.0011189+0.00024737i,-0.00069557+0.00092952i,0.00049401+0.00032533i,0.00039638-0.00092992i,0.00058428-0.00097004i,0.00048848-0.00063486i,-0.0004026-0.00078367i
0.0013728-0.00015207i,0.0019029+0.00051882i,0.00087814+0.00032439i,0.00013606-7.81e-05i,0.0006101+0.00043944i,0.0012358+0.0007297i,0.00051789+0.00031296i,-0.00092919+0.00037687i,-0.0014424+0.00093554i,-0.00095321+0.00063599i,-0.00042993-8.0453e-05i,-0.00032668-0.00028576i,-0.00028189-0.00059453i,-0.00019654-0.00036042i,-0.00026528+9.3633e-05i,-0.0001807-8.4644e-06i,-0.00031735+0.00010724i,-0.00032333+0.00070478i,-0.00015144+0.00025735i,0.00011974-0.00017212i,0.00028232-0.00010329i,-0.00032036-0.00011968i,-0.00056937-0.0001922i
0.0014486+0.0021459i,0.00151+0.001947i,0.0011702-0.00068469i,0.00080157-0.0015608i,2.7181e-07-0.00025954i,-0.00025143+0.00096472i,-1.3121e-05+0.0010286i,-7.9757e-05+0.0007838i,0.00011342+0.00047864i,0.00050843+9.9757e-05i,0.000618-0.00031076i,0.0001895-0.00056886i,-0.00032391-0.00042161i,-0.00037922+0.00017316i,-0.00034577+0.00043328i,-0.00040842-0.00019371i,-0.00056536-1.9762e-05i,-0.00057787+8.5892e-05i,-0.00015823+0.00030266i,0.00053202+0.00038936i,0.00099+0.00026349i,0.00081562+0.00059245i,0.00021051+0.00038889i
-0.00045609+0.0006877i,-0.00087257+0.0013617i,-4.5712e-05+0.0016166i,0.0010499+0.0016013i,0.0011844+0.0017773i,0.00018058+0.0012763i,-0.00014101+0.0011573i,0.00078329+0.0013416i,0.0016714+0.00024789i,0.00096654-0.0010366i,-0.00043028-0.00065302i,-1.0735e-05+0.00032494i,0.0005118+5.8122e-05i,-0.00043823+0.0001258i,-0.00136+0.00036826i,-0.00054389-0.00020047i,-0.00012274-0.00018169i,-0.00011697+0.00049513i,2.4077e-05+0.00058674i,-0.00060307-0.00015651i,-0.00055218-0.00075714i,0.0007576-0.0010453i,0.00091697-0.00066209i
-0.00081724-0.00055887i,-0.0011238-0.00086024i,-0.0013346-0.0010063i,-0.0015646+0.00045664i,-0.0016596+0.00094953i,-0.00081749+0.00024132i,0.00024776+0.0010433i,0.0006796+0.0014843i,0.00059253+0.00074976i,0.00034506+0.00063652i,3.9792e-06+0.00088108i,-0.00036036+0.0010487i,-0.0001267+0.00078387i,0.00012334-0.00073834i,-8.2069e-05-0.0010355i,-0.00020349+0.00011051i,0.00015305+0.0010475i,0.00082795+0.00053735i,0.001529-0.00020359i,0.0010312+0.0001982i,0.00033333+0.00034607i,5.8426e-05+0.00032106i,6.5754e-05-0.00016981i
0.0016517+0.0010466i,0.0034669+0.0016126i,0.0043147+0.001353i,0.0016902+0.00031183i,-0.00058226-0.00042169i,-0.0011522-0.0002327i,-0.0017664+0.00010011i,-0.00143+0.0002834i,-7.3355e-05-0.00017117i,0.00069855-0.00020617i,5.4554e-06-6.6725e-05i,-0.00054184-0.00068482i,-0.00038062-0.00083309i,-0.00058307-3.1277e-05i,-0.0012324+0.00045772i,-0.00091732-0.00025918i,8.3218e-05-0.00085337i,0.00083744-0.00081866i,0.0016277-0.00055248i,0.0013423+0.00023815i,0.00047584+0.00057472i,0.00019449-2.9503e-05i,0.00032493-0.00033912i
0.0010648+2.6747e-05i,0.0019802-0.00048092i,0.001211-0.00053816i,0.0001433-0.0006632i,0.00011431-0.00030099i,0.00034901-0.00011239i,0.00043837+0.00018296i,4.6057e-05+0.00016409i,-0.00014928-0.00036383i,-0.00017196-0.00080892i,-0.00030715-0.0012628i,-0.0004486-0.00098207i,5.9723e-05-0.000301i,6.9605e-05+0.00034776i,-0.00047906-0.00017541i,-0.00023512-0.00073915i,0.00042077-6.7451e-05i,0.00058096+0.00033496i,0.00053758+0.00017014i,0.00020785+0.00032646i,0.00048808+0.00051214i,0.00078094+0.00016489i,0.00020681-0.00012732i
9.9007e-05+0.0010047i,0.00044095-0.00071439i,0.00068569-0.0017027i,-5.8254e-05-0.00070902i,-0.00024607-3.6564e-05i,4.2716e-05+0.00018768i,0.00040653+0.00036724i,0.00076887+4.9684e-05i,0.00081151-0.00030788i,-4.5515e-05-0.00011639i,-0.00073418-0.00031203i,-0.00069908-0.00087521i,-6.0466e-05-0.00084962i,0.00053198-0.00012082i,0.00030137+0.00040901i,-0.00045682+0.00062688i,-0.00087702+0.00055223i,-0.00088908+0.00038901i,-0.00042654+0.00046688i,0.00060452+0.00033046i,0.00026601+0.00046772i,-0.00046265+0.0009847i,-0.00019471+0.0008966i
