0.0039427-0.00021468i,0.0031783-0.0029463i,0.0019868-0.0044535i,-0.00053925-0.0042434i,-0.0027776-0.0017239i,-0.0035956+0.0018902i,-0.0019623+0.0030366i,0.0005671+0.0024235i,0.0017074+0.00094482i,0.0011865-0.00088776i,-0.00048341-0.0019051i,-0.0012558-0.0017446i,-0.0015423-0.001071i,-0.0017351+0.00052487i,-0.002389+0.00097873i,-0.002216+0.0010082i,-0.00064721+0.0011378i,0.00015724+0.00080562i,0.00060703+0.00095999i,0.0010334+0.00043836i,0.00021216-0.00014276i,6.9547e-06-0.00013436i,-0.00041106-0.00028694i
-0.0024007+0.00050584i,-0.0028671+0.0015867i,-0.0019789+0.0024403i,-0.0003427+0.0014202i,0.0012669+1.9306e-05i,0.00083448-0.00049291i,-0.00022172+0.00011503i,-0.00023715+0.0011569i,-6.6584e-05+0.0011087i,0.00054519+0.00015576i,0.00083862-0.0004819i,0.00091631-0.00067718i,0.00012911-0.00041551i,-0.00093521-0.00046576i,-0.0012247-0.00093714i,-0.0010993-0.00123i,-0.00076657-0.00038687i,-0.00037484+7.6579e-05i,-0.0004208-0.00030313i,-0.00033381-0.00035371i,0.00072399-4.6638e-05i,0.00024169+0.00030554i,-0.0007828+0.00046477i
-0.00026975+0.0024072i,-0.0013784+0.0023444i,-0.00062857+0.0014686i,0.0008571+0.00068347i,0.00058478+0.00011815i,-7.4453e-05+0.0003895i,-0.00019435+0.00092717i,-0.00094511+0.0016206i,-0.00064225+0.0010616i,0.00033058-0.00032633i,0.00050664-0.00074642i,0.00069341-0.00016052i,0.00068923-0.0004401i,0.0011767-0.00074284i,0.0010674-0.000751i,0.00064135-0.0004674i,0.0011211+0.00019948i,0.0012347+9.0331e-05i,0.00034881-0.00061656i,0.00041131-0.00093453i,0.00069149+0.00013534i,0.00084404+0.00048469i,0.0012221-0.00012041i
-0.0018552-0.00038127i,-0.0035329+0.0011048i,-0.0038994+0.0018096i,-0.0017988+0.001073i,0.00072819+0.00036234i,0.0014316-0.0001696i,0.0010039+0.00015207i,0.00067358+0.00018034i,-7.1127e-05-6.7764e-05i,-0.00050545+0.00057234i,-7.322e-05+0.00055191i,0.00058552-0.00021659i,0.0012379-0.00059474i,0.0014105-0.00017301i,0.00068465-0.00057436i,0.00034624-0.00099531i,0.00060318-0.00075605i,0.00020242-0.00073991i,-0.00097829-0.0014736i,-0.0011238-0.0017093i,0.00020436-0.00093419i,0.00057366-0.00048326i,0.00015078-0.00088153i
-0.002287-0.0011579i,-0.0023443-0.0017816i,-0.00023913-0.00061319i,0.00069851-0.00069266i,0.00040966-0.0010664i,-0.00029595-0.0011183i,-0.00044915-0.00050183i,-3.0152e-05+0.00035591i,0.00019024+0.00033401i,0.00051929+0.00026934i,0.00027237+0.00040514i,-2.3329e-05+0.0004605i,0.00011888+0.00021805i,-0.0004253-0.0002149i,-0.00085471-0.00029429i,-0.00019282+2.1842e-05i,-0.00011852+0.00013012i,5.811e-05-0.00021109i,0.0002069-0.00071076i,0.00024857-0.0010098i,-0.00027153-0.0010196i,-0.00088722-0.0008428i,-0.0002729+0.0001128i
-0.00080128+0.00055652i,-0.00051663+7.8037e-05i,-1.9664e-05+0.0003825i,-0.00037894+0.0006331i,-0.00042068+0.00047371i,-0.00011291+0.00074129i,-0.00064619+0.0005647i,-4.2284e-05+0.00020707i,0.00045408-0.00015545i,0.00016537-0.00045915i,9.4195e-05+5.105e-05i,-0.00020732+0.00059296i,-0.00020934-5.5006e-05i,0.00010454-0.00020472i,0.00031993+0.00067819i,0.00033753+0.00065088i,0.00036605-0.000233i,8.3678e-05-5.8057e-05i,0.00021412-0.00025359i,0.0004175-0.0017483i,0.00029131-0.0021023i,0.00060681-0.0012829i,0.00085506-0.00068058i
-0.0010968+0.0009861i,-0.00097584+0.001677i,-0.0011991+0.00069805i,-0.00022447+0.00054947i,0.00027546+0.0016121i,0.0012915+0.0012646i,0.0018523+0.00039565i,0.00093473-0.00028488i,0.00013334-0.00030401i,0.00041135-0.00060679i,-2.0071e-05-0.00047509i,-0.00046784-0.00057566i,-0.00012304-0.0012941i,0.00075278-0.00058113i,0.00086136+0.00025875i,0.00097527+0.00010996i,0.0010615-0.00015i,0.00078224+0.00015764i,0.00064308+0.00027712i,0.00068115-0.00014036i,0.00054667-0.00056057i,0.00021792-0.00022256i,-0.00011847+0.00021189i
-0.002357+0.0025047i,-0.0019263+0.0016347i,-0.0010217+0.0017854i,-0.00080304+0.0015653i,-0.00023624+0.0004361i,-1.9927e-05-7.4938e-05i,-0.00029905-0.00051516i,-0.00042523-0.0010009i,-9.7958e-05-0.0010136i,0.00073761-0.00073226i,0.00040621-0.00061355i,-2.1411e-05-0.0008245i,-4.1752e-05-0.00032032i,0.00018692-0.00012956i,0.00016062-6.2271e-05i,-0.00042729+0.00021271i,-0.0011722-0.00027793i,-0.0012591-0.00019502i,0.00017632+0.00070551i,0.00042475+0.0005897i,1.9064e-05-0.00022354i,-0.00011628-2.5391e-05i,-0.00034846+0.00031425i
-0.001865-0.00013224i,-0.0018016+0.00071612i,-0.00074454+0.0015427i,8.9705e-05+0.00063046i,0.00047784-0.00023149i,0.00027323-8.5398e-05i,-0.00010267+0.000131i,-0.0002753+0.00013033i,-0.00060573-0.00014833i,-0.00073942-6.1268e-07i,-3.9794e-05+0.0001097i,0.00068608+0.00029105i,0.0010667+0.00050354i,0.00061693+0.0003438i,-0.00031554-0.00038725i,-0.00086359-0.00019358i,-0.00042513+0.0003725i,0.00018732+0.00032775i,-3.7898e-05+8.7051e-05i,-0.00077153-0.00029011i,-0.00053734-0.00028757i,-6.1069e-05-0.00018233i,-0.00018409-0.00024675i
-0.00020531-0.00042134i,-0.0010505+0.00044208i,-0.0012733+0.00052707i,-0.00082382+3.8848e-05i,0.0004856+3.8391e-05i,0.0013885+0.00023659i,0.00073711+0.00026038i,3.569e-05+0.00053091i,0.00029926+0.0006733i,6.0241e-05+0.00013025i,-0.00032878-8.2985e-05i,5.6638e-05-0.00013668i,0.00033346-0.00051782i,-0.00023449-0.00031992i,-0.0008085+9.8967e-05i,-0.00030633+3.7341e-05i,0.00066376+1.4203e-05i,0.0013495+0.00056901i,0.0010059+8.891e-05i,0.00059218-0.0006615i,0.00057124-1.987e-05i,0.00075625+0.00027785i,0.00035458-6.9695e-05i
-0.0015534+0.00080556i,-0.0015423+0.0014463i,-0.0013433+0.0017702i,-0.00027631+0.00077659i,0.00049473-0.00031601i,0.00051101-0.00035116i,0.00046929+0.00065729i,0.00039004+0.00060455i,0.00020497+0.00022235i,7.5108e-05+0.00035244i,0.00041829-0.00041851i,0.00071292-0.00053718i,0.00045565-0.00039141i,6.9631e-05+2.9608e-05i,0.0002793+0.00020648i,0.00019381+7.2675e-05i,6.5138e-05-0.0001118i,0.00034638-0.0006461i,0.00055499-0.00088288i,0.00045982-0.00047692i,0.00011791-0.0002928i,0.00039185+7.6086e-05i,0.00037114+0.00025888i
