5.357e-05-0.0010916i,0.00056196-0.0024671i,-0.00034037-0.0033526i,-0.0018697-0.0035051i,-0.0029668-0.002445i,-0.0036645-0.0011855i,-0.0032879-0.00034231i,-0.0021085+0.00036387i,-0.0012515+0.00049301i,-0.00025712+0.00048704i,0.00057351-0.00032089i,0.00034498-0.00089932i,-0.00065558-0.00086352i,-0.00026742-0.0010042i,-0.00017389-0.00059461i,-0.0011062-0.00034415i,-0.0015423-0.00064711i,-0.001697-0.00032765i,-0.00094872-8.5263e-05i,0.00013687-0.0002031i,-8.1167e-05+8.5994e-05i,-0.00047334-0.00042787i,-0.0003085-0.0010159i
0.0012024-0.0010249i,0.001053+0.0003392i,0.00026678-0.00021111i,-0.00093626-0.00074327i,-0.0020726-0.0004431i,-0.0018732-0.00061388i,-0.00088082-0.0013688i,-0.00037956-0.0018905i,-0.00066719-0.0022449i,-0.00099923-0.0021704i,-0.00026486-0.0011902i,-7.8591e-05-0.00040217i,1.1955e-05-3.2631e-05i,0.00014149+0.00052058i,-0.00031738+0.00060165i,-0.0004144-0.00033008i,-0.00061346-0.0012235i,-0.0013921-0.00036373i,-0.001686+0.00061214i,-0.0013245+0.00015486i,-0.00068368-0.00056705i,0.00025418+0.00015446i,2.8627e-05+0.00078381i
-0.0003588-0.00090775i,-5.6795e-05-0.0015249i,0.00020104-0.0020667i,-0.00026741-0.0015612i,-0.001732-0.0012133i,-0.0023255-0.0015501i,-0.0016351-0.0010677i,-0.00046958-0.00069366i,-2.9498e-05-0.0012201i,-0.00034851-0.00082087i,-0.00025323+0.00013838i,-0.00036539+0.00066727i,-0.00049455+0.0005375i,-0.00030583-6.7018e-05i,0.00028419+6.3814e-05i,-0.00020062+0.00013052i,-0.00090615-6.4545e-05i,-0.00080031+3.2712e-05i,0.00015236+0.00016141i,0.00058919+2.3474e-05i,-1.547e-05-0.00023256i,-0.00050615-0.00034637i,-0.0009379-0.00064796i
0.00035843+0.0010007i,-0.00024739+5.9652e-05i,-0.0012561-0.00066905i,-0.0018803-0.0012452i,-0.0026042-0.0012612i,-0.0019234-0.00095719i,-0.00078087-0.00096845i,-0.00099821-0.00059984i,-0.0012473-0.00085848i,-0.00039602-0.00073687i,0.00049601+1.3408e-05i,0.00045851+0.00016678i,0.00031039+0.00036563i,0.00058861+0.00084633i,-2.9406e-05+0.00034314i,-0.00041765-0.00084842i,-0.00056597-0.00080434i,-0.00077499-0.00017705i,-0.00022173+0.00010286i,-2.2214e-05-5.0957e-05i,0.00010998-0.00015698i,0.00061924+0.00035718i,0.0002794+0.00042566i
-0.00030252-0.00097538i,0.00045159-0.0014959i,-0.00023484-0.0011998i,-0.0012258-0.0010545i,-0.0015189-0.00075789i,-0.00090432-0.00035009i,0.00021689-0.0011251i,4.8002e-06-0.0016528i,-0.001086-0.0012435i,-0.0012076-0.0010104i,-0.00037418-0.00017377i,-6.0956e-05+0.00074208i,-0.00040758+0.00073075i,-0.00056624+0.00046572i,-0.00060673+0.00049216i,-0.00069148+0.00032219i,-0.0011898+0.00049285i,-0.00088764+0.00067293i,-0.00013585+0.00050456i,7.6793e-05+0.00010001i,0.00015559+2.4169e-05i,0.00013855+8.9202e-05i,0.00033792+0.00014741i
0.0016893-0.0002223i,0.0011927+3.9523e-05i,-0.00011081-0.00033252i,-0.0011287-0.0012639i,-0.0020879-0.0020465i,-0.0029769-0.0025442i,-0.0017624-0.0016794i,0.00019154-0.00086898i,0.00079944-0.0019388i,-0.00011784-0.0026493i,-0.00066183-0.001623i,-0.0007744-0.00066318i,-0.00077765+1.6558e-05i,-0.0011076+0.00088464i,-0.0014402+0.00013757i,-0.00028305-0.00028083i,0.00013433+6.6931e-05i,0.00011713+2.8244e-05i,8.734e-05+2.2389e-05i,-6.9283e-05+0.00018924i,-0.00019741+0.00025728i,8.9984e-05-6.386e-05i,0.0005528-8.351e-05i
-0.00064254-0.00074633i,0.00016685-0.00074488i,0.00090539-0.0015919i,-0.00031551-0.0019907i,-0.0014709-0.0031369i,-0.0013775-0.0025368i,-0.00059233-0.0010221i,0.00022224-0.00079738i,0.00041967-0.00062728i,0.00053757-0.00069598i,0.00032207-0.00043737i,-0.00047258-0.00011204i,-0.00087379-6.3997e-05i,-0.0003577-1.923e-05i,2.6295e-05-0.00039115i,-0.00040181-0.00048342i,-0.00092136-0.000549i,-0.00045604-0.00032923i,-0.00033259+0.00024372i,-0.00051262+0.00014575i,-0.00035128-8.8177e-05i,-0.00024175+0.0001114i,-0.00018984+5.8001e-05i
-0.00069965-0.0035039i,-0.0010891-0.0020566i,-0.0026993-0.0014381i,-0.0038936-0.00072892i,-0.0036672-8.0261e-05i,-0.0021717+0.00013698i,-0.00077878-0.00015513i,-0.00061825-0.001216i,-0.00057818-0.0018321i,-0.00097494-0.0011265i,-0.0015391+0.00024531i,-0.00058125+0.0012883i,0.0004743+0.0014175i,0.00060895+0.00042112i,-0.00040835-0.00023426i,-0.00098139+9.0647e-06i,-0.00050148+0.00046173i,-0.00040768+5.5819e-05i,-0.00030839-0.00019277i,-0.00034427-0.00011344i,-0.0010921-0.00024943i,-0.0010187-0.00035867i,0.00020653-0.00017524i
-0.00052613+0.0010091i,0.00033077+0.00052617i,5.0968e-05-0.00064034i,-0.0011375-0.00156i,-0.0017101-0.001692i,-0.0018919-0.0019313i,-0.0014678-0.0013971i,-6.2661e-06-0.0005232i,0.0006936-0.00095273i,0.0003298-0.0010146i,-0.00021317-3.953e-05i,-0.00060702+0.00071821i,-0.00058666+0.00084414i,-0.00040561+0.0007642i,0.00011284+0.00047777i,0.00059564+8.0321e-05i,-0.00015525+9.2737e-05i,-0.00080537+0.00037222i,-0.00021291-0.00038129i,-6.8548e-05-0.0011271i,-0.00054603-0.00074927i,-0.00065377-0.00036558i,-0.00013741-0.00040157i
0.00078463+9.4618e-05i,0.00041199-0.00054092i,-0.00050151-0.0010498i,-0.0010053-0.00085296i,-0.0020133-0.00056484i,-0.001664-0.00081383i,-4.5715e-06-0.00086412i,0.00074025-0.00097839i,0.00014148-0.0013113i,-2.8129e-05-0.0015105i,-0.00048425-0.0016619i,-0.00073228-0.0013843i,-0.0011231-0.00071141i,-0.00086246-0.00027691i,-0.00055176+0.00020138i,-0.00080335-8.3965e-07i,-0.00077603-0.00073199i,-0.00080618-0.00011875i,-0.001201+0.0001821i,-0.00066321-0.00019381i,-0.00023839+0.00014041i,-6.4998e-05-0.00016624i,3.6947e-05-0.00038138i
0.00026351-7.8068e-06i,-0.00016566-9.3218e-05i,-0.00098202-0.00084282i,-0.0020856-0.0010526i,-0.002147-0.0012148i,-0.0025557-0.0019169i,-0.0018724-0.0015807i,-0.00067872-0.0010563i,-0.00055165-0.0010644i,-0.00043546-0.0010221i,-0.00049185-0.00085452i,-0.00096059-0.00085432i,-0.0010647-0.00044489i,-0.00057308+0.00018373i,0.00028526+0.00022172i,2.9492e-05+2.3107e-05i,-0.00061943-0.00018843i,-0.00091274-0.00011951i,-0.00040652+0.00031421i,0.00024363+0.00033841i,0.00026286-0.00034816i,0.00036464-0.0010592i,0.00080537-0.00081194i
