0.0029645-0.000461i,0.0024126-0.0010491i,0.0018566-0.0019332i,-0.00069263-0.0025012i,-0.003405-0.0016112i,-0.0041071+0.00046472i,-0.0031377+0.0015858i,-0.001589+0.0016152i,0.00012021+0.00048586i,0.00059144-0.00039108i,0.00028438-0.00061213i,-0.00013801-0.00060911i,-8.9611e-05+4.2296e-06i,-0.00042561+0.0010135i,-0.0013171+0.00097069i,-0.0014225+0.00027223i,-0.0015561+0.00026655i,-0.0010352+0.00058357i,6.1354e-05+3.0358e-05i,0.00039273+6.7074e-05i,0.00041698+0.00040093i,-6.4599e-05+0.00034322i,-0.00037407+0.00053352i
9.8931e-06-0.00022479i,-0.00050376+5.69e-06i,-0.00081341-9.759e-05i,-0.00065601-0.00017174i,-0.0007812-1.2963e-05i,-0.00060261+0.00012359i,-2.529e-06-0.00031268i,0.00060544+0.00039511i,0.00048553+0.00076561i,4.4812e-05-2.6472e-05i,-0.00022362-0.00045174i,-6.5444e-05-0.00010937i,9.5418e-05+0.00045281i,-0.00016713+0.0012845i,-0.00051133+0.0011965i,-0.00030017+0.00043281i,0.00069341-0.00067923i,0.00038157-0.0008571i,-0.00046631-0.00047622i,-0.00027984-0.00075947i,-5.3743e-05-0.00039889i,0.00020095+0.00018198i,0.00036046+0.00062507i
7.9501e-05-0.00018957i,-0.0012057-0.00040737i,-0.00080998-0.0015099i,-0.00027674-0.0018869i,-0.00041979-0.00065492i,-0.00066031+0.0002117i,-0.00085108-0.00037917i,-0.00033557-0.00040574i,-0.00037092-0.00017406i,-1.11e-05-7.5512e-05i,0.00064405+0.00085126i,0.00066717+0.0011335i,0.00059637+0.00035717i,0.00056821-0.00018777i,0.00038464-8.5623e-05i,-0.0001472-0.00018658i,-0.0003918-0.00010613i,-0.00057992+0.00021539i,-0.00050939+0.00031477i,3.0487e-05+0.00053232i,0.00040707+0.00072344i,0.00026618-3.714e-05i,0.00045701-0.0004902i
0.0021061+0.00062169i,0.003054+0.00015228i,0.0022603-0.00044007i,0.00039475-0.00039941i,-0.00082902+9.4173e-05i,-0.00080967+0.00030445i,-0.00025317-0.00010604i,-2.8054e-05+3.9198e-05i,-0.00021684+0.00026611i,0.00032553-0.00052159i,0.00048449-0.00033835i,0.00025263+0.00067205i,-0.00025361+0.00058442i,0.00010812+0.00055316i,0.00062758+0.0013243i,-0.00024377+0.00093531i,-0.00018174+0.0003145i,0.00091088+0.00067859i,0.00071752+0.00051942i,-0.00038208+0.000166i,-0.0011088+0.00053784i,-0.00086271+0.00064049i,-3.7122e-05+0.00020943i
5.831e-05-0.00048153i,-0.0011546+0.00010015i,-0.0008074-0.0007317i,7.6023e-05-0.0019008i,5.5312e-05-0.0014462i,-0.000552-0.00028318i,-0.0010384+0.00042086i,-0.00082935+0.00025899i,-8.9467e-05-0.00036057i,-0.00035984-0.00095569i,-9.9563e-05-0.00060813i,0.00085958+0.00049894i,0.00078666+0.00016807i,-0.0003567-1.4558e-05i,-0.00091094+0.00027469i,5.8981e-05-2.8178e-05i,0.00038575-0.00014313i,-0.00043774+0.0001666i,-0.00041441+0.00024682i,0.00015773+0.00020722i,0.00023719-0.00012844i,0.00011143-0.00036112i,0.00047807-0.00012888i
0.00032323+0.00030177i,0.00094847+0.00058849i,0.0005109+0.0006633i,0.00036074+0.00018817i,0.00014247+0.0001465i,-0.00064197-5.9587e-05i,-0.00095542-0.00037624i,-0.00010818-8.9945e-05i,0.00020219+0.00022404i,-0.00016576+0.00014236i,-0.00012892-0.00017637i,-0.00012515-0.00018357i,-0.00034416-0.00012915i,-0.00015564+4.1345e-05i,0.00045945+9.2821e-05i,0.00036032-0.00053643i,0.00056125-0.0011084i,5.6281e-05-0.00091327i,-0.00092221-0.0008769i,-0.00095119-0.00073257i,-0.00048173-0.00068439i,0.0004229-0.00060781i,0.0006085+0.00022601i
4.4504e-05+0.0003045i,-0.00070781-0.0002633i,-0.00056953-0.0012553i,-0.00021865-0.0009738i,-0.00017386-0.00026386i,-0.00036865-0.00021335i,-0.00083418-0.0003343i,-0.00062668-0.00071067i,-0.0001893-0.00048155i,0.00015391+0.00026034i,-2.8069e-05+0.00056208i,-8.323e-05-0.00029093i,-4.5565e-06+0.00028059i,0.0002471+0.0014254i,0.00011332+0.00057802i,9.1552e-05-0.0002541i,0.00033198+6.598e-05i,0.00025704+0.00029729i,-0.00018778+0.00022001i,-6.4164e-05+0.00019196i,-0.00047797+0.00066438i,-0.00087693+0.00049544i,-0.0003694+0.00023941i
0.00011966-0.0010253i,0.00063203-0.0013861i,0.00069752-0.0008516i,-0.00013404+0.00058224i,-0.0007357+0.001262i,-0.00093848+0.00094006i,-0.00081859-8.9653e-05i,-0.00077217-0.00015945i,-0.00028489+0.00012449i,0.0010995+0.00013666i,0.0013464-0.00019437i,0.00064079-0.00028212i,0.00026057+0.0001799i,-0.00016015+0.00080942i,-0.00018501+0.00068681i,-0.00041439-0.00017369i,0.00010818-0.00050861i,0.00076647-0.00033769i,0.00068598+4.8736e-05i,0.00036991-3.8821e-05i,0.00058336-0.00021002i,0.0006786-0.00029269i,0.00050323+0.00043453i
0.00027756-0.00036548i,0.00074781-0.00084952i,0.0011212-0.0008859i,5.3484e-06-0.00094382i,-0.00050429-0.0015101i,-0.00032639-0.0011532i,0.00034864-0.0012433i,0.0011317-0.0010522i,0.0008574+0.00011557i,0.00062007+0.00080581i,0.00041506+0.0004652i,0.00030484+7.2503e-05i,0.00083576+0.0002548i,-9.9323e-05+0.00031361i,-0.0014283-3.6033e-06i,-0.0011456+0.00027082i,-0.00070186+0.00029565i,-0.000583+0.00012613i,-0.00043496+8.0191e-05i,-0.00024335-0.00037083i,0.00026137-0.00072707i,0.00020422-0.00075808i,-0.00034569-0.00048624i
-0.0017177-0.00112i,-0.0013277+0.00058657i,-0.00083216+0.0011523i,-0.00099163+0.0013726i,-0.0010978+0.0012598i,-0.0014512+0.0012597i,-0.00084886+0.0009613i,0.00098554-0.00011406i,0.0011706-0.00053274i,0.00037103+2.7877e-05i,0.00016909+0.00025393i,0.00035408+0.0005603i,0.00029918+0.00075598i,-0.00016129+0.00028752i,3.6747e-05+0.00026049i,0.0013976+0.00034659i,0.001323+0.00056037i,0.00033362+0.00035728i,-0.00011633-0.00012557i,-0.0001496-0.00043471i,-0.00026476-0.00061146i,-0.00062615-0.0002171i,-0.00092972-0.00032786i
-0.00092772-0.00094868i,-0.00096241-0.00085638i,-0.0014809+0.00039665i,-0.0016004+0.0013855i,-0.0019253+0.0013972i,-0.0014746+0.00044216i,-0.00081583-0.00028465i,-0.00072989-0.00056402i,-0.0005581-0.00055309i,-0.00064237+9.5979e-05i,-0.00044558+0.00089769i,7.5552e-05+0.0010808i,0.00028411+0.00026082i,0.00050778-0.00084693i,0.00026364-0.00076037i,-0.00035002-0.00071795i,-4.383e-05-0.0011775i,0.00020849-0.0016882i,-0.00025305-0.0014023i,-0.00030774-0.0004587i,-0.00054541-3.014e-05i,-0.00033631-0.00021879i,0.00022172+0.00021232i
