0.0029645-0.000461i,0.0024126-0.0010491i,0.0018566-0.0019332i,-0.00069263-0.0025012i,-0.003405-0.0016112i,-0.0041071+0.00046472i,-0.0031377+0.0015858i,-0.001589+0.0016152i,0.00012021+0.00048586i,0.00059144-0.00039108i,0.00028438-0.00061213i,-0.00013801-0.00060911i,-8.9611e-05+4.2296e-06i,-0.00042561+0.0010135i,-0.0013171+0.00097069i,-0.0014225+0.00027223i,-0.0015561+0.00026655i,-0.0010352+0.00058357i,6.1354e-05+3.0358e-05i,0.00039273+6.7074e-05i,0.00041698+0.00040093i,-6.4599e-05+0.00034322i,-0.00037407+0.00053352i
0.0020359-0.00095516i,0.0012934-0.00080734i,0.00021882-0.00073194i,-0.00037856-0.00022209i,0.0002573+7.2576e-05i,0.00058231+5.4764e-05i,0.00023216+0.00026127i,0.00051789+0.0014587i,0.00055207+0.0016866i,0.00059315+0.00087588i,0.00074579+0.00096174i,0.00079511+0.0014352i,0.00011595+0.00077217i,-0.00048004-6.2572e-05i,-0.00051334-0.00085606i,-0.00077867-0.001064i,-0.0006325-0.00045691i,5.6627e-05-0.00037617i,0.00033632-0.00014208i,-3.4235e-05-1.3636e-05i,0.00012195-0.00059978i,0.00090616-0.0007651i,0.00045319-0.00035619i
0.0012341+0.0002416i,0.00090415+4.2388e-05i,0.0018172-0.0012321i,0.0017034-0.0024061i,0.00041718-0.0019253i,-0.00023182-0.00062046i,3.13e-05+0.00053904i,0.00074256+0.00058694i,0.0012325-0.00017718i,0.00078841-0.0005861i,0.0001065-0.00017993i,-0.0002723+0.00029892i,0.00031506-1.7992e-06i,0.00031065+0.00048391i,-0.0009727+0.00035805i,-0.00052156-0.00010193i,0.00028606-3.0866e-05i,0.00013499-0.00066856i,-2.623e-05-0.0010432i,-0.00068944-0.00064027i,-0.00092658-0.00063791i,-0.00022125-0.0006638i,0.00026028-0.00022657i
0.0027302-0.00072678i,0.0015551-0.0017998i,0.00093444-0.002576i,-0.00079717-0.0025391i,-0.003342-0.0021913i,-0.0033616-0.001531i,-0.0014155-0.0007571i,-0.00010362-0.00090527i,0.00091653-0.0013845i,0.0011677-0.0017331i,0.00050847-0.0010608i,0.00040704-0.00012208i,-0.00012792+0.00022316i,-0.00095932+0.00027991i,-0.0012028+0.00085635i,-0.0008141+0.00095461i,0.00037126+0.00032809i,0.00066987+0.00027194i,0.00013707-3.9915e-05i,0.00016277-0.00024762i,-0.00018119-0.00017429i,-0.00067716-2.3022e-05i,-0.00020629+0.00054769i
-0.0014408-0.00015683i,-0.0014693+0.0007031i,-0.001274+0.00085401i,-0.0018068+0.0008803i,-0.0016216+0.00068642i,-0.00037154-0.00026323i,-0.00021042-0.00075113i,-0.0011046-0.00068304i,-0.0015303-0.00080672i,-0.001752-0.0010302i,-0.001936-0.00073878i,-0.0013629-0.00025711i,-0.00041469-7.2125e-05i,-0.00052628+5.7245e-05i,-0.00069047+0.00043974i,-0.00021189+0.00067809i,0.00085071+0.00027595i,0.0010443+0.00030241i,0.00067139-0.00017924i,0.00090835-0.00041733i,0.00070714-7.002e-05i,-0.00033323+7.4067e-05i,-0.00024858+7.543e-05i
-0.0019793+0.0020788i,-0.00090287+0.0019008i,0.00071898+0.0014508i,0.0012116-0.00010702i,0.001274-0.0017346i,0.0013464-0.0021361i,0.00030111-0.002006i,-0.00052372-0.0013551i,-0.00014341+0.00027205i,0.00035024+0.0010341i,0.00060957+0.001256i,-0.00015719+0.00062538i,-0.000776-0.00039841i,0.0001862-0.0011044i,0.0013345-0.0015304i,0.00096223-0.0011643i,0.00031936-0.00070306i,0.00010096-0.00069083i,-0.00042186-0.00070085i,-0.00056259-0.00034337i,-0.0001071+0.00024484i,-0.00072004+0.00046303i,-0.0013033+0.00045566i
-0.0021788-0.00075899i,-0.0017482+0.0012567i,-0.0017724+0.0028117i,-0.0013525+0.0024065i,-0.00039825+0.0012401i,-0.00054552+0.00040056i,-0.0012683-0.00014101i,-0.0019273-9.7063e-05i,-0.0012999+0.00034957i,0.00065463+0.0010236i,0.0013447+0.0010724i,0.000607+2.5642e-06i,-0.00040429-0.00071218i,-0.00064474-0.00089387i,-0.00040796-0.0012926i,-0.00026509-0.0012186i,-0.00075256-0.00081397i,-0.00073434-0.00034013i,-8.2909e-05-0.00046079i,-9.4239e-06-0.00020526i,0.00013796+0.00045621i,-0.00011785+0.00051977i,-0.0006797-0.00039323i
0.00088731-0.0022687i,0.00040264-0.0021691i,-0.0019572-0.0024695i,-0.0033898-0.0019104i,-0.0027946-0.0010678i,-0.0019836-0.00024802i,-0.001479+0.00012097i,-0.001109+0.00064672i,-0.00022825+0.00047569i,0.0012036-8.9399e-05i,0.0018062+0.00027301i,0.0011498+0.00072182i,0.00087022+0.0010477i,0.00018301+0.00078098i,-0.00057474+0.00064601i,-0.00082286+0.00097082i,-0.0012234+0.0010046i,-0.0014093-4.7538e-05i,-0.0016765-0.00069369i,-0.0011754-0.00074987i,0.00011106-0.00069853i,0.00030067-0.00092611i,-5.1887e-05-0.0007664i
0.00084303+0.00073043i,0.0011555-0.00020638i,0.00056564-0.0011519i,-0.00018764-0.00077144i,-0.0012456+0.00072429i,-0.0010974+0.0016373i,0.00022545+0.0012566i,0.00064056+8.1725e-05i,0.00041948-0.00040257i,-5.3611e-05-0.00091113i,0.00014364-0.0016611i,0.00046238-0.0011455i,1.9825e-05-0.0006326i,-0.00022671-0.00025301i,-0.00079265+0.0006282i,-0.00047876+0.00092163i,6.3593e-05+0.00078724i,0.00013316+0.0007481i,-0.00046574+0.0014626i,-0.00039229+0.001097i,0.00049263+0.00017513i,0.00050036-0.00041921i,-0.00048535-0.00010233i
-0.0016338-0.0018154i,-0.0020189-0.00066863i,-0.0018775-8.2358e-05i,-0.00043557+0.00045743i,0.00019181+0.00081424i,-0.00010744+0.00049673i,-0.00038497-0.00080695i,-0.00033935-0.001471i,-0.00073449-0.001048i,-0.0020728+1.0472e-05i,-0.0022074+0.0010599i,-0.0006341+0.0010934i,0.00092319+0.00047999i,0.0018913+0.00043306i,0.0021627-8.3977e-05i,0.0019335-0.0011324i,0.001845-0.00053406i,0.0013898+0.00045767i,-0.0002547+0.00017316i,-0.00017129-0.00079825i,0.00024017-0.0010266i,-0.00054949-0.00075803i,-0.00049638-0.00068919i
-0.00053558+0.0036233i,-0.00090361+0.0041248i,-0.0010798+0.0023109i,-0.00087455-0.00018587i,-0.00074711-0.00093897i,-0.0010639-0.0010404i,-0.0016201-0.0010394i,-0.00052089-0.00050874i,0.00064118+0.00039509i,0.00041565+0.0016065i,0.00047212+0.0015475i,0.00037763+0.00031778i,1.0281e-05-0.00029711i,-0.00020881-0.00010432i,0.00015046-0.00067384i,0.00012177-0.0013134i,-0.00027747-0.00096266i,-0.00038367-0.00040569i,-0.00066121-0.00031842i,-5.256e-05-0.0004409i,0.00022381-0.00035995i,-0.00026895+4.8668e-05i,-0.00061507+0.0004495i
-0.00070924-0.00080228i,-0.0004813-0.00088555i,0.00013355-0.0010605i,0.00015645-0.0013809i,-0.00073263-0.0010576i,-0.0020872-0.00013903i,-0.0017519-0.00067814i,-0.0013929-0.0015644i,-0.00087172-0.00043458i,0.00097618+0.00085827i,0.0014777+0.0012117i,0.00081804+0.0010755i,0.00021186+0.00051102i,-9.19e-05+0.00020569i,-0.0004844-0.00034022i,-0.0014765-0.00023386i,-0.0013683-0.00025385i,-0.00080454-0.000507i,-0.00099636-0.00063833i,-0.00054509-0.0010891i,0.00019785-0.00091343i,0.00038296-4.9748e-05i,-0.00026059-0.00013578i
-0.00088588+0.0016705i,0.00083765+0.00082521i,0.0015346+0.00075396i,0.00078023-0.0004742i,-0.0001718-0.0019847i,-0.00019348-0.0025789i,0.00019082-0.002032i,-0.00035483-5.476e-05i,-0.00037155+0.00152i,0.00033631-8.2722e-05i,0.0007525-0.0010033i,0.0010775-0.0006494i,0.00045758-0.00079006i,-0.0012471-0.0010561i,-0.001941-0.0008847i,-0.0015596-0.00030898i,-0.00041124-0.0001732i,0.00023154+0.00060043i,-0.00048378+0.0013768i,-0.00068169+0.00064214i,-2.4103e-05+0.0004725i,0.00055223+7.5346e-05i,0.0004964-0.00083451i
-0.0015618+3.8145e-05i,-0.0016692+0.00096896i,-0.00072625+0.002299i,-0.00061664+0.0025725i,-0.0010364+0.001266i,-0.0010782+0.00023649i,-0.00041456-7.2896e-05i,-0.00041177+7.926e-05i,-0.00092582+0.00017386i,-0.0013358-0.0003625i,-0.0014588-0.00033189i,-0.00067129+0.00064315i,-6.9905e-06+0.00019615i,0.0002729-0.00045037i,0.00075277+0.00040363i,0.00086853+0.0011433i,0.0013453+0.00071049i,0.0012627-0.00047376i,0.00025237-0.0012743i,0.00030986-0.0014299i,0.00040061-0.0010778i,-6.9852e-05-0.00038575i,5.0519e-05+0.00064298i
-0.0020274-0.0011356i,-0.0020927-0.0010363i,-0.0012181-0.00058049i,1.7311e-05-0.00014084i,-7.0201e-05-0.00025207i,-0.00036231-0.00070823i,0.00061019-0.00071534i,0.0011002-0.00051537i,0.00017092+0.00026123i,-0.0013422+0.0012048i,-0.0017926+0.0010494i,-0.00052736+0.00071151i,0.00065423+0.00059757i,0.0013775-0.00031319i,0.0017423-0.0006562i,0.0012172-0.00061483i,0.00041841-0.00065024i,0.00034762-0.00028197i,0.00034215-0.00085027i,-0.00065587-0.00077637i,-0.001734-0.00047412i,-0.0015199-0.0010754i,-7.4564e-05-0.00081442i
0.00016121+0.0020723i,-0.00038929+0.0013102i,-0.00037237+0.00043203i,-0.0009742-0.00032824i,-0.00074704-0.0013578i,0.00012004-0.001557i,0.00011224-0.0012164i,0.00030171-0.0012164i,0.00063528-0.00046065i,0.0011091+0.00037388i,0.00082501+0.00047771i,-0.000102+0.00086674i,-0.0010177+0.00036318i,-0.0013357-0.00054871i,-0.00098923-0.0015599i,-0.00055376-0.0017072i,-0.00033282-0.00063647i,-0.00094821+0.00036016i,-0.0012073+0.00031326i,-0.00062898+0.00022914i,-0.00012246+0.00033449i,0.00026871+1.9129e-05i,0.00034172-7.6469e-05i
-0.00084322+0.0002483i,-0.00030854+0.00068619i,0.00097393+0.00043482i,0.00053548-0.00055846i,-0.00058362-0.00060643i,-0.00058729+2.7851e-05i,-0.00050183+2.9427e-05i,-0.00072451-0.00038673i,-0.00032738-0.00066175i,0.0011793+2.7804e-06i,0.0020322+0.00071665i,0.0017405+0.000814i,0.00098025-4.5835e-06i,-0.00016845-0.00029858i,-0.00076715-0.00038381i,-0.00038239-0.00016301i,-0.00062832+0.00081501i,-0.0012696+0.00085901i,-0.0012129+0.00064134i,-0.00084855+0.00070555i,-0.00046357+0.0007413i,-0.00052088+0.00033091i,7.4242e-05-3.4884e-05i
9.8587e-05+0.00014834i,0.00028981+0.00024746i,0.00069292-0.00058752i,0.00052747-0.00011496i,-0.00037257-0.00050547i,-0.0011174-0.00075937i,-0.0012122-0.00035257i,-0.0010499-6.9591e-06i,-0.00048482-0.00048494i,6.8691e-06-0.001086i,0.00047592-0.00077821i,0.0011983+0.00018415i,0.0012529+0.0010587i,0.00062471+0.00087408i,0.00043358+0.00038875i,0.00036966+0.00041514i,-0.00062824+0.00088746i,-0.00056186+0.00084029i,-3.1259e-06+0.00077261i,0.00014229+0.00047915i,0.00030948+0.00044406i,0.00060836+0.00091843i,0.00083161+0.00059028i
-0.0011308+0.00068456i,-0.0011205+0.0010856i,-0.0007936+0.001786i,-0.0012251+0.0010681i,-0.0015911-0.0004526i,-0.0008744-0.0011105i,-0.0008439-0.001179i,-0.00078277-0.00032876i,-0.00085117+0.00064158i,-0.0016328+0.0010519i,-0.0015036+0.00088625i,-0.00032947+0.0004475i,0.00030668-0.00085513i,0.00041874-0.0016448i,0.00092315-0.00061217i,0.00063813+0.00028644i,0.00036986+0.00020974i,0.00078057+0.00044058i,0.00063379-1.6813e-05i,0.00094325-0.00071781i,0.0010178-0.00080708i,-0.00012116-0.00064217i,-0.00038487-2.2176e-05i
7.4531e-05+0.0023618i,0.00049096+0.0015675i,0.00066457+0.00012504i,0.0014783-0.0016746i,0.0011756-0.0028409i,-0.00064463-0.0019475i,-0.0010069-0.0011032i,-0.00055685-0.0001741i,-0.0002409+0.0014063i,4.1255e-05+0.0014177i,-0.00066116+0.00013273i,-0.0011026-0.00030334i,-0.0007129-1.1513e-05i,-0.00071479-0.00048072i,-0.00058614-0.0014171i,-0.00011164-0.0013833i,0.00035316-2.993e-05i,0.00043244+0.00060272i,-0.00082231+0.00027239i,-0.0012078-0.00019267i,-0.00057064+9.0306e-05i,-0.00053994+0.0004409i,-0.00033441+0.00023099i
0.00081143-4.6959e-05i,0.0013865-2.8991e-05i,0.00082364+6.7706e-05i,-0.00022497+0.00041828i,-0.00074147-0.00014518i,-0.0011068-0.0014366i,-0.00060503-0.00208i,0.0002718-0.0022714i,0.00074876-0.0018367i,0.00063424-0.00032131i,3.2396e-06+0.0013121i,-0.00069644+0.0014669i,-0.00041942+0.0013498i,-0.00015804+0.00087944i,-0.00060251-5.4962e-05i,-0.0010497-7.1227e-05i,-0.001297-8.3329e-05i,-0.00089521-0.00022039i,-0.00023892-0.00047628i,0.00019953-0.00065115i,7.5146e-05-0.00039213i,-0.00052206+0.00038836i,0.00021038+0.0007238i
-0.0018058+0.0028772i,-0.001803+0.0025528i,0.00044626+0.002325i,0.0012804+0.0015483i,0.00099612+0.0007301i,0.00032882-0.00045447i,-0.0013168-0.001168i,-0.0025001-0.00062322i,-0.0018064-0.00076523i,-0.00028267-0.0010074i,0.0012404-0.00019235i,0.0025121+0.00017578i,0.0016255-2.4747e-05i,-0.0003532+0.00014443i,-0.00083216+0.00068432i,-0.00046729+0.00014676i,-0.00029436-0.00096905i,-0.00015369-0.00070609i,0.00037336-0.00012631i,0.00082363+0.00044406i,1.8951e-05+0.00013857i,0.00018177-0.00026277i,0.0010384-0.00044078i
-0.002849+0.0013811i,-0.0012483+0.00053155i,0.0004687+0.00063646i,0.00052406-0.00068814i,0.00029087-0.0013417i,0.00025176-0.00033031i,6.5192e-05+0.00079666i,-0.0009256+0.0012068i,-0.0010413+0.0012122i,-5.8133e-05+0.00064864i,0.00050626-0.00022783i,0.00057197-0.00089515i,0.00087637-0.0010036i,0.00056043-0.0010854i,0.0006215-0.0011274i,0.0012644-0.00097463i,0.0011918-0.0011045i,-2.8495e-05-0.00030195i,-0.00059471+0.00049066i,0.00019767-0.00028003i,0.00055948-0.0013492i,2.0928e-05-0.0011967i,-0.00017085-3.6937e-05i
0.00038483+9.8043e-05i,-5.6694e-05+0.0024887i,-0.00036788+0.0034377i,-0.00032422+0.0021932i,-0.00053054+0.0005298i,-0.00030144+0.00022201i,-0.00020625+0.00050541i,2.0142e-05+0.00040644i,0.00072637+0.0010802i,0.00057717+0.0015051i,-0.00053545+0.00092703i,-0.00098679+0.00011768i,-0.00081987-0.00026177i,-0.00035163-0.0003326i,0.00019682-0.00084955i,-0.00012806-0.0013856i,-0.00038239-0.00044132i,-0.00081343+1.5006e-05i,-0.00040263-0.00027161i,0.00038926-0.0010139i,0.00059694-0.0015746i,0.00057424-0.00093931i,-0.00010453-0.0011214i
-9.9803e-05-0.0011354i,-0.00046926-0.0022092i,-0.0011014-0.0026383i,-0.0015784-0.0022566i,-0.0014881-0.0014258i,-0.00055833-0.00029847i,5.5737e-05+0.00019951i,0.0011071+0.00016195i,0.0017444-0.00025266i,0.00092675-0.00039625i,0.00037307+0.00037187i,-9.5148e-05+0.00092325i,-0.00083418+0.0010822i,-0.00091769+0.00099553i,-0.00058539+0.00027791i,-0.00057109-0.00015297i,-0.00078657-0.00032022i,-0.00016008-0.00029953i,0.0004944-0.00057929i,0.00048894-0.00094066i,0.00031334-0.00085947i,0.00043889-0.00067859i,0.00012591-0.00011833i
-0.00069115+0.0014341i,-0.0013033+0.00052019i,-0.0016299+0.00010688i,-0.001639-0.00071748i,-0.0012485-0.0010549i,-2.0641e-06-0.0007965i,0.0011992-0.0011402i,0.00065545-0.0010869i,-0.00091867-0.00047133i,-0.0011459+0.00021896i,-0.00088588+0.0014774i,-0.00055654+0.0014809i,0.00069615+0.00067797i,0.00060003+0.00075199i,-0.0006389+0.00083289i,-0.00089589+0.00087187i,-0.00045426+0.00058246i,-0.00048101+0.00016457i,-7.1658e-05-0.00016243i,0.00034595-0.00030705i,0.00054405+0.0005363i,0.00015981+0.00074804i,4.1071e-05+4.352e-05i
-0.0019228+0.0044849i,-0.0007855+0.004844i,0.00077023+0.0040712i,0.0017001+0.0010969i,0.0010665-0.00039421i,-0.00075606-0.00057335i,-0.0022897-0.0015462i,-0.0029303-0.0011379i,-0.0028561+0.00011079i,-0.0015932-7.8766e-05i,-8.9502e-05-0.000402i,0.00048068-0.00049956i,0.00018614-0.00069367i,-9.686e-05-0.0013553i,0.00031205-0.0019582i,0.0011045-0.0019609i,0.0010158-0.0012039i,-4.5354e-05+0.00066575i,-0.00073641+0.0012015i,-6.6276e-06+0.00071174i,0.00075916+0.00047859i,0.00090555+0.00041077i,0.00032726+0.0006935i
0.0009669-0.0030853i,-0.00075857-0.0020638i,-0.0025391-0.0014406i,-0.0033504-0.001187i,-0.0035933-0.0010535i,-0.0031395-0.0008577i,-0.0026147+1.725e-05i,-0.0017707+0.0011315i,-0.0010141+0.00086146i,-0.00015372+0.00023134i,0.00060867+0.0002131i,0.00087344+0.0003182i,0.00012392-0.00016867i,-0.00018787-0.00029122i,4.476e-05-0.00041995i,0.00052392-0.00084828i,0.00065178-0.00066383i,0.00076109+0.00049538i,0.001477+0.00043516i,0.0014104-0.00072444i,0.00078386-0.0009425i,0.0002968-7.9233e-05i,-0.00062545+0.0013774i
-0.00019112+0.0010619i,0.00090977-0.00015034i,0.0018209-0.0010038i,0.0012386-0.0002807i,0.00076098+0.0001105i,0.00024397+0.00075046i,-0.00048146+0.0011893i,0.00018039+0.0010337i,0.0014019+0.00077244i,0.0011805+0.00041887i,-0.00018342+0.00023788i,-0.0010203+0.00024083i,-0.001239+9.3013e-05i,-0.0012717-0.00037721i,-0.0014205-0.00094394i,-0.00065838-0.0015655i,-0.00026631-0.001451i,0.00010042-0.00082519i,0.00077922-0.0011743i,0.00063426-0.0014387i,-0.00014829-0.0010302i,-4.7738e-05-0.0010029i,-0.00021114-0.00065708i
6.9703e-05-0.00085808i,-0.00018138-0.0015343i,-0.00099923-0.0022869i,-0.0013999-0.0017743i,-0.0014628-0.00062762i,-0.00022282-0.00037159i,0.0013177-0.00068984i,0.0016822-0.001228i,0.00073666-0.0015626i,-0.00053669-0.00070903i,-0.001237+0.00055498i,-0.0012279+0.0012216i,-0.00025757+0.0015663i,0.00014003+0.0011724i,0.0002396+0.00087508i,0.0004343+0.00085688i,0.00057375+0.00025963i,0.00094926-1.0351e-05i,0.00074248-0.0008198i,-0.00031702-0.0015965i,-0.00059294-0.00097746i,-0.00043405+0.0002419i,-0.00063807-3.1227e-05i
0.00084469-0.00029956i,4.2073e-05+0.00063714i,0.00037115+0.00086613i,-4.6085e-05+7.6752e-05i,-0.0021562-0.00066947i,-0.0022859-0.0015541i,-0.001536-0.0025581i,-0.0016762-0.0024947i,-0.0020747-0.0015206i,-0.0021016-0.00017275i,-0.0014838+0.0011203i,-0.00041091+0.002003i,0.00031676+0.002146i,0.0013206+0.0015552i,0.0018992+0.0009977i,0.0017987+0.00078801i,0.0013871-0.00014718i,0.00010591-0.00091913i,-0.00047142-0.0001646i,-0.00010765+0.00078159i,0.00019686+0.0004873i,-0.00026475+0.00021167i,-0.00074353+0.00051392i
0.0007549-0.00028044i,-0.00076441-0.00038997i,-0.0018889-0.0011322i,-0.0018015-0.0020653i,-0.002076-0.002803i,-0.0024388-0.0019316i,-0.0022268+0.00029373i,-0.0016246+0.0011051i,-0.00030033+0.001125i,0.00078605+0.0015594i,0.00051062+0.0012324i,0.0002228+8.4332e-05i,0.00043042-0.0003634i,0.00010504-1.2505e-05i,-0.0010631-0.00019376i,-0.00030168-0.00058772i,0.00047194-0.0008331i,0.00029301-0.00031111i,0.00086456+0.000311i,0.00088055+0.00058987i,0.00015169+0.00076684i,0.00014565+0.00021613i,2.7036e-05-0.0003413i
0.00047503-0.00089006i,0.0012493-7.6343e-05i,0.0007356-0.0003411i,0.00061382-8.127e-05i,2.3805e-05-0.00057104i,-0.00088522-0.0016953i,-0.0012188-0.0015324i,-0.0012726-0.00061191i,-0.0006862+0.0003885i,-0.00012866+0.00067506i,0.00066152+0.0004904i,0.00078088+0.00016124i,-0.00034592+0.00046955i,-0.00099375+0.00064615i,-0.00073461+0.00054256i,-0.0010079+0.00039436i,-0.0011408+6.6581e-05i,-0.00029507-0.00040544i,0.0008637-0.00068214i,0.0014564-0.00056463i,0.00087754-0.00057142i,0.00022993-0.00087335i,0.00012034-0.0011637i
-0.00023047+0.0016553i,0.00035243+0.00085565i,-9.4043e-05+0.0005371i,0.00038875-0.00032713i,0.0014676-0.0010788i,0.00145-0.0010656i,0.00047154-0.00030951i,-0.00085626-0.00014673i,-0.00027665-0.00010375i,0.00016247-0.00096694i,-0.00043935-0.0019575i,-0.00021824-0.0011154i,-0.00022076-0.00032242i,-0.00050863-0.00083086i,-0.00035768-0.0016808i,-0.00060196-0.001389i,-0.00065069-0.0010098i,-0.00011352-0.00086677i,-9.5052e-05-0.00066325i,-0.0001046-0.00092936i,7.3752e-05-0.00073573i,0.0002314-0.00073101i,-7.7784e-05-0.0010245i
-0.00017671+6.9286e-05i,-0.00040945+3.813e-05i,-0.00025381+0.00046774i,-0.00020007+0.00038985i,-0.00028741-0.00029888i,-6.6878e-05-0.00013272i,-0.00017169+5.6309e-05i,-0.00014146+0.00051017i,-0.0002385+0.00084463i,-0.0010586+0.0006092i,-0.0019237+0.00057278i,-0.0016217+0.00089841i,-6.7643e-05+0.00078064i,0.0011027+0.00062579i,0.00055975+0.00015089i,0.00013432-0.00042436i,-3.7612e-05-0.00035363i,-0.00080421-0.00021418i,-0.0014397+0.00031979i,-0.001097+0.00070692i,-0.00010198+0.0011083i,-5.7008e-05+0.0011992i,-0.00064757+0.00075453i
0.00087508-0.0005902i,0.00035281-0.0013849i,-0.00032207-0.0019074i,-0.0009198-0.0017273i,-0.00096143-0.0017435i,-0.00048598-0.0010725i,1.5453e-05-0.00040984i,0.00041749-0.00050524i,0.00034129-1.1888e-05i,-0.00053536+0.0014718i,-0.00092668+0.0018241i,8.5688e-05+0.0010707i,0.00064122+0.00030633i,0.00027019+0.00012092i,0.00022552-2.5409e-05i,0.00040874-0.00037688i,0.00033668-0.00084245i,-0.00015937-0.00069588i,-0.00048499-5.718e-05i,0.00025261+0.00032339i,0.00059788+0.00061736i,0.00073556+0.0010004i,0.000978+0.0011158i
0.0014023+0.00059475i,0.0011517+0.0001395i,0.00040702-0.00014995i,-0.00050279-0.0012223i,-0.0019176-0.0017524i,-0.0021143-0.0019052i,-0.0012622-0.0023201i,-0.0014629-0.0026686i,-0.0013833-0.001436i,3.1163e-05+6.6343e-05i,0.0010449+0.00099883i,0.00080387+0.0014609i,-0.00018329+0.00018627i,-0.00083692-0.00080597i,-0.00093948-0.00071017i,-0.00086894-0.00099101i,-0.00019244-0.0010936i,0.00020019-0.00030383i,0.00047412+0.00043764i,0.00094627+0.00024149i,0.0012181+1.1951e-05i,0.00081179+0.00013156i,0.0008329+0.00017026i
-0.0009876+0.00015992i,-0.00036857+0.00041946i,-3.4142e-05+0.0013286i,0.00027376+0.00071642i,0.00037108-0.0007021i,-0.0015465-0.0015322i,-0.003418-0.001842i,-0.0031722-0.0012743i,-0.0018293-0.0005399i,-0.00051967-0.0001585i,0.00028887-0.00015662i,9.0768e-05-0.00039523i,0.00018819+3.6007e-06i,0.00088382-0.00012705i,0.00023455-0.001037i,-0.00082139-0.00091397i,-0.00030212-0.00067293i,-0.00025115-0.00072152i,-0.00039789-0.00066076i,6.0166e-05-0.00076557i,-4.9924e-05-0.00081443i,-0.00040271-0.00080992i,-0.00069214-0.00078443i
-0.00051126+0.000815i,-0.0002244+0.0011204i,0.0011214+0.0014742i,0.0012546+0.00043145i,0.00062262-0.00097573i,0.00087275-0.0016924i,0.00047745-0.00027084i,-0.00010952+0.0017086i,0.00032637+0.0020457i,-1.4514e-05+0.0010193i,-0.0008339-0.00013949i,-0.00065085-0.00030068i,-0.00035541-3.0273e-05i,5.8561e-06-0.00039309i,0.00073736-0.00040389i,0.00060931-0.0006618i,-6.6851e-05-0.00082902i,-0.00011963-0.00052028i,0.00033017-0.00014357i,-0.00029373+8.559e-05i,-0.00070968+0.00010398i,-0.00064936-0.00015619i,-0.0011466-0.00063512i
-0.0021217+0.00013168i,-0.0023481+0.0016034i,-0.0026402+0.0023788i,-0.0018486+0.0011829i,-0.0011036-0.00018756i,-0.00098341-0.00054649i,-0.00043341+0.0003828i,0.00019433+0.00078387i,0.00042104+0.00068096i,4.6514e-05+0.001233i,-0.0006671+0.0013152i,5.2037e-06+0.0011253i,0.00067277+0.00055143i,0.00039059-0.00062909i,2.4749e-05-0.00070614i,0.00032975-0.0010979i,0.00056424-0.0013571i,0.00012221-0.00074522i,-0.00030597-0.00058879i,-0.00080307-7.2202e-05i,-0.00074794+0.0005801i,-0.00029122+0.00076632i,-0.00027785+0.00082752i
0.00035589-0.0012547i,0.0015443-0.002015i,0.002661-0.0033501i,0.0021943-0.0032325i,0.0012264-0.0010995i,0.0013561-0.00039884i,0.0018629-0.00086214i,0.0019582-0.0013991i,0.0013192-0.0018388i,0.00069832-0.00070212i,0.0015711+0.0016666i,0.0012249+0.0017747i,0.00015795+0.00021232i,-8.0907e-05-3.4583e-05i,0.00020832-0.00026518i,0.00035165-0.00027903i,0.00063204-0.00029319i,-0.00021017-0.00052475i,-0.00038681-0.00027994i,0.00022678-0.00011464i,0.00056892-0.00031777i,0.00072518-0.00066742i,0.00071707-0.00072358i
6.1858e-05+0.0007708i,-0.00053502+0.0024205i,-0.0012818+0.0031793i,-0.0011206+0.0019919i,-0.0010153+0.00040362i,-0.00088947-0.00063013i,0.00046211-0.0019624i,0.0003152-0.0020913i,-0.0010601-0.0013542i,-0.00085568-0.00065934i,-0.0002236+2.2551e-05i,-0.00078131+0.00047068i,-0.0012904+0.00070343i,-0.00061654+0.00080582i,-0.00023083+0.00015031i,-0.0006319-0.00013179i,-0.00056442+0.00017358i,-2.3458e-05+0.00016442i,0.00039075-0.00023973i,0.00051081-0.00031766i,0.00070203-0.00030566i,0.00067574-0.00024361i,-2.5661e-06+0.00048767i
-0.00015915-0.0004748i,0.0010379-0.0010716i,0.0023435-0.00076702i,0.00058894-0.0015997i,-0.0018053-0.0022959i,-0.0023166-0.0026459i,-0.0030072-0.002653i,-0.0031875-0.001213i,-0.0018774+0.00013609i,-0.00020369+0.00022099i,0.00046189+2.4618e-05i,0.00044285+0.00031046i,0.0007247+0.00039884i,0.00031625+1.1212e-05i,-0.00084317-0.00042941i,-0.00076946+0.00052678i,-0.00027306+0.0008305i,0.00013183+0.00014724i,1.5958e-05+5.4379e-05i,-0.00055718+0.00027615i,-0.00069734+0.00011823i,-0.00017988-0.00057764i,0.0002132-0.00075642i
-0.0011021+0.001675i,-0.001093+0.0020651i,-0.00079157+0.0016279i,-0.001325+0.00015536i,-0.0018184-0.0007983i,-0.002754+0.00013359i,-0.0039843+0.0012302i,-0.0034189+0.0010741i,-0.0013015+0.00030874i,-0.00017881+0.00021355i,0.00017546+0.00075479i,0.00064373+0.0005775i,0.0010109-0.0012273i,0.00032453-0.0019595i,-0.0013733-0.0020573i,-0.0013123-0.0016558i,-0.00024568-0.00071261i,-0.0001355-0.00056144i,-0.00034558-0.00037846i,6.3149e-05-0.00023422i,-8.762e-05+9.2269e-06i,-0.0007538-0.00028603i,-0.00055977+0.00010728i
