-0.0011476-0.00091289i,-0.00030312-0.0025226i,-0.0014528-0.0016772i,-0.0013192-0.00068399i,-0.00082363+4.3759e-05i,-0.00092509-0.00016181i,-0.00074831-0.00046885i,0.00070196-6.8507e-05i,0.0016841-0.00056463i,0.0016806-0.0010853i,0.0017419-0.00055477i,0.0012058-0.00027257i,0.00051323-0.00025469i,0.00048707-5.2391e-06i,0.00020886-0.00019829i,0.00016342-0.0001188i,5.6462e-05+0.00028218i,-0.00039808+0.0010138i,-0.00078544+0.0012591i,-0.00074204+0.00037073i,-0.00025397-0.00031047i,0.00015839-0.00069413i,0.00013218-0.00039589i
0.0010786+0.00084499i,0.0014932+0.00050671i,0.0024625+0.0001527i,0.002293-3.5629e-05i,0.0015062-3.4827e-05i,0.00043157-0.00071199i,0.00024396-0.0014443i,6.4509e-05-0.0019621i,0.00061344-0.0018419i,0.00072723-0.0014994i,-4.7488e-05-0.0016563i,-0.00035089-0.00052164i,-0.00044875+0.00033598i,-0.00053273+0.00045078i,-0.00048338+0.00027828i,7.6295e-05+0.0005841i,0.00038111+0.0010712i,0.00032408+0.0006484i,0.00049834-0.00050599i,0.00022186-0.0011195i,0.00020055-0.0010003i,0.0014192-0.00084624i,0.0019827-0.00074786i
-0.0015451+0.0012092i,-0.0003678+0.00079969i,0.00026642+0.00029485i,0.0007396-0.00069974i,0.00068734-0.0016828i,0.00023846-0.0019026i,0.00043675-0.0013115i,0.00078887-0.0006159i,0.00093656-0.00033678i,0.00039579-0.0008323i,0.00027804-0.0012429i,0.00011232-0.00097021i,-0.0012219-0.0003444i,-0.0012672+1.2742e-05i,-0.00047095-0.00043812i,-7.1293e-05-0.00049526i,-0.00010535+0.00046824i,0.00040024+0.00086023i,-4.6539e-05+0.00088053i,-0.0011077+0.0006967i,-0.00078689+5.8686e-06i,0.00034533-0.00076826i,0.00076635-0.0011389i
-0.00017262-0.001145i,0.00065112-7.7472e-05i,0.0013971+1.5906e-05i,0.0014975+0.00031937i,0.00081946+0.00082089i,0.00033784+3.6117e-05i,0.00025212-0.0012638i,0.001054-0.002369i,0.00098887-0.0021965i,-1.8707e-05-0.0013474i,-0.00043512-0.00024499i,-0.00033525+0.00051413i,0.00038459+4.1394e-05i,6.4462e-05+4.4783e-05i,-0.0006132+9.6159e-05i,-0.00098112-9.6693e-06i,-0.00052814+0.00016955i,0.00047757+0.00030318i,0.00016604+0.00013847i,-1.6227e-05-0.00043017i,8.6632e-05-0.00015622i,0.00015723+3.1592e-05i,0.00063207-0.00054384i
-0.00099862-0.00033313i,-0.0012844-0.0014848i,-0.00021269-0.0014048i,0.0012358-0.00098428i,0.001643-0.0001277i,0.0010191+0.0003559i,0.00081803-0.00039432i,0.0013115-0.0011885i,0.00066223-0.00097159i,9.3505e-05-2.6104e-05i,0.00024823+5.0497e-05i,0.00074442-0.0003704i,0.00084069-0.00035782i,0.00012569-0.00045304i,-0.00022001-0.00065422i,-9.3491e-05-0.00011747i,-2.0623e-05+8.8023e-05i,9.4469e-05-0.00058405i,0.00082556-0.001261i,0.0013658-0.00053822i,0.00047337+9.8662e-05i,-0.00028674-0.00013243i,-7.9147e-05-0.00011025i
0.0029453+0.0017027i,0.0026348+0.0010592i,0.0019167+0.0003049i,0.0013285-4.4593e-05i,0.0007782-0.0010108i,0.00013291-0.001874i,-0.00041505-0.0014706i,-0.00093973-0.00098072i,-0.00072928-0.0013827i,-2.0909e-06-0.0018127i,0.00026064-0.0013805i,0.00031964-0.00042394i,-0.00041085+0.00021578i,-0.00058853+0.00011785i,9.7159e-05+0.00010512i,8.3674e-05+0.0003378i,0.00066066+0.0003574i,0.0005143+0.00042747i,-1.7005e-05+0.00033328i,-0.00020121-0.00044337i,-0.00019312-0.00074586i,0.00032646-0.00035313i,0.00053892+2.4666e-05i
-0.0014611+0.00021469i,0.00014436-0.00047346i,0.0006684-0.00092142i,0.00066103-0.00046994i,0.0007611-0.00019794i,0.00099917-0.0013078i,0.0011079-0.0023695i,0.00052255-0.0027805i,0.00012233-0.0029778i,0.00039236-0.0015886i,0.00057758-0.00024331i,0.0005459-0.00021447i,-0.00020025-0.0005669i,-9.9586e-05+0.00037862i,0.00036777+0.00054763i,0.00067243+6.6109e-05i,0.00059284+0.0002754i,-0.00040254+0.00052691i,-0.00065264+0.00016198i,-0.0002657-0.00042221i,0.00050272-0.00029366i,0.00088356+0.00034753i,0.00077991+0.00078686i
-0.00032074+0.00054099i,-0.00014337+0.00033896i,0.00014455+0.0013139i,0.00017542+0.0018005i,0.00087573+0.00096464i,0.00081341-0.00041609i,0.00015167-0.001042i,3.9208e-05-0.00087258i,-0.00050706-0.00098554i,-0.0008636-0.00077115i,-0.00042605-0.00056949i,-0.00010388-0.00020001i,-2.6609e-05-0.00012484i,1.3558e-05-0.0005494i,2.8637e-05-0.00088238i,-4.281e-05-0.0010163i,3.4332e-05-0.00056016i,-0.00015832-0.00031398i,-0.00017158-0.00064151i,0.00054965-0.00054399i,0.0011579-0.00052011i,0.00052859+8.2346e-05i,-0.0005993+1.3798e-05i
-0.0010765+0.0011255i,-0.00073608+0.0014616i,-0.00065994+0.001142i,-6.6973e-05+0.00029875i,0.00046266-9.4217e-05i,0.00050592-0.00010556i,-5.5921e-05-0.00096827i,0.00017089-0.0017302i,0.00056332-0.001574i,0.00065805-0.001363i,0.00053324-0.00081749i,0.00023406-0.00036536i,0.00011941-0.00010316i,-0.00045648+0.00015199i,-0.00017329-0.00017697i,0.00058514-0.0006121i,0.0010109-0.00065231i,0.00039491-0.00065294i,-0.00040794-0.00075411i,8.9279e-05-0.0002948i,0.00055396-0.00020993i,0.00010645-0.00047547i,-0.00054151+2.2518e-05i
0.00056463-0.0019676i,-0.00021205-0.0012939i,-9.8297e-05-0.00034753i,-0.00040306-0.00019662i,-0.00043024-0.00029756i,0.00057844-0.00022621i,0.0003778-0.00020022i,-0.00041969-0.00097122i,-9.8948e-05-0.0021914i,-0.00025808-0.0020603i,-0.00078665-0.00058896i,-0.00039492-0.00014553i,-0.00014371+0.00022592i,-0.00036296+7.589e-05i,-0.00051418-0.00081319i,0.0002704-0.00096287i,-0.00010293-0.00036384i,-0.0006644-2.1938e-06i,8.2534e-05+0.00011585i,0.00069656+0.00038593i,0.00032284+0.00041409i,-0.00036376+0.00027228i,0.00030688-0.00029894i
0.00071157+0.0013491i,0.00064736+0.00060465i,0.00063189-0.00075005i,0.0011059-0.0017347i,0.0012581-0.0017707i,0.00062552-0.0014396i,4.9098e-05-0.001143i,-0.00089244-0.0019322i,-0.00075272-0.0025536i,-0.00035373-0.0014036i,-0.00037593-0.00076957i,-6.428e-05-0.00070794i,0.00057728-1.6264e-05i,-0.00024416+0.00070414i,-0.00099286+0.0002789i,-0.00082326+0.0003431i,-0.00064215+0.0011907i,9.6256e-05+0.00072636i,0.00026815-0.00028599i,-3.4303e-05-0.00088621i,0.00026342+9.5982e-05i,0.00084311+0.00076005i,0.00084868+0.00021725i
-0.00045727-0.0016199i,0.00012661-0.001602i,0.00076811-0.0011654i,0.00055494-0.00077119i,-0.00017482-0.00050048i,0.00018543-0.00077076i,0.00042652-0.0017719i,0.00055963-0.0019945i,0.00054483-0.0019462i,-0.00025068-0.0014486i,-0.00058335-0.00049687i,4.3525e-05+3.4006e-05i,0.00069373-5.0945e-06i,0.00083507-0.00037346i,0.00025519+0.00018118i,4.0454e-06+0.00047765i,0.00035962+0.00015125i,0.00085246-3.2963e-05i,0.00045642-0.00071018i,-9.7636e-05-0.0012096i,0.00052443-0.00036036i,0.00031412+0.00021992i,5.0013e-05+0.00057063i
0.00018178+0.0025444i,0.00028182+0.0014787i,0.0024334+0.0010344i,0.0029614+0.0004765i,0.001711-0.00060921i,0.00060517-0.0017118i,0.00033973-0.0016345i,0.00062842-0.0013441i,0.001201-0.00172i,0.00088325-0.0010067i,0.00021373+0.0005993i,0.00017532+0.0009124i,0.00021202+0.00035405i,2.878e-05+0.00062467i,-0.0004926+0.00046223i,-0.00030835-0.00024403i,-0.00080796-0.00026074i,-0.0016432+6.1514e-05i,-0.00066136-0.00029702i,4.5752e-05-0.00053309i,0.00022059-8.1468e-05i,0.00041994+0.00022886i,0.00054266+0.00050519i
0.00083238-0.0016929i,0.001136-0.0026028i,0.00058547-0.0025931i,0.0011734-0.001319i,0.001542-0.00091652i,0.0008263-0.0012141i,0.0008354-0.0010631i,0.00045262-0.0010584i,0.00026227-0.0014845i,0.00024812-0.0015194i,-0.00023713-0.0014916i,-0.00057671-0.0012656i,-0.00087559-0.00015484i,-0.00011645+0.00036787i,0.00085199+0.00074579i,-0.00011142+0.00057258i,-0.0007824-9.9701e-06i,8.927e-05-3.7571e-05i,0.0008316-5.3648e-05i,0.00059721+0.00051265i,0.00040133+0.00066396i,9.3087e-05+0.00027205i,-0.00019453-0.00010403i
0.00075688+0.0010344i,-6.5525e-05+0.00099163i,-0.00010344+0.0010472i,0.00060974+0.00073979i,0.00035961+0.00033732i,0.00032945+8.9038e-05i,0.0005827-0.0010259i,0.00090087-0.0020841i,0.00097863-0.0020298i,0.00072211-0.00098885i,-0.00021716-0.00016746i,-0.00030991-0.00031193i,-0.00029869-0.00017354i,-0.00089536+0.00023608i,-0.00063942+0.00034087i,-0.00066892+0.00073988i,-0.00043107+8.0138e-05i,8.8092e-05-7.2991e-05i,-0.00024329+0.00055771i,-0.00047465+0.00026493i,-0.00023099+0.00026768i,0.00048161+0.00029603i,0.00051709-0.0011111i
-0.0003299+0.00042045i,0.00072826-0.0011368i,0.00089719-0.0017444i,0.00064988-0.0020518i,0.00031659-0.0015485i,-0.00033492-0.0014423i,-0.00021867-0.0019514i,0.00022672-0.0019594i,0.00056577-0.0012897i,0.00018023-0.00083329i,-0.00017815-0.00045329i,6.2174e-05-0.00024006i,8.2533e-05+5.2236e-05i,-0.00017456-0.00021073i,-2.4858e-05-0.00043822i,-0.00026792+0.00012871i,-4.7476e-05+7.2489e-06i,0.00053322+4.0195e-05i,0.00066883-0.00018424i,0.00096721-0.0007007i,0.00057818-0.00030605i,-4.6174e-05+8.2456e-05i,5.8144e-05+0.00012512i
