-0.0029828+0.0022193i,-0.0026207+0.002291i,-0.0031543+0.0031301i,-0.0023788+0.0022868i,-0.00043315+0.0019061i,0.0003365+0.0010092i,6.7405e-05+0.0007617i,-5.8949e-05+0.002109i,-0.00046634+0.0022466i,3.5293e-05+0.0010758i,0.00053688+7.2125e-05i,-0.00027776-0.00038291i,8.9678e-05-0.00071126i,0.00052888-0.0011695i,0.00010392-0.00042308i,-0.00020353+0.00057913i,-0.00066856+0.00037927i,-0.00049937+0.00022556i,0.00021366+0.00052594i,0.00019228+0.00038293i,0.00020487+0.00010751i,8.6952e-05-0.00042151i,0.00041737-0.0010063i
0.0011424-0.00028033i,0.00081075-0.00080564i,0.00038383-0.00047874i,0.0004981-0.00033818i,0.00023569-0.00087287i,-0.00012413-0.00013901i,-0.00019694+0.00062833i,-0.00045059-4.7057e-05i,-0.00085477-0.00055077i,-0.001083-8.8037e-05i,-0.00093265+0.00048639i,-0.00062828+0.00056397i,0.00010927+2.9566e-05i,3.0255e-05-0.00058164i,-5.1462e-07-0.00072017i,0.0010124-6.6794e-05i,0.0013794+0.00025735i,0.00075577+0.00031798i,0.00048253+0.00049774i,0.001037+0.00062602i,0.00071318+0.00011482i,-0.00011076-1.0794e-06i,-0.00011408+0.00038769i
0.0004273+0.0002127i,-0.00043648+7.2863e-05i,-0.00030917-0.0011265i,-0.00018058-0.0005291i,-0.00086309+0.00042323i,-0.00092179-0.00011321i,-0.00037649-0.00042054i,-0.00018471-0.00023921i,0.00019897-0.00025486i,0.00094148-0.00033162i,0.00094061-1.835e-05i,0.0003128-8.3908e-05i,0.00032085-0.00028928i,0.00031589+0.00028103i,0.00052863+0.00080308i,0.00093568+0.0003317i,0.00042929-7.8541e-05i,2.8072e-05+0.00055585i,-0.00060443+0.00027743i,-0.00042801-1.656e-05i,0.0003534+0.00015869i,-4.9499e-05-9.0276e-05i,-0.00091467-9.2818e-06i
5.4569e-05+9.4228e-05i,0.0014163+0.00037664i,0.0019379+0.00083287i,0.0013328+0.00048689i,0.00045253-0.00055516i,-6.6126e-05-0.00097572i,-0.00016213-0.00066154i,-0.00028697-0.00093471i,-0.00020233-0.0014349i,-0.00010663-0.0010095i,-7.1544e-05-0.00010883i,0.00021551+0.00072438i,-0.00020414+0.001124i,-0.0011358+0.00076794i,-0.0012535+2.9637e-06i,-0.0011634+0.00014191i,-0.0009309+0.00068746i,-0.00023836+0.00038167i,-2.4383e-05+0.00017824i,0.00084176+0.00043727i,0.0010935+0.00094413i,-0.00013966+0.0003306i,0.00018493-1.4174e-05i
-0.0012448-0.00043229i,-0.0012943+0.0004427i,-0.0015922+0.00045467i,-0.0024206+0.00042367i,-0.0022688-0.00016958i,-0.00019342-0.00071339i,0.00076441-0.00038108i,-0.0003031-0.00043595i,-0.00066302-0.00063311i,2.523e-05-0.0006851i,-0.000102-5.1085e-05i,-0.00077583+0.0011616i,-0.00060714+0.0014424i,-0.00039179+0.0010271i,-0.00024322+0.00037066i,-4.4057e-05-0.00010468i,-0.00010692+0.00044286i,-0.00024636+0.00031975i,4.7334e-05-0.00029266i,0.00083314-1.6802e-05i,0.00078338-5.7474e-05i,0.00044714+0.00010485i,0.00017269+0.00040213i
-0.0006669-0.00097412i,-0.0013874-0.001151i,-0.00068162-0.00087863i,0.00055803+0.00045621i,0.00074793+0.00097066i,0.0010787-5.6549e-06i,0.00080216-0.0012031i,0.00018854-0.00076585i,-0.00042283+0.00025157i,-0.0011355-4.5675e-05i,-0.00028865-0.00031264i,0.00083433-0.0004404i,0.00142-0.00070532i,0.00083976-0.00037559i,-0.00043403-0.00026073i,-0.00050163-3.7225e-05i,0.00060573-0.00022274i,0.001476-0.00030857i,0.0013301+0.00019082i,0.00018562-0.00017606i,-0.00033591-0.00069921i,5.6253e-05-0.00064065i,-0.00023848-0.00011101i
0.00017617+2.4645e-05i,-0.0001893+3.6408e-05i,-0.00022935+0.00085715i,-0.00029721+0.00078336i,-0.00046549-0.00025801i,-0.00088604-4.5478e-05i,-0.0013203+0.00015209i,-0.000645-0.00063768i,-0.0001417-0.0012528i,-0.00044756-0.0011629i,-4.7408e-05-0.0006633i,0.0007715+0.00034162i,0.00055427+0.0011649i,0.00010966+0.001096i,0.00024523+0.00077175i,0.00015723-7.2506e-05i,-0.00061076-0.00074235i,-0.00024566-0.00019355i,0.00041263+0.00045665i,0.00048822+8.1422e-05i,0.00050109+1.7817e-05i,-1.4071e-05-0.00014601i,-0.00080369-0.00052073i
0.0012806-0.001754i,0.00072731-0.0020229i,-0.00019834-0.0019424i,-0.0008449-0.0013101i,-0.0011896-0.0010082i,-0.00079107-0.00050733i,0.00023592-0.00061058i,0.00047246-0.0014433i,-0.0003099-0.0019305i,-0.00063801-0.0010581i,-0.00059388+0.00022011i,-0.00053956+0.00049628i,-0.00025489+0.00033765i,3.2799e-05-0.00014121i,0.00028801-3.4817e-05i,0.00036368+0.0006287i,0.00060098+0.00082707i,0.00049795+0.00033003i,0.00020551+4.1271e-05i,0.000161-6.4664e-05i,6.0058e-06-5.5471e-05i,-0.00017873+0.00015507i,-0.00051151-1.1994e-05i
-0.00064824-0.00082737i,-0.00065824-0.00059655i,-0.00097756+0.00060864i,-0.0011422+2.8554e-05i,-0.0010022-0.00073388i,-0.000247-0.001135i,0.00021016-0.0013139i,-0.0003623-0.00064162i,-0.00016991-0.00096316i,0.00054498-0.0011515i,0.00016922-0.0010633i,-0.00053593-0.00076811i,-0.00057842+0.00018549i,0.00013514+0.00041381i,0.00092026+5.8527e-05i,0.00055432+0.00010612i,-0.00015396-0.00013441i,-0.00026615+0.00011471i,-0.00070567-0.00017858i,-0.0009832-0.00096008i,0.00012968-0.00033713i,0.00032635+0.00026035i,0.0006729-0.00058369i
-0.00088811-0.0012517i,-0.0020839-0.0020072i,-0.001864-0.002326i,-9.5209e-05-0.00074127i,0.0012123+0.00078229i,0.0013073+0.00085856i,0.00063744+7.5924e-05i,0.0004364-0.00017462i,0.00074406+5.1673e-06i,0.00056766-0.00035922i,5.1421e-05-0.00066278i,-0.00030487-0.00013976i,-0.00046778+0.00073469i,-9.1066e-05+0.00094596i,0.00023788+2.3309e-05i,0.00061388-0.00073792i,0.0010341-0.00030464i,7.8469e-05+0.00069142i,-0.00092144+0.00041315i,-0.00059755-0.00066502i,0.00014359-0.0007684i,0.00044174+0.00013916i,0.00017243+0.00018745i
-0.00088417-0.00053091i,-0.00058225+0.00031669i,-0.00033414+0.00048716i,-0.00071962+6.1762e-05i,-0.00080995-2.4858e-05i,-0.00083078+5.8835e-05i,-0.00069176-0.00024363i,-0.00016607+0.00013546i,0.00033817+0.00055837i,0.0003699+0.00039818i,0.00012471+0.0002434i,0.00016228+0.00094493i,-0.00018611+0.00084319i,-0.00081696-0.00022448i,-0.00026743-0.00014442i,0.00018529-0.00044166i,0.0002649-0.00041518i,0.00023028+0.00026678i,0.00057026-7.7446e-06i,0.0012931-0.00012242i,0.0017621+0.00065517i,0.00051432+0.00082544i,-0.00010491+0.00035188i
-0.00073311+0.0014632i,-0.00046306+0.00076952i,0.00030346+0.0012505i,0.0015154+0.0019284i,0.0010667+0.00083475i,-0.00018854-0.00010167i,-0.000182-0.00057931i,-0.0001961-0.0010394i,-0.00036971-0.00079588i,-0.00015935-0.00086427i,0.00017145-0.00098792i,0.0003627-0.00070665i,0.0005153-7.7949e-05i,0.00050045+0.00022152i,0.00037993+0.00038165i,7.4847e-05+0.0011037i,-0.00092084+0.00064136i,-0.0012994-0.00040628i,-0.0011512-0.00065282i,-0.00060766-0.00043248i,-2.584e-05-0.00022401i,-0.00014786-0.00024274i,-0.001074-0.00081862i
-0.00056913+0.00078898i,-0.0010124+0.00126i,-0.00095784+0.0011695i,-0.0008798+0.0007493i,-0.00072694+0.00063598i,5.3614e-05+0.00027559i,0.00072557+8.7371e-05i,-6.7417e-05-0.00046519i,-0.00030666-0.0011069i,0.00040613-0.00018907i,0.00062406+0.00027484i,0.00028286+0.00021357i,0.00045151-3.8728e-05i,0.00092614+0.00047471i,0.00043742+0.0011467i,-0.00022258+0.00066465i,-0.00026224+0.00080323i,-0.00053992+0.0011186i,-0.00071823+0.00045774i,3.8867e-05+0.00047229i,0.00048622+0.00041738i,0.0001055+0.00051566i,-0.0005172+6.8208e-05i
-0.00056559-0.00033249i,-0.00063071-0.00046898i,0.00030915-0.0011175i,0.00038172-0.00068624i,-0.0002098-0.00030036i,-0.00049555-0.00049196i,2.9822e-05-0.00033721i,-0.00019694-0.00016839i,-0.00087788-0.00040625i,-0.00091728-0.0001847i,0.00011002+0.00035845i,0.00064377+0.00045005i,0.00031354+0.00050125i,-0.00016241+0.00032632i,0.00010084+0.0009333i,0.00049386+0.0012779i,0.00013856+0.0010174i,1.3522e-05+0.0007485i,-6.2849e-05+0.00025305i,-0.00055995-0.00013468i,-0.00068745-0.0001411i,-0.0007147-0.0001596i,-0.0012129-0.00015813i
-0.00050523+0.00015236i,-0.00076649+0.00042484i,-0.00040146-0.00022295i,0.00046965-0.00013769i,0.0011608+0.00028068i,0.00070965-0.00012401i,0.00062269-0.00031419i,-9.0744e-05-0.00072892i,-0.0014371-0.0010314i,-0.0009575-0.00056643i,-0.00030495-0.00048887i,-0.00030222-0.0008668i,-0.00019586-0.00044057i,-0.00015309+7.9449e-05i,-3.4395e-05-2.1242e-05i,-0.00018426-0.00013976i,-0.00015623-0.00029176i,-0.00018449-0.00012837i,-0.00059786-0.00047032i,-0.0008678-0.00040845i,-0.0003024+8.3153e-05i,0.00047576+0.00047163i,0.00076583+0.00088516i
-0.00036837-0.0010063i,-1.1577e-05-0.0011308i,-0.00024618-0.00053165i,-0.0004885+0.00010794i,-6.8732e-05+0.00068085i,0.00051371+0.00098159i,0.00071754+0.00048966i,-0.00010034-0.00036287i,-0.0008233-0.00054504i,-0.00087831-0.00037797i,-0.00025514-0.00037638i,6.5213e-05-0.00065934i,-0.00013921-0.00053869i,-7.7605e-05-0.00026776i,0.00031752+0.00029611i,0.0004047+0.00011778i,3.0271e-05-0.00044695i,-0.0001266-0.00035619i,-0.0002859-0.00010833i,-0.00014463-0.00012515i,0.00013765-0.00019025i,-0.00030262-0.00034092i,-4.2246e-05+2.9377e-05i
-0.00045411+0.0020695i,-0.00091971+0.0020904i,-0.00028478+0.00091434i,0.00059429-6.1302e-05i,0.00060065-0.00067398i,6.8872e-05-0.0016073i,-0.0010166-0.0015943i,-0.0011427-0.00050569i,-0.00032356+0.00028463i,0.00020651-8.7583e-06i,0.00016777-0.00054479i,0.00023024-0.00057275i,-7.4758e-05+7.0364e-05i,-0.00042029+0.0007446i,0.00018621+0.0010484i,0.00041771+0.0012897i,0.00035924+0.00081028i,0.00026921-1.3599e-05i,-0.00025771-0.00017i,-0.0001565-0.00034577i,-6.489e-05-0.00098936i,-4.3015e-07-0.0018049i,0.00087103-0.0014799i
-0.00034319+0.0015732i,0.00057572+0.00070703i,0.0019761+0.00050289i,0.0033906+0.00038267i,0.0032148-0.0003708i,0.0012415-0.0013972i,0.00026509-0.0011541i,0.00032286-0.0005868i,0.00059178+0.00041222i,0.0011414+0.00056958i,0.00081317-0.00069153i,0.00032055-0.00076986i,3.1647e-05-0.00039145i,-0.00030541-0.00041065i,7.745e-05+9.6668e-05i,4.8108e-05+0.00023997i,-0.00091815+0.00028802i,-0.00069854+0.00029933i,7.8508e-05+2.1236e-05i,-0.00015237+2.7315e-05i,-9.3753e-05+0.00049094i,0.00065386+0.00015287i,0.000558-0.00022114i
0.00035054+0.0012635i,-0.00054379+0.0010089i,-0.00052446-0.00015693i,-0.00026542-0.0015916i,0.0002327-0.00098717i,-0.00016062-3.6856e-05i,-0.00076316+0.00012084i,-0.00076768-0.00039202i,2.0427e-05-0.00098783i,0.00060771-0.00078131i,0.0007843-0.00065142i,0.00080933+4.8138e-05i,0.00080336+0.00092533i,0.00061702+0.00098699i,1.1635e-06+0.00086535i,-0.0003439+0.00083668i,-0.0003242+0.00063776i,-0.00022287+3.4148e-05i,-0.00032388-0.00026049i,-0.0001891-0.00014775i,-0.00011992-0.00024396i,0.00056697-2.5708e-05i,0.00080216+0.00059662i
0.0017865+0.00035186i,0.0019763-0.00042825i,0.0024524-0.00078886i,0.0028538-0.0010578i,0.0016465-0.00089091i,0.0005158-0.00053537i,-0.00026508-0.0002663i,-0.00062907-9.2651e-05i,0.0003324-0.00037607i,0.0007936-0.00082724i,0.00080327-0.00095206i,0.00031679-0.0010213i,0.00031248-0.0011398i,0.00014924-0.00070629i,-0.00031721-0.00049397i,0.00031776-0.00054645i,0.0010015-0.00031321i,0.0012844-0.00022444i,0.00072094+0.00037503i,-3.1521e-05+0.00066128i,-0.00029882+0.00061731i,0.00035239+0.00036042i,0.00085293+0.00025899i
0.0011182+0.00062022i,0.0015492+0.00059245i,0.0010555-0.00029156i,0.00051485-0.00056747i,-4.2609e-05-0.00041881i,-0.00028279-0.00054708i,0.00055015-0.00064579i,0.00079316-0.00091186i,0.00093988-0.0013256i,0.00083873-0.0012408i,0.00074077-0.00055218i,0.00087565+0.00038114i,0.00055924+0.00075186i,0.00062004+0.00041867i,0.00065968+0.00028872i,0.00041928+0.00033044i,0.00024528+0.00019767i,-0.00030707+2.0842e-05i,-0.00026465+0.00033724i,0.00042686+0.00067262i,0.0001949+0.00025444i,-0.00043737-1.8654e-05i,-0.00024413+0.00036799i
-0.00030466+7.9179e-05i,-0.0014277-0.00059527i,-0.0017486-0.00099365i,-0.0015796+4.6642e-05i,-0.0021957+0.00068738i,-0.0017667+0.00050507i,-0.00028036+0.00073653i,0.0002892+0.00010796i,0.0005802-0.00038747i,0.00042495+4.4089e-05i,0.00013099+7.4025e-05i,0.00013185-0.00065962i,0.00027598-0.00034405i,0.001038+0.00082652i,0.00089193+0.00088388i,1.4533e-05+0.0001886i,-0.00027701-0.00019978i,-0.00037468-8.7793e-05i,-0.00024977-0.00073116i,0.00011379-0.0013031i,0.00061651-0.00067547i,0.00080236+0.00018733i,0.00075553+0.00097322i
-0.00027789-0.00095615i,0.0016757-0.00050884i,0.0027451+0.00056899i,0.0024702+0.00073267i,0.0021357-0.00065228i,0.0010761-0.0018359i,0.00016881-0.0015557i,-8.0909e-05-0.0009765i,-0.00013905+0.00028545i,-0.00051559+0.00069157i,-0.0001888+0.00017285i,-0.00016629+0.0003985i,-0.00025661+0.00015705i,-5.772e-05-0.00063334i,0.00070999-0.00043674i,0.00057208+0.00010376i,-0.00064389+6.2584e-05i,-0.00084504-0.00045795i,-6.7406e-05-0.00021661i,6.9868e-05-0.00010583i,0.00018078+0.00020328i,-0.0001464+0.00066974i,-0.0007329+0.00019965i
0.0005493+0.00046282i,-0.00040059-0.00033344i,-0.00072966+0.00019155i,-0.00012082-3.1415e-05i,0.0005008-0.00048683i,0.00054197-0.00085137i,0.00033116-0.0004434i,0.00020622-0.00043413i,-5.4316e-05-0.00010778i,-0.00063116+0.00041275i,-0.00064935+0.00050086i,-0.00036233+0.0010056i,-0.00050408+0.0010825i,-0.00030309+0.00072365i,-0.0001345+0.00022924i,0.000235-0.00012438i,7.5755e-05+0.00015161i,-0.0004165-0.00050914i,-0.00016862-0.00099785i,-0.0001892-0.00058435i,-0.00044269-0.00071511i,4.5342e-05-0.0012188i,0.00043211-0.0011481i
0.0015111+0.00036241i,0.0018419-9.9755e-05i,0.0013058-0.0002278i,0.00086602+0.00050598i,2.3385e-05+0.00082573i,-0.00069897+0.00085534i,-0.00050298+0.0012123i,-0.00041643+0.00041513i,0.00015252-0.0010066i,0.00016814-0.0010209i,-0.00025784-1.207e-05i,-0.00083584+0.00014144i,-0.00067214-0.00068433i,3.5292e-05-0.0003943i,0.00035212+0.00011234i,0.00044908+0.00034176i,-5.0958e-05+0.00063867i,0.00030987+0.00035237i,0.00034702-9.6774e-05i,-0.00039399-0.00024324i,-0.00042682-0.0001727i,-0.00025016-2.9163e-05i,-0.00031262+0.000507i
-0.00047044-0.00079631i,-0.0010089-0.0010382i,-0.00074835-0.0013374i,-0.00040586-0.001628i,-0.00064407-0.0012714i,-0.0010558-0.00076702i,-0.0011012+0.00017934i,-0.00027458+0.00052434i,-7.6133e-05-0.00010102i,-0.00055266-0.0001935i,-0.00043597-0.00023518i,-7.7719e-05-7.2415e-05i,8.8021e-05+0.00044197i,0.00067743+0.00016773i,0.00067575-3.9323e-05i,-0.00035325+0.00014694i,-0.00034324+0.00065913i,-0.00023395+0.0010953i,-0.0001756+0.00088486i,-0.00053676+0.00063925i,-0.00043071+0.0003628i,0.00052355-0.00082388i,0.00040964-0.0010124i
-0.0017449-0.0018649i,-0.0021972-0.00088054i,-0.0019586+0.00089107i,-0.0010438+0.0016444i,-0.00030764+0.0016046i,-8.8413e-05+0.000984i,-0.00023633-0.00035771i,-0.00017988-0.00084109i,-0.00060907-9.0873e-05i,-0.00099973+0.000238i,-0.00096766-0.00023526i,-0.00059863-0.0004476i,-2.927e-05-6.4388e-05i,-0.00033623+0.00037268i,-0.00025668+0.00017588i,0.00034372+0.00037024i,0.00049588+0.00059776i,0.00070701+0.00069201i,0.00078118+0.00033555i,0.00023985-0.00055004i,-0.00045586-0.00047503i,-0.000199-0.00023204i,9.361e-05-0.00078592i
-0.00071401+0.00020696i,-0.00070054-0.00069505i,-9.0202e-05-0.0005521i,-0.00040745+0.00026389i,-0.00071525-0.00023746i,0.00011504-0.00045085i,0.0009887+0.00051865i,0.00028624+0.00076246i,-0.00069081-0.00018867i,-0.00036899-0.00054474i,-0.00023021-0.00013726i,-0.00014208+0.00022407i,0.00022261+0.00044183i,0.00039141+0.0005723i,-1.4701e-05+0.0003724i,0.00045989+3.7884e-05i,0.00086313+3.0345e-05i,0.001351+0.00046875i,0.0016321+0.0007051i,0.00071875+0.0011848i,-0.00038798+0.00095724i,-0.00080301+0.00039613i,-0.00039799+0.00085217i
