0.0015505+0.0013313i,0.0011975+0.0015594i,-8.2261e-05+0.00016036i,-0.00080704-0.001437i,-0.0017748-0.001152i,-0.0026828+0.0010747i,-0.0015357+0.0029141i,0.00059332+0.0026693i,0.0020637+0.00091295i,0.001507-0.0007798i,0.00064631-0.0011669i,0.00052355-0.00049219i,0.00085905+0.00015366i,0.00078035-4.1395e-05i,0.00059789-0.00013553i,0.00086461+0.00033625i,0.00091349+0.00057049i,0.00059837+0.00043908i,0.0003967+0.00044612i,0.0006889+0.00048776i,0.00066548+0.00078307i,-0.00024596+0.00091122i,7.2606e-06+0.00085247i
0.00035113+0.00058181i,-0.00068263+0.00072869i,-0.0006196+0.0022201i,0.00027131+0.0021589i,0.0010816+0.00040352i,0.00041444-0.0007321i,2.4714e-06-0.00084193i,0.00068112-0.00031976i,0.0015978+0.00065568i,0.0021462+0.0010953i,0.0011605+0.00096225i,0.00053148+0.00011134i,0.00032852-0.00034291i,-0.0001202+0.00031805i,-0.00027685+9.8015e-05i,-7.6358e-06-0.00037881i,0.00014682+0.00036031i,-7.4313e-05+0.00022393i,-0.0012101-0.00081521i,-0.0014266-0.00067544i,-0.00017876-0.00017236i,0.00068025-0.00028012i,0.00077473-0.00030127i
0.0029708+0.0013352i,0.0023628+1.9572e-06i,0.0019937-0.00072713i,0.0016129-0.0011533i,0.0007002-0.0017469i,-0.00082106-0.0012676i,-0.00095765-5.9845e-05i,0.00022662+0.00099688i,0.0013607+0.00065621i,0.0019054-0.00045545i,0.0014236-0.00075034i,0.000566-0.0005195i,8.6659e-05-0.00045369i,-2.063e-05-0.00039173i,-0.00011939-0.00017834i,-3.5493e-05-0.0002036i,-0.00040027-2.115e-05i,-0.00015139+0.00051899i,0.00018732+0.00035317i,-8.7519e-05+0.00025148i,-0.00020061+0.00062231i,-5.2288e-05+8.6816e-05i,0.00074841-0.00046051i
-0.00053849-0.00072133i,-0.00058743+8.1672e-05i,-0.00034839+0.00057907i,8.8383e-05+0.00048921i,8.5493e-05+0.0007144i,0.00065245+8.3592e-05i,0.0013527-9.6115e-05i,0.0014455+0.00072921i,0.0014756+0.00061889i,0.0011349-0.00013217i,0.00063972-0.0003079i,0.00090693-0.00018159i,0.0004352-0.0008444i,-0.00044222-0.00086249i,-0.00036083-1.8237e-05i,-0.00035044+0.00047461i,-0.0003955+0.00050823i,0.00025952-0.00011552i,8.3231e-05-0.00078212i,-0.00030624-0.00063432i,0.00064449-0.00051962i,0.00053508-0.00044832i,-0.00029557-0.0005989i
1.738e-05-0.00027588i,5.2765e-05+0.00030598i,0.00068332-4.706e-05i,-0.00015331-0.00029161i,-0.00056695+0.00014706i,-0.00020849+0.00058269i,0.00013547+6.9265e-05i,0.00080021+0.00041033i,0.0009253+0.00058756i,0.00062507+0.00089052i,0.0006075+0.0016975i,0.00034645+0.00091494i,3.3431e-05+0.00032038i,2.1393e-05+0.00019405i,0.00053079-0.00011282i,0.0010535+0.00039306i,0.0009292+0.00087992i,0.00027468+0.00079912i,-0.00020511-0.00010555i,0.00038946-0.00067695i,0.00080039-7.0848e-05i,0.00037742+0.00049231i,-0.00017061+0.00027456i
-0.001448+0.00090585i,-0.0013249+0.0013653i,-0.0011623+0.0017832i,-0.00034514+0.0019749i,0.00029039+0.0016903i,-4.9486e-05+0.0010559i,0.00046294+0.00071519i,0.00097865+0.00040901i,0.00095313+0.00055461i,0.0012387+0.00064166i,0.0011231-7.5011e-05i,0.00061438-0.00075191i,-5.7269e-05-0.0007955i,-7.8418e-05+2.4655e-05i,0.00017801+0.00047639i,0.00049181+8.9469e-05i,0.00028006-0.00016958i,0.00023857-0.00033693i,0.0008768-0.00010955i,0.00085759+0.00038424i,-6.8218e-05-0.0003103i,-0.00038772-0.001513i,0.00040902-0.0013207i
0.00090242+0.00085152i,0.0021422-0.00020504i,0.0025743-0.001222i,0.0020856-0.0020489i,0.0013626-0.00077187i,0.0002558+3.8357e-05i,4.6848e-05+0.00042483i,0.0013902+0.00096827i,0.0016355+0.0011545i,0.0013332+0.00073205i,0.0010182-6.4021e-05i,0.00027673-8.72e-05i,7.5035e-05-5.1777e-05i,7.2299e-05-0.00088808i,0.00015104-0.00052041i,-4.7853e-05+0.00013083i,-0.00016028-0.00010466i,-0.00036667+0.00053492i,-0.00087749+0.0012392i,-0.00043458+0.0008897i,2.1181e-05-0.00012869i,-6.6665e-05-0.0003398i,-0.00018269-0.00022937i
-0.00010906+0.00034674i,0.00048887-0.00051894i,0.00049925-0.0013736i,0.00026644-0.00093923i,-2.425e-05+0.00079789i,6.7343e-05+0.0014283i,8.8466e-05+0.0014283i,-0.00019988+0.0017732i,-0.00022555+0.0010261i,-0.00040431+0.00044639i,-0.00019266-0.00029178i,0.0011108-0.00054287i,0.0015348-0.00041357i,0.0010623-0.00067812i,0.00090023-0.00027238i,0.00070217+0.00091717i,0.00030456+0.0012855i,-0.00038767+0.0012041i,-0.0011212+0.00086243i,-0.00094014+0.00040806i,-0.00031019-0.00019463i,0.00029042-0.00024433i,-2.4384e-05+0.00027497i
0.0001093-0.00082265i,-0.0013698+0.00022214i,-0.0017355-0.00044379i,-0.0015272-0.00062385i,-0.0015362+0.00064046i,-0.0012433+0.0018196i,0.00023195+0.0016128i,0.00067524+0.00089529i,0.0008629+0.00040452i,0.00030025+0.00025489i,-0.00030295-9.2519e-05i,0.00038409-0.00027345i,0.00096215+0.00011804i,0.0013472+0.00036979i,0.00058135-3.4922e-05i,0.00042933-0.00030543i,0.00057833+0.00041214i,-0.0001599+0.00053358i,-0.00049121+3.6316e-05i,0.00015792+0.00037006i,0.00019027+0.00088596i,-0.00056309+0.00049843i,-0.00042693+7.1777e-06i
-0.00033224+0.00024862i,-0.00011502-6.3807e-07i,0.0010349+0.00037298i,0.0017802-0.00014016i,0.0017552-0.00017543i,0.001178+0.00054628i,0.00023548+0.00098792i,0.00058072+0.0018393i,0.0012777+0.0018412i,0.0010342+0.00077182i,0.00055598-0.00018228i,0.00045762+0.0002693i,-0.00034252+0.00080838i,-0.00081771+0.00086902i,-0.00058527+0.00093165i,-0.00055606+0.00020272i,-0.00050475+0.00014551i,-0.00012863+0.00059683i,0.00046591+0.00011438i,0.00072343-0.00046251i,0.00088794-0.0011874i,0.0008627-0.00090891i,0.00075111-7.7011e-05i
0.00095301+0.00055662i,0.0014302+0.00093603i,0.0017923+0.00017835i,0.00075768-0.00074318i,-0.00034222-0.00036557i,-0.00068885+0.00033661i,-0.00039626+0.0015496i,0.00038841+0.0019192i,0.00096844+0.0018553i,0.0013012+0.0016254i,0.0014861+0.00041456i,0.0012823-0.00013634i,0.00048458+0.00037294i,0.00030156+6.5182e-05i,-0.00011544-0.00078852i,-0.00048205-0.0010855i,-0.00041267-0.00017205i,-0.0006701+0.00038665i,-0.00047582+5.711e-05i,0.00010875+4.459e-05i,0.00064375+0.00054043i,0.00087793+0.0010441i,0.00046933+0.00088167i
