0.00076075-0.00034503i,0.00073054-0.0012995i,0.00012916-0.002971i,-8.4379e-05-0.0038061i,-0.0007307-0.002238i,-0.00065791+0.00022739i,0.0013081+0.0013258i,0.0025849+0.00077399i,0.0023672+8.0449e-05i,0.0017232-0.001026i,0.0007902-0.0012534i,-0.00074477-0.00061502i,-0.0014446+0.00042447i,-0.00093268+0.0010817i,-0.00083241+0.00051018i,-0.00067324+3.9368e-06i,0.00013638-0.00011145i,0.00086045+4.0158e-05i,0.00038676-0.00017174i,-0.00014168-0.00010492i,-0.00022821+0.00031833i,-0.00052732+0.00027075i,-0.00086791-0.00024776i
-0.0013991+0.0015178i,-0.001057+0.0020534i,-0.00027942+0.0033971i,0.00041856+0.0031018i,0.0018586+0.0011156i,0.0031084-0.00060376i,0.0022076-0.0013206i,0.00022418-0.00081732i,-0.00017291-0.00036409i,0.00038303+6.4096e-05i,-3.9727e-05+0.0001595i,0.00016985+0.00018712i,-8.5816e-05-0.00013441i,-0.00026514-0.0011094i,-2.8338e-05-0.0010249i,-0.00011218-0.00051089i,0.0003221-0.00011703i,0.00019784-0.00042341i,-0.00039718-0.00084533i,-0.00060658-0.00090458i,-0.00098554-0.00039933i,-0.00063199-6.2486e-05i,0.00028321-0.0004178i
0.00091624+0.00066396i,0.00016787-6.1796e-05i,0.00020209-0.00078228i,0.0010445-0.0014881i,0.0010128-0.0015504i,0.0010315-0.0018628i,0.00096456-0.0020925i,0.00026331-0.0021664i,-0.00022693-0.0017023i,0.00040285-0.00092137i,0.0004036-0.00045827i,-0.00045601+0.00035593i,-0.00038303+0.00052811i,-0.00062589+0.00011287i,-0.00061787-3.6801e-05i,-4.4587e-06+0.00013333i,0.00027154+0.00056549i,3.5028e-05+0.00065487i,-1.3598e-05+0.00058785i,0.00037761+0.00092074i,0.00012343+0.00080249i,-0.00044903+0.00039043i,-0.00063785-0.00011002i
-0.00023947-0.00083724i,-0.00060091-0.00098301i,0.00078156-0.00059784i,0.0016871-0.00045156i,0.0016145-0.00050705i,0.0024946-0.0006457i,0.0028063-0.0010486i,0.00075339-0.0010501i,-0.00061699-0.00045058i,-1.2031e-05-0.00044883i,6.7313e-06-0.00050663i,5.608e-05-0.00039476i,0.00082968-0.00021241i,0.00035356+0.00056669i,0.00019717+0.00031523i,0.00085746-0.00064767i,0.00030651-0.00027466i,-0.00020061+1.2061e-06i,-0.00023995-0.00038187i,-0.00033076+0.00010894i,-0.00065653+0.00067317i,-0.00045335+2.8895e-05i,0.00015205-0.0012233i
-0.0012709-0.0009467i,-0.0013487-0.00055556i,-0.00062485-0.00018998i,0.00022976-0.0006028i,0.00077292-0.0007906i,0.00099932-0.0008288i,0.0012291-0.0012514i,0.00082286-0.0013165i,0.00069214-0.00035249i,0.0012403+0.00077958i,0.00038991+0.00023192i,0.00011675-0.00050532i,-0.00030404+0.00016369i,-0.0002388+0.0007285i,0.00063392+0.00027452i,0.00056579+7.5063e-05i,5.5967e-05-8.2592e-05i,-0.00040292-9.6509e-05i,-0.00076777-0.00026943i,-0.00054939-0.00055935i,-0.0002135-0.00019229i,-2.7296e-05+0.0006937i,0.00056052+0.00053505i
-0.0018539-0.0018656i,-0.0023939-0.0024584i,-0.0011934-0.0010531i,-0.0012509+0.00053675i,-0.00041396+0.00076868i,0.0012051+0.0009118i,0.0019097+0.00019678i,0.0019428-1.1237e-05i,0.0013203+0.00031248i,0.00048196-0.00017799i,0.00037016-0.00066505i,0.00049841-0.0004129i,0.00089404+0.00016732i,0.0012671+0.00022865i,0.0010115+0.00011591i,0.00084807+0.00050688i,0.00022198+0.00023194i,-8.0479e-05-0.00023024i,0.00019784+9.0087e-06i,-0.00025808+0.00042883i,-0.00038104+1.2659e-05i,0.00046504-0.00017985i,0.00095052-0.00057338i
-0.00057829+0.00023028i,-0.00050541-2.604e-05i,0.00014398-9.5077e-05i,0.0004814-0.00074452i,0.0012937-0.00034604i,0.0014538-0.00074221i,0.00069601-0.0016965i,0.00016374-0.0012549i,-0.00024537-6.4555e-05i,-0.00026012+0.00033838i,2.8725e-05+0.00035193i,-0.00088227+0.00079545i,-0.0012574-0.00017419i,-6.1352e-05-0.00096647i,0.00044783-6.3021e-05i,0.00019713+0.00034497i,0.00017665+0.00096091i,0.00018171+0.00098279i,0.00052218+0.00016716i,0.00054555+0.00024868i,-0.00012605+3.2233e-05i,3.6238e-05-0.00035152i,-4.644e-05-0.00054537i
0.00055077-0.00011564i,0.00074902-0.00047004i,0.00039794-0.00067493i,0.00092196-0.00062786i,0.0018747-0.00073536i,0.0021783-0.00075046i,0.0012811-0.00040421i,-0.00025338+0.0004558i,-0.00088676+0.00045088i,-0.00052218-0.00030001i,-0.00046821-0.00090161i,-0.00038212-0.00096453i,-0.00024522-0.00032305i,-0.00053253+0.0002145i,6.4514e-05+0.0003043i,0.0011647+0.00015926i,0.0010693+0.00093078i,0.0003885+0.0021138i,0.00013062+0.0015361i,-0.0005017+0.00049882i,-0.001299-4.9687e-05i,-0.00052533-0.00047474i,0.00049916+0.00042262i
-0.0001772-0.00048234i,-0.00032587-0.00042485i,0.0004926-0.00031972i,0.0013129+0.00039916i,0.0005696+0.00095067i,0.00067207+0.0009339i,0.0012432+0.00048974i,0.00093857-0.00019132i,-9.7685e-06-0.00036977i,-0.00027902-0.00093707i,0.00012667-0.00039212i,0.00040286+0.00066481i,0.00060336+0.0008084i,0.00015321+0.00089241i,-0.00016596+0.00064273i,-0.00018199+0.00040043i,-8.6129e-05+0.00067915i,-0.00013789+0.00088149i,-3.7919e-05+0.00033998i,8.0627e-05-0.00035642i,-0.00024049-0.00037822i,-0.00023545-0.00017563i,7.8891e-06-9.7433e-05i
-0.0013801-0.00014039i,-0.0014629+0.00087864i,-0.00090668+0.0021618i,-0.00018782+0.0020762i,0.00092855+0.00047415i,0.0022101-0.00046676i,0.0023554+5.5734e-05i,0.00098516-6.4115e-05i,0.0003012-0.00026764i,0.00049804+0.00052079i,0.00033171+0.00053733i,-0.00055984-1.4659e-05i,-0.00048853-0.00065726i,0.00041019-0.0006885i,0.00085344-7.6865e-05i,0.00080085+0.0003289i,0.0005822+0.00050709i,0.00029484+0.00047707i,0.00044841+0.00013999i,8.7255e-05+0.00033634i,-0.00063528+9.9444e-05i,-0.00097649-2.7742e-05i,-0.0013259+0.00068523i
-0.0014894+0.00040704i,-0.0012844+0.00027027i,-0.0015824+0.00049421i,-0.0014363+0.00050801i,-0.00015086+0.00013829i,0.0015285-0.0006485i,0.0017365-0.001739i,0.0012254-0.0010839i,0.00068414-9.4726e-05i,-0.00092382+9.9531e-05i,-0.0012903+9.5112e-05i,-0.00032935+0.00010847i,0.00038787+0.00014446i,0.00072039+0.00035338i,0.00026688+0.00025776i,-0.00020204+0.00018261i,-0.00051967+0.00038631i,-0.00021677+0.00017255i,-0.00011145-0.00040171i,-0.00013374-0.0002897i,-0.0003605+7.938e-05i,-0.00063466-0.0004945i,-8.7005e-05-0.00040479i
