-0.0031565-0.00042812i,-0.0023025+0.00042211i,-0.0030716+0.0022024i,-0.0028265+0.0033839i,-0.0012087+0.0030474i,0.00022613+0.0022389i,0.0011237+0.0026974i,0.00066504+0.0031704i,-0.00049533+0.0022784i,-6.7803e-05+0.0018727i,0.00043996+0.0015165i,0.00066366+0.00086819i,0.0010402+0.0007112i,0.001067+0.00027038i,0.00062568-0.00010915i,0.00024394-0.00038517i,4.641e-06-0.0014878i,0.00031859-0.0015226i,0.00055239+0.00022925i,4.5251e-05+0.00056551i,-0.000697-0.00025858i,-0.00066278-0.00067657i,0.00037152-0.00031607i
-8.2591e-05-0.00028333i,-0.00036973-0.00015024i,0.00037385+0.00069137i,0.0011678+0.0017167i,0.00062836+0.001661i,-4.8068e-05+0.0015284i,0.00081733+0.0011988i,0.00073711+0.00021449i,-0.00024328+0.00059356i,-0.00076247+0.001199i,-0.0008048+0.00092048i,-0.00029428+0.00033546i,-0.00021577-0.00028847i,-0.0005548-0.00021064i,-0.00021383+0.0003964i,-8.2645e-05+0.00091193i,-0.00060701+0.00060111i,-0.00051027+5.1635e-05i,0.0004981-2.3859e-05i,0.00025981+0.00033738i,-0.00046846+0.00044169i,-0.00068826+0.00059968i,-0.00029052+0.00035056i
-0.0006045-9.8545e-05i,-0.0014824+0.00089117i,-0.0015546+0.002083i,-0.0005161+0.0018911i,0.0005487+0.0010374i,0.00063478+0.0015553i,-0.00047621+0.0016161i,-0.00045683+0.00085965i,9.0461e-05+0.00055132i,-0.0004497+0.0012153i,-0.00088776+0.0016013i,-0.00069134+0.0012037i,0.00031976+0.00073371i,0.00027734+0.00039034i,-0.00060792-0.00017398i,-0.00085526-0.00097892i,-0.00043304-0.00078804i,0.00052126+8.3917e-05i,0.00060861-0.00022827i,-6.594e-05+9.2324e-06i,-0.00040973+0.00078504i,-0.00034202+0.0007525i,-0.00054566+0.00080889i
-0.0013312-0.0011639i,-0.0013214-0.00014264i,-0.00064129+0.00029569i,7.0412e-05+0.00063708i,0.00012934+0.00095689i,0.00075565+0.001113i,0.00087799+0.00085198i,0.0003694+0.00064407i,-0.00054723+0.0010139i,-0.0014982+0.00043782i,-0.0011043-0.0001562i,-0.00096396-2.5831e-05i,-0.0016835+0.00041702i,-0.0011936+0.00055359i,-0.00011736-4.4865e-05i,0.00047688+4.2754e-06i,0.00049837+0.00057576i,4.931e-05+0.00023325i,0.00021761+0.00018888i,0.00046581+0.00033917i,-0.00041295+0.00031062i,-0.0006736-6.6503e-05i,0.00048203-0.00053336i
-0.0013486-0.0018934i,-0.0014136-0.00021943i,-0.0020086+0.0010084i,-0.0019243+0.0017805i,-0.0018043+0.0036073i,-0.0017111+0.0036792i,-0.00061814+0.0023696i,0.00012046+0.0014048i,-0.00053367+0.00060502i,-0.0013037+0.00055839i,-0.0015981+0.0010083i,-0.0013476+0.00036332i,-0.00053747+0.00012723i,0.00043823+0.00042793i,0.0013557-0.00044985i,0.00079672-0.0006237i,0.00012379+5.227e-05i,0.00058728+0.00037829i,0.00072073+0.00059546i,7.3598e-05+0.00050366i,0.00013368+0.00048961i,0.00052191+0.00049663i,-1.5755e-05+0.00016445i
-0.0010722+0.00043428i,-0.00015668+0.00092259i,-0.00042335+0.0010482i,-0.0002628+0.0011406i,0.00069361+0.0012493i,0.0012996+0.0015586i,0.0011972+0.0015178i,0.00083422+0.001923i,-0.00028211+0.0021571i,-0.00035832+0.0018072i,9.5389e-05+0.0015746i,2.0084e-05+0.0010816i,-6.5533e-06+0.00018982i,0.00017482-0.00032781i,0.00021316+0.00019497i,-0.00027157+0.00052016i,-0.00062935+0.00023604i,-0.00061843+0.00041097i,-0.00062046+0.00024474i,-0.00012842-8.9599e-05i,8.1391e-06-1.5992e-05i,-0.00025647-0.00013135i,-0.00045001-6.8925e-05i
-0.0018121+0.0014396i,-0.0019238+0.0014546i,-0.00054049+0.0019013i,0.0018741+0.0027751i,0.0021992+0.0033588i,0.0012108+0.0026411i,0.0010476+0.001173i,0.0010596+0.00029958i,0.00017844+0.0010504i,-0.00060052+0.0018316i,-0.00062462+0.0015586i,-0.00049764+0.00096593i,-0.00072285+0.0006395i,0.00011972+0.00053059i,0.0007887+0.00035975i,0.00026299+0.00019419i,0.00043631+0.00017163i,0.00077048-3.4135e-05i,0.0010126+0.00057314i,0.00082217+0.00040254i,0.0007812-0.00047239i,0.00098798-0.00058563i,0.00082114-0.00017344i
-0.00082633+0.0013985i,0.00027189+0.00082443i,0.00014205+0.0017156i,0.00050468+0.0027574i,0.0012562+0.0027689i,0.0015206+0.0019237i,0.0015545+0.0012644i,0.0019502+0.001767i,0.0012631+0.0020597i,-0.00022196+0.0014292i,-0.00082162+0.00096083i,4.8657e-05+0.00053007i,0.00067708+0.00015146i,0.00091429+2.5016e-05i,0.00083893+0.00026992i,0.00029534+0.00098302i,-0.00049366+0.0012861i,-0.00025191+0.0015935i,0.00017975+0.00096099i,-0.00016082+0.00019233i,-0.00051924+2.9486e-05i,-0.00055909+0.00015096i,-0.0002809-4.2254e-05i
0.001391-0.00024375i,0.00088449-0.00024689i,0.00091473-0.00091456i,0.00069886-0.0011046i,0.00026139-3.4543e-05i,0.00015496+0.00087564i,0.00019397+0.00050559i,0.00030855-0.00041975i,3.4622e-05-0.00067804i,-0.00037221-4.0458e-05i,-0.00022776+0.0011313i,-0.00054227+0.0016301i,-0.00083921+0.00049321i,-0.00065883-0.00017908i,-0.00049906-1.7871e-05i,-0.00062788-0.00066272i,-0.00043204-0.00047693i,-0.00029683+0.00015092i,0.00027684+0.00041691i,0.0010244+0.00099144i,0.0012206+0.00016553i,0.0009464-0.00050893i,0.00021262-0.00018282i
0.00038921-0.00088375i,5.4871e-05-0.00015865i,0.00043463-0.00013065i,0.00071697+6.3895e-05i,0.00091617-2.5077e-05i,0.00093859+0.0013995i,0.00084663+0.0020338i,0.00086336+0.00098012i,0.00045226+0.00071722i,-0.00016201+0.00031157i,-0.0004846-0.00011855i,-0.00044105-9.9283e-05i,-0.00030211-0.00037373i,-0.00056705-0.00052707i,-0.00087531-0.00019838i,-0.001027-8.9652e-05i,-0.00096349-0.00070191i,-0.00026507-0.00051877i,-0.00046034+0.00068685i,-0.00038636+0.00080037i,0.00015818+7.484e-05i,0.00013693+8.5578e-06i,-0.00046549+6.8615e-05i
0.0023069-0.0006899i,0.0013787-0.00096933i,0.001031-0.00033894i,0.0015708-0.00037931i,0.00050327-7.3224e-06i,0.00018652+0.0010241i,0.0013083+0.001608i,0.0010626+0.0010033i,0.00032831+1.0229e-05i,-0.00015831-0.00018448i,-0.00027855-5.4011e-05i,-0.0003817+0.00067647i,-0.00011362+0.0012538i,0.00051501+0.0013089i,0.00068879+7.1048e-05i,0.00066635-0.00040357i,0.00023643-0.00039094i,0.00019526-0.00062456i,0.00077872-9.1083e-05i,0.00027465+3.3481e-05i,-6.522e-06-0.00017402i,5.4517e-05-0.00015381i,-0.00011693-0.00063283i
