-0.00058455-0.00033422i,-0.00032548-0.0016136i,-0.0008999-0.0016351i,-0.0017187-0.0010054i,-0.0017267-0.00050694i,-0.0015378+0.00034866i,-0.001551+0.0020167i,-0.0008281+0.0023287i,0.00041628+0.0012852i,0.00081275+0.00050437i,0.0004656-0.00030688i,-4.3761e-05-0.00092134i,-0.00051581-0.0008192i,-0.0010513-0.00086532i,-0.00060804-0.00033092i,-3.4839e-05-0.00012555i,7.3894e-05-0.00025688i,0.00022433+0.00024076i,-0.00024636+5.8245e-06i,-0.00030651-0.00013257i,0.00012344+0.00013952i,0.00015739-0.00018715i,0.00021612-0.00037583i
-8.8584e-05+0.00065608i,0.00053368+0.00083933i,0.00093739+0.00055483i,0.00066287+5.7907e-05i,-0.00013307-0.00039239i,-0.00084559-0.0010431i,-0.00047939-0.00070983i,0.00028451-9.5553e-05i,0.00057483-0.00015782i,6.8483e-05-0.00017674i,-0.00018758-0.00057199i,-0.0003259-0.00074818i,-0.00060067-0.0011003i,-0.00071536-0.0010389i,-0.00033254+0.0003696i,-0.00020465+0.0006795i,0.0005112+0.0001495i,0.0010532+0.00028588i,0.0007966+0.00043015i,0.00058944-1.0323e-05i,9.1659e-05-0.00022964i,1.433e-05-0.00015619i,0.00025908+0.00017459i
0.0025079-0.00082487i,0.0021557-9.2986e-05i,0.00069086-0.00075915i,-0.00070941-0.0018489i,-0.0014094-0.001677i,-0.0015879-0.00027711i,-0.0016281+0.00049429i,-0.0015978-7.9754e-05i,-0.00052008-0.00080842i,0.00011534-0.00038512i,8.8339e-05-0.00020644i,0.00011113+0.00038956i,2.729e-05+0.00049418i,0.00042027+0.00023954i,0.00041884+0.00060049i,-0.00057317+0.00051952i,-0.0011878+6.8251e-05i,-0.00077394-2.9425e-05i,-0.00021223+0.00046725i,-0.000381+0.00018876i,-0.00067456-0.00010478i,-0.00019587+6.5987e-05i,7.9204e-05-0.00018707i
-0.00045929-0.0007258i,-0.0016543+0.00011193i,-0.00086718-0.0014171i,-0.00079925-0.0031992i,-0.00092114-0.0023305i,-0.00063024-0.00054822i,-0.00076746+0.00026156i,-0.00034548+9.6177e-05i,0.00083856-0.00031446i,0.00082774+0.00039096i,-5.648e-05+0.00088863i,5.3231e-05-9.4976e-05i,2.1437e-05-0.00091551i,-0.0008318-0.00071658i,-0.00072238+0.00018919i,-3.2446e-05+0.00071292i,-0.0003765+0.00031842i,-0.00049843+0.00017553i,0.00022664+3.4845e-05i,0.0010035+0.00043787i,0.00094853+0.00085427i,0.00059895+0.00075447i,-0.00065101+0.00087737i
0.0019287+0.0004114i,0.0028245+0.00024215i,0.002184-0.0011765i,-0.00038491-0.0015803i,-0.0028845-0.0018362i,-0.0032069-0.0016604i,-0.0025766-0.0014662i,-0.0017166-0.00078699i,-0.00039561-0.00019635i,-5.8811e-05-0.00062309i,-0.00085946-0.00071113i,-0.00095884-0.00021528i,-0.00050694+0.00030875i,-0.00015685+0.00034347i,-1.3819e-05+0.00015893i,-1.4346e-05-0.00030559i,0.00028982-0.00045488i,0.00034649+1.2127e-05i,0.0004566+0.00040296i,0.00016332-0.00010504i,-0.00047504-4.4134e-05i,-0.00076114+0.00051135i,-0.00040679+0.00035779i
-0.00050977-0.00072032i,-0.0012059+0.00011832i,-0.0011342+0.00050458i,-0.00063399+0.00039319i,-0.00092463-0.00027501i,-0.00055125-0.00061789i,-0.00066381-6.8726e-05i,-0.00081505+0.00027247i,-0.00066864+0.00053723i,-0.00098149+4.088e-05i,9.1708e-07-0.00031671i,0.0010488+0.00017407i,0.00046755+0.00041045i,6.8151e-05+0.00068383i,0.00030204+0.00028341i,-7.0708e-05-0.00035065i,-0.00020825-0.00025098i,0.00047542+0.00079557i,0.00031298+0.0011837i,6.5968e-05+0.00035092i,0.00012306-0.00010659i,-0.0001225-6.2395e-05i,-0.0003257+0.00063996i
0.00030082-0.00064206i,0.00050404-0.00010051i,-0.00012061+0.00065436i,-0.00038322+0.00038842i,-0.00041983+0.00020765i,-0.0010662+0.00051145i,-0.00051586-0.0002384i,-3.1526e-05-0.00097389i,-0.00056163-0.0013799i,-1.8381e-05-0.001178i,0.00010481+1.3045e-05i,-0.00010795+0.00016129i,0.00013069-0.00032237i,-0.00063778-0.00098106i,-0.00077184-0.00092628i,-0.0006706-0.0010029i,-0.0003841-0.0009706i,-0.00036962+0.00043959i,-0.00028258+0.00078528i,-0.00027617-0.00038894i,-0.00058206-0.0011124i,0.00026352-0.00063179i,0.000996-0.0004801i
-0.00051039-0.0025955i,-0.0013475-0.0019008i,-0.0027024-0.00013238i,-0.0031503+0.0012797i,-0.0022641+0.0017116i,-0.00078302+0.0011696i,7.291e-06+0.00079202i,-8.694e-05+0.00088908i,-0.00020311+0.00029234i,-0.00021777-0.00010946i,-0.00085483+7.7173e-05i,-0.00094138+8.8882e-05i,-0.00020213-0.0002594i,0.00055264-0.00098766i,0.00068821-0.0017962i,-1.4969e-05-0.00086732i,-0.00038049-0.00056003i,9.3639e-05-0.00085515i,-0.00013465-0.00043135i,-0.00059985-0.00018122i,0.00044196-0.00047637i,0.00069291-0.00065393i,0.00054585-0.00042808i
-9.7148e-05-6.5889e-05i,-0.00072385-3.0588e-05i,-0.00049222-0.00053104i,-5.3599e-05-0.00058562i,-0.00022131-0.00080934i,-0.0013186-0.0007998i,-0.0020131-0.00052683i,-0.0013484-0.00012399i,-0.00052199+0.00053079i,-0.00038602+0.00060082i,-0.00066338+0.00041897i,-0.00032988+0.00035805i,-6.6855e-05-0.00034962i,9.7887e-05-0.00093328i,1.0467e-05-0.0011641i,-0.00052824-0.00085079i,-0.00042645-0.00057067i,0.00010986-0.0010233i,0.00030779-0.0007016i,-0.00014972+0.00044963i,0.00048112+0.00057791i,0.00085388+0.00060321i,-5.0781e-07+0.00056083i
-0.00033937-0.00068194i,-0.00034927-0.00017511i,-0.00092401+0.0010471i,-0.0010155+0.0011566i,0.00011465+0.00097624i,0.00072322+0.00037117i,0.00072649-0.0001701i,0.00085099-0.0001511i,0.00085561-0.00020661i,0.00080083+0.00033656i,0.00056756+0.000871i,9.3942e-05+0.00057358i,0.00030017-7.9967e-05i,0.00080863-0.0002792i,0.000333-0.00021579i,0.00049937+0.0004459i,0.0011155+0.00063667i,0.00038422+0.00045988i,0.00024479+0.00027968i,0.00046079+0.00010615i,0.00070563+0.00028329i,0.00010496+0.00088322i,-0.00077465+0.00081708i
8.7054e-05+0.00013034i,0.00046626-0.00015962i,0.00027949-0.00085632i,-0.00042804-0.0016554i,-0.00087708-0.0016177i,-0.00072715-0.001373i,-0.00050019-0.0010506i,-0.00022809-0.00064536i,0.00010936-0.00017376i,-0.00048531+0.00010107i,-0.0012123-0.00015887i,-0.0005804-0.00037853i,0.00018868-0.00016977i,0.00044236-0.00011915i,-0.00010355+0.00019734i,-0.00038137+0.000162i,-0.00025486+0.00019451i,-0.00051404+0.00015307i,-0.00074304+3.681e-05i,-0.00057478+0.00015648i,-0.00012272+0.00046541i,0.00022043+0.00072383i,0.00013888+0.00026072i
0.00038533+0.0002282i,0.0016264+0.00070077i,0.002478+4.8008e-05i,0.001775+1.6167e-05i,0.00013671-0.00022348i,-0.00062704-0.00025551i,-8.3828e-05-0.00033687i,8.5803e-05-0.00062868i,0.00048668-0.00022289i,0.00042767-0.00043156i,-0.00017869-0.00065702i,-0.00069972-0.00023217i,-0.00093917+1.9823e-05i,-0.00061173-0.00039335i,0.00016671-0.00024276i,0.00036704+0.00066673i,-0.00019777+0.00071901i,0.00025204-2.2424e-05i,0.0012399-1.761e-05i,0.0012386+0.0004447i,0.00087299+0.00062724i,0.00013816+0.0010175i,0.0001554+0.0013099i
-0.00055482+0.002936i,-0.0001937+0.0027292i,0.00066095+0.0024018i,0.0018226+0.0015468i,0.0013034+0.00084878i,0.00050338-6.6602e-05i,0.00016553-0.0003459i,-0.00039208+0.0001389i,-0.00014289-0.00028748i,0.00028167+4.2329e-06i,0.00032955+0.00014704i,0.00049026-0.00042928i,0.00011689-0.00044593i,-0.00073711+0.00021232i,-0.00077745+5.969e-05i,-0.00035499-0.00034704i,9.6018e-05+0.0002441i,0.00032841+0.00040511i,-0.00059159+0.00022445i,-0.00064152+9.2846e-05i,0.0008178-2.1538e-05i,0.0010071-8.7967e-06i,0.00017672+0.00027779i
0.00064142-0.00010975i,0.00053343-0.0012557i,-0.0001849-0.0014198i,-6.816e-05-0.00026988i,0.00018438+0.000335i,0.00064264+0.00022917i,0.00065699-0.00015424i,0.00022482-0.00035492i,-1.2704e-05-0.00037568i,0.00031369-0.00047612i,0.0010273-0.00021138i,0.00084743+1.5335e-05i,-0.00013651-0.00031284i,-0.00051844+0.00033756i,-0.00034405+0.00070929i,-0.00012028+0.00029626i,1.68e-05+3.2565e-05i,0.00013364-0.00058186i,0.00057197-0.00028822i,0.00036761+0.00088721i,-0.00031783+0.00064331i,-0.00080978+7.9864e-05i,-0.00077521-0.00025542i
-0.00092177-0.0019577i,-0.0013201-0.0013644i,-0.00051927-0.0010729i,-0.0007321-6.0978e-05i,-0.0020167+0.00085462i,-0.0015748+0.00081098i,-0.00052495+0.00040844i,-0.00047808+0.0002047i,-0.0010853+0.00057479i,-0.0012011+0.00073798i,-0.00063929+0.00014587i,-8.3913e-05-0.00014292i,0.00027831-0.00034338i,0.00025569-0.000404i,-0.00035075+0.00041211i,-0.00087956+0.0008236i,-0.0012918+0.00030279i,-0.00078942-0.00031966i,-5.591e-05-0.00031191i,-5.1806e-05-0.00029796i,8.9317e-05+0.00047398i,0.00024427+0.00047081i,0.00039543+0.00010999i
-0.0010521+0.0017493i,-0.00048301+0.001807i,-2.7505e-05+0.0025881i,-0.0002087+0.0018068i,-0.00021419+0.0012188i,0.00010557+0.0009144i,0.00013269+0.0010665i,0.00015902+0.00072436i,0.00058326+0.0004931i,0.00085413+0.00051879i,0.0011676+0.00054748i,0.0013444+0.00064428i,0.00030142-0.00041307i,-0.00075599-0.0011486i,-0.00053979-0.00050602i,-0.00024185+0.00050963i,0.00011397+0.00057504i,0.00058106+0.00018662i,-1.1371e-05+0.00084519i,-0.00082049+0.001004i,4.3323e-05-0.00025317i,0.00064821-0.00069074i,0.0003557+2.2453e-06i
-0.0015036+0.0011129i,-0.0014324+0.00059278i,-0.00069728+0.0013381i,0.00025411+0.0014928i,0.00056242+0.00039782i,0.00042914+5.1991e-05i,2.7628e-05+7.5434e-05i,-0.00029471+8.895e-05i,-0.00057732+0.00048577i,-0.00025282-8.2493e-05i,0.00020496-0.00097583i,0.00054131-0.0007169i,0.00071859-0.00017544i,0.00081334-0.00047698i,0.00031668-0.00038436i,-0.00058322+0.0002723i,-0.00016297+0.00021387i,0.00048327-0.00020758i,-4.2025e-05+0.00046157i,-0.00056812+0.00074352i,-0.00048065+0.00022367i,-0.00053485-8.6827e-05i,-0.00085695-0.00044893i
4.1571e-06-0.0005361i,0.0005868-0.00014243i,-1.0387e-05-0.0013455i,-0.0012956-0.0012674i,-0.0024862-0.00035006i,-0.0024778-0.00015135i,-0.0014816-1.2598e-05i,-0.00057139+0.00035577i,0.00015578-0.00011758i,1.0519e-05-0.00077629i,-0.00083181-0.00062191i,-0.00071864-0.00042761i,0.00013722-3.0829e-05i,0.00022388+4.8055e-05i,3.1011e-05+9.4659e-05i,-0.00028528-7.114e-05i,0.00011407+0.00031386i,0.00048286+0.0002655i,-0.0001153-0.00048236i,-0.00013053-0.00060168i,-0.00011862-0.00037019i,0.00042032+0.00027468i,0.00087852+0.00041987i
0.00027914-0.0029201i,0.0012375-0.0024776i,0.00063176-0.0011549i,-0.00083194-0.00067131i,-0.0014443-0.00066043i,-0.0017469-0.00018055i,-0.0015361+0.00014666i,-0.00060575+0.00043058i,-0.00030553+7.9031e-05i,-0.00039012-0.00014974i,-6.3887e-05-0.00017425i,-0.00019819-0.00013148i,-0.00078007+0.00018995i,-0.00078623-8.1124e-05i,-0.00049532-4.0068e-05i,-0.00056535+5.7644e-05i,-0.00011953-5.1287e-05i,0.00026165-0.00015375i,-0.00025464-3.7271e-05i,-0.00018845+0.00013739i,0.00035877+0.00021309i,0.0001287-0.00011896i,0.00017101+8.7331e-05i
-0.00015453+0.0025896i,-0.00018327+0.0016578i,0.00017796+0.00072666i,0.00078583-4.8521e-05i,0.00085764-0.00022336i,-0.00038845-0.00037729i,-0.00042208-0.00013042i,0.00084306-0.00038558i,0.0010136-0.0012549i,0.00079244-0.00096075i,0.00080051-0.00058195i,0.0010488-0.00098677i,0.0013352-0.0009138i,0.00036314-0.00023864i,-0.00040651-0.00013659i,-0.00016971-0.0004729i,-6.4423e-05-0.0003633i,7.1567e-05-9.6614e-05i,0.000493-6.0355e-05i,0.0010205-0.00026259i,0.00081521-0.00032301i,-4.1939e-05-0.00081718i,-0.00033443-0.00083385i
0.0012332-0.00019414i,0.00054302-0.00037715i,0.00046204-0.00034083i,0.00046414-0.00053249i,-0.00027514-0.00031966i,-0.00074411-0.00014268i,-0.000641-0.0004493i,-0.00089584-0.00078049i,-0.00070879-0.0010742i,-0.00016642-0.00064106i,-0.00023858+0.00033754i,5.5804e-05+0.00060034i,0.00029002+0.00043068i,-0.00041072+0.00061123i,-0.00056066+0.00039115i,0.00036278+0.00022427i,0.00061122-0.00049521i,0.00029184-0.00082769i,-0.00014121+0.00022172i,-0.0002459+0.00057512i,0.00020009-0.00018516i,2.4177e-05-0.00068909i,-0.00030163-3.4015e-05i
