-0.0015055+0.00055566i,-0.0012495+0.0012356i,-0.0015334+0.0021231i,-0.00082461+0.0017862i,-0.00020814+0.0018395i,-0.00092409+0.0018092i,-0.00057474+0.0014518i,0.00052232+0.00095664i,0.00070075+7.2377e-05i,0.00054724-0.00085956i,0.00060768-0.0016484i,0.00045635-0.0013479i,0.00051682-0.00065665i,0.00045203+0.00044908i,0.00031425+0.00048496i,0.0009518-0.00020067i,0.00084393+0.00021599i,0.00052771-9.4904e-05i,4.1092e-06-0.00071391i,-0.00041219-0.00033026i,-0.00050212-8.3933e-05i,-0.00070006-0.00010081i,-0.00016623+0.00046782i
-0.00090656-0.0011143i,-0.0010931-0.0020012i,-0.0013219-0.0015012i,-0.0016028+8.004e-05i,-0.0011348+0.00087281i,0.00069224+0.00049792i,0.0014066+8.1446e-05i,0.0007277-0.0010158i,8.1963e-06-0.001734i,0.00021511-0.00082632i,0.00054057-0.00033493i,3.5114e-05-0.00051865i,-7.2652e-05+0.00013289i,2.8721e-05+0.00076341i,-0.00034001+0.00063862i,-0.00041237-0.00033755i,-0.00023529-0.0013179i,-0.00021317-0.001133i,-0.00022892-0.00037205i,0.00012191-0.0003001i,0.00016646+4.2564e-05i,0.00052417+2.4051e-05i,0.00021333-0.0005656i
0.0011621+0.001485i,0.0020015+0.0019461i,0.00089654+0.00050917i,-0.00020016-1.4608e-05i,-0.0005983-0.0003974i,-0.00056128-0.0011408i,-0.00016716-0.00082047i,-8.2855e-05+5.0454e-05i,-0.00030281+0.00015136i,-0.00030211-0.00066237i,-0.00026834-0.0011031i,-0.0005925-0.00092262i,-0.0011234-0.00042306i,-0.00068965-0.0006185i,-0.00038513-0.001007i,-0.00088819-0.00041285i,-0.0011772+9.9043e-06i,-0.00055423-0.00046022i,-0.00026368-0.00013583i,-0.00030742+0.00025251i,-0.00015733-0.00035978i,0.00040392-0.00057111i,0.00057243+5.8716e-05i
0.00056667-0.00099503i,6.0067e-05-0.00067303i,-0.00037651-0.00045106i,-4.2531e-05-0.00072131i,7.3591e-05-0.00075603i,-0.00023157-0.00071035i,9.9766e-05-0.00060647i,0.00014887-0.00082735i,0.00033548-0.00091946i,0.0002535-0.00060054i,0.00034852-0.00019165i,-4.7032e-05-0.00023106i,-0.00076412-6.1557e-05i,-0.00014545+0.00083353i,8.1072e-06+0.00042594i,-0.00025166-2.7564e-05i,-0.00038048+0.00017303i,-0.00069473-0.00057707i,-0.00030949-0.00093556i,2.8144e-05-0.00086821i,-0.00010691-0.0006611i,0.00046376+7.7771e-05i,0.00085616+0.00013172i
0.00060595-0.00028717i,0.00039679-0.00035587i,-0.00024196+0.00012086i,-0.00069917+3.4238e-06i,-0.00070014-0.00061064i,0.00025552-0.0011183i,0.0013251-0.0016777i,0.00081245-0.0014361i,0.00030942-0.0012331i,0.00029937-0.00091936i,-3.606e-06-0.0005819i,-0.00041535-0.00030127i,-0.00065639+0.00016689i,-0.00023413+0.00038228i,-0.00037203-0.00027924i,-0.001205-0.0007007i,-0.0013822-0.00028073i,-0.00094996-0.00033702i,0.00043485-0.00016595i,0.0005259+0.00025743i,-0.00047708+0.00045924i,-0.00081622+0.00041434i,-7.7317e-08+0.00049842i
-0.00018747-0.00023153i,-0.0015326-0.00040328i,-0.0013462-0.00033481i,-0.00045838-0.00064378i,-0.00031136-0.00034085i,-4.8752e-05+0.00073211i,0.00042652-0.00011197i,0.00014115-0.00089693i,0.00010211-0.00036792i,0.00018598+0.00017865i,0.00028343+0.00033465i,0.00080258+0.00022479i,0.00066771-8.7529e-05i,0.00083695-2.0758e-05i,0.00044109-6.1634e-05i,0.00051094+0.0001981i,0.00069932-5.7814e-05i,0.00065342-0.00102i,0.00078256-0.0011242i,0.00070341-0.00033429i,0.00057403-0.00022134i,0.00059304-0.00049574i,0.00077992-0.00015391i
0.0002973-0.00071466i,-0.00043648-0.00058588i,-0.0001908-0.0015123i,0.0013814-0.0010194i,0.0018106-0.00071006i,0.00084591-0.00072967i,0.00030392+8.5566e-05i,0.00022071-3.7097e-05i,0.00028485-0.00079616i,0.00022331-0.00093501i,-0.00011337-0.0010709i,-0.00079352-0.00034712i,-0.00079587+0.00015869i,0.00019201+0.00033254i,0.0004744-4.4813e-05i,0.0001585-0.0012145i,-0.00080524-0.00058983i,-0.0011083+0.00030767i,-0.0010801+0.00086625i,-0.00090161+0.0010841i,0.00015005-0.00014165i,0.0012715-0.0009668i,0.0011707-0.00090234i
-0.00014707+3.6722e-05i,-0.00027675+0.00090332i,-0.00030775+0.0020789i,0.00026004+0.0023925i,0.00093219+0.0022403i,0.00086826+0.0017119i,-1.0419e-05+0.0003603i,-6.7598e-05-2.1384e-05i,0.00034018+0.00048696i,-0.00011639+0.00015972i,-0.00053424-0.0003367i,-0.00052787-0.00058924i,-0.00021372-0.00030355i,0.00051064-0.00027989i,0.0010716-0.00041922i,0.0010844+0.00023727i,0.001164+0.00044339i,0.000202+0.00037431i,-0.00084394-1.6058e-06i,-0.00016556-1.8e-05i,0.00059968-0.00015217i,0.00039933-3.3461e-05i,-1.0776e-05+0.00038918i
0.00069466-0.0011375i,0.00062115-0.0023294i,0.00023801-0.0021088i,-0.00069871-0.0014254i,-0.00075311-0.0010308i,0.00044759-0.00082753i,0.00074354-0.0012373i,0.00033914-0.0007432i,0.00047043-0.00042075i,0.00064538-0.0005811i,0.00047436+0.00016181i,-3.2156e-05+0.0007207i,-0.00075239+0.0003912i,-0.00091489+0.0007196i,-0.0010665+0.00095999i,-5.3948e-05+0.00087901i,0.00034825+0.00077676i,-0.00022986-0.00013581i,9.6727e-05-0.00047572i,0.00033443-7.2252e-05i,0.0005741-0.00053789i,0.00068845-0.0010743i,-0.00019672-0.00085127i
-0.00057575+5.5375e-05i,3.2439e-05+0.00011952i,-6.8869e-05+0.00010509i,-0.00056834-0.00019087i,2.1e-05-0.00030026i,0.00090889-0.00055538i,0.00092227-0.0011882i,0.00044138-0.0014357i,-0.00018884-0.00092713i,-0.00033506-0.00083215i,-0.00023367-0.00069739i,-0.00085018-0.00055664i,-0.0005701-0.00044582i,-0.0006174-0.00046478i,-0.00047609+2.1358e-05i,9.3898e-05+0.00053336i,0.00021592+0.00045523i,0.00020676+2.2034e-05i,-0.00050279+0.00028028i,-0.00038659+3.8042e-05i,-0.00056204+0.00027248i,-0.00034445+0.00098882i,0.00015624+0.00090807i
0.00091809-0.00093317i,-7.7844e-05-0.00093507i,-0.00054695-0.0014806i,-0.00048689-0.00050629i,-0.00040902-1.3447e-05i,0.0001973-3.6732e-05i,0.00065495+0.00012225i,0.00048102-0.00082884i,0.00036783-0.00064727i,-0.00011509+0.00032067i,0.00017935+0.00030874i,0.00073956+0.00027304i,0.00056196+0.0010559i,0.00015206+0.0015373i,0.00011841+0.0016357i,0.00041709+0.0013713i,0.00022051+0.00086289i,-0.00031728+0.00046841i,9.8973e-05-9.9429e-05i,0.00088162+0.00027948i,0.0004227+0.00061488i,-9.9504e-05+8.939e-05i,-0.00035952-0.0002614i
