-0.0041173+0.00034742i,-0.0029617+0.00054204i,-0.0026949+0.0017272i,-0.0031124+0.0019997i,-0.0020522+0.0017971i,0.00063586+0.0011451i,0.0012354+0.00018625i,0.00032426-0.00048361i,-0.00022853-0.00013251i,4.8151e-05+0.00081181i,0.0012002+0.00073361i,0.0016748-0.00022265i,0.0011964-0.0013292i,-0.00014809-0.0015353i,-0.00083859-0.00082828i,6.6767e-05+0.00022084i,-3.9932e-05+0.00054509i,-0.00046227+0.00044199i,-0.00054456+0.00012154i,-0.00065518+0.00020989i,-0.00062712+0.0010954i,-0.00079084+0.0014953i,-0.001125+0.00091335i
-0.00025608-0.00034084i,-0.00058483-0.00085748i,-0.0011117+0.00024316i,-0.0018635+0.00099666i,-0.001779+0.00070466i,-0.000705+0.0002925i,-0.00072178+0.0004961i,-0.00067923+0.00032594i,-0.00038298+5.2579e-05i,8.3485e-05+9.7047e-05i,0.00077888+0.00037005i,0.00099087+0.00054161i,0.00072919+0.00074135i,-2.0533e-05+0.0006443i,7.7666e-06+0.00048719i,0.00016011-0.00010984i,0.00012746-0.00020311i,-0.00011713+0.00019956i,-0.00056062+0.00017489i,-0.00032332+0.00024015i,-0.00020959-4.2137e-05i,0.00034193-5.6392e-06i,-0.00025373-3.6854e-05i
0.00054078+0.0010574i,0.00037378+0.00085078i,0.0014109+0.0011203i,0.0011424-0.00043135i,0.00077235-0.0022028i,-5.5874e-05-0.0025549i,-0.00059173-0.001664i,1.6543e-06-0.00046154i,-3.0274e-05+0.00032288i,-5.4947e-05+0.00058596i,0.00017295+0.00087217i,0.00035568+0.0010645i,0.00076901+0.00046148i,0.00095061+7.1463e-05i,0.00049055+8.3372e-05i,1.2887e-05-0.00018763i,0.00023633-0.00072003i,0.00016063-0.00061918i,-0.00041511-0.00042616i,-0.00029231+2.5845e-06i,0.00025845-6.4057e-05i,-0.00016478-0.00056042i,6.7833e-05-0.0005643i
-0.0013448+0.00092316i,-0.001091+0.00076337i,0.00028345-5.8203e-05i,0.00058966-0.00070929i,0.00026285-0.00087054i,0.00030276-0.0015697i,0.00026405-0.0011368i,-2.8475e-05-0.00053559i,-0.00053215-0.0006475i,-9.0733e-05-0.00071069i,0.00065988-0.00024315i,0.00034771+4.1175e-05i,-1.3861e-05-0.00047105i,-0.0004096-0.00053808i,-0.00077056-0.000384i,-0.00050672-0.0010766i,0.00037534-0.0013316i,0.00083476+6.4212e-06i,0.0005725+0.0001851i,8.9128e-05+0.00021471i,-0.0001109+0.00051329i,0.0001096+0.00025698i,0.0002074+0.000552i
-0.00077845+0.0002641i,-0.00093772+0.0008572i,-0.00047916+0.0014894i,-0.00016297+0.0014094i,0.00027932+5.8493e-05i,0.00079017-0.0010982i,0.00047439-0.00079086i,0.00068283-0.00018779i,0.00048578-3.8038e-05i,-0.00010597+0.00031724i,-0.000369+0.0012048i,-0.00027242+0.00085234i,0.00013212-2.9819e-05i,0.00018316-8.8023e-05i,-0.00042255+0.00058837i,-0.00053831+0.00032887i,-8.5663e-05-0.00031449i,-2.0247e-05+0.0005301i,0.00032997+0.00054811i,0.00023628-0.00018637i,-0.00054545+0.00030991i,-0.0010164+0.00090167i,-0.00080614+0.00032893i
-0.0015061-0.00020537i,-0.0023902+0.00079209i,-0.0013413+0.0012032i,-0.0012117+0.0010282i,-0.0019224-0.0006686i,-0.00081695-0.0012949i,-0.00049877-0.00047307i,-0.00090945-0.00021908i,-0.00018182-0.00014047i,-0.00033181+0.00017855i,-0.00088251+0.00055083i,-0.00020976+0.00043756i,0.00062983+0.00015955i,0.00065967-0.00036853i,0.00054527-0.00033605i,0.00023238-0.00012633i,0.00020557-0.00043089i,0.00010199-0.00056103i,-9.7591e-05-0.0008002i,4.0125e-05-0.00061687i,-6.6662e-05+0.00012162i,9.3853e-05+0.00022824i,8.458e-05+0.00017162i
-0.00023218+8.1105e-05i,-0.000792-0.00083884i,-0.00082122-0.00049601i,-0.00031757+0.00042634i,-0.00041397+0.00094309i,-0.0009269-0.00010122i,-0.00034055-0.0012596i,3.605e-06-0.00080212i,0.00013449-0.00066416i,0.00052114+7.8689e-05i,0.00036034+0.00072356i,0.001049+0.00031835i,0.001072-0.00016163i,-0.00010705-0.00078955i,-0.00053293-0.00040044i,0.00017885-7.7388e-05i,8.3389e-05-0.00031871i,-0.00029421+2.2746e-05i,-9.2733e-05+0.00013128i,-0.00022433-0.00011555i,-0.00045306+0.00031719i,-3.3623e-05+0.00024704i,-0.00029675-0.00061377i
0.00063876-0.00014448i,0.0018397+0.00014945i,0.0015281-6.3831e-05i,0.00023323-0.0010715i,-0.00088126-0.0016782i,-0.00042555-0.0017227i,0.00013518-0.0021344i,-4.3393e-05-0.0018253i,-0.00085985-0.0016259i,-0.00084147-0.0015313i,-0.00039378-0.00070112i,-0.00043692+0.00019589i,0.00024638+0.00065886i,0.00082912+0.00064176i,0.00054132-0.00011071i,-0.00010213-0.0013476i,-5.3313e-05-0.0014303i,-0.0002353-0.00097827i,-0.0012851-0.00065599i,-0.0012846+9.8008e-06i,-0.00052585+0.00045182i,0.00025666+0.00097396i,8.4228e-05+0.00083413i
-0.00042052-0.00064657i,-0.00065063-0.0012481i,-0.0014203-0.00048567i,-0.0018516-3.987e-05i,-0.0012335-0.00081007i,-0.00082058-0.00062405i,-0.0010954+0.00060979i,-0.00050611+0.00063166i,-0.00039574+9.7529e-05i,-0.00074905+0.00050364i,0.0001287+0.0013085i,0.00066539+0.0011765i,0.00088102+0.00062768i,0.00082779-0.00026467i,0.00018285-0.00098981i,-0.00041625-0.00041474i,-0.00049341+0.00013809i,-6.5474e-05+0.00010543i,-0.0004219-3.2977e-05i,-0.00027395-1.6101e-05i,-0.00036281+0.000297i,-0.0004118+0.00031368i,4.115e-05+0.00019042i
-0.00029729-0.00059656i,-0.0014083-0.0024078i,-0.0022837-0.0022287i,-0.0016994-0.001021i,-9.5689e-05-0.00084483i,0.00017991-0.00092676i,-0.00043159-0.00093648i,0.00018468-0.00026536i,0.0001917+6.7947e-05i,-9.5459e-05-0.00064205i,-3.2335e-05-0.00067373i,-0.00010521-0.00055047i,-0.00016442-0.00014751i,0.00046315-1.256e-05i,0.00058202-2.8678e-05i,-0.00027811-2.1907e-05i,1.6102e-05-0.0005344i,0.00072585-0.0004533i,0.00022953+0.00051014i,-0.00026189+0.0011023i,-0.00013103+0.00077997i,-4.9075e-06+0.00012749i,3.6848e-06-0.00015056i
-5.1458e-05-0.00083824i,-0.00036022-0.00098796i,-0.00077054-0.0005665i,3.2189e-05+0.00020515i,0.00059218+0.00088469i,0.00010539+0.0010074i,0.0002392-6.1225e-05i,0.00107-6.7213e-05i,-2.3225e-06+0.00030327i,-0.00062709+3.5872e-05i,0.0001443+0.00053306i,-0.00019185+0.00071412i,-0.0004121+0.000151i,-0.00025215+6.6315e-05i,-0.0001834-0.00063848i,-2.119e-05-0.0011479i,-0.00010025-0.00069466i,-0.00021581-8.8336e-06i,0.00031282+0.00026267i,0.00086624-1.1999e-05i,0.0006923-0.00032124i,0.00077912-1.2653e-07i,0.0010306+0.00024201i
