-0.0029702+0.00014561i,-0.00069514-0.0008023i,-0.0011331-0.00031779i,-0.00086412+0.00012595i,-9.6356e-05+0.00084686i,0.00016316+0.0017304i,0.00035377+0.0023978i,0.0001745+0.0026109i,-8.5089e-05+0.0015149i,6.6289e-05+0.00024482i,0.00060155+0.00012319i,0.0014508+0.00016501i,0.00090751-0.00055448i,6.7642e-05-0.00094921i,-0.00043166-5.5757e-05i,-0.0011471+0.00016791i,-0.00082701-0.00033313i,-0.00089856-0.00053948i,-0.00051917-0.00029971i,0.00019975+0.0001914i,-1.0651e-05+0.00078109i,-0.00012683+0.00053924i,-0.00014601-0.00024727i
0.0022567-0.00073607i,0.0023072+1.5312e-05i,0.003248-0.00077531i,0.0018263-0.0015706i,-0.00022557-0.0006153i,-0.00062854+0.0011634i,0.00011935+0.0014497i,0.0007781+0.00044796i,-0.00010659-0.00069605i,-0.0012928-0.00095705i,-0.0012628+4.762e-05i,-0.00068866+0.00048404i,0.00042418+0.00017547i,0.00028573+0.00017703i,-0.00061961+0.0002447i,-0.00048585+0.00026539i,-0.0008985+0.00039103i,-0.00084323+0.00084589i,0.00018712+0.0008885i,0.00082263+0.00030952i,0.0010776-0.00044475i,0.00075685-0.00069972i,0.00042607-0.00037543i
-0.001171+0.00018515i,-0.00047486+0.00092627i,0.0001854+0.0016815i,-0.0001084+0.00067885i,-0.00074587+7.4627e-05i,-8.0729e-05+0.00049496i,0.00037136+0.00041763i,0.00047093-2.1761e-05i,0.00038494-4.8186e-05i,-0.00071686+0.00030574i,-0.0010212-5.6424e-05i,0.00014477-0.0012918i,0.00033554-0.0017692i,-0.0004837-0.0014648i,-0.00090484-0.00069651i,-0.0011155-0.00013049i,-0.0012868-0.00010298i,-0.0010866+0.00046117i,-0.00027065+0.0005007i,6.7149e-06-8.9626e-05i,0.0001497-0.00048079i,0.00065221-0.00084022i,0.00059038-0.0010805i
5.1768e-05+0.00057569i,0.00028492+0.00023728i,0.00012702+0.0011295i,0.00031491+0.0014657i,0.0001929+0.00097381i,0.0010574+0.0011721i,0.0017982+0.00058845i,0.00077387+0.00035043i,0.00023348+0.00025332i,-4.9258e-05+0.00046166i,5.7884e-05+0.00087973i,0.00051971+0.00033421i,-0.00033814-8.6236e-05i,-0.0011849-0.00031026i,-0.00077572-0.00036553i,-7.1577e-05-0.00046561i,0.00010759+1.0457e-05i,1.9487e-05+0.00034268i,0.00018826+9.3425e-05i,-0.00010343+0.00028318i,-0.00064898+0.0010346i,-0.00010268+0.00095247i,0.0009875+6.9478e-05i
-0.00019627+0.00021709i,-0.00072557-0.0001793i,-0.0016903+0.00028237i,-0.001621-0.00029121i,-0.00069461-0.00071785i,-0.00059103+0.0001776i,-0.00045252+0.00036962i,-0.00032257-1.3877e-05i,-0.0011633-0.00015266i,-0.0012858+4.5943e-05i,-0.00049301-5.8356e-05i,-0.00025154+0.0002116i,-0.00040017+0.00020814i,-0.00026333-0.00068144i,-0.00038108-0.00050469i,-0.00078351+0.00035107i,-0.001122+0.00057205i,-0.00068152+0.00035855i,0.00016446+0.00042596i,0.00079889+0.00079858i,0.0011915+0.0010155i,0.00067332+0.0010279i,0.00034721+0.00026066i
0.00090025+0.0012279i,0.001212+0.00087902i,0.0019379+0.0010592i,0.0016309+0.0019949i,0.0010476+0.0012386i,0.00011758+0.0001493i,0.00041437-0.00023408i,0.000788-0.00055249i,-0.00078379+0.00030546i,-0.0014276+0.00067723i,-0.00093769+0.00040736i,1.4774e-05+0.00056521i,0.0004129-0.0003992i,0.00058177-0.0011996i,0.00055412-0.00090188i,-8.9463e-05-0.0007345i,-0.0013008-0.00073127i,-0.0018025+0.00030558i,-0.0012419+0.0011249i,-0.00050267+0.00039325i,0.00028281-0.00072476i,0.00089796-0.00075837i,0.00085264-0.00056569i
-0.00125-0.0021605i,-0.0021512-0.0011055i,-0.0041215+0.00033716i,-0.0048876+0.00043002i,-0.0033687+0.00070146i,-0.00033135+0.0010782i,0.00052302+0.00039256i,-0.00025404-0.00070278i,-0.00048473-0.0010298i,-0.0011533-0.00044272i,-0.00053173-5.0182e-05i,0.00034422+4.2161e-05i,0.00032035-0.00085371i,0.0002553-0.0017066i,0.00049729-0.0011569i,4.8752e-05-0.00089896i,0.00015656-0.00052576i,0.00085817+0.0008344i,0.00041414+0.0010672i,-0.00038279+0.00027506i,-0.00020481+1.3564e-05i,0.00013132-0.00023937i,0.00014497-0.00045288i
-0.00065009-0.0006013i,-0.00052043-0.00030911i,0.00011986-0.001714i,-0.00070148-0.0014556i,-0.0017995+0.0003441i,-0.00043531+0.0014132i,0.00076694+0.00096101i,0.0004104+0.00027836i,-0.00084732+2.7646e-05i,-0.00080917-0.0002257i,0.00052118-0.00058908i,0.00096174-0.00058868i,0.00044083-0.00084145i,3.7442e-05-0.0015747i,0.00010998-0.0014406i,0.00032036-0.00072019i,-0.0002779-0.00039347i,-0.00062886-0.00025584i,-0.00013521-8.2838e-06i,0.00044346+0.00021319i,0.00082073+0.00028333i,0.00071816-7.9621e-05i,0.00036582-9.9982e-05i
-0.00039036-0.001194i,-9.3057e-05+0.00020717i,-0.0013032+0.0011382i,-0.0025119+0.0015129i,-0.0023509+0.0023177i,-0.00062008+0.0026083i,-9.4417e-06+0.0021287i,-0.00043421+0.00043923i,-0.00089401-0.0003072i,-0.00093375-0.00021412i,-0.00088217-5.2166e-06i,7.6537e-05+0.00027486i,0.00049361-0.00015074i,-9.7083e-05-0.00061037i,0.00014208-0.00031031i,0.00052064+0.00028653i,3.1431e-05+0.00041686i,-0.00099559+0.00084515i,-0.0011164+0.0011875i,-0.0012314+0.0010371i,-0.00063948+0.00061125i,1.1059e-05-7.3261e-05i,-0.00057457-0.0003647i
-0.00016675+0.0012325i,-1.3917e-05+1.9999e-05i,-0.00081829-0.00080113i,-0.00068903-0.00018898i,0.00037874+0.00013939i,0.0010141+0.00056552i,0.0011801+0.00062628i,0.0011203-0.00045597i,0.00017831-0.0010094i,-0.00092326-5.7049e-05i,-0.00080174+0.00063714i,-9.0143e-05+0.00035326i,0.00032691+0.00033706i,3.6136e-05+0.00020859i,-0.00040823-0.00021491i,-0.00073952+3.1857e-05i,-0.00033653+0.00034814i,-0.00041249+0.00017717i,-0.0006688-0.00040747i,-0.00016177-0.0008346i,0.00043117-0.00020959i,0.0008203+0.00055516i,-2.9377e-05+1.7276e-05i
0.0021189+0.0027424i,0.0018578+0.0032697i,0.0035426+0.0028346i,0.0036149+0.0021551i,0.0021581+0.001591i,0.00085137+0.001232i,0.00033654+0.0010828i,0.00042707-0.00039007i,0.00011329-0.0011806i,-0.00025908-0.00051701i,-0.00023371+0.00049411i,-0.00031842+0.00077732i,-0.00073358+0.00078221i,-0.00041735+0.00029996i,-0.00049814-0.00046756i,-0.00096253-0.00076055i,-0.00090823-0.00013363i,-0.0015422+0.00053134i,-0.0015775+0.00076397i,-0.00066803+0.0011551i,0.00054296+0.0012362i,0.0010012+0.00015739i,0.00032837-0.0010888i
-0.00035759-0.00071446i,6.0359e-05-0.0014821i,0.00017019-0.0030258i,-0.00019424-0.0027289i,-0.00084489-0.00056295i,-0.00085936+0.0007904i,0.00026956-0.00039466i,0.0013128-0.0013357i,0.00090054-0.00078322i,-0.00015562-0.00052869i,-0.00051529-6.785e-05i,-0.00035864+2.3508e-05i,-0.00011469-0.00061595i,0.00021802-0.0012875i,0.00040321-0.00084349i,0.00032947-0.0002585i,-0.00014933-3.7912e-06i,-0.00066679+0.00012313i,-0.00072669+0.00028571i,-0.00060408-1.2823e-05i,-0.0010173+1.6131e-05i,-0.00017799-0.00036359i,0.0010947-0.0010369i
0.001176+0.0011786i,0.0018809+0.0010174i,0.0013926+0.00053286i,0.0011132+0.00074297i,0.00092258+0.001015i,0.00057844+0.00088967i,0.00059373+0.00054171i,0.00049761+0.0002554i,0.0001835-0.0005401i,-0.00075425-0.00090129i,-0.0016561-0.00072682i,-0.0010576-0.0014407i,-0.00057363-0.0021338i,-0.00098733-0.0023384i,-0.00096486-0.0013355i,-0.00051985-0.00063017i,-0.001136-0.00065026i,-0.0016206-0.00057745i,-0.0011207+5.6687e-06i,-0.00049159+0.00030485i,8.2686e-06+8.5528e-06i,9.6234e-05+0.00012034i,-2.7858e-05-0.00019356i
0.002122+0.00079242i,0.0017646-1.1918e-05i,0.0018037-0.00063584i,0.00073322-0.0015665i,9.826e-05-0.0015801i,-0.00016047-0.00049333i,0.00043605+0.00011i,0.00059576-0.00023685i,-0.0005706-0.00029377i,-0.0009467-0.00029629i,-0.0006755-0.00039915i,-0.00067368-0.00056734i,-0.00076944-0.00034736i,-0.00095298-9.7578e-05i,-0.00058921+0.00033569i,-0.00071257+6.329e-05i,-0.001379-4.5111e-06i,-0.0013894+0.00018876i,-0.0007698-0.00032488i,-0.00023745-4.6329e-05i,-7.3694e-05-3.6277e-05i,0.00013189+0.00035344i,0.00024737+0.00075925i
-0.00066557+0.00076637i,-0.00059424+0.0011921i,0.00038301+0.0027985i,0.00046689+0.0024518i,0.00017854+0.0011652i,0.00037569+0.001261i,0.00046661+0.00096397i,0.00047267-0.0002141i,0.00045588-0.001041i,-5.1592e-05-0.0008498i,-0.00031471-0.00067003i,-0.00023387-0.00073595i,-0.00023195-0.00049725i,-0.00041416-0.00026434i,-5.512e-05+0.00012293i,0.00025522+0.00013866i,-0.00051692+0.00021886i,-0.0013607+0.00059772i,-0.0015124+0.00059208i,-0.0011137+0.00066856i,-0.00028041+0.00023143i,0.00065136-0.00042887i,0.00070284-0.0009541i
0.00054791+0.0010955i,0.00046741+0.00051745i,0.00060592+0.00064055i,-0.00087288+0.00029214i,-0.0012663+0.00027123i,0.00033329+0.00090762i,0.0013873+0.00086896i,0.0012327+0.00037999i,0.00073906-0.00030485i,0.00052781-0.00074467i,6.5291e-05-3.843e-05i,0.00040187+0.0004403i,0.001323+0.00028326i,0.0008747+0.00032725i,-0.00040898+0.0004216i,-0.0011492+0.0005734i,-0.0011924+0.00060777i,-0.00074113-4.8389e-05i,0.00016711-3.7273e-05i,0.00024431+0.00084828i,-0.00035092+0.00054377i,3.4002e-05-0.0002149i,0.00057091-0.00019543i
0.0030648-0.00079073i,0.0023458-0.00029138i,0.0014341-0.00051318i,0.0015368-0.00038359i,-3.9766e-05+1.4359e-05i,-0.0012176+0.00037468i,-0.00023312+0.00068066i,0.0001891-0.00053977i,-0.00079833-0.0015387i,-0.0012001-0.001128i,-0.00064927-0.00070455i,0.00054782-0.00060549i,0.00036459-0.0010102i,-0.00051068-0.0014919i,-0.0011324-0.0008838i,-0.0018018-0.00022599i,-0.0017469+4.5318e-05i,-0.0014805+0.00036486i,-0.0014148+0.0012715i,-0.0011497+0.0012011i,-0.00052788+2.5702e-05i,-0.00051452-0.00071638i,-0.00049429-0.001556i
-0.00020104+0.0019323i,-0.00040445+0.0018577i,-0.00026754+0.0013959i,-0.00052985+0.0014487i,-0.00040402+0.0018287i,-5.9097e-05+0.001324i,0.00028292+0.00087246i,0.0006908-4.637e-05i,0.0005792-0.00030357i,-0.00027527-0.00087154i,-0.00068996-0.001785i,-0.00028411-0.0012963i,-0.00035307-0.00044353i,-0.00049042-0.00016881i,-0.00017574+0.00018108i,-0.00067481+6.7602e-05i,-0.00056828-0.00045843i,0.00023522-0.00043675i,0.00017176+0.00010416i,-0.000122+0.00043708i,0.00070035+0.00057427i,0.0013491+0.00070047i,0.00066304+0.00059414i
-7.8173e-05-0.00078612i,0.00056819-0.0006641i,0.00018989-0.0001844i,-0.00032944-0.00015089i,-0.00033504+0.00064221i,-0.00015171+0.0011071i,0.00033215+0.00053606i,0.00057407+0.00048913i,-0.00055845+0.00039744i,-0.0015721-0.00026599i,-0.00071875-8.7874e-05i,0.00029117-6.2393e-05i,0.00032486-0.00096665i,-0.0001544-0.00085102i,-0.00037573+0.00032005i,-2.8034e-05+4.6466e-05i,0.00013664-0.00051487i,-0.00010078-0.00051249i,-0.00051459-0.00028604i,-0.00036265+0.00011301i,0.00010023-0.00054399i,0.00041766-0.0012796i,0.00020923-0.00071516i
0.0030198-0.00028883i,0.0021621-0.00014038i,0.0017683-0.00065664i,0.00052999-0.0012538i,-0.00033003-0.0010528i,-0.00023056-0.00027078i,-6.2616e-05+0.00055658i,0.0002985+5.9593e-05i,-0.00019335-0.00057737i,-0.001221-0.00098771i,-0.0014646-0.00088487i,-0.00093549-0.00032702i,4.5112e-05+0.00038568i,9.521e-05+0.00099205i,-0.00045916+0.0010075i,0.0003806+0.00018905i,0.00039639-0.00015576i,-3.1424e-06-0.0001448i,0.00034927-8.0437e-05i,0.00091365+0.00031424i,0.00085495+0.00065095i,-0.00017957+8.0632e-05i,-0.00035946-0.00079788i
9.5329e-05+0.0016721i,0.0012904+0.0010664i,0.0027024+0.0018933i,0.0024323+0.0018945i,0.0013491+0.0017404i,0.00045943+0.001012i,-0.00025144+0.00030112i,-3.6311e-05+0.00048804i,0.0001319+0.00029941i,-0.00040904-0.00016337i,-0.0001824+1.2868e-05i,4.9941e-06+0.00051365i,9.1158e-05+0.00012907i,0.00045345-0.00038309i,0.00030971-0.0004299i,-6.654e-05-0.00041421i,-0.00056483-0.0001363i,-0.00073959+0.00045682i,0.00019814+0.00052672i,2.8775e-05+0.00029356i,9.0106e-05-9.5913e-06i,0.0012864-0.00028928i,0.00093244-0.00017293i
0.00013831+0.0019071i,-0.00060343+0.0018125i,-0.0007581+0.0013122i,-0.00030517+0.00046306i,3.9386e-05+0.00078139i,-0.00033498+0.0013691i,6.539e-05+0.00092979i,-0.00029454+0.00049576i,-0.00075615+0.0009897i,-0.00029152+0.00051531i,-0.00019009+0.00019677i,0.00058675+0.00068296i,0.001306+5.5368e-05i,0.00056489-0.00053634i,7.6547e-05+3.6861e-05i,-0.00061428+0.00029337i,-0.00095976+3.2859e-05i,-0.0010261+0.00039788i,-0.0013217+0.0011254i,-6.801e-05+0.00038432i,0.00094439-0.00063208i,0.00019577-0.00078197i,-0.00067164-0.00048785i
-0.0033448-0.0017701i,-0.0034466-0.0012292i,-0.0022627-0.00042761i,-0.0012746+0.0017163i,-0.00062562+0.0034015i,0.00052611+0.002736i,0.00069743+0.0015396i,-8.4611e-07+0.00067466i,-0.00047527+0.00013937i,-0.00041488-0.00055092i,-0.00036771-0.0011475i,0.00012655-0.00095602i,0.00051097-0.0011019i,8.2274e-05-0.0023866i,-0.00019304-0.0022909i,6.6547e-05-0.00085753i,0.00023359-6.6431e-05i,0.00030363+0.00021305i,5.9069e-05+0.00033704i,-0.0002295+0.0012359i,0.00015404+0.0010396i,0.00062759+0.00013495i,0.00034997-0.00040963i
-0.0030058-0.00045991i,-0.0034805-0.00010651i,-0.0034479+0.0001294i,-0.0022729+0.00081123i,-0.00079563+0.0015467i,-8.0816e-05+0.0014678i,-0.00021399+0.0009995i,-0.0012703+0.00073728i,-0.0015825+0.00021941i,-0.0011027+2.2294e-05i,-0.00051091+7.315e-06i,0.00011936-0.00024419i,-1.2453e-05-0.00067205i,-0.00037503-0.00076949i,-0.00043976-0.00024823i,-0.00038714+4.7983e-06i,-1.0956e-05-0.0006716i,0.00022585-0.0010598i,-0.00013383-9.161e-05i,0.00014224+0.0012516i,0.00052467+0.001699i,0.00049117+0.0011526i,0.00029274+0.00053687i
-0.0021515+0.0010424i,-0.0013753+0.00063306i,-0.00092752+0.00070111i,-0.00061136+0.0020793i,-0.00022347+0.002975i,0.00084312+0.0024544i,0.0013555+0.0012774i,0.00024166+0.0003248i,-0.0010182-0.00019945i,-0.0007511-0.00026256i,-0.00039077-3.1626e-05i,-0.00044392-0.00039422i,-0.0002073-0.0010236i,0.00031589-0.0012147i,0.00010675-0.0010441i,-0.00029518-0.00021752i,-7.2469e-05+0.00035855i,-0.00018856+0.0004983i,-0.00022227+0.00071817i,0.0004563+0.0009449i,0.00047947+0.0012133i,-4.8667e-05+0.00063612i,9.4961e-05+5.2356e-05i
0.00070108+0.00015028i,7.127e-05+0.00032166i,-0.00030998+0.0011116i,-0.0001034+0.001056i,0.00011289+0.00086941i,0.00025728+0.0013431i,0.0010315+0.0011005i,0.00079461-0.0001017i,-0.00050704-0.00027337i,-0.00076004-2.6143e-05i,-0.00042986-0.000162i,-0.00018902-5.556e-05i,-0.00037138-2.3751e-05i,-0.0002872-0.00053676i,-0.00042506-0.000571i,-0.0002638-0.00033202i,-4.9542e-05-0.00020337i,-0.00033978-8.2696e-05i,-0.00062596-6.3803e-05i,-0.00051973-8.8925e-05i,6.0456e-05-0.00026366i,0.00055602-0.00055446i,0.0010395-0.00060859i
-0.0019201+0.00023975i,-0.0010131-0.00013175i,-0.00024535+0.0012388i,-0.00029464+0.0014208i,-0.0004629+0.002269i,0.00028459+0.0026055i,0.000541+0.00064596i,0.00050023-4.4005e-05i,0.00027836+0.00031761i,-0.00034237+0.00010719i,-7.7173e-05-0.00039137i,0.0016718-0.00068725i,0.0022601-0.0011854i,0.00096966-0.0014382i,-0.00022956-0.00074456i,-0.00019545-0.00061074i,-7.2208e-05-0.00081313i,-0.00027583-8.1727e-05i,1.9594e-05+0.00092235i,0.00050912+0.0010272i,0.00028251+0.00089847i,0.00045392+0.00020827i,0.00047793-7.7393e-05i
0.0013312-0.0017577i,-2.0243e-05-0.0010361i,-0.0009741-0.0011619i,-0.001443-0.00014166i,-0.0011454+0.0014109i,0.00061242+0.0016807i,0.002064+0.0015033i,0.00097617+0.00022938i,-0.00089491-0.00072592i,-0.0012057-0.00044263i,-0.00083498-0.00049999i,-0.00029947-0.00096021i,-0.00029611-0.00079938i,-0.00028945-0.00050517i,-5.3021e-05-0.00057136i,-0.00014395-0.00060024i,-0.00027515-0.00022522i,-0.00036773-0.00036641i,-0.00036592-0.00035882i,2.225e-05+0.00012098i,0.00085116+0.00051707i,0.0012133+0.00086307i,0.00070453+0.0004554i
0.00139+9.6067e-05i,0.0017747-0.00023096i,0.0012646-0.0017202i,0.00097886-0.0016807i,0.00035999-0.00030152i,-9.7355e-05+0.00098961i,-0.00010107+0.0012982i,-0.00076255+0.00012729i,-0.0017861-0.00089433i,-0.0017604-0.00091919i,-0.0014606-0.00091468i,-0.00092793-0.00056944i,-0.00018433-0.00024778i,-0.00013749+6.9071e-05i,-0.00075189+0.00019977i,-0.0014578-0.00010253i,-0.001028+0.0002119i,-0.00025381+0.00055175i,-0.00019559+0.00049758i,2.0007e-05+0.00020911i,0.00023787-0.00054197i,0.00022955-0.00064599i,0.00022589-0.00057656i
-0.00061621+0.0016419i,-0.00047962+0.0013667i,0.00014343+0.0025541i,0.00077102+0.002538i,0.0007879+0.001497i,0.0012865+0.00093706i,0.0018394+0.00046532i,0.0012522-0.00075375i,0.00018075-0.0016093i,-0.00018045-0.0010091i,-0.00068781-0.00013809i,-0.00081553+0.00044275i,-0.00095871+0.00027441i,-0.001266-0.00022423i,-0.0007276-0.00061949i,-0.00033816-6.4308e-05i,-0.0010224+0.00074512i,-0.0020981+0.00061205i,-0.0017456+0.00059401i,-0.00047889+0.00026395i,0.00035298-0.00049927i,0.00030452-0.00080507i,0.00059778+0.00031527i
0.0015808-0.0020383i,0.00165-0.0022883i,0.001918-0.0027439i,0.0016815-0.002262i,-0.0005925-2.9584e-05i,-0.0020777+0.00087352i,-0.00067466-1.5113e-05i,-0.00036965-0.00025421i,-0.0013996-9.7499e-06i,-0.0013017-7.7996e-05i,-0.00091416+0.00019031i,-0.00081521-0.00012431i,-0.00010787-0.0012455i,0.00039184-0.0013962i,-2.0529e-05-0.00089862i,-0.00026771-0.00084454i,-0.00028682-0.0010649i,-0.00022329-0.00098226i,0.00012277-0.00049756i,0.00054083+0.00019125i,0.00083449+3.5255e-05i,0.00088059-0.00019183i,0.001199-0.00038449i
-0.0011762-0.00041032i,-0.0010744-0.0010914i,-0.0012589-0.0013469i,-0.0010168-4.1763e-05i,0.0001498+0.0015932i,0.00042074+0.0023073i,-0.00083373+0.0016482i,-0.0009027-0.00010903i,-0.00020986-0.00060776i,0.0002095-7.9436e-06i,0.00028708+0.00021321i,0.00013489-0.00014775i,0.00021886-0.00083427i,0.00023311-0.0017966i,4.0796e-05-0.00205i,-0.00022779-0.00059323i,-0.00058068+0.0010068i,-0.0013887+0.0010296i,-0.00084249+0.0006156i,3.365e-05+0.0010778i,-0.00078754+0.0010092i,-0.00075295-4.3392e-05i,0.00061523-0.00028164i
0.00031656+0.0027406i,0.0022002+0.0022663i,0.0015344+0.002898i,0.0010377+0.0020748i,0.0014972+0.001288i,0.0011886+0.0011966i,0.000703+0.00084522i,0.00025497+0.00039612i,-0.00013809+0.00031061i,0.00013249+0.0003395i,0.00043181-2.7262e-05i,-1.5764e-05-0.00065088i,-0.00087105-0.00067249i,-0.0012511-0.00060029i,-0.00083509+1.1907e-05i,-0.00037522+0.0013916i,-0.0008686+0.0015487i,-0.00088738+0.0010863i,-0.00075498+0.0012485i,-0.0014551+0.00085944i,-0.00063421+9.3208e-05i,0.00049132-0.00064826i,0.00040663-0.00072255i
-0.00089188+0.0013666i,-0.00092649+0.00074918i,-0.00061917+0.00028751i,-0.00098151-0.00010408i,-0.0015111-0.000342i,-0.0011918+0.00085151i,-0.00052201+0.0010032i,-0.00010718+0.00020631i,-2.6777e-05+0.00014343i,-0.00011359+0.00014551i,-0.00090979-0.00061943i,-0.00065311-0.0010521i,-0.00024832-0.00055696i,-0.00056689-0.00014413i,-0.00037987+0.0001904i,-9.2645e-05+0.00032948i,-0.00041949+0.00029025i,-0.00078327-0.00014207i,-0.00013629-0.00049533i,0.00010635-0.00021108i,0.00012412-0.0006511i,0.00031796-0.0012882i,5.4862e-05-0.00094587i
0.00087449+0.001568i,0.00030398+0.00021711i,0.0026808+0.0004151i,0.0043855+0.00026341i,0.0031289+0.00034338i,0.0012692+0.0014666i,0.00048052+0.0017684i,0.00016737+0.00095934i,-0.00087968-0.00038731i,-0.00087897-0.00055295i,-0.00031166+0.00010895i,-0.00049476-0.00051256i,-0.00074538-4.7339e-05i,-0.00052114+0.0010057i,-0.00072895+0.0005489i,-0.0009103-0.00073684i,-0.0013047-0.0016645i,-0.0011187-0.001819i,0.00033115-0.0014068i,0.0016156-0.00041015i,0.0014041+0.00092535i,0.00091963+0.0010424i,0.00092485+0.00038382i
-0.00062805-0.0011483i,-0.00070966-0.00075354i,-0.003501-8.4279e-05i,-0.0054666+0.00052036i,-0.0045209+0.0019188i,-0.0016932+0.0030469i,0.0013187+0.0018898i,0.0013337+0.00057451i,-0.00054463-0.00035924i,-0.0014647-0.0001386i,-0.00053404+0.0001589i,0.00073173-0.00012117i,0.00056298-6.8722e-05i,0.00041728-0.00018411i,0.00072486-0.00019148i,0.00022757+3.8699e-05i,-0.00011904+0.00015771i,-8.3123e-05-0.00064683i,0.00023611-0.0010515i,0.00027633-8.4126e-05i,0.0004742+0.00055569i,0.00065183-0.00046443i,0.00078195-0.0010842i
0.0034951+0.0012598i,0.0040056-0.00033597i,0.0045428-0.00285i,0.0043797-0.003162i,0.0030315-0.0022841i,0.0016962-0.00046989i,0.00080402+0.00054312i,0.00038152-9.5263e-05i,-0.00019632-0.00060191i,-0.0010648-0.00058365i,-0.00080266-0.00045169i,-2.0998e-05-8.4978e-05i,-0.00038917+0.00037634i,-0.00057109+8.8008e-05i,-0.00033367-0.00015453i,-0.00078019+0.00080702i,-0.0010763+0.0013419i,-0.00066346+0.0011959i,-0.00031128+0.0011315i,-2.1887e-05+0.00086738i,0.00032618-5.3182e-05i,0.00077149-0.00091743i,0.00044364-0.00019674i
0.00011874-0.0027889i,-0.00053593-0.0015881i,-0.0016623-0.00091695i,-0.0030248-0.00045797i,-0.0030178+0.00057182i,-0.0023667+0.0015041i,-0.0013031+0.0011977i,0.00017976+0.00066727i,-0.00029946-0.00018572i,-0.00087937-0.00085914i,-0.00039311-0.0010922i,-7.6928e-06-0.00053286i,0.00052181+0.00045399i,0.00030314-0.00011259i,-0.00084191-0.00042561i,-0.0016974+0.0007952i,-0.0017788+0.00062563i,-0.00159-0.00029637i,-0.00093995-4.7741e-05i,-0.00026243-4.7234e-05i,0.00027455-0.00028i,0.00025824-0.00050479i,-0.0002462-2.1284e-05i
9.4478e-05+0.00048529i,-0.00030154+0.00019532i,0.00053074+0.00036975i,0.0004996+0.00019969i,-0.0011239+0.00025728i,-0.0014375+0.00090992i,9.0748e-05+0.0010019i,0.0004+0.00034197i,-0.0010541+0.00018013i,-0.0010802+2.1869e-05i,-0.00074376+0.0003748i,-0.00082424+0.00028629i,0.00012075-0.00015888i,0.00034436-0.00067661i,-0.00031861-0.0011551i,-0.000266-0.0010617i,-0.0001889-0.00098126i,-0.00048421-0.00073501i,-0.00068765-0.00021279i,-0.000521-0.00011633i,-0.00016664-0.00020112i,0.00056719+0.00011945i,0.00098334+0.00040109i
0.00076995-0.0014508i,3.6336e-05-0.00084483i,-0.00080643-0.00023907i,-0.0018596+0.00020582i,-0.001763+0.00067968i,-0.00068663+0.001465i,0.00040294+0.0011338i,0.0006605+5.2302e-05i,-0.00042998-0.00022307i,-0.0014181+0.00059448i,-0.00047265+0.00059325i,0.00055268+7.6487e-05i,0.00053916-0.00040881i,0.00021451-0.00029636i,0.00010509-8.9049e-05i,0.0003256-0.00034088i,0.00056195-0.00063732i,0.00040795-0.00058972i,-0.00025061+0.00051782i,-0.00018206+0.00069698i,-1.0989e-05-0.0003567i,-0.00069063-0.0010609i,-0.00094656-0.00047636i
0.0010678+0.0024932i,0.0021217+0.0025906i,0.0029324+0.0021179i,0.0018899+9.6699e-05i,0.0012868-0.00043167i,0.0010998+0.00035993i,0.00075518+0.00034815i,0.00038975+0.00019573i,7.1563e-05+0.0004947i,-0.00065746+0.001327i,-0.0009955+0.00085301i,-0.00046268-0.00036169i,-0.00017208-0.00052847i,-0.0012366-0.00041008i,-0.00075314+1.314e-05i,0.00056909+0.001229i,0.00028944+0.0024153i,-0.00047496+0.0028907i,-0.00041861+0.0023588i,7.9812e-06+0.001921i,-0.00036826+0.0012505i,-0.00056804+0.00030215i,-0.00026043+0.00043277i
-0.0017426-0.00012694i,-0.0012098-0.00078598i,2.6973e-05+0.00095168i,0.00047241+0.0021828i,0.00039412+0.0025894i,0.00092562+0.0023085i,0.0010106+0.0017241i,0.00032464+0.0011403i,-0.00075783+0.00088685i,-0.0015331+0.00066524i,-0.0011775-0.00013747i,-0.00032039-0.0011287i,9.9745e-05-0.0014416i,-7.5907e-05-0.0014929i,-0.00073308-0.0011179i,-0.0016683-0.00051572i,-0.0015651-0.00059159i,-0.0013348-0.00056003i,-0.00082015-0.00010055i,-0.00021991+0.00053567i,-5.453e-05+0.00050081i,-0.00032208-5.5423e-05i,-0.00064644-0.00028779i
3.234e-05-0.0017411i,-0.001162-0.0020158i,-0.0019707-0.0028369i,-0.0024429-0.0022633i,-0.0024554-0.00036406i,-0.001489+0.0016841i,0.00018115+0.0023721i,0.000772+0.001495i,-0.00039585+0.00020312i,-0.0010341+6.4456e-05i,-0.00041449+0.00047712i,-0.00016643+0.00062962i,0.0001946-8.8039e-05i,0.00045739-0.00104i,0.00038533-0.0017122i,0.00046212-0.0020208i,-0.00030436-0.0016704i,-0.00026634-0.0019962i,0.00059654-0.0017525i,6.6653e-05-0.00022443i,0.00017999+0.00040538i,0.00095649-8.7635e-06i,0.00095939-0.00025217i
