-0.0029702+0.00014561i,-0.00069514-0.0008023i,-0.0011331-0.00031779i,-0.00086412+0.00012595i,-9.6356e-05+0.00084686i,0.00016316+0.0017304i,0.00035377+0.0023978i,0.0001745+0.0026109i,-8.5089e-05+0.0015149i,6.6289e-05+0.00024482i,0.00060155+0.00012319i,0.0014508+0.00016501i,0.00090751-0.00055448i,6.7642e-05-0.00094921i,-0.00043166-5.5757e-05i,-0.0011471+0.00016791i,-0.00082701-0.00033313i,-0.00089856-0.00053948i,-0.00051917-0.00029971i,0.00019975+0.0001914i,-1.0651e-05+0.00078109i,-0.00012683+0.00053924i,-0.00014601-0.00024727i
0.0016839-0.0027202i,0.0013403-0.0027703i,0.00099574-0.0036582i,-0.00022471-0.0027271i,-0.00094913-0.0011361i,-0.00010242+7.2847e-05i,0.0010055+0.00076942i,0.0013612+0.00057222i,-8.5482e-05+0.00034866i,-0.0014021+0.0012196i,-0.0015033+0.0011615i,-0.001069+0.0010824i,-0.00065553+0.00096256i,-0.00043995+0.00050908i,-0.00012542-3.9638e-05i,-1.9056e-05-0.00050041i,-0.0004479+0.00015907i,-0.00044001+0.00070729i,0.00034177+0.00091554i,0.0010573+0.00024136i,0.0012405-0.00072692i,0.00076732-0.00081702i,0.00011587-0.00018859i
0.0011832-0.00062146i,0.00079184-0.00038324i,0.00091755-0.001171i,0.00074401-0.00097293i,0.00082392+0.00048572i,0.0009188+0.0013541i,0.00072377+0.00088936i,-0.0001415-0.00026739i,-0.00058536-0.0005726i,-0.00045961+9.5865e-05i,-0.00057347+0.00070915i,-0.00052287+0.00032709i,-0.00032756+6.5147e-05i,-7.076e-05+0.00022361i,4.2457e-05+3.3281e-05i,-0.00059158-0.00028343i,-0.00060576+0.00045844i,8.6978e-05+0.00062437i,0.00024504+0.0001522i,4.8596e-05-0.00019547i,-0.00036893-0.00023905i,0.00017306-0.00013186i,0.00031499-0.0005096i
-0.00042187+0.00024039i,-0.00017602+0.0017256i,-0.00055984+0.0017964i,-0.00035162+0.001234i,0.00013083+0.0016002i,0.00060133+0.00064152i,0.00059556-0.00065649i,0.00075287-0.0008763i,0.00040799-0.0001387i,-0.00027688+0.00033524i,-0.00017241-0.0001508i,0.00066364-0.00036176i,0.00091308+9.442e-05i,0.0002507+0.00038476i,2.8247e-05+8.0567e-05i,6.4415e-05-0.00033717i,-0.00060441+0.0001291i,-0.00085459+0.00093855i,-0.0011145+0.000811i,-0.00031991+0.0009149i,0.0011671+0.00041407i,0.0010769-0.00025826i,0.00019975-0.00031308i
0.001098-0.00019697i,0.00095283-0.00073397i,0.0002799-0.0013854i,-9.7843e-05-0.00034014i,-0.00013272+0.00086936i,8.2794e-05+0.00077178i,0.00034597+0.00044056i,-0.00015184-0.00013723i,-0.00072895-0.00072806i,-0.00077029-0.00011267i,-0.00015314+0.00057976i,0.0006389-2.4125e-05i,0.0003878-1.2101e-05i,-0.00025517+0.00038611i,-0.00067439+0.00032135i,-0.00055537+5.629e-05i,-0.00054558-0.00080844i,-0.00042166-0.00071285i,9.5311e-05+0.00013149i,0.00067577-0.00061184i,0.0008239-0.00086267i,0.00066796-0.00092961i,0.00038535-0.0011009i
0.00022143-0.00039762i,0.00023831-0.00029222i,-0.00072129-0.0010234i,-0.00051286-0.0012551i,-0.00032755+7.2856e-06i,-0.00026838+0.00094536i,-0.00017671+0.00037357i,-0.00048029-0.00039548i,-0.00080318+0.00010581i,-0.00052351+0.0010654i,-8.0309e-06+0.0014216i,0.00027278+0.0012771i,0.00018887+0.0006926i,-0.00028696-3.6203e-05i,-0.00023786+5.2947e-05i,-0.00013185+0.00089058i,-0.00035504+0.00091684i,0.00034917+0.00033298i,0.00054118+0.00010561i,-0.00010026-0.00020418i,-0.00028186-0.00062604i,0.00010953-0.00039596i,-0.0005535-2.2928e-05i
-0.00088073+0.00029209i,-0.00054957-0.00024447i,-0.0013698+0.00085455i,-0.0011923+0.0019718i,-0.0002975+0.002471i,0.00029979+0.0019214i,0.00088905+0.00081345i,0.00099695-0.00027839i,0.00032761-0.00029261i,-0.0004933-4.1992e-05i,0.00022922-0.00029628i,0.00041901-0.00063947i,-0.00038196-0.0010747i,-0.00066848-0.0007819i,-0.00046052-0.00032828i,-0.00029531-0.00013829i,-0.00020899-0.00027671i,-6.789e-05-0.00059247i,-0.00041498-0.00029879i,-0.00062788+0.00045307i,0.00027728-5.3316e-05i,0.00085911-0.00087318i,0.0006148-0.00057326i
0.0007249-0.00097347i,0.00052952-0.00029869i,0.00043393+0.00067496i,5.5302e-05+0.00052917i,2.7306e-05+0.0003658i,0.00073267+0.00029236i,0.0010998+3.9316e-05i,2.036e-05-2.8996e-05i,-0.00070706-0.00020909i,-0.000123+0.00053332i,0.00014174+0.00059673i,-0.00012215-5.9822e-05i,-0.00053765-4.7986e-05i,-0.00031934-0.0005986i,0.00077084-0.00098988i,0.00081949-0.00017629i,-0.00042316-1.202e-05i,-0.00077428-0.00024708i,9.3215e-05+0.00062082i,0.00044107+0.0011318i,-1.74e-05+0.00064912i,0.00011443+0.0002283i,0.00072555-0.00030095i
-0.00035635+0.0010739i,-0.00099122+0.00084398i,-0.00029713+0.0014493i,0.00076853+0.0012915i,0.00060867+0.00095311i,3.3644e-05+0.00099923i,0.00040628+0.00046939i,0.00019379-0.00067613i,-0.00075369-0.00035352i,-0.00074227+0.00048254i,-0.00022939+0.00038219i,6.9052e-05-0.00077726i,0.00051879-0.0008709i,0.00021582+2.7648e-05i,-0.00066188-0.0002223i,-0.00015971-0.00011327i,-0.00021795+0.00026865i,-0.00070881+0.00060372i,0.00015451+0.0001719i,0.00081844+0.00036874i,0.00059229+0.00060262i,0.00044477-0.00012523i,0.00047538-0.00070937i
0.00022559+0.00084159i,0.00044666+5.7572e-05i,0.00038091-0.00077165i,-0.00017369-0.00022541i,-0.00056123+0.00073042i,-0.00057647+0.001262i,0.00040472+0.00057741i,0.0011875-0.0001969i,0.00020983-0.0005374i,-0.00047994-0.00026452i,0.00036055+0.00043542i,0.00032137+0.0002951i,0.00011298-0.00052964i,0.00015817-0.00056472i,-0.00026252+0.00016733i,-0.00032282+0.00046325i,-0.00050448+0.00022732i,-0.00095871-0.00040983i,-0.00054893-0.00046821i,-0.0002918-6.8111e-05i,-6.47e-05+0.0001348i,0.00076746+0.00083205i,0.00075951+0.0011259i
-0.0010088-0.00092008i,-0.0003483+0.00020405i,-0.001325+0.00053003i,-0.0015995+0.00099105i,-0.00020945+0.0016475i,0.00096924+0.0015863i,0.001049+0.00063101i,0.00049714-0.00052991i,-0.00016615-0.0008383i,-8.7308e-05-0.00014784i,0.00054477-0.00031277i,0.00069647-0.00024454i,0.00072665-0.00010107i,6.5912e-05-0.00053298i,-0.0011424-0.00061806i,-0.00097886+0.00018438i,-0.00017628+0.00061096i,0.00014524+0.00080502i,0.0003316+0.0014238i,0.00059967+0.0014289i,0.00027342+0.00026129i,-2.5095e-05-0.00039624i,0.00018855-0.00044717i
