0.000374+0.00034737i,0.00053064+0.00028064i,0.00032336-0.00026226i,-0.00035839-0.0008752i,-0.0011478-0.00064232i,-0.0016052+0.00031269i,-0.00070029+0.0013325i,0.0012198+0.0024655i,0.0022542+0.0023013i,0.0016518+0.0014505i,9.8029e-05+0.00097788i,-0.00014328+0.00059776i,-0.00019662+0.00061173i,-0.0010839+3.8789e-05i,-0.00096602-0.00058426i,-0.00028389-0.00021092i,0.00062632+0.00026582i,0.00061735+0.00052361i,6.2857e-05-7.876e-05i,-0.00039064-0.0013748i,-0.00057138-0.0016627i,-0.00020515-0.00089203i,0.00038184-0.00057849i
-0.0010065+0.00072543i,-0.00033085-0.00029267i,0.00023273-0.0007432i,0.00093104-0.000355i,0.0012441-0.0001649i,0.0010624-0.00029777i,0.00041965+0.00024288i,-0.0001079+0.0018415i,-2.2305e-05+0.0021706i,0.00086446+0.001146i,0.00078431+0.00030322i,-0.00011909-9.1262e-05i,-0.00040904-0.0004214i,-0.00064796-0.00047783i,-0.00037132-0.00019649i,0.00041245-0.00022344i,0.00054905+0.00032694i,0.00043347+0.00079777i,5.4957e-05+0.00055981i,-0.00019039+0.00037705i,-0.00015349-0.00033818i,-0.00022794-0.00097509i,-5.8776e-05-0.0006375i
-5.8446e-05+0.0011465i,0.00018659-0.00025378i,0.00076555+0.00045382i,0.0004253+0.00047644i,-0.00032282-0.00083901i,-0.00039967-0.00045881i,-0.00029992+0.00089062i,-0.00017754+0.0018012i,0.00047328+0.0019879i,0.00094485+0.0012429i,0.00070187+0.0011107i,0.00027371+0.0014211i,0.0005138+0.00055026i,0.00091169-5.2974e-05i,0.00078929+0.00038218i,0.0011773-0.00022984i,0.00058579-0.0007868i,2.925e-06-0.00083747i,0.00043394-0.00047614i,4.7012e-05-2.8937e-05i,-0.00067841-0.00017822i,-0.00077638-0.00015227i,-0.00056975+0.00020366i
-0.00051831+0.00011292i,-0.00053328-7.683e-05i,-0.00077621-0.00052548i,-0.0011312-0.0014201i,-0.00087787-0.0014969i,-0.00066831+6.8717e-05i,-0.00031106+0.0014087i,0.00034635+0.0016007i,0.00026357+0.0017747i,-0.00015918+0.0012574i,0.00011785+0.00065557i,0.00024389+0.00078889i,-0.00035304+0.00098408i,-0.00059734+0.00066846i,-0.00014464+0.00039794i,-0.00037703-0.00017286i,-0.0011118-0.0010226i,-0.00080848-0.00078283i,-0.00024716-6.524e-05i,0.00056812-0.00013939i,0.001106+7.2779e-05i,0.00030433+9.9349e-05i,5.1708e-05-0.00063441i
-0.00063854-0.00046526i,-4.1844e-05+8.0382e-05i,0.00066835+0.00063944i,-2.2593e-05+0.00059685i,-0.00049691+6.1146e-05i,0.00027105-0.00010661i,0.00056915+0.00097174i,0.00033208+0.0020401i,-6.1678e-05+0.0015718i,-0.00052446+0.00035184i,-9.7179e-05-0.00033144i,0.00037397-0.00054522i,0.00023698-0.00056148i,0.00019308-0.00010491i,-0.00028895-5.9891e-05i,-0.00079013+0.00016043i,-0.0011011+0.00033426i,-0.00069106+0.00031374i,0.00023468-0.00025892i,0.00042789-0.00097341i,0.00066162-0.00014585i,0.00071148+0.00028792i,0.00032332-0.00018224i
0.00067323-0.0004694i,0.0014384-0.00093439i,0.001483-0.00047461i,4.0949e-05-0.00031429i,-0.00077658-0.00011591i,-0.00056435-0.00010876i,-0.00014031-0.00017318i,7.9318e-05+0.0004984i,0.00028708+0.00030834i,0.00073207-0.00022239i,0.00050913+6.1402e-05i,0.00041471+0.00035277i,3.888e-05+0.00086647i,0.00031949+0.00060284i,0.0010823-0.00026794i,0.00077465+0.00012865i,0.00024609+0.00088919i,0.00039463+0.00069448i,0.00060976+3.742e-05i,9.2603e-05+0.00018703i,8.0184e-05+0.00033443i,0.00069204+0.00036018i,0.00073237+0.00047325i
0.00028159-9.7638e-05i,0.00054867+0.00017336i,0.00020935-0.00099455i,-0.00052681-0.0015168i,-0.00071294-0.0013552i,-0.00027907+7.483e-05i,-0.00033824+0.0015327i,-0.00013819+0.0015507i,6.3849e-05+0.00049469i,1.7298e-06-0.00037354i,-0.00023909-0.00039521i,-0.00046513+7.7288e-05i,8.2734e-05-0.00038441i,0.00022428-0.00033461i,-1.9116e-05-0.00012293i,-0.00034982-0.00081504i,-0.00068432-0.00061803i,-0.00047644-0.00034016i,-7.686e-05-0.00067398i,-0.00037582-0.00061686i,-0.00038867-0.00029073i,-0.0004625+4.8293e-05i,-0.00066957+4.3207e-05i
0.0017313-0.0016458i,0.0014446-0.0010085i,0.0002351-0.0010526i,-0.0013212-0.00058948i,-0.0017867-0.00046029i,-0.0007499-0.00040255i,0.00012727+5.2649e-05i,0.00035331+0.00049728i,0.00056295+0.0011364i,0.00019612+0.001335i,-0.00050448+0.00097915i,-0.00015564+0.0001943i,0.0001493+0.00052749i,0.00011556+7.0114e-05i,0.00022071-0.0011968i,-2.8877e-05-0.00099519i,0.00021553-0.00062574i,0.00039577-0.0001453i,0.00032537+0.00047441i,0.00045144+0.00040951i,0.00033713-0.00027102i,0.00070842-0.00031697i,0.00084559+0.00011432i
0.00078073+0.0011343i,0.0001063+0.0012157i,0.00022865+0.00044213i,0.00050061-0.00064033i,0.00022416-0.00061943i,-0.00028392-0.00013578i,0.00016663+0.00050352i,0.00091774+0.00054652i,0.0011779-9.5112e-05i,0.00048722-0.00051278i,-0.00033306-0.00038867i,-0.0007794-0.00018078i,-0.00068308-0.0001023i,-0.0001513+0.00063022i,7.6428e-05+0.00053253i,-0.00013821-0.00030104i,0.00022654-0.00030256i,0.00029542-0.000555i,-0.00031783-0.0012322i,-0.00059994-0.0006365i,-0.00075801-8.3459e-05i,-0.00067749-0.00057903i,-4.9863e-06-0.00042646i
-0.0019216+0.00077403i,-0.0012604-0.00064872i,-0.00068331-0.00081088i,0.00029036-0.0012492i,0.00099496-0.00068318i,0.00025155-0.00061635i,-2.2855e-06-0.0005583i,0.00080353+0.00089592i,0.00088703+0.001967i,0.00049466+0.0017021i,0.00070346+0.0013476i,0.00083283+0.0014016i,0.00099765+0.00092995i,0.00028242+0.00048918i,-0.0010121+0.00066912i,-0.0007987+0.00023002i,0.00013785-0.00029815i,0.00020771-0.00010358i,-5.4343e-05+0.00048033i,-1.1385e-05+0.00035404i,0.00034863-0.000521i,0.00027575-0.00055516i,-0.00048938-0.00036426i
0.00098037+0.00060979i,0.0015802-0.00021435i,0.0011556+8.1204e-05i,0.0001259+1.9424e-05i,-0.00026752-0.00058151i,-0.00017057-0.00011114i,-2.1665e-05+0.0013394i,-3.9673e-05+0.0022705i,0.00045229+0.0019268i,0.0002623+0.00068351i,-0.00050876-0.00059838i,-0.0009271-0.00032643i,-0.00068405+0.00020233i,0.00028005+0.00031281i,0.00053599+0.00048132i,0.00086057+0.00017098i,0.0011434-8.1114e-05i,0.00038948+0.00018939i,-0.00030341+0.00025302i,-0.00088904+0.00021949i,-0.0013073+0.00014068i,-0.00013057-0.0001265i,0.00051688+0.00029563i
