0.000374+0.00034737i,0.00053064+0.00028064i,0.00032336-0.00026226i,-0.00035839-0.0008752i,-0.0011478-0.00064232i,-0.0016052+0.00031269i,-0.00070029+0.0013325i,0.0012198+0.0024655i,0.0022542+0.0023013i,0.0016518+0.0014505i,9.8029e-05+0.00097788i,-0.00014328+0.00059776i,-0.00019662+0.00061173i,-0.0010839+3.8789e-05i,-0.00096602-0.00058426i,-0.00028389-0.00021092i,0.00062632+0.00026582i,0.00061735+0.00052361i,6.2857e-05-7.876e-05i,-0.00039064-0.0013748i,-0.00057138-0.0016627i,-0.00020515-0.00089203i,0.00038184-0.00057849i
0.00058669-0.00020549i,0.00052843-0.00039468i,0.00071281-0.0009997i,0.0010771-0.0010733i,0.00098107-0.00067901i,0.0006916-0.00032487i,-0.00035891-0.00049941i,-0.0012339+0.00065861i,-0.0010404+0.0020609i,-0.00070705+0.0013333i,-0.0007202+0.00090046i,-0.00088001+0.0015005i,-0.00071606+0.00098734i,-0.00011823-0.00012559i,-0.0003417-2.4394e-05i,-0.00036788+0.00017906i,0.00024115-0.0002405i,-0.00013253-0.00022773i,-0.0008561-0.00011296i,-0.0010343-6.7806e-05i,-0.00064101-7.5522e-05i,7.0747e-05-0.00046212i,0.00025036-0.00064159i
0.0014711+0.00070455i,-0.00027588-0.00031883i,-0.00058587-0.0009992i,-0.0010524-0.0012695i,-0.00078484-0.0017084i,0.00028981-0.00096313i,0.00016629+0.00033306i,-3.2849e-05+0.0010731i,0.00011799+0.0013515i,0.000571+0.0010468i,0.0001203+0.001086i,-0.00018232+0.00076434i,-0.00049793+0.0003424i,-0.00074696+0.00029885i,0.0002431-0.00038968i,0.0002665-0.00082458i,-0.00023011-0.00090048i,-0.00024567-0.00035897i,-0.00013819+0.00039696i,-0.00057643+0.0010317i,-0.00084251+0.00077259i,-0.00011812-8.2374e-05i,0.0002847-0.00052287i
0.0018007+0.00099836i,0.0019381+4.0615e-05i,0.002306-0.0003264i,0.0018695-0.00041825i,0.0011801-0.00029053i,0.00053087-0.00023382i,0.00058751+6.6832e-05i,0.00027196+0.0019844i,-0.0003555+0.0028174i,0.00024934+0.001813i,0.00025454+0.00097831i,-0.00038357+0.00032894i,0.00018031+0.0003251i,0.0003139+0.00035415i,0.000456-0.00036163i,0.00051973-0.00087191i,-4.813e-05-0.00065099i,-0.00056955-9.2621e-06i,-0.00027545+0.00069572i,-0.00019116+0.00090826i,0.00012918+0.00047988i,0.00023149+0.00038203i,-0.00038467+0.00043418i
-0.0021314+0.00022195i,-0.0016272+0.0003188i,-0.000907+0.0010327i,-0.0013638+9.681e-05i,-0.0011684-0.00090422i,-0.00066007-0.00015726i,-0.00034171+0.00079426i,-8.1084e-06+0.0013408i,0.00082019+0.0010417i,0.0015743-9.8197e-05i,0.00057353-0.001325i,-0.00028392-0.0012598i,-0.00017995-0.00044716i,-0.00021296-0.00027418i,-0.00019879-6.9326e-05i,0.00010933+0.00013291i,0.00070813+0.00071851i,0.00057266+5.3552e-05i,0.00037373-0.00046638i,0.00025096+0.00028659i,0.00067463-6.9019e-05i,0.00053663-0.00082418i,2.5925e-05-0.00099609i
2.4005e-05+0.00089689i,-0.00054178+0.00023595i,0.0012748+0.00029791i,0.0018541+0.00058105i,0.00090436+0.00038498i,9.5805e-05+0.00055784i,-0.0010783+0.00073084i,-0.0006476+0.0010473i,0.00057496+0.0014923i,0.00080138+0.00096361i,0.00078176+0.00036627i,-8.188e-05+0.00017538i,-0.00085711-0.00019069i,-0.00053528-0.00026732i,-5.9939e-05+0.00046947i,0.00032464+0.00030467i,-0.00043831-0.00037308i,-0.00093016-0.00074993i,-9.6233e-05-0.0007812i,0.00018086-0.00057855i,0.00015947+0.00011868i,0.0004129+0.00086193i,3.8229e-05+0.0010077i
-0.00030148-0.00088096i,-7.2767e-05-0.00098099i,5.53e-05-0.0021873i,0.00038871-0.0025695i,0.00042356-0.0018772i,0.00067012-0.0011645i,0.00046816+0.0002736i,-0.00044715+0.001868i,0.00022478+0.0017054i,0.00084019+0.00121i,3.3104e-05+0.0014332i,-0.00087208+0.0016848i,-0.00092643+0.00061454i,-0.00055724-0.0007914i,0.00034546-0.00081642i,0.00031674-0.00017933i,-0.00061412+0.0001258i,-0.0004243+0.00070377i,-0.00060839+0.00091592i,-0.00062639+0.00076443i,0.00016988+0.00019184i,7.2904e-05+0.00022039i,0.00012398+0.00010191i
-0.00082407-0.0012881i,-0.00012425-0.0012964i,0.00071234-0.00095946i,0.00027578-0.00094427i,-0.00037356+0.00054983i,0.00028164+0.0012361i,0.0008301+0.00051982i,0.00081404+0.0011029i,0.0006372+0.0015124i,0.00033827+0.001063i,0.00020889+0.00039609i,-2.3845e-05+0.00027458i,9.9094e-05+0.00059576i,-0.00030336+0.00024058i,-0.0010925+3.0402e-05i,-0.00063561+0.00037823i,0.00020322+0.00027161i,0.00023577-0.00062732i,0.00054346-0.0011192i,0.00087053-0.00040029i,0.00091927-0.00015378i,0.00068729+7.3268e-05i,0.00051497+0.00093775i
0.00040392+0.00056311i,-0.00027931-0.00032876i,-0.00022441-0.00080188i,0.00053819-0.00078489i,0.00046658-0.0010117i,-0.00080793-0.00089553i,-0.0012554+0.0005863i,-0.00032015+0.0016453i,0.00088432+0.001831i,0.00052893+0.001709i,-0.00052364+0.00075164i,-0.00049285-0.00058024i,0.00022073-0.0007754i,0.00075869-0.0004054i,0.00058777-0.00031385i,0.00064939-2.743e-05i,0.00093167+0.00057106i,0.00044755+0.00015415i,9.1709e-05-0.00044654i,0.00023112+0.00029991i,0.00032689+0.00094123i,-0.00017135+0.0011869i,-0.00055647+0.00090418i
-6.901e-05+0.00014843i,0.001279+0.00060659i,0.0018748-4.8318e-05i,0.0014713-0.0014852i,0.00070962-0.0014342i,-6.2509e-05-0.0014978i,-0.00015364-0.0001411i,0.00015736+0.0018714i,0.0010731+0.001836i,0.0011194+0.00075523i,0.00030689-0.00028751i,0.00016956-0.00041549i,0.0011057+0.00020815i,0.0010091+0.00010631i,9.4701e-06-0.00045879i,9.8584e-05-0.00017288i,0.00021484-0.00020196i,0.0008715-0.00024049i,0.0013465-0.00052868i,0.00098809-0.00044472i,0.0002235-2.7475e-05i,0.00037001+0.00015178i,0.00039598+0.00029585i
0.001004-0.00031932i,0.00036043+5.9556e-06i,-0.0003353-0.00053286i,-0.0011932-0.00088907i,-0.00079135-0.00048029i,-9.4664e-05+0.00025438i,-0.00012153+0.00090858i,0.00011978+0.0016658i,0.00078434+0.0017257i,0.00044011+0.00074779i,-0.00078847+0.00021103i,-0.00089777+0.00022114i,-0.00028445-0.0010249i,0.00031387-0.0014537i,0.0007062-0.000713i,0.00064261-0.00062987i,0.00044858-0.00025739i,8.3253e-05-6.3218e-05i,-0.00015982-0.00017121i,0.0001155+0.00028182i,0.00045156+0.00072811i,0.00056747+0.00064494i,0.00032133-0.00043821i
-0.00014113-0.000607i,0.00081026-1.5064e-05i,0.00035787-0.0008658i,-0.00080852-0.0017955i,-0.0012064-0.001537i,-0.00010984-0.00065282i,0.00042857+0.00033767i,0.0004233+0.0013547i,0.0002138+0.0014684i,-0.00018276+0.00065841i,-0.00029832+4.5003e-05i,0.0001166+0.00017496i,0.00051992+0.00062418i,0.00043288+0.00060475i,0.00035005+0.00040988i,-0.0001579+0.00016985i,-0.00037925+0.00016007i,-7.8393e-05-5.5931e-05i,-9.871e-05-0.00079937i,0.00032727-0.00062971i,0.0002089-0.0001414i,0.00045022+0.00059279i,0.00060607+0.00053421i
0.0014755-0.00037366i,0.000743+0.00037956i,-0.00050955-0.00063904i,-0.00027344-0.0012581i,-0.00059329-0.00045188i,-0.0010159+0.0011843i,-0.0003202+0.0016637i,0.00039824+0.001509i,0.00061356+0.00089766i,0.00061952-0.00030304i,0.00042781-0.00057194i,0.00079399+0.00035171i,0.00086652+7.1882e-05i,-3.209e-05-0.00075146i,-0.00034615-4.1258e-05i,-1.7066e-05+0.0001703i,-0.00015087-0.00027571i,-0.00078897-0.00018841i,-0.00053175+0.0001167i,0.00040267+0.00022066i,0.0012199+0.00031887i,0.0010083-2.1443e-05i,0.00070616-0.00031277i
-0.0007211-0.00049042i,-3.9428e-05-0.00090008i,-0.00040903-0.00084375i,-0.0011433-1.9973e-05i,-0.00067792+3.3462e-05i,0.00047666-8.1667e-05i,0.00065368+0.00035016i,-0.0001465+0.0015564i,-0.00057205+0.0019919i,-0.00076776+0.0013811i,-0.00090062+0.00036784i,-0.00087293-0.00029367i,-0.00069339+0.00011074i,-8.7487e-05+0.00010534i,0.00059793-0.00029936i,0.00057768-0.0005983i,0.00061415-0.00065101i,0.00058205-0.00050897i,-0.00024639-0.00014098i,-0.00042573+6.5167e-07i,2.9703e-05-0.00036433i,0.00025424-0.00061195i,0.00040061-0.00031024i
-0.00011684+0.00061988i,4.8331e-05+0.0011277i,0.00053928+0.0011702i,0.001082+0.0003559i,0.0012646+0.00029764i,0.0008706+0.00032291i,0.0012395+0.00084821i,0.00071358+0.0015029i,-0.00025411+0.0012895i,-0.00042173+0.00036542i,-0.00050243-0.00070663i,0.00026659-0.00025704i,0.0010877+0.00033524i,0.00081765-8.0181e-05i,6.7316e-05-0.00036286i,-0.00012594+1.0205e-05i,0.00038196+0.0002624i,0.0012833+0.00013402i,0.0013997+0.00020335i,0.00058987+0.00045281i,0.00012185+0.00035048i,0.00057673+0.00073829i,0.00082647+0.00098196i
0.00012525-0.0012736i,1.3766e-05-0.00095047i,0.00051954-0.0015642i,0.0010525-0.0021225i,0.0013817-0.0014588i,0.00084311-0.00037544i,0.00024525+0.00036783i,0.0008909+0.00088572i,0.0010673+0.0018797i,0.00077099+0.0017729i,0.00067038+0.00075201i,0.00045955+0.00035022i,5.0475e-05-1.0373e-05i,0.00021835-0.00034212i,0.00043656-1.9598e-05i,0.00067842+0.00064633i,0.0011649+0.00087762i,0.00057081+0.00016049i,-0.00033363-0.00027229i,0.00037499+9.6143e-05i,0.00045927+0.0002254i,-0.00013626+0.00067875i,0.00046711+0.0010705i
0.00067301+0.00076017i,0.00039831+0.00016014i,0.00017692+0.00010136i,0.00014097+0.00059424i,0.00073972-6.2647e-05i,0.00066692-0.00027443i,-0.00011179+0.00094702i,-0.00059656+0.0018691i,-6.587e-05+0.0018868i,0.00090447+0.00089457i,0.00083851+0.00026369i,-8.5779e-05+0.00056608i,-4.1196e-06+0.00022726i,-0.00012227-0.00042463i,-0.00050082-0.0010635i,-0.00071187-0.0011303i,-0.00070479-0.0006655i,-4.8461e-05+0.00032443i,8.4766e-05+4.2937e-05i,-0.00024524-0.00063268i,-0.0002704-0.00058756i,-0.00036595-0.00014383i,-0.00015934-0.00017559i
0.0018734+0.00070871i,0.0012146+0.00037086i,0.0010608-0.0012642i,0.00029335-0.0018636i,-0.00035154-0.0013356i,-0.00041132-0.0007528i,0.00029371+0.00072727i,0.0015611+0.002134i,0.0019241+0.0020396i,0.00092098+0.0011648i,-0.00016675+0.00035978i,-0.00067004+0.00022187i,-0.00027798+0.00040048i,-0.00018775+0.00028001i,-0.0001841+7.9493e-05i,0.00039732-0.00015567i,0.00022099-0.00060842i,-0.00062376-0.00048628i,-0.00031007+0.00026105i,0.00054399+0.00036276i,0.00050763+0.00033793i,-6.1209e-05+0.00011003i,-0.00035909+0.00014962i
0.0022444+0.00018714i,0.0010591+0.00037982i,0.00062984-0.00017741i,0.00059613-0.0012839i,-0.00034288-0.001162i,-0.001229+0.00067279i,-0.00055185+0.0016948i,-0.00028868+0.0021379i,0.00043936+0.0021447i,0.0010933+0.0015925i,6.7643e-05+0.00069648i,1.4897e-05-3.6667e-06i,0.0009882-2.8422e-05i,0.001103-0.00016071i,0.00058205-0.00031988i,0.00016539-0.00018267i,-0.0007367+6.9464e-05i,-0.00090858+0.00047522i,-0.00071178+0.00084934i,-0.00018896+0.00094775i,0.00034646+0.0003017i,0.00030188-0.0007871i,0.0003484-0.0012265i
0.001224-0.00030437i,0.00044957-0.00057212i,-0.00069585-0.0013635i,-0.0012567-0.0013144i,-0.00081161-0.0012582i,0.00034824-0.00051891i,0.00091264+0.0010111i,0.00065741+0.0016756i,0.00060702+0.00046524i,0.00084246-0.00013941i,0.00039238+0.00017362i,6.787e-05+0.00056269i,-0.00015068+0.00053069i,0.00032012-0.00017608i,0.0008199-0.00010589i,0.00061308-5.9765e-05i,0.00078287-0.00084846i,0.00073864-0.00084873i,0.00024808+0.00044135i,0.00031183+0.0010156i,0.00041221+0.00044625i,7.6296e-05-6.3522e-05i,-0.00011462-0.00067838i
0.00083924-0.00096615i,0.0010959-0.00018399i,-0.00025183+0.00028822i,-0.00065223+0.00024409i,0.00026522+0.00019031i,0.00073419+0.00059545i,0.00088534+0.0011465i,0.0012026+0.0019905i,0.00053532+0.0021928i,0.00015911+0.00075211i,0.00072173-0.0001989i,0.00039342+9.4248e-05i,-0.0001233-6.7956e-05i,-0.00065807-0.0004669i,-0.00020881-0.0010399i,0.00090641-0.00091154i,0.00029715-0.00026817i,-0.00029463+0.00025582i,-0.00022174+0.00045215i,-0.00019632-5.1929e-05i,0.00043455+5.121e-05i,0.0011622+0.00016442i,0.0011964+0.00010007i
0.0004165-0.0013826i,0.00039895-0.00080261i,0.00016412-0.0010719i,-0.00028826-0.00063465i,-0.0011886+0.00011679i,-0.0017608+0.00051877i,-0.0014373+0.00096904i,-0.00068634+0.0015966i,0.00020857+0.001024i,0.00052665+0.00048226i,0.00082448+0.00054207i,0.00032602+0.00063511i,7.0039e-05+0.0005052i,0.00018592-0.0003698i,-5.0509e-05-0.00077969i,-0.00026285-7.563e-05i,-0.00047203-0.00015082i,4.7236e-05-0.00053431i,0.00052181-0.00041564i,0.00027639-0.0007593i,0.00033729-0.0008547i,0.00033838-0.00019129i,-3.7133e-06-0.00033424i
0.00124+3.4554e-06i,0.0019663-0.00084069i,0.0016185-0.0011357i,0.0012189-0.00043619i,0.00051093+0.00033913i,5.4247e-05+0.00023973i,8.4294e-05+0.00080945i,-0.0005597+0.0011762i,8.7108e-05+0.00075465i,0.00098225+0.0008992i,3.8614e-05+0.00045956i,-0.00088667-0.00017304i,-0.00091928-0.00043262i,-0.00082385-0.00063308i,-0.00050569-0.00080844i,0.00012096-0.00060804i,-0.00011269-0.00024158i,-0.00072062+2.9686e-05i,-0.00054234+0.00064443i,-6.7296e-05+0.0011599i,-0.00019519+0.00087792i,-0.0001481+0.00082118i,0.00033644+0.00021118i
0.0010988-0.00039653i,0.00089831-0.00024499i,0.00065399-0.00053341i,-0.00016065-0.0012743i,-0.00097901-0.0015001i,-0.00088664-0.00024342i,-0.00040791+0.0008508i,-0.00021303+0.002085i,-0.00026986+0.0017477i,-0.00047477-1.6342e-05i,-0.00066963-0.00065396i,-3.2409e-05-0.00029201i,0.00074937-0.00015704i,0.00053997-0.00049005i,0.00058054-0.00043899i,0.00061366-0.00046087i,0.00026442-0.00070117i,-0.00040243-0.00066718i,-0.00042396-0.0001443i,1.3278e-05-9.3812e-05i,0.00041408+0.00012275i,0.00068028+0.00042434i,0.00075432-8.2936e-05i
-0.0014622+0.00092021i,0.00046066+0.00076881i,7.7663e-05+0.0011003i,-0.00096392+6.037e-05i,2.4717e-06-0.00076768i,0.00038449-0.0010014i,-0.00041895-0.0003146i,-0.00072968+0.0016426i,-0.0003083+0.002647i,-9.7735e-05+0.0014552i,9.1608e-05+0.00066453i,0.00014497+0.001131i,-4.6769e-05+0.0010872i,0.00038336+6.7298e-05i,0.00039879-0.00026034i,-0.00042573+0.0005065i,-0.0006037+0.00075932i,8.3278e-05+0.00019602i,0.00074604-0.00014957i,0.0007595-0.00069194i,0.0003234-0.0016416i,0.00024532-0.00098629i,0.00019548+2.5076e-05i
-0.0010445+1.0748e-05i,-0.0011294-0.00017228i,-0.0007625-9.398e-05i,0.00077457+0.00013861i,0.0016616+0.00018617i,0.00068497+2.3428e-05i,-0.00046789+0.001028i,-0.00032018+0.0017021i,-0.00028368+0.001917i,0.00031939+0.0011505i,0.00058585+0.00062652i,-0.00032107+0.00029141i,-0.00096353-0.0003338i,-0.0002465-0.00038353i,0.00037641-0.00023122i,0.00030906+2.5369e-05i,-3.7089e-05+0.00028931i,-0.00049534+0.00019815i,-0.00010049+0.00016747i,3.5134e-06+0.00059964i,0.00038633+0.00076302i,0.00079385+0.00050472i,9.1497e-05-7.0847e-05i
8.535e-05-0.00089576i,0.00098745-0.0015647i,0.0015597-0.0026161i,0.0012612-0.0025481i,0.00058097-0.0022363i,0.00016744-0.0017114i,-0.00032503+0.00011199i,-0.00019672+0.0018686i,0.00038424+0.001974i,6.5492e-05+0.0010483i,-0.00061278+0.0007813i,-0.00066538+0.0010207i,-7.6682e-05+0.00070341i,-0.00017762+0.00014329i,-0.00036853-0.00028811i,0.00020677-0.00033801i,0.00040215-0.0002701i,-0.00012297+0.00036767i,-0.00023294+0.0001797i,2.2089e-05-0.00041119i,0.00016743-0.00015108i,0.00075564+0.00025436i,0.00045784+0.00035503i
0.00074364-2.6612e-05i,7.4649e-05-0.0010556i,-5.4046e-05-0.00075474i,-0.00019439+0.00063232i,-0.00092679+0.0017737i,-0.00092762+0.0013263i,-0.0002846+0.00023964i,0.00026841+0.00038728i,0.00050689+0.0012095i,3.9175e-05+0.0015473i,-0.00055427+0.00075242i,-0.000645-0.00048338i,-3.3934e-06-0.00072071i,0.00070696-0.0001164i,0.00084069-0.00024576i,0.00034923-0.00053886i,-0.00033662-0.00072529i,-0.00037766-0.00018355i,0.00013589+0.00028153i,0.00070422-0.00020041i,0.00058678-0.00065994i,0.00044626-0.00064886i,0.00014197-0.00051632i
-0.0011348-0.00031953i,-0.00070098-0.0005806i,-0.00049455-0.0015103i,0.00045905-0.0015462i,0.001154-0.00017385i,0.00060449-0.00023333i,0.00034741-0.0007582i,-0.00026942+0.00064972i,-0.0007929+0.0017862i,-0.0005678+0.0012659i,-0.00073569+0.0014i,-0.0010758+0.0016135i,-0.00083102+0.00094009i,-0.00020996+0.000119i,-0.00043174-0.00079947i,-0.00070345-0.00095405i,-0.00077343-0.0002848i,-0.00085387-0.00025477i,-0.0011473-0.00078651i,-0.0007711-0.00070745i,0.00057411+0.00014331i,0.001074+0.00065829i,0.00082298+0.00038088i
-0.0005461-0.00024351i,-0.0004156-0.0011137i,-0.0005405-0.0011665i,-0.00015649-0.0001256i,0.00014196+2.4685e-05i,0.0005927+0.00012827i,5.861e-05+0.00083675i,-0.00045869+0.0019654i,-0.0001156+0.0015965i,0.00062874+0.00065175i,0.00088209+0.00073703i,0.00020786+0.00039849i,-0.00047451-3.6939e-05i,-0.00084186-0.0003879i,-0.00095498+0.00050559i,-0.00013323+0.00076334i,0.00018912+0.0001066i,0.00017149+0.00037816i,0.00022606+0.00093302i,9.1538e-05+0.00070752i,0.00053946+0.00017881i,0.00065103-0.00025728i,0.00051265-0.00073258i
0.00040148+0.00094289i,0.001082+0.00087259i,0.0019409-9.041e-05i,0.0024607-0.00072343i,0.0020728-0.00071955i,0.00056632-0.00051322i,0.00025525+0.00021337i,0.00037529+0.0017239i,0.00052405+0.0022203i,0.00025381+0.0013314i,-0.0002753+0.00013867i,0.00015391-0.00023863i,0.00079477+5.5965e-05i,0.00082065+0.00016958i,0.00023459-9.6296e-05i,0.00018258-0.00053229i,0.00043083+2.2224e-05i,0.00021569+0.00046384i,-0.00033143+0.00028152i,-0.00052876+0.00018168i,0.00012081+0.00048051i,0.00075268+0.00021525i,0.00082197-0.00062864i
-0.00060944+0.0011056i,-0.001031+0.00019544i,-0.00031099-0.00034209i,-0.00025927-0.00043821i,-0.0006068-0.00018746i,8.5399e-05+5.816e-05i,0.00018347+0.00023176i,0.00013603+0.0014338i,0.00027633+0.0031242i,0.00048786+0.0018307i,0.00014814-0.00031217i,-0.00045938+8.7228e-05i,-0.00026632+0.00080252i,-6.822e-05+0.00090566i,-0.00029074+0.00076296i,0.00023799-0.00044813i,0.001123-0.00047671i,0.00066907+0.00019236i,-0.00057676-7.0737e-05i,-0.00096643-0.00017048i,-0.00096507+8.9233e-05i,-0.00033649+0.00033699i,0.00010982+0.00017907i
0.0017326+0.00016898i,0.002076-0.00065889i,0.0020639-0.0019904i,0.0011779-0.0019873i,0.00022086-0.00030761i,-0.00080316+0.00097735i,-0.00062772+0.0013884i,9.1487e-05+0.0019904i,-4.2546e-05+0.0017623i,7.9656e-05+0.00036956i,-0.00054659-0.00018026i,-0.00058225+0.0003524i,0.00028319+0.0002562i,3.1937e-05-0.00055128i,-0.00031663-0.0010435i,-0.00018261-0.00089296i,1.4658e-05-0.0002659i,-0.00013406+0.00019807i,-0.00066458+0.00026734i,-0.0003247-7.1028e-06i,-0.00016487-0.00072672i,0.00013399-0.0008228i,-0.00017108+0.00015138i
-0.00032243+0.00037197i,0.00011778+0.00041945i,0.00030633+0.00031429i,0.00015917-0.00063692i,-4.2541e-06-0.0011082i,0.00083346-0.00044593i,0.00051824+0.00048742i,0.00020402+0.0015423i,0.00057919+0.0020366i,0.00054981+0.00086107i,0.00055939+0.00067705i,0.00053411+0.0016416i,0.00025375+0.0010373i,0.00042207+0.00055244i,0.00067856+0.00028953i,0.00038345-7.3098e-05i,0.00011826-0.00048987i,0.00030259+0.00012357i,0.00039463+0.00071266i,0.00057186+0.00045399i,0.0004518-0.00013863i,0.00031621-0.00055677i,-0.00029079-0.00061208i
0.00027935+0.00085559i,-0.0003963+0.00082286i,-7.6243e-06+6.672e-06i,-0.00011795-0.0006035i,0.00026225-0.00046642i,0.0003569+8.7823e-05i,4.1981e-05+0.00068204i,-0.00027696+0.0016935i,-0.0002381+0.0024192i,-0.00016251+0.0014236i,-0.00019854+0.00019599i,-0.00084473+1.5386e-05i,-0.00097744-7.2544e-05i,-0.00036707-9.5926e-05i,-6.5621e-05+0.00039993i,0.00068291+0.00029459i,0.0017354-0.00021033i,0.0015056-0.00066473i,0.00011715-0.00088236i,-0.00094952+1.3514e-05i,-0.0010447+0.00045522i,-0.00076637+0.00040052i,-0.00080239+0.00036404i
-0.0010589-0.0017409i,-0.0003277-0.0021008i,-0.00042736-0.0014457i,-0.00028831-0.00087443i,-0.00050922-0.00082584i,-3.5213e-05+0.00039694i,0.00013237+0.0011214i,-0.00056654+0.00092627i,-0.0014575+0.00087488i,-0.00097686+0.00071034i,0.00015442+0.00047933i,6.9583e-05+0.00047074i,0.000221+0.00020545i,0.00066905-0.00046932i,0.00036302-0.0011524i,0.00017133-0.0011249i,0.00043807-0.00020756i,9.7699e-05+0.0010809i,-0.00078528+0.00050173i,-0.00051078-0.00045378i,0.00047559-0.00033293i,0.00056976+7.8457e-07i,0.00013822+0.00043093i
0.0014262+0.00072926i,0.001142+0.0013655i,0.00097597+0.00070313i,0.00021706-0.00069484i,-0.00070983-0.0016296i,-0.00092487-0.00020165i,-0.00025522+0.0019817i,0.001019+0.0026209i,0.0018568+0.0021969i,0.0016015+0.0012423i,0.00096496+0.00034021i,0.00021049-0.00016667i,0.00066453-0.00026865i,0.0012264+0.00010071i,0.00056368+6.333e-05i,0.00017706-0.00037368i,0.00063386+0.00017526i,4.6152e-05+0.00084761i,-1.6945e-06+0.00044624i,0.00045708-0.00047235i,0.00029791-0.00076819i,-0.00018417-0.00037868i,-0.00055331-0.00033357i
0.0018346-0.0011875i,0.00067019-0.00093323i,-0.00020576-0.0011754i,-0.00039287-0.0017339i,0.00061465-0.0017109i,0.00046476-0.00028612i,-0.00042201+0.0016102i,-0.00044697+0.0016604i,4.6494e-05+0.00147i,0.00046437+0.00062034i,-0.00015799-0.00044287i,-0.00017148+0.0005i,0.00058105+0.00086947i,0.00054242-1.3149e-05i,0.00021114-0.00044634i,0.00051983-0.0011333i,0.00032311-0.0011201i,-0.00028558-0.00066012i,-0.00018643+2.9235e-05i,-0.00053225+0.00023327i,-0.00042203-0.00025833i,-0.00039247-0.00071104i,-0.00023995-0.00077409i
0.00057282+0.0017222i,1.6685e-06+0.0017505i,0.00041386+0.00050306i,0.0010605-0.00054688i,0.00042433+0.00017011i,-0.00018057+0.00097493i,-0.00025529+0.0007409i,0.00021032+0.0012427i,0.0004156+0.0017469i,0.00056191+0.00086073i,0.0005685-0.00024627i,-0.00037768-3.5443e-05i,-0.00072965+0.00035033i,-0.00046597+0.00069203i,8.2195e-05+0.00096878i,0.00074226+9.6148e-05i,0.00082205-0.00055471i,0.00027224-0.0004164i,0.00012083-0.0005683i,-0.00037939-0.00048738i,-9.2584e-05-0.00014599i,0.00057771+0.00055215i,0.00096747+0.00036205i
-0.00032131-0.0014041i,0.0010684-0.001142i,0.000927-0.0015276i,0.00044284-0.0022597i,0.00093541-0.0016313i,0.0012326-0.0002348i,0.001076+0.00066044i,0.00039307+0.00082203i,-0.00026315+0.00049391i,-0.00041683+0.00059311i,-9.3359e-05-0.00019688i,0.0003815-0.00090839i,0.00018809-3.731e-05i,0.0001086+0.00011907i,0.0002603-4.1544e-05i,-5.583e-05-1.1866e-05i,-0.00050615-1.2475e-05i,-0.00071895+0.0001834i,-0.00045361-0.00021627i,-0.00051274-0.00065189i,-0.0003868-0.00064813i,0.00034095-0.00015968i,0.00051131+1.1671e-05i
-0.00064142+0.0002436i,-0.00031774+0.00063134i,-0.00027484-9.3556e-05i,-0.00075544-0.0010082i,-0.0002702-0.00056244i,0.00056401-0.00014099i,0.00043172+0.00079149i,0.00016125+0.002077i,0.00033263+0.002251i,0.00073237+0.0022474i,0.00035879+0.0016648i,0.00030415+0.00056206i,0.000404+8.4677e-05i,0.00029782-2.1484e-05i,0.00069936+0.00035314i,0.00056502+0.0005358i,0.00040583-7.4553e-06i,0.00042462-0.00074147i,0.00022697-0.00074201i,-0.00024496-0.00053763i,-0.00022092-0.00040744i,0.00026831+0.00037072i,0.00011601+0.00066942i
-0.0010034-0.00099269i,0.00016783-0.00059826i,0.0017828-0.00019634i,0.0025216-0.00026913i,0.0012686-0.00074094i,6.1335e-05-0.00040083i,0.00011162+0.00054328i,0.00026687+0.001465i,8.5932e-05+0.0013749i,-6.1748e-05+0.0011466i,0.00035823+0.00076037i,0.00065494+0.00066473i,0.00043572+0.0002913i,0.0007471-0.00020657i,0.00092317-0.00045936i,0.00018622-0.00041201i,-0.0010704-0.00027271i,-0.00085868-0.0001912i,0.00032298-0.00011365i,0.00055078-5.115e-05i,0.00019201+0.00034468i,-0.00016072+0.00021608i,-0.0002106-0.00010054i
0.00070515+9.3572e-05i,0.0022161-0.00044338i,0.0012339-0.0013025i,6.0952e-05-0.0015507i,0.00057159-0.00074335i,0.00097638+0.00088887i,0.00037265+0.001823i,-0.00064869+0.0018632i,-0.00058701+0.0015226i,0.00015663+0.0013223i,0.00026945+0.0009918i,-0.00045792+0.00072357i,5.7376e-05+0.000342i,0.00076171+2.1583e-05i,0.00041331-0.00033532i,-0.00017908+0.00043634i,-0.0008732+0.00045882i,-0.00018936-0.00052182i,0.00035102-0.00093279i,-4.888e-05-0.00051471i,-0.00070796-0.00051185i,-0.00094058-0.00045645i,-0.00078653-4.382e-05i
-0.00051387+0.0014611i,1.8734e-05+0.0010489i,0.00069729-0.00034155i,0.00092751-0.00088114i,0.00030405-0.0011367i,-0.00045232-0.00074728i,-0.00038322+0.00071204i,4.3968e-05+0.0016943i,0.00047579+0.0017926i,0.00073784+0.0013316i,0.00068686+0.0012571i,0.00017372+0.00081878i,0.00061505-0.00021704i,0.0013626+6.9255e-05i,0.00049154+0.00073848i,-5.0165e-05-0.00012055i,1.0138e-05-0.00049809i,-0.00040469-0.00028785i,2.7039e-05-0.00026825i,0.000471-0.00023195i,0.00028395-0.00058071i,9.2899e-05-0.00028171i,-0.00036834+0.00011675i
