-0.00065458-0.00019655i,-3.9349e-05-0.0016443i,5.2883e-05-0.0012668i,7.7087e-05-0.0004311i,-0.00033742+0.00058574i,0.00010424+0.00078708i,0.0011449+0.00018034i,0.0019633+0.00049512i,0.0017676+9.2272e-05i,0.00049174-0.00025701i,-0.0003177-0.00012727i,0.00030714-0.00084165i,0.00029526-0.0012876i,-0.00031713-0.00040229i,-0.00056876+0.00074581i,-0.0001259+0.00030228i,0.00036358-0.0003846i,0.00065063-4.4201e-05i,0.00078033-0.00030835i,0.00014363-0.00061239i,-0.00044799-0.00028357i,-0.0002443-0.0001417i,-0.00010985-0.0003315i
-0.00031776+0.0019369i,-0.0014928+0.0016624i,-0.0011891+0.0019891i,0.00022618+0.0015449i,0.0011351+0.00014473i,8.4212e-05-0.00029064i,-7.0807e-05+0.00084205i,0.0016135+0.0014661i,0.0024732+0.00042428i,0.00172-2.4422e-05i,0.00034125+0.00024793i,0.00050274-1.0656e-05i,0.0002226-0.00042065i,-0.001001-1.0279e-05i,-0.00067961+0.00093258i,-0.00010221+0.0010226i,-0.00068442+0.00027435i,-0.00082559-0.00079262i,-0.00039709-0.00077914i,-0.0003491-0.00023552i,-0.00052566-0.00027132i,-0.0004521-0.00047142i,-0.00079548-0.00027411i
0.00028189-0.0014908i,0.00087035-0.0015711i,-0.0010257-0.0021371i,-0.003242-0.00114i,-0.002919+0.00045034i,-0.0004374+0.0017938i,0.0017771+0.0020162i,0.0031349+0.00091789i,0.0024828-0.00021177i,0.0010534-0.00019443i,0.00018187+0.00036946i,-5.8372e-05+0.00044096i,0.00044461-0.00018623i,0.00082549-0.00052048i,0.00060753-0.0005808i,7.1462e-05-0.00067753i,-0.00059001-0.00055809i,-0.0010172-0.00033715i,-0.00022778-0.00074477i,0.0004136-0.0010022i,0.00017816-0.00085508i,-0.00026202-1.6237e-06i,-0.00042921+0.00089814i
0.0013857-0.0038944i,0.00114-0.0033999i,5.9809e-05-0.0024243i,-0.00094032-0.0017293i,-0.00112-0.00073242i,-0.00010038+0.00015052i,0.0022538-8.5626e-05i,0.003308-0.00046872i,0.0017703-0.00077688i,9.0917e-05-0.00017891i,-0.00078437+0.00084945i,-0.00017807+0.0011357i,0.00044728+0.00042642i,0.0011988-0.00026351i,0.00081566+0.0001497i,-0.00016073-0.00068353i,0.00030483-0.0012946i,0.00066619-0.0010743i,0.00040816-0.00083661i,6.2631e-06-0.00010017i,0.00045377+0.00025003i,0.00014652+9.5035e-05i,-0.00067458-0.00022184i
0.0016275-0.0007372i,5.6821e-05-0.00076669i,-0.0005326-0.00056945i,-0.00026145-0.00050319i,-0.00030184-7.4084e-05i,-0.00011302+0.0011738i,0.00053838+0.0017208i,0.001838+0.0015518i,0.0015394+0.00020222i,0.0002844-0.00093487i,-2.5656e-05-2.1194e-05i,0.00031954+0.00049727i,0.00021764+0.00012126i,-0.00058069-0.00030712i,-0.00054584-0.00045692i,0.00044048+7.0033e-05i,0.00047814+0.0002663i,-0.00013491-2.0472e-05i,-0.00018408-0.00074747i,-1.8104e-05-0.00066387i,-0.0001248-0.00016194i,-0.00031877+0.00028431i,-0.00019243+0.00035623i
0.00014252-0.00054333i,-0.00010042-0.00044411i,-0.00018959-0.00060471i,0.0005562+0.00011853i,0.0006905+0.0014748i,0.00069053+0.0015103i,0.0020786+0.001131i,0.0030542+0.00079547i,0.0026925+0.0002622i,0.0012082+0.00018053i,-0.00024912+0.00079367i,-0.00025066+0.001068i,-7.6062e-05+0.00074932i,-0.0003751+0.00011263i,-0.00067817-0.00046123i,-0.00059058-0.00064648i,-0.00014557-0.00050339i,0.00021545+0.00011454i,8.3776e-05+0.00050921i,3.9703e-05+0.00034645i,0.0004843+0.00039963i,0.0011544+0.0003897i,0.0011605+0.00032124i
0.0012191-0.00059267i,-0.00036326-0.00084833i,-0.00084677-0.0016337i,-0.0013049-0.0016423i,-0.0020064-0.0014201i,-0.0010807-0.00047919i,0.00068383+0.00045086i,0.0023456+0.00054996i,0.0022769-0.00021676i,0.00071611-0.00062662i,-0.00031328+0.00019885i,-0.00039538+0.00090274i,0.00038167+0.00049772i,0.0010093-0.00012705i,0.00061258-0.00041006i,-0.00043489-0.00026607i,-0.00037704-0.00065792i,-8.3313e-05-0.00053882i,-0.00040317-3.6915e-05i,-0.00044959-0.00040346i,-0.0004392-0.00033669i,-0.00044726-9.2044e-05i,-0.00057077-0.00061611i
-0.001691-0.00014051i,-0.0018636-0.00043662i,-0.0018037-0.00035713i,-0.0010887-7.8941e-05i,-0.00039992+0.00044901i,9.5556e-05+0.00045627i,0.0011183+0.00089851i,0.0018053+0.0015576i,0.0013521+0.0011747i,0.00076081+0.00044585i,-0.00011716+0.00036591i,-0.00029188+0.00048279i,0.00046472+0.00028441i,0.00041706+0.00029819i,-0.00041758+0.00020908i,-0.00039159+9.2141e-05i,0.00057271+7.9052e-05i,0.0011023+0.000432i,0.00021764+0.00024722i,-0.00024258-0.00041639i,0.00034377-0.00044902i,0.00087316-0.00085647i,0.00066517-0.0013266i
3.8717e-05+0.0010226i,-0.00060339-0.00011742i,-0.00062847-0.00025818i,-0.00018841+0.0001051i,0.00013027+0.00086609i,-0.00037321+0.00073088i,-0.00019174+0.00052564i,0.0011426+0.0008233i,0.0015683+0.00013571i,0.00062845-0.00018901i,0.00017014+0.00066936i,0.00020447+0.00093063i,-1.4696e-05+0.00095633i,-9.6937e-05+0.00034076i,-0.00014891-0.00011005i,0.00015606-0.00011197i,-8.7873e-06-0.00059518i,-0.00087179-0.00062737i,-0.0012016-0.00058856i,-0.00023022-0.00033585i,0.00080998+0.00080407i,0.00060513+0.00085476i,0.00013189-5.5682e-05i
0.0019039+0.00071141i,0.001543+0.00047071i,0.00075453-5.6754e-05i,0.00014264+0.0001992i,-0.0013098+0.00032336i,-0.0016904+0.00051911i,-0.00016457+0.00097608i,0.00204+0.00097461i,0.0029976-0.00013941i,0.0009839-0.00047438i,-0.00095461+0.00039664i,-0.00049813+0.0011241i,6.6928e-05+0.00098831i,0.00010309+0.00026024i,0.00029719-0.00011907i,0.00048186-0.0005324i,0.00048621-0.00062691i,-5.2369e-05-0.00070061i,-0.00027862-0.00055191i,-0.00023411+0.00021969i,-0.0004314-4.8601e-05i,-0.00033453-0.00056585i,-0.00073383-0.00048664i
-0.0010027-0.0015981i,-0.0011701-0.00078177i,-0.0019011+0.00041245i,-0.0018536+3.2352e-05i,-0.0010531-0.0003869i,-4.9101e-05-0.0004942i,0.00083276-0.00059378i,0.0020345-0.00030371i,0.0016641+0.00044035i,0.0013866+0.00038099i,0.0010102-0.00050855i,1.0733e-05-0.00022078i,0.00019799+0.00096653i,0.00064855+0.00083479i,2.9254e-05+0.00055525i,-0.0010538+0.00052357i,-0.00075109+0.00053257i,-4.1813e-05+0.0007709i,-0.00020024+0.00050907i,1.7368e-05+9.7385e-05i,0.00055317+0.00012i,0.00035014+0.00018419i,4.9798e-05-0.00021463i
0.00022287-0.00092769i,-0.0011298-0.0014829i,-0.0021311-0.0013417i,-0.00094728+0.00024182i,-0.00012548+0.0011339i,-1.2202e-05+0.0013247i,0.00094229+0.0015608i,0.001396+0.00065953i,0.0012915-0.0003145i,0.00043634-0.00028863i,-0.00029108+0.00048654i,0.00019305+9.9712e-05i,0.00070572-0.00039579i,0.0010217+0.00031857i,0.00095725+0.00036088i,0.00059638-0.00038825i,-0.00011987-0.00035683i,-0.00044231+0.0001611i,-0.00023051+0.00058305i,0.00038347+0.00090429i,0.00093127+0.0005885i,0.00077271-0.00041431i,0.00051203-0.00031839i
0.00036077+1.7757e-05i,0.00067581-0.00041473i,0.00099148-0.00096925i,0.00071688-0.0012666i,0.00069935-0.00087847i,0.00020513-0.00070736i,0.00086165+0.00012729i,0.0019937+0.00034906i,0.0014914-0.00048208i,0.00086498-0.00064277i,-1.6454e-05+0.00019501i,-0.00061827+0.00070123i,-0.00067685-7.2593e-05i,-0.00049422-0.00051969i,-0.00018299-0.00052474i,-9.4859e-05+0.00020199i,-4.4563e-05+0.00021722i,-0.00014751-0.00011974i,-0.00022899+7.031e-05i,-5.7789e-06-9.1085e-05i,0.00025884-0.0006948i,9.7377e-05-0.00097552i,-0.00042176+0.00041358i
