-0.0016073+0.00054414i,-0.0011996+0.00068266i,-0.0015872+0.00061227i,-0.0023963+0.00018039i,-0.0023627+0.0009613i,-0.0016149+0.0018605i,-0.00063383+0.0022329i,-0.00070573+0.0016545i,-0.0013843+0.00095413i,-0.00097408+0.00041237i,0.00014466-1.3577e-05i,0.0004155+4.3229e-05i,0.00011215+0.00031275i,-0.0002337+0.00044316i,-0.00044789+0.00025995i,-0.00040082-0.00043657i,-7.3143e-06-0.00054896i,0.0002079-0.00038862i,-0.00042384+1.4801e-05i,-0.00071039+0.00037569i,-0.0003014+0.00024184i,0.0001257-1.952e-05i,0.00093288+0.00052215i
-0.0011197-0.00078744i,-0.0010118+0.00089834i,-0.00085484+0.0021132i,-0.00049493+0.0021386i,-0.0012794+0.0012666i,-0.00089245-6.4156e-05i,-0.00015724-0.0010248i,-0.00046121-0.0018329i,-0.0013249-0.00048017i,-0.001453+0.00085403i,-0.00044308+0.0010637i,0.00039055+0.0010879i,0.00027978+0.00029923i,0.00021422-0.00053611i,0.00044726-0.00099979i,0.00049235-0.00070728i,4.378e-05-0.00029172i,0.00019042-0.00062905i,0.00033869-7.1697e-05i,-0.00018532-0.00012941i,-0.00047645-0.0009532i,-0.00080517-0.00099665i,-0.00060205-0.0002939i
0.001101-0.00087415i,0.001602-0.0011783i,0.0025055-0.0015249i,0.0017144-0.00063649i,-0.00074334-0.00038184i,-0.0011015-0.0010983i,-0.00099739-0.0010861i,-0.0017832-0.00078313i,-0.00095728-0.00027543i,1.8518e-05+0.00055727i,-0.00028699+0.00093656i,-7.2353e-05+0.00028133i,0.00037241-0.00017601i,0.00037812+4.6094e-05i,0.00062293-0.00010961i,0.00087829-0.00062651i,0.00056557-0.00021744i,-0.0002717+0.00029728i,-0.00047174+9.9781e-05i,-0.00059149+1.8356e-06i,-0.00066028+0.00023857i,-3.0089e-05+0.00016947i,-7.0703e-05+0.00041736i
7.7518e-05+0.00082352i,0.00063669-0.0001196i,-0.00011886-0.00031961i,-0.00039169-0.00047237i,-0.00048396-0.0013421i,-0.0010518-0.001783i,-0.0014414-0.0014273i,-0.00073057-0.00074918i,-0.00023978+0.00022541i,-0.00041138+0.00086275i,-9.8517e-05+0.0014658i,0.00039026+0.0013658i,-1.1697e-05-5.853e-05i,-4.6873e-05-0.0009233i,7.4259e-05-0.0010513i,-0.0002875-0.0013591i,-1.4535e-05-0.0010021i,0.0002298-0.00032389i,8.8743e-05+0.00060455i,-0.00016776+0.00075093i,0.00038325+0.00064917i,0.0011471+0.00098791i,0.0012628+0.00079943i
0.00022232-1.6504e-05i,-0.00036131-0.0003358i,-0.00068539-0.0007585i,0.00033824-0.00043386i,0.0010085-0.00015831i,0.00069004-0.0012778i,-8.9442e-05-0.0016555i,-0.00073014-0.0013779i,-0.00068377-0.0011532i,-0.00063649-0.00061302i,-0.00030881-0.00042459i,0.0003202+0.00011222i,0.0010001+0.00071852i,0.0005886+0.00015394i,-7.9423e-05-0.00047494i,-8.647e-05+0.00025293i,-0.00083649+0.00089121i,-0.0013545+0.00013829i,-0.00088585-0.0007695i,-0.00061869-0.0010341i,-0.00066356-0.0012405i,-0.00057962-0.00089888i,-0.00032984-0.0001848i
0.00087548+0.00020449i,0.00088637+4.1173e-05i,0.00056437+1.193e-05i,-0.00092311-0.00058179i,-0.0012391-0.00078304i,-0.00079877-0.00080148i,-0.00089393-0.001478i,-0.0011042-0.0024476i,-0.00093672-0.0023033i,-0.00048242-0.00031045i,-0.00049135+0.0013054i,-0.00054516+0.0012032i,-0.00099751+0.0010048i,-0.0015246+0.0011605i,-0.0008697+0.00041555i,-2.8901e-05+6.2048e-05i,-0.00017048-3.6793e-06i,-0.0010499+5.0367e-05i,-0.00064056+0.00012761i,-0.00028287+0.00032363i,-0.00075929+0.00010161i,-0.00042314-0.0002641i,-1.0597e-05+0.0005963i
-0.00041947+0.0004215i,-0.0015877+0.001122i,-0.001534+0.00070839i,-0.00075496+0.00043138i,-0.00030347+0.00066262i,-0.00058062+2.3543e-05i,-0.00069904-0.0011151i,-0.0014534-0.0016274i,-0.0026602-0.00086573i,-0.0027155+0.00051882i,-0.0019651+0.00086392i,-0.0011875+0.00040771i,2.1627e-05+0.00044358i,0.00074222+0.00075969i,4.0525e-05+0.00042089i,-1.8801e-05-0.00019657i,0.00035046-0.00045264i,0.00047275-0.00048237i,2.5435e-05-8.6877e-05i,0.00015237+0.00086704i,0.00061472+0.00055558i,0.00011345-0.0005896i,-0.00010132-0.00044738i
-0.00079849+2.5875e-05i,-0.00028487+0.00046052i,-0.0016599+0.0012687i,-0.0020537+0.001009i,-0.0010593+0.0011413i,-0.00074183+0.00091093i,-0.0011629-0.00023619i,-0.0014232-0.0013283i,-0.0016943-0.0011986i,-0.0016989+0.0006799i,-0.0012298+0.00088015i,-5.2044e-05+0.00029475i,8.6711e-05+0.00084052i,-0.0002641+0.00064571i,2.166e-05-3.5659e-05i,-0.00040479-6.7992e-05i,-0.00069289-8.1053e-06i,-0.00023701-4.6867e-06i,0.00030882+0.0003393i,0.00063361+0.00081783i,8.1079e-05+0.0015443i,-0.00041789+0.0014255i,-0.00015751+0.00036395i
0.0001707-0.00073735i,-0.00095934-0.00050998i,-0.0019703-0.00058817i,-0.0011219+0.00017102i,1.2119e-05+0.0013871i,0.00032346+0.00082056i,0.00029039-0.00090336i,0.00035989-0.0012164i,-0.00049067-0.00047272i,-0.0012605+0.0005084i,-0.00061798+0.0013189i,-0.00010101+0.0016362i,-0.0003417+0.0011219i,-0.00016671-0.00012073i,0.00037663-0.0012074i,0.00092159-0.001213i,0.0002723-0.00030086i,-0.00072638-0.00016729i,-0.00049367-0.00060301i,-0.0001606-0.00045427i,0.00026913+0.00028993i,0.00061423+0.00024013i,0.00021437-5.6747e-05i
-0.00078025-0.00024867i,-0.00070729-0.00073377i,-4.7141e-05+0.0001943i,0.00048515+0.0015952i,5.7306e-05+0.00097722i,0.00018705-0.00043449i,0.00019773-0.0008934i,-0.00040341-0.00083816i,-0.00072153+0.00028457i,-0.00083144+0.0020476i,-0.0003382+0.0023016i,-0.00030528+0.0013404i,-0.0007776+0.00062303i,-0.00032872+0.00038969i,0.00011842+0.00046951i,-0.00076045+0.0001452i,-0.0014746-0.00082618i,-0.00070919-0.00071381i,0.00038167-0.0006219i,0.00047765-0.00076849i,0.00025891-0.00011399i,0.00028404+0.0001785i,-0.00054356+0.00018555i
0.00040742-0.0017098i,-0.0012287-0.0018624i,-0.0011033-0.0016401i,-0.0016383-0.0012442i,-0.0018626-0.00042855i,-0.00099871+0.0003836i,-0.00030544+0.00015779i,0.00015935-0.00040871i,0.00017717-0.0011573i,0.00045921-0.00019837i,0.00052244+0.0011118i,9.4245e-05+0.00087679i,-0.00051167+0.00086989i,-0.0007776+0.00049924i,0.00034411-0.00044195i,0.0004749-0.00038164i,-0.00010983-0.00012513i,-0.00016427+0.00035418i,-0.00027755+0.00056466i,-6.6807e-06+0.00037715i,0.00046634+0.0001635i,0.00070508+0.0002397i,1.6638e-05+0.00055459i
-0.00069111-0.0013584i,-0.0017003-0.00063293i,-0.0021937-0.00028338i,-0.0017807+0.00092602i,-0.0005599+0.0007927i,0.00045873-0.00022144i,0.00082407-0.0015561i,0.00027081-0.0025807i,-0.0010076-0.0024696i,-0.0014458-0.0013084i,-0.0007994-0.00041581i,-0.00075242+0.00019876i,-0.00071961+0.00075288i,-0.00015585+0.0010499i,-0.00060848+2.8266e-05i,-0.001031-0.00060532i,-0.00022527+3.2391e-05i,-0.00043036+0.00051586i,-0.00094112+0.00081354i,-0.00060987+0.00080893i,7.7622e-05-1.0362e-05i,0.0003869-0.00045639i,0.00088399-8.7823e-05i
0.00067261+4.2433e-05i,0.00038603-0.00076304i,0.00063515-0.00104i,0.00014167-0.0016574i,-0.0013252-0.002465i,-0.001305-0.0024382i,-0.00046948-0.0021474i,-0.00025918-0.0022162i,-0.0017335-0.0016413i,-0.0026708-0.0006687i,-0.0017555-0.00050653i,-0.0009949+0.00021734i,-0.00018656+0.0004935i,0.0011424+0.00010237i,0.0007914+0.00020396i,-0.00047659+0.00015875i,-0.0009693-9.76e-05i,-0.00031961-0.00033568i,0.00053466-0.00030109i,0.0011706+0.00012454i,0.00090066+0.00054119i,3.5067e-05+0.00099364i,-0.00032959+0.00083607i
