-0.0013109+0.00012582i,-0.001433-0.0014426i,-0.00064719-0.0016737i,-0.00023992-0.0015004i,-0.00091954+0.00022165i,-0.00057217+0.0019832i,1.1488e-05+0.0020377i,0.00087421+0.0016232i,0.0010145+0.0019519i,0.00022527+0.001056i,-0.00024953-0.00050853i,-0.00037009-0.00091825i,-0.00061282-0.00044598i,-0.00081501+9.8734e-05i,-0.00098711+0.00068527i,-0.0011319+0.00084863i,-0.00044336+0.00023777i,0.00066938-0.00025979i,0.0004943-8.3135e-05i,-0.00018807-6.8057e-05i,0.0001733-0.00032347i,-0.00011921-0.00022052i,-0.00033504-0.00015594i
0.0013112+0.00041161i,0.00026854+0.00081676i,-0.00077549-3.6082e-05i,-0.0013505+0.00040451i,-0.00061097+0.0007622i,-7.1791e-05+0.00069914i,0.00098805+0.00052224i,0.0015567+0.00048707i,0.000872+0.000412i,-3.9628e-05-0.00016475i,-0.00053375-0.0003445i,-0.00010096+0.00034157i,-0.00022402+0.00052348i,-0.00097911+5.6807e-05i,-0.00078952+0.00040542i,-0.0002049+0.0013239i,0.00067976+0.0011394i,0.0010929-0.00019533i,0.0010075-0.00075501i,0.00038854-0.00022296i,6.656e-06+0.00043591i,0.00022855+0.00040259i,2.2591e-05-1.9928e-05i
-0.001969-0.00015546i,-0.0015645-0.00063073i,-0.0016645-0.00092294i,-0.0012896-5.8519e-05i,-0.00071915+0.00011916i,-8.9748e-06+0.00015477i,-0.00039591+8.9418e-05i,-0.00081299+0.00067207i,-3.3205e-05+0.00084476i,-3.5212e-05+0.0010712i,-0.00044426+0.0014579i,-0.00047798+0.00086629i,-0.00087378+0.00062258i,-0.00020914+0.00053031i,0.00023445+0.00013005i,0.00021781+9.2062e-05i,0.00040847+0.00060513i,-1.9266e-05+0.00049101i,0.00033618+0.00031171i,0.00037768+0.00084333i,-0.00010147+0.0014613i,-0.00057563+0.00024518i,-0.00097214-0.00066007i
0.0014167-0.0022365i,0.0014863-0.0017107i,0.00023604-0.00095582i,-0.0011822-0.0006697i,-0.00066008-0.00063033i,-0.00037665-0.00043733i,-4.6393e-05+3.4832e-06i,0.0010719+0.00032197i,0.00093477+0.00047991i,0.00043184+0.00074325i,0.00027171+0.0011273i,0.00042195+0.00079907i,0.00071362+0.00049452i,0.00035562+0.00062396i,0.00014199+0.00078885i,-0.00036705+0.00067706i,-0.00073356+0.00014335i,-0.0002089-7.2974e-05i,0.00035527-0.00011621i,0.00043307+2.7278e-05i,0.00020156+8.4904e-05i,-0.00024373-0.00030052i,-0.00072754-0.00018116i
-0.00010156-0.00049693i,-0.00078778-0.0014826i,-0.00099109-0.0012799i,-0.0013592+0.00039689i,-0.001053+0.00075042i,-0.00010157-2.4823e-05i,-0.00035334-0.00034298i,-9.655e-06-0.00013425i,0.00013498+0.00015358i,-0.00096295+0.00028463i,-0.00069486+0.00045333i,-0.00044024+0.00024611i,-0.0011366-8.5379e-05i,-0.0010961+0.00011263i,-0.00043643+0.00049103i,0.00036288-9.4738e-05i,0.00086731+0.00018135i,0.0011241+0.00040352i,0.00066654+0.00043949i,0.0003097+0.00034916i,-8.6174e-05+0.00025196i,-2.9174e-05+0.00046986i,0.00080592+0.0011087i
0.00092584+0.00049485i,0.0016778+0.00054484i,0.0020037-0.00055764i,0.0014868-0.0015524i,0.00089831-0.0014398i,0.00060445-0.00064379i,0.00020011+0.00039831i,0.00042106+0.000883i,0.0012616+0.00081444i,0.00043176+0.00055101i,-0.00074567-0.00018793i,-0.00062337-0.0007699i,-0.00024855-0.00025844i,-0.0004308+0.00049419i,-0.00029676+0.00035573i,0.00086467+2.9778e-05i,0.0010033+0.00027233i,0.00048936+0.00028708i,0.0005882+0.0001489i,0.00027928-0.00019387i,-0.00051279-0.00056448i,-0.00065312-0.00043269i,-0.0007289+0.00048134i
-0.0010656-0.00026979i,-0.00050239-0.00021272i,0.00012036-8.8298e-05i,-0.00029459+0.00021401i,-0.00091142+0.00084417i,-0.00015624+0.00077089i,0.00084376+0.00059541i,0.0012525+0.00083583i,0.00070773+0.00069195i,0.00011599+0.00034454i,0.0002233+0.00030924i,0.00027851+0.00034151i,0.00062063-0.00012297i,0.00051838-0.00032847i,0.00038317-0.00014705i,0.0010564+4.1354e-05i,0.0010231+0.00038961i,0.00029031+0.00064437i,0.00012796+0.00078905i,0.00048499+0.00057942i,-0.00018058+0.00072405i,-0.00092132+0.00058473i,-0.00069144+0.00022294i
-0.00041225-0.00083773i,-0.0013325-0.0014254i,-0.001005-0.00041174i,-0.00031418+0.00036516i,-0.00072251+0.00060807i,-7.041e-05+0.00072204i,0.00017771+0.0010895i,-4.5745e-05+0.001361i,-0.00018695+0.00039306i,-0.00017708-0.0003568i,-0.00018001-0.00012766i,-0.00050119-0.00010986i,-0.00051596+0.0001975i,1.279e-05+0.00033236i,0.00059896+0.00028519i,0.00044648+0.00052367i,0.00044813+0.00031595i,0.00084021-0.00030688i,0.00057691-0.0004976i,8.3606e-05-8.0078e-06i,0.00016256+0.00036595i,0.00011945+1.3451e-05i,-0.00025604-0.00034158i
0.0017641+0.0011483i,0.0010394-3.2203e-05i,-8.7215e-05-0.00069928i,-0.0011005-5.089e-05i,-0.00089997+0.00050021i,-1.8717e-06-0.00034877i,0.00039883-0.00021836i,0.00064424+0.00069748i,0.00081181+0.0004271i,-0.00018128-0.00019252i,-0.0012872-0.00051376i,-0.00067827-0.00074477i,0.00016153-3.0743e-05i,0.0004735+0.00065691i,0.00072177+0.00032216i,0.00081705-0.00016993i,0.0009112-0.00035259i,0.0003404+0.00032832i,-0.00023078+0.00093555i,-0.0001471+0.00037209i,4.8057e-06+9.0126e-05i,-0.00017352+0.00014105i,-0.00065318-0.00028302i
-0.0011284-0.00065176i,-0.0013787-0.00090941i,-0.00097436-0.00050055i,-0.00089853-9.8865e-05i,-0.001099+0.00042299i,-0.00048928+9.5231e-05i,-0.00019462-0.00025975i,-0.00011396+0.00020002i,-6.9452e-05+0.00077583i,-0.00059813+0.00098997i,-0.00039421+0.00041356i,-0.00032838-0.00018098i,-0.00094907+0.00022816i,-0.00090228+0.00039369i,-6.9461e-05-0.00044492i,0.00018468-0.00089759i,7.1738e-05-0.00021963i,-0.00052513+0.00023554i,-0.00038565+0.00082386i,0.00046721+0.0010391i,0.00063941+0.0005721i,0.00076517+0.00034666i,0.00030594+0.00030218i
0.00047191+0.0016015i,0.0008062+0.0012418i,0.00095028+0.00053997i,0.00041393+7.749e-05i,0.00051816-0.0012297i,0.00093016-0.0018901i,0.0012377-0.0015533i,0.00078866-0.00072155i,0.0004255-0.00019169i,0.00037577+1.4669e-05i,0.00027013+0.00027463i,2.7311e-06+0.00020487i,4.2168e-05+0.00024517i,0.00029088+0.00049506i,-0.00016683+5.8951e-05i,-0.00044252-0.00045325i,-9.7136e-05-0.00057977i,0.00077998+0.00021924i,0.0006749+0.00089054i,-0.00018394+0.0006159i,-0.00021993+0.00025935i,-0.0006672+0.00052504i,-0.00091579+0.00097945i
