-0.0024469+0.00063301i,-0.002262-0.00069905i,-0.0032608-0.00075431i,-0.0027361-0.00062369i,-0.0017874-0.00045492i,-0.00024733-4.6303e-05i,0.00064781+0.0011257i,0.00079251+0.0014552i,0.001152+0.00082621i,0.00047889+0.00027087i,-4.4253e-05-0.00029999i,0.0003752-0.00043444i,0.00076577-4.9203e-06i,-0.00057009+0.00020865i,-0.0013457+0.00012307i,-0.00017199-4.4681e-06i,-0.00013726-7.872e-05i,-0.00029604+0.00054101i,0.00056582+0.00044102i,0.00058233+0.00028125i,0.00067418-0.00045045i,0.0013596-0.00083846i,0.00054797-0.00027031i
0.00095075+0.0006494i,0.0016951-0.00085855i,0.00045519-0.0010301i,0.00020457-0.00023092i,0.00067289+0.0004309i,0.00085883-0.00038264i,0.00085306-0.0012927i,-0.00021822-0.00050237i,-0.0009947-0.00071459i,-0.00043894-0.00045944i,-0.00015574-8.3631e-05i,0.00028846-0.00037564i,0.00045227+0.00020026i,0.00048951+0.00023201i,0.00061882+0.00044553i,0.00033838+0.00055147i,0.00039612-0.00012264i,0.0005781-0.0004983i,1.0195e-05-0.00054775i,-0.00010149-0.00053965i,-0.00020426+0.00031673i,-0.00097198+0.0007942i,-0.00098433+0.00049202i
0.0003674-0.0020142i,0.00019585-0.0024546i,-0.001083-0.002265i,-0.0016832-0.00066976i,-0.00047338+0.00047762i,0.00087051+0.00054084i,0.00078193-0.00043022i,0.0002955-0.00050692i,2.537e-05+0.00049381i,0.00028207+0.0004605i,0.00033104-0.00014218i,-4.399e-05-1.8468e-05i,-0.0004164+0.00039957i,-0.00031897+9.7217e-05i,0.00018599+0.00024186i,-0.00036982+0.00075539i,-0.00035411+0.00077406i,0.00028508+0.00061143i,-1.2135e-05+0.00087538i,-0.00021628+0.00078329i,-0.00024528+0.00050801i,-0.00031897+0.00031632i,-0.0001522+0.00029075i
0.00076412+0.00099573i,0.00028965+0.0017844i,-0.0011536+0.0020355i,-0.0015894+0.0016616i,-0.0014682+0.001163i,-0.0012023+0.00042711i,-9.9093e-05-0.00060784i,-0.00021874-0.00025185i,-0.00048532-3.1249e-05i,-8.8697e-05-9.7675e-05i,9.8247e-05+0.00036826i,-0.00016704+0.00040416i,-0.00048002+0.00041594i,-0.00057341-1.4571e-05i,-0.00073234-0.00030443i,-0.00047089-0.00045755i,-0.00054609-0.00065828i,-0.00052225-0.00086962i,-0.00058184-0.00040141i,-0.00068151-0.00020072i,-0.00041771+4.1476e-06i,-0.0004855+0.00025792i,-0.00064986-0.00032282i
0.00093985-0.00050041i,0.0012565-0.00037317i,0.0018887-6.8447e-05i,0.0024078-0.00012249i,0.0030243-0.0011016i,0.002723-0.0013537i,0.0015281-0.00066922i,0.00045516-0.00014009i,0.00012877+4.1136e-06i,0.00015558-0.0006158i,0.00024275-0.00075772i,0.00072868-0.0007065i,0.00075951-0.00047863i,0.00064176-0.00060995i,0.00046508-0.00012517i,0.00014168+0.00020421i,0.0007994-0.00011982i,0.001432+0.00028895i,0.0012045+0.00086008i,0.0002569+0.00090912i,-0.00057071+0.00071173i,-0.00014801+8.9096e-05i,0.00058039-6.1729e-05i
-0.0019279+0.00035462i,-0.0017814-0.0001789i,-0.0018815+0.00058914i,-0.0010046+0.0013531i,0.00071722+0.00085859i,0.0013465+6.7848e-05i,0.00070207+6.2751e-05i,7.174e-05+0.00018544i,0.00061834-0.00039977i,0.0010382-0.00074682i,0.00057593-0.00076813i,3.6111e-05-0.00050009i,6.8506e-05-0.00072908i,0.00032319-0.00073844i,0.00018961-0.00066955i,-8.7363e-05-0.00016244i,-0.00015302+0.00064054i,0.00013189+0.00036112i,0.00066979-0.0003339i,0.00088925-0.00083776i,0.00034505-0.00091303i,-8.0686e-05-0.00046902i,-0.00074925+0.00018665i
-6.4367e-05-0.0019736i,0.00074428-0.0024573i,0.001091-0.0017173i,0.0004238-0.0008529i,-0.00032485-0.00031093i,0.00010201-0.000156i,0.00067352-0.00028969i,0.00059141-9.1299e-05i,0.00053009-0.00078533i,0.00030324-0.00087801i,0.00034927-0.00031509i,0.00064658-0.00056637i,0.00064459-9.4063e-05i,-7.7719e-05+0.00026696i,-0.00030952-0.00020513i,-0.0001239-0.00014771i,0.00015396+0.0012415i,0.00049434+0.001548i,0.00073675+0.0012516i,0.00084555+0.00062619i,0.00087778-0.00058509i,0.00097134-0.0010572i,0.00084578-0.0003061i
0.00019829-0.00080751i,4.5572e-05-0.00095933i,0.0004227+6.3193e-05i,0.0002179+0.001171i,0.00046328+0.0011422i,0.0015341+8.7548e-05i,0.00038066-0.00036983i,-0.0012276+0.00061483i,-0.00059978+0.00056301i,6.5329e-05+0.00015166i,5.3592e-05+0.00060955i,0.00063522+0.0007442i,0.00058823+0.00062629i,-9.7667e-05+7.6086e-05i,-0.0004702+9.4607e-05i,-0.00053713+0.00091845i,-0.00062734+0.0011164i,-0.00033776+0.00044847i,0.00018337+0.00042012i,-0.0001964+0.00054061i,-0.00029638+0.00069433i,0.00019088+0.00032976i,-3.6646e-05-0.00093592i
0.00092036-0.0012936i,-0.0003948-5.5682e-05i,-0.0014244-0.00011715i,-0.0013828+5.341e-05i,-0.00031512+0.00056185i,0.00080054+0.00020827i,0.0004487-0.00031468i,-0.00010999-0.00016972i,-9.1193e-05+0.00061846i,-0.00029176+0.00048723i,0.00013785+0.00020104i,0.00023211+0.00035087i,-8.9929e-05+0.0008122i,-0.0006061+0.0013285i,-0.00059395+0.00057995i,-0.0003916-0.00043664i,-0.00016467-0.0006441i,-0.00014364-0.00076064i,-8.3418e-05-0.00044842i,0.00025594+0.00039367i,-6.235e-05+0.00025744i,8.6344e-05-0.00069386i,0.00069752-0.00037561i
0.0013021-0.0023587i,0.0011352-0.0036081i,0.00063074-0.0044387i,0.00030976-0.0022461i,4.7274e-05+0.00029935i,0.00054878+0.00032209i,0.0015388-0.00043127i,0.00097707-0.00072165i,0.00029539-0.00085382i,0.00098369-0.00050262i,0.0011289-0.00018747i,0.00034757-0.00087315i,-0.00035999-0.0015796i,-0.00083028-0.001037i,-0.00048788-0.00043508i,-0.00021557-0.00032771i,-0.00089265+0.0001371i,-0.00074335+0.0004539i,-3.8021e-05+0.00062073i,1.1568e-05+0.0007131i,-0.00010433+0.00060358i,-0.001084+0.00035965i,-0.00099733+8.8235e-05i
-0.00072435+0.0020196i,-0.0010686+0.0013354i,-0.0016252+0.0024519i,-0.0012549+0.0026018i,-0.00049239+0.0018002i,0.00013175-5.2075e-05i,-7.4384e-05-0.0011258i,-0.00042509-0.00025884i,-0.00039603+0.00064567i,-0.00022003+0.00076963i,0.00027183+0.00044791i,0.00069481+0.00016962i,0.00041234+0.00010659i,-0.00027932-0.0001266i,-0.00079395-0.00032559i,-0.00050318-0.00049754i,-0.00020194-2.6921e-05i,-0.00052942+0.00048124i,-0.00052225+0.00012297i,1.9442e-05-0.00054988i,0.00078823-0.00046685i,0.000266-0.00021559i,-0.00037569+0.00018904i
0.00060708+0.00016135i,0.00060177+0.00014889i,1.9882e-05+7.6448e-05i,-7.6898e-05+0.00064638i,0.00054118+0.00078752i,0.00046831-0.00021302i,0.00011309-0.0011964i,-0.00010846-0.00020862i,-0.00011267+0.0010888i,0.00062755+0.00062733i,0.00077437-0.00019756i,0.00025992-0.00037212i,-0.00012781+9.7154e-05i,-0.00054656+0.00073721i,-0.00089185+0.0010154i,-0.00078009+0.00061146i,-0.00049244-0.00062079i,-0.00034499-0.001443i,-0.00030098-0.0013039i,-0.00034434-0.00089199i,0.00016357-0.00060448i,0.0003537-8.7003e-05i,-0.00033304-0.00041695i
-0.00032397-0.0020209i,-0.00029599-0.0017058i,-0.00092956-0.00053512i,-0.001232-0.00061496i,0.00022601+6.592e-05i,0.0012595+0.00010831i,0.0008137-4.1517e-05i,0.00032964+0.00059144i,0.00072704+1.3323e-05i,0.00083404-0.00084565i,0.00085299-0.00058072i,0.00038823-0.00092887i,-0.00027375-0.00097327i,-0.00065836-0.00020251i,-0.00098677-3.3813e-05i,-0.0011445+0.00023747i,-0.00012926+0.00039528i,0.0004038+0.00030687i,-0.00035402-0.00018759i,-0.00065073-0.00088228i,-0.00045407-0.00093122i,-0.00019316-0.00038292i,0.00015353+6.5092e-06i
-0.00028934-0.0020382i,-0.00017261-0.0020254i,-0.00032539-0.00091237i,-0.00055063+0.00028222i,4.3281e-05+0.0011708i,0.00056927+0.00083462i,2.4247e-05-4.1359e-06i,-0.00057004-2.5251e-05i,-0.00068834+5.2787e-05i,-0.00033474+0.00023118i,0.00039163+0.00021108i,0.00058952+0.00026642i,-0.00056145+0.00067659i,-0.0015889+0.0010456i,-0.00098776+0.00064089i,-0.00057125+1.1277e-05i,-0.00055382+0.00018304i,0.0002067+0.00021832i,0.00015752-0.00052434i,-0.00027402-0.00063374i,-0.00015457-6.1186e-05i,-0.00026321+0.00025762i,-0.00042443+0.00037824i
-0.0026825-0.0024523i,-0.0027971-0.0030745i,-0.0025882-0.0032783i,-0.0023583-0.001192i,-0.00098358+0.0010646i,0.00043654+0.00067313i,0.00074936-0.0010557i,0.00060827-0.00081206i,0.00044806-0.00025686i,0.00011222+0.00024836i,-0.00072125+0.00021765i,-0.0013515-0.00028046i,-0.00056021-6.9214e-07i,0.00011478+0.00085841i,-0.00013801+0.00088848i,-0.0002218+0.00015854i,-0.00044882-7.4243e-05i,0.00011443-7.7448e-05i,0.00074854+0.00022325i,0.00039823+0.00011609i,-2.8063e-05+0.00022089i,-0.00037297+0.00017437i,-0.00075075-0.00014828i
-0.00076773+0.00057577i,-0.00045149+0.0011023i,-0.00061295-0.00011716i,-0.00064122-3.331e-05i,0.00032144+0.00024607i,0.0018349-0.00015686i,0.0018196+0.00019805i,0.00090487+0.00080099i,0.00041587+0.00091113i,6.8487e-05+0.00092044i,0.0001967+0.00043336i,0.00032663+0.0004077i,0.00032812+0.00074022i,0.0001437+0.00078523i,0.00025307+0.00074783i,0.00058471+0.00033058i,0.00026703-0.00031134i,0.00052111-0.00043119i,0.00020081+0.0004642i,-0.0010465+0.00052552i,-0.0010556+0.0002098i,-0.00064996+0.00044165i,-0.00053542+9.6292e-05i
0.0027717-0.00049867i,0.0025256-0.00096582i,0.0025395-0.0008871i,0.00057027-0.00089223i,-4.8683e-05-0.00098779i,0.00082838-0.0014498i,0.00085132-0.0011931i,0.00059914-0.00011292i,0.00067824+0.00031218i,0.00037123+0.00058064i,-0.00056025+0.00041966i,-0.00077771-0.00031562i,5.724e-05-0.00073138i,0.00049352-0.00061258i,0.00021974+0.00013637i,8.5276e-05+0.0011499i,0.00066479+0.0010528i,0.00030773+8.5651e-06i,-0.00025758-0.00065249i,0.00035832-0.00027793i,0.0002412-0.0005561i,-0.00056478-0.00071056i,-0.0009733-0.00027244i
0.0012888-0.00076345i,0.0004011-0.00052765i,-0.00038337-0.00099212i,-0.00013408-0.00063895i,0.00030328+0.00067272i,0.00086371+0.00056201i,0.0011572-0.00029337i,0.00086414-0.00057807i,0.00029709-0.00061238i,-0.00031052-0.00048614i,8.3551e-06-0.00041322i,0.00035478-6.6072e-05i,5.366e-05+9.4091e-05i,-0.00025138+0.00032693i,0.00033713+0.00052118i,0.00043049+0.00034621i,-5.8758e-05+2.5289e-05i,6.2937e-05-0.000249i,0.00095556-0.00042352i,0.00077799-0.00011429i,-0.00022155+0.00037641i,-0.00076277+0.00027425i,-0.0012312+0.00049368i
0.0023682-0.0011446i,0.0029889-0.0013067i,0.0026655-0.0014544i,0.00086819+0.00013358i,0.00053071+0.0013108i,0.001069+0.00092278i,0.0010646+0.0002475i,0.00071064-0.00087951i,-0.00019609-0.0012897i,-0.00065648-0.00082029i,-0.00029791-0.00030085i,9.9392e-05-3.8439e-05i,0.00046425+0.00037101i,0.00046657+0.00047143i,-0.00026369+0.00022252i,-0.00064768+0.00034836i,-0.00080985+5.2213e-05i,-0.00051545-0.00073146i,-0.00022782-0.00096567i,-0.00060168-0.00076941i,-0.00032793-0.00086457i,0.00014396-0.0003635i,-2.6621e-05-7.6226e-05i
-8.7251e-05-0.00014064i,-0.00051069-0.00036358i,-0.00049612-0.00043285i,-0.00011023+0.00055081i,0.00077753+0.0015968i,0.0015272+0.00090918i,0.0010823-0.00039684i,0.00064331+8.7265e-05i,0.00042953+0.00068433i,0.00028157+0.00030335i,0.00058805+0.00014459i,0.00051017+0.00021671i,0.00016624+0.00019526i,0.00039767+2.3781e-05i,0.0005791+0.00078466i,0.0003901+0.0016017i,0.00018319+0.0011155i,0.00036551+0.00026244i,0.00071696+6.4145e-05i,0.0012198-0.00018698i,0.00090514-0.00022668i,-0.00011518+8.2202e-05i,-0.0010307+4.8917e-05i
0.00053672+0.0010506i,-0.0002823+0.001864i,-0.00059121+0.00099245i,0.00037527-0.00061044i,0.0010601-0.00088426i,0.00047639-0.0010578i,-0.00025955-0.0012568i,3.5736e-05-0.00044959i,0.00039596+0.00070244i,0.00046525+0.00081046i,0.00068506+0.00048092i,0.0008566+0.00063723i,0.00033777+0.00074888i,-0.00059046+0.00040479i,-0.00064177+0.00094799i,-3.6495e-05+0.0013029i,0.00021528+0.00034757i,0.00038427+4.1658e-05i,2.7623e-05+0.00018098i,-0.0007386+0.00019589i,1.6311e-05-0.00030481i,0.00034318-0.00073946i,-0.0002673-0.00071704i
-0.0015496-0.0029798i,-0.00013039-0.0033465i,-0.00032978-0.0037118i,-0.00010125-0.0012788i,0.00084458+0.0012683i,0.0016123+0.00094696i,0.0019766+3.8321e-05i,0.0011282+1.419e-05i,0.0006395-0.00049468i,0.00060356-0.00038059i,-0.00030221+0.00026905i,-0.00034654-0.00032168i,-0.00043746-0.00072985i,-0.00095805-0.00038249i,-0.0010678-0.00036238i,-0.00022003+0.00051823i,0.00030396+0.0011578i,-2.2068e-06+0.00053963i,-0.00056613-0.00023367i,-0.00093607-0.00032605i,-0.00078808-0.00036143i,-0.00010733-0.00084347i,0.00029555-0.00019591i
-0.0015128-0.0010472i,-0.0023431-0.00082225i,-0.0048609+4.5658e-05i,-0.0046763+0.0010648i,-0.0026352+0.0013791i,-0.0010314+0.00038635i,3.5548e-05-0.0003783i,-0.00013283-0.00013567i,0.00013724+0.00027866i,0.00043832+0.0011587i,1.2159e-05+0.0015821i,-0.00036831+0.00083664i,-0.00019798+0.00021748i,-0.00026844+2.0814e-05i,0.00014549+2.2852e-06i,0.00074827-6.6678e-05i,0.00034254+0.00046024i,0.00048177+0.00074808i,0.00078835+0.00039787i,0.00051484+7.6732e-06i,0.00072638-0.00026711i,0.00074444+0.00038373i,0.00047761+0.00066417i
