0.0019296-0.001665i,0.0015048-0.0019651i,0.00026272-0.0023844i,-0.0010553-0.0022981i,-0.00076988-0.0010288i,-0.00043237+0.0015135i,-0.00021889+0.0022908i,0.00035428+0.0016081i,0.00054671+0.00096023i,0.00029229+0.00034394i,0.00022902+0.00012658i,0.00019138-6.3003e-05i,0.00041195+0.00042277i,0.00054843+0.0011382i,7.7708e-05+0.0011565i,-0.00039039+0.00036866i,-0.00018615-0.00039769i,0.00026821-0.0012944i,0.00027232-0.0010579i,-0.00032103-0.00042722i,-0.00076271-0.00040217i,-0.00029185-0.00053022i,-0.00028597-0.00047972i
0.00086047+0.002172i,0.0015978+0.0010255i,0.0035992-0.0004921i,0.0032984-0.00093736i,0.0014062-0.00013276i,-0.00051858+0.00066068i,-0.00063825+0.0004818i,-0.00024907+0.00030613i,-0.00036049-0.00041046i,-0.00029641-0.0011336i,-0.00019823-0.00065274i,-0.0002545+0.0005983i,-0.0011501+0.0010995i,-0.001953+0.00082755i,-0.0014116-0.00056577i,-0.00015814-0.00087053i,0.00036022-0.00028137i,0.00042151-0.00032141i,0.00044575-0.00020696i,0.00061921+0.00021798i,0.00075977+0.00027314i,0.00070585+5.0245e-05i,0.00056183-0.00017879i
0.0013736+0.00034905i,0.0016683-0.00022757i,0.0019434-0.00047348i,0.00061678-0.00076507i,-0.00052474-1.2798e-05i,-0.00084124+0.00035892i,-0.0006602-0.00051117i,-0.00052671-0.00072264i,-0.00027897-0.00027729i,-5.2346e-05-0.00038326i,-0.00068613-0.00057276i,-0.00090707-0.00028149i,-0.00076549-3.9988e-05i,-7.5058e-05+0.00013953i,-0.00026805+0.00023717i,-0.00041934+0.00018464i,-2.4771e-06+2.8802e-05i,0.00014971-0.00011181i,0.00082781+9.8263e-05i,0.0007015+0.00052905i,-0.00050763+0.00032535i,-0.00083827+7.4013e-05i,-0.00073285+0.00012756i
0.00032963+0.001277i,0.0013549+0.0010714i,0.0014353+0.00091458i,0.00055307+0.0015552i,0.0011561+0.0020988i,0.0016272+0.0010639i,0.00057903+0.00036271i,2.9849e-05+0.00065867i,-0.00011+0.00069512i,-0.00047407+0.00037616i,-0.00068717+0.00042972i,-0.00073624+0.00031397i,-0.00058273-6.6418e-05i,-0.0002472-0.00032769i,-0.00028209-0.00083723i,-0.00017622-0.00069485i,-0.00013475-0.00024331i,0.00039182-0.00028013i,0.0007978+0.0001027i,0.00039267+0.00049475i,0.00054701-6.1292e-05i,0.00055175-0.00078205i,0.00018186-0.00041983i
-0.0006054+5.6528e-05i,-0.00073408+0.00037196i,0.0003993+0.00013298i,8.3992e-05-0.00034361i,-2.7692e-05+3.0747e-05i,0.00040093+0.00039193i,-0.0001568-4.888e-05i,-0.00038975-0.00063072i,-0.00053368-0.00062587i,-0.00065371-0.00046085i,-6.4346e-05-0.00046618i,0.00034377-0.00048905i,0.00067194-0.00021087i,0.001342+3.936e-05i,0.0014647-4.327e-05i,0.00033965+0.00032842i,0.00024482+0.00045599i,0.001013+5.7518e-05i,0.00094769-0.00053586i,-1.5698e-05-0.00035879i,-0.00021314-0.00027966i,2.4938e-05-9.0995e-05i,-0.00032299-3.4694e-05i
0.0016349+0.00071501i,0.0018263+0.0003385i,0.0012528+0.00017908i,0.00048534+0.00079629i,0.00082126+0.0020272i,0.0010737+0.0015459i,0.00037628+0.00072089i,0.0001092+0.00095074i,8.641e-05+0.00095174i,3.0018e-05+0.001273i,-0.00029457+0.00067177i,-0.000608-0.00022563i,-0.00018027-0.00037879i,0.00016604-0.00010493i,0.00062787+0.0002381i,0.00080171+7.7814e-05i,0.00050408-5.9748e-05i,0.00027432+0.00030785i,0.00016747+0.00028298i,-0.00021314+0.00044165i,-0.00022409+0.0010729i,-0.0002421+0.00077455i,1.6738e-06+0.0002922i
0.0020886-0.00017513i,0.0011083-0.00067473i,0.00069198-0.0015282i,0.00041415-0.0019383i,-0.00025766-0.0011369i,0.00041192-0.00021826i,0.0012677-2.3359e-05i,0.001225-0.00024607i,0.001247-0.00077146i,0.00074443-0.00074874i,-0.00027046-0.00051298i,-0.0007045-0.00039927i,-0.000531+0.00010052i,6.8333e-05+0.00046116i,0.00011935+0.00026557i,-0.00013694+6.7781e-05i,-0.0007655-3.0915e-06i,-0.00088941+0.00012636i,-0.00010828+0.00077599i,0.00030397+0.00029724i,0.00032148-0.00077572i,2.8608e-05-0.00071328i,-5.8849e-05-0.00015777i
0.0006115-0.00058447i,0.0010465-0.00039852i,0.00079433-0.001017i,-0.00054422-0.00067655i,-0.0010494-0.00033977i,-0.00038172+0.00017515i,-0.00041975+0.00029335i,-0.00042339-1.5966e-05i,-0.00027035-6.789e-05i,-0.00061833-0.00040819i,-0.00049756+0.00016995i,0.00030082+0.0011224i,0.00086182+0.00055977i,0.00075782+0.00019657i,0.00053152+0.0011128i,0.00044016+0.00076907i,0.0010545-0.00061965i,0.00074536-0.0013234i,0.00013935-0.00088126i,0.00030481-0.00027254i,0.00067466-0.00011908i,0.00058315+0.0003077i,0.00028335+0.00021089i
0.0012061+3.7228e-05i,0.0009723-0.00059496i,0.00074149-0.0016213i,0.00046607-0.0016986i,0.00033347-0.00013764i,0.00017009+0.0015202i,-0.00028982+0.0013632i,3.504e-05+0.00013884i,0.00034472-0.0006272i,-0.0003143-0.00041479i,-0.00028703-5.6041e-05i,0.00045982-0.0001561i,0.0013463+0.0003126i,0.00087835+0.001217i,0.00033495+0.00099698i,0.00072398+0.00047941i,0.00035028+0.00039199i,0.00021542+0.00089274i,0.0004709+0.00059671i,0.00050236+1.4511e-05i,0.0002182-4.9882e-05i,0.00025789+0.0003438i,0.00017833-0.00012438i
0.0011117-0.00091461i,0.0011508-0.00051289i,0.0003506-0.00071259i,-0.00056948-0.00049547i,-0.00065728+0.00055867i,-0.00066811+0.00072489i,-0.00029768+0.00034408i,-5.4123e-05+0.00016034i,-0.00049242-0.00097043i,-0.00039696-0.0013715i,-0.00027415-0.00024626i,-0.00030793+0.00035914i,-0.00025812-6.2631e-05i,-0.0004693+0.00077292i,-4.2655e-05+0.0012163i,0.00067466+0.00087558i,0.00018214+0.0004878i,-8.0215e-05-0.00024445i,0.00054542-0.00092404i,5.7639e-05-0.00089725i,-2.7596e-05-0.00050234i,0.00010941-0.00047196i,-0.00044701+0.00032106i
0.0012323+8.93e-05i,0.0017654-0.00029048i,0.001143-0.0011614i,0.00019377-0.0008077i,-0.00027967+0.00013728i,-0.00041845+0.00025474i,0.0005154+9.0534e-05i,0.00096451-0.00011084i,0.00046494+7.2961e-05i,-0.00073108+0.00020109i,-0.0010618+0.00024332i,-0.0003586+0.00048763i,-0.00034211+0.00015061i,-0.00023194+0.00013611i,0.00019043-4.9027e-05i,0.0009017-0.00010905i,0.00027061+0.00013344i,6.8487e-05-0.00041183i,0.00039641+0.00020427i,0.00034754+0.00063643i,0.00057021+0.00064626i,0.00054149+0.00032662i,-0.00010789-0.00038634i
