0.00029476+0.0011705i,0.00011908-0.00021133i,-0.0013175-0.0018119i,-0.00080236-0.0035553i,-0.00012814-0.0026493i,-0.00037782-1.5316e-05i,-0.0012057+0.00063734i,-0.00093939+0.00049714i,0.00023818+0.00017897i,0.00094559+4.1142e-05i,0.0002639-0.00026241i,0.00019373-0.0010675i,0.00044807-0.00074895i,-0.00031391-0.00048032i,-0.00057546-0.00036367i,9.4319e-05-0.00048679i,0.00072157-0.0011998i,0.00058372-0.00087411i,0.00032039-7.3787e-05i,0.00065508+0.00027992i,0.00044104+0.00018408i,-0.00010465-5.2738e-05i,5.2326e-05-0.00055983i
-0.0015523+0.0033966i,-0.0012707+0.0032707i,0.00028753+0.0029187i,0.0028583+0.0017955i,0.0034498+6.1099e-05i,0.0029826-0.0016167i,0.0014233-0.0017402i,-2.9741e-05-0.0009823i,9.5064e-06-0.00051609i,-0.00015065-0.00027643i,-0.00024406+0.0002709i,0.00014131+0.00031058i,-0.00012056+0.00047641i,-0.00011834+0.00078755i,0.00048282+0.00075493i,0.00066851+0.00068094i,0.00011714+0.00032999i,-0.00047093-3.9142e-05i,-0.00099892-5.8777e-05i,-0.0010115+0.00067627i,-0.00067064+0.0010843i,7.0654e-05+0.001127i,0.00032252+0.0010377i
-0.0020633+0.0012921i,-0.0022198+0.0016613i,-0.00089343+0.0014529i,0.00024755+0.0014661i,0.0014951+9.5231e-05i,0.0018189-0.0006908i,0.00088828-0.00046965i,-0.00024158-0.00076104i,-0.00059226-0.00060637i,-3.9415e-05-0.0002122i,-3.3981e-05+0.0001546i,0.000143+0.00018882i,0.00036077-5.7324e-05i,0.00021502+0.00017694i,0.0003523+8.4633e-05i,0.00045299-0.00068082i,0.00027684-0.0012738i,-9.8511e-06-0.00091873i,-0.00067532-0.00010146i,-0.0010279+0.000341i,-0.00046335+0.00018792i,0.00040326+8.182e-05i,0.00024956+0.00026888i
-0.0015484+0.00094637i,-0.0025163+0.00062334i,-0.0026179+0.00042863i,-0.00067241-0.00051431i,0.00088229-0.00090608i,0.0017593-0.0012894i,0.0013879-0.0018611i,0.00011961-0.0013675i,-0.00044042-0.00040235i,-0.00037049-0.00019949i,-0.00014465-1.096e-05i,-0.00018353+0.00046372i,-0.00026527+0.00056972i,-0.00045465-0.00029779i,-0.00017109-0.00015857i,2.3572e-05+0.00065802i,-0.0004144+0.00043062i,9.9034e-05-5.638e-05i,0.00054392-0.00027255i,6.8309e-05+0.00018823i,-0.00018554+0.0005523i,0.00080531+0.00044106i,0.00070769+0.00024815i
0.00049603-0.0042754i,2.4999e-05-0.0031292i,0.00018711-0.0029822i,0.00094856-0.0018889i,0.0012318-0.00079953i,0.0013715-0.000639i,0.00079316-0.00057301i,0.00032677-0.00089439i,0.00057851-0.0016672i,0.00047215-0.0018286i,-0.00032374-0.00081747i,-0.00047105-0.00050007i,0.00035125-0.00064797i,0.00034484-0.00020883i,-0.00015161-0.0004892i,-0.00056304-0.0010937i,-0.00063222-0.0014106i,-0.00054292-0.001027i,-0.00066094-0.00046121i,-0.00036983-0.00015283i,-0.00026843+0.00050713i,-0.00094905+0.00026907i,-0.00090618-0.00040316i
-0.0007637-0.001116i,0.00063704-0.00099157i,0.00094785-0.0012294i,0.0014042-0.0014693i,0.0022146-0.00094963i,0.0017782-0.00051704i,0.0012972+0.00018073i,0.00060941-0.00016626i,-0.00063638-0.00088139i,-0.00083885-0.00089501i,-0.00016169-0.00057636i,2.025e-05-0.00015282i,-0.000475+0.00012186i,-0.00024246-2.8626e-05i,0.00050174-0.00037974i,0.00089243-0.00045213i,0.00067203-0.00057109i,0.00045038-0.00020688i,0.00057439+8.3075e-05i,0.00053264+0.00023799i,0.00067595+0.00049121i,0.00046655+0.0010299i,-0.00020818+0.00086613i
-0.00035393+0.0016066i,-5.4189e-05+0.0013773i,0.0006943+0.0010762i,0.0016941-0.00011886i,0.0016819-0.0015909i,0.0010313-0.0021585i,-2.9781e-05-0.0018328i,8.7233e-05-0.00067012i,0.00070621-0.00014399i,0.00011981-0.00061685i,3.9248e-05-0.00055299i,0.0010641+0.00048251i,0.00097836+0.0015064i,0.00086892+0.00092239i,0.0014686-0.00048566i,0.0011897-0.001084i,0.00048677-0.00023761i,-0.00040224+0.00045411i,-8.2778e-05+0.00041961i,0.00053114+0.00037962i,0.00074691-4.9433e-05i,0.001024+0.00022925i,0.0012686+0.0001918i
0.00026006-0.0017042i,-0.00055404-0.0014454i,-4.7454e-05-0.0021846i,0.0010721-0.0017174i,0.0016185-0.0017368i,0.0010005-0.0021625i,0.00042998-0.0015111i,0.00092329-0.000297i,0.00083732+0.00054808i,9.3785e-05+3.7353e-05i,0.00017385-0.00081643i,-9.3958e-05-7.8162e-05i,-0.00069899+0.00058283i,6.3336e-05+0.00034556i,0.0006076-4.9359e-05i,-6.1364e-05-0.00099946i,-0.0003228-0.0011644i,-0.00042025-0.00023804i,-0.00083359+0.00092357i,-0.001222+0.0008843i,-0.0013799+0.00038648i,-0.0011687+0.00024595i,-1.6312e-05-0.00013388i
0.00017784+0.0011719i,0.00066676+0.0003848i,0.0014987-0.00091722i,0.0028945-0.0023374i,0.00272-0.0029601i,0.0017828-0.0024567i,0.0010548-0.00099414i,0.00022383+0.00028492i,-0.00026216+0.00044214i,-0.0004235-0.00032868i,-7.8565e-05-0.00022761i,0.001004-3.2182e-05i,0.0013293-0.00016171i,0.00096384+0.00013939i,-0.00010629+0.00028361i,-0.00065342-0.00055758i,-0.00018462-0.00082175i,0.00027485-0.00084491i,0.00055902-0.00038493i,0.00014708+0.00035055i,-0.00023932+0.00035462i,-0.00050208+0.00064562i,-0.00050669+0.00054143i
-2.4361e-06-0.0010694i,-0.00038539-0.00032821i,0.00075286+0.00071329i,0.0025441+0.0010605i,0.0020779+0.00014175i,0.00014225-0.0021212i,-0.00078293-0.0029282i,-0.00021418-0.0018961i,0.00025836-0.00043796i,0.00025256+0.00029617i,0.00013544+0.00055723i,0.00065966+0.0016484i,0.00041239+0.00091102i,0.00043991-0.00081213i,0.00098989-0.0015523i,0.00040277-0.0016243i,-0.00036552-0.00099421i,-0.00041328-0.00030923i,-0.00036785-0.00017045i,-0.00022869-0.0002205i,0.00012802-0.00021043i,0.00055238+0.00041521i,0.0013125+0.00049536i
0.00089272-0.0024222i,0.00074854-0.0029658i,0.001754-0.0043348i,0.0021255-0.0040004i,0.0014568-0.002425i,0.00025383-0.0013292i,-0.00043692-0.00094293i,-0.001038-0.00098073i,-0.00067702-0.00063899i,0.00024458+0.00010508i,0.0001286+0.00043989i,-1.7363e-05+0.00079647i,0.00019589-0.00016134i,-0.00040869-0.00090274i,-0.00072419-0.00048567i,-0.00012233-0.00042729i,0.00020333-1.6941e-05i,5.9444e-05+0.00060151i,0.00057061+0.00063928i,0.00055685+0.00037038i,0.00038176+0.00041049i,0.00039358-0.0002921i,0.00044569-0.00082434i
