-0.0020426+0.0016102i,-0.002717+0.00059674i,-0.0020184+0.0011879i,-0.00057073+0.00128i,-0.00025205+0.0019188i,-0.00060668+0.0020204i,-0.00091122+0.0026799i,-0.0004261+0.002458i,0.00080195+0.0016858i,0.0013104+0.0014159i,0.00049237+0.00036708i,-9.8893e-05-0.0008041i,0.00042417-0.0015951i,0.00053067-0.0020281i,0.00028974-0.0013167i,-0.00013712+9.981e-05i,0.00019881+0.0014404i,0.00047266+0.0011158i,-0.00019311-5.1195e-05i,-0.00047899-0.00045715i,3.4307e-05-0.00027805i,0.00046955+0.00015801i,0.00058014-0.00015957i
0.00093626-0.00088673i,0.00084371-0.00073709i,0.00033319-0.00032925i,-0.00020115-3.1414e-05i,-0.0017222+0.00019785i,-0.0012672+0.0009896i,-0.00016209+0.0017122i,-0.00041378+0.00080362i,5.0476e-05+0.00028245i,0.00053514+0.0004998i,0.00065725+6.9019e-05i,0.0011042-0.00089653i,0.0011344-0.00062156i,0.00018436+0.0004181i,4.8931e-05+0.00030242i,7.5102e-05+0.00032783i,-0.00035749+0.0004044i,-0.00019203-8.5905e-05i,-0.00064482+0.00031904i,-0.0010575+0.00082924i,-0.00032361+0.00095206i,0.00054767+0.00030153i,0.00042938-0.00024512i
-0.00044821+8.9914e-05i,-0.00012366-0.00010335i,-0.00026786+0.0007923i,0.00027956+0.0011675i,3.204e-05+0.0014718i,-0.0011699+0.0010715i,-0.00089204+0.00056095i,-0.00052651+0.00077927i,-0.00027762+0.00060377i,0.00044783+0.00050345i,0.0010739+0.00074437i,0.00097295+0.00062228i,0.0010509+0.00032153i,0.00092262+0.00032538i,0.00029092+0.00025266i,0.00030331-0.00013767i,-5.3043e-05-0.00034439i,-0.00081127-0.00061049i,-0.00079512-0.0009127i,-0.00068396-0.00046186i,-0.00055545-0.00023543i,-0.00010094-0.00078713i,0.00020796-0.00015513i
0.00040451-0.0019139i,9.0846e-05-0.0016924i,-0.00040316-0.0021659i,-0.00021674-0.00025622i,-0.00094681+0.0021413i,-0.0010588+0.0027024i,-5.7776e-05+0.0021067i,0.00070223+0.0012735i,0.00040188+0.00042993i,0.00045352+0.00064965i,0.00030877+0.0013575i,0.00011299+0.00082878i,0.00017717+0.00079862i,0.00044464+0.0010869i,0.00069247+0.00065016i,0.00041064+0.00010675i,0.00018931-0.00023045i,0.0004865+3.1322e-05i,0.00044362+0.00029869i,-5.298e-05+0.00093238i,0.00014503+0.0014706i,0.00030047+0.0016125i,-0.00041664+0.0014097i
-0.00010722+0.0013345i,0.00094911+0.00043414i,0.0016364-0.00027753i,0.001032+9.376e-05i,-0.0011161-0.00025961i,-0.002019+5.0654e-05i,-0.0011072+0.00055265i,0.00052841+0.00053116i,0.0014178+0.00061305i,0.0014688+0.00050376i,0.0011432+0.00044741i,0.00029862+0.00021733i,0.00071183+0.00061679i,0.00084415+0.00092524i,0.00040887+0.00033507i,-4.1383e-05-0.00033827i,-0.00011421-0.00054225i,0.00013514-0.00016748i,0.00033652+0.00053728i,0.00033282+0.00061841i,-0.00026557+0.00071918i,-0.00041203+0.00070808i,-2.6194e-05+5.3403e-06i
-0.0010099+0.0011795i,-0.00077951+0.0014762i,0.00015329+0.0021324i,0.000544+0.0023372i,-0.00018597+0.0019908i,0.0002603+0.0015046i,0.00095667+0.00048111i,0.0011895-0.00020233i,0.00097305-0.00037277i,0.00047134+0.00030108i,-7.381e-06+0.00096678i,-0.00024141+0.00054766i,0.00031559+0.00037792i,0.00042189+0.00060815i,0.00046003+0.00071212i,1.3947e-05-6.7508e-05i,-0.00011681-0.00057371i,7.1469e-06-0.00026454i,-0.00041807+6.9838e-05i,-2.1118e-05+0.00018582i,0.00057434+0.00018738i,0.00056232+0.00040418i,-1.8826e-06+0.00040888i
-0.0012142-0.00096551i,-0.0010796-0.00013567i,-0.00053965+0.0001532i,-0.0011922+0.00042884i,-0.0010362+0.0012221i,-0.00081139+0.0017672i,-0.0003729+0.0016769i,0.00059774+0.0013809i,0.00023283+0.0011847i,-0.00028486+0.0012448i,-0.00051735+0.00093971i,-0.0010008+0.00069049i,-0.0014771+0.00072915i,-0.0010604+0.00061983i,-5.4441e-05+0.00022538i,0.00053538-0.0004545i,0.00010018-0.00089709i,-0.00049381-0.00033494i,-0.0010009-8.3782e-05i,-0.0011853+9.54e-05i,-0.00068093+0.00031803i,0.00012562+0.00037595i,0.00014244+0.00059335i
-0.0012938-0.00059943i,-0.001805+0.00069408i,-0.0024996+0.0026204i,-0.0014379+0.0026588i,-0.00019669+0.0020588i,-0.00040497+0.0021302i,-0.00024968+0.0023031i,4.0385e-05+0.0019589i,0.00023324+0.00133i,0.00036033+0.0010447i,0.00061706+0.00029641i,0.00078626-0.0001596i,0.00015228+0.00016904i,0.00055823+0.00054366i,0.00021888+0.0003706i,-0.00052762+4.9152e-06i,0.00019796-9.8014e-05i,0.00030275-0.00033823i,-0.00092435+0.00015098i,-0.0013195+0.0006552i,-0.00049043+0.00072329i,0.00023493+0.00061062i,0.00075833+0.00033738i
-0.0021164-0.0036829i,-0.0033401-0.0026582i,-0.0033933-0.0018303i,-0.0024128-0.00081931i,-0.0025853-0.0001693i,-0.0026622+0.0008861i,-0.00071785+0.0015327i,0.00072255+0.00065227i,0.00022617-0.00024582i,-0.00065314+0.00012568i,-0.00093656+0.00068564i,-0.00023679+0.00053147i,0.00070076+0.00011734i,0.00042+0.00049993i,-0.00010175+0.00060502i,-0.00020847+4.0369e-05i,-0.00028186-0.00071019i,0.00018593-0.00056962i,0.0010141+0.00012081i,0.001163+0.00053715i,0.00065203+0.00027572i,-0.00014247-0.00034397i,-0.00088682-0.00077333i
0.00027718+0.0015857i,0.001289+0.0011715i,0.0026705-0.00026038i,0.0022026-0.00081547i,0.00063601-0.00036169i,4.496e-05+0.0009541i,0.00044344+0.0021681i,0.00071958+0.0013532i,0.00096751+0.00025517i,0.00019837+0.00011777i,-0.0006598+2.3859e-06i,-0.00017218-0.00025679i,0.00056547+0.00010839i,0.0010741+0.00021271i,0.0011097+0.00028032i,0.00064539+0.00026133i,7.4874e-05+0.00024483i,-0.00039065-0.00019448i,-0.00030954-0.00062917i,-0.0002521+0.00019257i,-0.00039516+0.00057157i,-9.595e-05-0.00014425i,1.2468e-06-0.00015682i
0.0018805-0.0004655i,0.00090645-0.00044284i,-0.00028693-0.00059507i,-0.00035529-0.00067715i,-0.00057341-0.00033999i,-0.000691+0.00030837i,-0.00055149+0.00038137i,-0.0003969-0.00062296i,-4.8244e-05-0.00090975i,0.00014331-0.00041839i,-8.9951e-05-0.00030154i,-0.00022973-0.00059775i,-0.00013946-0.00022067i,0.00033117+0.00041445i,0.00035579+0.00028731i,-0.00026957+8.3969e-05i,-5.2106e-05+0.00067505i,-5.1424e-05+0.0011326i,-0.00068707+0.00098968i,-0.00028447+0.0011297i,0.00063787+0.0014506i,0.00098707+0.0011303i,0.00047175+0.00018991i
-0.0015535+7.011e-05i,-0.0012306+0.001847i,-0.0013628+0.0028523i,-0.0012267+0.0028839i,-0.0012931+0.0020997i,-0.0011656+0.0014365i,-0.00039969+0.0011539i,0.00027002+0.00027771i,0.0006293+0.0002149i,0.00044272+0.00066853i,0.00038938+0.00028149i,0.00035225+0.00012366i,0.00017306+0.00031593i,0.00020896+0.00010815i,-3.1454e-05-1.4822e-06i,5.5625e-05+0.00025937i,-0.00015148+0.00019577i,-0.00051271-0.00026594i,-3.0064e-05+0.00022756i,0.00038706+0.00051513i,0.00051761-0.00039857i,2.0217e-05-0.00084675i,-0.0004303-0.00058503i
-0.00081702-0.0012038i,-0.00013671-0.0010248i,0.00035512-0.001442i,-0.00013317-0.00063835i,-0.0007174+0.00050594i,-0.00059528+0.0019424i,-0.00018263+0.0017348i,0.00077547+0.00064712i,0.00137-0.00024095i,0.00032254-0.00025516i,-0.00026965+0.00062897i,-0.00019442+0.0010562i,6.2735e-05+0.00062765i,-0.00011232+0.00029404i,0.00025014+0.00023756i,0.00071884+0.00055805i,0.00038565+0.00076926i,0.00022457-0.00040543i,0.00051822-0.00067228i,0.00042913-0.00018362i,-0.00021942-0.00064633i,-0.00035913-0.00027449i,0.00040487+0.00092169i
