-0.0012301-0.00029107i,-0.0017755-0.00036694i,-0.0031936-0.00012842i,-0.0036953-0.00094235i,-0.0043719-0.00045333i,-0.0038176+0.0021677i,-0.0017393+0.002674i,0.00024442+0.0011806i,0.0010655+0.00031209i,0.0011328+0.00090876i,0.00094521+0.00077516i,0.00031095-5.573e-05i,-0.00043592+0.00058846i,-0.00042992+0.00075653i,0.00018995-0.0006393i,0.00017675-0.00091628i,-0.0003106-2.214e-05i,-0.00036251-4.0783e-05i,-0.00027465-0.00020425i,-0.0002356+0.0002161i,0.00054664+3.46e-05i,0.00090086-0.00019737i,0.00029812-0.00049408i
-0.002294+2.963e-05i,-0.0026589-0.00029885i,-0.002343-1.3787e-05i,-0.0010637+9.0366e-05i,0.00053306+4.6902e-05i,0.0010147+0.00067435i,0.0015818+0.00086794i,0.0015873+0.00055068i,-0.00016772+0.00072704i,-0.000794+0.00062593i,0.00010212+0.00047151i,0.00023486+0.00054605i,-0.0003379+0.0005287i,-0.00021844+0.00044093i,0.00045465-0.00042434i,0.00018059-0.00097131i,-0.00039583-0.00060391i,-0.00026116+1.2083e-05i,0.00031401+0.00033933i,0.00059406+0.00015464i,-0.00015252+1.8638e-05i,-0.00078024-0.00016183i,-0.00088609-0.00058407i
0.00041871-0.0015432i,0.00013863-0.0015456i,-0.0013836-0.0025314i,-0.0025838-0.0027072i,-0.0030515-0.0015607i,-0.0026752+7.9387e-05i,-0.00086798+0.0005395i,-0.00027428-9.9855e-05i,-0.00071629-0.00023653i,-0.00036304-3.5246e-05i,-0.00016223-0.00025425i,0.00010644-0.00018779i,0.00042992+0.000868i,0.00090666+0.0011141i,0.00058821+0.00019821i,-0.0005773-0.00046305i,-0.00061119-0.0004296i,0.00025719+0.00019644i,-9.7441e-05+0.00072628i,-0.0010072+0.0003198i,-0.00037505-5.6251e-05i,0.00033595+5.859e-05i,-0.00013476-0.00013716i
0.00053119-0.0018257i,0.00080594-0.001465i,0.00092812-0.001994i,-0.00015487-0.002994i,-0.00068105-0.0020602i,-0.00085679-6.4877e-05i,-0.00018855+0.00070934i,0.0004338+0.00024779i,-2.5722e-05+1.5998e-06i,-0.00052894-6.4651e-05i,-0.0006368+4.751e-05i,-0.0011794+0.00069656i,-0.00070451+0.00044226i,0.00021525-0.00040686i,-0.00071009-0.00045041i,-0.0014357-0.00010144i,-0.00079392+0.00018886i,0.00018332+0.00037764i,0.00027855+0.00059486i,-5.0863e-05+0.00096751i,0.00041908+0.00037964i,0.00013888-0.000241i,-0.0004395-9.6171e-05i
0.0012823-0.0011347i,0.0018215-0.0011589i,0.001365-0.001879i,0.00067199-0.0012629i,-0.00090574-0.00022959i,-0.0015069+0.00028226i,-3.1047e-05+0.0007211i,0.00046051+9.2206e-05i,0.00038094-0.00034737i,-0.0001635-0.00076275i,-0.00035997-0.001223i,-1.2579e-05-0.0011806i,0.00019205-0.00052371i,0.00020416-3.0072e-05i,-0.00016848-0.00011387i,-0.00036901-0.00016834i,0.00038999-0.00067047i,0.00048686-0.0003433i,-0.00027829+5.5889e-05i,-0.00072297+0.00013933i,-0.00078713+0.00040786i,-0.0003291+1.8441e-05i,0.00013797+9.6867e-05i
0.00058961+0.0010014i,0.0013799+0.0021168i,0.00045376+0.0023704i,-0.00033509+0.0011031i,-0.00041682+0.00034168i,-0.0011093+0.00059513i,-0.00096078+0.00037446i,0.00013215+0.00012857i,0.00032447-0.00010007i,0.00016396-0.00010045i,-7.8647e-06+0.00030428i,0.00026201+0.00090811i,9.0865e-05+0.00085311i,-0.0001873+0.00031592i,0.00032314+0.00039576i,-9.8378e-05+0.00096705i,-0.00044719+0.00081986i,0.00022043+0.00023112i,0.00055762-2.9021e-05i,-7.6699e-05+7.2572e-05i,-2.9157e-06+0.00026392i,-2.2509e-05+0.0004887i,-0.00032109-8.5545e-05i
-0.00091038+0.0012977i,-0.00032933-0.00019612i,-0.00048604-0.0015245i,-0.00080389-0.0010652i,-0.00060229+0.00042594i,2.7356e-05+0.00028777i,0.00089485-0.00057367i,0.00049168-0.0005315i,0.00030403-0.00036082i,0.00040751-0.00040688i,0.00032453+0.00036283i,2.7311e-06+0.0007274i,-5.7953e-05+0.00034497i,0.00040535+0.00010796i,9.0866e-05+0.00028428i,-0.00011701+0.00063029i,-6.2756e-05+0.00016076i,0.00041817-0.00022251i,0.00068028+0.00014743i,0.00014903+0.00023973i,-0.00032164+0.00056288i,-0.00048431+0.00099957i,-2.5023e-05+0.0010429i
0.00017776+0.00022078i,0.00043683-0.0002668i,-0.00012365+0.00043378i,-0.00036178+1.4611e-05i,-0.00098576-0.00058531i,-0.0014794-0.00088431i,-0.00033259-0.0004875i,4.2019e-05+0.0003631i,-0.00047006+0.00054768i,-3.6323e-05+0.00057863i,0.00026242+0.00030078i,0.00058457+0.00052441i,0.00089079+0.00049331i,0.00044087-0.00019412i,0.00016639-2.2849e-05i,-0.00015371+0.00020925i,-0.00022131-0.00073038i,9.636e-05-0.0005659i,0.00015104-0.00014329i,-7.6165e-05-0.00037818i,-0.00045941-0.00039017i,-4.0349e-05-0.00057945i,0.00015963-0.00021397i
0.00014216+0.0011486i,0.00039937+0.0019446i,-0.00016312+0.0028135i,-0.0010528+0.00062002i,-0.00074177-0.001382i,-0.00067402-0.00048028i,-0.00043971+0.00017349i,-0.00034408-0.00019957i,-0.00078667-0.00059819i,-0.0014161-0.00066109i,-0.00091317-0.00028736i,-0.00028322+0.00016003i,2.9543e-05+0.00019355i,0.00015128+0.00067625i,1.2574e-05+0.00059881i,0.0002872+0.001054i,-0.00034356+0.00073088i,-0.00048871-0.0002599i,0.00028814-9.9239e-05i,0.00029433-6.1963e-05i,2.4414e-05-0.0002897i,0.00050371-0.00043389i,0.001446-0.00013451i
0.0010695-0.002145i,0.00073354-0.0026573i,-0.00086419-0.0032358i,-0.0017572-0.0029152i,-0.0024467-0.0016117i,-0.0009459-0.00031094i,0.00087209+5.6309e-05i,3.1795e-06+1.6768e-05i,-0.00098329+0.00024028i,-0.00061783-0.00016564i,0.00028064-0.00079072i,-0.00037961-0.00040162i,-0.0010735+0.00014586i,-0.00087958+6.6862e-05i,-0.0008653-7.9891e-05i,-0.00040816+6.2143e-05i,-0.00019175+0.00050358i,-0.00068605+0.0010063i,-0.0003638+0.00058048i,0.00040209-0.00021809i,0.0005546-0.00011988i,0.00087423+0.00037255i,0.00015203+0.00023134i
0.00048856+0.00072844i,0.0006694+0.00098092i,0.0014198+0.001089i,0.00085926+0.00073495i,-0.00018721+0.0004924i,-0.00080989-7.4732e-05i,-0.00061425-0.0002995i,-0.00034524-0.00028927i,-0.00019201-0.00015279i,0.00021908-0.00013467i,-0.00045066-0.00053566i,-0.0010532-0.00064931i,-0.00071515-0.00011046i,-0.00045621+0.00017859i,-0.0005717-2.9323e-05i,-0.00069402+0.00028965i,-0.00091916+0.00054628i,-0.0011793-0.00023814i,-0.00022543-0.00019449i,0.00026686+0.00024632i,0.00068067+0.00012754i,0.00073093+0.00025503i,-0.00012928+0.00016389i
