-0.0036722-5.5365e-05i,-0.0032949+0.0016065i,-0.0044065+0.0029851i,-0.0032964+0.0029672i,-0.0022423+0.0021264i,-0.00246+0.0016975i,-0.0023666+0.0011118i,-0.0013219+0.00065962i,-0.00032732+0.00054252i,-0.00014767+1.2301e-05i,0.00019174-0.00027137i,3.8402e-05-0.00010208i,0.00013677+0.00022157i,0.00048775+0.00030423i,-0.00013427+0.00047909i,-0.00062491+0.00059618i,4.1435e-05+0.00072831i,0.00028079+0.000671i,-0.00017788+0.00055404i,-0.00040604+0.00067218i,-0.00071644+0.0010722i,-0.0012869+0.00090504i,-0.0005539+0.00038113i
-0.0013707-0.001454i,-0.0015136-0.00062332i,-0.0027574-0.00093708i,-0.0035258-0.0020529i,-0.00242-0.0016452i,-0.0013297-0.00036475i,-0.00043706-0.00020093i,-4.4143e-05-0.00029873i,-0.00061278-0.00031205i,-0.00034578-0.00032821i,-0.00063543+0.00029326i,-0.00090079+0.00058498i,-0.0005195-0.00042437i,0.00015099-0.00084476i,9.0497e-05-0.00027946i,-0.00016128-0.00028619i,7.9926e-06+3.2317e-05i,-6.1065e-05+0.00057185i,-0.00069248-0.0003036i,-0.00086933-0.00087023i,5.9812e-05-0.0011089i,0.00065336-0.00044553i,-0.00017303+0.00056984i
-0.00091375+0.00019462i,-0.00049214+0.0017088i,-0.00031595+0.0014217i,-0.0013835+0.00036415i,-0.0021312+0.00010919i,-0.0015945-1.683e-05i,-0.0010772+0.0002216i,-0.0012204-9.3269e-05i,-0.00029767-0.00085156i,0.00054304-0.00032239i,0.00050996+0.00021612i,0.00069026+2.9121e-05i,0.00024357-0.00031341i,0.00039186+3.65e-05i,0.00049434+0.0012102i,8.8038e-05+0.00060586i,-0.00050603-0.00059757i,-0.0010324-0.00024574i,-0.00098229-0.00025904i,-0.00011306-0.00095789i,0.00065866-0.00070875i,0.00097394-0.00034282i,0.00131-0.00072133i
-0.0012449+0.00014833i,-0.0016956+0.00041982i,-0.0019516+0.00037201i,-0.0018545+0.00065708i,-0.0017767+0.00019962i,-0.0017417-0.0007059i,-0.00059463-0.00038439i,0.00021008+0.00054703i,-0.00046588-0.00019i,-0.00099736-0.0013707i,-0.000594-0.0016523i,-0.00020058-0.00098786i,-0.00014867-6.5364e-05i,-0.00045284+0.00054629i,-0.00025657+0.00057729i,0.0007136+0.0010569i,0.001369+0.00092538i,0.0014471+0.00081476i,0.00053297+0.00061353i,0.00014894-0.00026873i,0.00023616-0.00040369i,-0.00012762-2.3066e-05i,5.6736e-05+0.00023559i
-0.00013735+0.00074719i,-0.00025859+0.0012146i,-0.00061208+0.0012228i,-0.00092286+8.4919e-05i,-0.0015069-0.0011918i,-0.0016414-0.00095552i,-0.0015645+0.0003582i,-0.0014267+0.00075617i,-0.00031364-0.00022118i,0.00023946-0.00082863i,0.00033097-0.0012441i,0.00070584-0.00097274i,0.00044828-0.00064717i,4.5607e-05-0.00066875i,3.1139e-05-5.4034e-05i,-0.000271+0.00010107i,-0.000378-0.0001343i,0.00013903-0.00037422i,0.00025995-0.00040224i,-0.00026884-0.00054184i,-0.00059378-9.7319e-05i,-0.00081674+0.00044122i,-0.00063648+0.00020153i
-0.0019019+0.0022695i,-0.0012593+0.0024599i,-0.00072452+0.0034571i,-0.00079078+0.0034968i,-0.0010086+0.002163i,-0.0011015+0.0012377i,-0.00091214+8.7677e-05i,-0.00029908-0.00054684i,6.9754e-05+0.00020225i,0.00010211+0.000681i,-0.00062235+0.00055756i,-0.00072819+0.00015602i,-0.00039151-0.0003188i,-0.00080171-0.00064247i,-0.00061159-1.8672e-05i,5.245e-06+0.00023491i,0.00042468-0.00052868i,0.00019964-7.4041e-05i,-0.0001591+0.00040577i,-0.00064529+4.2922e-05i,-0.0010196+4.5054e-05i,-0.00089084-0.00030931i,-0.0007509+0.00014287i
-0.0012679+0.0013412i,0.00017633+0.001539i,-0.00080496+0.0012993i,-0.00088233+0.00061326i,-0.0001758+0.00026188i,-0.000144-9.1606e-05i,-0.00049938-0.00059376i,-0.00066331-0.00083741i,-0.00094821-0.00090747i,-0.00087568-0.00093313i,-0.00056996-7.0136e-05i,-0.00078645+0.00065661i,-0.0011445+0.00060148i,-0.00033479+0.00056967i,3.1896e-05+0.0005901i,0.0003411+0.00015619i,0.00091884+0.00070421i,0.00033308+0.001526i,-0.00081393+0.0011221i,-0.0013059+0.00047198i,-0.00093859-0.0001405i,-0.0001149+5.5502e-06i,9.2753e-07+0.00010205i
-0.00093571+0.00049062i,0.00014754+0.001072i,0.0010238+0.0015376i,0.0010703+0.00050469i,0.00037081-0.00032649i,-0.00083209-0.00038493i,-0.0017542-0.00080329i,-0.0011169-0.0013501i,-0.00014654-0.0008186i,-0.00029154-0.00055547i,-0.00026041-0.00045856i,0.00036538-0.00015115i,0.00038627+0.00038077i,-1.7112e-05+8.0759e-05i,-1.8295e-05-0.00026333i,0.00052509+5.3891e-05i,0.00059959+0.00034463i,-0.00022968+0.00044555i,-0.00023103+0.00026748i,9.5916e-06+0.00042404i,-0.00013647+0.00010591i,0.00021983+0.00016098i,0.00053213+0.00030868i
-0.0007836+0.0014226i,-0.0007901+0.0011427i,-0.0011711+0.00022668i,-0.00070128+0.0002379i,-0.00024198+0.00029848i,-0.00089931-0.00041252i,-0.0011574-0.00059227i,-0.0012375-0.0002468i,-0.0009977-0.00048042i,-0.001271-0.00053866i,-0.0010759-0.00027989i,-0.0010539-0.00057331i,-0.00075757-0.00074459i,-0.0010282-0.00024983i,-0.0006802+0.0003504i,-0.00038856+0.00030009i,-0.0005202-0.00040475i,0.00024146-0.00014453i,0.00035456-0.0003369i,0.00027837-0.0010788i,4.8704e-05-0.0004547i,-0.00059566-0.0001537i,-0.00027959-0.00034553i
-0.0013631-0.0012529i,-0.0012796-0.0013966i,-0.000781-0.0012001i,-0.00080996-0.00084321i,-0.0022274-0.00094105i,-0.0029327-0.00051247i,-0.0026867+0.00020294i,-0.0020564+1.4736e-05i,-0.0011033-4.3109e-05i,-0.00064866+0.00043133i,-0.00014218-0.00015767i,0.00017567-3.3111e-05i,-0.00019712+0.00073424i,-0.00066927+0.00046176i,-0.0003988-0.00043556i,-1.5844e-05-0.0011133i,-0.0001071-0.00033544i,-0.00043241+0.00098852i,-0.00049631+0.0014695i,-0.00038199+0.00069557i,-0.00071973-0.00025367i,-0.00058586+1.948e-05i,0.0004884+0.00012955i
-0.0024218+0.00033916i,-0.0017106+0.00045334i,-0.0011867+0.00017553i,-0.0020753+0.0001896i,-0.0025081-0.00011829i,-0.0022708-0.00037199i,-0.0014027+0.00095653i,-0.0011012+0.0015449i,-0.00079763+0.0010397i,-0.00077566+0.00051541i,-0.001066-0.00030878i,-0.00055359-0.00030342i,8.489e-05-0.00026305i,0.00022317-0.00080007i,-0.0005952-0.00028099i,-0.00092886+0.00070582i,-0.00086969+0.00057649i,-0.0008725+0.00073585i,-0.00070353+0.00058704i,-0.00073515+0.00028905i,-0.001013+0.00011827i,-0.001096+7.2791e-05i,-0.00017889-1.5596e-05i
