-0.0012338+0.0012149i,-0.00050245+0.00055416i,-0.0017983+0.0011492i,-0.0028661+0.0013132i,-0.0022752+0.0016376i,-0.0010173+0.0019351i,-0.0011031+0.0017062i,-0.0014215+0.0011589i,-0.0012917+0.00046001i,5.851e-05+0.00064711i,0.0016647+0.00049248i,0.0014652-0.00055195i,0.00038005-0.0018436i,-7.9399e-05-0.0017393i,-0.00033755-0.00064119i,-0.00024364-0.00011989i,-8.3947e-05-0.00031909i,8.8481e-05-0.00052921i,0.00012308-0.00046097i,-0.00046796-0.00073128i,-0.0005576-0.00091779i,-0.0003563-0.0010936i,-0.0008144-0.0010694i
0.0013313-0.00059258i,0.0009083-0.0009754i,0.00020931-0.0016726i,-0.00076792-0.0029247i,-0.0014819-0.0022244i,-0.0020157-0.00076293i,-0.0018684-0.00044775i,-0.0011325-0.00036163i,-0.00073172-0.00075665i,-0.0010809-0.0014389i,-0.00085841-0.00082974i,-0.00030499-0.00014228i,-7.7083e-06+0.00048622i,0.00067377+0.0005162i,0.0010364+8.2055e-05i,0.00049928+5.9515e-05i,0.00044186-0.0007439i,0.00072828-0.0011586i,0.00091437-0.00061214i,0.00042703+1.2333e-05i,-3.5338e-05-0.0001274i,-0.00028754-0.00023996i,-6.8835e-05+4.3131e-05i
-4.006e-05-0.0010616i,-0.00049772-0.0010928i,-0.0012886-0.0016477i,-0.00050968-0.00218i,1.5694e-05-0.0019442i,-0.00016268-0.0012641i,-0.00018452-0.00065912i,-8.3345e-06-0.00083621i,-0.00042086-0.00077969i,-0.00068834-0.00030959i,-0.00094064-0.0005498i,-0.00058357-0.00087218i,-0.00019415-0.0012979i,1.9762e-05-0.00079995i,9.1394e-05+0.00037888i,-0.00015673+0.00073644i,-3.4721e-05+0.00051307i,0.00012845-0.00047245i,0.00028463-0.001432i,0.0003183-0.0011702i,0.00063284-0.00032114i,0.00021103+9.3107e-05i,-0.00057195-1.7735e-05i
-0.00025054-0.0013839i,-0.00077682-0.001235i,-0.0014853-0.00088692i,-0.0013289+4.1697e-05i,-0.0012503+0.001008i,-0.0012425+0.00025836i,-0.0011953-0.00036965i,-0.0013638-0.00082495i,-0.0016805-0.00098419i,-0.00085047-0.00033264i,-1.3076e-05-6.1926e-05i,0.00024849-0.00053616i,0.00028813-0.00059744i,8.6227e-05-0.00086905i,0.00076986-0.00080656i,0.0014817-0.0002703i,0.0010023+0.00043509i,0.00042746+0.00051662i,0.00010834+0.00010772i,-0.00040079+0.00050725i,-0.00037312+0.00016106i,-5.1916e-05-0.00037122i,0.0001825-0.00024117i
0.0017337+0.0016767i,0.0014279+0.00080172i,0.0026725+0.0001652i,0.0025501-0.0010878i,0.0010381-0.0026061i,-0.00026102-0.0022883i,-0.00063852-0.001461i,-0.00039834-0.00081762i,-0.00017885-0.00033363i,-9.5717e-05+6.7562e-05i,8.7429e-06-0.00038638i,-0.00011959-0.0010473i,4.2951e-05-7.5763e-05i,0.00041541+0.00096057i,0.00071611+0.00098621i,0.00066272+0.00071761i,6.4348e-05-0.00011701i,-0.00033836-0.00036979i,0.00011486-0.00021698i,0.00046701-0.00066279i,0.00038688-0.00073813i,0.00088504+0.00011531i,0.0006362+0.00086058i
0.00015642+0.00023703i,4.9416e-05+0.00028293i,0.0016202-0.00058193i,0.0014263-0.0010931i,0.00074142-0.00097208i,0.00047299-0.0012585i,-0.00023961-0.00089617i,-0.0010492-0.00060085i,-0.0011869-0.00040791i,-0.0010816-0.00021626i,-0.00074065-0.00092649i,-0.00054821-0.00074454i,-0.001501-0.00016627i,-0.0016942-0.0002759i,-0.00085444-0.00018484i,0.00016667-1.3161e-05i,0.00065715-0.00024647i,0.00055488+0.00022036i,0.00027137+0.00029835i,-2.6445e-05-7.9061e-05i,0.00039369-0.00060718i,0.00050035-0.00079128i,0.0004773-0.00012929i
0.00097315-0.0015791i,0.00050055-0.0016146i,-0.00052191-0.0014241i,-0.0021006-0.0002882i,-0.0034708+0.00041151i,-0.0030347+0.00089737i,-0.0024731+0.00029204i,-0.0017827-0.00098328i,-0.00070856-0.0015474i,-0.0006539-0.00088576i,-0.00057726+0.00010922i,0.00015793+0.00017522i,0.00036575-0.00033709i,0.00071918-0.00048959i,-7.1817e-05-0.00058763i,-0.00068809-0.00069095i,-0.00027212-0.00037922i,-1.872e-05-0.00016132i,-0.00060601-0.00089951i,-0.00053073-0.0012587i,0.00015316-0.0004806i,0.0005218-0.00016729i,0.00011748+2.8866e-05i
-0.0011398-0.0019982i,-0.00031787-0.0017461i,-0.00077411-0.00028565i,-0.0011124+0.00098141i,-0.00047843+0.0012604i,0.00089229+0.00074058i,0.00052474-1.4734e-05i,-0.00030644-0.00050657i,-0.00044902-0.00041703i,0.0002784-0.00073224i,0.00048882-0.0011772i,0.00056702-0.0014337i,0.00094723-0.0011217i,0.00025902-0.00010995i,-0.00084762+0.00085606i,-0.00085107+0.00085496i,-0.0012541+0.00070917i,-0.0011395+0.0011449i,0.00040781+0.00036417i,0.0011516-0.0003878i,0.00059949+0.00041773i,-0.00023019+0.0012016i,-0.00059702+0.00055683i
-0.00078188+0.00037626i,-0.00061382+0.00047753i,-0.00075758+0.00093822i,-0.0011171+0.00098438i,-0.00049778+0.0010039i,-0.00069445+0.00087923i,-0.0011283+0.0006503i,-0.00077278-0.00042543i,-7.124e-05-0.0010111i,0.00056758-4.0152e-05i,0.00050786-2.3914e-05i,0.0006683+0.00031602i,0.00051733+0.00075431i,-7.6293e-05+0.00043487i,-0.00049722+0.00038389i,-0.00057362+1.8454e-05i,-0.00018534+0.00021125i,-0.00019293+0.00055156i,-0.00085063+0.00039598i,-0.0010307-0.00043237i,-0.00072267-0.00092204i,-0.00023529-0.00027839i,-7.5503e-05+0.00048527i
0.00042409+0.00040517i,0.00090598+0.00021973i,0.00071298-0.00021182i,0.00088249+0.00013205i,0.00087932-0.00051874i,-0.00012226-0.0012598i,-0.0015407-0.0010786i,-0.0011277-0.00082257i,-0.00037034-0.00072018i,-0.00044909-0.00078203i,-0.00044847-0.00045826i,-0.00026384-0.00027529i,0.0001932-7.907e-06i,0.00054254+0.00043452i,0.0005418+0.00077639i,-0.00018929+4.9214e-05i,-0.00044286-0.00042052i,5.2426e-05+0.00054796i,0.00058447+0.00084793i,0.0001295+0.0010923i,-0.00031968+0.00057563i,-0.00019116-0.00041912i,-0.000458-0.00021694i
-0.00023328-0.00052296i,-0.00022674-0.00081127i,-0.0010369-0.0010815i,-0.00076552-0.00063273i,-0.00049087+0.00085249i,-0.00045311+0.00059872i,-0.00047217-0.0011154i,-0.0012842-0.0011804i,-0.0016094-0.00053458i,-0.00071111-0.0003935i,-0.00020561+0.00023177i,-0.00052409+0.00037875i,-0.00022314-0.00018848i,0.00032147-0.0005644i,0.00061883-0.00084617i,-0.00017032-0.00059986i,-0.00061662+0.00028019i,4.1295e-05+0.0004493i,0.00015479+0.00021141i,-0.00021449-6.2058e-05i,-0.00043963-0.000265i,-0.00051783+0.00014349i,0.0002107+0.00023931i
