-0.0012338+0.0012149i,-0.00050245+0.00055416i,-0.0017983+0.0011492i,-0.0028661+0.0013132i,-0.0022752+0.0016376i,-0.0010173+0.0019351i,-0.0011031+0.0017062i,-0.0014215+0.0011589i,-0.0012917+0.00046001i,5.851e-05+0.00064711i,0.0016647+0.00049248i,0.0014652-0.00055195i,0.00038005-0.0018436i,-7.9399e-05-0.0017393i,-0.00033755-0.00064119i,-0.00024364-0.00011989i,-8.3947e-05-0.00031909i,8.8481e-05-0.00052921i,0.00012308-0.00046097i,-0.00046796-0.00073128i,-0.0005576-0.00091779i,-0.0003563-0.0010936i,-0.0008144-0.0010694i
0.0017528-0.00032255i,0.0014929-0.0008539i,0.0010524-0.00070505i,0.00070864+0.00015792i,-6.0204e-05+0.00059118i,-0.0002899+0.00026863i,8.264e-05-0.00079389i,-0.00014875-0.0025815i,5.5781e-05-0.0032992i,-1.7717e-05-0.0027197i,-0.00017267-0.0016907i,-0.00026472-0.00095473i,0.00025011-0.00076402i,0.00087074-0.00044422i,0.001116-0.0003354i,0.00088058+0.00036343i,0.00059568+0.00031321i,0.00090205-0.00041807i,0.0006749-0.00055481i,0.00026082-0.00014761i,8.0164e-05-0.000187i,0.00012948-4.3636e-05i,0.00016617+0.0002882i
0.0021846+0.0012093i,0.00231+0.00030496i,0.0028285-0.00073779i,0.0018887-0.0016564i,0.00044715-0.0026007i,-0.00038766-0.0025553i,-0.0012051-0.0016933i,-0.0017682-0.0019102i,-0.0021418-0.0017144i,-0.0022139-0.0014722i,-0.0017862-0.0012261i,-0.0013052-0.00039246i,-0.00096068+8.1972e-05i,-8.7967e-05+0.00087241i,0.0010002+0.00093331i,0.0011793-0.00014441i,0.00072218-0.00016102i,-0.00013434-4.4783e-05i,-0.00022995+0.00030602i,0.00060872+0.00061827i,0.0005543+0.00043386i,0.0002485+0.000142i,0.00011424+0.00016124i
0.00090388+0.0011668i,0.0021431-1.6332e-05i,0.0025821-0.00063636i,0.0026341-0.0014449i,0.0028067-0.0022921i,0.0021319-0.00177i,0.00062922-0.00079132i,-0.00080596-0.00016875i,-0.0013649+0.00035028i,-0.0012327+0.00026895i,-0.00084757+0.0003153i,-0.00074673-0.00014549i,-0.0011575-0.0011494i,-0.0013291-0.00083217i,-0.00050719-0.00046008i,0.00036523-0.00062873i,3.3157e-05+5.7904e-05i,-0.00064538+0.0003526i,-0.00080501+0.0004096i,5.6799e-05+0.00058972i,0.00073021+0.00034137i,7.4027e-05+9.1709e-06i,-0.00077623-0.00063485i
0.001281-0.00080651i,0.00056197-0.00095166i,0.00025204-0.0015378i,-0.0011072-0.0011729i,-0.0014132-0.00020434i,4.8839e-05-8.7306e-05i,6.8377e-05-0.00078887i,-0.00031676-0.00025002i,0.00015491+0.0010266i,0.00080239+0.0012888i,0.00058794+0.00051005i,0.00032296+0.00013995i,0.00066183+4.553e-05i,0.0002822-0.00014167i,6.0335e-05-0.00025711i,-3.6098e-05-0.00051669i,-0.00067799-0.00059048i,-0.00018691+0.00025617i,0.00016152+0.00045108i,-3.1711e-05-5.8171e-05i,0.000287-0.00048194i,0.00067843-0.00077528i,0.0010456-0.00053193i
-0.00056321-0.0021287i,-0.00090593-0.0013285i,-0.0036784-0.00084915i,-0.0054835-0.00045784i,-0.0046524+0.00026104i,-0.0015897-0.00028329i,0.0010896-0.0017558i,0.0023728-0.0022657i,0.0019451-0.0020679i,0.0009013-0.0013621i,0.00052235-0.00029564i,0.00087809+0.00021644i,0.0011137+0.00084946i,0.00099774+0.0010611i,0.001567+0.00037914i,0.0012449+0.00060362i,-5.7625e-05+0.00084189i,-0.00052098+0.001046i,-0.00042486+0.00035402i,0.00075764-0.00064439i,0.0013695-0.00094391i,0.00087923-0.0011545i,0.00027767-0.0010424i
-0.00094859-0.0014253i,-0.00044208-0.001815i,0.0010879-0.0015651i,0.00099345-4.1063e-05i,-0.00028839+0.0016391i,-8.8493e-05+0.0010017i,0.0014894-0.0016075i,0.0022639-0.0037416i,0.0019283-0.0045988i,0.001749-0.0035076i,0.0015035-0.0017764i,0.00090778-0.0004403i,0.00020864+1.3838e-05i,0.00040367+0.00048127i,0.00046775+0.00058554i,0.00036869+0.00012137i,0.00021866+0.00021111i,-0.00039364+0.00067042i,-0.00067041+1.0663e-05i,-0.00037493-0.00077184i,0.0002109-0.00086062i,0.00041241-0.00082401i,0.00034437-0.00039947i
-0.00093159+0.00071547i,9.7195e-05+0.0014125i,-0.00065585+0.00097219i,-0.0016857+0.00098693i,-0.0013882+0.0011019i,-0.00064194-0.0011301i,-0.00075138-0.0038468i,-0.0011022-0.0047248i,-0.0014624-0.0038952i,-0.0014213-0.0030933i,-0.000485-0.001618i,0.00051345-0.00013994i,0.0010113+0.00069289i,0.0013453+0.00069493i,0.001229-0.00018498i,0.00038111-0.00088472i,-0.00012645-0.00035959i,-0.00021717+0.00093171i,0.00012956+0.00058566i,0.00067459+0.00018354i,0.0003044+0.00042515i,-0.00058509-3.9615e-05i,-0.00030312+0.00016558i
-0.00017117+0.0028011i,0.0024478+0.0025753i,0.0039717+0.0026926i,0.0041851+0.0022825i,0.0045606+0.00097978i,0.0031825-0.0011445i,0.00042444-0.0027702i,-0.0017698-0.0025479i,-0.0028133-0.0014834i,-0.0024754-0.00090864i,-0.0011788-0.00087442i,0.00018915-0.00089317i,0.00090652-0.0013411i,0.0007177-0.0011647i,-0.00070798-0.00016976i,-0.00086993-4.4778e-05i,3.4458e-05+5.1238e-05i,0.00031901-0.00036142i,0.00069535-0.00013957i,0.00090583+0.00081437i,0.00083098+0.0010226i,0.00025824+0.0005601i,5.2923e-05+0.00019972i
0.001862+0.0023637i,0.0026178+0.0010763i,0.003299-0.00032118i,0.0012781-0.0013429i,-0.00072655-0.0030801i,-0.0016525-0.0049214i,-0.0025123-0.0026768i,-0.0026341+0.0013695i,-0.0020243+0.0027282i,-0.00090067+0.0017993i,-0.00060008+0.001128i,-0.00034883+0.00076944i,-0.00014071-0.00025735i,-0.00042785-0.00067376i,-0.0010943+1.1539e-05i,-0.0011659+0.00046514i,-0.0008564+0.0003702i,-8.1264e-05+0.0004525i,0.00046217+0.00053604i,0.00092893+0.00020229i,0.0011541-0.00065351i,0.001335-0.00079021i,0.0010891-0.00013588i
0.00036425+0.00073659i,0.0018584+0.00013639i,0.0029775-0.0011855i,0.0024531-0.0027699i,0.0011403-0.0029999i,0.00078956-0.0017842i,0.0014974-0.00072751i,0.0015953+0.00049336i,0.0016112+0.0013171i,0.0013135+0.00096555i,9.3321e-05-5.8525e-05i,-0.00050228-0.00076847i,-8.4003e-05-0.00091367i,0.00046796-0.00039257i,0.0013467+0.00016682i,0.001501-7.2983e-05i,0.0006208-0.00091062i,-4.7533e-05-0.00066925i,-0.00037385+0.00066341i,-0.00012105+0.00028835i,0.00021439-0.0012795i,0.00064453-0.0010112i,0.0010536-0.00024874i
0.0016868+9.4956e-05i,0.0020165-0.00095008i,0.00065106-0.0013128i,0.00020414+6.0015e-06i,0.00021229+0.00043987i,-0.00013018-0.00084212i,0.00016638-0.0017503i,0.0019114-0.0012704i,0.0034225-0.0011471i,0.0027102-0.001002i,0.0012537-0.00028939i,0.0005008+0.00052859i,0.00013738+0.0012819i,-0.00057387+0.0013851i,-0.00025805+0.0016457i,0.0003327+0.0015075i,0.00012411+0.00078994i,-0.00012241+0.00073505i,-0.00044229+0.00051722i,7.6405e-06-4.1936e-05i,0.00079676-0.00090023i,0.00069828-0.0014739i,-0.00043152-0.001257i
0.0015042+0.00010156i,0.0019293+0.0002783i,0.0016738-0.00060482i,4.6175e-06-0.0022754i,-0.00085431-0.0036317i,0.00046364-0.0038466i,0.0015896-0.0038475i,0.0022097-0.0045402i,0.0026427-0.0045818i,0.0019902-0.0039705i,0.0011474-0.0025401i,0.00060524-0.00036594i,0.00016402+0.0007505i,0.00025862+0.00076183i,0.00059298+0.00040577i,0.00065502-0.00047677i,0.0008386-0.00070376i,0.00096531+0.00079089i,0.00041139+0.0014718i,0.0002617+0.00046854i,7.9075e-05-0.00066628i,-0.00070706-0.00098652i,-0.0012224-0.00089612i
-0.00062711-0.0016913i,-0.00080979-0.00033737i,-0.0017378+0.00011663i,-0.0021671+0.00098991i,-0.001253+0.0012707i,0.00036733-8.5308e-05i,0.00061145-0.0019624i,-0.0009426-0.0041543i,-0.0019048-0.0049625i,-0.0017052-0.0027396i,-0.00091622-0.00065101i,0.0011166+0.0001003i,0.0026927+0.00068854i,0.0025039+0.00061427i,0.0014723+0.00034064i,0.00031343+0.0006581i,-0.00073949+0.00079721i,-0.00058307+0.00086636i,0.00028657+0.0012874i,0.0012392+0.0013739i,0.0015239+0.0012812i,0.0010866+0.00072565i,0.00028577+0.00013124i
-0.0020832+0.001429i,-0.0007825+0.0017753i,-0.00088215+0.0028547i,-0.0020262+0.0036382i,-0.0012843+0.0020888i,0.00011463-0.001003i,-0.0010996-0.0031654i,-0.0042493-0.003466i,-0.005896-0.0029549i,-0.0037599-0.0022802i,-0.00015727-0.0014646i,0.0024349-0.00096113i,0.0028893-0.0016139i,0.0021603-0.0017956i,0.00055921-0.00057527i,-0.00057993+0.00015237i,0.00045756+4.404e-05i,0.00082069-0.00065028i,0.0004868-7.0883e-05i,0.0010231+0.00036765i,0.0013795-0.00059816i,0.0010048-0.00061404i,0.00078064-0.00023759i
0.0007755+0.00085294i,0.001918+0.0015187i,0.0033005+0.0024589i,0.0040769+0.0015828i,0.0038912-0.00038697i,0.0030033-0.0013549i,0.00072959-0.00047599i,-0.0012117+0.0016294i,-0.0016908+0.0027807i,-0.00081609+0.0013442i,0.00084041-0.00089106i,0.00099998-0.0018345i,0.0008461-0.0015911i,0.0010076-0.00074269i,0.0011304-0.00052839i,0.00081362-0.0016887i,0.00047634-0.0017838i,0.00024717-0.00054517i,-3.1333e-05+0.00029676i,0.00055313+0.00013766i,0.00061183-0.00047659i,0.00041141-0.0010274i,0.00039608-0.00067789i
0.0018748+0.0019294i,0.002288+0.0014087i,0.0014958+0.0011554i,0.00031411+0.00052841i,0.00047689-0.00050166i,0.00054801-0.000892i,0.00052886+0.00012826i,0.0011589+0.0016035i,0.0012897+0.0030959i,0.00034006+0.0020445i,-0.00054598-0.00030401i,-0.00050142-0.0014939i,-0.00055602-0.0013767i,-0.00082505-0.00067138i,-0.00063102-0.00022214i,-0.00035612-0.00047235i,-0.0003396-0.00062507i,-0.00060931-0.00032977i,-0.00083427-0.0002994i,-0.00046838-0.00069293i,0.00011861-0.00076916i,0.00023887-0.00064863i,8.1727e-05-0.00074884i
-0.00095211-0.0011288i,-0.00037687-0.0011657i,0.00029659-0.0026204i,-9.1583e-05-0.0032476i,-0.00080075-0.0019864i,0.0006251-0.00086532i,0.0041182-0.0005493i,0.006207-0.00046952i,0.0052312-0.00069144i,0.0023662-0.00069524i,-0.00026134-0.00026761i,-0.0014365+0.00021433i,-0.0018+0.0010331i,-0.00067668+0.00087616i,0.00050143-1.2888e-05i,6.161e-05-0.00061999i,-0.00020194-0.00050102i,-0.00049845-0.00030039i,-0.0010911+0.00048033i,-0.00046329+0.00086146i,0.00027536+0.0001117i,0.00010737-0.00064401i,-0.00016234-0.00089314i
7.9932e-05-9.2285e-06i,0.00060741+0.0017452i,3.5261e-06+0.003054i,-0.0012962+0.0036522i,-0.0007621+0.0031537i,8.4819e-05+0.00035524i,0.001161-0.0025725i,0.0029296-0.0041059i,0.0038593-0.004286i,0.0027929-0.0017106i,0.0011792+0.0013701i,0.00077587+0.0021547i,-0.00033457+0.0024544i,-0.00087523+0.0022455i,-0.00034719+0.00065718i,-0.0005568-2.2447e-05i,-0.00012148+0.00010156i,4.8249e-05+0.00061134i,-0.00035501+0.00078099i,-0.00021626+0.00041021i,3.6202e-05+0.00038809i,-8.7063e-07-0.00031276i,0.00017006-0.0004861i
0.00021234+0.0020983i,0.001784+0.0010876i,0.0041347+6.9514e-05i,0.0049415-0.0012699i,0.004588-0.0026176i,0.0032728-0.0038894i,0.0012204-0.0053764i,-0.0008704-0.0065084i,-0.0011341-0.0065467i,0.00041331-0.00436i,0.0020431-0.0016873i,0.0028625-0.0003345i,0.0023559+0.00010435i,0.0018794+0.00027986i,0.0012113+0.00029134i,0.0016089+0.00045495i,0.001609+0.00071986i,0.0013377+0.00032415i,0.0021147+0.0002027i,0.0021418+0.0013121i,0.0010332+0.0015491i,-0.00057382+0.0011621i,-0.00071504+0.00086995i
0.0038975+0.00056128i,0.0048029+0.00056348i,0.0053097-0.0012622i,0.0032005-0.0022778i,-0.00015472-0.0025571i,-0.0026668-0.0022119i,-0.0042207-0.0020921i,-0.0044961-0.0030904i,-0.0037752-0.0034933i,-0.0023409-0.0033764i,0.00024242-0.0027485i,0.0028768-0.0012237i,0.0037604+0.00087101i,0.0032602+0.0013403i,0.0024894+0.00048183i,0.00154-0.00027965i,0.001012-0.00081665i,0.00095534-0.00069348i,0.0015319-0.00019085i,0.0019067+0.0001619i,0.0016655-0.00046148i,0.0012525-0.00029489i,0.00081811+0.0007609i
-8.7928e-05-0.00017721i,0.00074673-0.00096217i,0.00055566-0.0022138i,-0.00063586-0.0028841i,-0.0015893-0.0023446i,-0.00071372-0.0016421i,-0.00056515-0.0016328i,-0.0023599-0.00059595i,-0.0031933+0.00058017i,-0.0021909-0.00052959i,-0.00015049-0.0026967i,0.0016965-0.0043258i,0.0021928-0.0043959i,0.0019212-0.0032792i,0.0016507-0.0024436i,0.00053597-0.001562i,0.0004161-0.0012213i,0.0010043-0.0010834i,0.00077186-0.00067731i,0.00054408-0.0009746i,0.0013125-0.0016378i,0.0017769-0.0009376i,0.0011481-0.00018489i
0.0018464-0.001277i,0.0022271-1.8133e-05i,0.0013318+4.2237e-05i,0.00019075-0.00021686i,-0.00056012+0.0007829i,-0.00046036+0.0021731i,-0.00039389+0.0026794i,-0.00029285+0.0029796i,-0.00041929+0.0029141i,-0.0011897+0.0011717i,-0.0024454-0.0010001i,-0.0020632-0.0022561i,-0.0012086-0.0031566i,-0.0007719-0.0036256i,-0.00054599-0.0026947i,-0.00024588-0.0011459i,-0.0001859-9.1881e-05i,-0.00058326-0.00021775i,-0.001362-0.00062346i,-0.00077818-0.00060365i,-0.00021306-0.00076565i,-0.00036408-0.0013141i,-0.00077271-0.00090985i
0.00058386-0.00068148i,0.00027336-8.0026e-05i,-0.00099758+0.00091505i,-0.0024342+0.00069316i,-0.0021442-0.00019504i,-0.00058244-0.00063092i,0.0013113-0.00082083i,0.0033054-0.00025022i,0.0036795+0.00071626i,0.0012058+0.0010175i,-0.0015064+0.0010613i,-0.0025558+0.0008914i,-0.0028769-0.00012467i,-0.0027265-0.000176i,-0.0020089+0.00023447i,-0.0012245+0.0007067i,-0.0012953+0.00093332i,-0.0013789+0.00049407i,-0.0016192+0.00050191i,-0.0015238+0.00037508i,-0.00036994-0.00021494i,-0.00049983-0.00067292i,-0.00050535-0.00010538i
0.00058029-0.00027588i,0.0022928-0.00072331i,0.0033357-0.0010002i,0.0028282-0.0010832i,0.002518-0.0015444i,0.0022201-0.0009832i,0.0023622-0.00072913i,0.0038514-0.0019558i,0.0044477-0.0025384i,0.0030336-0.0012068i,0.00094704+0.0020694i,-0.00073069+0.0037676i,-0.00066251+0.0028642i,-0.00026295+0.0024834i,-0.00082326+0.0019802i,-0.0014295+0.00093815i,-0.0013021+0.0014712i,-0.00091922+0.0014253i,-0.00045417+0.0010346i,0.00031402+0.0013971i,0.0006276+0.0014019i,-0.00089288+0.0012511i,-0.0018732+0.0004496i
-0.0012243+0.0026641i,-0.0010902+0.0023654i,-0.0012422+0.0013267i,-0.00036571+0.0003613i,0.00033045-0.00075666i,0.00029191-0.0018959i,-0.00038275-0.0044147i,-0.00038054-0.0075573i,0.00014199-0.0071855i,0.0005564-0.0035077i,0.001882-0.00012008i,0.0029819+0.0018709i,0.0025771+0.0023707i,0.0016234+0.0024199i,0.0010807+0.0020035i,0.00093609+0.00090144i,0.00097008+0.00069394i,0.0012677+0.0012038i,0.001671+0.0014294i,0.0018205+0.00079411i,0.0013893+0.0004243i,0.00068347+0.00057784i,0.00027587+0.00030819i
0.00039232-3.195e-05i,0.0011479+0.00052571i,0.0011155-8.0019e-06i,0.001661+3.8325e-05i,0.0017924+0.00082513i,0.002182-0.00024442i,0.0017612-0.0031289i,-0.00082262-0.0057635i,-0.0020939-0.0060027i,-0.00031742-0.0044179i,0.0023673-0.0027665i,0.0038567-0.0020421i,0.0035321-0.0012048i,0.0027647-0.00044838i,0.0018734-0.00041925i,0.00037643-0.00020198i,0.00061419-0.00054098i,0.0016243-0.00085493i,0.001567-0.00098413i,0.0024319-0.0010789i,0.0024254-0.00083477i,0.0011071-0.00093485i,0.00067996-0.0006398i
0.00090592+0.00011788i,0.00064194+0.0023778i,-0.00083561+0.0032212i,-0.0010385+0.0030226i,-0.00030058+0.0014456i,-0.001208-0.0014539i,-0.0025188-0.0025565i,-0.0045718-0.0013557i,-0.0052452-0.0015416i,-0.0033351-0.0024141i,-0.0011579-0.0029896i,0.00052379-0.0035642i,0.0015144-0.0029841i,0.0022527-0.0027096i,0.0017953-0.0025187i,0.0010803-0.0011063i,0.0005759-0.00029712i,-0.0004732-0.00094739i,-0.00088152-0.0011488i,0.00058192-0.0012738i,0.0012166-0.0015487i,3.4311e-05-0.0013978i,-0.00061692-0.00059941i
0.0014392-0.00017205i,0.0025438-0.00076373i,0.0034453-0.0032939i,0.0037069-0.0041585i,0.0025602-0.0032514i,0.001401-0.0014824i,-0.00028666+0.00010505i,-0.0022922+0.0018641i,-0.002552+0.0029554i,-0.0025386+0.0013337i,-0.0037019-0.0011712i,-0.0035524-0.0025235i,-0.0022344-0.0025179i,-0.0017472-0.0018093i,-0.0017251-0.0013798i,-0.0015241-0.0010223i,-0.0012155-0.00058268i,-0.001603+0.00013911i,-0.0017631+0.00090757i,-0.0016376+0.00070042i,-0.0012209-7.0699e-05i,-0.00034761-0.00077713i,0.00074149-0.00050435i
0.00069472+0.0012715i,-6.2178e-05+0.0010762i,-0.00058518+0.00058095i,-0.001262+0.00097453i,-0.0016517+0.0020507i,-0.002252+0.0011729i,-0.0017766+0.00055333i,0.001284+0.0013646i,0.0024932+0.0017934i,-4.0866e-05+0.0011702i,-0.0020702+0.00027356i,-0.0013528+0.00019367i,-0.00056203+0.00026813i,-0.00054678-0.00046165i,-0.00043749-0.00042515i,-7.4641e-05+0.00011629i,0.0001814+0.00034569i,-0.00037228+0.00072023i,-0.00039263+0.0012288i,0.00013084+0.00050792i,-0.00036415-0.00044989i,-0.001489-0.00076576i,-0.0011005-0.0012146i
0.0024187+7.3295e-05i,0.0038593-0.0013616i,0.0049622-0.001794i,0.0026951-0.0016295i,0.00080621-0.0013749i,0.001899-0.0020515i,0.0026056-0.0027481i,0.0037138-0.0021398i,0.0045173-0.00077675i,0.0027702+0.0012441i,0.00070538+0.0026872i,-0.00010331+0.0025055i,-0.00028179+0.0017972i,-0.00040102+0.0018387i,-0.00012453+0.0019188i,0.00039403+0.0016366i,0.00070907+0.0012975i,0.00070747+0.00062265i,0.0007877+0.00084457i,0.0011089+0.000809i,0.00072029-0.00036682i,-3.1436e-05-0.00040692i,-0.00051313+8.1051e-05i
-0.0010362+0.0014119i,-0.00018395+0.0024691i,-0.00011197+0.0027855i,-0.00040173+0.0030666i,0.00020862+0.0017714i,0.0015533-0.00048733i,0.0026777-0.001618i,0.0038951-0.0028851i,0.0042519-0.0040977i,0.0032571-0.0016709i,0.0030072+0.0014109i,0.0030144+0.0016709i,0.0021041+0.000884i,0.0019692+0.00048199i,0.0013945+0.00046452i,-0.00010702+0.00070779i,-0.00054366+0.0001511i,-0.0001022-0.00021655i,0.0011876+0.00030071i,0.0015734+0.00028753i,0.00076571+0.0004517i,0.00015426+0.00025908i,-0.00060323-0.0004698i
0.00050154+0.0021415i,0.0034132+0.0010767i,0.0051061+0.0005128i,0.0053347-0.00099854i,0.0057621-0.0020706i,0.0047658-0.0023911i,0.002049-0.0038234i,0.00037757-0.0060173i,0.0001107-0.0060182i,0.0013771-0.0041834i,0.0032583-0.0028147i,0.0033478-0.001837i,0.0017423-0.00111i,0.00051069-0.00026601i,-1.3122e-05+0.00083262i,-0.00016609+0.0013313i,7.9243e-05+0.0009863i,0.00040783-0.00010137i,0.00069234-0.00052112i,0.00081162-0.00087452i,0.001076-0.0010153i,0.0008645-0.00045964i,1.5587e-05-0.00020623i
0.0030996-0.0011654i,0.0018745-0.00030333i,0.0019255-0.0010763i,0.00038106-0.0020066i,-0.00044833-0.0026214i,-0.00015679-0.0019971i,-0.00061998-0.0025245i,-0.0016031-0.0036896i,-0.0020579-0.0043206i,-0.00097537-0.004486i,0.00052584-0.0038501i,0.0019295-0.0028781i,0.0018343-0.0017021i,0.001123-0.0010586i,0.00095234-0.0018227i,0.00046105-0.0018245i,0.00043765-0.00081359i,-7.0686e-05+2.9163e-06i,-0.00073655+2.7491e-05i,-0.00042775-0.0003198i,0.00050942+2.1905e-05i,0.0012673+0.00025328i,0.0011157+0.00051111i
0.0013214-0.00063316i,0.0012206-0.002527i,0.00031924-0.0041834i,-0.0011136-0.0047436i,-0.0013068-0.004395i,-0.001454-0.003984i,-0.0029154-0.0041483i,-0.0029136-0.0030534i,-0.0020307-0.0012033i,-0.0019378-0.0018978i,-0.0015851-0.0031809i,-0.00088292-0.0020782i,-0.00050033-0.00050256i,-0.00036625+5.4871e-05i,5.0177e-05-0.00037527i,0.00075648-0.00051353i,0.00022953+0.00058154i,-0.00061526+0.0013389i,-0.00080646+0.0015244i,-1.1068e-06+0.0010688i,0.0010328+0.00020479i,0.0007138-0.00055194i,0.00072168-0.00060286i
0.0011656+0.00070266i,0.0027431+0.0012769i,0.0030806+0.0012807i,0.0026941+0.00054413i,0.0024156-0.00086577i,0.0011516-0.001246i,-0.00037077-0.0006864i,-0.00090198+0.0005294i,-0.001841+0.0015246i,-0.0026046+0.0011715i,-0.0023043+1.5351e-05i,-0.0012442-0.00079236i,-1.5352e-05-0.0009149i,-0.00043403-0.00082969i,-0.0010221-0.00033351i,-0.00085274-4.7201e-05i,-0.00015692+5.3827e-05i,-7.8289e-05-0.00017924i,-0.00042617+3.4204e-05i,-0.000358+0.00068862i,-0.00026882-0.00010189i,-3.8241e-05-0.00084425i,0.00046576-0.0007357i
0.0008935-0.00016116i,-0.00010662-2.6382e-06i,-0.0018622+0.0011781i,-0.0027456+0.0020288i,-0.00233+0.0022767i,-0.0015137+0.0011372i,-0.00023453+0.00011366i,0.0015631+0.0013207i,0.0024167+0.0024574i,0.0015933+0.0017283i,-8.5678e-06+0.0017016i,-4.3573e-05+0.0020805i,0.00052687+0.00062246i,0.00048931-0.00040853i,0.00068773-0.00056766i,0.00044635-0.00073375i,0.00025676-0.00069766i,5.0526e-05-6.9694e-05i,4.6768e-05-0.00041707i,0.00030394-0.001074i,0.00045164-0.0012798i,0.00026207-0.00093848i,-0.0005176-0.00065446i
-0.00019555+0.0024044i,0.0024832+0.0028004i,0.0045562+0.0023145i,0.0040533+0.00036681i,0.0027453-0.0010738i,0.0019793-0.0009816i,0.0023367+0.00017331i,0.0030849+0.00043534i,0.0030652+0.00026774i,0.0030992+0.0011444i,0.002823+0.0024319i,0.0013766+0.0018079i,-0.00040751-0.00080973i,-0.0013543-0.0016005i,-0.0015995-0.00011337i,-0.0014099+0.00089105i,-0.0012494+0.00057431i,-0.00016087+6.1083e-05i,0.0012857+0.00014475i,0.0015058+0.00012277i,0.00011761+7.5682e-05i,-0.00055765+0.00084525i,6.4106e-05+0.0013236i
-0.00067068+0.0013445i,0.00050894+0.0021434i,0.0003544+0.0021955i,-0.00072218+0.0020259i,-0.0015211+0.0028021i,-0.00023319+0.0015952i,0.0023122-0.00032424i,0.0041132-0.001398i,0.0041328-0.0023028i,0.0037313-0.0015283i,0.0034067+0.00032157i,0.0023659+0.00061423i,0.00094367-0.00029657i,-0.00042554-0.0013271i,-3.8153e-05-0.0011261i,0.00055256-0.00042472i,0.00048531-0.00019463i,0.00096757-0.00047436i,0.0013278-0.00065303i,0.00079248-0.00073731i,0.00030327-0.00087729i,7.5848e-05+0.00040214i,-8.336e-05+0.0013i
-0.0014443+0.0013441i,-0.00037524+0.0017594i,-0.00020255+0.0013146i,0.00057038+0.00038079i,0.00218-0.00019086i,0.0035242-0.002052i,0.0036891-0.0044171i,0.0024268-0.0055901i,0.0013082-0.0054007i,0.0013846-0.0037841i,0.0017525-0.0024159i,0.0018152-0.0010027i,0.00080845+0.001537i,0.00019161+0.0024429i,0.00047706+0.0014769i,0.00069684+0.00085699i,0.00031995+0.00042967i,-0.00034643+0.00026338i,-0.0004338-0.00034655i,0.00013199-0.00062267i,0.00043274-0.00022933i,0.00069483+0.00016109i,0.00096158+0.00019491i
0.00095885-0.0011989i,0.0014125-2.5019e-06i,0.00018467+0.00085109i,-0.00065457+0.0024238i,-0.00077855+0.0016367i,-0.00055325-0.00064674i,0.00035936-0.0028767i,-0.00068233-0.0052893i,-0.0022137-0.0058227i,-0.001921-0.004395i,-0.00043924-0.0031943i,0.0016981-0.0028174i,0.0035077-0.0017884i,0.0030009-0.0011084i,0.0014256-0.0011527i,0.0004847-0.0013957i,-0.0003058-0.0011566i,-0.001452+0.00072853i,-0.0018303+0.0014345i,-0.00097706-1.7564e-05i,0.00022636-0.00070438i,0.0012452-0.0011631i,0.0012871-0.001098i
-0.00021611+0.00037249i,-0.00057911-0.00062448i,-0.0013625-0.0025301i,-0.00056588-0.0041912i,0.00020713-0.0045585i,-0.0004093-0.0060091i,-0.0030376-0.0061877i,-0.0050828-0.0045379i,-0.004242-0.0025035i,-0.0031387-0.0024005i,-0.0030873-0.0030678i,-0.0017878-0.0022773i,0.00039526-0.0016134i,0.0013092-0.00012969i,0.00072219+0.0022399i,-0.00012412+0.0024237i,-0.00015379+0.00086424i,7.8836e-05+5.9e-06i,0.00036604+0.00022199i,0.00079071+0.00023122i,0.0012966-0.0007507i,0.00062055-0.0017924i,-0.00038536-0.0013868i
0.00086626+0.00012853i,0.002189+0.00026522i,0.003506+0.0004332i,0.0028967-0.00020931i,0.001372-0.0016521i,-0.00040661-0.0021113i,-0.0025825-0.0015927i,-0.0032476-7.8093e-05i,-0.0024317+0.0014412i,-0.0012873+0.0013817i,-0.00091544+0.0010891i,-0.0012393+4.0867e-05i,-0.0012149-0.0021344i,-0.00046963-0.0027037i,-0.0008197-0.0012358i,-0.00065477-0.00059824i,0.00031084+7.3214e-05i,7.2673e-05+0.00059823i,-0.00068545+4.4036e-06i,9.3068e-05-0.00016611i,0.00057273-0.00047911i,-0.0001552-0.00068593i,-0.0004588-0.00016762i
0.0014835+0.00065474i,-0.00036995-5.6113e-05i,-0.0021862+4.6961e-05i,-0.0030702+0.00103i,-0.0028541+0.0010208i,-0.0021507+0.0010594i,-0.0012362+0.00202i,-0.00025954+0.0025889i,0.00089094+0.00223i,0.0015251+0.0016248i,0.001482+0.0018194i,0.00023857+0.00096852i,-0.0011145-0.00043985i,-0.0010333-9.723e-05i,0.00011501+0.00078732i,0.0014428+0.0011618i,0.0018085+0.0013403i,0.0021088+0.0010831i,0.0015698+0.00086791i,0.00066005+0.00091237i,0.00030019+0.00072175i,-0.0003747+0.0005563i,-0.00093455+0.00039134i
