0.0014317+0.00055129i,0.0024428-0.00014106i,0.0021884-0.00016054i,0.0010647-0.00067667i,-0.00036541-0.00087236i,-0.0010745-0.0001684i,-0.0013768+0.00065675i,-0.0014998-0.0003748i,-0.00096628-0.00082706i,-0.00011248-0.00017731i,4.3762e-05-0.00056793i,-0.00020779-0.0012199i,-0.00094654-0.00090407i,-0.00037618-0.00036838i,0.00056706-0.000454i,-0.00016811-0.00044957i,-0.00029124-0.00044323i,0.00038551-0.00022197i,8.8508e-05-0.00029443i,-0.00015797-6.1434e-06i,-0.00031975+0.00075693i,-0.00072499+0.0005922i,-0.00054291+2.3856e-05i
0.00074769+0.00087118i,0.00047315+0.00071443i,0.00011995+0.00028177i,-0.00074493+0.00024094i,-0.0011472+0.00070909i,-0.00047882+0.00056001i,-0.0001636-0.00041408i,-0.00088737-0.00091515i,-0.00098943+0.00029117i,-0.00036808+0.0007356i,0.00015881+0.00038124i,0.00026076-0.00011019i,0.00036252-0.0004675i,0.00018788-0.00047964i,0.00013874-0.00067571i,0.00013883-0.00061482i,0.00048733-3.5484e-05i,0.00054166+0.00044649i,0.00034986+0.00074818i,-4.3047e-07+0.00092722i,-0.00016607+0.0006083i,-0.00020755+0.00047858i,-0.00054064+0.00042252i
-0.00036093+3.131e-05i,-0.00028946+0.0010265i,0.00091205+0.00015312i,0.001118-0.00055033i,-9.1036e-06-3.0604e-05i,-0.0009871-8.5337e-05i,-0.0012877-0.00076015i,-0.00076566-0.00061835i,-0.0009287-0.00093023i,-0.00064058-0.0014656i,0.00045096-0.0012551i,0.00074631-0.00085438i,-0.00026719-0.00013626i,-0.0011697+0.00021268i,-0.001033+0.00099804i,-0.00058956+0.0017012i,-0.00042745+0.0010344i,2.8515e-05+0.00018727i,0.00021334+0.0002726i,0.00031499+0.00014064i,0.0001971+2.439e-05i,3.715e-06-1.3874e-05i,-0.00029827+0.00040986i
0.0011336-0.001589i,0.00086757-0.0011069i,0.00018083-0.00082731i,0.00042872+0.00015617i,0.00072943+0.00025316i,-3.0613e-05+0.00047953i,-0.00053604+0.00042777i,-0.0012194-0.00068595i,-0.0022026-0.0014306i,-0.0017951-0.0013243i,-0.00080847-0.00086252i,-6.4286e-05-0.00090231i,0.00021055-0.0004287i,0.00066557+4.0063e-05i,0.0012655-3.2878e-05i,0.00082212+0.00031713i,0.0002001-0.000118i,-0.00017236-0.00040653i,-6.8375e-05+0.00017307i,0.00050963+0.00044042i,0.00090626+5.1795e-06i,0.0011445-8.2038e-05i,2.3201e-05-0.00022264i
-0.0018683+0.0019621i,-0.0021182+0.0012816i,-0.0017781+0.00078666i,-0.0012469+0.0002885i,0.00023426+0.00044269i,0.00084427+0.00038662i,0.00015152-0.00083843i,-0.00095163-0.0012611i,-0.0019222-0.00031819i,-0.00093687+0.00090397i,-6.5383e-05+0.00029242i,-0.00030493-0.00050144i,-0.00077275+0.00023349i,-0.00050453+0.00056584i,0.00058709+0.00036743i,0.0002896-0.00017852i,-0.00049375-0.00011565i,-7.6683e-05+0.00039341i,0.00078204+0.00058527i,0.00028698+0.0005107i,-0.00035334+7.3566e-05i,-5.0235e-05+1.2009e-05i,0.00019968-7.8467e-05i
0.00098336-0.001153i,0.00072091-0.0011735i,0.00049441-0.00082102i,0.00039268-0.00069825i,-0.00017436-0.00038015i,-0.0010287+0.00059748i,-0.0011504+0.00086171i,-0.0012603-0.00057552i,-0.001016-0.0018045i,-0.00049272-0.0016983i,-0.00043971-0.000505i,-0.00035918-5.1993e-05i,3.6733e-05-0.00018671i,1.0707e-05+8.9788e-05i,9.8804e-05+0.00067337i,0.00027949+0.00083118i,-0.00020063+0.0001835i,-0.00058176+6.6005e-05i,-0.000215-0.00014117i,0.00027195-0.00016844i,-0.00013278+0.00041366i,-0.00021739+0.00093401i,-0.00047056+0.0010397i
-0.00037516+0.0025629i,0.00071739+0.0022656i,0.0010642+0.0020037i,0.0013584+0.0007033i,0.0017316-0.00070128i,0.001605-0.00056512i,0.00042292-0.0011984i,-0.00079286-0.0024778i,-0.0011436-0.0017961i,-0.00064392-0.00024826i,0.00040892-0.00020745i,0.0009523-0.0012001i,0.00016811-0.00099575i,-0.00056603-0.00037383i,-0.00020544+0.0001587i,6.2173e-06+0.0004675i,0.0003351+0.00045564i,0.0011236+0.00040616i,0.00082472-0.00027112i,0.00035414-0.0003037i,0.00014863-9.636e-05i,-0.00010366-0.00018356i,0.0001273-5.8304e-05i
-0.0005452-0.0010411i,-0.00074986-0.0010791i,-0.00060765-0.0011236i,-0.00073747-0.0014397i,-0.00069728-0.0012794i,-0.0010801-0.00056701i,-0.0012632-0.00033506i,-0.0011211-0.0002768i,-0.0010424-0.00045606i,-0.00038063-0.00065989i,6.1018e-05-0.00022583i,5.9213e-05+7.8975e-05i,0.00020715+0.00023996i,0.00057519+0.00035351i,-0.00012392+0.00074879i,-0.00060331+0.00080325i,5.2935e-05+0.00052121i,7.7544e-05+0.00040833i,5.5777e-05+1.6666e-05i,0.00030603+4.5404e-05i,0.00043926+7.8234e-06i,0.00047492+0.00016457i,0.0010684+6.6623e-05i
0.0013819+0.0025206i,0.0024367+0.002434i,0.0030412+0.0020068i,0.0023283+0.00080712i,0.0011593-0.00019888i,0.00034299-4.8356e-05i,-0.00029048-0.00035059i,-0.0006049-0.00084241i,-0.0011644-0.00043597i,-0.00061471-0.00010064i,0.00013921-0.00045892i,0.00046717+6.2765e-06i,0.00059198+0.00052931i,0.00032551+5.1982e-05i,0.00040559-9.8894e-05i,0.00086052+0.00062582i,0.00022068+0.00032727i,-0.00080467+1.5246e-05i,-0.0010011+0.00028477i,-0.00064304+0.00014998i,-0.00052679-0.00010489i,-0.0006943-0.00029221i,-0.00059364-7.5087e-05i
-0.00031565-2.8831e-05i,-0.00074245-0.00048059i,-0.0016554-0.00025612i,-0.0015416-0.00025572i,-0.0014811-0.00081899i,-0.0020342-0.00080056i,-0.0019289-0.0011816i,-0.001657-0.0019461i,-0.0013176-0.0012163i,-0.00092643-4.2898e-05i,-3.7017e-05-7.4953e-05i,0.0013336-0.00034754i,0.0012365+0.00021455i,0.00058227+0.00088902i,0.00032432+0.00040587i,0.00053408-0.00011815i,0.00031212+4.1741e-05i,-0.00015969+0.00027456i,-0.00074294+0.00050068i,-0.0012697+0.00029039i,-0.0010478+0.00014319i,-0.00054339+0.00036048i,-0.0002683+0.00010656i
0.0018646+0.0019697i,0.0024685+0.00044102i,0.0016542+0.0011012i,0.00043148+0.0016019i,0.00043471+0.00023458i,0.00014835-0.00082394i,-0.0002646-0.00083512i,-0.00032174-0.00026574i,-0.0011283+0.00051324i,-0.00099681+0.00037562i,-0.00053187+0.00034805i,0.00019721+0.00037859i,0.00097717-0.00036731i,6.0915e-05-0.00036766i,-0.00067522+0.00015454i,-0.00055347+9.7659e-05i,-1.7524e-05-0.00049053i,0.00022397-0.00060322i,0.00026928+0.00029649i,0.00026553+0.00065976i,-0.00035518+0.00052579i,-0.00060353-0.00024721i,-0.00033521-0.00010854i
-0.0014834+0.0008669i,-0.0016006+0.001273i,-0.00042049+0.0009497i,-1.9749e-05+0.0001153i,-0.00017814-0.00099976i,5.2781e-05-0.0013748i,-0.00036698-0.0014383i,-0.0008248-0.0012841i,-0.0013313-0.00060118i,-0.0015236-0.00032155i,1.5979e-05-0.00011054i,0.0004826+0.00083272i,-7.1381e-05+0.00025486i,-0.00021421-0.00072683i,-0.00014421-0.00098768i,0.00042864-0.00039255i,0.00069034+0.00019924i,0.00052649+0.00039148i,0.00070957+0.00015568i,0.00024811+0.00030903i,0.00030904+0.00072683i,0.00041501+0.00091202i,0.00013219+8.2192e-05i
-0.00015275-0.0016401i,0.0011306-0.0012267i,0.0016579-2.1064e-06i,0.0011283+0.0010536i,0.00048113+0.0010458i,0.00055268+0.00071761i,0.000204+3.2318e-05i,-0.0011114-0.0008082i,-0.0016459-0.0013116i,-0.00076233-0.0009262i,7.5805e-05-0.00027327i,0.00042032+1.893e-05i,-0.00037446-0.00017954i,-0.00064956+5.9835e-05i,0.00021169+0.0011183i,0.00037066+0.001022i,0.00024958+0.00047615i,0.00019723+0.00068257i,8.9734e-05+0.00068081i,0.00034672-0.00033823i,0.00042431-0.00077685i,-0.00046721-0.00029577i,-0.0006097+0.00056917i
-0.0012568+0.00075081i,-0.00085426+0.0012522i,-0.00044795+0.0012849i,3.9367e-05+0.00020075i,0.00098085-0.00065089i,0.00087444-0.00095382i,-0.00049549-0.0014041i,-0.0010282-0.0015871i,-0.00099307-0.00092572i,-0.00026875+0.00033286i,0.00022361+0.00028679i,-0.00066074+1.6335e-05i,-0.00072403+0.00023066i,-0.00034132-0.00024865i,-0.00042069-1.8992e-06i,-8.4665e-06+0.00024109i,0.00054621+0.00017662i,0.0011455+0.00018205i,0.0011825+5.1499e-05i,0.00080417-0.00034261i,0.00022798-0.00018168i,2.9686e-05+0.00028517i,0.00062898+0.00063231i
0.00052581-0.0016408i,-0.00054401-0.0013877i,-0.00026346-0.00048639i,0.00044797-4.9652e-06i,0.00015027+8.82e-05i,-0.00052144+0.00051988i,-0.00066486+0.00028037i,-0.00072747-0.00072936i,-0.00054516-0.0010075i,-0.00020635-0.00047692i,-3.7945e-05-0.00059222i,-0.00010834-0.00079093i,-0.00033807-0.00058266i,-0.00025868-0.00011095i,-0.00052779-0.00063773i,-8.9944e-05-0.00041236i,0.00011441+0.00050894i,-0.00041477+0.00075849i,-0.0004143+0.00092661i,-0.0003858+0.00062198i,-0.00035494+0.00025216i,-0.00050659+0.00065171i,-0.00017483+0.00022337i
-0.00014173+0.00047915i,0.0015797+0.00056331i,0.0020678+0.0013758i,0.0013081+0.0018963i,0.0011465+0.0011403i,0.00055131+1.0116e-05i,-0.00025102-0.00063159i,-0.00018648-0.0011449i,-0.0002267-0.0011365i,-3.0672e-05-0.0011069i,0.00062612-0.00071524i,0.00058649-0.00030032i,0.00069406+0.00057011i,0.00088986+0.0015335i,0.00060362+0.0010394i,0.00072998+0.000142i,0.0011152-3.53e-05i,0.00072569+0.00037435i,0.00042105+0.00047272i,2.4164e-05-0.00011354i,-0.00082322-0.00070051i,-0.00070593-0.00014147i,0.00043042+0.00020305i
-0.0015974+0.0014232i,-0.0015139+0.00036767i,-0.0008528+0.00035597i,-0.00021214-0.00010966i,4.3242e-05-0.00061412i,-0.00043469-0.001094i,-0.0012481-0.0014432i,-0.0018754-0.0014611i,-0.0014264-0.0012015i,-0.00050079-0.00066586i,-0.00011843-0.00035786i,0.00018477-0.0010676i,0.00042738-0.0010596i,0.00036451-0.0006124i,-8.3721e-05-0.00039379i,-0.00020242-2.6063e-05i,5.087e-05+0.00081275i,0.00016276+0.001847i,0.00017882+0.0015149i,-9.1348e-05+0.00051272i,-6.794e-05-0.00052254i,-0.00018186-0.00077917i,0.00021023+9.7098e-05i
-0.00015484+0.00057434i,0.00033504+1.7748e-05i,0.00047138-0.00011699i,0.00064198-0.00092114i,0.00082636-0.0017427i,-0.00015843-0.0015071i,-0.0015141-0.0017045i,-0.0020325-0.0015585i,-0.0014174-0.00029721i,-0.00042101+0.00055191i,0.00054574-5.6771e-05i,0.0010323-0.00079627i,0.0010148-0.00022586i,0.00047934+0.00045695i,-0.00013319+0.0010146i,0.00037089+0.00080788i,0.0012381+3.0197e-05i,0.0013173-0.00036703i,0.00029524-0.00055119i,-0.00015106+7.5637e-05i,-0.00014966+0.00034003i,-0.00052151-8.7077e-05i,-9.1046e-05-0.00050782i
0.00037033+0.002637i,-0.0010287+0.0019805i,-0.0010475+0.001195i,-0.0006966+0.0010528i,-0.00025074+0.00019722i,-0.0007218-0.001012i,-0.001344-0.00055409i,-0.0012506+5.3202e-05i,-0.00050051-0.00076926i,0.00030052-0.0013825i,0.00047491-0.0018042i,0.00028675-0.0020099i,0.0001155-0.00077332i,0.0005529+0.00071321i,0.00081424+0.0007878i,0.00062078-0.00011816i,0.00054084-0.0010428i,0.00061528-0.00081108i,6.8466e-05+0.00022567i,-0.0003675+0.00071858i,-0.0003652+0.00053754i,-0.00054599+0.0002715i,-0.00063998+5.097e-05i
