0.00057662-0.00011521i,0.00040074+9.713e-05i,0.00048349-9.7413e-05i,0.00020086-0.0014716i,-0.0012417-0.0012563i,-0.0026978-4.1704e-05i,-0.0013479+0.00023881i,9.3507e-05+0.00063685i,0.00054341+0.00022636i,0.0014162-0.00085871i,0.0013652-0.0011004i,0.0007492-0.00087759i,0.00060434-0.00045052i,-1.3418e-05-0.00025164i,-0.00021922-0.00044877i,-5.569e-05-0.00052817i,-0.0003324-0.00042153i,0.0001346+0.00025786i,0.00012081+0.00034386i,-0.00061793+0.00021616i,-0.00036777+0.00016384i,-9.5449e-05+0.00013343i,0.0004164+7.6514e-05i
-0.0017281+0.001085i,-0.0011929+0.001034i,3.8446e-05+0.00052021i,0.00026187+0.00019101i,4.1262e-05-0.00018528i,9.1519e-05+0.00044076i,-6.0359e-05+0.00060962i,0.0004744-8.9084e-05i,0.00119-0.00011741i,0.001129+0.00073865i,0.00081158+0.00066298i,0.00063279+0.0001261i,0.0005352-0.00050995i,1.3556e-05-0.00084973i,-0.00029454-0.00072434i,6.4401e-05-0.00026265i,-0.00013577+0.00037809i,-0.0001666+0.0009304i,0.0001672+0.00059531i,0.00021391-0.00022552i,-0.00028636+0.00024849i,-0.00084784+0.00087115i,-0.00093577+0.0004937i
7.2089e-05-0.0016519i,-0.00051202-0.0008439i,-0.00085975+0.00059752i,-0.00070634+0.0012547i,-0.00087363+0.00070964i,-0.00072318+0.000388i,0.00047555-5.5623e-05i,0.00056165-0.00042849i,0.00019485-0.00068918i,0.0008719-0.00060893i,0.0011277+9.9837e-06i,0.00073003-4.6087e-05i,-0.00021873-0.00063803i,-0.0002195-0.0011079i,0.00017364-0.00099965i,5.6516e-05-0.00022058i,-0.0002042+0.0003594i,-0.00023202+0.00035292i,-0.00018331+0.00030082i,-0.0001593+0.0001811i,-0.00032473-0.000707i,-5.3799e-05-0.00097303i,0.00026316+0.00029108i
0.00084683-0.00065455i,0.00011317+0.00018018i,-0.00013246-5.57e-05i,-0.00073043-0.00023072i,-0.0016657-0.00031955i,-0.0004832+0.00011811i,0.0010085+0.00075536i,0.0012558+0.00082591i,0.00053624-0.00014023i,-0.00017732-0.0012447i,-0.00047144-0.00083388i,-0.0003774-1.5477e-06i,0.00056912-0.00023713i,0.00059969-0.00071863i,0.00044133-0.00038121i,0.00072604+0.00039923i,0.00089643+0.00013659i,2.5179e-05+0.00020537i,-0.00057676+0.00012327i,-0.00032299+3.1893e-05i,-0.00017582-0.00011578i,0.0004205-0.00034853i,9.5413e-05-0.00015762i
-0.001437-0.00063632i,-0.0015149-0.00040344i,-0.00075042+0.00056971i,-0.00036993+0.0011284i,0.00014626+0.00058838i,0.00030967+0.0011542i,0.00054538+0.0017203i,0.00075605+0.00080031i,0.00053795+0.00017973i,0.00039405+2.514e-05i,0.00026243-0.00021679i,0.00053694-0.00042591i,0.00077999-0.00061761i,0.00068768-0.0001906i,0.00021779+0.00046086i,-0.00046345+0.00070611i,-0.00061638+0.00025519i,-0.0006776-3.9654e-05i,-0.00043976+0.00039436i,-4.2756e-06+0.00094928i,-1.9115e-05+0.00097627i,-0.00018093+0.00048947i,-0.00053829+0.00023049i
0.00069271-0.00015028i,0.00030517-0.00072933i,-2.7105e-05-0.00034119i,-0.00066152+0.0003705i,-0.0016361+0.00069114i,-0.0015898+0.00033268i,-0.00023408-0.00042151i,0.00076662-0.00041661i,0.00031114+0.0001314i,0.00050706-0.00017965i,0.00075061-0.0005887i,0.0003743-0.000175i,-0.00029188-0.00012802i,0.00010194-0.00072063i,0.0010673-0.00071113i,0.00066273-0.00025562i,6.2433e-05+0.00014283i,-0.00021365+0.00066946i,-0.0008088+0.0010796i,-0.00053709+0.00043999i,0.00034326-0.00035491i,0.00026582-0.00046797i,6.8202e-05-0.00046906i
0.00064453-0.00028758i,0.00046635-0.00033638i,0.00021032-0.00035124i,-0.00059094-0.001265i,0.00039073-0.0010277i,0.00097067-0.00055342i,0.00062464-0.00014611i,0.00039+0.00020858i,0.0010397-0.00014034i,0.0012861-0.00099137i,0.00047059-0.0012013i,-0.00041017-0.00073208i,-0.00022203-0.00061355i,5.4799e-05-0.00054566i,5.8591e-05+0.00027778i,-0.00026429+0.0014247i,-0.0001419+0.00086626i,0.00065671+0.00014821i,0.00099865-2.965e-05i,0.0010579-0.00065531i,0.0010323-0.00083985i,0.00054847-0.00034046i,-0.00017917-0.0004677i
0.00064968-0.000902i,0.00031045-0.0018629i,-5.6397e-06-0.0015699i,-5.1047e-05+7.289e-05i,-0.00048553-0.00048148i,-0.0010278-0.0016074i,-0.00094544-0.0015527i,-0.00016531-0.0006031i,0.00035516-0.00045025i,0.00017255-0.00066065i,-3.3826e-05-0.00039365i,0.00044714+2.9827e-05i,0.00041891-0.00065601i,0.00012989-0.00089126i,0.00059592-5.0224e-05i,0.00071956-0.00033527i,-0.00057119-0.0002762i,-0.0013296-0.00030335i,-0.00061674-0.0010142i,-0.00088206+0.00016414i,-0.0012381+0.0010956i,-0.0003353+0.00061299i,0.00025078+0.00044537i
0.00031899-0.00069937i,-0.00061364-0.00091988i,-6.0141e-05+0.00015504i,0.00036032-0.00028238i,-0.000181-0.0013098i,-0.00012282-0.00032241i,0.00031671+0.00056947i,0.00037528+0.00032411i,0.00077304+5.6694e-05i,0.001103+0.00010808i,3.2326e-05+0.00023381i,-0.000411+0.00021651i,0.00027218-5.8194e-05i,0.000338-0.00078541i,0.00038244-0.00076434i,0.00034597-0.00041148i,-0.000106-0.00044984i,-2.9066e-05-0.00051463i,-1.056e-05-0.00032174i,-0.00039842+0.00010123i,0.00011981+0.0004767i,0.00013879+0.00074904i,0.00042196+0.00054919i
-0.0012034-0.001329i,-0.00051829-0.00090804i,-0.00030986-2.2043e-05i,-0.00035636-0.00038141i,-0.00036017-0.0010889i,-0.0003421-0.00058048i,0.00034223-0.0001478i,0.00053278+8.1589e-05i,0.00040924-7.0162e-07i,0.00063578-7.5655e-05i,0.00093727+0.00020399i,0.0012531-0.00015209i,0.0014427-0.0005961i,0.00042154-0.00013654i,-0.00041711+0.00010069i,-0.00020185+0.00036222i,0.00033978+0.00029667i,0.0006442+0.0002426i,0.00016343+3.8684e-05i,-0.00057962-0.00041794i,-0.0002988-0.00055422i,0.00045116-0.00065707i,0.00028994-0.00058143i
0.00024412+0.00017039i,0.00053916+0.00034613i,0.0011072+7.0049e-05i,0.00079939+8.1301e-05i,0.00015521+9.4402e-05i,0.00029488-0.00022281i,0.00042059-0.00043043i,0.0010979-0.00083783i,0.0016071-0.00081287i,0.00041067-0.00080999i,0.00012004-0.0012282i,0.00033962-0.00095059i,0.0002311-0.00033346i,0.0001233+0.00028668i,-0.00057311+0.00025545i,-0.0012155-5.7655e-05i,-0.0012359+0.00010209i,-0.00083644-0.00022194i,-0.00052133-0.00099403i,-8.1785e-05-0.0008015i,0.0001116-9.9312e-05i,0.00055425-4.4915e-06i,7.8891e-05-0.00022609i
