-0.0042654+0.0016316i,-0.0032681+0.0025789i,-0.0039664+0.0033489i,-0.0033156+0.0033386i,-0.001421+0.002955i,-0.00016701+0.0016023i,-0.0010194+0.00033995i,-0.0017304+0.00051921i,-0.00083108+0.00015656i,-8.3229e-05+7.5276e-05i,-0.00026345+0.00024842i,-0.00031366+0.00051964i,0.0003245+0.00070377i,0.0010618+0.00060673i,0.0011299+5.0305e-05i,0.00072115-0.00024414i,0.0005034+0.00066732i,0.00020396+0.00055692i,0.00030688-0.00030528i,0.00027528+0.00021312i,0.00026183+0.00091095i,0.00034728+0.00013857i,-3.0385e-05-0.00062903i
7.8199e-05-0.00042272i,-0.0014886-0.00025428i,-0.0020719+0.00017071i,-0.0016295+0.0011987i,-0.00020294+0.0021413i,-4.2467e-05+0.0011635i,-0.00090989-0.00021929i,-0.00058599-3.062e-05i,-0.00018024+0.00027745i,-0.00064729-0.00051254i,-0.00024658-0.00043935i,0.00031314-0.00026279i,0.00059091+0.00048015i,0.00041128+0.001285i,0.00013807+0.00070265i,4.9248e-05-0.00010422i,-0.00014008-0.00033418i,0.0003081+0.0004045i,0.00064752+0.0011781i,0.00030873+0.0011954i,-0.00012798+0.00044954i,-0.00038891-0.00015977i,-0.00067391-0.00032359i
8.8269e-05-0.0011367i,0.00096257-0.00080869i,0.00082702-0.00018466i,0.00045776+0.00038816i,0.00021658+0.00047143i,-0.00034259+0.00070234i,-0.00098477+5.7516e-05i,-0.0013435-0.00026846i,-0.00079457-0.00039098i,-0.00023302-0.0012601i,-0.00010857-0.0013338i,-0.00018364-0.0001299i,-0.00033553+0.00060954i,-0.00096598+0.00043854i,-0.0010758+0.00035708i,-0.00029732-4.5217e-05i,-0.00022405-0.00040992i,-0.00030979-0.00051578i,-0.00027863-0.00055444i,-0.0011865-0.00085988i,-0.00088595-0.00054722i,-4.9874e-05-4.5413e-05i,-0.00020396+0.00044926i
-0.0011665-0.00024651i,-0.0020337-0.00040945i,-0.0024595+0.00073115i,-0.0022885+0.00071867i,-0.0013124-0.00010256i,-1.9096e-05-0.00088591i,-0.00057373-0.00073768i,-0.0010601-0.00010973i,-1.9933e-05-0.00023537i,0.00037053-0.00046031i,-0.00034688+3.611e-05i,-0.00033808+0.00068188i,-5.9344e-05+0.00093642i,0.00030366+0.0010173i,0.0002361+0.00028982i,-0.00033146-0.00029133i,-0.00039561-0.00019496i,-0.00015405+0.00037037i,0.00057763+0.00093038i,0.00068773+0.00097307i,0.0002003+0.00031516i,0.00020045-0.0004887i,0.00021593-0.0005662i
0.0010226+0.0019518i,0.0015641+0.0031744i,0.0021917+0.0036006i,0.0025674+0.0032261i,0.0019655+0.0022025i,5.1618e-05+0.00047194i,-0.0019793-0.00037566i,-0.0016276+0.00081231i,-0.00079609+0.0012536i,-0.00042427+0.00044737i,0.0004244-2.4429e-05i,0.00063807+3.2355e-06i,0.00030672+0.00014157i,-0.00028205+4.9895e-06i,-0.00028626-0.00014552i,-0.00024959-0.00011853i,-0.00027961-0.00063321i,-9.8035e-05-0.0005603i,-0.00016123+0.00040508i,-0.00025188+0.00043454i,-0.00018159-6.5468e-05i,0.00089515-9.7257e-05i,0.0013315-8.2246e-05i
-0.0024887+0.0014634i,-0.0021801+0.001417i,-0.002182+0.0023057i,-0.00066894+0.0029509i,0.0016103+0.0027869i,0.0024027+0.00086475i,0.0013757-0.00077742i,0.00040408-0.00022623i,-0.00026503+0.00081831i,-0.00074492+0.0012204i,-0.00054134+0.0011049i,0.00031937+0.0007856i,0.00025563+0.00065136i,-8.5851e-05+0.00084433i,0.00074818+0.001614i,0.00091004+0.0012127i,0.0004776+0.00078336i,-0.00028124+0.00099218i,-0.0010842+0.00072874i,-0.00038863+0.00090675i,0.00045083+0.00073042i,5.5308e-05+0.0005115i,9.2259e-05+0.00046198i
-0.0014689+0.00082461i,-0.0014126+0.00022719i,-0.0011143+0.0008154i,0.00023157+0.001866i,0.0014942+0.0015061i,0.00082887-0.00012036i,-0.0011564-0.0011351i,-0.002014-0.00081875i,-0.0018055+7.1896e-05i,-0.0020954+0.00046354i,-0.0013389+0.00048802i,-0.00026161+0.00096162i,-0.00046639+0.00077879i,-0.00060254+0.00075406i,3.1294e-05+0.00074064i,0.00064117+0.00022043i,0.0013152-0.00047456i,0.0012694+6.7326e-06i,8.7431e-05+0.00066823i,-7.31e-05+0.00034813i,-0.00027894+0.00053753i,-0.00020348+0.00034763i,0.00050613-0.00013819i
-0.0014325+0.00048688i,-0.0014231+0.0017661i,-0.0012193+0.0033683i,3.0493e-05+0.0038532i,0.00070349+0.0025341i,0.00021977+0.00051024i,-0.00052153-0.00099108i,-0.00055741-0.00041354i,-0.00039618+0.00085994i,-0.00066223+0.00041226i,-0.00022954-0.00068399i,0.00032166-0.00060997i,0.00012838-0.00012547i,0.00012892+0.00025638i,0.00037865-3.1975e-05i,0.00076961-0.00059712i,0.00037787-0.00045932i,-0.00028719-0.0002894i,-0.00074761-0.0001479i,-0.00075336+0.00042656i,-0.00070843+0.0014083i,-0.00054221+0.0013367i,4.0896e-05+0.00029896i
0.00024964-0.00028175i,-0.00062649-0.0017949i,-0.00046964-0.0013724i,-0.000274+2.5652e-05i,0.00078952+0.00094459i,0.00097908+0.00028034i,-0.00042179-0.00077022i,-0.00081547-0.00027004i,-0.00014554-0.00020327i,0.00068485-0.00063783i,0.000711-0.00033684i,0.00030368-0.00035604i,5.3737e-05-0.00031812i,-0.00028051+3.7833e-06i,-0.00073199+0.00025792i,-0.00073995+0.00021516i,-9.1155e-05+1.2585e-05i,0.00021921+7.2326e-06i,0.00086294-0.00039461i,0.0002923+0.00016331i,-0.00055608+5.3471e-05i,-0.00020613+5.9617e-05i,-3.1144e-05+0.00013255i
0.00053267+0.00065362i,0.0010499+0.00093681i,0.0014249+0.0013883i,0.0022974+0.0018964i,0.0017709+0.001159i,0.00013019+0.00048833i,-0.00056933+0.00041649i,-0.00086172+0.00021439i,-0.00075957-0.00078233i,-0.00092909-0.00068677i,-0.0011809-0.00019893i,-0.00089283+0.00011793i,-0.0012939-0.00021047i,-0.001061-0.00056826i,-0.00029449-0.00031135i,-0.00012053-0.00067629i,0.0002552-0.00068124i,0.00018431-0.0001523i,0.00041787-0.00034775i,0.0011519+0.00020436i,0.001064+0.00057952i,0.00057927+0.0001305i,0.00058033+3.8219e-05i
9.9523e-05-0.00117i,7.1776e-05-0.0014738i,0.00041506-0.0014562i,0.00069775-0.00069379i,0.0010854-0.00024594i,0.0012078-0.00059557i,-6.5438e-05-0.0010063i,-0.0010569-0.00049725i,-0.00081791+0.0001116i,-0.00047789+1.9602e-05i,-0.00055791-0.00028904i,-0.00031055-0.00067816i,-0.00022852-0.0013202i,3.8239e-06-0.00089651i,-9.4629e-05+6.1518e-05i,-0.00042066-2.6365e-05i,-0.00031679+0.00046728i,-0.00051715+0.0006247i,-0.00051724+0.00020691i,-0.00024274-3.6299e-05i,-2.2056e-05-0.00052401i,0.00020298-0.00023417i,0.0001115+4.9227e-05i
