-0.0044094+8.6681e-05i,-0.0032848-0.00015042i,-0.0044642+0.0013853i,-0.0039327+0.0023313i,-0.00085957+0.0019598i,0.00070943+0.0017683i,0.00041021+0.0019325i,0.00093445+0.0016436i,0.0017148+0.0013718i,0.001572+0.0012082i,0.0015092+0.00099627i,0.0011851+0.0010525i,0.00058486+0.001095i,0.00036626+0.0005586i,0.00038203+0.00035451i,0.00012121+0.0013041i,-0.00077447+0.0012618i,-0.00093896+0.00018824i,-0.00037234-6.2352e-05i,0.00016928+0.00044463i,0.00022788+0.00011474i,-7.6021e-05-0.0001776i,-0.00052857+0.00027829i
0.0011151+0.0018272i,0.00085021+0.0011198i,0.0014745+0.00025821i,0.0023516+9.6538e-05i,0.0023474+0.00077138i,0.00065354+0.00067897i,-0.00078517+0.00050588i,-0.00088597+0.00039711i,-0.00048528-0.00010679i,0.00012187-0.00045053i,0.00094019-0.00026033i,0.0012365-0.0001074i,0.0013627+3.0767e-05i,0.0013716+0.00010474i,0.0013038-0.00051634i,0.00086339-0.00081889i,0.00030758-0.00043933i,-7.2956e-05+8.7901e-05i,8.9172e-05-4.05e-07i,0.00094434-0.00041876i,0.00073279-0.00037361i,0.00027333+0.00050238i,0.00017443+0.00079787i
0.00046296+0.00035742i,0.0012437-0.00013293i,0.0020737+0.00038041i,0.0021671-0.00016398i,0.0015977-0.0010585i,0.00025694-0.0012862i,-0.00087424-0.0010777i,-0.00098562-0.00067284i,-0.00049746-0.00031578i,-9.324e-05-8.2454e-05i,0.00045246+3.1274e-05i,0.00052783-0.00012734i,-0.00016182+0.00015333i,-0.0006448+9.9022e-05i,-0.00079525-0.00042621i,-0.00040644-0.00022207i,0.00013198+0.00024136i,0.00044052+0.00032212i,0.00036163+0.00045986i,-4.2247e-05+5.1928e-05i,-8.4977e-05-0.00043296i,0.0002272-0.00044672i,0.00057919-0.00092645i
0.00034098+0.00017393i,-3.3389e-05+0.00032991i,0.00026516+0.00035319i,0.00050713+3.3648e-06i,0.00022249-0.00042319i,-0.00013013-0.0003273i,-0.00028185+0.00047533i,-1.0756e-05+0.0010435i,0.00045628+0.0008906i,0.00057178+0.00051468i,-2.6791e-05+0.0001608i,0.00043316-0.00010109i,0.0017222-0.00017926i,0.001422-0.00025157i,5.2034e-05-1.9968e-05i,-0.00053323+0.00014199i,-0.00035028+0.00013277i,0.00022378+0.0008429i,0.00022075+0.0013143i,-1.998e-05+0.00058495i,8.7942e-05-0.00013093i,-0.0001339+0.00029785i,-0.00033281+0.00047335i
0.0014399-0.00024425i,0.0013269-0.00035621i,0.0019273-0.00068194i,0.0019202-0.0011024i,0.00067867-0.00073425i,0.00025653+4.7441e-06i,0.00063621+0.00033722i,0.00064419+0.0007019i,0.00046074+0.00088519i,0.0011128+0.00091412i,0.0010646+0.00094896i,0.0004094+0.0007085i,-0.00033219+0.0008683i,-0.00032844+0.0012337i,-0.00016132+0.00092522i,2.4303e-06+0.00046521i,-0.00014255+0.00043384i,-0.00043978+0.0002384i,5.4847e-05+5.8031e-05i,0.00045923-0.0001348i,0.00030575-0.00029565i,-4.172e-05-8.5225e-05i,0.0003096-0.00046499i
0.001688+0.00072566i,0.00044081-0.00011534i,-0.00037284-0.0010913i,0.00036355-0.00079501i,0.00044593+0.00032581i,-5.5064e-05+0.00054709i,-0.00014365+0.0008569i,0.00050668+0.00056537i,0.00077297-0.00012084i,0.00062626+9.3795e-05i,0.00058603+0.00089075i,8.909e-06+0.00093253i,-0.00060267+5.5923e-05i,9.1839e-05-0.00021184i,0.00095255-7.2553e-05i,0.0010882+0.00023416i,0.0011133+0.00076587i,0.00090847+0.00048822i,0.00030062+0.0004948i,-9.3318e-05+0.00054288i,9.8921e-05+1.3044e-05i,0.00043256+0.00017713i,-0.00020407-4.5231e-05i
0.0014335+0.00068293i,0.00088867-0.00038212i,0.0019756-0.0015544i,0.0014066-0.0020085i,0.00091662-0.0018134i,0.00051506-0.00027594i,0.00070758+0.00075901i,0.00094957+9.4586e-05i,0.00049212-0.0006495i,0.0012355-0.0014701i,0.00083485-0.0012461i,-0.00073256-0.00051175i,-0.00097801-0.00031331i,-0.00060148-0.00055758i,-0.00052048-0.00086451i,-0.00068905-0.00077242i,-0.0003438-0.00056618i,0.00054046-0.00070451i,0.00043678-0.00085143i,-1.3706e-06-0.00064307i,2.4485e-05-0.00058219i,0.00044741-0.0002214i,0.00042518-0.00013535i
-0.0014929-0.0013353i,-0.0019967-0.0012994i,-0.0022854-0.0011968i,-0.0018111-0.00060237i,-0.0010394-0.00075021i,0.00017426-0.00017135i,0.00089592+0.00086181i,0.0009972+0.00034366i,0.00027967-0.0005903i,-0.00055721-0.00014119i,-0.00048522+0.00035033i,0.00019758+0.00062309i,0.00092898+0.00053672i,0.00085212-0.00022164i,-0.00016452-0.00034786i,0.00018306-0.00066675i,0.00073881-0.00026273i,0.00023023+0.00069412i,0.00013441+0.00076711i,0.00052525+0.00067724i,0.00045618+0.0004713i,5.3655e-05+0.00010596i,-0.0003362-0.00014309i
3.9556e-05+0.00038385i,-8.4233e-05+7.9778e-05i,0.00031131-0.00044235i,0.00020561-0.00090025i,-8.1783e-05-0.00096241i,0.00027688+0.00047266i,-0.0001383+0.0013495i,-0.00024108+0.0011394i,0.00038431+0.00095978i,0.0004548+0.00062124i,-3.0801e-06-0.00020733i,8.957e-05-0.00083067i,1.0086e-06-0.0010346i,-9.281e-05-0.0012482i,0.00010537-0.00053475i,0.00015969+0.00063543i,0.00015261+0.0011493i,0.000258+0.0010896i,0.00019108+0.00049861i,0.00020055-0.00023749i,0.00049447-0.00093702i,0.00063335-0.00051147i,7.1435e-05+8.2497e-05i
-0.0011621-0.0017601i,-0.0010454-0.00079843i,-0.00082705-0.0011298i,-0.00021017-0.0014099i,-0.00011783-0.00031987i,-0.00040703+0.0011764i,-8.5388e-06+0.0013234i,0.00027522+0.00059789i,0.00025725+9.0094e-05i,0.00055068-5.0512e-05i,0.00053628-0.00015257i,0.00071965+1.9522e-05i,0.00064107+0.00030468i,0.00038996+0.00024482i,9.9299e-05+0.00023945i,-0.00037012+0.00046159i,-0.00020563+0.00042983i,-0.00074125+0.0007081i,-0.0011044+0.00077343i,-0.00041977+0.00022746i,0.00010595-4.4643e-05i,0.00040796+0.00018104i,0.00054009-0.0002633i
-0.00060017-0.0018168i,-0.0018722-0.00045476i,-0.0023722+0.00085449i,-0.001766+0.00029962i,-0.00099309+0.0004149i,-0.00041169+0.00090798i,-0.00027974+0.0007982i,0.00052816+0.00079306i,0.00064607+0.00043832i,0.00028007-2.7323e-05i,0.00055037+0.00074111i,0.00058394+0.00082478i,-1.0175e-05-0.00013806i,-0.00049438-0.00064775i,0.00010501-0.001023i,0.00019449-0.0012731i,0.00013433-0.00023294i,-0.00024184+0.0010914i,-0.0012181+0.00095902i,-0.001151+0.00022154i,-0.00058069+0.00021373i,-0.00014737-0.00010935i,2.4152e-05-0.00044407i
0.00022382+0.00061893i,0.00013191+0.00081153i,0.00019974+0.00085448i,0.0004791+0.00058515i,0.00048821+6.6005e-05i,0.00065292+0.00053268i,0.0006695+0.00092357i,0.0001985+0.00062232i,0.00042029+0.0005427i,0.0010617+0.00032509i,0.0014056-0.00026607i,0.0018046+0.00015615i,0.0013198+0.00013312i,0.00030208-0.0006711i,-0.00017556-0.00012956i,-0.00015557+5.9135e-05i,-0.0004145-0.00055427i,-6.6438e-05-0.00076965i,0.0003012-0.0006668i,0.00039533-0.00042043i,0.00022563-6.9508e-05i,9.2879e-05+0.00046537i,-0.00020858-0.00028623i
-0.0012763+0.0012526i,-0.00051899+0.00044468i,-6.4645e-06+0.00088359i,0.00066481+0.0011362i,0.000345+0.00034595i,1.1312e-05-0.00028046i,0.00047684-0.00016536i,0.00038151+4.2697e-05i,6.4052e-05-0.00043804i,7.9465e-05-0.00085912i,0.00014945-0.00032929i,0.00034238+0.00030776i,0.00071059-0.00030341i,0.0011022-0.00073489i,0.00066987-0.00052831i,-2.6769e-06-0.00010994i,6.0425e-05+1.8612e-05i,0.00037339+0.00010274i,-0.00025655+0.000454i,-0.0004283+0.00083491i,0.00044568+0.0014037i,0.00092585+0.0010631i,0.00050706+0.00048942i
-0.0033074+9.6159e-05i,-0.0027181+0.00068713i,-0.0024229+0.00085065i,-0.0014933+0.00067968i,5.9886e-05+0.00094754i,0.0013579+0.0009102i,0.0017063+0.0010804i,0.00103+0.00091846i,0.00046282+7.9204e-05i,0.00028152-0.00043982i,0.00015373-0.00013423i,-0.00044164+0.0001675i,-0.00042641-4.3628e-06i,0.00017534+0.00013327i,-8.7195e-05+0.0010171i,7.9758e-05+0.00086083i,0.00042938+0.00066997i,0.00017173+0.00073181i,-2.5399e-05-0.00036977i,0.00012354-0.00060428i,0.00016282-0.00018729i,0.00056915-0.0004706i,0.00054665-0.00073832i
0.00045425-0.0009785i,0.00057496-0.00064261i,0.00016351-7.3132e-05i,1.639e-05-0.0001847i,5.4958e-06-0.00056318i,-0.0003274-0.00019647i,0.00023489+7.349e-05i,0.00052032+0.00039227i,0.00033103+0.00073791i,0.00019669+0.0002849i,0.0003069+0.00044699i,0.00090556+0.0010939i,0.00026989+0.0010906i,0.0002918+0.00013007i,0.00066379-0.00012992i,0.0002098-6.7743e-05i,0.00010984+0.00033319i,0.00023633+0.00043966i,0.00038984-0.00021469i,2.6838e-05-0.00013914i,-0.00020172-0.00022792i,-0.00046895-0.00061105i,-0.00062976-0.00022562i
0.00023074+0.0011368i,0.0010447+0.00026281i,0.00091846+1.1661e-06i,0.0012318+0.00033264i,0.00088562+0.00054558i,0.00015512+0.0012111i,-0.00027522+0.0016818i,-0.00026434+0.00072985i,-3.6294e-05+0.00046679i,0.00061481+0.0012437i,0.0007985+0.00057756i,0.00044019-0.00026227i,0.0003273-0.00027162i,0.0001984-0.00017931i,-0.00021513-3.0764e-05i,-0.00013239+0.0002886i,8.032e-05+0.00059539i,0.00010866+0.00064878i,0.00081287+0.00034798i,0.00083711+0.0001524i,0.00039825-6.8812e-05i,-0.00036516-0.00064109i,-0.00068593-0.0011204i
0.00045366-0.0001699i,0.00037162+0.00064907i,-0.00018225+0.0010596i,-0.00077682-0.00022796i,-0.0003649-0.0015217i,-4.2074e-05-0.0009179i,-9.6811e-05-0.00052092i,-0.00084458-0.00080767i,-0.0012342-0.00010963i,-0.00068463+0.00054445i,0.00044602+0.00014982i,0.00079166-0.00027152i,0.00029536-0.00033134i,-0.00025582-0.00012037i,-0.0006771-0.0002816i,-0.00013338-0.00080686i,0.0008061-0.00014145i,4.9807e-05+0.00089888i,-0.00038649+0.00044397i,0.00021865-0.00010723i,-0.00035883-0.00026878i,-0.00072055-0.00053221i,-0.00034527-0.0010716i
-0.00044247+0.0011871i,-0.00019433+0.00018129i,0.00019199+0.00040191i,-4.6044e-07+0.0003185i,-0.00011566-0.00047967i,0.00020118-1.796e-05i,0.00016415+0.00066951i,0.00053938+0.0013205i,0.00047674+0.0012379i,0.00077802+0.00085127i,0.0012949+0.00091346i,0.00081012+0.00091013i,-0.0002391-0.00020672i,-0.00022817-0.00087884i,0.00017117-0.00029314i,0.00024218-0.00050882i,0.0007425-0.00044994i,0.001582+1.0237e-05i,0.0015044-0.00010833i,0.00033339-0.00016029i,-0.00011605-9.6206e-05i,0.00063323+3.4565e-05i,0.00028889+0.00035622i
-0.001086-0.00025005i,-0.0011087+0.00022028i,-0.0017455+0.001528i,-0.00033515+0.0023117i,0.0011533+0.0017818i,0.00086293+0.0015032i,0.00028105+0.00094632i,0.00068939+0.0014214i,0.00040209+0.0017663i,0.00014291+0.0012004i,0.00032056+0.00086376i,0.00036342-9.8112e-05i,-0.00025761-0.00051017i,-0.00088693-0.00016975i,-0.00055208-0.00040196i,-0.00024213-0.00046401i,3.211e-05-3.2261e-05i,0.00019496-9.1331e-05i,-0.0004258-0.00086514i,-0.00017979-0.00072314i,-0.00028571-5.5264e-05i,-0.00087917-1.3712e-05i,-0.00052182+0.00032985i
