-0.0011203+0.0006573i,-0.00020581+0.00045598i,-0.0012347+0.00050013i,-0.0021328-0.00014363i,-0.0030184-0.00013226i,-0.0027348+0.002311i,-0.0012219+0.0029441i,0.00030899+0.0014538i,0.0011936+0.0010755i,0.0011982+0.0018194i,0.00064768+0.0017094i,-6.8015e-05+0.0010191i,-0.00033963+0.00071817i,0.00013662+0.0010522i,-0.00012099+0.00095441i,-0.00034561+0.00087409i,-5.8455e-05+0.00073982i,0.00021143+0.00020836i,-3.3231e-05+0.00032315i,-0.00047174+0.000385i,-0.00017779+0.00016787i,0.00024867-0.00016702i,0.00063754-0.00024345i
0.00014438+0.0022039i,0.0015713+0.0022314i,0.0032243+0.0018195i,0.0019107+0.00034832i,-0.00014662+0.00052286i,-0.00053771+0.00092413i,-0.00044951+0.00025473i,-0.00071391-0.00023345i,-4.9942e-05-0.00060474i,0.00077437-0.00045894i,0.0007154+7.6081e-05i,0.00045354+0.00054893i,0.00024786+0.00051302i,-0.00011175-0.00023699i,-0.00022241-0.0010523i,-3.8181e-05-0.0010431i,-0.00054958-7.374e-05i,-0.00045349-1.1922e-05i,0.00041406-0.00015611i,0.00036419+0.00033059i,0.00035545+0.00060347i,0.00021863+0.00016492i,-0.00019217-0.00029814i
-9.6374e-05-0.00047699i,-0.0011055-0.00040693i,-0.00098151+0.00059098i,-0.0011907+0.00094708i,-0.0019074+0.00065165i,-0.0018044+0.00031008i,-0.001666-0.00040899i,-0.0010382-0.000106i,-0.00061894+0.00049059i,-0.00033758+0.00071823i,-0.00058652+0.0013099i,-0.00023581+0.00050406i,0.000181-0.00024794i,-0.0007558-0.00012767i,-0.00021656+0.00048985i,0.00038458+0.00099238i,0.00025578+0.00096869i,0.00023322+0.00043209i,-0.00016222-0.00040057i,-6.4112e-05-0.00033109i,3.3661e-05+0.00058183i,-0.00026913+0.00097439i,-0.00067024+0.0003638i
0.0003079-0.001528i,0.00010135-0.0010225i,-0.00035816-0.00098519i,-0.00045403+0.00010412i,-0.00040262+0.001605i,-8.5956e-05+0.0022182i,0.00031811+0.0021923i,7.6358e-05+0.00133i,-0.00017991+0.00082091i,0.00036394+0.00073305i,0.00022238+0.00037827i,-0.00053936+0.00011431i,-0.00062208+0.00017276i,-0.00062621+0.00028593i,-0.00032521+0.00051265i,7.4351e-05+0.00048621i,0.00025111+0.00056575i,0.00051418+0.00079453i,0.0004017+8.1564e-05i,0.00015889-4.5143e-05i,0.00064774+0.00068296i,0.00046608+0.0010127i,-6.6542e-05+0.00083835i
-0.0011985-0.0011638i,-0.0019467-0.00020624i,-0.0014509-0.0011741i,-0.00059829-0.0012902i,-0.00074333-0.00084267i,-0.00073019-0.00053298i,0.00016164-0.00039311i,5.3547e-05-0.00079218i,-0.00074563-0.00097355i,-0.00067451-0.0008017i,5.8676e-05-0.00061798i,0.00051772-0.00031795i,-2.9558e-05-0.00092417i,-4.6406e-05-0.00133i,0.00015302-0.00049554i,0.00047383+0.00075355i,0.00066474+0.0012759i,0.00059193+0.00078474i,-5.9706e-05+0.00067801i,-0.0014484+0.00069845i,-0.0018882+0.00045868i,-0.0011967+0.00023856i,-0.00060874+0.00023056i
0.00048172-0.00037048i,0.00075993-0.00084934i,0.00033421-0.001188i,-0.00040312-0.00097705i,-0.00099453-0.00048487i,-0.0013214-0.00058468i,-0.0013968+2.5658e-05i,-0.00076169+0.00013513i,-0.00025875+0.0014998i,-0.0001146+0.0019223i,0.00043231+0.0003557i,0.00098038-9.657e-05i,0.00080594-0.00042443i,0.00035658-0.00081064i,-0.00011218-0.00029372i,0.0004105+0.00016067i,0.00096055-0.00016463i,0.00046705-0.0002743i,-0.0002306-5.2153e-05i,-8.6085e-05+0.00028475i,-0.00014874+0.00027021i,0.00046305+0.00011665i,0.00066134+0.0003424i
-0.00067369+0.00013423i,-0.00034382-0.00046372i,-0.00030182-5.646e-05i,-0.001329+0.00076121i,-0.0017863+0.00040703i,-0.0011197-0.00039994i,-1.714e-05-0.00093404i,0.00053902-0.00051688i,0.00033941-0.00014988i,0.00016314+6.3855e-05i,0.00077529+0.00056295i,0.0008528+0.00044887i,-0.00050539+2.0036e-05i,-0.0013612-0.00059562i,-0.0014759-0.00025364i,-0.0010382+0.00070968i,-0.00043684+0.0013588i,-0.00018392+0.0011686i,-0.00032039+9.9226e-05i,-0.00063697+0.00028666i,-0.00086971+0.00073884i,2.6558e-05+0.00011011i,0.00081655-9.3985e-05i
0.00036435+0.0037539i,0.0011005+0.0028228i,0.00086375+0.0016928i,0.00071633+0.0017613i,-0.00066689+0.0013873i,-0.0018759-8.0673e-05i,-0.0015697-0.00028477i,-0.00025386-4.8158e-05i,0.0001883-0.0004809i,-0.00037763-0.00055286i,-0.00061595+0.00027339i,-0.00014092+0.00032171i,0.00027893+0.00046601i,0.00042357+0.0001731i,0.00024179-0.00082975i,0.0001443-0.00088739i,0.00013185-8.1666e-05i,0.00013386+0.00033894i,0.00031047-0.00033008i,0.00010357+0.00027129i,-0.0002732+0.0011244i,-0.00010896+0.00098679i,-0.00021912+0.00011254i
-0.0019031-0.0019424i,-0.0027623-0.001845i,-0.0027958-0.0021374i,-0.0017893-0.0012701i,-0.0015512+9.9885e-06i,-0.0012401+0.00059313i,-0.00059806+0.00011664i,-0.00041303-0.00042599i,0.00020952-0.00078955i,0.0005718+0.00014338i,0.0003437+0.0011877i,0.00075518+0.00092957i,0.00054362+0.00052648i,0.00036255+0.00035074i,-6.3846e-06+0.00027292i,-4.5256e-05+0.00070407i,0.0006333+0.00050824i,0.00035572+0.00042386i,-0.00028797+0.00063643i,-0.00047203+0.00013503i,6.6645e-05+0.00010242i,0.00014906+0.0002044i,-0.00080912-0.00018225i
0.0010924+0.0017637i,0.0014393+0.0018758i,0.0034068+0.0019112i,0.0030878+0.0013169i,0.0013316-0.00012328i,8.4954e-05+0.00023995i,-0.0003068+0.00043782i,-0.00011386-0.00033968i,0.00081295-0.00038329i,0.0010056-0.00035262i,0.0010547-0.00031955i,0.0011917+0.00082268i,0.0006402+0.00073811i,0.00042305-0.00042145i,-4.8923e-05-0.00073463i,0.00057871-0.00057251i,0.00041953+1.2839e-05i,-0.00015721+0.00065256i,-3.1373e-05+0.00060001i,-0.00066381+0.00035997i,-0.00070494+0.00029834i,-0.00051086+0.00059735i,-0.00014512+0.00038491i
-0.001387-0.00012673i,-0.001575+0.00026396i,-0.00076067+0.00057034i,0.00013454-0.00040089i,8.1219e-05-0.0014074i,-0.00043225-0.0014442i,-0.00094437-0.0012753i,-0.001169-0.0010485i,-0.0015934-0.00010052i,-0.0015715+0.00045482i,-0.00033036+0.00080803i,0.00064496+0.0010885i,0.00060409+0.00062595i,4.839e-05+8.6966e-05i,-0.00023789-0.00016019i,0.00066475+0.00043571i,0.00090102+0.0011868i,0.00073224+0.00058147i,0.00066347-0.00030464i,8.8432e-05-0.00064039i,-0.00015897-0.00051149i,-0.00024896+0.00015704i,-0.00010689+0.00087354i
