-0.00090043+0.00076462i,-0.0012882+0.00022655i,-0.0027127+0.00026301i,-0.0020353+0.00086961i,-0.0011187+0.0024814i,-0.0011243+0.0031944i,-0.00065455+0.0029287i,0.00011828+0.0022475i,0.00010445+0.0012043i,0.0003228+0.0004526i,0.00014678-0.00045138i,-0.00047552-0.00059881i,-0.0009783+0.00019584i,-0.0012371+0.00012876i,-0.00094198-0.00011448i,-0.00081456-7.9266e-05i,-0.0014693-0.00035983i,-0.00085331-0.00014452i,0.00036834-0.00011526i,0.00074255-0.00041935i,-1.0385e-05-0.00036133i,-0.00043959-0.000193i,-0.00031201-0.0001227i
-0.0030625-0.0015398i,-0.0022389-0.0012804i,-0.0022097-0.00084071i,-0.0020478+9.9163e-05i,-0.0010538+0.00025463i,-0.00081209+0.00034905i,-0.00090581-0.00015566i,-0.0006739-0.00096213i,-0.00023475-0.00084973i,-0.00018759-0.00032458i,-0.00062278+0.00084058i,-0.00081531+0.0012174i,-0.00076821+0.00049871i,-0.0006577+0.00034525i,-0.00062767+0.00064569i,-0.00011138+0.00075449i,-0.00025156+0.00020506i,-0.00070422-0.00053146i,3.6904e-07-0.00052186i,0.0011224+4.9468e-05i,0.00088601+0.00026243i,0.00052049+0.00049806i,0.00023331+0.00046322i
-0.00027878-0.0010226i,-0.001405-0.00042312i,-0.0028036-0.0014927i,-0.0028985-0.001001i,-0.0020505+0.0010321i,-0.0012433+0.0019616i,-0.0006298+0.0016766i,-0.00048183+0.00052851i,4.0319e-05-9.9599e-05i,-0.00024815+0.00048169i,-0.00029977+0.0012637i,3.7649e-05+0.0014793i,-0.00034569+0.00099687i,-0.00081641+0.00097637i,-0.0011566+0.00098574i,-0.00033348+0.00029586i,0.00014133-0.00029693i,-0.00084337-8.606e-05i,-0.00083517+0.00026684i,0.00043711+0.00037317i,0.00038102+0.00053988i,-0.00012029+6.1117e-05i,0.00012987+4.4815e-05i
0.00048121+0.0011986i,0.00088434+0.00060419i,0.0013512+0.0010038i,0.0015652+0.0012177i,0.0011988+0.0002342i,0.00025771+6.6098e-05i,-0.00017601+0.00090846i,0.00015193+0.00087894i,0.00053645+0.00010433i,0.00043949-0.00059344i,0.00026623-0.0013316i,0.00034164-0.0015962i,0.000679-0.0012086i,0.00037689-0.00032511i,0.00025538-0.00025545i,2.2736e-05-0.00048221i,-0.00030693-0.00053056i,-0.00022308-0.00040935i,-3.3837e-05+0.00023086i,0.00032665+0.00070428i,0.00027416+0.00064838i,0.00042192+0.00015445i,0.00048869-4.0847e-05i
-0.00042853-0.00090259i,-0.0016603-0.00070789i,-0.0019223-0.00088756i,-0.001505+0.00077783i,-0.00052277+0.0022483i,-0.00014039+0.0028698i,-0.00011186+0.0025821i,1.5989e-05+0.0016903i,-0.00045648+0.0008916i,-0.00046264+0.00046295i,-0.00038048-0.0001907i,-0.00028874-0.00061226i,-0.0002598-1.1477e-05i,-0.00041409+0.00042687i,7.9394e-05+0.00039926i,0.00046783+0.00032621i,0.00023548-0.00061639i,0.00025982-0.0013081i,-0.00014412-0.00084575i,0.00018113-0.00026202i,0.0007557-0.00014391i,-9.0025e-05-0.00068255i,-0.00071344-0.00048474i
0.00099325+0.0018041i,0.00042709+0.0014043i,0.001139+0.0025476i,0.00079896+0.0020855i,-0.00023953+0.00077763i,-0.001226+7.9187e-05i,-0.0011992+0.00053046i,-0.00077309+0.0010776i,-0.00051837+0.00090419i,0.00016965+0.00040613i,0.00057557+0.00011526i,0.00028192+0.00023278i,7.9794e-06+2.3053e-06i,0.00027623-0.00043285i,0.00074418-0.0002075i,0.00016372-0.0001071i,-0.0005586-4.9357e-05i,-0.00017966-0.00049417i,-0.00010828-0.001006i,-0.0005487-0.00052758i,0.00012015-0.0001304i,0.00053254+0.00025774i,-6.4377e-05+0.00088145i
0.00088377-0.0012602i,-0.00012102-0.00053815i,-3.122e-05-0.00079234i,-3.819e-05-0.00011292i,-0.00017554+0.000472i,-0.00034292+0.00070278i,-0.00044502+0.001066i,-0.00012772+7.0672e-05i,-0.00018143-0.00043019i,9.2645e-06-3.5685e-05i,-0.00031054-0.00013696i,-0.0010769-0.00014377i,-0.0010544+0.00016163i,-0.00049916-0.00037571i,0.00025937-0.00048117i,0.00050199-6.8731e-05i,-0.00052901-0.00015771i,-0.00080707-0.00019188i,-0.00026911+0.00045296i,-2.6403e-05+0.0010893i,0.00019035+0.00055584i,0.00013259+1.4228e-05i,0.00023547-0.00022826i
-0.0030007+0.0015935i,-0.0031114+0.0019883i,-0.0017027+0.0035393i,-0.00072016+0.0033298i,-0.00047075+0.0018442i,-0.00075753+0.00061654i,-0.0012954+0.0002151i,-0.00091864+0.00029148i,-0.00061503+0.00055532i,-0.00038028+0.00085012i,-0.00020855+0.00069318i,-0.00036433+3.7323e-05i,-0.00037502-0.00061084i,-0.00022569-4.5009e-05i,-0.00024525-0.00011676i,-0.00016167-0.00099495i,-8.0546e-06-0.00016322i,-0.00013243+0.00051484i,0.00034541-0.00040546i,0.00064819-0.0003971i,0.00077063+0.00044982i,0.00063012+0.00066907i,-0.00020748+0.00084632i
-0.00047929-0.00096876i,-0.00053687-0.0019157i,-0.0010883-0.0017794i,-0.0016139-0.001573i,-0.0010491-0.0008813i,-0.00033246+0.00054712i,-0.00010767+0.00076368i,1.9944e-05+0.00036957i,-4.7983e-05-0.00013405i,2.0058e-05-8.7391e-05i,0.00012977+6.31e-05i,0.00044047+0.00028608i,0.0004144+0.00027287i,-0.00049949-8.3854e-05i,-0.00082569+2.2829e-05i,-0.00031401-0.00063913i,-6.2648e-05-0.0015122i,-0.00015448-0.0011511i,-0.00077253-0.0008279i,-0.00054003-0.00057524i,0.00018814+0.00020228i,0.00070216+0.00059248i,0.0002689+0.00055582i
0.0011325+4.0906e-05i,0.00068833+0.00079747i,-2.4624e-05+0.00062123i,-0.00021502+0.00057401i,-0.00053231+0.00069007i,-0.0013089+0.00097757i,-0.0013373+0.00068436i,-0.00057661-0.00038757i,1.2405e-05-0.0009876i,0.00069444-0.00032154i,0.0010925+8.2779e-05i,0.00091801-0.00035062i,0.00091922-0.00036457i,0.0001395-0.00046991i,-0.00063269-0.00048642i,-0.00046418-0.00072387i,2.0819e-06-0.00061335i,0.00034678-0.0001226i,-5.6309e-05-0.00011755i,-0.00063021+0.00016181i,-0.0008218+0.00032057i,-0.00059984+0.00037392i,-0.00011799+0.00040882i
-0.00073874-0.0016283i,-0.00049415-0.001328i,-0.00028922-0.0013349i,-0.00053496-0.00094999i,-0.0015134+0.00025325i,-0.00085912+0.0014809i,0.00038348+0.0016302i,0.00041398+0.00075455i,0.0002143-0.00029568i,0.00015284-0.00011328i,-3.0514e-05-8.0977e-05i,7.816e-05-0.00047548i,-0.00049023+0.00039743i,-0.0010293-0.00022667i,-0.00085321-0.00090901i,-0.00058678-0.00026811i,-0.00032164-0.00021611i,-0.00064524-0.0003199i,-3.7143e-05+0.00010291i,0.0003314+0.00062219i,-0.00019226+0.00057552i,-0.00038576+0.00089299i,-9.7095e-05+0.00061891i
-0.0014995+0.00010526i,-0.0022523+0.00066496i,-0.0032189+0.0013646i,-0.0021396+0.0019549i,-0.0007203+0.0021628i,2.8088e-05+0.001708i,-0.00059033+0.001089i,-0.0013541+0.00064036i,-0.00072366+0.0010129i,-7.7876e-05+0.0015241i,-0.00031921+0.00091067i,-2.6607e-05-6.109e-05i,0.00010364-0.00048929i,-0.00062215+0.00031743i,-0.00079542+0.00040226i,-0.000712-0.00031384i,-0.00083214-0.00039891i,-0.00051279-0.00064506i,-0.0008764-0.00049591i,-0.00098567-0.00019832i,-0.00028897+0.00054538i,0.00017195+0.0014387i,5.6208e-05+0.00093026i
0.0011168-0.0019492i,0.0017882-0.0019356i,-0.00019569-0.0023981i,-0.00069981-0.0020941i,-0.0012447-0.00083037i,-0.00097435-0.00010223i,0.00010487+0.00071986i,0.00010581+0.00011268i,-0.00015566-0.0011859i,-0.00016911-0.0012595i,0.00018089-0.00078217i,0.00014041-0.00098736i,-0.00028945-0.0012599i,-0.00051083-0.00086364i,-0.0005364-0.00065476i,-0.00070312-0.0001104i,-0.00088396-0.00051629i,-0.00095825-0.00089379i,-0.0011087-0.00044915i,-0.0010516+0.00017505i,-0.00057787+0.00043611i,-0.0003363+0.00020449i,0.00019681-0.00028735i
-0.0015849-0.00071059i,-0.0023864+6.8274e-05i,-0.0019444+0.00081405i,-0.0015438+0.001321i,-0.00068702+0.0014184i,0.00017123+0.0018783i,8.2185e-05+0.001385i,-5.5672e-05+0.00050914i,-0.00085945+0.00010241i,-0.0013156+7.9245e-06i,-0.00055506-0.00034432i,4.2452e-05-0.00034256i,-0.00034587+0.00049544i,-0.001237+0.0003473i,-0.00089456-0.00032825i,4.2286e-05+9.6162e-05i,0.00022031+0.00038874i,0.00041713-2.8272e-05i,0.00030514-0.00042551i,-0.0005609-0.00039368i,-0.00080999+0.00019678i,1.4e-05+0.00077805i,0.0005964+0.00064621i
0.00054818+4.6913e-05i,0.001389+5.6746e-06i,0.0015518+0.0016234i,0.00080243+0.0016635i,0.00010482+0.00083273i,-0.00039926+0.00037449i,0.00019492+0.00098391i,0.00047118+0.0015645i,-0.0001055+0.0007669i,-0.00064169+0.0005179i,-0.00029071+0.00040392i,-0.000162+0.00062548i,-9.4196e-05+0.00070056i,0.00033468-0.00010078i,8.5085e-06-0.00024693i,-0.00052287-0.00014876i,-0.00062842-0.00028698i,-0.00019981-0.00050244i,-8.962e-07-0.00069865i,0.00067249-0.00062087i,0.0003554-0.00043096i,-0.00023185+0.00046337i,0.00061439+0.0011174i
-4.5615e-06-0.00064587i,-0.00090182-0.0013991i,-0.0017275-0.002127i,-0.0018526-0.0016423i,-0.0020062-0.00012932i,-0.0020438+0.0007065i,-0.001577+0.0010146i,-0.00082185+0.00086579i,-0.00045413-0.00015254i,-3.5278e-05-0.00083108i,-1.9244e-05-0.00084944i,-0.0004507-0.00066955i,-0.00029564-0.00030659i,-0.00071485+0.00011667i,-0.0014487-0.00040182i,-0.00035642-0.0010159i,0.00033905-0.0011767i,0.00013392-0.00093251i,-0.00041133-0.00074344i,-0.00048381-0.00050058i,-0.00039975-8.5569e-05i,0.00010836+0.00010596i,0.00032+0.00033441i
-0.0015276+0.00015765i,-0.0011842-0.00031446i,-0.00071866-0.00096235i,-0.0015874-0.00055577i,-0.0013281-0.00017151i,-0.00029938-6.6398e-05i,0.00063128+0.00031067i,0.00088007+0.00056653i,0.0002281+0.00058092i,0.00014572+9.5002e-05i,0.00011064-0.0012519i,0.00071027-0.0014772i,0.00028866-0.0010589i,-0.000598-0.00043534i,0.0001238+0.00015809i,0.00043444+0.00031632i,-0.00025713-0.00038576i,-0.0010268-0.0014453i,-0.00074266-0.00051173i,-0.00025503+0.00079635i,-0.00056597+0.00026039i,-0.00046094-0.00025664i,3.9922e-05-1.2671e-05i
