-0.0012437+0.002462i,-4.5702e-05+0.00050151i,0.00072566-0.00037571i,0.001931+0.0013022i,0.002451+0.0032155i,0.0020395+0.0021915i,0.0014189+0.00019356i,0.0011127+0.00067129i,0.0016157+0.00086442i,0.00094869+0.00023889i,0.00042595-0.00027729i,0.00095095-0.0007118i,0.00057062-0.00046343i,-0.00035269-0.00013075i,-0.00013139-8.1779e-05i,0.0008148+0.00027363i,0.00099949+0.00065492i,0.00014721+0.00044903i,-0.00026338-0.00021358i,-0.00027382-0.00046239i,-0.00026289-0.00042662i,0.00050311-0.00098951i,0.00064681-0.0012245i
-0.00067482-0.0011411i,-0.0011649-0.0024287i,-0.00052733-0.0018384i,0.00069378+0.00017431i,0.0013479+0.0015633i,0.0015769+0.0014763i,0.0017113+0.00048312i,0.00042319+0.00021325i,-0.0004696+0.00015989i,-0.00017329+0.00025025i,-0.00019142+0.00028673i,3.7938e-05+0.00051343i,-0.00014909+0.00049371i,-0.00052675+0.00049767i,-0.0006348+0.00050062i,-0.00010303+9.2264e-05i,-7.2907e-05-0.00023805i,-0.00055798-9.3542e-05i,-0.00023963+5.9048e-05i,0.00024386-0.00020413i,-9.9719e-05-0.00039132i,-0.00072973-0.00066571i,-0.0001785-0.0005391i
-0.00019679+0.00055562i,-0.00035764+0.00010289i,0.00051625+0.0012772i,0.0012663+0.0026479i,0.001711+0.0029279i,0.0017135+0.0022598i,0.0016458+0.0010365i,0.0011386-7.4392e-05i,0.00013339-0.00021996i,0.00061783+0.00025331i,0.0016149-3.0027e-05i,0.00087916-0.00063775i,-0.00013608-0.00053639i,7.1685e-05+0.00020553i,0.000241+0.00060847i,-0.00049985+0.00064944i,-0.00075771-0.00023023i,-0.0010573-0.0011751i,-0.0014695-0.0017789i,-0.0010645-0.0013309i,-0.00039544-6.0257e-05i,-7.9015e-05+0.00041565i,-0.0004846-0.00016457i
0.00078107-0.0018009i,0.00047583-0.0018127i,-0.00060827-0.001245i,-0.00097543+8.319e-05i,0.00013771+0.0012333i,0.0011199+0.0016162i,0.0020598+0.00063792i,0.0019745+0.00022177i,0.00073463+0.00025547i,-8.5354e-05-0.00028383i,-0.00033094-0.00071023i,-0.00025149-0.00087618i,-0.00088583-0.0005323i,-0.00066242-0.00048112i,-2.6405e-05-0.00084573i,-0.00052416-0.00033885i,-0.00054581-0.00034759i,-0.00033993-0.00091558i,-0.00023581-0.00059274i,-0.00041629-9.5422e-05i,-0.00033377+9.8077e-05i,-0.00025517-0.00038782i,-0.00029084-0.00015416i
0.0011617+0.00017847i,0.00082298-0.00086107i,0.00077687+0.0001448i,0.00083793+0.0010269i,0.00099518+0.00065325i,0.0016071+0.00047216i,0.0015206+0.00071698i,0.0010259+0.00013297i,0.00099851-0.00022382i,0.0010399+0.00041675i,0.0013073+0.00022085i,0.0010526-0.00017901i,0.00094453+0.00051534i,0.00078821+0.0010916i,-0.00014152+0.00048045i,-0.00046515-0.00013762i,0.00039038-2.6918e-05i,0.00045055-0.00026591i,-0.00024463-0.0010482i,-0.00021245-0.0013912i,0.00018516-0.0013515i,0.00022677-0.0010689i,-0.0002675-0.00055147i
-0.0010134+4.0151e-05i,-7.0299e-05+1.3298e-05i,-0.00021059-0.0010314i,0.00021753-0.00019097i,0.0012057+0.0015979i,0.0013999+0.0012561i,0.0013806-0.00055516i,0.00062997-0.00069113i,0.00030987-1.0934e-05i,0.00025385-5.5017e-07i,-0.00031802-6.9013e-05i,-0.00038258+3.4922e-05i,-0.00044288+0.00043511i,-0.00051217+0.00046799i,-3.8264e-05+0.00027436i,0.00028001+0.00035422i,-0.00012875+8.2103e-05i,0.00014411-0.00037585i,0.00012234-0.00032058i,-0.00078493-0.00044399i,-0.00056476-0.00017094i,4.3582e-05+5.0998e-05i,8.0179e-05-0.00011014i
-0.00035557-0.0016615i,1.3663e-05-0.001248i,-0.00024443-0.00045421i,-0.00090079+0.00058359i,8.7802e-05+0.0018362i,0.0010072+0.0023379i,0.0009067+0.00063814i,0.00086511-0.00089253i,0.00043667-0.00010749i,0.00026268+0.00082208i,-0.00021653+0.001103i,-0.00078196+0.00060639i,-0.0005721-0.00033804i,-0.00052042-0.00077155i,-0.00043585-0.00062702i,-0.00021887-0.00023488i,-0.00079241+8.5246e-05i,-0.00081454+0.0005957i,-0.00016613+0.00084226i,-0.00011644+0.00094446i,0.00010066+0.0011838i,-0.00023472-0.00010343i,-0.00059005-0.0013679i
0.0015249+0.0019308i,0.00064217+0.00086231i,0.0015934+0.00056595i,0.0013835+0.00068374i,0.001872+0.00084742i,0.0013825+0.00054972i,0.00073488+0.0002139i,0.00058167+0.00010471i,7.9987e-05-5.1499e-05i,-0.00024983-0.00089081i,-0.00028859-0.0014213i,0.00016673-0.0011291i,0.00016238-0.00050155i,-0.00016721-6.5792e-05i,2.5901e-05-0.00041615i,-2.2369e-05-0.00023567i,0.00014761+5.782e-05i,7.551e-06-0.00032356i,-8.1671e-05-0.00062967i,-8.1131e-05-3.7475e-05i,0.00033498+0.00052404i,0.00090387+0.00056294i,0.00071946-0.00028084i
0.00017014+0.0015461i,0.00060422+0.0024385i,0.0018913+0.0025147i,0.0029801+0.002907i,0.0032+0.0029551i,0.0022747+0.0014226i,0.0010392-0.0003293i,0.0011816-0.00048047i,0.0022013-0.00017842i,0.0020445-0.00029856i,0.00062831-0.00033056i,-0.00059406-0.00053575i,-0.00072561-0.00056736i,-0.00051987+8.1389e-05i,-6.1276e-05-0.00020163i,-0.00025885-0.00082666i,-0.00071037-0.00092298i,-0.00021708-0.00092557i,-0.00013049-0.00083113i,0.00017233-4.9628e-05i,-0.00014745+0.001187i,-0.00055895+0.0006518i,-0.00052779-6.5852e-05i
-4.1544e-06+0.0011505i,-0.00080248+0.0010176i,-0.0013877+0.001419i,-0.001476+0.0016934i,-0.00058662+0.0026738i,0.00074207+0.0031481i,0.0017739+0.0017524i,0.0016851+0.0012068i,0.00086463+0.0013807i,0.00016267+0.0014862i,0.00051894+0.00096948i,0.00051484-4.0645e-05i,8.6084e-05-9.4196e-05i,-9.6942e-05+0.00042543i,-0.00012217+0.001049i,-0.00016182+0.0017151i,-5.524e-06+0.00062777i,0.0010691-0.00063021i,0.0018706-0.00043158i,0.0009701-0.00053202i,-8.8514e-06-0.00042382i,7.5331e-05+0.00058044i,0.00015407+0.00044671i
-0.0002847+0.0014026i,0.00035444+0.00090918i,0.0007559+0.0017004i,0.00088148+0.0024925i,0.0013159+0.0030384i,0.0015339+0.0018705i,0.0012286+9.7101e-05i,0.00047858-0.00021214i,0.00041996-9.3147e-05i,0.00033643-0.0003478i,0.00045134-8.7972e-05i,0.00027583-0.00015444i,-0.00032738-0.0001154i,-8.2211e-05+0.00021185i,0.00011798+0.00036137i,0.00018647-0.00019219i,0.00070339-0.00063808i,0.00060513-0.00072254i,-0.00026162-0.00066333i,-0.0010202-0.00011636i,-0.00087107+0.00029142i,-0.00075419-0.00017584i,-0.00029439-0.00099437i
-0.0014833-0.0012403i,-0.0011359+0.00057126i,-0.00076666+0.0020914i,-0.00010225+0.0030592i,0.0018731+0.0037557i,0.0036095+0.0035358i,0.0024861+0.0017977i,0.00073815+0.00063366i,0.00027025+0.00095568i,0.0001383+0.00093759i,0.00024476+0.00095989i,0.00024279+0.0009389i,0.00029575+0.00063692i,-0.00013373+6.2933e-05i,-0.00068535-0.00053852i,-0.00040953-7.5212e-06i,-0.00029862+9.2552e-05i,-0.00061234-0.0006312i,-0.00044443-0.00078926i,0.00027862-0.00073705i,0.00022887-0.00042324i,-0.00036123-0.00077287i,-0.00028082-0.00045972i
0.001333+0.00047861i,0.0020486-0.00038856i,0.0011192+0.00041486i,8.9981e-05+0.00055429i,0.00052063+0.001183i,0.0013071+0.0018772i,0.0011835+0.00075709i,0.00074363+9.7504e-05i,0.00074461+0.00063804i,0.0011436+0.0010416i,0.00095413+0.00072639i,0.00045116+0.000551i,0.00049406+0.00013779i,0.0010799-0.00038929i,0.0012149-0.00036866i,0.00064217+0.0003162i,-0.00017431+0.00046559i,-0.00024494+1.4344e-05i,-0.0001378-0.00014244i,-0.0005628+0.00029654i,-0.00051113+0.00071168i,0.00012266+0.00022125i,0.00023024-8.1779e-05i
-0.00031032-0.00037549i,-0.00085837+0.0011438i,0.00016084+0.0021695i,0.00091486+0.0018068i,0.0017316+0.0011381i,0.0024311+0.00075358i,0.001589+0.00010427i,0.00063318-5.1574e-05i,0.00074481+0.000499i,0.0012857+0.00056506i,0.00085311+0.00064153i,-0.00021547+0.00028585i,-0.00064845-0.00045273i,-0.00059258-0.00040966i,7.7217e-06+0.00038338i,0.00038649+0.00024453i,0.00030784-0.00043393i,0.00042804-0.00035042i,-0.00035253+0.00033217i,-0.00087274+0.00064131i,-0.00088029-0.00035842i,-0.00090909-0.0011514i,-0.00037423-0.0010089i
0.00082657-0.0016047i,0.00047601-0.00074831i,0.00036652-5.0435e-05i,0.00035816+0.0012174i,0.00021235+0.0022878i,0.00052344+0.0022679i,0.0010722+0.00042313i,0.0008521-0.00041613i,0.00027398+5.6627e-06i,0.00090259+0.00020793i,0.00056978+0.00041014i,-0.00019162+0.00050291i,-0.00069507+0.00024688i,-0.00070683+0.00053689i,-0.00037939-4.2164e-05i,-0.00063796-0.00057443i,-0.00030476-7.871e-05i,0.00060349+0.00012097i,0.00045257-0.00078595i,-0.00031215-0.0007587i,-0.00055671+0.00014899i,-1.8846e-05+7.5719e-06i,0.00061007-0.00045297i
-0.00057479-0.00071093i,0.00047139-0.00090792i,0.00046426-0.00074387i,0.00028378+0.00069448i,0.00063206+0.0021603i,0.0012815+0.0013996i,0.0018225+0.00032953i,0.00082804+0.00076653i,-0.00031521+0.00072382i,-0.00058039+0.00031513i,-0.00050293+0.0003852i,-0.0004008+3.3422e-05i,-0.00016026-0.00041734i,-0.00032945+0.00036645i,-0.0012391+0.00029108i,-0.0012748-0.00010943i,-0.00053578+7.9939e-05i,7.2303e-05-0.00015218i,-0.00017566-0.00045621i,-0.00051776-0.00066249i,-0.00052758-5.7524e-05i,-0.00061023+0.00045433i,-0.00035412+0.00043241i
-0.0010243+0.00080006i,-0.0012267+0.0013727i,-0.0011719+0.0020991i,5.2393e-06+0.0024321i,0.0015376+0.0034346i,0.001729+0.0029186i,0.001764+0.0016229i,0.0012172+0.00075819i,8.1407e-05-0.00030235i,0.00041422-0.00023851i,0.00073805-0.00027726i,0.00060937-0.0003593i,-0.00014082+0.00012325i,-0.00060793+0.00026982i,-0.00034624+0.00034433i,-4.6225e-05+0.00080987i,0.00021831+0.0012685i,-0.00010705+0.0010493i,-0.0003164+0.00043994i,0.00015338+0.00011926i,0.0001562+0.00017536i,-0.00034878-6.6711e-05i,-0.0013207-0.00053752i
-0.0017722+0.0017901i,-0.0021118+0.0019467i,-0.0011613+0.0028904i,0.0005617+0.0034211i,0.0020212+0.0035837i,0.0019747+0.0024542i,0.0020005-8.6538e-05i,0.0017895-0.00088273i,0.0013223-0.00013575i,0.00081227+0.00032648i,2.6576e-05+4.7265e-05i,-0.00033677+0.00017813i,-0.00024549+0.00033769i,0.00046222+0.00016077i,0.00083846+0.00063949i,0.00063649+0.0010791i,0.00094357+0.00074858i,0.00088534+0.00030706i,-0.00031665+0.00023896i,-0.00048963+0.00050279i,-0.0003152+0.00035784i,-0.00089982-0.0001902i,-0.00055205-4.9079e-05i
7.6291e-06-0.0013839i,-0.00047365-0.001618i,8.8256e-05-0.0015949i,-0.00032627+0.00057593i,-0.00042129+0.0029065i,0.00046303+0.0017654i,0.00099843-4.6323e-05i,0.0014004-9.6104e-05i,0.0010186+0.00019316i,0.00012957+0.00027946i,0.00031019+0.00077127i,0.00071911+0.00076251i,0.00014481+0.00042484i,-0.00016197+0.0006579i,0.00014305+0.0002434i,0.00044677-0.0002388i,0.0002008+0.00017883i,0.00012806+6.6727e-05i,-6.9188e-05-0.00033378i,0.00024102+0.0001738i,0.00016025+0.00048811i,-0.00038026+0.00032456i,5.705e-05-0.00037584i
