0.00045451+0.00026006i,0.0018277-0.0023034i,-0.00022509-0.003906i,-0.0019745-0.002771i,-0.0020733-0.00017165i,-0.0017986+0.0019915i,-0.0012183+0.0034362i,0.00035475+0.0028128i,0.0014748+0.00089367i,0.0017405+0.00016618i,0.0010353+0.0005174i,0.00027365+0.00077953i,0.00018445+0.00043264i,7.1034e-05-0.00036459i,0.00085634-0.00047315i,0.00088889-0.00062251i,0.00052752-0.00081382i,0.00020276-0.00068563i,0.00017353-0.00058628i,0.00041863-0.0001338i,0.00015163-0.00049181i,-0.00038673-0.0005253i,-0.00041451+0.00032736i
-8.2497e-05-0.00018642i,0.00061048-0.001299i,3.9526e-05-0.00094254i,-0.00017012+0.000385i,0.00065947+0.0023889i,0.0013444+0.0027048i,-5.1745e-05+0.0023499i,-0.0025865+0.0034291i,-0.0035221+0.0042233i,-0.0032565+0.0038161i,-0.0032171+0.0026893i,-0.0025275+0.0024615i,-0.00089486+0.0021663i,0.00025736+0.0013759i,0.00079501+0.0010832i,0.00018954+0.00043778i,0.0001126-0.00021982i,0.00022403+0.00030444i,7.7907e-05+0.00057144i,0.00051687+0.00011361i,0.00032934+6.3142e-05i,-0.00069443+7.1082e-05i,-0.00075699-8.7585e-05i
0.00034102-0.00081114i,-0.00024128-0.001326i,-0.00027354-0.0013893i,0.00045042-0.00035289i,0.0013186-0.000245i,0.0017797+0.00031345i,0.00080476+0.0011522i,0.00021067+0.0025144i,0.00075195+0.0043434i,0.00070273+0.004179i,0.00043307+0.0036096i,0.00065626+0.0038627i,0.0012264+0.0023376i,0.001002+0.0001508i,0.00024921-0.00025932i,0.00023965-0.00030754i,0.00045742-0.00012414i,0.00058212+0.00066715i,3.6424e-05+0.00072182i,-0.00043178+0.00037858i,-4.4983e-05+0.00028393i,2.2998e-05+2.0504e-05i,0.00054927+0.00020053i
0.0017615-0.0010604i,0.0019112-0.002459i,0.00051776-0.0036167i,-0.0014605-0.0028354i,-0.0022367-0.0011695i,-0.0024147-2.1071e-05i,-0.0022262+0.0010958i,-0.00030749+0.0015145i,0.0030526+0.0015671i,0.0042498+0.0010515i,0.0034252+0.00054622i,0.0029544+0.00098832i,0.0018786+0.00081457i,-0.00019261+0.00081667i,-0.00035222+0.00088812i,0.00038779+0.00086805i,0.00033762+0.0012627i,0.00060017+0.0011108i,0.00047668+0.00078429i,0.00017821+1.0224e-05i,4.9643e-05-0.00012491i,3.7041e-05-0.00017277i,0.00059824-0.00044608i
-0.00016251-0.00096607i,0.0006231-0.00046729i,0.00088193+9.0942e-05i,0.00080831+0.00054282i,0.0008339+0.0004946i,0.00038896+0.00034582i,-0.00056515+0.00034985i,-0.0011892-3.5793e-05i,0.00034431-0.0018496i,0.0023711-0.0039547i,0.0033468-0.0034429i,0.0027951-0.0016345i,0.0019308-0.00059367i,0.0016623-0.00058649i,0.0010963-0.00083152i,0.00038704+7.1792e-05i,0.00022262+0.00024194i,0.00051156+0.00016523i,0.00076674+0.00056406i,0.00070619+8.9723e-05i,-3.0886e-06-0.00059606i,-0.00032739-0.00047676i,1.5411e-05-5.1857e-05i
0.0002267-0.00010376i,0.00040937+0.0003437i,0.00011872-0.00054616i,0.00038904-0.00052868i,0.00036+0.00081328i,-0.00029629+0.00083492i,-0.0017675+0.00026404i,-0.0025596-5.3887e-05i,-0.0028322-0.0011145i,-0.0032434-0.0019014i,-0.0026129-0.0013599i,-0.00063523-0.00098448i,0.00012283-0.00078947i,-0.00010235-0.00035501i,0.00010943-0.00021559i,-0.00040551+1.2776e-05i,-0.00044467+0.00010351i,0.00030713+0.00039038i,-0.00013773+0.0003025i,-0.00045108+3.9925e-05i,0.00034564+5.0592e-05i,0.0008891-0.00066105i,0.00081691-0.0011803i
0.0018875-0.0014068i,0.0025179-0.0013615i,0.0018835-0.00097248i,0.00073414-0.00062128i,0.00096374+0.0002974i,0.0014376+0.0012424i,0.0008959+0.0012994i,-0.00033247+0.0022132i,-0.0018069+0.0039916i,-0.0031088+0.0033479i,-0.0038372+0.0019673i,-0.0025906+0.0014257i,-0.00083339+0.00084837i,0.00045002-0.00021283i,0.00097826-0.00028691i,0.00037387+0.0001089i,0.00026944-3.1043e-07i,6.1691e-05+0.00014546i,-0.00098462-0.00022619i,-0.0010176-0.00088778i,-0.00065143-0.00041511i,-0.0012121+0.00037029i,-0.00098215+0.00038153i
-0.00066575-0.0023234i,-0.00066274-0.00271i,-0.00091163-0.002687i,2.4121e-06-0.0011205i,0.0012496+0.0012265i,0.001455+0.0019405i,0.00025335+0.0015942i,0.00055191+0.0029623i,0.0012542+0.0051978i,0.00079862+0.0052942i,0.00035867+0.0043241i,-0.00018037+0.0032548i,-0.0002624+0.0021747i,0.00028476+0.0010423i,4.3269e-05+0.00015035i,-0.00064682-0.00041745i,-0.00092094-0.00040292i,-0.0012788+0.00083148i,-0.0010557+0.0011228i,-0.0006637+0.00043544i,-0.00031685-0.00018738i,-2.2591e-05-0.00060519i,-0.00021971+0.00023158i
-0.0021303+0.00030486i,-0.00069443+0.00078187i,0.00037962+0.0016606i,0.00079546+0.0019792i,0.00042602+0.001551i,2.1182e-05+0.001125i,-6.7452e-06+0.0013819i,0.0011644+0.0015863i,0.0037303+0.0014991i,0.0041976+0.0015534i,0.0031602+0.0011575i,0.0017743+0.00029508i,0.0010191-0.00032551i,0.0003179-0.00071197i,-0.00066992-5.6272e-05i,-0.00090105+0.00076408i,-0.00092316+0.00066923i,6.0654e-05+0.00050114i,0.00030297+0.00073516i,-0.00020918+0.001216i,-0.0001798+0.00076422i,0.00033704+9.6045e-06i,0.00044229-0.0004563i
0.00021385-0.00042586i,0.00090305-0.0013279i,0.0012257-0.00064095i,0.0022182+0.00052551i,0.0026074+0.001448i,0.00063557+0.0018219i,-0.0011489+0.0020006i,-4.9121e-05+0.00057477i,0.0025909-0.0017869i,0.0040211-0.0031922i,0.002667-0.0025843i,0.0015908-0.0013737i,0.0013072-0.00021794i,0.00043974+0.00041638i,0.00026651+0.00067659i,0.00072447+0.0014826i,0.00044835+0.0021259i,0.00057738+0.001139i,0.00078401+9.5982e-05i,-0.00011237+0.00011906i,-0.00052608+0.00030549i,0.00012138+0.00052634i,0.00068887+0.00016656i
0.00035264+0.0016487i,0.001057+0.002285i,0.0017125+0.002009i,0.00078707+0.0015775i,5.2721e-05+0.00095745i,-3.1276e-05+0.00044548i,-0.00069175-0.00027108i,-0.0022712-0.0013452i,-0.0026555-0.002826i,-0.0016263-0.0039158i,-0.0012544-0.0030259i,-0.00080998-0.001273i,2.2122e-05-0.00010333i,0.00041527+0.00029993i,0.0004363+0.0007546i,5.6986e-06+0.00098538i,-0.00053581-0.00021158i,-0.00010786-0.00077753i,0.00016733-0.0001668i,-6.1424e-05+3.2368e-05i,-0.00015996-0.00015901i,-4.725e-05-0.00016175i,-0.00010487-0.00024762i
0.0023675+0.00071632i,0.0031233-0.0012167i,0.0043889-0.0023384i,0.0041773-0.0014172i,0.0024525+9.5902e-05i,0.00033857+0.0020937i,-0.0016291+0.0028345i,-0.0033072+0.0027186i,-0.0044344+0.0021337i,-0.004825+0.0016712i,-0.0041843+0.0014466i,-0.0024007+0.00072688i,-0.00084921+0.00040941i,0.00052794+0.00034192i,0.0014166-0.00051845i,0.0010425-0.0012695i,0.0009785-0.0012327i,0.0010287-0.00087291i,0.0011412-0.0001983i,0.00092939+5.744e-05i,-0.00032883-0.00035845i,-0.00042235-0.00084155i,0.00035145-0.00056963i
-0.00078589+0.00098442i,-0.0015843+0.0019604i,-0.0017102+0.0019784i,-0.00055812+0.0023972i,0.00098455+0.0025832i,0.0010822+0.0015746i,-0.00010867+0.0018246i,-0.0011723+0.0038013i,-0.00078724+0.0051771i,-0.00074473+0.0047493i,-0.00049558+0.002951i,0.00038563+0.001074i,0.00067531+0.00074606i,0.00037315+6.7741e-05i,-0.00040515-0.0013425i,-0.00055668-0.0020642i,0.00025582-0.0013715i,2.3938e-05-5.5192e-05i,-0.0003227+0.00011646i,-0.00018658-0.0003592i,-0.001176-0.00021705i,-0.0014744+0.00049911i,-0.00090277+0.00067681i
0.00050056+0.00097086i,0.0015577-0.00014739i,0.0035691-0.001538i,0.0043194-0.0025017i,0.00356-0.0025084i,0.0014719-0.00094759i,6.2514e-05+0.0012785i,0.0015558+0.0026782i,0.004664+0.002787i,0.0062472+0.0024991i,0.0051467+0.0022193i,0.0030065+0.00082382i,0.00095088+0.00020039i,-0.00035767-0.00038079i,-0.001222-0.00044509i,-0.0014757+0.00032719i,-0.00083203+0.00094523i,-0.00015379+0.0009542i,-0.00064594+0.00081118i,-0.0011815+0.00076225i,-0.00079697+0.00038343i,8.3985e-05+7.0802e-05i,1.7217e-05+0.00026445i
0.00096846-9.4031e-05i,0.0011496+0.00039202i,0.00087196+0.00069544i,-1.7883e-06+0.0014828i,-0.0014959+0.0019305i,-0.0021505+0.0014443i,-0.00077145+0.00085958i,0.0020074+0.00028275i,0.0045132-0.00089083i,0.0049312-0.0028342i,0.0030721-0.0031502i,0.00070988-0.0015388i,-0.00012277+0.00014721i,0.00020598+0.0013202i,-3.6237e-05+0.0023207i,-0.00060571+0.0025586i,-0.00012535+0.0019532i,-0.00014151+0.0012575i,-0.00027478+0.00093666i,8.3221e-05+0.0011702i,0.00016558+0.0010203i,2.5441e-05+0.00038888i,0.00024811+0.00024499i
0.0021893-0.0016012i,0.002459-0.0014697i,0.0024431-0.0026798i,0.0017856-0.0034836i,0.0010007-0.0027237i,0.00061739-0.00074769i,0.0007095-0.00022631i,0.00019092-0.0016272i,-0.00085396-0.003943i,-0.00084483-0.0054552i,-0.00087117-0.0043528i,-0.00082481-0.0021459i,-0.00035468-0.00066899i,0.00037958+0.00017252i,0.00067417+0.0014319i,0.00049511+0.0015251i,0.00031738+0.00088414i,0.0012667+0.00010405i,0.0011216-0.00037007i,-3.5036e-05-0.00014215i,-0.00053139-0.00022173i,-0.00040144+0.00014407i,-0.00039869+0.00048424i
0.00052528+0.00038164i,0.0010127+0.00029735i,0.00073296+0.0016217i,0.0011122+0.00313i,0.00071668+0.0031836i,-0.00034559+0.0013822i,-0.0017403-4.9899e-05i,-0.0029176-2.8558e-06i,-0.0040487+0.00016736i,-0.0052064+6.3647e-05i,-0.0049796+0.00036946i,-0.0027803+0.00027141i,-0.00049559+0.00043858i,0.0014925+0.00097593i,0.0020623+0.0009001i,0.0019151+0.00048203i,0.0013557+0.00023836i,0.00054693+0.00070299i,0.00067135+0.00095795i,0.00085557+0.00062778i,0.00098675+4.5625e-05i,0.00047893-0.00013881i,0.00021499-0.00014214i
-0.00048506+0.0018595i,0.0010747+0.00098004i,0.0032192-0.0009573i,0.0041386-0.002494i,0.0030154-0.0015091i,0.001326+3.9423e-07i,-0.00064592+0.0010493i,-0.0026611+0.0030028i,-0.0033772+0.0052346i,-0.0027643+0.0058799i,-0.0012652+0.0045315i,-0.00011281+0.0024754i,0.00031212+0.0011181i,0.00044057-0.00053556i,0.00019423-0.0017275i,-6.5098e-05-0.0010706i,0.00015689-0.00027565i,-0.00012353-0.0001037i,-0.00052698-0.00067993i,-0.00032395-0.0010252i,0.00024526-5.9977e-06i,-0.00024162+0.00051636i,-0.001165-4.7032e-05i
0.0018798-0.00094353i,0.0021747-0.00074157i,0.0012019+0.00034783i,0.00012426+0.0010843i,-0.00053448+0.0012245i,-0.0010058+0.0012434i,-0.00069949+0.0022185i,0.00053047+0.0044911i,0.0025031+0.0055899i,0.0033275+0.0046135i,0.0027344+0.0027024i,0.0014818+0.0013821i,0.00039522+0.00035929i,-0.00024645-0.00051051i,-0.00039736-0.00082739i,-0.00067539-0.0011249i,-0.001288-8.7592e-05i,-0.00025185+0.00083683i,0.0001806+0.00065853i,-0.0003232+0.00033965i,-0.00066096+2.2727e-05i,-0.00042046+0.00026929i,-0.00011738+0.00072139i
-0.00059014-0.0018103i,-0.00079326-0.0030637i,-0.0011901-0.0036743i,-0.00071885-0.0026611i,-0.00036229-0.00061982i,-0.00025562+0.00041122i,0.00075763+0.00068538i,0.0026329+0.0015405i,0.0047589+0.00093146i,0.0062815-0.0016865i,0.0047871-0.0025602i,0.0026139-0.0011762i,0.0015886+6.0253e-05i,0.00039102+8.8782e-05i,-0.00042843+4.2793e-06i,-0.00075042-1.8836e-05i,-0.00045607-0.00030611i,-2.8566e-05+0.00040841i,2.5111e-05+0.00033139i,0.00057551-0.00035858i,0.0010479+8.9056e-05i,0.00091966+2.6809e-05i,0.00041108-0.00033824i
-0.00058606+0.0013732i,0.00064493+0.0012509i,0.0011201+0.0017406i,0.0016652+0.0030277i,0.0020317+0.0028914i,0.00085561+0.0023609i,4.4219e-05+0.0016688i,0.00041731-0.00084593i,0.0010991-0.0038175i,0.0003441-0.0051354i,-0.001044-0.0045113i,-0.00081138-0.0031235i,-0.00019069-0.0016689i,-0.00013036-0.00064091i,0.00044264+5.3647e-05i,0.00087441+0.00043846i,0.00018393+0.00048897i,1.5001e-05+0.00035389i,0.00081712-0.0001108i,0.00072599-0.00037525i,0.00031584-0.00083547i,0.00039965-0.0011599i,0.00045008-0.00074251i
-0.00024062-0.002701i,0.00010645-0.0035555i,-0.0013389-0.004572i,-0.0030584-0.003847i,-0.0028144-0.0012137i,-0.0011272+0.0015975i,-0.00098761+0.0018997i,-0.0016595-2.1126e-07i,-0.0029713-0.0024229i,-0.005024-0.0025062i,-0.0052227-0.00095299i,-0.0026141+5.1073e-05i,-0.00021184+0.00010251i,0.00098318+2.3162e-05i,0.0018602+0.00090258i,0.0018594+0.00097781i,0.0011951+0.00037663i,0.00037484+0.00022396i,-0.00042257-8.3384e-05i,-9.5571e-05-0.0004198i,-0.00023502+0.00014834i,-0.00081294+0.00037506i,-0.0005149+0.0003092i
-0.00049116-0.001178i,0.00052094-0.0013745i,0.00011256+0.00026458i,0.00019941+0.0018768i,0.00076628+0.0021135i,0.00042828+0.0012719i,-0.00089793+0.0010858i,-0.0028814+0.0022193i,-0.0048041+0.0037056i,-0.0057451+0.0047623i,-0.0041849+0.0047848i,-0.0016075+0.0036878i,-0.00025678+0.0015674i,0.0005379+9.1297e-05i,0.00070084-0.00031476i,0.0002105-0.00067679i,-0.00014825-0.0012567i,-0.00019973-0.0008602i,-0.00021123-0.0004588i,-0.00080855+4.8069e-05i,-0.0017013+0.00077807i,-0.0015331+0.00066741i,-0.00049099+0.00051951i
0.0018088-0.00036773i,0.00079511-0.00069254i,0.00083184-0.0012369i,0.0018478-0.0019968i,0.0011206-0.0017439i,-0.00017804-0.0012597i,-0.0014229-0.00011677i,-0.0018814+0.0034138i,6.4841e-05+0.0063032i,0.002824+0.0065755i,0.0039139+0.0049568i,0.0034814+0.0021035i,0.0026292+0.00060916i,0.0020305-1.9592e-05i,0.0015914+8.4673e-05i,0.00049799+0.00052545i,0.00030891+0.00054351i,0.00098929+0.00072195i,-2.964e-05+0.00043026i,-0.00055307+0.00021349i,-0.00014405+0.000618i,0.00048459+0.00061415i,0.00093853+0.00046151i
-0.0033805+0.00022433i,-0.0019177+0.0014207i,-0.0002971+0.001992i,0.0014929+0.002403i,0.0021678+0.0030237i,0.0011657+0.0024235i,2.7663e-05+0.0015045i,0.00094682+0.0017623i,0.0051585+0.001848i,0.0078835+0.0005102i,0.0053609-0.00048157i,0.002507-0.00040745i,0.00074383-0.00056741i,-0.00010278-0.0007979i,-0.00011346-0.0008605i,0.00019324-7.8237e-05i,-0.00014588+0.00089272i,-0.00063955+0.0012466i,7.8021e-05+0.0016595i,0.00044772+0.0012517i,0.00055165+0.0002967i,0.00089573+0.00028998i,0.00034376+5.8733e-05i
-0.00052031-0.00051523i,-8.6189e-05-0.00092605i,-0.00032502-0.0011927i,0.00021456-0.00033397i,0.00062878+0.0010536i,8.916e-05+0.0013961i,0.00012524+0.0014827i,0.0014849+0.00089878i,0.0027305-0.0022721i,0.0036059-0.0057778i,0.0021318-0.005841i,0.0004995-0.0033866i,0.0011555-0.00074987i,0.00076384+0.00080556i,-0.00028802+0.0010595i,0.00017694+0.00066446i,0.00083421+0.00076858i,0.00084592+0.0015827i,0.00048012+0.0011778i,0.00071927+0.00050077i,0.00076952+0.00026952i,0.00022694-0.00085259i,-0.0002487-0.0014608i
7.076e-06+0.00031437i,0.00071359+0.0012129i,0.0021389+0.001942i,0.002397+0.0013935i,0.0015511+0.00036717i,-0.00014405+0.00011298i,-0.0019507-0.0007764i,-0.0019393-0.0026124i,-0.0022015-0.0042616i,-0.0038726-0.0051402i,-0.0047625-0.0035082i,-0.0031191-0.00025429i,-0.0011297+0.00028913i,-0.00051747+1.6072e-05i,9.6653e-05+0.00044735i,0.00048577+3.1947e-05i,0.00063368+0.00019773i,0.00071918+0.000487i,0.00046769-0.00025691i,-0.00038154-0.00034066i,-0.00080133-0.00024305i,-4.9354e-05-0.00041463i,-2.1941e-05-0.00064987i
0.00051202+0.0007931i,0.0020878-0.00011721i,0.0037185-0.0015i,0.0036613-0.0014043i,0.0023546+0.00044055i,0.00091067+0.0012874i,-0.0007155+0.0013509i,-0.002513+0.0017754i,-0.0037894+0.0025869i,-0.0038411+0.0028532i,-0.0022518+0.002605i,-0.00088113+0.0016037i,-0.00030906+0.00078449i,-0.00011631+0.00035421i,0.00017737+2.4254e-05i,0.00013986-0.00049087i,-9.4529e-06-0.00065346i,-0.00018395+0.00042981i,-0.00086784+0.00072104i,-0.0010972+0.00044568i,-0.00038491+0.00011103i,-0.00014079+0.0003521i,-0.00048002+0.00078261i
-0.00060176-0.00089349i,-0.00086688-0.00094468i,-0.0011052-8.9444e-05i,-0.00011471+0.00021632i,0.0011944+0.001098i,0.00097645+0.0025115i,-0.0011288+0.0023321i,-0.0020632+0.0030743i,-0.00041226+0.0046657i,0.0015328+0.0052232i,0.0023038+0.004252i,0.0015989+0.0028806i,0.00032814+0.0023316i,-0.00028534+0.00091952i,-0.0010326-0.00055882i,-0.0012268-0.00069939i,-0.00047779-0.0005214i,-0.00016385-0.00013614i,-0.00025265+0.00033223i,-0.00068382+0.00072322i,-0.00042975+0.0011208i,0.00018636+0.00077078i,0.00044801-4.0906e-06i
-0.0012209-0.00055669i,-0.00019423-0.00094024i,0.00072985-0.0019851i,0.00048434-0.0014331i,0.00083326-0.00011216i,0.0014328-5.26e-05i,0.0010941+0.00087152i,0.0012468+0.0020843i,0.0032498+0.0020433i,0.0050437+0.0012494i,0.0042595+8.9936e-05i,0.0031132-0.00016936i,0.0026398+0.00018115i,0.0019034+0.00056942i,0.00094874+0.00053466i,0.00038719+0.0002332i,0.00042687+0.00078391i,0.00083809+0.001506i,0.00044033+0.0016863i,-8.3286e-06+0.0010264i,0.0003227+0.00052689i,0.00022949+0.00068402i,3.9921e-06+0.00041941i
-0.00020309+0.0013476i,4.4586e-05+0.00030754i,0.00024369-0.00047773i,0.0012207+0.00050448i,0.0010351+0.00052694i,0.00010478-0.00061185i,0.00024997+0.00027029i,0.0010749+0.0011158i,0.0025665-0.00056115i,0.0023787-0.0032757i,0.0010876-0.0039656i,0.00071896-0.0021237i,0.00092199-0.00027961i,0.0003023+5.407e-06i,-0.00029535-0.00046973i,-0.00023996-0.00044911i,3.0674e-05-0.00027557i,0.00039693-0.00021222i,0.00066285-0.0003864i,0.00042764-0.00014526i,-0.00048047-0.00042221i,-0.00073518-0.00092034i,-0.00057688-0.00041488i
0.0034035+0.0013524i,0.0045684+0.00078322i,0.0049826-0.00035867i,0.0038183-0.0011794i,0.0019829-0.00044744i,-0.00022797+0.00082073i,-0.0018133+0.0014561i,-0.0018694+0.0010492i,-0.0016713-0.0013271i,-0.0023846-0.0031794i,-0.002635-0.0024903i,-0.0016643-0.00017899i,-0.00034752+0.0010387i,0.00070659+0.0010709i,0.0013261+0.00054839i,0.00086609-0.00028417i,-0.00022942-0.00075252i,-0.00073458-0.00066822i,-0.00033703-0.00079678i,0.00033342-0.00049527i,0.00037565-0.00036961i,0.00031962-0.0004485i,5.7387e-06-0.00025637i
0.00012709-0.0039468i,0.00092277-0.0038735i,-1.495e-05-0.0029357i,-0.0008863-0.00036663i,-0.001598+0.0024765i,-0.0015183+0.0036371i,-0.0015813+0.0029656i,-0.0026825+0.0025508i,-0.0032527+0.0027961i,-0.003125+0.0025146i,-0.0027505+0.0025022i,-0.0017411+0.0015976i,-0.00051023+0.00054397i,0.00050781+0.00040821i,0.00025298+4.4024e-05i,-0.00037447-0.00023857i,-0.00062498-0.00013819i,-0.00044231-0.00032058i,-0.00016444+0.00019968i,-0.00042963+0.00091374i,-0.00065859+0.00051499i,-0.0009264+0.00043621i,-0.00099694+0.00055766i
0.0015157+0.0031047i,0.0030881+0.0034561i,0.0036224+0.00068064i,0.0038536-0.0031279i,0.0024703-0.0039904i,1.6308e-05-0.0020117i,-0.00091598+0.00055605i,-0.00098911+0.001993i,4.7027e-05+0.0025749i,0.0020509+0.0026057i,0.0019197+0.0026444i,0.00098928+0.0021644i,0.00093487+0.0012312i,0.00018911+0.00023567i,-0.0012081+9.7768e-05i,-0.0010797+0.00095296i,0.00018888+0.0011383i,-0.00048068+0.00032413i,-0.0015831-0.00013123i,-0.001113-0.0003442i,-0.00044216-0.00095594i,-0.00015403-0.00045525i,-0.00025801+0.00049577i
0.00070723+0.00069679i,0.0013515-9.6871e-05i,0.0019381-0.0012858i,0.0019425-0.0012801i,0.0018846+8.1698e-05i,-4.8913e-05+0.00044097i,-0.0021825+0.00072306i,-0.0014456+0.0016005i,0.0013694+0.0014339i,0.003078+0.00090179i,0.0020895+0.00084772i,0.0011806+0.00074574i,0.00096051+0.00060092i,-0.00037091-8.9559e-05i,-0.00066576+0.00059319i,0.00037012+0.0015324i,0.001014+0.000892i,0.0010473+0.00049765i,0.0012896+0.00038698i,0.00090628-0.00032417i,-0.0004005-0.00042869i,-0.00062608-0.00052169i,-8.1911e-05-0.00054023i
0.00096088-0.00084777i,0.0015817-0.00035015i,0.0012976-0.00065859i,-0.00019499-0.00052587i,-0.0015906+0.0009882i,-0.00045071+0.0021465i,0.0014319+0.0018607i,0.0011149+0.00016917i,0.00068605-0.001702i,0.00072362-0.0028143i,0.00040813-0.0027556i,0.00032851-0.0016782i,0.00044948-0.0013189i,0.00062581-0.0010368i,0.0011878-0.00030764i,0.0011854+3.5165e-06i,0.00060536+0.00066339i,0.00052757+0.0010767i,0.00015937+0.00065252i,-0.00086808+0.00084961i,-0.00039834+0.0010968i,-6.3921e-05-0.00012368i,-0.00034138-0.00168i
0.0014649+0.00019892i,0.00085566-0.00032822i,0.00041435-0.0017636i,0.0012136-0.002088i,0.0024039-0.0010897i,0.00097663+0.00088898i,-0.00050185+0.0022629i,-0.00026195+0.0023431i,-0.00027964+0.00090632i,-0.0016051-0.00072947i,-0.0018406-0.0012313i,-0.00049635-0.001561i,-0.0005128-0.00089717i,-0.00023817+0.00029432i,0.00069751+0.0010146i,0.00064646-3.8915e-06i,0.00018446-0.00087696i,2.0721e-05-0.00064969i,-0.00028187-0.00049631i,-0.00020354-0.00034824i,0.00018941+0.00019259i,0.00026685-0.00040338i,0.00020629-0.00085747i
0.0023198+0.0005015i,0.0042626+0.00046514i,0.0063711-8.4379e-05i,0.0065383+2.7105e-05i,0.0029069+0.00094171i,-0.00053157+0.0017006i,-0.0016774+0.0011667i,-0.0025011+0.00080404i,-0.0033313+0.00075008i,-0.0033004+0.00055032i,-0.0026048+0.00074528i,-0.0017831+0.0011703i,-0.0014043+0.00041993i,-0.0008973-0.00026358i,-0.00076156-0.0011181i,-0.00087647-0.0014811i,-0.0010465-0.0011802i,-0.00091597-0.0010368i,-0.00039455-0.00071967i,-0.00093396-0.0007094i,-0.0016171-0.0010795i,-0.00048147-0.00065743i,0.00024534+0.0004249i
0.0020419-0.0040104i,0.0012036-0.0045454i,-0.00076343-0.0054216i,-0.0036492-0.0043308i,-0.0046274-0.0016648i,-0.0032691+0.0003508i,-0.0024502+0.0010208i,-0.0029653+0.0012519i,-0.0023225+0.0026664i,-0.0002691+0.0032262i,0.00070675+0.0026703i,4.6847e-05+0.0034121i,-0.0001675+0.003717i,1.0347e-05+0.0021821i,-0.0011702+0.00079422i,-0.0022018+0.00096936i,-0.002595+0.0017744i,-0.002621+0.0013129i,-0.0019815-3.3669e-05i,-0.0013888+0.00029319i,-0.00090199+0.00093524i,-0.00054439+0.00097585i,-0.00025532+0.00099578i
-0.0012+0.0027255i,0.0016228+0.0034932i,0.0038512+0.0039331i,0.0054964+0.0018365i,0.0048727+0.0012448i,0.0024454+0.0017102i,0.00035131+0.0016235i,-0.00053742+0.0021201i,0.0013589+0.0025028i,0.0033461+0.00087374i,0.0029203+0.00017287i,0.0015493+0.00085538i,0.00086349+0.0011891i,-0.00027756+0.0010591i,-0.00054401+0.00072969i,0.00043766+0.0014779i,0.00075602+0.0018054i,0.00066099+0.0015643i,0.00061223+0.0013791i,0.00036062+0.00063992i,-0.00034442+0.00050453i,-0.00032463+0.00071352i,0.00025293+0.0002108i
-0.00024665-0.0011257i,-0.0008743-0.0010179i,-0.0022518-0.00069645i,-0.0027564+0.00035609i,-0.00089802+0.0016573i,-6.2279e-05+0.0017654i,-0.00079611+0.0026572i,-0.00085292+0.0031329i,0.0011829+0.0010048i,0.0021964-0.0016695i,0.0013577-0.0019959i,0.0016852-9.1047e-05i,0.0023031+0.00082811i,0.0021926+0.0013086i,0.0014933+0.0012854i,0.0014171+0.0007974i,0.0013005+0.0001463i,0.00059762-0.00027072i,0.00088918-8.0194e-05i,0.00086372+0.00043408i,0.00024672+0.00032942i,-4.8104e-05-0.0001468i,-0.00026744-0.00095677i
0.00033945+0.0013725i,0.0022315+0.0017952i,0.0045239+0.0017643i,0.0049279+0.0011237i,0.0025756+0.00035742i,0.00025575+0.0011687i,0.00044349+0.0017017i,0.00067299+0.0012933i,-0.00017797-0.0002305i,-0.0015754-0.0019587i,-0.001905-0.0017544i,-0.00025444-0.00098764i,0.00018425-0.0012929i,0.00010256-0.0013165i,0.00073727-0.00091293i,0.0017586-0.0013939i,0.0024799-0.0015544i,0.0021446-0.00087185i,0.0019293-0.00085627i,0.0014362-0.00092518i,0.0015281-0.0010994i,0.001209-0.001077i,0.00034536-0.00045258i
-0.0014573-0.0013579i,-0.0024612-0.0035339i,-0.0018946-0.0038139i,-0.0015965-0.0017855i,-0.00027917+0.00051673i,0.00027503+0.0017789i,-0.00034319+0.0013279i,-0.00029167+0.00012775i,-0.001465-7.2883e-05i,-0.0029275+0.00089231i,-0.0021987+0.0013812i,-0.0010708+0.00051138i,-0.00096658-0.000418i,-4.0606e-05-5.1759e-05i,0.00068232-3.746e-05i,-0.00050887-0.00029337i,-0.0015523-0.00035171i,-0.0014162-0.00068991i,-0.0013881-0.00072255i,-0.0011876-0.00066496i,-0.00036246-0.0014881i,0.00018399-0.0016987i,0.00047107-0.0006933i
0.0011613+0.0038648i,0.0015312+0.0033404i,0.0042355+0.0021793i,0.00455-5.7473e-06i,0.0021477-0.0011337i,0.00012225-0.00094924i,-0.0013359-0.0014032i,-0.0021718-0.00086508i,-0.00059772+0.0015666i,0.0011898+0.003253i,0.00082729+0.0024282i,-0.00046852+0.00078763i,-0.0016397-9.1017e-05i,-0.0020553-0.00037352i,-0.0022753-0.00085222i,-0.0021296-0.00039495i,-0.0020594+0.0012841i,-0.0014194+0.0018105i,-0.0012049+0.0010812i,-0.0018048+0.00022279i,-0.0020148-0.000194i,-0.0019403-0.00041983i,-0.00096889-0.00057463i
