0.001443-0.00024342i,0.001269-0.00094309i,-9.8215e-05-0.0018853i,-0.0019417-0.001364i,-0.0038242+0.00017504i,-0.0038403+0.0024705i,-0.0014447+0.0039073i,0.00082618+0.0035573i,0.0015629+0.0019129i,0.0012518+0.0007533i,0.00039822-7.6034e-05i,-0.00035265-0.0011377i,-0.0014786-0.0005243i,-0.0014854+0.00055961i,-0.00063006+0.00015002i,0.00017075-0.00030565i,0.00050466-0.00060324i,0.00036138-0.00061915i,0.00023112-0.00055043i,-0.00030225-0.00027462i,-0.00023474-6.3109e-05i,4.8097e-05+0.00033593i,-7.0064e-05+6.7139e-05i
-0.00041827-0.0013148i,-0.0016186-0.0011972i,-0.0010635-0.0016394i,-0.0005907-0.00035138i,-0.0016296+0.0015269i,-0.0018414+0.0023293i,-0.00055811+0.002511i,0.00088657+0.0017401i,0.0016878+0.00091251i,0.0012814+0.00091377i,-6.985e-05+0.0004852i,-0.0011913+0.00029054i,-0.00117+0.00044059i,-0.0012903+0.00032254i,-0.00099515-4.3169e-05i,-0.00029146+0.00024339i,-4.5008e-06+0.00030561i,-0.00014688+5.8835e-05i,-3.2599e-05-5.6209e-05i,-0.00014582+0.00041802i,-0.00042172+0.00063775i,-0.00052782+2.8782e-05i,-0.00037045-0.00066645i
0.00084184-0.00090542i,0.0013927-0.0016778i,-0.00011486-0.0020216i,-0.00065941-0.0010446i,-0.00084032+0.00042133i,-0.00065125+0.0016478i,0.00023842+0.0020823i,0.00099239+0.0022246i,0.0012415+0.001161i,0.00058457+0.00037086i,0.00017735+0.00060131i,0.00047256-0.00044792i,2.5927e-05-0.0014717i,-6.1118e-05-0.00135i,0.00028297-0.00025096i,-0.00026962+0.00077657i,-0.00066906+0.00067681i,-0.00029761+9.8677e-05i,-1.9488e-05-0.0003006i,-0.00017745-0.000326i,-0.0002506-0.00047649i,-0.00017973-0.00051554i,0.00019134-0.00068525i
-0.00058594+0.00039072i,-0.0011-0.00031537i,-0.00087049+1.094e-05i,-0.00090449+0.00083517i,-0.0023494+0.001431i,-0.0026102+0.0022763i,-0.00056248+0.0020985i,0.00050799+0.0013508i,0.00052944+0.0012167i,0.00052399+0.00068658i,0.00070134-8.629e-05i,0.00081127+6.1299e-05i,0.000309-8.7761e-05i,-0.00011437-0.00021338i,-0.00012552+0.00028088i,-1.1448e-05-3.0364e-06i,0.00025675-5.2549e-05i,0.00060105-0.00036126i,0.00039407-0.00093864i,-6.1332e-05+5.142e-05i,-0.00034211+0.00048131i,-0.0010025+2.5909e-05i,-0.00092553-5.5304e-05i
0.00070871+0.00013111i,0.00085411+0.00097203i,0.00065233+0.0012637i,-0.00040089+0.00017716i,-0.0010174+3.6341e-05i,-0.00036968+0.0013072i,-1.0926e-05+0.0019849i,-4.4828e-06+0.0018381i,0.00052207+0.0013922i,0.0009144+0.0014902i,0.00014664+0.0016053i,-0.00042349+0.0010151i,-0.00046414+0.00026406i,-0.0010525-0.00045121i,-0.0012654-0.0011303i,-0.00080137-0.001239i,6.8762e-05-0.00070919i,0.00088705-0.00065153i,0.00090305-0.00026177i,0.00037334-9.5203e-05i,-0.0002746+0.00035864i,0.00011926+0.0011047i,0.00027075+0.0011063i
-0.00066273-0.0019378i,-0.00074115-0.002063i,-2.5988e-05-0.00094039i,-0.00010798+0.00033437i,-0.0006351+0.001951i,-0.0015025+0.0030654i,-0.00090414+0.0024757i,0.00046793+0.001993i,0.0013456+0.0013831i,0.0013976+0.00043793i,-0.00034891-0.00066904i,-0.0013043-0.0012926i,-0.00018804-0.0010152i,0.0011081+0.0003946i,0.00058177+0.00053933i,0.00014904-0.00063016i,0.00027001-0.00057727i,-0.00023199-0.00046748i,-0.00066511+9.3294e-05i,-0.00076768+0.00062799i,-8.935e-05+0.00050906i,7.5062e-05+0.00018562i,2.3857e-05+0.000191i
0.00032497-0.0014419i,0.00014539-0.0019558i,-0.0003011-0.0022099i,-0.00077028-0.00113i,-0.0021952+0.00029002i,-0.0028095+0.0016248i,-0.0014168+0.0021311i,0.00050584+0.0017609i,0.00096172+0.00078206i,0.00078597+3.3687e-06i,0.00045909+0.00010576i,0.00014154+0.00041024i,-0.00044128+0.00031659i,-0.00060677-0.0003989i,-0.00025289-0.00010936i,-0.0002511+0.00056194i,9.0488e-05+0.00035738i,4.0654e-05+0.00056078i,-0.00063597+0.00035664i,-0.0008921+0.00022858i,-0.00054477+0.00093213i,-6.3076e-05+0.00096824i,4.1842e-05+0.00072073i
0.00071434-0.001443i,0.0012448-0.00080797i,0.00048935-0.00022065i,-0.00076425-0.00012683i,-0.0016905-0.00049094i,-0.0016103+1.6205e-05i,-0.00064114+0.0014242i,0.00083893+0.001357i,0.001431+0.00042676i,0.0013299-0.00023175i,0.00060507-0.0005347i,0.00028693-0.00044148i,-2.5324e-06-0.00018537i,-0.00055245-3.8678e-05i,-6.0054e-05+0.00017135i,0.00064408+0.00059657i,0.00052505+0.00064483i,0.00015211+8.8305e-05i,-0.00040464-0.00013427i,-0.0014912+0.0003879i,-0.0017605+0.00072993i,-0.00073763+0.00032599i,-4.0305e-05-5.3277e-05i
0.00045248-0.001905i,0.00033497-0.0018026i,-0.00074008-0.0021319i,-0.0027549-0.0012293i,-0.0033333+0.00044487i,-0.002104+0.0012035i,-0.0014552+0.0013898i,-0.00090128+0.0011979i,0.0010548+0.000628i,0.0022219+0.0001819i,0.0015178+0.0001246i,0.00042586+0.00052556i,-0.0001127-0.00040182i,-0.00018275-0.0010028i,0.00021397-0.00017664i,-2.7688e-05+0.00024843i,-0.00023217+9.044e-05i,0.00020468+0.00028541i,0.00026511+0.00051132i,-0.00051311+0.00022916i,-0.0014301-0.00016843i,-0.00081162-0.00014611i,-0.00049111+0.00025326i
-0.00039808+5.8648e-05i,-0.00044042+0.00032257i,0.00046498+0.00012334i,-0.00015693+4.8231e-05i,-0.0015576+0.00092188i,-0.0016814+0.0013299i,-0.00085639+0.00082731i,0.00037152+0.00093898i,0.00035345+0.0016406i,0.00052221+0.00080198i,0.00050904-8.1573e-05i,0.00018271+0.00035327i,0.00028119+0.00019438i,6.9986e-05+1.9699e-05i,1.7336e-05+0.00030616i,0.00014997+0.00021269i,-0.00053753-0.00043497i,-0.00055467-0.00010181i,-0.00051632+0.00040157i,-0.00095171+0.00029457i,-0.00078872+0.00016007i,-0.0008221+0.00030271i,-0.00094767+0.0002217i
0.00069041-0.00076587i,-0.00026618-0.00073355i,-0.00020336-0.00037077i,-0.00046299-0.00030994i,-0.00067504+0.00072251i,-0.00058063+0.0021184i,-8.5955e-05+0.0021144i,0.00087853+0.0015522i,0.00085009+0.0011194i,3.4681e-05+0.00038479i,-0.00025027-0.00025351i,-7.8354e-05+0.00019092i,0.00023007+0.00045713i,0.00020442-0.00031007i,0.00057595+2.8037e-05i,0.00033824+0.0003666i,0.00028107-0.00014636i,0.00049576+2.9206e-05i,0.00026091+0.00017742i,0.00040223+2.3283e-05i,0.00031122+0.0006819i,-0.00039027+0.0011046i,-0.00086868-0.00024144i
