-0.0030018+0.0017158i,-0.0028261+0.0017079i,-0.0040498+0.0018752i,-0.0033829+0.0019119i,-0.0020492+0.0026734i,-0.00043058+0.0037065i,-0.00010369+0.0034219i,-0.00066524+0.0029617i,0.00017038+0.0027312i,0.00094594+0.0016232i,0.0012813-0.0001617i,0.00095263-0.0011044i,0.00054662-0.00080318i,7.0661e-05-5.2086e-05i,-0.00064203-2.7938e-05i,-0.0006349+0.00025395i,-0.00033389+0.00017452i,0.00012976-0.00031523i,0.00059132-0.00020189i,0.00038593-0.00025949i,0.00056554-0.00051449i,0.00061555-0.00052659i,-0.00014517+0.00043536i
-0.00093603+0.0020452i,-0.00058066+0.0014998i,-0.00093837+0.00034942i,-0.00063438-0.0002892i,0.0010674+5.5389e-05i,0.0019456+0.00052253i,0.0013845+0.00019603i,0.0003658-0.00028162i,8.1258e-05-0.00040395i,0.00017892-0.00028494i,-0.00011739-0.00019943i,-0.00071719-0.00012326i,-0.00047461-0.00014874i,-1.0596e-05-0.00071065i,-0.00015009-0.00041089i,-4.2941e-05-5.5133e-05i,0.00042405-0.00011119i,0.00087728-7.4311e-05i,0.00065728-0.00082292i,0.00059578-0.001172i,0.00031069-0.00049128i,-4.6705e-05-0.00066865i,-0.00025275-0.0007584i
-0.0010204+0.00047145i,-0.00049038+0.0014798i,-0.00016895+0.0015855i,-0.00030548+0.0014525i,0.00048909+0.002139i,0.0010094+0.0016446i,0.00071099+0.00032851i,0.00011627-0.00019318i,-0.00014138-0.0006465i,-7.0132e-05-0.0005742i,-0.00036219-0.0008694i,0.00039316-0.00097019i,0.0010063-0.00029749i,0.00050401-0.00016234i,-0.00034006-0.0011571i,-0.00039464-0.0011912i,-2.6803e-05-0.00021383i,-0.00041414-7.384e-05i,-0.0010851-0.00042162i,-0.00082358+0.00034774i,-0.00040525+0.00056461i,-0.00097935-0.00060199i,-0.00079983-0.0011217i
-0.0002017+0.0022113i,0.00027879+0.0015151i,0.00059447+0.00036621i,0.00027423-0.00025607i,-0.00053809-0.00030467i,-0.0012127-0.00030418i,-0.00086559+0.00040661i,-0.0003449+0.00067174i,-0.00041957+0.00035678i,-0.00012809+0.00045831i,6.6575e-05+0.00025079i,0.00047888+0.0002647i,0.00092173+0.00072958i,0.00014899+0.00044012i,-0.00031654+5.8175e-05i,-0.00037699+0.00065246i,-0.00028147+0.00058035i,6.8718e-05-0.00035326i,-0.00015999-0.00044904i,-0.00062597-0.00063808i,-0.00076443-0.00085335i,-0.00040612-0.00045885i,-0.00038224-0.00068921i
0.00035585-0.0021309i,-0.00098491-0.0017801i,-0.0018297-0.0019178i,-0.001773-0.0017435i,-0.0016451-0.00086078i,-0.0011016-0.00030308i,-0.00037525-0.00042651i,0.00045843-0.00048616i,0.00051381-0.00058969i,0.00011229-0.00022242i,-0.00047634+0.00023083i,-0.00041253+0.00033843i,0.00097901+0.00035198i,0.0013855-2.9306e-05i,0.00074718-5.8651e-05i,-0.00015526+0.00082166i,-0.00030938+0.00068155i,-0.00014017+0.0004636i,-0.00055457+0.00050074i,-0.00086648-0.00026196i,-0.00097328-0.0005823i,-0.00042807-0.00027334i,0.0001707+0.00020587i
0.00088106+0.0011859i,0.00081737+0.0015944i,0.00024251+0.0016579i,-0.0003713+0.0017649i,-9.2344e-05+0.0017124i,-0.0001867+0.0016827i,-0.00030839+0.00092385i,0.00016224-0.00017175i,0.00060249+2.4555e-05i,0.00053815+0.00063306i,-0.00024864+0.00074898i,-0.00077843+0.0011166i,-0.00032878+0.0010745i,-0.00012045+0.00083183i,-0.00019737+0.00043606i,0.00055947+0.00044833i,0.00058011-0.00030862i,-8.1619e-05-0.00074481i,-5.2484e-05-0.00063591i,0.00042199-0.00055115i,0.00036494-0.00019073i,-0.00015132-0.00039585i,-0.00029054-0.00012315i
0.00034812+0.00026307i,0.00057899-0.00032293i,0.00039107-0.00082451i,-0.00059569-0.00017791i,-0.00098791+0.0010192i,-0.0010621+0.00073675i,-0.00091848+0.00022723i,-0.00037266+0.00073379i,0.00038147+0.0011091i,0.00036278+0.0010533i,-1.7841e-05+0.00047943i,0.00045276+6.0334e-05i,0.00075052+2.52e-05i,0.000721-3.7279e-05i,0.00092953-0.000413i,0.00070331-0.00053101i,0.00069155-0.00057586i,0.00095281-0.0010284i,0.00040007-0.00096174i,-0.00049437-0.00050188i,-0.00061852-0.0006885i,-0.0001768-0.00035361i,-0.00034514+0.00052183i
0.00012713+0.0011904i,0.0012122+0.0011475i,0.0018087+0.0023172i,0.00044751+0.0024879i,-0.00045373+0.0012358i,-0.00055655+0.0007157i,-0.00035586+0.00081739i,0.00012302+0.00061673i,0.00028194+0.00089188i,0.00036882+0.0010857i,0.00085386+0.00072585i,0.0013385+0.00070019i,0.0010971+0.00062301i,0.00049559+2.8336e-06i,0.00014566-0.00046623i,0.00011052-0.0002516i,0.00013914+0.00020218i,8.1844e-05+0.00026252i,-7.6857e-05-0.0001986i,-3.6884e-05-0.00052771i,-0.00064273-0.00050938i,-1.741e-05-0.0006213i,0.0006047-0.00033528i
-0.001146+0.00023642i,-0.00073724-0.00056635i,-0.0011921-0.00099381i,-0.0016624-0.0008273i,-0.0012613+0.00023665i,-0.00055215+0.0013668i,-0.00040631+0.000926i,-0.00077419-0.00025019i,-0.00059311-0.00070931i,-0.00072374-0.0006589i,-0.00085409-0.00088357i,-0.00033062-0.00073647i,5.0261e-05+6.9862e-07i,0.00022173-0.00016423i,0.00058898-0.00020464i,0.0008811+0.00022626i,0.00068703+0.000174i,0.00053147-0.00011473i,0.00014376+8.1656e-06i,-0.00015087-0.00027911i,0.00010991-0.00060968i,-0.00023105-1.3827e-05i,-8.0444e-05-8.2243e-05i
0.0010931-0.0014684i,0.00041358-0.00050263i,-0.00021291-0.00049256i,-0.0006902+0.00032451i,-0.0016878+0.0014092i,-0.0013327+0.0025097i,-0.00049147+0.0016239i,-0.00035904-0.00039193i,0.00072483-0.0011001i,0.0014709-0.00072904i,0.0010365+0.00039558i,0.00064034+0.0016095i,0.00068766+0.0015178i,0.00089882+0.00071055i,0.00079921-0.0005407i,0.00055598-0.0011811i,-9.8796e-05-0.00052791i,-0.00073785+8.5279e-05i,-0.00031934+0.0001495i,0.00015694-0.00029033i,0.00085712-0.00094375i,0.00088576-0.00032755i,0.00040136+0.00027996i
-0.00013591-0.00014254i,-0.00057999-0.0011267i,-0.0016016-0.00036837i,-0.0025625+0.00098494i,-0.0017352+0.0010127i,-0.00054819+0.00094976i,-0.0003075+0.00075035i,-0.00041299+0.00042108i,8.7779e-05+0.0003981i,0.0011816+0.00013042i,0.0016723+0.00017903i,0.0010064+0.00049543i,0.0001188+1.1444e-05i,-0.00015171-0.00035077i,-0.00024388+0.00044113i,-0.00022881+0.0010881i,4.7995e-05+0.00095084i,-0.00066477+0.00047476i,-0.0014283+0.00069318i,-0.0011564+0.00088038i,-0.00095147+0.0002636i,-0.00016187-0.00049387i,0.00066775-0.00040628i
