-0.001315+0.0025166i,-0.0011852+0.0011107i,-0.0014752+0.00075969i,-0.0019782+0.0004961i,-0.0021642+0.00093854i,-0.0023216+0.0016182i,-0.0023175+0.0020334i,-0.0012353+0.0013639i,0.00051695-0.00021062i,0.0010091-0.0010923i,0.00061592-0.0009411i,0.00043257-0.00020271i,0.00040209-0.00021862i,0.00025277-0.00070831i,-6.6728e-05-8.7055e-05i,-0.00028375+0.00067135i,-0.00024732+4.2698e-05i,-1.4733e-05-0.00017191i,0.00020727+0.00026152i,0.00011726+0.0004857i,5.166e-05-0.00035575i,-0.00032136-0.0012015i,-0.0006206-0.00072738i
0.00025603+0.00080089i,-0.00067424+0.0010838i,-0.0012162+0.00075996i,-0.0014493+0.00024939i,-0.0015199+0.00044158i,-0.0019846+0.0010373i,-0.0022619+0.0010419i,-0.0015892+0.0007105i,-0.00085185+0.00035654i,0.00024727+0.00025761i,0.00045142+0.00031737i,-8.9063e-05+0.00045836i,-0.00035145-0.00014016i,-0.00028395-0.00026484i,-0.00031066-0.00035634i,-0.0003694-0.00056972i,-0.00012854-0.00029582i,0.00042143-0.00060982i,0.00091661-0.00072954i,0.00077496-0.00054562i,-7.7589e-09-0.00018608i,-0.00012559+0.00040381i,0.00054834+0.00065053i
0.00044642-0.00058042i,0.00033746-0.0015124i,0.00045818-0.0017195i,-0.00025285-0.0011711i,-0.00048067-0.00020783i,-0.00029488+0.00055739i,-0.00060729+0.00033671i,-0.00022895+3.3338e-05i,0.00062315+0.00011669i,0.00089943+0.000108i,0.0010102+6.5459e-06i,0.00035993-0.00022143i,-0.00011317-0.00013348i,-0.00025174+0.00024628i,-0.00080639+0.000392i,-0.0013793+0.00019096i,-0.00039106+8.5945e-05i,0.00034241+0.00022133i,-0.00041176-0.00012059i,-0.00041413-0.00053044i,-0.00063185-0.00010991i,-0.00085287+8.3186e-05i,-0.0004966+1.1539e-06i
0.0011867-0.00040144i,0.00022053+5.1389e-06i,-2.1075e-05-0.00065341i,-0.00069934-0.00066028i,-0.0020986-0.00038626i,-0.0020552-0.00092837i,-0.00077732-0.00049493i,-0.00016352+0.00038581i,4.6313e-05+0.00049812i,0.00039268+0.00068986i,0.00053248+0.0010588i,2.7393e-05+0.00066562i,-0.00073601+0.00064137i,-0.0012166+0.00096737i,-0.00099018+0.00067696i,-0.00078727+9.5065e-05i,-0.00092377+7.6068e-05i,-0.0009431-0.00052823i,-0.0004569-0.001394i,-0.00013817-0.00061103i,-1.1782e-05+0.00016457i,-0.00024019+0.00017134i,-0.00065879-6.7653e-05i
-0.0013043+0.00043073i,-0.00097235-6.6985e-05i,0.0006475-0.00057869i,0.00015813-0.00036781i,-0.00079808-0.00024915i,-0.0010044+0.00021105i,-0.0011765+0.00083173i,-0.00069598+0.0010477i,-0.00013969+0.00089311i,8.0108e-05+0.00033404i,0.0011983-0.00061327i,0.0016811-0.0014441i,0.00097911-0.00097783i,0.00084958-0.00052753i,0.0004654+0.00027488i,0.0002465+0.0009786i,0.00012525+0.00090643i,0.00044939+0.00012328i,0.00058062-0.00063917i,0.00041643-0.00023708i,-0.00018167+0.0002444i,-0.00027605+0.00020949i,0.00056592+0.00034777i
0.00036002-0.00059165i,-0.00016065-0.0014644i,-0.00043702-0.00096006i,-0.00096076+0.00024247i,-0.001436+0.00044984i,-0.00067168+0.00073991i,3.5489e-05+0.0011699i,0.00034173+0.0013873i,0.00043846+0.00052568i,-0.00028885-0.0003241i,-0.00032678-0.00027278i,-0.00041079-0.0011058i,-0.00063566-0.00065409i,-0.00019324+0.00092758i,0.00017276+0.0010549i,0.00031838+6.2042e-05i,0.0003962-0.00039641i,0.00064617-0.00046145i,0.00055924-0.00015035i,0.00029869+0.00038689i,-3.8854e-05+0.00082734i,-0.00053569+0.0013305i,-0.00050618+0.0013857i
-0.00028764+0.00090462i,5.9836e-05+0.00079654i,0.00099598+0.00055382i,0.00070307+0.00076667i,0.00018794+0.0003313i,-0.00036409+0.00029073i,-0.0016739+0.0009494i,-0.00099728+0.0012477i,0.00062602+0.00074414i,0.00045874+0.00059262i,-0.00059281+0.00086823i,-0.00044755+0.00031198i,0.00014034-0.000327i,-0.00024383-0.00070948i,-0.00052324-0.00082653i,-0.00022646-0.00089196i,-0.00040397-0.00036565i,-0.00024586-0.00032873i,4.9194e-05+0.00036509i,-0.00023737+0.00066475i,-0.00058132+0.00024209i,-0.00078378+0.0002531i,-0.00030229+8.8242e-05i
0.00064561-0.00026603i,0.00010383-0.00094614i,-0.00094281-0.001777i,-0.0018164-0.0015366i,-0.0022157-0.0004559i,-0.0020503+0.00031192i,-0.0011532+0.00028018i,-6.0853e-05-0.00025607i,-0.00017299-0.00041933i,-0.00026757+0.00025099i,0.00027086+6.5853e-05i,-8.4925e-05-0.0002388i,-0.00031256-0.00041385i,-0.00041331-0.00050999i,7.0399e-05-2.9043e-05i,0.00069628+0.00070177i,0.0011576+0.00078791i,0.0014677+0.00032614i,0.001022-0.00012993i,0.00041576-0.00097335i,-2.0004e-05-0.0015219i,-0.00070245-0.00093555i,-0.00041565+7.1734e-05i
0.00050589+0.00056968i,0.0012696+4.9002e-05i,0.0017218-0.00044765i,0.0015533-6.8996e-05i,0.0010114+0.00026572i,-0.00041685+0.00011176i,-0.0012022-0.00044818i,-0.00072283-0.0010983i,-0.00027093-0.00097754i,1.6634e-05-0.00082383i,-2.0864e-05-0.0010887i,-8.9657e-05-0.0013274i,-0.00035806-0.00098789i,-0.0012513-0.0012752i,-0.0012239-0.00085135i,-0.00037149+0.00057743i,9.5946e-05+0.0005805i,-0.00077333+0.00039852i,-0.00079741+0.00071266i,0.00057113+0.00019034i,0.0004728+0.0001622i,0.00017502-7.6896e-05i,-0.0002048-0.00040558i
-0.00086799+0.00093701i,-0.0016474+0.0018564i,-0.0022255+0.0021157i,-0.0012848+0.0018218i,-0.00083594+0.0011638i,-0.0018174-0.00014797i,-0.0026149+0.00021387i,-0.001865+0.0010069i,-0.00071419+0.0010952i,-0.00012053+0.00091506i,-1.9184e-05+0.00064442i,-0.00012332-8.3484e-05i,-0.00015726+0.0001199i,6.2507e-05+0.00031307i,0.00065937-0.00024404i,0.0008921-0.00010988i,0.00022862+3.7096e-05i,0.00018375+0.00036566i,0.00048452+0.00033268i,0.00015244+0.00015826i,-0.00011982+0.00027771i,0.00025015+0.00042196i,0.0008288+0.00087904i
0.00011717+0.00026251i,0.0004731+5.7384e-05i,0.00088505-6.1332e-05i,0.00014132-3.6694e-06i,-0.00054963-0.00044853i,-0.0011964+6.9713e-05i,-0.0017541-0.00013812i,-0.0011854-0.00024118i,-0.00065083+0.00021989i,-0.0010127+3.4962e-05i,-0.00051-0.00036273i,-0.00040832-0.00068134i,-0.0010141-0.00086878i,-0.00041816-0.00034328i,-0.00025156+0.00044347i,-0.00037722+0.00062799i,-0.00067408+0.00099191i,-0.00078131+0.000899i,0.00042033+9.9176e-05i,0.00078372+0.0001863i,0.00027172+0.00072946i,0.00046201+0.00091083i,-7.8077e-05+0.00078206i
0.0022815+0.0013645i,0.0027998+0.0015816i,0.0022884+0.0016665i,0.0009567+0.0010821i,-0.00041729-0.0001059i,-0.0016771-0.00025427i,-0.0020286+0.00061876i,-0.0016941+0.001253i,-0.00097624+0.00044798i,-0.00074391+5.8539e-05i,0.00035265+0.00028182i,0.0013023+0.00033103i,0.00044403+0.00058836i,-0.00084905+0.00064976i,-0.0011079+0.0004869i,-0.00054734+0.00044465i,-0.00019003+0.00044115i,4.1173e-05+0.00067794i,9.6849e-05+0.00087646i,-0.00015578+1.6476e-05i,-0.00036794-0.00063192i,-3.7445e-05+0.00019594i,-4.0964e-05+0.00072404i
0.0012927+0.00058811i,0.00061774-0.00088447i,-0.00058258-0.001475i,-0.00094098-0.0015542i,-0.00048437-0.001317i,-0.00096043-0.00041468i,-0.0013835-5.9864e-05i,-0.0007563+0.00068841i,-0.00025719+0.00067716i,-0.00068554+0.00028599i,-0.00079242+5.8837e-05i,-0.0001505-6.1633e-05i,8.1245e-05+0.00018733i,-2.6544e-05+0.00082818i,-0.00050697+0.0010336i,-0.0011984+0.00023664i,-0.00044006-0.00016418i,0.00053845+8.1503e-06i,0.00072968+0.00015683i,0.001073+0.0002885i,0.00066554+0.00064787i,9.0987e-05+0.0012789i,-0.00010133+0.00092169i
-0.00035156-0.00064017i,-0.00027656-0.00027365i,-9.9235e-07-0.00083583i,-0.0003682-0.00025629i,-0.00064547+0.0012258i,-0.0015145+0.0013573i,-0.0016063+0.0012572i,-0.00083821+0.0016481i,-0.00013552+0.00094751i,0.00072032+0.00049487i,0.0006035+0.00048068i,0.00029349+0.00034204i,-2.7629e-05+2.0946e-05i,-0.00040317-0.00026767i,-0.00050095+0.00019831i,-0.00082752+0.00076429i,-0.00087243+0.0010503i,0.00029128+0.0010469i,0.00075472+0.00062336i,-0.00013395+0.00017288i,-0.0005152-8.2963e-05i,-0.00041451-1.4816e-05i,-0.0002377+0.00063391i
-0.001089+0.0030847i,-0.00027081+0.0036417i,0.0014007+0.0031832i,0.0025466+0.0014083i,0.0019034-0.00037856i,9.9527e-05-0.0011588i,-0.0016025-0.00039897i,-0.0017676+0.00017773i,-0.001116+1.8548e-05i,0.00046243+0.00037612i,0.0016444+0.00063694i,0.0013228-0.00053821i,0.00082092-0.0011759i,-0.00011373-0.00058761i,-0.00031264-0.00016329i,0.00017407+0.00012978i,0.00026827+0.00011799i,0.00055498-0.00051688i,0.00019176-0.00080307i,0.00030215-0.00026056i,0.00043293+0.00028238i,0.00014695+0.00076565i,0.00049522+0.0012694i
0.0001656-0.00054213i,-0.00041721-7.0866e-05i,-0.0014152-0.00012142i,-0.0020366-0.00041226i,-0.0021396-0.00019581i,-0.0023904-2.1881e-05i,-0.0024585+8.2856e-05i,-0.0012372+0.00029286i,-0.00055527+0.00015379i,-0.0005103-0.00064786i,-5.3107e-05-0.00076332i,0.00079128-0.00079774i,0.00032117-0.0004907i,-0.00054408-0.00016712i,0.00010472-6.0166e-05i,0.00066466+0.00018608i,0.00041412+0.00041401i,-0.00026888+0.0012125i,-0.0009976+0.00046648i,-0.0010125-0.0007396i,-0.0001382-0.00020039i,0.00056459+0.00072155i,0.00010058+0.00074253i
0.0015387-0.00094418i,0.0012385-0.00049722i,0.00073206-0.0014924i,0.00018425-0.0012842i,-0.00059111-5.7551e-05i,-0.0013112+9.8235e-05i,-0.0013301-0.00026421i,-0.00080726+0.00018142i,-0.00020266+0.00067571i,0.00031248+0.0009691i,0.0008096+0.00080934i,0.0012657-9.6992e-05i,0.0012308-0.00032971i,0.00066406+0.00027612i,3.173e-05+0.00074373i,-5.7994e-05+0.00090696i,0.00017742-0.00012963i,0.00057672-0.00052087i,0.0011008-0.00022194i,0.00077807-0.00018138i,0.00029243-0.00057259i,4.5133e-06-0.0010093i,0.00014673-0.00078881i
0.0012214+0.0011817i,0.00067366+0.00082213i,0.00049087+0.00056312i,9.414e-05+0.0011877i,-0.00045907+0.0011955i,-0.0011449+0.00017066i,-0.0014292+0.00037121i,-0.00070789+0.0015872i,-0.00024768+0.0016409i,0.00015667+0.0011252i,0.00042319+0.00044603i,-0.0003928-0.00060692i,-0.00039122-0.00075078i,0.00028139-0.00011962i,-0.00041412-0.00043085i,-0.0011031-0.00071086i,-0.0013061-0.00060073i,-0.0010643-3.0507e-05i,-0.00028372+0.00062958i,-3.4935e-05+0.0004155i,-0.00029398+0.00040658i,-0.00030151+0.00025893i,5.2318e-05+0.00023517i
0.0020699+0.00099467i,0.0027685-0.00031309i,0.0032513-0.00051842i,0.0011694-0.00077562i,-0.00079787-0.00095192i,-0.0010138-0.0003762i,-0.001131+0.00076463i,-0.00044676+0.0013918i,-0.00014006+0.0012629i,-0.00012501+0.00027923i,0.000789-0.00035009i,0.0010346-0.00018531i,-2.3557e-05-7.7499e-05i,-0.0011084-9.8662e-05i,-0.00091144-0.00026991i,-0.00038956-0.00055112i,-0.00044275-9.7192e-05i,-0.000211+0.0010637i,-0.00029086+0.0012035i,-0.00013614+0.00053764i,2.2658e-05-0.00039856i,-0.0001801-0.00057758i,-0.00019224-0.00068871i
0.0008084+0.00086545i,0.0013871+0.001034i,0.0014834+0.0004382i,0.0014926-0.00032055i,0.00069067+0.00015674i,-0.00099946+0.00031822i,-0.0010278-0.00011048i,-0.00029708+0.00095909i,-0.00039845+0.00053213i,0.00083019-0.00097683i,0.00083509-0.0014372i,-6.3375e-05-0.0010782i,-0.00024999+0.00039933i,-0.00094465+0.00050001i,-0.00048574-0.00088068i,-0.00026394-0.0016905i,0.00019211-0.0011522i,0.001114-0.00010725i,0.0014949+0.00082538i,0.0008112+0.00045637i,-0.00021778-6.0553e-05i,-0.00015163+0.00091663i,0.00017997+0.0007156i
-0.0014585+0.00025613i,-5.124e-05+0.00099556i,0.0020739+0.0020333i,0.0016295+0.001032i,0.00041541-0.00036103i,-0.00051457-0.00096232i,-0.0018234-0.00017996i,-0.0012836+0.00024855i,-0.00068868+0.00013657i,-0.00042962+8.3033e-05i,0.00035093-0.00052591i,0.00088079-0.00089714i,0.00077581-0.0009788i,0.00026158-0.00033684i,-0.00031255+0.00047908i,-0.0011963+0.00051165i,-0.0010007+0.00021922i,-0.00023634+0.00018005i,0.00055455+0.0002468i,0.00075121+0.0007201i,0.00014662+0.00099694i,0.00020262+0.0011237i,0.00054752+0.00084046i
