0.0016221+0.0014017i,0.0014533+0.00088889i,0.0017496+0.00044194i,0.0027105+0.00017988i,0.0028665-7.9728e-06i,0.001835-0.00049434i,0.00025569-0.0010955i,-5.2601e-05-0.0013176i,0.00057665-0.00080794i,0.00067185-0.0002628i,0.0008141+0.00048359i,0.0004749-3.951e-06i,-0.00022332-0.00082315i,-0.00011899+0.00010138i,0.00024596+0.00042612i,0.0002027-5.685e-05i,0.00028826-0.00035816i,5.3662e-05-6.2167e-05i,-0.00025454+0.00059899i,-0.00026768+0.00060859i,-0.00023281+0.00012731i,2.402e-05+0.00010354i,0.00025601+0.0002577i
-0.0026623+0.0022727i,-0.0024445+0.0023287i,-0.0014712+0.002035i,-0.0010159+0.00084936i,7.9299e-05-0.00018417i,0.0012645-0.0011878i,0.0012155-0.00083071i,0.00050509-0.00076582i,0.00024026-0.0011407i,0.00054545-0.00038935i,0.00038357-0.00020003i,0.00022244-0.00030726i,0.00043365-8.8731e-05i,0.0002486-0.00026259i,0.00046959-7.3612e-05i,0.0010372+0.00026325i,0.00063688+0.00083267i,-0.00022151+0.00041141i,-2.4401e-05-0.00056936i,-0.0001255-0.00035827i,-0.00081312+0.00020673i,-0.0010408+0.00034893i,-0.0009414+0.00024321i
-0.0025633-0.0015223i,-0.0025615-0.0014794i,-0.0025522-0.0013026i,-0.0015857-0.0007076i,-0.0011195-3.9553e-05i,-0.00040112+0.00044165i,3.8566e-05-0.0001754i,-0.00023921-0.0005512i,-0.00041999-0.00048663i,-0.00030914-0.00010449i,0.00010642+0.00080939i,-0.00069467+0.0011113i,-0.0011922+0.00027096i,-3.6983e-05+0.00021636i,0.00055861+0.00088069i,0.00038261+0.00076344i,0.00033123+0.0010101i,0.000712+0.00086677i,0.00070942+0.00037602i,-0.00032217-0.00025982i,-0.00084137+2.8473e-05i,-0.00043118+0.00062359i,-8.0827e-05+0.00054795i
-0.0014778+0.002312i,-0.0008827+0.0033565i,-0.0016905+0.0038632i,-0.0008034+0.0030796i,0.0012178+0.0020625i,0.0010005+8.6208e-05i,0.0006579+2.3972e-05i,0.00043724+0.0001783i,-0.00050313-0.00099562i,-0.00027555-0.00077554i,0.0010025-0.00020937i,0.00085541-0.00020402i,-3.1291e-05-0.00040904i,0.00037914-0.00042124i,0.00048394-0.00062527i,0.00041705-0.00057372i,0.00074832+0.0001985i,0.00086175+0.00035299i,0.00048993-0.00016166i,0.00022685-0.00040419i,5.2558e-05-0.00025824i,-0.00023914-5.466e-05i,0.00038574+0.00046371i
0.0015957+0.00056779i,0.0014863+0.0001911i,0.0021606+0.00027298i,0.0022508-0.00019048i,0.0014982-0.0010109i,0.0003881-0.0014449i,-0.00019586-0.001082i,-0.00021868-0.00055706i,6.3046e-05-3.9927e-05i,0.00056264-0.00045234i,0.00063954-0.00032864i,0.00036813+0.00057299i,-0.00026775-0.00033466i,-0.00062836-0.0011068i,-1.4073e-05-7.2296e-05i,0.0004445+0.00075171i,0.00022184+0.00079391i,-0.00057161-7.894e-05i,-0.00081646-0.00036494i,4.3422e-05-0.00013155i,0.0005687-0.00030095i,0.00023418+0.00012176i,-4.4713e-05+0.00086129i
-0.0010237+0.00016233i,-0.0017847-5.4156e-05i,-0.0026955-0.00024629i,-0.0020441+0.0004114i,-0.00069701+0.00031842i,0.00073345+0.00015313i,0.001159-0.00014538i,0.00058085-0.0008035i,-0.00024669-0.00068358i,-0.0011333-0.00023098i,-0.00078873+0.00030757i,-0.00029091+0.0009293i,-0.00047597+0.00071279i,-0.00010611+0.00027485i,0.00030632-0.00018564i,7.296e-05-0.00056193i,0.00077575-0.00023513i,0.0011006+0.00012137i,0.00018563+0.00069421i,9.8313e-05+0.00025785i,0.00027445-0.00017698i,0.00040472+0.00050945i,3.0312e-05+0.00031477i
0.0021976+0.0014561i,0.0023663+0.00036323i,0.002029-0.00016664i,0.0014444-0.0013368i,0.0012864-0.002146i,0.00057899-0.001721i,0.00067854-0.0016833i,0.00057653-0.001117i,-0.00024062-0.00073497i,-6.4529e-05-0.00084452i,-9.6551e-05-0.00069274i,-0.00078923-9.7537e-06i,-0.00090212+0.00015149i,-0.0001246-0.00041633i,0.00050205-0.00036971i,0.00054154+0.00020313i,0.0001892+0.00075896i,-7.2821e-06+0.00099549i,0.00029413+0.00085155i,0.00054566+0.00078723i,8.9586e-05-2.9293e-05i,-8.4857e-05-0.00066614i,0.00022488-0.00029652i
-0.00030421-0.0019981i,0.00058151-0.0033864i,0.00094935-0.0037178i,-5.0036e-05-0.0018868i,-0.0001504-0.00064539i,0.0007265+0.00042964i,0.0011167+0.00043244i,0.00071302+0.00011612i,0.00013899-0.00063339i,-0.00052622-0.0008848i,-0.00076265-0.00016685i,-0.00082053+0.00037514i,-0.00076225+0.00021879i,-0.00029954-0.00043383i,-0.00036538-0.00052943i,6.3339e-05-0.00067418i,0.00033324-0.0007395i,0.00051934-0.00090632i,0.0010925-0.0016358i,0.00089935-0.00084266i,0.00015943-9.566e-05i,-9.5842e-05-4.8774e-05i,0.00033876+2.7783e-05i
0.0015803+0.00021605i,0.0015187+0.00031021i,0.00010089+0.00052402i,0.00033101-0.0001642i,0.0011222-0.0012335i,0.001208-0.0012402i,0.00075658-0.00058936i,0.00045909-0.00095031i,-4.8968e-05-0.0013596i,-0.00047881-0.001121i,-0.00071048-0.00028111i,5.403e-05-0.00020796i,0.00093106-0.00051859i,0.00040242-0.00041965i,-0.00031291-0.00011722i,-0.00011509+0.0001114i,3.2038e-05+2.225e-06i,-8.0029e-05+0.00027377i,0.00029885+0.00048825i,0.00048833+0.00047754i,6.8839e-05+0.00070384i,-0.00033726+0.00096684i,-0.0003021+0.00029609i
0.0033428-2.3179e-05i,0.0024013+0.00055547i,0.0032884+0.00050971i,0.0032203-0.00080255i,0.0022409-0.0016881i,0.0010084-0.0021535i,0.00056982-0.0019653i,0.00025656-0.0018572i,5.6027e-05-0.0010672i,0.00014354-0.00020686i,0.00049106-0.00014672i,0.00035655-0.00059118i,-7.4626e-05-0.00076773i,0.0001068+8.2849e-05i,9.1232e-06-9.8599e-05i,-0.00019449-0.00084273i,-0.00014545-0.00084109i,-0.00028188-0.00030778i,-7.8923e-05+5.6371e-05i,3.3463e-05+0.00023349i,-0.00014572-8.2041e-05i,0.0002769-0.00073137i,0.0009196-0.00044587i
