-0.0020768-0.00039672i,-0.0011724-0.00045819i,-0.0016115+0.0012314i,-0.0014627+0.002827i,-0.00044985+0.0032937i,0.00062721+0.002498i,0.00066346+0.001497i,0.00052962+0.0012092i,0.00069186+0.0020057i,0.001287+0.0021054i,0.0019694+0.00072236i,0.0008094-0.00034481i,-0.0004883-0.00068746i,-0.00078956-0.00115i,-0.00027592-0.0011315i,-0.00051829-0.00051311i,-0.0013882-0.00027224i,-0.00082791-0.00060872i,-0.00064776-2.1994e-05i,-0.00087819+0.00087925i,-0.000695+0.00080274i,-0.0006424-0.00024277i,8.6566e-05-0.00052542i
-0.00040263-0.0011173i,-0.0022608-0.002358i,-0.0048942-0.0018094i,-0.0043836+6.7799e-05i,-0.0013676+0.00072985i,0.00046633+0.00020624i,0.00052494-0.00021333i,-4.4738e-05+0.00040921i,-0.00066731+0.0010282i,-0.00062817+0.0011488i,0.0003286+0.0011455i,0.00094542+0.001007i,0.0010577+0.00078303i,0.00098967+0.00050949i,0.00043813+0.00012316i,4.7253e-05-2.4052e-05i,-2.9051e-05+0.0003265i,-0.00025379+0.00016665i,3.6817e-05-2.8254e-05i,0.00026354+8.7387e-05i,-0.00041571+0.00039409i,-0.00083536+0.00038416i,-2.6711e-05+0.00014178i
-0.00081067-0.00025258i,-0.0015818-0.00061782i,-0.0016779-0.00028734i,-0.00088867+0.00097575i,-0.00054744+0.00074696i,0.00017798+0.00026488i,0.0011297-1.6572e-05i,0.00096449-0.00021777i,-0.00030815+0.00022006i,-0.00043983+0.00063285i,-0.00010027-5.268e-05i,-0.00010446-0.00073746i,-0.0001319-0.00051116i,-0.00012431-0.0010537i,8.1069e-05-0.0014471i,-0.00055479-0.00062736i,-0.00078768-0.00065443i,-0.00038678-0.00066164i,-0.0002226+0.0003334i,4.8175e-05+0.00075516i,0.00020126+0.00053005i,0.00032677+0.00027478i,0.00053244+0.00037721i
0.0008334-0.00017037i,0.00036772-0.001634i,-0.00044505-0.0013222i,0.0002068+6.2864e-05i,0.0019396+0.0014155i,0.0027123+0.0010294i,0.0023556+0.00050163i,0.0013281+0.0010161i,0.00083092+0.00080563i,0.0011311+0.00022668i,0.0011666+0.00011854i,0.00086885-0.00022271i,0.00031086-0.00070525i,-0.00018597-0.00031161i,-0.00036585+9.776e-05i,-0.00018316-0.00031816i,0.00051607-0.00053474i,0.00017064+0.00015023i,-0.00069059+0.00028657i,-0.0005912-0.00015719i,8.4195e-05-0.00060862i,0.00048115-0.00038618i,0.00027789-0.0001423i
-2.7645e-05+0.00060867i,-0.00036041-0.00042425i,-0.00061629-0.00066135i,-0.0011432-0.00072641i,-0.00015438-0.00019932i,0.00087959-0.00065371i,0.00033379-0.0005857i,-0.00041951+0.0001845i,-0.00038238+0.00081619i,0.00022974+0.00091276i,0.00023267+0.00071517i,-0.00030178+9.2291e-05i,-0.00018908-5.3174e-05i,-8.27e-06+0.00048434i,0.00062443+0.00078227i,0.00088809+0.00076923i,0.00088905+0.00012458i,0.00048489+0.00062151i,-0.00018066+0.00052613i,-0.00049738-0.00049799i,-0.00069215-0.00070648i,-0.00052073-0.00045579i,3.819e-05+0.00012888i
0.0013224+0.00053202i,0.0023531-0.00067532i,0.00241-0.002677i,0.0015535-0.0028407i,0.0013332-0.0015092i,0.00077722-0.00080965i,0.00021197-8.5238e-05i,-6.7345e-05+0.00027215i,0.00012478+0.00080687i,0.00021501+0.0015522i,-0.00018065+0.0011168i,-0.00065798+0.00036332i,-0.00060138-0.00010114i,-0.00039043-0.00024434i,-0.00049763-0.00014417i,-0.00035897+0.00011733i,0.00025526+0.00026065i,0.00012941+0.00063454i,-0.0005211+0.0010078i,-0.00037604+0.00039267i,0.00016148-3.994e-05i,7.7822e-05-0.00035033i,0.00011385-0.00071482i
0.0001509-0.00060365i,-5.196e-05-0.0010959i,-0.00066643+0.0004481i,-0.00085288+0.0017076i,-0.00063088+0.00057437i,0.00089845-0.00058258i,0.0012812+0.00035212i,0.00060518+0.00095564i,5.0524e-06+0.00030966i,0.00023068+3.2601e-05i,9.313e-05+6.3319e-05i,-0.00063232+0.00015421i,-0.00026318-1.827e-05i,0.00041771-0.00035516i,0.00099141-0.00052101i,0.0010308-0.00021545i,0.00034178+5.437e-05i,4.502e-05+0.00026073i,9.549e-05+0.00022101i,0.00018462+4.5324e-05i,-0.0002535+0.00032991i,-0.00017672+0.00026518i,7.9612e-05+5.2557e-05i
-6.0451e-05-0.00030721i,-0.00049423-0.00028166i,-0.00095073-0.00050879i,-0.0014429-0.0003157i,-0.0005086+0.00046109i,0.001199-0.00024343i,0.00090005-0.00077602i,-1.7308e-05-0.00018419i,-0.00033277+0.00050528i,-0.00039117+0.00063498i,-0.00011718+0.00049287i,0.00025747+0.00047073i,6.5932e-05+0.00034056i,0.00018208+0.00031309i,0.00057042+0.00055464i,0.00024642+0.00068204i,-2.5586e-05+0.0003015i,0.00011675-0.00024143i,0.00024654-0.00022167i,-5.7778e-05-0.00024112i,-0.00082285-0.00074426i,-0.00075387-0.00098438i,-0.00039093-0.00089257i
-0.0011089-0.0011195i,-2.5976e-05-0.00067536i,-0.00012892-0.00014686i,-0.00010146-8.103e-05i,0.0005784+0.00013116i,0.0010942-9.3558e-06i,0.0013285-9.3866e-05i,0.00094255-6.0268e-05i,0.00042399+0.00058253i,0.00036703+0.0010209i,0.00052328+0.00052747i,0.00035609+0.00065377i,-9.8575e-05+0.00071998i,-0.00086075+0.0003056i,-0.0012891+0.00020114i,-0.0010869-0.00018006i,-0.0012223-0.00020258i,-0.00098706+6.2185e-05i,-0.00017994-9.4677e-05i,-0.00027894-0.0007527i,-0.0006988-0.00072764i,-0.00029971-0.00047089i,0.00029611+0.00022931i
-0.00033199-0.0020672i,-0.0016505-0.00045714i,-0.0034493+0.00090916i,-0.0029759+0.0020222i,-0.00092441+0.0024309i,0.00058139+0.0012319i,0.0011237+0.00012281i,0.0013003+6.8665e-05i,0.0013486+0.00069703i,0.00046942+0.0014179i,-0.00023591+0.001057i,-7.9674e-05+0.00024791i,0.00075404-0.00027498i,0.001212+7.3832e-05i,0.00059894+0.00051209i,0.00048408-0.00021917i,5.3827e-05-0.00052409i,-0.00093121-9.3224e-05i,-0.00072655-0.00034112i,0.00016861-0.00036017i,0.0003795-7.5487e-06i,-7.065e-05+0.0001728i,-0.00011967+6.1289e-06i
0.00029833-0.0008149i,-0.00080617-0.0014077i,-0.0018768-0.0012232i,-0.0013879-0.00040266i,-0.00037029+0.00054654i,0.00040872+0.00014322i,0.0011367-0.00037277i,0.00052045+0.00014542i,-4.8915e-05+0.00099595i,7.7641e-05+0.0014327i,0.00014607+0.00085055i,0.00020092+0.00038332i,0.00028023+0.00060959i,0.00016248+8.8855e-05i,0.00021143-6.6214e-05i,0.00084592-0.00024568i,0.00066416-0.00027678i,6.2738e-05-9.3897e-05i,-8.0892e-05-1.0362e-05i,-4.7436e-05+0.00011059i,-0.000189+2.2179e-05i,-0.00023298-4.6802e-05i,0.00036961-0.0002121i
