-0.0010898+0.00045015i,-0.0012963+0.001013i,-0.00028946+0.0019724i,-0.00073487+0.0028587i,-0.00095945+0.001859i,0.00036107+0.00076834i,0.0006603+0.00048971i,0.00063069-0.00044831i,0.00018406-0.00085435i,-6.4537e-05-0.00033726i,1.2907e-05+0.00026531i,-0.0006538+0.0010611i,-0.00079352+0.0013644i,0.00015182+0.0014452i,0.00027125+0.00088824i,0.00014927+0.00025725i,-3.1808e-05-0.00028753i,-0.00045852-0.00074828i,-0.00029959-0.00081331i,0.00032384-0.00049472i,0.00067695-0.00033323i,-0.00010572-0.00020502i,-0.00064403-0.00024257i
0.00098275-0.0012597i,0.0012114-0.0013598i,-0.00017281-0.0013826i,-0.00067928-0.00044726i,-0.00033956-0.00025521i,8.3409e-05-0.00033079i,0.00013062-0.00032647i,0.0001979-0.00080024i,0.00017914-0.00013292i,-0.00051669+0.00094382i,-0.00057541+0.00079094i,9.3538e-05+0.00084783i,0.00068017+0.0010583i,0.00072629+0.0010556i,-0.00017206+0.00060774i,-0.00059528-2.3638e-05i,-9.263e-05-0.00041205i,-0.00030768-0.00062795i,-0.00014409-0.00048221i,0.00055135-0.00086746i,0.00080003-0.00054661i,0.00015663-0.00032755i,5.1947e-05-0.000313i
-0.0016462+0.0015306i,-0.0022243+0.0014664i,-0.0023559+0.001195i,-0.0015095+0.0010751i,1.6472e-05+0.0010335i,0.00019782+0.0011988i,6.5443e-05+0.00066324i,0.00052855+0.00011983i,-0.00016406+0.00014004i,-0.00071605-0.00025513i,-0.00088698+0.00034424i,-0.00088225+8.4515e-05i,-0.00011174-0.00090977i,0.00036259-0.00018195i,0.00010741+0.00081511i,-0.00014536+0.0010571i,0.00024544+0.00078068i,0.00066631-0.00010221i,0.00063356-0.00080518i,0.00039795-0.00035562i,-0.00016233+0.00034712i,-0.00052108+0.00030985i,-0.00073367-8.169e-05i
0.00035608+0.0020217i,0.00019791+0.0021796i,0.0012435+0.0024585i,0.0018083+0.0025664i,0.0014215+0.00092564i,0.001428-0.0012469i,0.0016116-0.00053906i,0.0011213+0.00038019i,0.0012385+0.00019315i,0.0013807-5.6455e-05i,0.001232+0.00017895i,0.00060717-4.1251e-05i,0.00022431+2.2788e-05i,2.2649e-05+0.00026985i,-0.00024305+0.00046098i,-0.00024825+0.00085013i,0.00022714+0.00061389i,0.00077615+9.5594e-05i,0.0008545+0.00018364i,0.0006935+0.00069578i,0.00050253+0.00030493i,0.00026212+0.0005146i,0.00028436+0.00061469i
0.0011331+6.952e-05i,0.0010595-0.00035453i,0.0002711-0.00073259i,-0.00046832-0.00024718i,-0.00080125+0.00032354i,3.5271e-05-0.00034728i,-0.00021072-0.0013018i,-0.00099752-0.00076215i,-0.0010403-0.00013349i,-0.00065115+0.0003952i,-0.00046943+0.0010017i,-0.00026984+0.0006472i,-0.0005116-5.0161e-05i,-0.0004452-0.00035398i,-0.00027388+0.00034186i,-0.00026114+0.00071873i,0.00040604+5.0765e-05i,0.0011524-0.00043467i,0.00077645-4.0364e-05i,0.00025268+1.1267e-05i,0.00060305+4.5607e-05i,0.00054069-5.8795e-05i,0.00038091-0.0004655i
0.001287-5.2173e-05i,0.00045207+0.00088625i,-0.00013076+0.001187i,-0.00045607+0.0017045i,-6.0857e-07+0.0016853i,-0.0001728+0.00054022i,0.00041791+6.1113e-05i,0.0011731+0.00034188i,0.00073324+0.00030996i,0.0003297-8.7597e-05i,-0.0002607+5.4305e-07i,-0.00033388+0.0006295i,-0.00015336+0.00018571i,-8.106e-05-0.00013752i,0.00024863+0.0012249i,-0.0001297+0.00090037i,-0.00031801-0.0002262i,-0.00050655-0.00038245i,-0.00050023+6.237e-05i,0.00022947+0.00082233i,0.00062704+0.00074384i,0.00072949+6.047e-05i,0.00076197-0.00011557i
0.0025623-0.0017346i,0.0015858-0.0023849i,0.0010641-0.0023024i,0.00088968-0.0010572i,0.00027815+0.00024885i,0.00022684+0.00087559i,-0.00020693+6.5235e-05i,-0.00051356-4.297e-05i,-0.00043906+0.00050185i,-0.00059827+0.00042618i,-0.0011211+0.00031073i,-0.001322+0.00025717i,-3.5688e-05+0.00055375i,0.0007275+0.0013444i,-0.00022737+0.0010328i,-0.0012705+1.6064e-05i,-0.0011444-0.00084468i,-0.00049808-0.00038331i,-0.00051538+0.00047985i,-0.00017815+0.00042575i,0.00056928-0.00027906i,0.00065214-0.00029544i,-0.00025852+0.00047072i
-0.00026314+0.0021704i,-0.00056492+0.0028396i,0.00016837+0.002012i,0.0007172+0.0005586i,3.7592e-05-0.0011055i,-0.0005383-0.0017497i,-0.00040898-0.00090684i,-3.2469e-05-0.0005655i,0.00035245-0.0008038i,0.00074925-0.00078168i,0.00046314-0.00046423i,-8.9882e-05-0.00029893i,0.00027887-0.00040659i,0.00048619+5.1124e-05i,-6.0651e-05+0.00067959i,-7.9418e-05+0.00034721i,0.00045037-0.00011597i,0.00039464-0.00010481i,5.3154e-06+0.00025559i,-5.1122e-05+0.00052283i,-1.0175e-05+0.00018867i,0.00036767-2.1757e-05i,0.00037552+0.00019062i
0.0015618+0.00058899i,0.0017217+0.00059827i,0.0014348-0.00060041i,0.00020607-0.00036111i,-0.00115-6.9391e-05i,-0.0010684-0.00046631i,-0.00056008-0.00018556i,-0.00057703-0.00056939i,0.00016695-0.0012246i,0.0010343-0.0010132i,0.00066158-0.00044859i,0.0003855+0.00019064i,5.8828e-05+0.00069649i,-0.00063925+0.00096764i,-0.00057699+0.0005791i,2.9693e-05+0.00030893i,0.00039562-0.00037057i,0.00054738-0.00047547i,0.0004311+0.00043325i,0.00014161+0.00069283i,-0.00068388+0.00052307i,-0.001432+5.9201e-05i,-0.00055157+0.00021602i
-0.0015308-0.0010403i,-0.0024403-0.00075808i,-0.0024568-3.9635e-05i,-0.001212+0.00072328i,-0.00032488+0.001171i,0.0002302+0.00096868i,5.1699e-05+0.00094173i,-0.00045958+0.00048808i,-0.00043576+0.0002086i,-0.0008463+0.000711i,-0.00070492+0.00037172i,-6.4943e-05-0.00016257i,0.00049827+0.00029906i,0.00055007+0.00068574i,0.00011002+0.00016384i,0.00031774-0.000797i,0.00024779-0.00070594i,-0.0002403+0.00020483i,-0.00019897+0.00055237i,8.056e-05+0.00059539i,0.00013007+0.00034804i,-0.00017882-0.00033175i,-0.00069687-0.00019305i
