-0.00092574+6.8928e-05i,-0.00065621-0.0011097i,-0.0016366-0.0024788i,-0.0026851-0.0027192i,-0.0032693-0.0017434i,-0.0024723+0.00025204i,-0.00025764+0.0012781i,0.0012896+0.00050067i,0.0014958-0.0005599i,0.001143-0.00067324i,0.00084661-0.00052332i,0.00053485-0.0012175i,0.00035887-0.0014893i,0.00046546-0.00036309i,-7.5023e-05-0.00047626i,-0.00034237-0.0009974i,-0.00056704-0.00061463i,-0.00081266-0.00014351i,-9.3175e-05+0.00020381i,0.00053453+9.1939e-05i,0.00022517-9.5103e-05i,9.9252e-05-0.00016441i,0.00056767-0.00049746i
-0.0012315-0.0020263i,-0.00079926-0.003639i,-0.00059452-0.0032231i,-0.00028643-0.0017566i,-9.6815e-06-0.00044402i,0.0002878-8.6277e-05i,0.00049338-0.0010007i,0.00047188-0.0010904i,-8.6599e-05-0.00033256i,-0.00015159+0.0001392i,0.00017598+0.00069876i,0.0003236+0.00035556i,9.9676e-05-0.00054066i,-8.1196e-05-9.4059e-06i,-5.4993e-05+0.00090759i,8.5152e-05+0.0011814i,0.00053038+0.00023592i,0.00016896-0.00033333i,-0.00073382-0.00048698i,-0.00075621-0.00060763i,-0.0003104+0.00011597i,-0.00016291+0.0008793i,0.00033376+7.7435e-05i
-6.2001e-05-0.0012373i,0.00059925-0.000703i,-0.00054019-0.00041374i,-0.0018203+0.00068616i,-0.0011106+0.0014788i,0.00046661+0.001937i,0.00063584+0.0014734i,0.00078112-0.00049873i,0.00037434-0.00094299i,-0.00063291+0.00048884i,-0.00074935+0.00053668i,-0.0003429-0.00017655i,0.00029406-0.00070628i,0.00037109-0.00073217i,-0.00047808-0.0005527i,-0.000978-0.00079799i,-0.00075754-0.00049681i,-0.00013676-0.00013575i,0.0003703-0.00014857i,0.0005788+0.00012978i,0.00070486+0.00042885i,-5.4958e-05-0.00023972i,-0.00030842-0.00083516i
-0.0019727-0.00087446i,-0.0024688-0.0010722i,-0.0023642-0.00053082i,-0.0020076+0.00024471i,-0.0011549+0.00063334i,0.00065876+8.3798e-05i,0.0019046-9.9617e-05i,0.0014868-5.141e-05i,0.00016962-0.00052817i,-0.00012639-0.00065553i,0.00021232-0.00047934i,-4.9492e-05-0.00036986i,0.0001224-0.00062293i,0.00019336-0.0011196i,-8.8676e-05-0.0010629i,-0.00048047-0.00034335i,-0.0004525+6.9293e-06i,-0.00057499-0.00022543i,-0.00027473-0.00056687i,0.00065755-0.00050995i,0.00093151+0.00021448i,0.00018867+0.00020997i,-0.00077792-0.00080825i
0.00084539-0.00086762i,-0.0002655-0.0012344i,-0.0017094-0.0012802i,-0.0018779-0.00036741i,-0.001321+0.0010849i,-8.8654e-05+0.00098592i,0.0002223-0.00030449i,-0.00017051-0.00098748i,-0.00025146-0.0012472i,-0.0004149-6.3842e-05i,-0.00029237+0.00022494i,-0.00016074-0.00014998i,-0.00030037+0.00022304i,4.9618e-05+0.00012109i,-4.5609e-05-6.5995e-05i,-0.00015934-0.00040676i,-0.00025015-0.00054332i,9.8019e-05-0.00083694i,0.00049912-0.00036067i,0.00030236-6.2901e-05i,0.00013817-0.00016099i,-0.00015637+8.1663e-05i,-0.00028383+0.00025427i
-0.0017403-0.0013636i,-0.0015804-0.0025081i,-0.00081975-0.0020814i,-0.0011525-0.0017721i,-0.001752-0.00089109i,-0.00079658+0.00038797i,0.00051111+0.0010521i,0.00025938+0.0010289i,-0.0004016+0.00044022i,-0.00037345-4.6811e-05i,-0.00039871-6.3346e-05i,-0.00078271-8.5196e-05i,-0.00049527-0.0002453i,-0.00018148+8.0676e-05i,-0.00020445+0.00024446i,0.0005202+0.00046409i,-5.2975e-05+0.00069584i,-0.00077498+9.2127e-05i,-0.00039745-0.00067396i,-0.00011401-0.00075188i,-0.00059743-0.00064847i,-0.00059995-0.00011153i,-0.00024147+1.8453e-06i
0.00054104-0.00118i,0.00079351-0.0028404i,-0.00036373-0.0033001i,-0.0010244-0.0025637i,0.00010333-0.0015654i,0.00049519-0.00094164i,1.2523e-05-0.00014215i,-0.00015462+0.00035321i,-0.00012881-0.00076692i,0.00036809-0.001476i,0.00069855-0.00070825i,-1.1041e-05-0.00060433i,-0.00065301-0.00031377i,-0.00084451+5.6292e-05i,-0.0004664+0.00028868i,-0.00017619+0.00029642i,5.585e-05-0.00022675i,9.5151e-05-0.00012768i,-0.00044648+0.00019613i,-0.00032572+0.00014612i,-0.00019742-0.00034819i,0.00020767-1.4799e-05i,0.00011936+0.00041111i
-0.00087095-0.0015578i,-0.00020506-0.0013743i,-0.00014111-0.0010679i,-0.00043648-0.00025664i,-0.00031701+0.00060224i,9.9774e-05+0.0010194i,0.00088159+0.00061521i,0.0014888-0.00021325i,0.00098215-0.001089i,8.4105e-05-0.00093653i,-6.2748e-05-0.00038916i,0.00017937-0.00041576i,-0.00023716-0.00015944i,-0.00018611+0.00050174i,0.00083396+0.00039315i,0.0010799-0.00013319i,0.00061728-0.00048901i,0.00049016-0.00046113i,-3.73e-05-2.7241e-05i,-0.00012035-0.00039612i,0.00022805-0.0004359i,9.3243e-06-0.00050883i,0.0003575-0.00015474i
0.00071722-0.00039365i,0.0005943-0.00062277i,-0.00052414-0.00041543i,-0.00068303+9.9056e-05i,0.00055773+0.00042398i,0.0011434-0.00027837i,0.00023678-0.00051192i,-0.00024265-0.0004811i,-4.1451e-05-0.00034547i,0.0004562-2.1079e-05i,0.00068085+0.00035788i,0.00027411+0.00035585i,0.00027681+0.0002758i,0.00065076+0.00016713i,0.00041142-0.00019836i,0.00064715-0.00048589i,0.0013107-0.0010389i,0.0014327-0.0012318i,0.00056706-4.6087e-05i,0.00027467+0.00013141i,0.00054117-0.00050999i,0.00025285-0.00038798i,-0.00040363+0.00025133i
-0.0010827-0.00016593i,-0.00103-0.0005747i,-0.001337-0.0020815i,-0.0013827-0.0014732i,-0.00070087+0.0001741i,-0.00020742+0.00066696i,0.00015884+0.00030909i,8.626e-05-0.00025242i,-0.00080023-0.001146i,-0.00066275-0.0013816i,-5.7531e-05-0.00061826i,0.00015846+7.9746e-05i,0.0001646+0.00022664i,-0.00022958-0.00019394i,-0.00072659-0.00064072i,-0.0011955-0.00064804i,-0.00068478-0.0003091i,-3.0717e-05+0.00028849i,-8.6816e-05+0.00054452i,-0.00053538+0.00022737i,-0.0005626-0.00021634i,-0.00058492-0.00021275i,-0.001142+5.1095e-05i
-0.0016731+0.00055492i,-0.00098453-0.00098991i,0.00031284-0.00098003i,0.00092777-5.2055e-05i,0.00070257+0.00079988i,0.00010586+0.0010027i,0.00026156+0.00020967i,-8.9466e-05-0.0010707i,-0.001125-0.00076952i,-0.00015651+0.00019555i,0.00068325-7.1302e-05i,0.00044606-0.00069991i,0.00062916-0.00073052i,2.0389e-05-1.2231e-05i,-0.00068699-0.00010516i,-4.521e-05-0.00077713i,0.00096153-0.00068727i,0.00032612-0.00017319i,-0.00026567+0.00035792i,5.8312e-05+0.0004358i,-0.00018909+0.0012771i,-0.00042442+0.0012206i,0.00027001+0.00041719i
