0.0013646+0.00089839i,0.00091303+0.00062037i,0.00081589-0.00087855i,-0.00014192-0.0015997i,-0.0021133-5.2248e-06i,-0.0031099+0.00094255i,-0.0023497+0.0014527i,-0.00057211+0.0024422i,0.00056626+0.0021469i,0.00011684+0.0011335i,-0.00071125+6.2297e-05i,-0.0010948-0.0011227i,-0.0012726-0.001475i,-0.0011031-0.00025802i,-0.00097693-0.00012957i,-0.0010036-0.00033326i,-8.0709e-06+0.00033766i,0.00073994-1.4547e-05i,0.00096732-0.00044331i,0.0010486-0.00028581i,0.0010026-0.00031123i,0.00024899-0.00023284i,-0.00038077-0.00047707i
0.0016332-0.0015608i,0.00019682-0.0011423i,-0.001806-0.00012306i,-0.0020641+0.0012101i,-0.0013993+0.0014685i,-0.00094539+0.0012479i,0.00040384+0.00078364i,0.00098624+0.00063844i,0.00026597+0.00069631i,-0.00079557+0.00047867i,-0.001545+8.7833e-05i,-0.001538+2.1435e-05i,-0.0010214+0.000432i,-0.0006287+0.00021608i,-0.0004338+0.00028184i,-0.00027347+0.0003893i,0.00029342+0.00055812i,0.00046372+0.00051954i,-0.00016678-0.00012371i,-0.00038096-4.5034e-05i,-5.1506e-05+0.00012124i,0.00023925-0.00022837i,-0.00011809-0.00024949i
0.00058373+0.00062627i,0.00087887-0.00095239i,0.0014906-0.0019736i,0.0010279-0.0019919i,0.00052104-0.001302i,0.00062746+0.00016125i,0.00023762+0.00078974i,-0.00026549+0.00038049i,-0.00035208+0.00065023i,-0.00047849+0.00054081i,-0.00018481-0.00043737i,-0.00041042-0.0007061i,-0.00088784+0.00017547i,-0.00077586+0.00088584i,-0.00065048+0.0011586i,-0.00052488+0.00049193i,8.1768e-05+0.00010611i,0.00019495+0.00028082i,-6.2336e-05+0.00013552i,0.00035822+9.5462e-05i,0.00046991+0.0002022i,-8.9601e-05-7.1937e-05i,0.00012721+7.0942e-05i
-0.00030984-0.00011336i,-0.0016101+0.0002582i,-0.0031905+0.00021799i,-0.0035073-0.00022234i,-0.0024464+5.2851e-05i,-0.0011117+0.00022789i,-0.00031476+6.4417e-05i,0.00026478+0.00044291i,-0.00047362+0.00064575i,-0.0011927+0.00072913i,-0.00099077-4.9367e-05i,-0.00018017-0.0015057i,-0.00035362-0.0014427i,-0.0010711-0.00033654i,-0.00092361+0.00023537i,-0.00053508+0.00039899i,-0.00029708+0.00043676i,-0.00025752+0.00063796i,-0.0002532+0.00093019i,-0.00038622+0.00096785i,0.00010078+0.00066032i,0.00044057+0.00024514i,0.00047779+0.00054456i
-0.00013991+0.0014216i,0.00019238+0.0011372i,0.00066734+0.0017938i,0.00011112+0.0023753i,-0.00064935+0.001548i,2.2096e-05+0.00068935i,0.0011321+0.00071566i,0.00085858+0.00055698i,0.0001905+0.00065085i,-0.00012021+0.00063721i,-0.00048126-0.0001393i,-0.00030182-0.00060403i,-0.00053526-0.00067411i,-0.0014497-0.00017761i,-0.0011945+0.00048977i,-0.00087504-0.00019013i,-0.00062265-0.00049898i,-5.977e-05+0.00025293i,-0.00011043-0.00039533i,-0.00053676-0.0011861i,-0.00077643-0.0011439i,-0.00078686-0.00078912i,-0.00028023+2.2922e-05i
0.00059209-0.0011196i,-1.102e-05-0.0021249i,-0.00017648-0.0018779i,-0.00097894-0.00055447i,-0.0012192+0.00040255i,-0.0005894+0.00080735i,4.9161e-05+0.0010715i,-8.6003e-05+0.00045942i,-0.00080207+0.00039425i,-0.0017587+0.00061845i,-0.002032+0.00027564i,-0.00092002+0.00046127i,-0.00061279+4.589e-05i,-0.00072313-0.00029199i,-0.00048633-0.000217i,-0.00023362-0.000249i,3.5568e-05-0.000245i,-0.00027842-0.00029102i,-0.000146-0.00018303i,0.0002328+0.00025087i,0.00017703+7.3962e-05i,-0.00017955-0.00061819i,-0.00061499-0.00031274i
0.0014708-0.0022224i,0.00025179-0.0010774i,-0.0015748-0.0010527i,-0.0031062-0.00028376i,-0.0025111+0.00089984i,-0.0006166+0.0018177i,0.00038638+0.0011365i,0.00049796-5.5297e-05i,-0.00066889+6.5781e-05i,-0.0018635+0.00076359i,-0.0015876+0.00076221i,-0.00058854+0.00030278i,-0.0006644+0.00018677i,-0.0006438+0.00033958i,-0.00057576+0.00030686i,-0.00084425-0.00020088i,-0.00010484-0.00056426i,0.00021141-0.00053071i,-0.00027604-0.0010283i,0.00016472-0.00073839i,0.00032357+0.00016521i,-1.4695e-05+0.00039126i,-0.00046797+8.9252e-05i
0.0012328+0.00094419i,0.00071023-0.00053521i,0.0011421-0.0016452i,0.0014762-0.0019325i,0.00066399-0.0017973i,-0.00024064-0.00036741i,-0.00016873+0.00036057i,-0.0005473+0.00036577i,-0.00069576+0.00067412i,0.00026537+0.0010701i,0.00043432+0.00095199i,-0.00017153+0.00072907i,-0.00062243+0.00080037i,-0.0010753+0.0011832i,-0.0012566+0.0013916i,-0.0010552+0.0011205i,-0.00022902+0.00099338i,0.00042372+0.00067176i,0.00081365+0.0006678i,0.00088759+0.00032587i,0.0010048-0.00032308i,0.0010144-0.00058065i,0.0002203-0.00028819i
0.0013526+7.4809e-05i,0.00024267-0.0012422i,-0.00084395-0.0018965i,-0.0010189-0.0015145i,-0.0012359+5.733e-05i,-0.0017976+0.00087795i,-0.00084861+0.00097483i,0.00037723-0.0001726i,1.1102e-05-0.00029314i,3.088e-05-5.4489e-05i,0.00058194-0.00061211i,0.00021565-0.00031032i,-0.0002251-0.00032324i,-0.00051064-0.00051659i,-0.00067681-5.7049e-05i,0.00019288-0.00043871i,0.00056909-0.00056951i,0.00011015+9.8944e-05i,0.00017977+6.0827e-05i,0.00021387-8.7575e-05i,0.00030724-0.00016638i,-0.00019124-0.0004476i,-0.00060941-0.00032819i
-0.00024625+0.00027905i,-0.00032262+0.00050164i,-8.7971e-05+0.0011757i,0.00040398+0.0013566i,-0.00026719+0.00097436i,-0.00053617-5.5916e-06i,-0.0002635-0.00092517i,-0.0003608-0.00067655i,-0.0010875+0.00014551i,-0.0010655+0.00023976i,-6.8204e-05+3.6843e-05i,-0.00019856-0.00018392i,-0.00085021-0.00040293i,-0.0014131-0.00067893i,-0.0012405-0.00055982i,-0.00089556+5.7934e-06i,-0.00091825+0.00060526i,-0.00072508+0.00027594i,1.6956e-06-0.00036579i,0.00025746-0.00024307i,0.00016922+0.00015381i,-0.0006929+0.00010593i,-0.0016603-0.00059038i
0.0003581-0.00029255i,0.00023392-0.00050986i,0.00033977-0.00066145i,8.7081e-05-0.0006098i,2.7823e-06+0.0008049i,0.00054138+0.0018839i,0.00038873+0.0011258i,-0.00032894+0.00080847i,-0.00047738+0.00049431i,-0.00034813-0.00016678i,-0.0010464-0.00020518i,-0.0006448-2.789e-05i,3.2173e-05-8.6e-05i,5.5443e-05+0.00021615i,-0.00095134+0.00097929i,-0.0014449+6.1907e-05i,-0.00078698-0.0010012i,-0.00047925-0.0006418i,6.728e-05+0.00035119i,0.00083527+0.00027879i,0.0001779-0.00091817i,-0.0003081-0.0016741i,0.00016857-0.00039324i
