-0.00054699-0.00031719i,-0.0010438-0.0012105i,-0.00073753-0.0018332i,-0.00070899-0.0017001i,-0.00073638-0.0016928i,-0.00047916-0.0015021i,-0.0011153-0.00098977i,-0.0020734-0.00051362i,-0.0021267-0.00040265i,-0.0019567+0.00012222i,-0.0019147-0.00014456i,-0.00079536-0.00056709i,-0.00010916+9.9431e-05i,-0.00033054+5.1087e-05i,-9.7616e-05-0.00054327i,0.00078548-0.00010386i,0.00030401+7.493e-05i,-0.00020222-0.00023888i,-3.4281e-05+0.00015827i,-0.00044393+0.0010008i,-0.00048385+0.00029168i,0.00045874-8.0121e-05i,0.00028987+0.00025576i
-0.00093145-0.00036295i,-0.0016049-0.00068882i,-0.0015718-0.0020636i,-0.00154-0.0024872i,-0.0013951-0.0015259i,-0.0007482-0.0014145i,-0.00031438-0.0017032i,-0.00017804-0.0017433i,-0.0004854-0.0011555i,-0.0007552+0.00023899i,-0.0001004+0.00085487i,0.0004823+0.00061154i,0.00045193+0.0013528i,0.00017769+0.0015686i,-6.6735e-06+0.0010327i,-0.00013261+0.00086835i,-0.00036595+0.00091219i,-0.00052905+0.0010363i,-0.00039806+0.0001332i,-0.00050674-0.00043534i,-0.00081997+0.00013956i,-0.00064936+0.00031323i,-9.1048e-05+0.00066333i
-0.0011224+0.00053894i,-0.0015748-0.00026179i,-0.0021943-0.00080415i,-0.001523-0.00076417i,-0.00054783-0.001442i,-0.00019931-0.0021236i,-4.1908e-05-0.0021001i,-6.0238e-05-0.0015945i,-0.00088656-0.0012385i,-0.0012611-0.00080175i,-0.0011783-0.00055716i,-0.0012353-0.00058849i,-0.00045417-0.00040574i,-0.00020355+0.0001001i,-0.00045784+5.9217e-05i,-0.00016121+0.00067834i,0.00061072+0.001304i,0.0013388+0.00072093i,0.0012942-5.3333e-05i,0.0009972-0.00030467i,0.00054716-0.00049959i,9.5064e-05-0.00061388i,2.9769e-05-0.00039091i
0.00072045+0.0013303i,0.0013494+0.00090506i,6.4463e-05+0.00024785i,-0.00073122-0.0015994i,-0.00055489-0.00371i,-0.00061905-0.0036853i,-0.00053373-0.0022169i,-0.00029922-0.0014841i,-0.00031273-0.0009755i,-0.00040336+8.782e-05i,-0.00040034+0.00076125i,-0.00050581+0.00093522i,-0.00045542-1.0923e-05i,0.00019852-0.00041181i,0.00036601-0.00012708i,0.00026073-0.00028991i,0.00070919+5.7436e-05i,0.0010035+0.00029561i,0.00095835+0.00034093i,0.0005389+0.00030258i,-0.00010791-0.00031103i,-0.00043637-0.00071115i,-0.00081234-0.00059434i
0.00078202+0.00044452i,0.00098522+0.00029236i,0.00042796-0.00080657i,-0.00026962-0.0015957i,-0.00086239-0.0019042i,-0.00087006-0.0022776i,-0.00057848-0.002361i,-0.00067431-0.001419i,-0.0010706-0.0011082i,-0.00079789-0.0011177i,-0.0004064+3.9143e-05i,-0.00086093+0.00061457i,-0.00049865+0.00024481i,-0.00017329+8.5507e-06i,-0.00029545+0.00027097i,7.8384e-05+0.00029626i,0.0006086-0.00024629i,0.00037971+0.00013493i,-0.00049679-0.00029026i,-0.00069226-0.00069926i,0.00021824-0.00061223i,0.00068009-0.0010869i,0.00018938-0.0013196i
-0.0014645+0.0023453i,-0.0013027+0.0013642i,-0.001344+0.00084886i,-7.9652e-05+0.00016234i,0.00084505-0.0015351i,7.374e-05-0.0025557i,-0.00091462-0.0020946i,-0.0013762-0.0010907i,-0.0016342-0.00060331i,-0.0015072-0.00043174i,-0.00073062+0.00020859i,-7.1318e-06+0.00098393i,-0.00015651+0.000696i,0.00072938+0.00054004i,0.0012243+0.0010484i,0.00042905+0.0010688i,0.00029472+0.0011565i,1.7806e-05+0.0012774i,7.8398e-05+1.7477e-05i,0.00020685-0.00064753i,-0.00031232-0.0004154i,-4.7013e-05+0.00015281i,0.00012895+0.00098173i
0.00050307+0.00055313i,0.0015523+0.00082335i,0.001131-3.9724e-05i,0.00043591-0.0010678i,0.00034233-0.0016845i,-0.00077689-0.0020985i,-0.0011422-0.0020683i,-0.00035835-0.0010507i,-0.00062521+0.0001198i,-0.00067274-0.00031679i,-0.00031454-0.00065326i,-0.00041314-0.00035596i,-0.00014051-0.00056387i,0.00064801-0.00083641i,0.00067417+4.6952e-05i,-1.7607e-05+0.00082108i,4.8243e-05+0.00044682i,0.00029807-0.00033929i,0.00040917-0.00042334i,0.00033167-0.0002745i,0.00048374-0.00038603i,0.00070742-0.00014869i,5.0925e-05-0.00027394i
0.00081097-0.00067526i,-0.00040281-0.00069223i,-0.0014773-0.00088016i,-0.0021351-0.0017451i,-0.001465-0.0025047i,-0.00038251-0.0024434i,-0.00056282-0.0011177i,-0.0014104-0.00016477i,-0.0012411-0.00010854i,-0.0011225+6.1359e-05i,-0.0013213-6.2972e-05i,-0.00047384-0.00072368i,0.00028807-0.00080452i,-3.151e-05-4.167e-05i,-0.00098168+0.00043239i,-0.001163+0.00025199i,-0.00010937-2.4101e-05i,0.00066782-0.00019205i,0.0003267-0.00076606i,0.00026372-0.00092562i,0.00013085-3.6621e-05i,-0.00055522+0.00051323i,-0.00048616-7.6816e-05i
0.0005189+0.00051702i,0.0003772+0.00030652i,-0.00040417-0.0013711i,-0.0015241-0.0028265i,-0.0020596-0.0037068i,-0.0018879-0.0032127i,-0.0013478-0.0014974i,-0.00087918-0.00018334i,-0.0011221-1.1716e-05i,-0.0015474+0.00057102i,-0.0014802+0.00093372i,-0.00062073+0.00034585i,-3.3109e-05-0.00010383i,-0.00022918+0.00032212i,-0.00067685+0.00099072i,-0.00075882+0.0011805i,-8.6142e-05+0.00040519i,-6.4104e-07+7.5179e-05i,6.8891e-05+0.00019543i,0.00051449-0.00019693i,0.00012384-0.00025986i,0.00022844+0.00057836i,-0.00014019-6.0787e-05i
-0.00091723+0.00014706i,-9.2983e-05-5.6679e-05i,-8.7761e-05+6.6946e-05i,-0.00066815-0.00064014i,-0.0017388-0.0014046i,-0.0019125-0.0013715i,-0.0011652-0.00085473i,-0.00023082-0.00050964i,-0.0001764-4.9608e-05i,-0.00076824+0.00045236i,-0.00068028+0.00062464i,-0.0002629+0.00017867i,4.1624e-05+0.0002221i,-0.00018436+0.00045705i,-8.5442e-05-0.00011841i,0.00033285-0.0001551i,-8.0076e-06-7.6715e-05i,-8.9611e-05-0.00020066i,-0.00020206-0.00018893i,-0.00062476-0.00084596i,-0.00062569-0.0010295i,-0.00041328-0.00045231i,-0.00045841-0.00010781i
