0.0065121-0.00045211i,0.0047938-0.0039578i,0.0033245-0.006752i,0.00042379-0.0062107i,-0.0029953-0.0035597i,-0.0043044+0.00041843i,-0.0022748+0.0016226i,-0.00012222+0.001243i,0.0012901+0.00033387i,0.0009248-0.00094561i,-0.00049141-0.00097663i,-0.001098-0.00015633i,-0.0022089+0.00088614i,-0.0031984+0.0015847i,-0.0030554+0.001337i,-0.0019199+0.00075823i,0.00013426-0.0003128i,0.00080852-0.0006313i,6.9373e-05+0.00017457i,0.00043763+0.00048599i,0.00068494-0.00011329i,-0.00010994-0.00074418i,-0.0005342-0.00094103i
-0.0013898-0.00032118i,-0.0011939-0.0015375i,-0.00099167-0.00079432i,-0.0012096+0.00051303i,-0.00081504+0.00085737i,0.00078633+0.00027178i,0.00063751-0.0003344i,0.00026208-0.00048315i,7.7215e-05-0.00037466i,-0.00026975-0.00015741i,0.00043224+0.00032658i,0.00085447+0.00051518i,0.00046938+0.0010287i,0.00066953+0.00079505i,0.00060761-1.5826e-05i,0.00044899-0.0004569i,0.00068121-0.00021815i,9.8412e-05-0.00027124i,-0.00072308-0.00070524i,-0.0009007-0.00015244i,-0.00011785+8.538e-05i,0.00040229-9.2823e-05i,-0.00012311-0.00039056i
0.0001285+0.0024266i,0.0016737+0.0023603i,0.0015381+0.0014793i,0.00082764+0.00027473i,0.00067661-8.195e-05i,0.00087305-0.00082781i,0.0013389-0.00083956i,0.00098945-0.00060961i,8.4483e-05-0.00042668i,-0.0001523-0.00059777i,-0.00048346-0.00060931i,-9.7642e-05-0.00054275i,-3.3712e-05-0.00054349i,-0.00025692-0.0010143i,-7.4021e-05-0.00075365i,-0.00026371-6.1565e-05i,-0.00084097-0.00019123i,-0.0007473-0.00010463i,-3.0723e-05+0.00023114i,0.0002855+0.00010279i,0.00029444-2.8326e-05i,0.0004432-0.00049957i,0.00042211-0.00050281i
-0.0021525-9.1005e-05i,-0.0023178+0.00068674i,-0.0018685+0.001444i,-0.00015649+0.0014579i,0.0012698-0.00018655i,0.0019143-0.0016848i,0.0021604-0.0023954i,0.0014226-0.0016742i,0.0004117-0.0001579i,-0.00012021+0.00036063i,0.00046434+0.00072844i,0.0016407+0.00078416i,0.0014189+5.7903e-05i,0.000494-0.00061826i,0.0005329-0.00018363i,0.00033649+0.00040503i,-0.0004485+3.4063e-05i,-0.0012779-0.00038238i,-0.0013165-0.00092288i,-0.00010228-0.0013391i,0.00028446-0.0012581i,-0.000133-0.00060996i,9.486e-05-0.00040537i
-0.0011414+0.00017237i,-0.00022176+0.00012445i,8.2883e-05-5.2569e-05i,0.00073262+0.00063517i,0.0012176+0.0010474i,0.00038194+0.00082454i,0.00059681+0.00016529i,0.0015232-0.00056753i,0.0009579-0.00047493i,0.00016185-0.00031474i,-7.7868e-06+0.00046776i,0.0001111+0.0012844i,0.00087113+0.00089385i,0.00093373+0.00051575i,-0.00061368+0.00061629i,-0.0011267+0.00023358i,-0.00078489-0.00020639i,-0.000512-0.00015184i,-0.00034039+5.03e-05i,-5.6633e-05+3.4976e-05i,0.00042757+0.00033345i,0.00039384+0.00043021i,0.00010411-0.00030573i
0.00061328+6.3188e-05i,0.001012+0.0011584i,0.0006883+0.0010845i,7.4879e-05+0.00086128i,0.00071251+0.00085008i,0.0015246+0.00085909i,0.0018824+3.868e-06i,0.00095789-0.00098766i,1.794e-05-0.00095993i,-6.6415e-05-0.00044949i,-0.00075698-0.0005802i,-0.00094696+3.1197e-05i,0.00022038+0.00071633i,0.00082293+0.00046348i,0.00020285+0.00041765i,-1.6723e-05+0.00048895i,-0.00054066-0.00059247i,-0.00053571-0.00073855i,6.779e-06+0.0003353i,-0.00022701+0.0010567i,-0.00083853+0.00070193i,-0.00074754-0.00011426i,-0.00019229-0.00062661i
-0.00030786+0.0020114i,-0.00095288+0.0014226i,-0.0013471+0.00071168i,-0.0011798-0.00049409i,-0.00063194-0.0017281i,-0.00062545-0.0027135i,-0.0002025-0.0026057i,0.00024795-0.0016627i,0.00049293-0.00040213i,0.00042523+0.00048179i,-0.00011236+0.00029831i,-0.00060142+0.00032538i,-0.00061642+0.00022365i,-0.00056228-0.00046823i,-0.00023851-0.0010792i,0.00017094-0.00035795i,0.00025786+0.00038927i,0.00057189+0.00032273i,0.0010932+0.0003484i,0.00092229+0.00054596i,0.00027174+0.00082324i,0.00026794+0.0006842i,0.00049549+0.0008292i
-4.6782e-06+0.00029209i,-0.00025011-0.00068528i,0.0016391-0.00085957i,0.002808-0.00073525i,0.0019452-0.00018676i,0.0017427+0.00014865i,0.0017544-0.0003459i,0.00087455-0.00081306i,0.00025963-0.00066789i,0.00063824-0.00037564i,0.00037204+0.00037015i,-0.00068249+0.00053749i,-0.00077242-0.00046924i,-0.00049378-0.0017728i,-0.0008185-0.0014107i,-0.00053808-0.00043675i,7.8908e-06-0.00018482i,-0.00034769+0.00084328i,0.00042389+0.0013703i,0.00090915+0.00023563i,0.00011672-0.00075536i,0.00048023-0.00089945i,0.00040819-0.00038319i
0.00096857-0.0013848i,-6.3011e-06-0.00083378i,-0.00091627+0.000546i,-0.0011151+0.0014917i,0.00035279+0.0018808i,0.0014461+0.00071878i,0.00058224-0.00011409i,0.00010139-0.00010128i,0.00025854+0.00030382i,-0.00015406+0.000662i,-0.00013115+0.0001206i,0.00018417-0.00038243i,0.00033515+0.00011193i,0.00026727+0.0007849i,0.00048989+0.00066674i,0.00047934+0.00041435i,-0.00019841+0.00047791i,-0.00063047-7.7378e-05i,-0.00032152-9.8007e-05i,2.2479e-05+0.0004269i,-0.00018695+0.00067074i,0.00022339+0.00048769i,0.00072453+0.0001166i
0.0017376-0.0010284i,0.0012254-0.0020314i,-0.00057272-0.0019873i,-0.0012579-0.00091962i,-0.00050808-0.00020187i,0.00056303+0.00030457i,0.0013844+0.00081925i,0.00087347-3.8333e-05i,-1.8808e-05-0.00069989i,-3.4481e-05-0.00038459i,-0.00022638+0.00020806i,-0.00048236+0.00058905i,7.4744e-05+0.00059513i,0.00018691+0.00051932i,0.0003141-0.00010654i,0.00060661+0.00049206i,-0.00016795+0.0010177i,-0.00019488+0.00086513i,0.00020642+0.00093493i,0.00058229+0.000327i,0.00027675-0.00053015i,-0.00021677-0.0008939i,0.00021732-0.00058933i
-0.0029182+0.0022157i,-0.002981+0.0024447i,-0.0016411+0.0020005i,5.1802e-06+0.00045114i,0.001205-0.00022042i,0.0019342-0.00084949i,0.0021362-0.0014244i,0.0010858-0.00091676i,-0.00034329-0.00042271i,-3.9097e-06+0.00020436i,0.00037771+0.0014286i,0.00047153+0.0012143i,0.0011306+0.00020065i,0.0018757-0.00060827i,0.0015886-0.00087883i,0.00045223-0.00051397i,-0.00068644-0.00033091i,-0.00063682-0.00025378i,-7.7187e-06+4.6979e-05i,2.7892e-05-0.00020327i,7.3327e-07-0.00048396i,0.00047778-2.7302e-05i,0.0010394+0.00026144i
0.00037104-0.0018932i,-5.0627e-05-0.0019093i,0.00011899-0.00049507i,-0.00011807+0.00032582i,-0.00062032-3.8869e-05i,0.00021962-0.00063678i,0.0013423-0.0010962i,0.0012238-0.00056791i,0.00052433-9.0293e-05i,0.00070656-0.000322i,0.00085675-3.5235e-05i,0.00050406+0.0004051i,0.00040494+0.00081898i,2.0911e-05+0.000658i,-0.0003344+0.00027779i,-4.0773e-05+0.00048508i,-0.00053459+0.00017483i,-0.00087913+0.00022402i,-0.0002939+0.0003132i,-0.00020601-0.00019161i,-0.00018784-0.00068892i,0.00036338-0.0011374i,0.00012405-0.00057784i
0.0034143+0.00010156i,0.0016282-0.0003667i,0.00046942-0.0010684i,-0.00040145-0.00052707i,-0.00027936+0.00023657i,0.00049329+0.00060835i,0.00091637-0.0002285i,0.00079372-0.00085929i,0.00011559-0.00059507i,-0.00069992-3.9401e-05i,-0.00054683+0.00024225i,-0.00035556+0.00039532i,0.0002007+0.000324i,0.00091052+0.00037433i,0.00058534+0.00045286i,0.0002051+0.00032989i,0.00035539-0.00022814i,0.0005006+0.00012384i,0.00058106+0.00094035i,0.00057228+0.00081802i,0.00062793+0.00052495i,0.00040893+0.00048394i,0.00012751+8.0741e-05i
0.00064433-0.0005026i,0.00083968-0.00089918i,3.4295e-05-0.0012079i,-0.00087647-0.00021337i,-0.00052123+0.0010079i,0.0005118+0.00097311i,0.0012073+8.5968e-05i,0.0010999-0.0004484i,0.00054132-0.00035278i,0.00024621-4.7979e-05i,-3.6557e-05+0.0003245i,-0.00021919+7.5433e-05i,0.00028094+0.00017416i,0.00080824+0.00029963i,0.00072103+0.00031364i,0.00015341+5.2358e-05i,-3.0054e-06+9.9215e-05i,-0.00020531+0.00077261i,-3.9438e-05+0.00073314i,0.00011171-3.116e-05i,8.3112e-05-0.00013936i,0.00056788-0.00030263i,0.00046497-0.00074453i
-0.00038485+0.0012236i,-0.00085643+0.0014514i,-0.00040965+0.001757i,-0.00038406+0.0002212i,-0.00033923-0.00089717i,-0.00070168-0.0006442i,-0.00025963-0.00073125i,0.00052458-0.0009383i,0.0010009-0.00052475i,0.00071724-0.0005495i,0.00015523-0.00044481i,-0.00019081-0.00035012i,-0.00072638-0.00030423i,-0.00056098-0.00045662i,-0.00021092-0.00081326i,0.00023151-0.00030369i,0.00016636+0.00058557i,-0.00071511+0.00095271i,-0.00089332+0.00050907i,-0.00028297+0.00020375i,7.3574e-05-1.11e-05i,-0.00016797-0.00029366i,-0.00044908+1.7849e-05i
0.00012386-0.0032581i,-0.0002187-0.0035974i,-0.00037732-0.0034454i,-0.00069723-0.0017483i,-0.00061624+0.00085072i,0.00065178+0.001813i,0.0018468+0.00084308i,0.0015236-0.00018411i,0.00043026-0.00035442i,-0.00025343-0.00028595i,9.9611e-05-0.00021337i,-6.8694e-05-6.2388e-05i,-0.00049263-0.00035708i,-0.00044274+3.4033e-05i,0.00017564+0.00095398i,0.00039935+0.00028122i,2.0199e-05-0.00040697i,-0.00034556-0.00026869i,0.00051963+0.000189i,0.0013349-6.3185e-05i,0.0010993-0.00084366i,0.00072715-0.001184i,0.00044816-0.00083318i
0.00041245+0.0011564i,0.00049231+0.0016603i,6.0618e-05+0.0012624i,0.00020875+9.9254e-05i,0.0003622-0.00066434i,0.00097603-0.0011131i,0.0012651-0.0014704i,0.00065387-0.00063237i,0.00063781+0.00034203i,0.0010975+0.00033485i,0.00035711+9.946e-05i,-0.00030112+0.00024693i,-0.00050413+0.0010234i,-0.00042555+0.00060991i,0.00023436-0.00017717i,0.00093373-0.0003393i,0.0011811+0.00032871i,0.00080357+0.00097206i,6.5244e-06+0.00047647i,-0.00027778+0.00043984i,-7.6932e-05+0.0010633i,-0.00011366+0.00087067i,-0.00061891+0.00046449i
-3.9167e-05-8.6927e-05i,0.00017311+0.00053216i,-0.00042425+0.00075087i,-0.00032377+0.00012279i,0.00082507-0.00065216i,0.0017609-0.00022649i,0.0022678-0.00035896i,0.0020056-0.0010231i,0.0005046+7.8367e-05i,-0.00030273+0.00091991i,-7.1631e-05+0.000476i,0.00060689-0.00033509i,0.0013417+1.0418e-05i,0.00089815+0.0007721i,-0.00023132-0.00012937i,1.2253e-05-0.0008468i,0.00038544-0.00032479i,-0.00053861+0.00018092i,-0.0010639-2.8708e-05i,-0.00053836-0.00041432i,0.00012179-0.00050746i,0.00071064-0.00060147i,0.00052773-0.0013i
-0.0016747+0.001512i,-0.0025603+0.0011679i,-0.0017344+0.00080864i,0.00030133-0.00036253i,0.00096974-0.0011177i,0.00059841-0.0010838i,0.001071-0.0008066i,0.0012904-0.00075632i,0.00047421-0.00022245i,-0.0001583+0.00074597i,-0.00043804+0.0006432i,-0.00066305-0.00028716i,-0.00055362-0.00021939i,-0.00073587+0.00020862i,-0.0010924+5.2978e-05i,-0.00074726+0.00020799i,-0.0008957+0.00052716i,-0.00097803+0.00010722i,-9.9795e-05-0.00041734i,0.00023883-0.00014894i,0.00064464+0.00035637i,0.00028193+0.00066807i,-0.00052977+0.0007282i
0.001721-0.0013026i,0.001151-0.0002153i,9.8935e-05+0.0017774i,-0.00019049+0.0022225i,-0.000507+0.0018106i,-8.5694e-05+0.0012373i,0.00088635+0.00013399i,0.0012016-0.00023573i,0.00096137-0.00047596i,0.00093846-0.0011199i,0.00057706-0.00094587i,0.00040197-7.561e-05i,0.0011809-1.3151e-05i,0.0015874-0.00039333i,0.0006369-0.00013022i,0.00027637+0.00073955i,0.00047176+0.00092946i,0.00016245+0.00051421i,-0.00034444+0.00023336i,0.00014305+0.00020637i,0.00053862+0.00079862i,0.00023902+0.00094793i,0.0002867+0.00011854i
-0.00050184+0.00025436i,-0.00087778-0.00046727i,-0.0012676-0.00086963i,-0.00077594-0.00079086i,0.00057462-0.0011277i,0.0023556-0.0010469i,0.0029677-0.00089427i,0.0015907-0.00068238i,0.0004693-0.00083754i,1.5589e-05-0.0015061i,-7.7428e-05-0.00077492i,-0.00059574+0.00015414i,-0.0014248+0.00069116i,-0.0018077+0.00029814i,-0.00093944-0.000508i,0.00019147-0.00020115i,0.00072458-0.00016177i,0.00069577-0.00041716i,0.00054369+0.00038006i,0.0003284+0.00026431i,0.00065634-0.00060478i,-0.00012915+0.00015124i,-0.00068078+0.00046055i
0.0016468-0.00016675i,0.0023715+0.00036547i,0.0023356+0.00076149i,0.0016396-9.332e-05i,0.0013305-0.0010266i,0.00052103-0.00091383i,0.00038301-0.0011811i,0.00087592-0.0012378i,0.0009484-0.00063724i,0.00058206-0.00018411i,0.00073232-7.042e-05i,0.00038681+0.00021203i,0.00027049+6.5563e-05i,-1.875e-05+0.00049237i,-0.0010832+0.0014516i,-0.0013103+0.00091054i,-0.0009524-0.0002699i,-0.00065006-0.0005976i,-0.00030792+5.1547e-05i,-0.00041017-0.00025783i,0.00047651-0.00064442i,0.00095265+6.3217e-05i,0.00087001+9.1143e-05i
-0.0013772+0.00041739i,-0.0024368-0.0005587i,-0.002761-0.00033237i,-0.0013071+0.00045317i,0.0012807+0.0005214i,0.0026147+2.6979e-05i,0.0018632+2.353e-05i,0.0002988-7.0743e-05i,-0.0003395-0.00053711i,-9.7978e-05-0.00036393i,-9.3141e-05-0.00025538i,-0.0002918-0.00029164i,0.00056854-0.00038029i,0.0012177-0.00028648i,6.4639e-05+0.00052344i,-0.00059921+0.0009061i,0.00028047+6.672e-05i,0.00068035-0.00041177i,0.0003776-0.00036559i,0.00011914-0.00061177i,0.0003663-0.00030567i,0.00018255+0.00075642i,-0.00023654+0.00089575i
-0.00019502+0.0003463i,0.00054+0.00027922i,2.467e-07+0.00061278i,-0.00092627+0.00097227i,-0.00081859+0.00012765i,0.00022853-0.00029505i,0.0015423-0.00056849i,0.0014359-0.0013341i,0.00036997-0.00097306i,7.0479e-05+0.00015678i,-0.00035489+0.00048278i,-0.00077869+0.0003327i,-0.00050089+0.00030272i,-0.00025529-0.00013855i,0.00053336-0.000117i,0.00097709-0.00039372i,0.0013049+0.00042247i,0.00076792+0.0010085i,0.00047238+8.4705e-05i,0.00074222+0.00011026i,0.0008114+7.0409e-05i,0.00096349-0.00088843i,0.0006524-0.0011757i
-0.0014338+0.00010599i,-0.0017629-0.00080665i,-0.0020185+0.00019999i,-0.00084273+0.00062598i,0.0009847+0.00046i,0.0013937-0.00029951i,0.001305-0.00067656i,0.0010452-0.00052066i,0.00073622-2.9527e-05i,0.00071497+0.00058227i,0.00024662+0.0009315i,-0.00016071+0.00044891i,8.5193e-05-0.0001405i,0.00015693-0.00029773i,0.00017597-0.00036835i,0.00039068-2.3348e-05i,0.00044791+0.0001349i,0.00085708-6.9366e-05i,0.00032577+0.00038329i,-0.00038007+0.00073085i,-8.908e-06-8.5773e-05i,0.00023873-0.00028055i,0.00049083+0.00027806i
0.0006695-0.00086692i,0.0012199-0.0011319i,0.0014922+0.00013188i,0.0014449+0.00052609i,0.001193-0.00035308i,0.001245-0.0014773i,0.0020324-0.001625i,0.0014856-0.00036075i,-0.00024156+0.0005786i,-0.00088073+0.00081177i,-0.00020944+0.00010773i,-0.00018312-0.00018887i,-0.00016046+0.00058501i,-0.00063592+0.0013355i,-0.00067974+0.0010704i,-0.0003193+0.00039845i,-0.00048281-0.0005422i,4.8014e-05-0.0005223i,7.5307e-05+0.0001588i,-0.00048997+0.00025024i,-0.00013947-0.00016988i,0.00026835-0.00047988i,0.00015862+0.00011093i
0.00052831+0.00029217i,-0.00025587+0.00020365i,-0.00052959+0.00034028i,-0.00033062+0.0011345i,-0.0002388+0.0010344i,0.00024639+0.00097336i,0.0013042+0.00073624i,0.0021286+0.00052532i,0.0019935+0.00098806i,0.00092636+0.00035237i,0.00026324+0.00026415i,0.00055817+0.00036872i,0.00047305-0.00025637i,-0.00043531-5.3452e-06i,-0.00054398+0.0004143i,-0.0002397-0.00044881i,-0.00022167-0.00057688i,0.00018618+0.00071652i,0.00032328+0.00068265i,0.0002139+0.00028725i,0.00072049+0.00043833i,0.001144+0.00075884i,0.00064991+0.00092298i
-0.00069542-0.0013727i,-0.00090584-0.0018386i,-0.0020385-0.00082419i,-0.0016299-0.00025717i,-0.0001505-0.00054863i,0.0010361+5.5107e-05i,0.0015689-3.721e-05i,0.00092679+0.00016782i,-0.00012617+0.0011023i,-0.0005148+0.00076062i,-0.00012407+0.00051949i,0.00070891+0.00036186i,0.00087158-0.00026795i,0.00047619-0.0003172i,-0.00010778-0.00010333i,-0.00015243+5.9491e-05i,6.3445e-05+4.4961e-05i,3.8325e-05-0.00019223i,-6.9533e-05-0.00041994i,-0.00018733-0.00033308i,-0.00020235+0.00028206i,-0.00081891+0.00070174i,-0.00025102+0.00023507i
0.0010829+0.00070675i,0.0018612+0.00057959i,0.0024134-0.00094173i,0.00073607-0.0014534i,-0.00048364-0.0012908i,0.00014617-0.00085313i,0.001325-0.0003899i,0.0014739-0.00060205i,0.00085068-0.00078575i,0.00047351-0.0010923i,0.00015278-0.00070436i,-0.00032671+0.00035479i,-0.00071037+0.00014195i,-0.00047349-0.00075743i,-0.0001596-0.00041043i,-1.5534e-05+0.00049134i,-0.00030495+0.00075932i,-0.00048702+0.00055312i,-0.00065274+0.00030338i,-0.00083416-0.0005783i,-0.00019805-0.00075989i,-7.0341e-05-0.00023043i,-6.493e-05-5.8386e-05i
-0.0018122-2.1015e-05i,-0.0019156-0.00013445i,-0.0011775+0.00013032i,-0.00067932+0.0010004i,0.00022305+0.0017534i,0.0017355+0.0013862i,0.0020126-0.00039349i,0.0013303-0.001278i,0.00068591-0.00075614i,0.00052578-0.00035821i,0.00025087+0.00010433i,-0.0002466+0.00044632i,0.00012076+0.000614i,0.00083291+0.00057241i,0.0010779+0.00060131i,0.0005083+0.00062293i,0.00039467+0.00068713i,0.00074127+0.00072963i,0.00043201+0.00011753i,0.00040691-0.00039508i,-6.5114e-05-0.0001157i,-0.00043256+0.00010559i,-6.7594e-05+0.0001985i
0.0026504-0.0014728i,0.0033638-0.001921i,0.0025505-0.0018458i,0.0016838-0.00075896i,0.0011082-0.00042904i,0.00045703-0.00085025i,-0.00020847-0.0013704i,-7.514e-05-0.0018577i,-0.00048069-0.0011128i,-0.00036236-0.00011919i,-0.00046863-0.00023203i,-0.0012564-0.0006703i,-0.0013686-0.00059042i,-0.0013038-0.00035114i,-0.0012699+0.00032154i,-0.0012455+0.00075832i,-0.00069814-4.1673e-05i,-0.00045846-0.00062465i,-0.00035305-0.00027633i,0.00014629-3.2176e-05i,0.00034239-0.00050485i,0.00058695-0.00022979i,0.00032889+6.2551e-05i
-0.0013627+0.0034538i,-0.00020095+0.0036671i,0.00088107+0.0026494i,0.00065448+0.00076138i,0.00013003-0.00018431i,0.0010945-0.00034097i,0.0020621-0.00034198i,0.001699-0.00032473i,0.0011726+0.00022428i,0.0011+0.0002212i,0.00034904+3.04e-06i,-0.00040026+0.00020991i,0.00015063+3.0429e-06i,0.0002867-0.00063181i,-0.00053257-0.0004137i,-0.0011055-9.655e-05i,-0.00072548+4.2901e-05i,-0.00031751+8.6318e-05i,-5.1057e-05-0.00028213i,0.00066968+1.3966e-05i,0.00041893+0.00032356i,-0.00011341-7.2864e-05i,-0.00012507+0.00014173i
0.00079431-0.00054204i,0.00098448-0.00078735i,0.00030625-0.00028269i,-0.00016802-0.00029367i,7.2576e-05-0.00037948i,0.00016371+0.00019128i,0.000493+0.00053997i,0.00074925+0.00017276i,0.0011264-0.00014582i,0.00042059+0.00024692i,-0.0008267-0.00030831i,-0.0012084-0.00075638i,-0.00085834+0.00016979i,-0.00027794+0.00069056i,-0.00040429+0.0004216i,-0.00030034+0.00018496i,0.00039251-0.0002016i,0.0005111-0.00021689i,0.00024419+0.00036896i,0.00018598+0.00051261i,-0.00021486+0.00038531i,-0.00049311+0.00036338i,-0.00029596-8.1062e-05i
-0.001081+0.0020633i,-0.0012088+0.0027988i,-0.00071813+0.0026316i,0.00029573+0.0016531i,0.00079167+0.00097076i,0.0017547+0.00051059i,0.0026188+0.00092649i,0.0017086+0.00058596i,0.00062012-0.00027916i,0.00078299+0.00034002i,0.0011663+0.00069269i,0.0011161-1.2183e-05i,0.00022316-0.00026084i,-0.00053773-5.2711e-05i,-1.9498e-05+6.8272e-05i,0.00027774+0.00024815i,-0.00018591+0.0001419i,-0.00022462+7.5529e-05i,-0.00028524-0.00040668i,-0.00035998-0.00013292i,2.252e-05+0.0009363i,0.00014918+0.0012432i,-0.00013274+0.00087465i
-0.00093763-0.00086242i,-0.00064821-0.0006917i,-0.00067347-0.00020681i,-0.00053626-0.00026262i,-4.6224e-05-0.00061093i,0.0012375-0.00080005i,0.001269-0.0015851i,-4.7605e-06-0.0024592i,-0.00044554-0.0018428i,-0.00047859-0.00088905i,-0.00078735-0.0002533i,-0.00096995+0.00079453i,7.8333e-05+0.00087023i,0.001501+6.6063e-05i,0.00083331-0.00049164i,1.7697e-05-0.00028955i,6.1262e-05+0.00058315i,0.00022786+0.00093416i,-0.00023354+0.00054174i,-0.00041006+0.0004732i,-0.00018588+0.00045708i,-0.00028892+2.2442e-07i,-0.00071893-0.00055329i
-0.0022592-0.00024502i,-0.002201+0.0014928i,-0.001969+0.0017001i,-0.0012767+0.00072371i,0.000229+0.001149i,0.0011418+0.0018504i,0.0016621+0.00099599i,0.00054388-0.00066028i,-0.00091594-0.0007599i,-0.0010632-4.9063e-05i,-0.00023012-0.00024505i,0.00055527-0.00017031i,0.00074146+0.00019553i,0.00090283-0.00021701i,0.00011846-0.00030226i,-0.00046336+0.00022752i,0.0001042+0.00035642i,-0.00036986+0.00022176i,-0.0010489-0.00032683i,-0.00034837-0.00055833i,0.00033326+2.6923e-05i,9.0276e-05+0.0004353i,-0.00089484+0.00059847i
0.00087246-0.0029424i,0.00062291-0.0033366i,0.00053897-0.0025858i,0.00017526-0.0019207i,0.00015067-0.001112i,0.00029478-0.00033353i,0.00088107-0.00084724i,0.00061634-0.0011787i,-0.00059959-0.0011959i,-0.00088402-0.00086585i,-0.00052781-0.00060777i,-6.3131e-05-0.00073217i,0.00012754+0.00012219i,0.00010354+0.0016359i,-0.00011149+0.0020301i,0.000149+0.0014081i,0.00061999+0.0001631i,0.00026943-0.00026147i,5.1737e-05+0.00049674i,0.00030572+0.00044458i,0.00084623+0.00014083i,0.00076205+0.00050399i,0.00076472+0.0012323i
-0.0014245+0.00095827i,-0.0012874+0.0025073i,-0.00054432+0.0036236i,-0.00015134+0.0029556i,0.00042245+0.0013373i,0.0011538+0.00039464i,0.00082375-0.00044293i,0.00057248-0.00068934i,-8.0692e-05+0.00014762i,-0.00040985+0.00080162i,-7.2739e-05+4.5957e-05i,3.0758e-05-0.00059364i,0.00046862-0.00010808i,0.0011529+0.00034531i,0.0011658+9.04e-05i,0.00012696-0.00056278i,-0.0004074-0.00097373i,-1.7918e-06-0.00051157i,-0.00043553-0.00017046i,-0.0007309-0.00028133i,-0.00030823+1.7361e-06i,-6.441e-05+0.00065377i,0.00050631+0.00026195i
0.00054665-0.0040571i,-0.0016762-0.0042599i,-0.0031788-0.0031022i,-0.0027166-0.0020517i,-0.0017161-0.0012173i,-0.00085596+8.6208e-06i,0.00055393+2.0874e-05i,0.00083139-0.00070297i,1.8284e-05-0.000728i,-0.00060906+8.3059e-05i,-0.00092789+0.0012468i,-0.00019675+0.0019012i,6.1564e-05+0.0011889i,0.00017788+0.00052408i,0.00074766+0.0007616i,0.0011056+0.00042072i,0.00079029-1.1367e-05i,0.00011452+0.00023938i,-0.00036343+0.00029489i,-0.00015857+0.0002833i,6.076e-05+0.00047136i,-0.00035379+0.00032116i,-0.00055082+0.00041543i
-0.00075672-0.00036213i,-0.00097623+0.00059977i,-0.0011748+0.0017301i,-0.00082711+0.0017266i,-0.00041385+0.0016437i,0.00030222+0.00088708i,0.0014392-0.00040548i,0.0016822-0.0009435i,0.0010157+4.6135e-05i,0.00070889+0.00083628i,0.00064817+0.00097346i,4.6259e-05+0.00084355i,3.7562e-05+0.00036082i,0.0011239-0.0001871i,0.001502-0.0010183i,0.00072506-0.0013753i,0.00025789-0.0011217i,0.00018197-0.00038921i,-0.00032826-0.0003587i,-0.00035265-0.00040262i,-0.00024183-0.00022079i,-0.00010413+0.00031421i,-2.0877e-05+0.00067712i
0.00021855+0.00023211i,-0.0001562+0.0012588i,9.4681e-05+0.0014271i,-5.3428e-05+0.00029113i,0.00053665+2.3355e-05i,0.00093771+0.00062343i,0.00084281-0.00016136i,0.00023761-0.0010493i,-0.0008218-0.00033677i,-0.00084554+6.0904e-05i,-0.00085094-0.00029259i,-0.001142+0.00011507i,-0.00080853+0.00013051i,0.00010513-0.00037484i,0.00014126-0.00026307i,-0.00012888-0.00020735i,0.00079992+4.8295e-05i,0.0016352-9.1102e-05i,0.00169-0.00029959i,0.0010696+7.9648e-05i,8.5848e-05+0.00023403i,0.00020322+5.7059e-06i,0.00024862+8.9279e-05i
-0.00048858-0.00086636i,-0.0010068-0.00049764i,-0.0025207+0.00098539i,-0.0030433+0.0016526i,-0.0016177+0.0018447i,8.6617e-05+0.0016671i,0.0012056+0.00047395i,0.0010988-0.0001669i,-0.00019368-0.0002923i,-0.001034-0.00074885i,-0.00086675-3.6759e-05i,-0.00028642+0.00070672i,-3.0819e-05+0.00049352i,-2.667e-05+0.00039706i,0.00038793+0.00068177i,0.00075662+0.00047802i,0.00045275-3.7175e-06i,0.00057155+0.00041901i,0.00046234+0.00063137i,0.0005368-0.00018697i,0.00046741-0.00057756i,0.00015473-0.00047053i,0.00058569-0.00019778i
-0.00064018+1.2627e-05i,-7.3957e-06-0.00060963i,0.00079783-0.0016562i,0.0012288-0.0022615i,0.0016747-0.001518i,0.0023357-0.00067852i,0.0027948-0.00050558i,0.0019899-0.00077538i,0.00047498-0.00051163i,-0.00012779+0.00036856i,0.00018876+0.00027558i,-5.7307e-05-0.00028273i,-0.00012833-8.5127e-05i,-0.00071392+0.00034711i,-0.0012188-2.1718e-05i,-0.000679+0.0002366i,-0.00048012+0.00063048i,-2.4901e-05-0.00061251i,8.0354e-05-0.000594i,-0.00012712+0.00033985i,-8.0096e-05+2.0571e-05i,0.00081111-4.8926e-05i,0.00071451-3.9075e-05i
-7.6312e-05-0.00055821i,-0.00063117-0.00075422i,-0.0013147-0.00098509i,-0.0017581-0.0010179i,-0.0011782-0.00053125i,0.00022065+0.00013611i,0.0021947+0.00017195i,0.0031728+6.375e-05i,0.0023565+0.00065241i,0.00091726+0.00098225i,0.00021697+0.00043666i,-7.7857e-05-0.00027025i,-0.00025056-4.7927e-05i,-0.00040797+0.00080397i,-0.00033591+0.00059816i,-0.0004207+0.00021858i,-0.00096046-0.00032472i,-0.0012016-0.00075857i,-0.00054112-4.4072e-05i,2.7355e-05+0.0006831i,0.00043902+0.00054393i,0.00041273+0.00017847i,0.00013224+0.00059011i
