-0.0017543+0.0019123i,-0.0018644+0.0010726i,-0.001512+0.00055574i,-0.0011243+0.00017655i,-0.0011772+0.00090993i,-0.0015945+0.0015616i,-0.00067104+0.0014993i,0.00037239+0.0013909i,0.0003081+0.00096481i,0.00028573-0.00021174i,0.000986-0.00088069i,0.0010497-0.00097277i,0.00051246-0.0007882i,-3.783e-05-0.00054589i,4.9772e-05-7.7431e-05i,0.00010795+0.0001024i,-0.00033712-0.00021269i,-0.00011724-0.00040375i,0.00017421-0.00019366i,-0.00017569-0.0002057i,0.00073069+2.9068e-05i,0.0011078+0.00035016i,0.00025039+0.00052131i
0.0010002+4.3711e-05i,0.00055231-0.00015646i,0.00032032-0.0013161i,0.00027384-0.0015105i,-0.0001596-0.00019276i,-0.00074597+0.0007109i,-0.00076108+0.00019348i,-0.0009886-0.00093546i,-0.0010283-0.0016256i,-0.0011561-0.0012842i,-0.00091163-0.00030873i,-8.89e-05+0.00063473i,0.00017523-0.00012269i,3.496e-06-0.00078145i,4.2626e-05-0.00050173i,0.00072232-0.00052838i,0.00088403-0.00036383i,1.2509e-05+0.00046629i,-0.00048499+0.00090248i,-0.00018092+0.00092876i,-0.00030876+0.00065419i,-0.00053525-0.0009276i,0.00029065-0.001609i
-0.00083563+0.0010215i,-0.0004641+0.00046447i,-0.00039017-0.00014351i,0.00022634+0.00072928i,0.0002657+0.00099329i,5.4283e-05-4.0674e-05i,-4.8351e-05-0.00088949i,0.00016533-0.0010085i,0.00066968-0.00084106i,0.00044738-0.00066808i,0.00046127-0.00052696i,0.00053167-0.00064105i,0.00012524-0.00064716i,-0.0003406+4.2737e-05i,-0.00099797+0.00072436i,-0.0009411+0.0012029i,-0.00069516+0.001184i,-0.00089629+7.0279e-06i,-0.00036312-0.00081722i,0.00044865-0.00052997i,0.00024151-0.0001694i,-0.00049608-0.00049159i,-0.00081815-0.00011664i
-0.0020815+0.0021425i,-0.00033702+0.0015361i,0.00063862+0.001031i,0.00024015+0.00028589i,8.2064e-05-0.00042506i,-0.00034503-0.00013985i,-0.001448+0.00045954i,-0.001656+0.0004472i,-0.0011822+0.0005745i,-0.0007731+0.00058936i,-0.00043818-0.00013057i,0.00033707-0.00071424i,-0.00013293-0.00075131i,-0.0014587-0.00043827i,-0.001477-0.00049559i,-0.00076382-0.00047314i,0.00035444-0.00045514i,0.00098543-0.0009181i,0.00058083-0.00090926i,0.00011912-0.00069384i,-1.686e-05-0.00094112i,0.00042671-0.00088354i,0.0005794-0.00029267i
-0.00088606+0.0010406i,0.00031287+0.0010598i,0.0008448+0.0020621i,0.00079992+0.0010297i,0.0013183-0.00044565i,0.001727-0.00052369i,0.00094676-0.00095801i,-0.0004526-0.0014593i,-0.00041746-0.0011578i,0.00056344-0.00064527i,0.00085835-0.00054504i,-0.000216-0.00031006i,-0.00071139+6.1414e-05i,-0.0007363-0.00054128i,-0.00052355-0.00049062i,6.6954e-06+0.0001721i,0.00027754-0.00024234i,0.00050463+9.756e-05i,0.00035628+0.00048857i,-3.9994e-05-9.0072e-05i,0.00058667-9.6673e-05i,0.0012741+0.00024982i,0.0007052-1.6395e-05i
0.00040535-0.00093292i,0.00051429-0.0019466i,-0.00031331-0.0010563i,-0.00082629+0.00015377i,-0.00024533+0.0002547i,0.00017389+0.000246i,0.00016309+0.00065721i,-2.8204e-05+0.00030219i,-0.00017735-0.0010279i,-0.00041291-0.001769i,-0.00063795-0.0013654i,-0.00026707-0.00023431i,-0.0003071+0.0005897i,-0.00020317+0.0010374i,-0.00046486+0.00072107i,-0.00096718+0.00018346i,-0.00097773+0.00043459i,-0.00057869+0.00067842i,-8.6779e-05+0.0007508i,0.00043621+0.00078079i,0.0004125+0.00014207i,9.0271e-05-0.00037419i,-8.3694e-05-0.00046033i
0.0001127+0.00036841i,-0.00032367+3.2809e-05i,-0.00083487-0.00088502i,-0.0003456-0.001671i,6.2654e-05-0.0010397i,-0.00055625+0.00021689i,-0.00025272+0.00072764i,-6.6466e-05+0.00082907i,-0.00070107-0.00024457i,-0.0011386-0.00083154i,-0.00085191-0.00033609i,0.00029245-0.00050228i,0.00070819-0.00072281i,0.00047888+0.00017153i,0.00044005+0.00093545i,-0.00010968+0.00039937i,-0.00063206+0.00013723i,-0.00066181+0.00046427i,-0.00054008+0.00017524i,-1.5612e-05-0.0002068i,0.00030102-0.00014991i,-0.00019905-0.00037413i,0.00021225-0.00038034i
0.00038842+0.0016587i,0.0020074+0.00088936i,0.0023821+0.000443i,0.0012684+0.00068025i,0.00042208+0.000639i,0.00019459+0.00036068i,4.0695e-05-7.4043e-05i,-0.00058138-0.00055293i,-0.00074342-0.00093666i,-0.00048957-0.0010427i,-0.00034011-0.00061599i,-0.00030284-0.00027697i,-0.00022597-0.00026676i,0.00024858+0.00021843i,-4.6817e-05+0.0010088i,-0.00084181+0.001362i,-0.00081522+0.00026735i,-9.515e-05-0.00041958i,-1.3526e-05+3.263e-06i,-0.0008769-0.00022559i,-0.0010716-0.00020198i,-0.00017746+0.00040198i,0.00023526-6.02e-06i
0.00039467-0.00068649i,0.001131-0.0011689i,0.00040582-8.7324e-05i,-0.00080837-1.6774e-05i,-0.00033443-0.00042276i,0.0007073-0.00059366i,0.00029923+0.00060137i,-0.00082031+0.00093686i,-0.0016747-0.00030222i,-0.0023281-0.00052633i,-0.0014831+6.8951e-05i,-0.00095912+0.00091471i,-0.0013134+0.00074337i,-0.0012035-0.0001573i,-0.00017068-0.0004487i,0.00020296-0.00042369i,0.00037562-0.00043191i,0.00068992+5.7442e-05i,0.00018343+5.3973e-06i,-0.00028455-0.00023692i,-0.00023269-1.346e-05i,0.00017039+0.00038243i,0.00020493+0.0005515i
8.9562e-05-0.0011905i,-0.0013711-0.0015851i,-0.0016263-0.0012013i,-0.00051422-0.00053894i,0.00034343-0.00046951i,0.00021362-0.00032316i,0.00017294-0.00017232i,-4.3168e-05+0.00011965i,-0.00055875-0.00012048i,-0.00066366-0.00077018i,-0.00020618-0.00052916i,-0.00011467+0.00034451i,-0.00033052-0.00062687i,-0.0010303-0.0014597i,-0.001274-0.00087964i,-0.00026235-0.00056992i,0.0003813-0.00021759i,-2.2453e-05+0.00046365i,7.401e-06+0.00045176i,0.00064801+0.00014653i,0.00012155-0.00022314i,-0.0003259-0.0001561i,-0.00068234-0.00014669i
0.0012642-0.00115i,0.0010949-0.00065485i,0.0014066-0.00060998i,6.5245e-05-1.8328e-06i,-0.0017241+0.00063331i,-0.0010148+0.0013437i,-5.4674e-05+0.0013296i,-0.00017045+0.00025917i,-0.00039733-0.00096236i,-0.00051472-0.0015115i,-0.00047868-0.0011198i,-0.00045156-0.00080485i,-0.00066782-0.00086946i,-0.00086014-0.00072258i,-0.00059895-0.00013855i,0.000617+0.00049576i,0.00051776+0.00032861i,-0.00074181-0.0003178i,-0.00044813-3.7751e-05i,0.00015972+0.00073698i,5.3082e-05+0.00025311i,0.00032482-0.00043658i,0.00072207+5.3609e-05i
