9.4105e-05+7.1085e-05i,0.00099636-0.0013697i,0.00059393-0.0019239i,-0.00044569-0.0012234i,-0.0028485-0.00042081i,-0.0041291+0.00051054i,-0.0015014+0.00069359i,0.00035005+0.0015398i,0.00097223+0.0014971i,0.0021174+0.00074389i,0.0013378+0.0006318i,2.5637e-05-0.00033644i,-0.00029418-0.0011965i,-0.00037484-0.00062719i,-0.00071613+0.00018184i,-0.00072615+7.1939e-05i,-0.00034915-0.00043625i,0.00052154-0.00055639i,0.0011134-0.00056948i,0.00065967+0.00016483i,0.00014054+0.00084647i,-0.00036012+0.00021818i,-0.0010103-0.00065631i
0.00088263-0.0015407i,0.0011198-0.0015917i,0.00022911-0.0015099i,-0.00024639-0.0018566i,-0.00040847-0.0011013i,-0.0012425+0.00025626i,-0.0015426+0.00078941i,-0.00043428+0.00079066i,0.0013584+0.00024381i,0.0021911+0.00012566i,0.0016459+0.00018927i,0.00020384+0.00024069i,-0.00037559-0.00023008i,-0.0003557+0.00020844i,0.0002819+0.000284i,0.00070082+7.2882e-05i,0.00052723+0.00047572i,0.00031885+0.00017809i,-0.00013973-0.0003379i,-0.00044746+3.9614e-05i,-0.00026317+0.001019i,-0.00029051+0.00049922i,0.00044693+0.00041213i
-0.00047604+0.00021519i,-0.00039408-0.00028186i,0.00055548-0.00074613i,-0.0011444-0.0014904i,-0.0019952-0.0015686i,-0.0013952-0.00072596i,-0.00098682-0.00025186i,-0.00090891+0.00049512i,-0.00044204+0.00077932i,0.00036954+0.00040946i,0.0010917+0.00018525i,0.0012273+6.7651e-05i,1.4322e-05+0.00028192i,-0.0007044+4.5467e-05i,-0.00041195-0.00071132i,0.00022962-0.00045174i,0.00034017-0.00035345i,-0.00041984-0.00044144i,-0.00053505+8.6254e-07i,9.84e-05-0.00014345i,0.00063867-0.0012101i,0.00075687-0.0014585i,0.00041567-0.00039378i
0.0014468-0.00041427i,0.00021876-0.00091345i,0.00059138-0.00011062i,0.000161+0.00011454i,-0.0013391-0.00088465i,-0.0022272-0.0013966i,-0.0015804-5.9543e-05i,-0.00053549+0.00042887i,-4.8119e-05+0.00037252i,0.00052548+0.00046959i,0.0010026+0.00040564i,0.0012978+0.00018364i,0.00093464-0.00025526i,0.00052894-0.00010229i,0.00032649-6.5419e-06i,0.00045466+4.1928e-05i,-1.7662e-05+0.00034608i,-0.00064794+0.00025666i,-0.00016085-0.00044988i,0.00061788-0.00040643i,0.00033571+0.0008348i,-0.00031511+0.0011044i,-0.00012842+0.00019518i
-0.00046698-0.00056762i,-0.0010909-0.00076064i,-0.001029-0.00084806i,-0.0019409-0.00030875i,-0.0027717+0.00092205i,-0.0023541+0.0012765i,-0.0011306+0.0010805i,0.00019385+0.00079165i,0.0010762-6.0946e-05i,0.0010375-0.00031447i,0.00053627-0.00026821i,0.00087547-7.0758e-07i,0.0009136+0.00061056i,0.00024924+0.00079214i,-0.0007531+0.00015002i,-0.00043725-0.00041622i,0.00069987-7.706e-05i,0.00018567+0.00050859i,-0.00052388+0.00014734i,3.4779e-05+8.5826e-05i,-0.00014588-0.00027186i,9.5845e-05-0.00050021i,0.00076691+0.0003481i
0.0028037+0.00051251i,0.0022649-0.00022718i,0.0014703-0.0019526i,0.00052446-0.002249i,-0.0012664-0.0011237i,-0.0019604+0.0011748i,-0.00079365+0.0013493i,-8.5538e-05+0.00025369i,3.3804e-05+0.00031944i,0.00017313-0.00021934i,-7.5024e-05+0.00010422i,-1.4579e-05+0.00089157i,0.0007191+0.00094252i,0.00072811+0.00031107i,0.00014738-0.00024957i,-0.00053028+0.00011984i,-0.00094034+0.00033791i,-0.00039886+0.00051661i,-0.00030567+0.00039676i,-0.00036693-3.3844e-05i,3.6789e-05-0.00011442i,-0.00037394+0.00021847i,-0.00082554+0.00057066i
0.0017752+0.00055258i,0.0012909+0.00028196i,0.00055162-0.000401i,0.00045652-0.00096859i,-0.00016279-0.00096774i,-0.0014296-0.00072186i,-0.0012364-0.00010047i,-0.00036753+0.00023144i,6.7855e-05+0.00020825i,-0.00028616+0.0015011i,-8.2006e-05+0.0022898i,0.00089822+0.002032i,0.001098+0.0011346i,6.7551e-06+0.00050068i,-0.00031039+0.00025145i,8.6753e-06-0.00014656i,0.00032368+0.00019766i,6.2865e-05+0.00027885i,-0.00030915-0.00052946i,-0.00054196-0.0010992i,-0.00013662-0.0010318i,0.00041117-0.00015035i,1.9747e-05+5.6907e-05i
-0.00069922-0.0020586i,-0.001175-0.0026097i,-0.0016486-0.0030039i,-0.0017652-0.002846i,-0.0016648-0.0016681i,-0.0020529-0.00045128i,-0.0023225+9.3487e-05i,-0.00093383+2.9659e-05i,0.0005134-0.00010731i,0.0010622+0.00010962i,0.00083186+0.00077597i,0.00034455+0.00029791i,-9.2108e-05-0.00023363i,-0.00058195-4.0438e-05i,-0.00064409-1.5921e-05i,-0.00070724+0.00022364i,-0.00070042+0.00019726i,-0.00071357-0.00029957i,-0.001346-0.00065923i,-0.00090492-0.00046361i,-0.00017051-0.00025738i,-0.0003961-0.00012128i,-0.00015384-0.00040399i
0.0019704-0.0022723i,0.0018464-0.0013504i,0.0013769-0.001892i,0.00036862-0.0018759i,-0.0013606-0.0012687i,-0.0021965-0.00035324i,-0.00097755+0.00015969i,0.00054933+0.00031723i,0.00072627+0.00020667i,0.00024006+0.00037741i,3.2667e-05+0.00078041i,0.0003961+0.00053604i,0.0010901+0.00014976i,0.0015029+0.0006483i,0.00061851+0.00088038i,-0.0005602+5.9715e-05i,-0.00045529-0.00016937i,-0.00045891+0.00052703i,-0.00093951+0.00042659i,-0.0002277-8.9799e-05i,6.9037e-05-0.00041383i,9.1812e-05-0.00043434i,0.00041654-0.00014789i
0.0012618-0.002527i,0.00079189-0.0026965i,-0.00034283-0.0045363i,-0.0021424-0.00426i,-0.0027031-0.0018504i,-0.0020227-0.00016965i,-0.00077106-0.00025332i,-0.00014233-0.00046081i,0.00018585-0.00078614i,0.00052483-0.0005786i,-0.00017141+0.0001444i,-0.00017668+0.00022133i,0.00029075-3.2515e-07i,-0.00021606-0.00036571i,-0.00044123-0.00039815i,0.00032855+0.00034206i,0.00065799+0.00086934i,0.00076574+0.00091148i,0.00063163+0.00014289i,0.00053979-0.00066033i,0.00082682-0.00068439i,0.00038882-0.00071434i,-0.0001731-0.00052614i
6.1349e-05-0.0010995i,0.0012725-0.0010184i,0.0010961-0.0016839i,-0.00054428-0.0015424i,-0.0010778-0.00057152i,-0.00047052+0.0001041i,-0.00018863+0.0004753i,-0.0001302+0.00045033i,0.00012219+0.0003098i,0.00019771+0.00037606i,-0.00043677+0.00045552i,-2.3568e-05-1.1642e-05i,0.00019228-0.00068917i,-0.00056588-0.00090623i,-0.00087998-0.00060513i,-0.00040624+0.00010698i,0.00039707+0.0006907i,0.00076492+0.00082447i,-2.0307e-05+0.00050977i,-0.0010363-0.00023707i,-0.00086052-0.001378i,-0.00024583-0.00096979i,-0.00084548+0.0006334i
0.00043164-0.00043652i,0.0014173-0.0003512i,0.0013005-0.00081046i,0.00047498-0.0012112i,-0.0012739-0.002013i,-0.0023181-0.0017i,-0.0019059-0.00062625i,-0.00096887-0.00010241i,0.00010681+0.0008057i,0.00099234+0.0016117i,0.00075036+0.00062563i,-2.0085e-05-3.8142e-05i,0.00022763-0.00025368i,0.00076979-0.0001208i,0.00057297+0.00050831i,0.00044761+0.00059518i,0.00026499+0.00046404i,-0.00038797+0.00030017i,-0.00055138-0.00025529i,-0.00044054-0.00094371i,-0.00069073-0.00038884i,-0.00031819+0.0002661i,0.00069575-0.00012012i
-0.00035731-0.0012488i,-7.4386e-05-0.0017433i,-2.3593e-05-0.001455i,0.00029021-0.00099801i,-0.00068227-0.0012157i,-0.0015043-0.0011734i,-0.00089331-0.00058451i,0.00022039+7.8455e-06i,0.0010013+0.00042397i,0.00098378+0.0011892i,0.0010451+0.0016141i,0.001027+0.0014995i,0.00049497+0.0012053i,-4.8944e-05+0.0014776i,-0.00021766+0.0010407i,-0.00039458+1.9268e-05i,-0.00060026+4.76e-05i,-0.0004525+0.00024207i,-0.00021087-0.00019723i,0.00037712-0.00011926i,0.00057296+0.00010865i,0.0005002-0.00063066i,0.00093684-0.0016316i
0.00096367-0.00066212i,0.00077444-0.00087318i,0.00089757-0.0014428i,9.1075e-05-0.0020427i,-0.0014035-0.0021075i,-0.002488-0.0011327i,-0.0017878-0.00044117i,-0.00033909-0.00043238i,0.000464-0.00057579i,0.0010668-0.00030018i,0.0010195-2.3935e-06i,0.00093401+0.00027051i,0.00054397+0.0011061i,0.00028811+0.0014672i,0.00053646+0.00097604i,0.00074053+0.00067171i,0.00058506+0.00041295i,0.00012924+0.00042963i,0.00014208+0.0004994i,0.00043094+2.3703e-05i,0.00057181-0.00029115i,0.0004645-0.00021878i,0.00026126-0.00045385i
0.00090504-0.0017723i,0.0011156-0.0013987i,0.0002899-0.00027453i,-0.0004572-0.0001037i,-0.0013399-0.00063688i,-0.0018047-0.00062354i,-0.00093102+0.00063285i,-0.00040175+0.00079803i,-0.0004771+0.00011287i,-1.2509e-05-5.1369e-05i,0.00029992-2.9492e-05i,9.6617e-05-0.00051182i,0.00034834-0.00039204i,0.00022296+0.0007831i,0.0003381+0.0007645i,0.00054957-0.00023806i,0.00064244+0.00011225i,0.00033378+0.00031025i,-1.233e-05-0.00061188i,-0.00011516-0.0010835i,-0.00056633-0.00031844i,-0.00079938-0.00013693i,-0.00040071-0.00062703i
0.00029231-0.00024286i,0.00037835-0.000695i,8.8602e-05-0.0020074i,-0.00023114-0.0020317i,-0.0013327-0.0016147i,-0.0020112-0.0006308i,-0.0016147-0.00064102i,-0.001002-0.00048331i,-0.00015655+0.00052224i,0.00046489+0.00066286i,3.1183e-06+4.5923e-05i,-0.00037728-0.00039632i,3.9219e-05-0.0002505i,0.00082109-0.00023989i,0.0004771-0.00015401i,-0.00047362+0.000185i,-0.00049207-0.00028518i,0.00025176-0.0010671i,0.00085796-0.0012438i,0.0004044-0.00013675i,-0.00040395-0.00028708i,-0.00043201-0.00072235i,-0.00064029-0.00070275i
0.0017704-0.0017527i,0.0018408-0.00094083i,0.0013165-0.0014555i,-0.00020453-0.0023199i,-0.001829-0.0020358i,-0.0017217-0.0011645i,-0.00057612-0.00027476i,-0.00032939+0.00015919i,-0.0010267+0.00041707i,-0.0016365+0.00087032i,-0.0011759+0.00039896i,0.0005079-0.00042945i,0.00079753-0.00032768i,-0.00051367-0.00060064i,-0.00049665-0.00065878i,0.00047358-0.0005339i,0.00029183-0.00087256i,-0.00012546-8.7124e-05i,1.1254e-05+0.00086855i,0.00073272+0.00039546i,0.001288-0.0008471i,0.00042957-0.0015206i,-0.00075165-0.00092163i
0.0006676+0.00021729i,0.00046421+0.00029188i,0.00067376+0.00022922i,0.00030504-0.00055666i,-0.0004195-0.0009233i,-0.0010793-0.00030862i,-0.0011402+0.00038075i,-0.001127+0.00038725i,-0.00087328+0.00065592i,-0.00045425+0.001016i,0.00016351+0.00095745i,0.00076573+0.00060112i,0.00097383+0.00029928i,0.00066527+0.00013221i,-0.00017733-0.00010907i,0.00043439+4.4895e-06i,0.00035431+0.00070892i,-0.00016216+0.00055628i,0.00036489-0.00018883i,0.00050276-0.00038364i,-0.00042925-0.00043592i,-0.0010559+0.0001076i,-0.00032965+0.00071248i
-0.0010573-0.00040725i,-0.00087194-0.00047506i,-0.0010738+3.5677e-05i,-0.00040524-5.7607e-05i,-0.00041148+0.00014043i,-0.00059765+0.00052823i,8.4841e-07+0.0003899i,0.00063576+0.00018447i,0.00058897+0.00063235i,0.00028617+0.0013401i,0.00022231+0.0010554i,0.00056617-0.00043364i,3.9529e-05-0.00035447i,-0.00075908+0.00061i,-0.000994+0.00096824i,-0.00035706+0.00019333i,-0.00023159-0.00083817i,-0.00079823-0.0013454i,-0.00074085-0.001012i,-0.00020726-0.00046565i,0.00035304-0.00050757i,0.00020641-0.00021617i,-0.00048128+0.0006664i
0.0010324-0.00014388i,0.00061464-7.2097e-05i,-0.00031885-0.0002358i,-0.00070722-0.00021558i,-0.00072168-0.00154i,-0.001137-0.0016414i,-0.00014363-0.00075438i,0.00074871-9.2734e-05i,0.00066196+0.0003063i,0.00024571+0.00050566i,-0.00027142+0.00061307i,8.3456e-05+0.00047776i,0.0003499+0.0010662i,-4.3036e-05+0.00071385i,0.00013385-0.00027445i,-0.00020764+0.00013173i,-0.00073314+9.7696e-05i,-0.00012934-0.00088964i,0.00013841-0.00092933i,-0.00020508-0.0010122i,-0.00019724-0.0014687i,0.00022608-0.00089884i,0.00038888+2.2828e-05i
0.00064291+0.00081356i,0.0023399+6.7651e-05i,0.0025424-0.0013101i,0.0012615-0.0018078i,-0.00074991-0.001886i,-0.0024148-0.0012613i,-0.0020169-0.00071283i,-0.00046938+0.00025058i,0.00038115+0.00087902i,0.00092141+0.00057319i,0.0012524+0.00052666i,0.0011081-0.00023907i,0.00079319-0.00064319i,0.00037964+3.3391e-05i,0.00011679+0.0002469i,-0.00033559+3.5916e-05i,-0.00046705+0.00015664i,-0.00017528-0.0001594i,-6.227e-05-0.00030292i,0.00014168-0.00010356i,0.00051084-0.00089974i,0.00049858-0.0011086i,0.00020089-0.0001234i
-0.0036405+2.9318e-05i,-0.0043571-0.00019402i,-0.0047578+0.00095757i,-0.003431+0.0012534i,-0.0015149+0.00033761i,2.0607e-06-0.00013874i,0.001024-0.00029748i,0.00078728+0.00015666i,-0.00026435+0.0010759i,6.1852e-05+0.00095107i,0.00079714-1.4301e-05i,0.00071836-0.00032055i,0.00054165-0.00022169i,0.00035136+0.00023771i,-0.00018049+0.00085524i,-0.00076181+0.001251i,-0.00061472+0.0012869i,-0.00014978-0.00025996i,0.00030703-0.0011161i,0.00015129-0.00037493i,0.00032228+0.00015725i,4.6893e-05-1.5799e-05i,-0.00021111+0.00018188i
