-0.0018012+0.00040463i,-0.0018073+1.9882e-05i,-0.0014944+0.00080352i,-0.0011768+0.00030653i,-0.0018623-0.00058502i,-0.0027366-0.0007069i,-0.0021602+2.2899e-05i,-0.00018091+0.00072764i,0.0011565+0.0012805i,0.0013452+0.001311i,0.00073232+0.00073642i,0.00020171+9.5143e-05i,0.00060454-8.2313e-05i,0.0010966+0.00030012i,0.00010651+0.00073557i,-0.0010126+0.00050691i,-0.00091821-0.00038705i,-0.00020578-0.0007027i,1.1476e-05-0.00066038i,-0.00040945-0.00048512i,0.00030697+0.0003465i,0.00044937+9.0343e-05i,2.9587e-05-0.00084677i
-0.0017574+0.00085662i,-0.0015766-0.00023733i,-0.00036512+0.00029534i,0.00062099+7.9281e-05i,0.0014042-0.0012724i,-5.9862e-05-0.0015372i,-0.0015999-0.00085972i,-0.0013221-0.00019084i,-0.00067542+0.0004719i,0.00011532+0.0003996i,0.00064135-0.00028582i,0.00052996-0.00048928i,0.00010589-0.00053882i,-1.961e-05+0.00021545i,0.00089724+0.00066486i,0.0014902-0.0001747i,0.0013043-0.00047937i,-0.00014254-0.00025548i,-0.0004869-0.0004835i,0.00021415-0.00038267i,-4.1322e-05+6.5181e-05i,-0.00041155+0.00025092i,-0.00059481+1.3394e-05i
-0.0015801+0.0019625i,0.00034829+0.00147i,0.0014582+0.0018704i,0.00091682+0.00047401i,0.00023071-0.0013298i,-0.00077867-0.0013525i,-0.0014842-0.0012171i,-0.0013333-0.00094615i,-0.00073973-0.00021732i,0.00010312-0.00022291i,0.0010566-0.00028144i,0.00034667-4.9174e-05i,-0.0007432-0.00076867i,-0.00018476-0.0014376i,0.00031688-0.0012076i,-0.0001746-0.00057759i,-0.00022616+0.00051969i,-5.3855e-05+0.00055512i,0.00013395-0.00035064i,0.00074854-0.00077236i,0.00063488-0.00077718i,0.00080538-0.0004958i,0.00039978+0.00010002i
-0.0013954+0.0014926i,-0.0019031+0.00047166i,-0.0010115-0.00056056i,-0.00016725-0.00087079i,-0.00052242-0.0017611i,-0.001468-0.0028886i,-0.0020565-0.0020623i,-0.0015022-0.00055782i,-0.00030034+0.0006801i,0.00015566+0.00065647i,0.00012901+0.00018418i,0.00050125-3.5557e-06i,0.00083071-0.0001623i,0.00080629+0.00012226i,0.00035468+0.00017065i,-9.0926e-07-0.00018365i,-0.00024022-3.2447e-05i,0.00060937+0.00087502i,0.00068159+0.00059145i,-0.00028461-6.1871e-05i,-0.00027149-0.00035425i,6.4954e-05+0.00014653i,1.5086e-05+0.00048478i
0.00018568+0.00046302i,-0.00054529+0.00029351i,-0.00065204+0.00024508i,-0.00061506+0.00048505i,-0.0011909-0.00076322i,-0.0020931-0.00087977i,-0.0017456-0.00028422i,-0.00077514-0.00046859i,0.00048304+0.00010035i,0.0014235+0.00025712i,0.00082636-0.00026568i,0.00063663-0.00020422i,0.0007798+0.00055015i,0.00068296+0.0010931i,0.00075673+0.00083736i,0.00088044+0.00070342i,0.00097127+0.00019072i,0.00055964-0.00011809i,-0.00018644+0.00035033i,-0.0008806+0.00018523i,-0.0014988-0.00071343i,-0.0016623-0.0011537i,-0.00026567-0.00093074i
0.00037812-0.00089629i,-0.00032012-0.00095522i,0.00027784-0.0012929i,0.00092087-0.002042i,-0.00079875-0.0016714i,-0.0019474-0.0017114i,-0.0013531-0.0018893i,-0.00055099-0.0014398i,0.00024625-0.00054856i,0.0004583-0.00030432i,0.00082143-0.0013042i,0.00080362-0.0018207i,0.00040967-0.0014086i,6.9146e-05-0.0005164i,0.00015602-0.00038602i,0.0006673-0.00052109i,-1.6087e-05+0.0001775i,-0.00040813-8.74e-06i,0.00031277-0.00045562i,0.00066641-0.00044978i,0.00054965-0.00063164i,0.00058295-0.00097429i,0.00073549-0.00025593i
0.00081797+0.002405i,-8.4756e-05+0.001521i,-0.00042105+0.00069617i,-0.00059447-0.00059326i,-0.00067385-0.00098556i,-0.0012553-0.0012662i,-0.0019838-0.0014004i,-0.0019168-0.00018936i,-0.0010471-5.1432e-05i,-0.00027981-0.00038895i,0.00036817-0.00026832i,0.0002458-3.5254e-05i,0.00056003-0.00018577i,0.00082924-0.00011297i,0.00019676+0.00010166i,-0.00038635+0.00060984i,-0.00078864+0.00031532i,-0.00067936-0.0008174i,0.00031547-0.0006672i,0.0007291+0.00016878i,0.00016221+0.00016156i,-0.00038326+0.00025848i,-0.00052031+0.00026992i
0.00026558-0.00014929i,-0.00063318+2.019e-05i,-0.0007775-0.00052497i,-0.00034249-0.00061734i,-0.00024585-0.00068481i,-0.0010942-0.0012314i,-0.0012146-0.00052757i,-0.00047139+0.00036399i,-0.00020392+0.00024577i,-3.7446e-05-0.00034417i,0.00057817-0.00043898i,0.00086435-8.9257e-05i,-5.4814e-05+7.1416e-06i,-0.0005858-0.00012288i,-0.00045109+0.00028086i,0.00028302+0.00032063i,0.00080133+0.0011151i,0.0004322+0.0018492i,-2.1862e-05+0.00068133i,-5.5758e-05+0.00043817i,-0.00041804+0.00084559i,-0.00094528+0.00029265i,-0.00048055-0.00012141i
-0.00026326+0.0027539i,0.00015594+0.0026925i,0.00049025+0.0022588i,0.00014247+0.00077066i,6.8894e-05-0.00049646i,-0.00099082-0.00092115i,-0.0014066-0.0006858i,-0.00060244+5.0737e-05i,-2.42e-05+0.00047294i,0.0010128+0.00020643i,0.00098452-4.9481e-05i,0.0007271+0.00023742i,0.0013348+1.7101e-05i,0.0014241+0.00015252i,0.00021208+0.00074439i,-0.00038232+0.0007895i,0.00019012+0.00019732i,0.00021588-0.00074553i,0.00024984-0.00043544i,-0.00012277+0.00043469i,-0.00072312+0.00060293i,-0.00067928+0.00073849i,-0.00021442+0.0008422i
0.0011-0.0012645i,0.0010291-0.00040217i,0.00085321-0.00097418i,-0.00045533-0.0020186i,-0.0015415-0.0023523i,-0.0026337-0.002101i,-0.0023484-0.0012504i,-0.00046809-0.00086978i,0.00014663-0.00074934i,-0.00077137-0.00031264i,-0.00064905+7.5429e-05i,0.00026833-0.00057386i,0.00022175-0.0010833i,-0.00024388-0.00085991i,8.5242e-05-0.00042193i,0.0004711+0.00013277i,0.0007745+0.00051378i,0.00057203+0.00066716i,-0.00013867+0.00030089i,-0.00085821+0.00044581i,-0.00093152+0.00062263i,-0.00044512-0.0002511i,0.00040109-0.00023714i
-0.00021394-0.00020464i,-0.0015119+0.00068646i,-0.0023382-0.00036574i,-0.001827-0.0012715i,-0.0018435-0.001552i,-0.0019876-0.0021495i,-0.00193-0.0018026i,-0.0017934-3.3118e-06i,-0.00074224+0.00078279i,-8.2208e-05+0.00071387i,-0.00059028+0.00084045i,-0.0005197+0.00037707i,-0.00010205-5.3799e-05i,-0.00019973-0.00033605i,-0.00016276-0.00064073i,5.5537e-06-0.00038112i,-6.7941e-05+0.00067411i,-0.000513+0.00087159i,-0.00082109+0.00027399i,-0.00036699-0.00037582i,-0.00047986-0.00019368i,-0.00045704-0.00021113i,0.0001711-0.00088439i
0.00057307-0.0015324i,1.0445e-05-0.0014877i,-0.00088319-0.0010507i,-0.0021546-0.00059654i,-0.0023112-3.4225e-05i,-0.0025461-6.6787e-07i,-0.0021729-0.00062054i,-0.00098063-0.0005551i,-0.0011954-0.00032953i,-0.0014815+0.00021234i,6.997e-06+0.00038587i,0.00083655-0.00031931i,0.00059623-0.000576i,0.000603-3.044e-05i,7.7927e-05-3.6824e-05i,0.0002536-0.00066053i,0.00041897-0.00063907i,-0.00043476-0.00022676i,0.00017142-0.00079827i,0.00064991-0.00071293i,0.00049758-0.00011089i,0.00011744-0.00014823i,6.2683e-05+0.00041181i
0.0017132+0.00094721i,0.0016191-9.9523e-05i,0.001407-0.0012778i,0.00041029-0.0018669i,-0.0013553-0.0020149i,-0.0028715-0.0026473i,-0.0030185-0.0023373i,-0.0019944-0.001097i,-0.0001855-0.0001432i,0.00050415-8.8343e-05i,0.00041477+2.1781e-05i,0.00092085-0.00017427i,0.00023024-0.00053656i,-0.00053653-0.00099648i,-0.00056874-0.0010493i,-0.00025597-0.00070856i,-0.0001719-0.00045706i,-0.00030085+2.088e-05i,-0.00010818+0.00089384i,-0.00011836+0.00057397i,-6.0966e-05-2.905e-05i,-0.00030892-0.00028056i,-0.0002096-0.0008127i
-0.00017375+0.00035871i,-0.00010374+0.0003977i,-0.00072914-2.6173e-05i,-0.0015394-0.00029841i,-0.0013367-0.00084351i,-0.0015798-0.001294i,-0.001558-0.0012181i,-0.0012238-0.00056349i,-0.0011084-0.00016868i,-0.00039195-0.00063436i,0.00042802-0.00042201i,-0.00028612+0.00053828i,-0.0010104+0.00048789i,9.6171e-05-0.00016854i,0.00027434-0.00029053i,-0.00020377-0.0003459i,0.00021747+0.00016217i,-0.00019937+0.00033675i,-0.00049284+0.00021044i,-4.2856e-05+0.00053107i,0.00034668+0.00040067i,5.0011e-05-0.00015285i,0.00030737-0.00043245i
-0.00015445-0.00049688i,0.0008906-0.00081559i,0.0010533+0.00012046i,0.00040295+0.00064154i,-5.3083e-05-0.00034237i,-0.00083712-0.0016663i,-0.0017141-0.0017061i,-0.001414-0.00079056i,-2.6394e-05-1.263e-05i,0.00095763+0.00033265i,0.0011743+0.00033596i,0.0012241+0.00043065i,0.00065173+0.00050921i,0.00020611+0.00026537i,0.00044895+0.00028973i,0.00062793-7.8944e-05i,0.00057253-0.00062236i,0.00017759-0.00073501i,0.00019423-7.8654e-05i,0.00020359+0.00061105i,0.00016594+0.00071823i,6.0836e-05+7.8552e-05i,-0.00036688+4.3385e-06i
