-0.002901-0.00015594i,-0.0030369+0.00012288i,-0.002876+0.00044233i,-0.0018512+0.00054845i,0.00088939+0.0010009i,0.0021669+0.0012763i,0.0016148+0.0012216i,0.0011685+0.0013001i,0.0010466+0.0012502i,0.00053688+0.0011002i,8.1633e-05+0.00061395i,-0.00021374-0.00024137i,0.0002281-0.00040128i,0.0012155-7.2249e-05i,0.0012401-0.00086576i,0.00091981-0.00092061i,0.00027179-0.0003003i,-8.2949e-05-0.00045522i,0.0005342-0.00045933i,0.00034866-0.00028373i,-6.4852e-05-0.00011535i,0.00040749-5.069e-05i,0.00099717+0.00056901i
0.0015803-0.00055789i,0.00069773-0.0001061i,-0.00094916-7.7169e-05i,-0.0016967+0.00041557i,-0.00060597+0.00087914i,0.0010352+0.0016663i,0.0019907+0.0012654i,0.0021411+2.3788e-05i,0.0010022-0.0002434i,-0.00025803-0.00043456i,-0.0003219-0.00040835i,-0.00040684+0.00013936i,-2.963e-05+0.00012712i,0.00035301+0.00010029i,-0.00087274+0.00051428i,-0.0010351-0.00016715i,-0.00051121-0.00069296i,-0.00050968-0.00019676i,0.00017873-9.3045e-05i,0.00078384-0.0001128i,0.00075818+0.00046381i,0.00050496+0.00044806i,0.00050312+0.00049298i
0.00057209-0.00061249i,0.0011517-0.0014954i,0.0017572-0.0017029i,0.001232-0.00017656i,0.0003703+0.0013354i,0.00044693+0.0010791i,0.0010685+0.00046902i,0.00055526+0.00021753i,-0.00036097+0.00014373i,-0.00034304+0.00042573i,-0.0004273+8.0547e-05i,-0.00036499+0.00019117i,0.00034482+0.00087445i,9.5792e-05+0.00101i,-0.00047071+0.00072468i,-0.00047551+0.00024137i,-0.00029341-0.00023292i,-4.0404e-05+2.9256e-05i,-5.3115e-05-0.00013583i,-0.00031913-0.0003007i,-0.00082986-0.00038323i,-0.00065143-0.00015034i,-0.00073382+0.00053648i
-0.0008804+0.0022681i,0.00094189+0.0026454i,0.00056642+0.0023457i,-0.00078784+0.0010839i,0.00016107-0.00013607i,0.00083121-0.00035093i,0.00034341-0.00056193i,-0.00023333-0.0014755i,0.00011143-0.0018578i,0.00053192-0.0012149i,-6.8278e-05-0.00094244i,-0.00048085-1.6997e-05i,-0.00040996+0.00064747i,-0.00066259+0.00041025i,-0.00042526+0.00057101i,5.3837e-05+0.00036124i,0.00046908+0.00037585i,6.5377e-05+0.0004548i,-0.00067094+0.00030491i,-1.5079e-05-0.00049115i,6.2503e-05-0.00080105i,0.00019582-0.0002302i,0.00047832+0.00038509i
-0.001047+0.00080379i,-0.001356+0.00064925i,-0.00066086-1.6668e-05i,0.00047814+0.00023165i,0.0011672+0.00076794i,0.0012659+0.00074264i,0.0011814+0.00017538i,0.00064087-0.00059153i,-0.00025463-0.00093621i,-0.00046059-0.00037401i,3.8772e-05-0.00045679i,0.00033543-0.00082912i,0.00010352-8.5286e-05i,9.9821e-05+0.00020012i,1.1316e-05-0.00066519i,-0.00038911-0.00061019i,-0.00032698+0.0001397i,-0.0004563-1.5315e-05i,-0.00036584-0.00061751i,-5.1549e-05-0.00043238i,-0.00026106+0.00033199i,-0.00063069+0.00044384i,-0.00031285-0.00075054i
-0.00071232+0.00042048i,0.00031172+0.0010695i,0.00093704+0.00014943i,0.00064068-0.00049936i,0.00094374-5.8097e-05i,0.0021509+0.00074733i,0.0020235+0.00027443i,0.00046367-0.00071876i,-0.00020161-0.00059268i,4.5493e-05-7.8296e-05i,0.00012108+0.00020108i,-9.6744e-05+3.345e-05i,-4.9917e-05-0.00030155i,0.00046753-0.0009574i,0.00057281-0.00021655i,0.00021736+0.00072275i,-0.0001606+0.00011631i,-0.00020325-0.0002083i,-0.00028541-0.00029107i,-0.0007016-0.0014408i,-0.0003636-0.001988i,0.00040616-0.0002101i,0.00094247+0.00067518i
-0.00087742-0.0017508i,-0.0010804-0.00088572i,-0.0014686+0.00071315i,-0.0010214+0.0013747i,0.0002653+0.0011436i,0.0012066+0.0011597i,0.00066881+0.0011914i,0.00027619+0.00068753i,-0.00022987-0.00011781i,-0.00081311+0.0006395i,-0.0005347+0.0011008i,0.00015026+0.00042006i,0.00033442-0.00079729i,-6.7819e-05-0.0016041i,-0.00065115-0.0012323i,-0.00026673-0.00058978i,0.00021355+0.00025376i,0.00022344+6.7117e-05i,0.00075719-0.00089222i,0.00077878-0.00021694i,0.0006181+0.00016889i,0.00085228-0.00032445i,0.00028928-0.00031804i
0.001484+0.0001977i,0.001195-0.0001754i,0.00049559-0.00042004i,-0.00066606-0.00069755i,-0.00017218-2.8368e-06i,0.00091155+0.00061276i,0.00053745+0.00041927i,0.0001757+0.0002605i,-1.577e-05+0.00013246i,2.1615e-05-0.00011985i,-0.00024083-0.00022131i,-0.00051652-0.00053409i,0.00025542-0.0005788i,0.0001945+0.00055964i,-0.00021975+0.0006341i,0.00019848+0.00062326i,-0.00012432+0.00059433i,-0.00070957-6.0763e-05i,5.8552e-05-0.0001263i,0.00036324-0.00070195i,0.001004-0.00058062i,0.00064816+0.0002494i,-0.00044279+0.00049353i
-0.0015458+0.0015607i,-0.00088243+0.0015424i,0.0012389+0.0015431i,0.0016752+0.0015012i,0.0008201+4.8261e-05i,0.00028621-0.0018378i,-2.822e-05-0.001899i,0.00027653-0.0013128i,-7.4582e-06-0.0011354i,-0.00037124-0.00085606i,5.4424e-05-0.0006351i,0.00060134-0.00026577i,-0.00010309-0.00042312i,-0.0012039-9.6184e-05i,-0.0011853+0.00040155i,-0.00055452+0.00051718i,-0.0003593+0.0001143i,-0.00083732+0.00049956i,-0.00046105+0.00025727i,-0.00022685-0.00084952i,-0.00026554-0.00041998i,-0.00052295+0.00082195i,-0.0012392+0.0002778i
0.0003898-0.00079357i,0.00022698+0.00040865i,0.00068592+0.00073858i,0.0010066+0.00046373i,0.000762+0.00011726i,0.00099234+0.00060641i,0.00046923+0.00079486i,-0.000355-4.1847e-05i,-0.00050467-0.0003444i,-0.0004871-0.00040069i,4.045e-06+0.00033071i,0.00026817+0.00093901i,0.00060647+0.0004508i,0.00027223+0.00028861i,-0.00041553+0.00026893i,-0.00042229+0.00026066i,-0.00067684-7.1094e-05i,-0.00080888-0.0003474i,-0.00044713-0.00035072i,-0.00071051-0.00050143i,-0.0012183-0.00099839i,-0.001261-0.00069131i,-0.00097004+0.00072437i
-0.0011445-0.0013179i,-0.0015619-0.0021022i,-0.0016274-0.0016454i,-0.0019873+0.00020857i,-0.0015444+0.0011302i,0.00037998+0.0012988i,0.0014381+0.00069609i,0.00064744+0.00015835i,-0.00049702+0.0002214i,-0.00049644+0.00032563i,-0.00021844+0.00027318i,-0.00024382-0.00043265i,0.00075485-0.00031222i,0.0011842-7.5488e-05i,0.00069062+0.00015021i,-9.6142e-05+0.00089722i,-0.00014023+0.00081409i,3.1196e-05-0.00016338i,-0.0010664+0.00017905i,-0.0012281+0.00042632i,-0.00080406-0.00013568i,-0.0010302-0.00066053i,3.4319e-06-0.00029758i
