-0.0025124+0.0024081i,-0.0019411+0.0023404i,-0.0020422+0.0027157i,-0.0020311+0.0024406i,-0.0015226+0.0027743i,-0.00080011+0.0023705i,-0.00045654+0.0013123i,-0.00044421+0.00098204i,0.0003883+0.001584i,0.0012128+0.0016155i,0.0016583+0.00011982i,0.0014441-0.00067338i,0.0012383-0.00086004i,0.0003289-0.0013762i,-0.00067748-0.00099685i,-0.00065942+0.00028915i,0.00044851+0.00083991i,0.001026+0.00065047i,0.00070851+0.00012929i,0.00023975+1.2127e-05i,0.00023243+0.00014042i,0.00015222+0.00074932i,-0.00046893+0.00089982i
-0.00079579-0.00060283i,-0.00035712-0.0002625i,-0.00037821+0.00027841i,-0.00159+0.00090516i,-0.002868+0.0012354i,-0.0016748+0.0014411i,-2.9001e-05+0.00080991i,-0.00021642-0.00078537i,-0.00076796-0.00091791i,-0.00072966-0.00013043i,-0.00044661-0.00040216i,-0.00025642-0.00055336i,0.00035634-3.1297e-05i,0.00053925-0.00029441i,0.00014541-0.00018541i,-0.00054247+0.0003056i,-0.00044803+0.0001418i,-0.00044825+0.00037979i,-0.00018555+0.00063941i,0.00016251+0.00020234i,-0.00034667+0.00032762i,-0.00032198+0.00098846i,-5.1537e-05+0.001026i
0.0006798-7.8311e-06i,0.00094377-0.0015243i,0.0008277-0.0015847i,-0.00031539-0.0011181i,-0.0015493-0.00036468i,-0.0011845+0.00090298i,-0.00033028+0.00077594i,-0.0008053-0.00042031i,-0.0017374-0.0010062i,-0.0023606-0.00077237i,-0.0026291-0.00083158i,-0.0020959-0.00052932i,-0.0013038-0.00012368i,-0.00065235-9.2298e-05i,-0.00037537-0.0002646i,0.00011497-0.00053296i,0.00074536-0.00037955i,0.00056792-0.00048083i,0.00024405-0.0010148i,0.00098989-0.00057266i,0.00081397+0.00036593i,-0.00030703+0.00075165i,-0.00075388+0.00061856i
-0.00068837-0.0013331i,-0.0011114-0.00052977i,-0.0022538-0.00072934i,-0.003354+0.00050553i,-0.0034099+0.0027039i,-0.0027469+0.0029178i,-0.0013656+0.0012116i,-0.0010458+0.00038006i,-0.0012223-0.00055408i,-0.0006643-0.0010373i,-0.0004174-0.00054191i,-0.0006737-0.00016148i,-0.00089724+0.00024253i,-0.00027742+0.00010565i,0.00078246-0.00028748i,0.00090526+7.0503e-05i,0.00092126-0.00022693i,0.0010778-0.00080282i,0.00040418-0.00089738i,-0.00066138-0.00013488i,-0.00071125+0.00057546i,0.00058117+0.00068303i,0.00092157+0.00019348i
0.0010029+0.00088897i,0.0012721+0.0006405i,0.0011896-0.00049401i,0.0013028-0.0010089i,0.00022556-0.00033258i,-0.0011573-0.00029219i,-0.0016354-0.00054685i,-0.00143-0.00018444i,-0.00092232-0.00034391i,-0.00033504-0.00076886i,-3.6866e-05-0.00073231i,0.00054217-0.00029862i,0.00033296+0.00024857i,-0.00056262+0.00040055i,5.1783e-05+0.00050573i,0.00090977+0.00045122i,0.00060092+0.00089903i,0.00022557+0.0012403i,0.00046616+0.0012561i,0.00036999+0.00064683i,0.00013414+0.00033265i,0.00051652+0.00079732i,0.0010569+0.00040048i
-0.00071579+0.0031777i,-0.00035593+0.0019536i,0.00061589+0.0014667i,0.0019013+0.001119i,0.0027555+0.00045065i,0.0015509-0.0002666i,-0.00036773-0.00083833i,-0.0014478-0.0010013i,-0.0014378-0.00083362i,-0.0008173-0.0011694i,-0.00048578-0.001285i,-0.0002687-0.00073397i,0.00011628-0.00084146i,-0.00039377-0.0012524i,-0.00076638-0.00094673i,-0.00022673-2.7178e-05i,-0.00019496+0.00028899i,-0.0002454-6.3249e-05i,4.5876e-05-7.4133e-05i,8.1758e-05+0.00014046i,-1.5092e-05-0.00020874i,0.00017597-0.00063585i,0.00039079-0.00037847i
0.001365-0.0004311i,0.0014103-0.001283i,0.00074894-0.0019087i,-0.00055382-0.0018622i,-0.0018172-0.001261i,-0.0022559-0.00019021i,-0.0010073+0.00061279i,0.00064705+0.00030411i,0.0004151-3.2268e-05i,0.00018191-0.00040317i,-0.00046787-0.0016159i,-0.0011089-0.0019491i,-0.00078265-0.00097669i,-0.00069238-0.00098492i,-0.00023543-0.00096363i,0.00053999-0.00037389i,0.0013565-0.0003913i,0.0016737-0.00022062i,0.0014048-0.00019995i,0.00027868-0.00019372i,6.9885e-05-0.00071684i,0.00080864-0.0014393i,0.00036607-0.0014158i
-0.00036008+0.00053195i,4.7124e-05+0.00059406i,-0.00027165+0.00044794i,-0.0011+0.00039557i,-0.0014588+0.00050282i,-0.00095883+0.001359i,-0.0013056+0.0015224i,-0.0020704+0.0014081i,-0.0021647+0.00050932i,-0.0020177-0.00068193i,-0.00097692-7.0198e-05i,-0.00018206+0.00098965i,-0.00074783+0.00093723i,-0.00099336+0.00080935i,-0.00034303+0.00079782i,0.00017274+0.00050686i,0.00047502-0.00021521i,-0.00019762-0.0005951i,-0.0003857-0.00050897i,0.00060955-0.00027127i,0.00038729+1.5766e-05i,0.00010656+0.0003628i,0.00027575+0.0011329i
-0.00098986+0.0010115i,-0.00049974+0.00060661i,-0.00017233+0.00076818i,-0.00018253+0.0017184i,-0.00059925+0.0020201i,-0.00016053+0.0013636i,0.00033797+0.00097836i,-5.6372e-05+0.00084313i,-0.0012338+0.00012999i,-0.0015976-0.0005161i,-0.00085607+0.00015224i,0.00015342+0.00055479i,0.00032154-0.00021549i,-0.00028532-0.0011792i,-0.00059134-0.0010938i,-0.00061379+0.0004831i,-0.00035198+0.0010139i,0.00016596-2.7092e-05i,0.00025985-0.00042597i,-3.3467e-05-0.0004302i,8.6516e-05-0.00030844i,0.00025882-0.00033165i,3.597e-05-0.00093856i
0.0015319+0.00019326i,0.0014075-0.00051416i,0.0015754-0.0011928i,0.00089167-0.001059i,-0.00025361-0.00095571i,-0.001048-0.00036274i,-0.0011096+0.0010297i,-0.00070461+0.00090262i,0.00024507-0.00033069i,0.00052435-0.0011263i,-0.0013404-0.00070504i,-0.0029597-0.00061996i,-0.0022966-0.00078522i,-0.0012944-9.816e-05i,-0.0011936-5.0482e-05i,-0.00045423-0.0005363i,0.00018743-0.00067301i,9.4466e-05+2.2388e-05i,0.00084128+0.00022783i,0.0013095-0.00015135i,0.00065855-0.00018605i,0.00032146+1.3464e-05i,0.00059757+0.00010248i
-0.00096417+0.0010331i,0.00012577+0.00079008i,0.00048698+0.00076717i,0.00040648+0.0011633i,-0.00043173+0.0014568i,-0.00055276+0.00061258i,-0.00064233-3.5372e-05i,-0.0011151+0.00048428i,-0.0014398+0.00022806i,-0.0011048-0.0012846i,-0.00016878-0.002449i,0.0004046-0.0021873i,-0.00013644-0.001694i,-0.00078552-0.00057998i,-0.0005303+2.8763e-05i,0.00016482-0.00010584i,0.00037574-0.00077924i,1.6047e-05-0.00072119i,4.934e-05+0.00045276i,-0.00012751+0.00059427i,-0.00031576+2.1336e-05i,0.00044269-6.22e-05i,0.0003884+0.0005686i
