-0.0012466+0.0012536i,-0.00098189+0.0019146i,-0.0019467+0.001632i,-0.0027032-3.3645e-05i,-0.002527-0.00091105i,-0.0017175+0.00030518i,-0.00047456+0.0016758i,0.00086493+0.0018444i,0.0017984+0.0015608i,0.0018758+0.00074633i,0.00178+0.00082856i,0.0010489+0.0007483i,8.7444e-05+0.00017188i,-0.00026846+0.00017623i,-0.00056002-0.00018398i,-9.0609e-05-0.0006704i,0.00020225-0.00055221i,0.00054259-0.00027024i,0.00028397-0.0001572i,-0.00036001-0.00014409i,-0.00017449-0.00011726i,-0.00022237-1.0532e-05i,-0.00041146-0.00060412i
0.0001881+9.8851e-06i,0.00064577+0.00040096i,0.0008069-2.8093e-05i,0.00061717-9.5048e-06i,0.00013267+0.00010147i,-8.5872e-05-0.00050114i,0.00047142-0.00015006i,0.00073182+0.00086868i,0.00086542+0.0014604i,6.6321e-05+0.0012505i,-0.00015595+0.00063277i,0.00029986+0.00032902i,0.00026216-0.00014359i,0.00015999-0.00018298i,-0.0001478-0.00073098i,-0.00016312-0.0010681i,-0.00026212-0.0005833i,-0.00021104+0.00026563i,0.00026435+0.00083864i,0.00040406+0.0010138i,0.0004675+0.0010993i,0.0002219+0.00048676i,-0.00045502+6.1688e-05i
8.8622e-05+0.00039497i,-0.00017276-0.00037428i,-0.0003017+0.00040143i,-0.00087016+0.0013866i,-0.0005846+0.0010064i,0.00051773+0.0010761i,-0.00025538+0.00031248i,-0.00051304-0.00064929i,0.00028902+0.00032004i,7.5957e-05+0.0015372i,-0.00046512+0.00072917i,-0.00022734+0.00034947i,0.00077446+0.00032727i,0.0013536+7.9205e-05i,0.00047209+0.00051669i,-0.00043862+0.0004404i,-0.00098746+0.00027135i,-0.00080725+0.00018591i,0.00052341-0.00053774i,0.00072698-0.00042756i,0.00044727+0.00035066i,-0.00025028+0.00051295i,-0.00069648+0.0003994i
0.001051+0.0023431i,0.0016704+0.0031055i,0.0015932+0.0018325i,0.0007669-0.00042159i,-7.5272e-05-0.001916i,-0.00052381-0.0010941i,-9.1566e-06+0.0009446i,0.00046809+0.0014886i,0.00058428+0.00058305i,0.00048273-0.0002677i,-0.0001675-0.00012793i,-0.00042474+0.00033292i,0.00021759+0.00030577i,0.00015474-0.00027255i,8.1933e-05-0.00050854i,-0.00038924+4.8148e-05i,-0.00073576+0.00076436i,-0.00098171+0.0010088i,-0.00070903+0.0005855i,4.5099e-06+0.00016806i,7.5585e-05-1.2885e-05i,-5.6189e-05+0.0006737i,-0.00020757+0.0011127i
-0.00034269+0.0013988i,-0.00033142+3.2469e-05i,0.00024213-4.776e-05i,0.00032673+0.00033114i,0.00027243+0.00025113i,-0.00012988+0.0003753i,-0.00058398+0.00064044i,-0.0010989+0.00046596i,-0.0011453+0.00080628i,-0.00074783+0.00068889i,-0.00028606+0.00088091i,0.00017457+0.0011233i,1.9801e-05+0.000755i,-0.00040126-0.00014627i,-0.00039971-0.00059898i,3.9444e-05-4.3281e-05i,0.00031253-0.00021583i,9.6633e-05-0.00035123i,-0.0006488+0.00032641i,-0.00123+0.00041891i,-0.001335+0.00017805i,-0.00034151+0.00054837i,0.00078543+0.0004247i
0.0012033+0.00038482i,0.00049583+0.000382i,0.0016753+7.5755e-05i,0.0015496-0.00081225i,0.00039132-0.0017314i,-0.00035104-0.0011757i,-0.00035441-0.00025503i,0.00010251-0.00023816i,0.00063756+2.1368e-05i,0.00067716+0.000666i,0.00059707+0.00047771i,0.00048736-0.00011733i,0.00026888-0.00044306i,0.00037813+2.5824e-05i,8.2912e-05+6.5322e-05i,-0.00010767-0.00016432i,0.00031471+0.0001719i,0.00061978+0.00018801i,-0.00029184+4.9168e-06i,-0.00068362-2.1035e-05i,-4.16e-05-0.00035904i,0.00054122+0.00013089i,-5.1105e-05+0.00085781i
0.00016629-0.0011586i,0.0011966-0.00048234i,0.00091153+0.00066645i,-9.6652e-05+0.00060603i,-0.00042788-0.0003399i,-1.4216e-05-0.00019403i,0.00026057+0.00029093i,0.00029568+0.0010285i,7.9804e-05+0.001848i,2.7113e-05+0.00085218i,0.00029983-0.00028073i,0.00037736+0.00027409i,0.00013037+0.00033315i,5.5852e-05-0.00032443i,0.00015184-0.00059563i,0.00048478-0.00070089i,0.00040645-0.00091582i,0.00046735-0.00154i,0.00061594-0.001465i,0.00024969-0.00057689i,-0.0003124+0.00012722i,-4.119e-05+0.00010465i,-0.00022096-0.00024654i
0.00083383+0.0017974i,-0.00049786+0.001694i,-0.0012859+0.0006794i,-0.00080755-0.00020297i,-0.0011942-0.0015559i,-0.0014293-0.0012668i,-0.00056493-4.9487e-06i,0.00017037+0.00095807i,0.00068985+0.0018431i,0.0011205+0.00078755i,0.00078314-9.4308e-05i,-0.00066197-0.00044773i,-0.00039204-0.00032344i,0.0011205+0.00025332i,0.00096513+0.00019169i,0.00024007-0.00021941i,0.00053462-0.00059274i,0.0007517-0.00044306i,0.00088847-0.00023236i,0.0011349+0.00018472i,0.00063008+0.00011247i,0.00015701-0.00027624i,-5.5209e-05+0.0002794i
-2.1371e-05-0.0010803i,-7.1359e-05-0.00039778i,-0.0003439-0.0007026i,-0.00026007-0.0013897i,-0.00024545-0.0008643i,0.00024364+0.00018442i,0.0014238+0.0015559i,0.0011326+0.0020978i,-1.1097e-05+0.0015632i,-0.00045146+0.0012016i,-0.00048107+0.0010548i,-0.00055126+0.00028497i,-0.00057202+6.1757e-05i,-0.00015899-0.00015481i,-0.00036253-0.00039734i,-0.00024785+0.00022024i,0.00060221+0.00050605i,0.0012223+0.00071218i,0.001078+0.00058621i,0.00032591+0.00044466i,0.00045227+0.00064869i,0.00020525+0.00049587i,-0.00015015+0.00014548i
-0.00095449+0.0012818i,-0.00069659+0.00018138i,0.00085452-7.2432e-05i,0.0017651+0.00051756i,0.00129+0.0013424i,0.000304+0.0012077i,-0.00097106+5.6514e-05i,-0.00061019+3.7391e-05i,0.00066646+0.0003176i,0.00069865+0.00027558i,-0.0002675+0.00014572i,-0.00059083-0.00054247i,0.00017588-0.00062653i,0.00055253-0.00025671i,0.00061271+0.00036201i,0.00064145+0.00052056i,0.00063536+0.00045767i,0.00043777+5.9751e-07i,-0.00029263-0.00053543i,-0.00054837-0.00045627i,-0.00054596-0.00010188i,-0.0003871+0.00026494i,-0.00042076+0.00031528i
-4.3235e-05+0.00023247i,0.00082248-0.00048761i,0.00024057-0.00070049i,0.00017601-0.00047955i,0.00049484+0.000268i,0.0004587+0.00053181i,0.00079044+0.00070852i,0.0012101+0.0013147i,0.00094115+0.00071021i,0.00025625-0.0001628i,-0.00075122+0.0002318i,-0.0012234+0.00036824i,-0.0005764+2.7081e-05i,0.00043026-0.00059376i,0.0011542-0.0005883i,0.0008702-0.00030436i,0.00012176-0.00021853i,-0.00035769-1.6874e-05i,-0.00061659+0.00040347i,-0.0005314+0.00036006i,-0.00044121+0.00019741i,-0.00040327+6.6856e-05i,-0.0006433-0.00010938i
0.00022553+0.0010366i,-0.00038112+0.00069574i,-0.0011253-5.8627e-05i,-0.00064562-0.00031281i,-3.3109e-05-0.00034477i,-0.00031907-0.00059343i,-0.00011527-0.00031543i,0.00030453+0.00070233i,-0.00013762+0.0011958i,-0.00023539+0.00018502i,-0.00045576-0.00050459i,-0.0006149-0.0003766i,-0.00049958-0.00031164i,-0.00024162-6.2752e-05i,0.00024345+0.00029635i,5.7178e-05+0.00035927i,-0.00038512+0.00029799i,-0.00020823+2.6038e-05i,-1.6057e-05-0.00010676i,0.00015732+0.00016583i,0.00031454+0.00032012i,0.00048907+0.00074319i,0.00070386+0.00064557i
-0.0015351+1.0335e-05i,-0.0022914-0.0007263i,-0.0012805-0.00035134i,0.00023679-0.00040821i,0.0008285-0.00059337i,0.00046442-0.0008795i,0.00077859-0.00074486i,0.0012807+0.00075236i,0.0010216+0.0016688i,0.00037981+0.0017559i,0.00033863+0.0011085i,0.00051753+0.00065824i,0.00033575+0.00035003i,0.00051059+1.7766e-05i,0.00039788-0.00016511i,-0.0010907-0.00011266i,-0.00097716-0.00016606i,-0.00086727-0.0002584i,-0.0011272+0.00032763i,-0.00030901+0.0007816i,0.00025709+0.00018599i,2.0598e-05-0.00053196i,9.2373e-05-0.00051335i
0.00013533+0.0014797i,0.00045643+0.00077475i,0.00099945+0.00039i,0.00067505-0.00012951i,8.2131e-05-0.00067114i,-0.00045667-0.00089175i,-0.00037488-0.00047232i,0.00049674+0.00092927i,0.0017914+0.0022331i,0.0016783+0.0019306i,0.00048475+0.0012716i,0.00035192+0.00088324i,0.00073447+0.00038673i,0.0005467+0.00046041i,-0.00023167+0.00022618i,-0.00059767-0.00064245i,-0.0005666-0.00086107i,-0.00060311-0.00063085i,-0.00022643-0.00066618i,-6.9649e-05-0.00020797i,-0.000194+0.00040465i,-0.00032325+0.00042463i,-0.00015988+0.0002445i
-0.00039263-0.0016984i,-0.00048066-0.0015332i,-0.0004581-0.0016342i,-0.0011587-0.00086511i,-0.0013293-1.1936e-05i,-0.00017887+0.00086984i,0.00029329+0.0013103i,0.00016729+0.0010897i,-0.00012608+0.00019892i,-0.00033017+0.00037677i,-0.00084167+0.00070562i,-0.00051526+0.00049742i,0.00040906+0.0010534i,-0.0002474+0.0010154i,-0.00076022+2.5697e-05i,0.00052277-0.00036705i,0.00080393-0.0002153i,0.00056625-0.00012664i,0.00064654-0.00022758i,0.00050799-0.00046578i,9.209e-05+9.1294e-05i,-0.00032551-9.9159e-06i,-0.00030065-0.00076298i
0.00014011-0.00073297i,0.0008996-0.00059273i,-0.00059176+9.889e-06i,-0.0012403+0.00081866i,-0.0005625+0.0010829i,0.00041565+0.0010688i,0.00048996+0.0010551i,0.00018965+0.0013023i,2.6015e-05+0.0017112i,-7.0754e-05+0.0013308i,-0.000171+0.00079496i,-0.0007667-7.3362e-06i,-0.00097321-0.00090731i,-0.00015747-0.00070676i,0.00012154-0.00035128i,-0.00019819-0.00094438i,-8.482e-05-0.0014623i,0.00055129-0.00060599i,0.00015066-0.00022327i,-0.00037366-0.00055259i,0.00013032+0.00030274i,4.2586e-05+0.00015601i,-4.3308e-06-7.4014e-05i
-0.00036525+0.00086944i,-0.00055439+0.00044077i,5.533e-05-0.00044915i,0.00043213-0.00066826i,0.00046827-0.00018393i,0.00049247+0.00021466i,-0.00016421+0.00043528i,-9.5537e-05+0.00075258i,0.00024016+0.0012173i,-0.00014738+0.00094772i,-0.00051375+0.00074265i,-0.00077297+0.00038856i,0.00033567-0.00014078i,0.00087883+0.00037038i,0.00021825+0.00035569i,-0.00016886+0.0001091i,-0.00066225-3.6156e-06i,-2.4608e-05-0.00013762i,0.00070454-0.00025406i,0.00097848-0.00039524i,0.00035366+0.0002468i,-0.00010939+0.00029261i,-4.514e-05+4.7537e-05i
0.0020905-0.00080285i,0.00094993-0.0013041i,2.5065e-05-0.0011456i,-0.00037678-0.0013193i,-0.001684-0.0013775i,-0.0018975-0.00045847i,-0.00052358-0.00037778i,-1.346e-05+0.0001978i,2.0773e-05+0.00074137i,9.9243e-05+0.00060336i,-0.00017086+1.7268e-05i,-0.00039409+0.00013633i,0.00022938-6.5409e-05i,0.00072234-0.00074049i,0.00063643+9.6427e-06i,0.00087405+0.00027229i,0.00049659-7.9883e-05i,0.00014962+0.0003929i,0.00076528+0.00015097i,0.00065543+9.4102e-05i,-0.00024088+0.0002833i,-0.00042806+0.0004495i,-0.00027699+0.00028377i
0.001117+0.00018066i,0.0016111+0.0010364i,0.00075048+0.00055434i,0.00010175-0.00074796i,-0.00041695-0.00029804i,-0.00038281+0.00062323i,-0.00048571+0.00088596i,-0.00076437+0.00063449i,0.00020367+0.00036284i,0.00088133+0.00016211i,0.00043799-0.00011912i,0.00021545+0.00034062i,-0.00015916+0.00045888i,-0.00039537+0.00017511i,-0.00011898-0.00025898i,0.00018141-0.0001356i,6.8584e-05+0.00025059i,-0.00036645+0.00037535i,-0.00031521+0.00026504i,-0.00013981+4.753e-05i,9.0537e-06+7.1031e-05i,0.00039696-7.0102e-05i,0.00043284+0.00019694i
3.7653e-05-0.00064092i,6.8774e-05-0.00030695i,0.00030494+0.00019477i,1.3522e-05+0.0010649i,-9.947e-06+0.00069035i,-0.00019685+0.00023774i,-0.00062354+0.00091491i,-0.00029926+0.0019643i,5.824e-05+0.0024456i,-0.00023779+0.001199i,-0.0004937-0.00035372i,-2.8022e-05+0.00012497i,-0.00026958+0.0002866i,-0.00079768-0.00061113i,6.8859e-05-0.00099708i,0.00062714-0.00078368i,0.00048864-0.00074415i,0.00022478-0.00057713i,-9.6392e-05-2.1808e-05i,-8.9047e-06+3.7625e-05i,0.00030181-0.00041704i,0.00060151-0.00053636i,0.00034607+0.00047468i
0.00011994+0.0016125i,4.2819e-05+0.00061472i,0.00031977-0.00089958i,0.00029955-0.0024381i,3.5836e-05-0.0028031i,-0.00028004-0.0018685i,-0.00029686+3.9372e-05i,-1.3542e-05+0.0010935i,5.7033e-05+0.00049908i,8.3176e-06-0.00011974i,-0.00028751+0.00074388i,-0.00045471+0.0013381i,-0.0004838+0.00078629i,-0.00024668+0.00048468i,0.00033679+0.00019206i,0.0008831-8.8271e-05i,0.00052391-4.1608e-05i,0.00015223-4.5473e-05i,-0.00012819-0.00012437i,-0.00026711+0.00010705i,-0.00029144+0.00029151i,0.00086935+0.00063945i,0.0012463+0.00084831i
-0.0013689+0.00077811i,-0.00095508-0.00018711i,-0.00027854-0.00031825i,-5.6386e-05-7.2271e-05i,0.00043259+0.00021113i,-0.00018135+0.00052407i,-0.0010213+0.0012449i,-0.0011444+0.0018962i,-0.00052484+0.0014005i,0.00012504+0.00057672i,-0.00067978+3.8852e-06i,-0.00044391-0.00043363i,0.0002474-0.00027514i,0.00020834+0.0006169i,0.0003326+0.00071037i,0.00058633-0.00020955i,0.00041169-0.00083477i,0.00058371-0.00085366i,0.00044321-0.00020162i,-0.00018796+0.00035645i,-8.0333e-06+0.00037245i,-6.0628e-05+0.00030307i,-0.00013296+0.00055628i
0.0010242+0.0024999i,0.0011499+0.0026815i,0.0017489+0.0013132i,0.0018362+0.00013954i,0.00063011-0.00058709i,-0.00044477-0.0005162i,-0.00027993-0.00047945i,-0.00024511+0.00018264i,-0.00040632+0.00043497i,-6.2655e-05-0.00034976i,-0.00024272-0.00030752i,-0.00064759+0.00014941i,-0.0001715+0.00052505i,-3.3855e-05+0.00050697i,0.00031032+0.00025517i,0.00068644+9.0695e-05i,0.00023113+0.00019393i,0.00033545-9.7217e-05i,0.00094387-0.00041968i,0.00065883-0.00014916i,0.00036107+0.00045661i,0.00028763+0.00053618i,3.3941e-05-0.0002837i
-0.0025425-0.00077612i,-0.00045559-0.0020543i,0.00071003-0.00064578i,0.0011793+0.00042515i,0.00138-2.07e-05i,0.0011101-0.001109i,0.00072518-0.00085673i,0.00053338+0.00083138i,0.00087688+0.0020623i,0.00084397+0.0011932i,6.9973e-05+0.00029855i,-0.00037484+3.0648e-05i,-0.00033274+0.00014658i,-0.00086432-0.00017278i,-0.0014153-0.00064343i,-0.0010389-0.00017204i,-0.00041187+0.00032079i,-5.0426e-05+0.00012346i,-0.00045538-6.0269e-05i,-0.00062784+0.00021425i,0.0002583+5.6693e-05i,0.00026214-0.00032734i,-0.00022389-0.00055241i
0.00044554+0.0011835i,0.00028334+0.0013712i,-0.00024629+0.002021i,-0.00031595+0.0015956i,-0.00029932+0.00068755i,-0.00016652+0.00080652i,-0.00032899+0.0012655i,-0.00042784+0.00041394i,-0.00037334-7.9264e-05i,0.00023925+0.00021091i,0.00078557+0.0004803i,0.00059074+0.00035199i,0.00022244-0.00024161i,0.0001981-0.00094313i,-2.5603e-05-0.00064512i,9.0097e-06-0.00029471i,0.00023369-0.00061049i,-4.7528e-05-4.3863e-05i,-0.00025646+0.00042358i,-0.0012269+8.2749e-05i,-0.0016799-0.00061266i,-0.00058299-0.00050291i,0.00061221-7.5532e-05i
0.00030024+0.00086845i,0.0005562+0.00076527i,0.0017093+0.00040136i,0.0015399-0.0011121i,0.00062259-0.0020344i,7.5624e-05-0.0010564i,-0.00035166+0.0011756i,-0.00055946+0.00199i,0.00038859+0.0013075i,0.0013899+0.00064394i,0.0011108+0.00069598i,1.7728e-05+0.00054548i,-0.00051012+0.00021022i,-0.00058167+0.00065264i,-0.00072401+0.00014445i,-0.0007691-0.00081464i,-7.0904e-05-0.00078987i,0.00059531+0.00034063i,0.00098397+0.00099618i,0.00082281+0.0010468i,0.00014+0.00047741i,0.00042053-6.3608e-05i,0.0010769-0.00021274i
0.00061429+0.0013929i,0.00034319+0.0010914i,6.7477e-05+0.00038812i,0.0010484-0.00019968i,0.0012585-0.000574i,0.00033178-0.0007762i,-0.00081397-0.00061588i,-0.0012502+0.00041543i,-0.00035139+0.0013518i,0.00082542+0.0010167i,0.0012847+0.00038695i,0.00049971+4.9164e-06i,-0.00041631+0.00064679i,-0.00050635+0.00043712i,0.00027697-3.1877e-05i,0.0008626+0.00062053i,0.00092697+0.0007748i,0.0010162+1.8174e-05i,0.00018886-0.00045134i,-0.00062297+4.7889e-05i,-0.00044776+0.00057522i,-4.5055e-05+0.00085647i,0.0008926+0.00054858i
5.2175e-05+0.0011093i,-0.00022278+0.0024904i,-0.00062386+0.0019827i,-0.00045087+0.0015568i,-0.00056171+0.0013534i,-0.0015844+0.00051561i,-0.00095782-0.00026831i,0.0011739-0.00046459i,0.0015797-0.0005037i,0.00088884-0.00014157i,0.00051438-0.00014444i,0.00036729-0.00044758i,0.000669-4.0681e-05i,0.00083611+0.00095549i,6.4946e-05+0.0014409i,-0.00054662+0.0010636i,-8.901e-05+0.00056318i,0.00034652+0.00050611i,0.00018132+0.00044634i,0.00018968+0.001058i,-0.00012525+0.0011393i,-0.00083351+0.00031847i,-0.00038297+0.00024083i
0.00026386-0.002574i,0.00071212-0.001744i,0.00063722-0.0013834i,0.00020897-0.0013547i,0.00058223-0.0012356i,0.0008125-0.0010898i,3.6382e-05-0.00020794i,-3.3916e-05+0.00065867i,0.00070757+0.0015293i,0.0011563+0.0013751i,0.0011013-0.00016014i,0.00081777-0.00059301i,-7.5452e-05-0.00059769i,-0.0010479-0.00038414i,-0.0010261+0.00038984i,-8.9663e-05+0.00021168i,-0.00016832-0.00012629i,-0.00022754-0.00033157i,-0.00057747-0.00029369i,-0.00045602-4.2289e-05i,-0.00028491-8.8946e-05i,-0.00044308+0.00030935i,0.00035815+0.00078546i
0.00017679+0.001665i,-1.6261e-06+0.0010103i,-0.00019742-0.00035187i,-0.00039927-0.00073477i,-0.00064945-4.7482e-05i,-0.0012591+0.00064314i,-0.00076789+0.001061i,-0.0003051+0.0010702i,-3.293e-05+0.00050829i,0.00066322+0.00044164i,9.0261e-05-0.00015787i,-0.0012095-0.00095324i,-0.001173-0.00075277i,-0.00025361-0.00021824i,-0.00026775-7.7174e-05i,-0.00054562-9.3343e-05i,-0.00053974+0.00045421i,-0.00015478-5.7197e-05i,6.3335e-05-0.00028384i,-0.00043231+5.5886e-05i,-0.00090009-0.00045998i,-0.00095301+7.1758e-05i,-7.9175e-05+0.0011548i
-0.00024396-0.00099239i,0.0018187-0.00038966i,0.0024646+0.00028746i,0.0026254+0.00016017i,0.0021852-0.00053346i,0.0015046-0.0010078i,0.00048073-0.00072955i,3.8911e-05+6.4461e-05i,0.00019054+0.00076055i,2.615e-05+0.00094449i,6.4679e-05+0.0007721i,-4.6407e-06+0.00040493i,0.00038147-0.00012985i,0.00015042-0.0005446i,-0.00045131-0.0013331i,-0.00024162-0.0017733i,3.3227e-05-0.0015797i,0.00067036-0.0012814i,0.0010539-0.0013864i,0.00066359-0.0011019i,-0.00015961-0.00049266i,-0.00054034-0.00038707i,-0.00035467+0.0004337i
0.00068263+2.7067e-05i,0.00012971+0.00034465i,-0.0004825-0.0013802i,-0.00028194-0.0018188i,-0.00034417-0.00099542i,-0.00089353-1.8559e-06i,3.1358e-05+0.00089666i,0.00070009+0.0012903i,0.00031785+0.00080251i,-0.0004664+0.00065525i,-0.00058299+0.00086864i,-0.00049528+0.00064509i,2.0214e-05+0.00023288i,0.0016165-0.00049257i,0.001314-9.1028e-05i,0.00071066+0.00051912i,0.00095738+0.0001586i,3.0272e-05-6.7269e-05i,-0.00049034+0.00032519i,-0.00048622-5.5563e-05i,-0.00024602-0.00029411i,0.00028503+0.00020121i,-3.4156e-06+0.00017061i
0.00090153-0.0020588i,0.00081892-0.0018007i,-6.9633e-05-0.0010504i,-0.00063553-0.00016824i,-0.0007067-0.00023437i,-0.0010115-0.00024001i,-0.00024683+0.00018467i,-3.0347e-06+0.000301i,-0.00036233+0.00064088i,-0.00037644+0.00016167i,-0.0014479+5.511e-07i,-0.0017596+0.00045633i,-0.0012144+0.00023026i,-0.00036999+0.00043854i,0.00020769+0.00011687i,7.6295e-06-0.00070541i,-0.00012625-0.0010995i,7.194e-06-0.001019i,-1.2936e-05+0.00010423i,-0.00028209+0.0011624i,-0.00094335+0.00067599i,-0.00086463+3.892e-05i,-0.00035334+0.00016817i
0.00099992+0.0034631i,0.0011861+0.001727i,0.0015093+0.00041514i,0.0014854-0.00071429i,0.0011701-0.0010847i,0.00042813-0.0012357i,-0.00035517-0.00033785i,-0.00032152+0.00091476i,-0.00014025+0.0012784i,-7.6551e-05+0.00066892i,0.00020192+0.00021442i,-0.00024611+0.00029618i,-0.00061795+0.00051611i,-0.0002891+0.00024854i,-0.00069081-0.0002376i,-0.0010946-0.00037752i,-0.0003536-0.00039199i,4.7339e-05-0.00027316i,-0.00015214+0.00017654i,-0.00029795+0.00080242i,0.00033823+0.00095845i,0.00078359+0.00059689i,0.00047382-7.1274e-05i
-0.00089799+0.00018227i,-0.0010899-0.00015314i,-0.0017276-0.00024299i,-0.0025533-0.00059809i,-0.002358-0.0013095i,-0.0018166-0.00024826i,-0.00094432-0.00042057i,-0.00039936-0.00017942i,-0.00063625+0.0011974i,-0.00064252+0.00099365i,-0.00077609+0.0011312i,-0.0006396+0.00085004i,0.00023166+0.00023825i,0.00073176-0.00016864i,0.00043848-0.0004814i,-0.0001025-0.00036798i,0.00013643-0.00014499i,0.00010357+0.00018526i,-0.00095278+0.00063025i,-0.00092839+9.7256e-06i,0.00038906-0.00010185i,0.00065216+0.00073451i,0.00012793+0.00081742i
-0.00077547+0.00040208i,-0.00032945+0.0010071i,0.00028004+0.0013683i,0.00037756+9.9095e-05i,0.00064298-0.00088236i,0.00072427-0.0002823i,0.00073392+0.0005769i,-0.00030238+0.0010685i,-0.00092893+0.00083948i,-0.00034914+0.001214i,2.516e-05+0.0013977i,-8.8814e-05+0.00082908i,-5.9055e-05+0.00065143i,0.00016651+0.00015026i,0.0004785-0.00030479i,0.00050664-0.0006138i,0.00017138+0.0003473i,0.00017276+0.0005301i,0.00010231-0.00020501i,-0.00081703-0.00040912i,-0.00085432-0.00056148i,0.00032232-0.00068952i,0.000246-0.00050671i
0.00060381-0.000258i,0.00077889-0.00054305i,0.00077866-0.00014145i,0.00088707+0.00098692i,0.000821+0.0016478i,-8.4234e-05+0.0002414i,-0.00030786-0.00018801i,0.00040117+0.00067226i,0.00074816+0.00080154i,0.0011194-0.00019545i,0.00090543-0.00035617i,0.00010304+0.0005025i,0.00026541+0.0007634i,0.00052822+0.00038508i,6.2392e-05+9.0113e-05i,-0.00035632+0.00049393i,-0.0004045+0.00084206i,0.00010131+0.00098344i,0.00030014+0.00088255i,0.0001296+0.00050665i,0.00011411+0.00062449i,-2.1121e-05+0.00014741i,0.00037631-0.00083696i
4.8264e-05-0.002355i,0.0009136-0.00095772i,0.00019126-0.0003177i,-0.00049561+0.00055013i,-0.00030978+0.0008067i,0.00066815+0.0010675i,0.0011057+0.0006968i,0.0010239+0.00035204i,-1.5232e-05+0.00090882i,-0.00045392+0.00099445i,-0.00043662+0.00050053i,-0.00091598+0.00035059i,-0.00026523+0.00071348i,0.00068858+0.00086662i,0.00089973+0.00048258i,0.000643-9.4223e-05i,0.00047533-0.00035396i,0.00020865-0.000223i,4.4182e-05-0.00035546i,-0.00075961-4.8143e-05i,-0.000789+0.0001592i,9.5366e-05+0.0004875i,0.00063387+0.00071044i
-0.00033959-0.00014655i,-0.0024652-0.00047593i,-0.0027256-0.0003029i,-0.0014904-0.00065404i,0.00014276-0.0014308i,0.00032823-0.0012869i,-0.0002081-0.00050758i,9.9693e-05+0.00088516i,0.00060135+0.0016571i,-0.00016574+0.0010705i,-0.00072103+0.00026132i,-0.00099701+0.00051943i,-0.00079625+8.8124e-05i,0.00048716-0.00031914i,0.00056991+0.00052782i,-0.0004105+0.0004686i,-0.00063144-0.00038321i,-0.00031077-0.00099451i,0.00011982-0.00065976i,0.00047334-0.00081849i,-1.3771e-05-0.0010041i,-7.7543e-05-0.00021502i,0.00081233+0.00053281i
