0.0015807+0.0018282i,0.0013062+0.001482i,0.00064571+0.0011742i,-0.00024729+0.00070565i,-0.0012775+0.0007276i,-0.0019965+0.0014959i,-0.0013151+0.0019106i,-0.00065005+0.0020603i,5.9036e-06+0.0015812i,0.00086518+0.00055112i,0.0012933-0.00021342i,0.00082429-6.7937e-05i,0.00034317-0.00024357i,0.00049518-0.00035564i,0.00029972+0.00032797i,-0.00029482+0.00016991i,2.6755e-05-0.00014079i,0.00074863+2.7951e-05i,0.0008855+9.3986e-05i,0.00057749-0.00017505i,0.00021318-0.00061445i,3.714e-05-0.00083448i,9.6845e-05-0.00084375i
-0.00067886+0.00052544i,-0.0001407+0.00011727i,0.00025555+0.0010924i,0.0012542+0.0023629i,0.0014096+0.0026382i,0.0012378+0.0024925i,4.9991e-05+0.0022823i,-0.00065893+0.0023637i,0.00032299+0.0023387i,0.00083749+0.00199i,0.00093309+0.0014323i,0.00067611+0.0012615i,0.00028087+0.00034853i,0.00052042-0.00051168i,0.00054971-2.9352e-05i,0.00069669+0.00047196i,0.00066681+0.00047073i,0.0003275+0.00041958i,-0.00011657-0.00072466i,-0.00015333-0.0013934i,4.9863e-05-0.00081691i,0.00013057-3.6684e-05i,-0.00016079+0.00033569i
0.00046337+0.00063087i,-3.3001e-05+0.0013367i,-0.0005314+0.0019257i,-0.00062445+0.001511i,-0.00080628+0.00096642i,-0.00099123+0.00066736i,-0.00038964+0.00021637i,0.00024072-1.111e-05i,0.00050707-4.2596e-05i,0.00052325+0.0005469i,0.00032404+0.00080023i,-6.2674e-05+0.0011788i,2.3527e-05+0.0012148i,0.00024808+0.00047871i,-1.8677e-05+2.9652e-05i,9.6209e-05-0.00050941i,0.00027101-0.00020844i,-0.00016163-0.00011216i,-0.00031984-0.00047379i,-0.00097884-0.00036178i,-0.00095645-0.00019305i,0.00046222-0.00013153i,0.00070605+0.00043347i
0.0015273-0.00062862i,0.001248-0.00030625i,0.00028311+0.00023768i,-0.00064402+0.0006187i,-0.00066613+0.0015834i,9.8898e-05+0.0019889i,0.0004075+0.0014933i,0.00069196+0.0013796i,0.00075038+0.00034982i,0.00011078+9.4462e-06i,1.9503e-05+0.00011949i,0.00047288+0.00022367i,0.00066372+0.00053671i,0.00071446-0.00015745i,0.00044875-0.00034722i,0.00018699-2.0778e-05i,0.00092518+0.00028159i,0.0012217+0.00029536i,0.00064786-0.0002087i,0.00045568-0.00022538i,0.00072517+7.2105e-05i,0.0006906-0.00020902i,0.00061106-0.00031641i
-0.00082603+0.0011275i,-0.001003+0.0010865i,-0.00057964+0.00056608i,-9.4001e-05+0.0012829i,0.00042903+0.0015671i,0.00068894+0.0013399i,0.00074906+0.00099123i,0.00072911+0.00054563i,0.00022044+0.00015301i,-0.00011213+0.00025515i,-0.00029156+0.00024862i,-0.00011063-3.2891e-05i,-0.00039248+0.00050031i,-0.00045053+0.00030073i,0.00055699-3.3811e-05i,0.00090341+0.00042293i,0.00083004+0.0014243i,0.00057443+0.0010434i,-5.9015e-05-0.00026246i,-0.00072833-0.00028339i,-0.00045516-0.00036018i,-0.00062603-0.00047191i,-0.0010018-0.00012733i
0.00054294+0.00049611i,0.0014298+0.00011805i,0.00051581+4.6326e-05i,-0.00072778+0.00022733i,-0.00045627+0.00032631i,0.00037781+0.0012423i,0.00066212+0.0013912i,0.00038423+0.00056331i,0.0005009+0.0002519i,0.00057487+0.00063825i,-2.5932e-06+0.00081662i,-0.00019837+0.00062583i,-8.0735e-06+0.00029005i,0.00034097+0.00052128i,0.00076397+0.00034588i,0.00066488-0.00081805i,0.0004366-0.00056596i,-0.000227-5.6827e-05i,-3.2011e-06-0.00066486i,0.00040467-0.0010982i,-0.00034594-0.0009244i,-0.00056328-0.0004465i,-0.000573+0.0002435i
0.00041097+0.00038664i,-0.00032554-7.4024e-05i,-0.00020994-0.00024246i,-0.00040147+0.0011527i,-0.0011987+0.0023641i,-0.00064757+0.0020565i,0.00019786+0.001616i,0.00017898+0.0012544i,0.0002054+0.00047613i,0.00049158+0.00015291i,0.00089633+0.00015013i,0.00098416+3.9927e-05i,0.00024599+0.00036683i,-0.00019596+1.3861e-05i,-1.6193e-05-0.00037799i,0.00028442-0.00033661i,0.00020001-0.0002991i,-0.00010045-0.00063214i,-0.00039275-0.00076273i,-0.00067965-0.0007072i,-0.00041237-0.0004537i,-0.00026663+4.3311e-05i,-0.00022159+0.00092461i
-0.00021963+0.0010562i,-0.00061004+0.0014025i,-0.00028111+0.0023193i,0.00032283+0.0036644i,0.00058294+0.0031502i,0.00031743+0.0018123i,8.9225e-05+0.00084734i,0.00014335+0.0011363i,0.00017094+0.001635i,5.9594e-05+0.00087639i,0.00012814-1.6089e-05i,0.0008031-0.00045246i,0.0012177-0.00017963i,0.00081469+0.00036602i,0.00077089+0.00032874i,0.00054151+0.00027081i,-6.3811e-05+0.00097972i,-0.0005333+0.0015692i,-0.00033517+0.00084575i,-6.7183e-05-0.00044452i,3.8282e-05-0.00075369i,-0.00015271-0.00053828i,-0.00021778-0.00019266i
-0.00092073+0.0004191i,-0.00024976+0.00067121i,0.00026118+0.0011434i,0.0013596+0.0010482i,0.0015426+0.0014018i,0.00086684+0.0015369i,0.00070141+0.0014096i,0.00049715+0.0014806i,0.00083266+0.0014451i,0.00096046+0.0011269i,0.00025187+0.0012355i,8.5452e-05+0.001287i,0.00032794+0.00066472i,0.00049769-0.00043951i,0.00034147-0.00040132i,-0.00041372+6.9731e-05i,-0.00041019-0.00073508i,0.00062531-0.0010299i,0.00099902-0.00065608i,0.00071124-0.00037164i,0.00094657-0.00010307i,0.00042326-0.00020014i,-0.00069698-0.00049485i
-0.0018142-0.00046359i,-0.00087349+0.0006324i,-0.00029662+0.0013938i,0.00050393+0.0030527i,0.00061319+0.0032919i,0.0001125+0.0021548i,-0.00053327+0.0017057i,-0.00066736+0.0019209i,-0.00044485+0.0017154i,-0.00049379+0.00089099i,-0.00038667+0.00010239i,0.00055612+0.00024761i,0.0012917-0.00014764i,0.0013374-0.00055237i,0.000567-0.0003312i,0.00036076-0.00049391i,0.00042444-0.00049202i,-0.00060624-0.00048334i,-0.00041439-0.00058026i,0.00053002-0.00083372i,-5.8477e-05-0.000324i,-0.00081738+3.365e-06i,-0.00049515-0.0001682i
-0.0026848+0.0035225i,-0.00071296+0.0033629i,0.00075101+0.0038432i,0.0019639+0.0036763i,0.0032563+0.0030356i,0.0029365+0.0020481i,0.00063523+0.0014647i,-0.00097986+0.0019869i,-0.00070999+0.0023538i,0.00024999+0.0021404i,0.00073808+0.00087156i,0.00052358+1.0914e-06i,0.00053318+0.00027766i,0.00044697-7.5429e-05i,0.00017156-2.3293e-05i,0.00011178+0.00039146i,0.00015048+0.00028054i,0.00014242-0.00016554i,0.00081663+7.4127e-05i,0.0013656+9.6631e-05i,0.00040112-0.00031921i,-0.00058491+0.00010893i,-0.00084198+0.00021678i
