-0.002464+0.00041246i,-0.0029503+0.0003137i,-0.0033856+0.00082373i,-0.0014561+0.0011216i,-0.00052489+0.001741i,3.783e-05+0.0021212i,0.00065114+0.0025996i,0.00094203+0.0027561i,0.0014821+0.0014802i,0.002365-0.00034452i,0.0015451-0.00069696i,0.00023402-0.00090474i,0.00027745-0.00084138i,0.00032927-0.00020477i,7.7523e-05+0.00022463i,5.6242e-06+0.00023043i,0.00022348-6.0099e-06i,0.00032532-8.3814e-05i,0.00039685-0.00014046i,0.00010425-0.00014694i,5.3748e-05-0.00031923i,-0.00040653-0.00032275i,-0.00057796+0.0002953i
0.002131+0.0020429i,0.0028894+0.0014353i,0.0038157+0.0012871i,0.0029458-0.00011805i,0.0019389-0.0014331i,0.0008827-0.0010951i,4.6345e-05+0.00018467i,0.00091828+0.00065457i,0.0017168+0.00048899i,0.0013153-0.0002745i,0.0010076-0.00025954i,0.00084799+0.00036659i,0.00055293+2.3739e-05i,0.00031395-0.0007492i,-0.00019207+1.669e-05i,-0.00013162+0.00046103i,-5.2786e-05+0.00016882i,-0.0001223+0.00014409i,-0.00023216-0.00010426i,9.3785e-05+0.00026752i,0.00067613+0.00031178i,0.00054711-8.9465e-05i,7.0976e-05-5.9486e-05i
0.00028807-0.00099523i,0.00057776-0.00059005i,0.00030051+4.534e-05i,0.00073265+0.00024715i,0.0013958+0.00014565i,0.0014753+0.00065076i,0.0015025+0.0005724i,0.0015362-0.00041543i,0.0015451-0.00084919i,0.0014969-0.00091474i,0.00096258-0.00038808i,-0.00011189+0.00047468i,-0.00031833+0.00070833i,-0.00011321+0.00024852i,8.1615e-05+1.6706e-05i,0.00080961+0.00043619i,0.00080116+0.00082365i,0.00032579+0.00095777i,-0.00018167+0.00051847i,-0.00039194+0.0002834i,-0.0006384-0.00029494i,-0.00049932-0.00037921i,-0.00031073-0.00027439i
-0.00064192-0.0019852i,-0.00061517-0.0018793i,-0.00013039-0.0014745i,0.00055411-0.0017855i,0.00014563-0.0017275i,0.00061339-0.0013532i,0.0018274-0.00073859i,0.0013954-0.00014441i,0.00035667-0.00014523i,0.00034738-0.00089754i,0.00036094-0.0013771i,-0.000128-0.00086161i,-0.00011202-0.0003225i,-0.00031429+5.8439e-05i,-0.00066516+0.00045709i,-8.1094e-05+0.00019292i,0.00017318-0.00017919i,0.00019692-0.00066339i,8.3004e-05-0.00074431i,-0.00017626-0.00049132i,0.00012732-0.00011192i,0.00032724+0.0003765i,-0.00029993+7.7108e-05i
-0.00025198-0.0017051i,0.00019433-0.0018637i,-1.3356e-05-0.0017475i,-0.00029479-0.00065165i,-0.00017476+0.00038885i,-0.00016386+0.0015978i,-0.0004075+0.0015271i,0.00014447+4.4312e-05i,0.00026313-0.000977i,-0.00047052-0.00064706i,-0.00086874-0.00027895i,-0.00094736+0.00038132i,-0.00081629+0.00022079i,-7.3636e-05-0.0005707i,-0.00031639-0.00029038i,-0.00059881-0.00038309i,-0.00039451-0.00084252i,-0.0001119-0.00098432i,-0.00014055-0.0011771i,-0.0002434-0.00062745i,0.0001179-0.00054108i,-0.00015416-0.00066677i,-0.00066206-0.00028198i
-0.0018441+0.00036815i,-0.0018646+8.8799e-05i,-0.0018997+2.711e-05i,-0.00083684+0.00029169i,-8.039e-05+0.00035355i,-1.6676e-05+0.00091497i,0.00077904+0.0012369i,0.00081604+0.00095108i,0.00043007+0.00084868i,-0.00037607-1.784e-05i,-0.0010562-0.00061962i,-0.00053625+0.00021771i,-8.7451e-05+0.00086469i,4.9224e-05+0.00018742i,0.00064235-0.00036349i,0.0011528+0.00011868i,0.00099047+0.00022187i,0.00057751+4.3318e-05i,0.00037611+0.00073581i,0.00041367+0.00036101i,0.00044853-0.00065361i,0.00055632-0.00017639i,0.00022846+4.4579e-05i
-0.0021259-0.00021603i,-0.0022018-0.00092835i,-0.0017835-0.0008196i,-0.00071337-0.00034146i,0.00034556+0.00041189i,0.0009448-0.00011741i,0.00099547-3.9495e-05i,0.00067271+0.00053693i,0.00049758-2.5399e-05i,0.00039978-0.00031257i,0.00044467+3.1492e-05i,0.00044689-0.00012754i,0.00014999-0.00039931i,0.00017477-0.0001597i,0.00036517+0.0003062i,0.00083442+0.00053359i,0.00076738+0.00068634i,-0.00021734+0.00039693i,-0.00086371+0.00033374i,-0.0011667+0.00053269i,-0.00094563+0.00033931i,0.00047977+0.00047959i,0.0013001-8.5881e-05i
-0.002065-0.00099048i,-0.0028913-0.0010754i,-0.0038627-0.00077205i,-0.0028618+0.0011152i,-0.0017808+0.0020458i,-0.00064729+0.0014563i,0.00059012+0.00052746i,0.00053316+0.00051902i,0.00019924+0.00071105i,0.00060375+0.0001359i,0.00093632+0.00014373i,0.00029325+0.00079687i,-0.0004106+0.0004765i,-7.0806e-05+0.00010923i,5.6393e-06+0.0011169i,-0.0002787+0.0009533i,-0.00026474-0.0009394i,0.00045414-0.0016035i,0.00079119-0.00097325i,0.0002871-0.00013314i,-0.00055253+0.00042542i,-0.00052995+0.00044057i,-5.2202e-05+0.00014499i
0.00069382-0.00076271i,0.00015606-0.0022293i,-7.9647e-05-0.0010306i,0.00017982-0.00060763i,1.9721e-05-0.00064956i,-0.00075143-0.00069279i,-0.0008511-0.00055499i,-0.00043436-9.1062e-05i,0.00034637-0.00015i,0.00096927-0.00044446i,0.00044369-0.00031829i,-0.00039786+0.00015466i,0.00013356+0.00071852i,0.00043081+0.00061822i,0.00041967-8.3019e-05i,0.00033266+0.00028279i,-0.00024459-9.6535e-05i,-2.6123e-06-0.00074695i,0.00018982-0.00046495i,0.00013741+8.7834e-05i,0.00014383+0.00033173i,0.00049493+0.00030121i,0.00086726-0.00017185i
0.0013307+0.00022345i,0.0013338+0.0017547i,0.00092415+0.0030734i,0.00025628+0.0023487i,0.00085388+0.0015712i,0.0012503+0.0016772i,0.00095281+0.0012884i,3.811e-05+0.00046524i,2.2965e-05+8.371e-05i,0.0012729-0.00071862i,0.0014744-0.0019259i,0.00052413-0.001595i,0.00012479-0.00085727i,0.00015564-0.00075948i,4.5773e-05-0.00052219i,4.7887e-05-0.00042602i,0.00012368-0.00075673i,-0.0001123-0.00085724i,-0.00053494-0.00047715i,0.00015622-0.00011138i,0.0014487+0.00013998i,0.001127-0.00048157i,0.00024764-0.00090819i
0.0011733-0.0029933i,0.001624-0.0036719i,2.0842e-05-0.003658i,-0.00038916-0.0038164i,-0.00036654-0.0022488i,-0.00050166+0.00020743i,0.00011285+0.0013086i,0.00088566+0.00080323i,0.0012291-0.00039069i,0.0011887-0.0010352i,0.00067815-0.00069022i,-0.00046489+0.00042494i,-0.00098903+0.00065173i,-0.0011255-0.00016634i,-0.0005197-0.00053658i,0.0006369-0.00076311i,0.00076009-0.00079697i,-0.00041778+0.00019782i,-0.00063236+0.00051932i,0.00011422+0.00068226i,0.00080283+0.00027602i,0.00068109-0.00069442i,0.00033197-0.00072659i
